"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1996","Berlin","middle vocational","226","0.952655781244283","0.925898505826199","0.979413056662367"
"Yes","1996","Berlin","vocational + Abi","10","","",""
"Yes","1996","Berlin","higher vocational","37","0.963395056284443","0.903687627253073","1.02310248531581"
"Yes","1996","Berlin","higher education","137","0.923456741956021","0.879881297807274","0.967032186104768"
"Yes","1996","Brandenburg","in school","16","","",""
"Yes","1996","Brandenburg","inadequately","1","","",""
"Yes","1996","Brandenburg","general elemantary","62","0.954869490233926","0.904010792911971","1.00572818755588"
"Yes","1996","Brandenburg","middle vocational","311","1","1","1"
"Yes","1996","Brandenburg","vocational + Abi","14","","",""
"Yes","1996","Brandenburg","higher vocational","43","1","1","1"
"Yes","1996","Brandenburg","higher education","145","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","in school","9","","",""
"Yes","1996","Mecklenburg-Western Pomerania","inadequately","4","","",""
"Yes","1996","Mecklenburg-Western Pomerania","general elemantary","37","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","middle vocational","225","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","vocational + Abi","4","","",""
"Yes","1996","Mecklenburg-Western Pomerania","higher vocational","26","","",""
"Yes","1996","Mecklenburg-Western Pomerania","higher education","93","1","1","1"
"Yes","1996","Saxony","in school","32","1","1","1"
"Yes","1996","Saxony","inadequately","4","","",""
"Yes","1996","Saxony","general elemantary","115","1","1","1"
"Yes","1996","Saxony","middle vocational","619","0.998493215186541","0.995440049150614","1.00154638122247"
"Yes","1996","Saxony","vocational + Abi","26","","",""
"Yes","1996","Saxony","higher vocational","63","1","1","1"
"Yes","1996","Saxony","higher education","242","0.991738187633833","0.980380514657611","1.00309586061006"
"Yes","1996","Saxony-Anhalt","in school","18","","",""
"Yes","1996","Saxony-Anhalt","inadequately","3","","",""
"Yes","1996","Saxony-Anhalt","general elemantary","77","1","1","1"
"Yes","1996","Saxony-Anhalt","middle vocational","366","1","1","1"
"Yes","1996","Saxony-Anhalt","vocational + Abi","13","","",""
"Yes","1996","Saxony-Anhalt","higher vocational","49","1","1","1"
"Yes","1996","Saxony-Anhalt","higher education","146","1","1","1"
"Yes","1996","Thuringia","in school","14","","",""
"Yes","1996","Thuringia","inadequately","1","","",""
"Yes","1996","Thuringia","general elemantary","68","0.995849132443598","0.980678986513936","1.01101927837326"
"Yes","1996","Thuringia","middle vocational","409","0.996317788619263","0.990454929441061","1.00218064779746"
"Yes","1996","Thuringia","vocational + Abi","11","","",""
"Yes","1996","Thuringia","higher vocational","34","1","1","1"
"Yes","1996","Thuringia","higher education","116","0.991166440008378","0.974211496935128","1.00812138308163"
"No","1996","Schleswig-Holstein","in school","","","",""
"No","1996","Schleswig-Holstein","inadequately","3","","",""
"No","1996","Schleswig-Holstein","general elemantary","6","","",""
"No","1996","Schleswig-Holstein","middle vocational","6","","",""
"No","1996","Schleswig-Holstein","vocational + Abi","","","",""
"No","1996","Schleswig-Holstein","higher vocational","","","",""
"No","1996","Schleswig-Holstein","higher education","2","","",""
"No","1996","Hamburg","in school","","","",""
"No","1996","Hamburg","inadequately","5","","",""
"No","1996","Hamburg","general elemantary","9","","",""
"No","1996","Hamburg","middle vocational","9","","",""
"No","1996","Hamburg","vocational + Abi","1","","",""
"No","1996","Hamburg","higher vocational","","","",""
"No","1996","Hamburg","higher education","1","","",""
"No","1996","Lower Saxony","in school","4","","",""
"No","1996","Lower Saxony","inadequately","24","","",""
"No","1996","Lower Saxony","general elemantary","35","0.0676169861292347","0.0338973118857749","0.101336660372695"
"No","1996","Lower Saxony","middle vocational","39","0.0352008539908511","0.019391726761048","0.0510099812206543"
"No","1996","Lower Saxony","vocational + Abi","7","","",""
"No","1996","Lower Saxony","higher vocational","1","","",""
"No","1996","Lower Saxony","higher education","4","","",""
"No","1996","Bremen","in school","","","",""
"No","1996","Bremen","inadequately","1","","",""
"No","1996","Bremen","general elemantary","1","","",""
"No","1996","Bremen","middle vocational","7","","",""
"No","1996","Bremen","vocational + Abi","1","","",""
"No","1996","Bremen","higher vocational","","","",""
"No","1996","Bremen","higher education","4","","",""
"No","1996","North Rhine-Westphalia","in school","14","","",""
"No","1996","North Rhine-Westphalia","inadequately","111","0.685253374687745","0.605111523757409","0.765395225618081"
"No","1996","North Rhine-Westphalia","general elemantary","185","0.15769958776003","0.126006465898442","0.189392709621617"
"No","1996","North Rhine-Westphalia","middle vocational","169","0.0644233326394896","0.0508405887194235","0.0780060765595557"
"No","1996","North Rhine-Westphalia","vocational + Abi","25","","",""
"No","1996","North Rhine-Westphalia","higher vocational","5","","",""
"No","1996","North Rhine-Westphalia","higher education","19","","",""
"No","1996","Hesse","in school","5","","",""
"No","1996","Hesse","inadequately","48","0.717930259866903","0.597905570772937","0.837954948960869"
"No","1996","Hesse","general elemantary","82","0.158764945646004","0.109686106761293","0.207843784530716"
"No","1996","Hesse","middle vocational","99","0.111109953273221","0.0815090715951049","0.140710834951338"
"No","1996","Hesse","vocational + Abi","9","","",""
"No","1996","Hesse","higher vocational","4","","",""
"No","1996","Hesse","higher education","10","","",""
"No","1996","Rhineland-Palatinate,Saarland","in school","1","","",""
"No","1996","Rhineland-Palatinate,Saarland","inadequately","19","","",""
"No","1996","Rhineland-Palatinate,Saarland","general elemantary","25","","",""
"No","1996","Rhineland-Palatinate,Saarland","middle vocational","34","0.0535704464658787","0.0296715591746875","0.0774693337570699"
"No","1996","Rhineland-Palatinate,Saarland","vocational + Abi","4","","",""
"No","1996","Rhineland-Palatinate,Saarland","higher vocational","1","","",""
"No","1996","Rhineland-Palatinate,Saarland","higher education","3","","",""
"No","1996","Baden-Württemberg","in school","13","","",""
"No","1996","Baden-Württemberg","inadequately","142","0.75452838005395","0.686335220989552","0.822721539118348"
"No","1996","Baden-Württemberg","general elemantary","177","0.148984340920643","0.114219947533974","0.183748734307312"
"No","1996","Baden-Württemberg","middle vocational","194","0.0847714615013616","0.0652739281500914","0.104268994852632"
"No","1996","Baden-Württemberg","vocational + Abi","25","","",""
"No","1996","Baden-Württemberg","higher vocational","8","","",""
"No","1996","Baden-Württemberg","higher education","18","","",""
"No","1996","Bavaria","in school","6","","",""
"No","1996","Bavaria","inadequately","46","0.680549752822454","0.560554062428034","0.800545443216874"
"No","1996","Bavaria","general elemantary","114","0.154188552176014","0.116569373920989","0.191807730431039"
"No","1996","Bavaria","middle vocational","102","0.0609757872249755","0.0449459795396651","0.0770055949102858"
"No","1996","Bavaria","vocational + Abi","16","","",""
"No","1996","Bavaria","higher vocational","2","","",""
"No","1996","Bavaria","higher education","18","","",""
"No","1996","Berlin","in school","2","","",""
"No","1996","Berlin","inadequately","7","","",""
"No","1996","Berlin","general elemantary","19","","",""
"No","1996","Berlin","middle vocational","16","","",""
"No","1996","Berlin","vocational + Abi","10","","",""
"No","1996","Berlin","higher vocational","1","","",""
"No","1996","Berlin","higher education","6","","",""
"No","1996","Brandenburg","in school","","","",""
"No","1996","Brandenburg","inadequately","","","",""
"No","1996","Brandenburg","general elemantary","2","","",""
"No","1996","Brandenburg","middle vocational","","","",""
"No","1996","Brandenburg","vocational + Abi","","","",""
"No","1996","Brandenburg","higher vocational","","","",""
"No","1996","Brandenburg","higher education","","","",""
"No","1996","Mecklenburg-Western Pomerania","in school","","","",""
"No","1996","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","1996","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","1996","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","1996","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","1996","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","1996","Mecklenburg-Western Pomerania","higher education","","","",""
"No","1996","Saxony","in school","","","",""
"No","1996","Saxony","inadequately","","","",""
"No","1996","Saxony","general elemantary","","","",""
"No","1996","Saxony","middle vocational","1","","",""
"No","1996","Saxony","vocational + Abi","1","","",""
"No","1996","Saxony","higher vocational","","","",""
"No","1996","Saxony","higher education","2","","",""
"No","1996","Saxony-Anhalt","in school","","","",""
"No","1996","Saxony-Anhalt","inadequately","","","",""
"No","1996","Saxony-Anhalt","general elemantary","","","",""
"No","1996","Saxony-Anhalt","middle vocational","","","",""
"No","1996","Saxony-Anhalt","vocational + Abi","","","",""
"No","1996","Saxony-Anhalt","higher vocational","","","",""
"No","1996","Saxony-Anhalt","higher education","","","",""
"No","1996","Thuringia","in school","","","",""
"No","1996","Thuringia","inadequately","","","",""
"No","1996","Thuringia","general elemantary","1","","",""
"No","1996","Thuringia","middle vocational","1","","",""
"No","1996","Thuringia","vocational + Abi","","","",""
"No","1996","Thuringia","higher vocational","","","",""
"No","1996","Thuringia","higher education","1","","",""
"Yes","1997","Schleswig-Holstein","in school","6","","",""
"Yes","1997","Schleswig-Holstein","inadequately","2","","",""
"Yes","1997","Schleswig-Holstein","general elemantary","35","0.946031597536952","0.874189517976299","1.01787367709761"
"Yes","1997","Schleswig-Holstein","middle vocational","154","0.992684909873977","0.979355411209551","1.0060144085384"
"Yes","1997","Schleswig-Holstein","vocational + Abi","14","","",""
"Yes","1997","Schleswig-Holstein","higher vocational","23","","",""
"Yes","1997","Schleswig-Holstein","higher education","26","","",""
"Yes","1997","Hamburg","in school","1","","",""
"Yes","1997","Hamburg","inadequately","1","","",""
"Yes","1997","Hamburg","general elemantary","21","","",""
"Yes","1997","Hamburg","middle vocational","61","0.965294088178491","0.922106883159722","1.00848129319726"
"Yes","1997","Hamburg","vocational + Abi","3","","",""
"Yes","1997","Hamburg","higher vocational","3","","",""
"Yes","1997","Hamburg","higher education","10","","",""
"Yes","1997","Lower Saxony","in school","19","","",""
"Yes","1997","Lower Saxony","inadequately","15","","",""
"Yes","1997","Lower Saxony","general elemantary","178","0.927594931234618","0.893034043919177","0.96215581855006"
"Yes","1997","Lower Saxony","middle vocational","473","0.960739491399124","0.943933265739967","0.977545717058281"
"Yes","1997","Lower Saxony","vocational + Abi","45","0.92215853371141","0.849337855726854","0.994979211695965"
"Yes","1997","Lower Saxony","higher vocational","68","0.983490285781035","0.953424098326951","1.01355647323512"
"Yes","1997","Lower Saxony","higher education","104","0.947651144715321","0.905449046619368","0.989853242811274"
"Yes","1997","Bremen","in school","","","",""
"Yes","1997","Bremen","inadequately","1","","",""
"Yes","1997","Bremen","general elemantary","23","","",""
"Yes","1997","Bremen","middle vocational","43","0.86951408948348","0.775201390585805","0.963826788381154"
"Yes","1997","Bremen","vocational + Abi","4","","",""
"Yes","1997","Bremen","higher vocational","4","","",""
"Yes","1997","Bremen","higher education","4","","",""
"Yes","1997","North Rhine-Westphalia","in school","51","0.844477233211567","0.758341254160708","0.930613212262427"
"Yes","1997","North Rhine-Westphalia","inadequately","19","","",""
"Yes","1997","North Rhine-Westphalia","general elemantary","325","0.863688229833808","0.833430955982997","0.89394550368462"
"Yes","1997","North Rhine-Westphalia","middle vocational","1080","0.934562133986484","0.920797777791195","0.948326490181773"
"Yes","1997","North Rhine-Westphalia","vocational + Abi","95","0.893628296613639","0.83799963638838","0.949256956838898"
"Yes","1997","North Rhine-Westphalia","higher vocational","128","0.968933168358988","0.939447045965979","0.998419290751996"
"Yes","1997","North Rhine-Westphalia","higher education","263","0.935116754788246","0.906316645748105","0.963916863828386"
"Yes","1997","Hesse","in school","15","","",""
"Yes","1997","Hesse","inadequately","5","","",""
"Yes","1997","Hesse","general elemantary","119","0.830918955975019","0.777339788622346","0.884498123327691"
"Yes","1997","Hesse","middle vocational","317","0.877904704638946","0.845820502159548","0.909988907118343"
"Yes","1997","Hesse","vocational + Abi","25","","",""
"Yes","1997","Hesse","higher vocational","31","0.992498039128833","0.96305766348352","1.02193841477415"
"Yes","1997","Hesse","higher education","87","0.859197812755027","0.791698509934444","0.92669711557561"
"Yes","1997","Rhineland-Palatinate,Saarland","in school","7","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","general elemantary","170","0.933511510460408","0.898722021434744","0.968300999486072"
"Yes","1997","Rhineland-Palatinate,Saarland","middle vocational","316","0.946887704523447","0.923258080251365","0.970517328795528"
"Yes","1997","Rhineland-Palatinate,Saarland","vocational + Abi","15","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","higher vocational","37","0.993294615824824","0.967346420048036","1.01924281160161"
"Yes","1997","Rhineland-Palatinate,Saarland","higher education","53","0.953112688444941","0.898233149435226","1.00799222745466"
"Yes","1997","Baden-Württemberg","in school","20","","",""
"Yes","1997","Baden-Württemberg","inadequately","10","","",""
"Yes","1997","Baden-Württemberg","general elemantary","231","0.835157897998512","0.799502951106828","0.870812844890196"
"Yes","1997","Baden-Württemberg","middle vocational","593","0.905856805814034","0.885428257636996","0.926285353991072"
"Yes","1997","Baden-Württemberg","vocational + Abi","44","0.722170975775037","0.615707054880172","0.828634896669902"
"Yes","1997","Baden-Württemberg","higher vocational","94","0.960451736850597","0.922252949883705","0.99865052381749"
"Yes","1997","Baden-Württemberg","higher education","108","0.907360139041446","0.856534613259332","0.958185664823561"
"Yes","1997","Bavaria","in school","23","","",""
"Yes","1997","Bavaria","inadequately","10","","",""
"Yes","1997","Bavaria","general elemantary","233","0.829052299837435","0.78932755293399","0.868777046740881"
"Yes","1997","Bavaria","middle vocational","748","0.933293256271468","0.9163997414886","0.950186771054335"
"Yes","1997","Bavaria","vocational + Abi","42","0.809711177461021","0.707809256780464","0.911613098141579"
"Yes","1997","Bavaria","higher vocational","106","1","1","1"
"Yes","1997","Bavaria","higher education","157","0.902564954802828","0.858375171875094","0.946754737730561"
"Yes","1997","Berlin","in school","14","","",""
"Yes","1997","Berlin","inadequately","1","","",""
"Yes","1997","Berlin","general elemantary","43","0.817295649293672","0.717847173240746","0.916744125346598"
"Yes","1997","Berlin","middle vocational","215","0.954303318188344","0.927137629955681","0.981469006421008"
"Yes","1997","Berlin","vocational + Abi","10","","",""
"Yes","1997","Berlin","higher vocational","38","0.995014773165323","0.972910664141706","1.01711888218894"
"Yes","1997","Berlin","higher education","135","0.921351240170668","0.87660060100007","0.966101879341266"
"Yes","1997","Brandenburg","in school","21","","",""
"Yes","1997","Brandenburg","inadequately","1","","",""
"Yes","1997","Brandenburg","general elemantary","56","0.946383334262534","0.888411433829538","1.00435523469553"
"Yes","1997","Brandenburg","middle vocational","303","0.992712771913642","0.983151750620997","1.00227379320629"
"Yes","1997","Brandenburg","vocational + Abi","14","","",""
"Yes","1997","Brandenburg","higher vocational","40","1","1","1"
"Yes","1997","Brandenburg","higher education","154","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","in school","16","","",""
"Yes","1997","Mecklenburg-Western Pomerania","inadequately","5","","",""
"Yes","1997","Mecklenburg-Western Pomerania","general elemantary","32","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","middle vocational","218","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","vocational + Abi","3","","",""
"Yes","1997","Mecklenburg-Western Pomerania","higher vocational","25","","",""
"Yes","1997","Mecklenburg-Western Pomerania","higher education","89","1","1","1"
"Yes","1997","Saxony","in school","25","","",""
"Yes","1997","Saxony","inadequately","4","","",""
"Yes","1997","Saxony","general elemantary","116","1","1","1"
"Yes","1997","Saxony","middle vocational","607","0.998510971801308","0.995446016231925","1.00157592737069"
"Yes","1997","Saxony","vocational + Abi","24","","",""
"Yes","1997","Saxony","higher vocational","64","1","1","1"
"Yes","1997","Saxony","higher education","240","0.991606163021229","0.980111657801228","1.00310066824123"
"Yes","1997","Saxony-Anhalt","in school","23","","",""
"Yes","1997","Saxony-Anhalt","inadequately","1","","",""
"Yes","1997","Saxony-Anhalt","general elemantary","73","1","1","1"
"Yes","1997","Saxony-Anhalt","middle vocational","353","1","1","1"
"Yes","1997","Saxony-Anhalt","vocational + Abi","15","","",""
"Yes","1997","Saxony-Anhalt","higher vocational","53","1","1","1"
"Yes","1997","Saxony-Anhalt","higher education","141","1","1","1"
"Yes","1997","Thuringia","in school","19","","",""
"Yes","1997","Thuringia","inadequately","","","",""
"Yes","1997","Thuringia","general elemantary","63","0.993407547780372","0.973581080979631","1.01323401458111"
"Yes","1997","Thuringia","middle vocational","407","0.995665200412895","0.989290508719844","1.00203989210594"
"Yes","1997","Thuringia","vocational + Abi","12","","",""
"Yes","1997","Thuringia","higher vocational","33","1","1","1"
"Yes","1997","Thuringia","higher education","119","0.991945902233596","0.975953639710947","1.00793816475624"
"No","1997","Schleswig-Holstein","in school","","","",""
"No","1997","Schleswig-Holstein","inadequately","3","","",""
"No","1997","Schleswig-Holstein","general elemantary","3","","",""
"No","1997","Schleswig-Holstein","middle vocational","3","","",""
"No","1997","Schleswig-Holstein","vocational + Abi","","","",""
"No","1997","Schleswig-Holstein","higher vocational","","","",""
"No","1997","Schleswig-Holstein","higher education","1","","",""
"No","1997","Hamburg","in school","","","",""
"No","1997","Hamburg","inadequately","5","","",""
"No","1997","Hamburg","general elemantary","10","","",""
"No","1997","Hamburg","middle vocational","8","","",""
"No","1997","Hamburg","vocational + Abi","","","",""
"No","1997","Hamburg","higher vocational","","","",""
"No","1997","Hamburg","higher education","1","","",""
"No","1997","Lower Saxony","in school","7","","",""
"No","1997","Lower Saxony","inadequately","22","","",""
"No","1997","Lower Saxony","general elemantary","38","0.0724050687653818","0.0378441814499404","0.106965956080823"
"No","1997","Lower Saxony","middle vocational","40","0.0392605086008764","0.0224542829417194","0.0560667342600333"
"No","1997","Lower Saxony","vocational + Abi","7","","",""
"No","1997","Lower Saxony","higher vocational","1","","",""
"No","1997","Lower Saxony","higher education","3","","",""
"No","1997","Bremen","in school","","","",""
"No","1997","Bremen","inadequately","1","","",""
"No","1997","Bremen","general elemantary","1","","",""
"No","1997","Bremen","middle vocational","6","","",""
"No","1997","Bremen","vocational + Abi","1","","",""
"No","1997","Bremen","higher vocational","","","",""
"No","1997","Bremen","higher education","3","","",""
"No","1997","North Rhine-Westphalia","in school","17","","",""
"No","1997","North Rhine-Westphalia","inadequately","98","0.668371856310469","0.583063823498856","0.753679889122083"
"No","1997","North Rhine-Westphalia","general elemantary","169","0.136311770166191","0.10605449631538","0.166569044017003"
"No","1997","North Rhine-Westphalia","middle vocational","160","0.0654378660135158","0.0516735098182266","0.079202222208805"
"No","1997","North Rhine-Westphalia","vocational + Abi","23","","",""
"No","1997","North Rhine-Westphalia","higher vocational","5","","",""
"No","1997","North Rhine-Westphalia","higher education","18","","",""
"No","1997","Hesse","in school","8","","",""
"No","1997","Hesse","inadequately","47","0.759380687416078","0.643197995679151","0.875563379153005"
"No","1997","Hesse","general elemantary","69","0.169081044024981","0.115501876672309","0.222660211377654"
"No","1997","Hesse","middle vocational","83","0.122095295361054","0.0900110928816567","0.154179497840452"
"No","1997","Hesse","vocational + Abi","10","","",""
"No","1997","Hesse","higher vocational","2","","",""
"No","1997","Hesse","higher education","15","","",""
"No","1997","Rhineland-Palatinate,Saarland","in school","2","","",""
"No","1997","Rhineland-Palatinate,Saarland","inadequately","21","","",""
"No","1997","Rhineland-Palatinate,Saarland","general elemantary","27","","",""
"No","1997","Rhineland-Palatinate,Saarland","middle vocational","30","0.0531122954765534","0.0294826712044717","0.076741919748635"
"No","1997","Rhineland-Palatinate,Saarland","vocational + Abi","4","","",""
"No","1997","Rhineland-Palatinate,Saarland","higher vocational","1","","",""
"No","1997","Rhineland-Palatinate,Saarland","higher education","4","","",""
"No","1997","Baden-Württemberg","in school","17","","",""
"No","1997","Baden-Württemberg","inadequately","139","0.771952062880318","0.704582582619361","0.839321543141276"
"No","1997","Baden-Württemberg","general elemantary","185","0.164842102001488","0.129187155109804","0.200497048893172"
"No","1997","Baden-Württemberg","middle vocational","192","0.0941431941859661","0.0737146460089277","0.114571742363005"
"No","1997","Baden-Württemberg","vocational + Abi","24","","",""
"No","1997","Baden-Württemberg","higher vocational","6","","",""
"No","1997","Baden-Württemberg","higher education","17","","",""
"No","1997","Bavaria","in school","4","","",""
"No","1997","Bavaria","inadequately","42","0.740187930045303","0.620995937447101","0.859379922643505"
"No","1997","Bavaria","general elemantary","112","0.170947700162565","0.131222953259119","0.21067244706601"
"No","1997","Bavaria","middle vocational","90","0.0667067437285325","0.0498132289456655","0.0836002585113995"
"No","1997","Bavaria","vocational + Abi","15","","",""
"No","1997","Bavaria","higher vocational","","","",""
"No","1997","Bavaria","higher education","16","","",""
"No","1997","Berlin","in school","1","","",""
"No","1997","Berlin","inadequately","5","","",""
"No","1997","Berlin","general elemantary","15","","",""
"No","1997","Berlin","middle vocational","12","","",""
"No","1997","Berlin","vocational + Abi","8","","",""
"No","1997","Berlin","higher vocational","1","","",""
"No","1997","Berlin","higher education","4","","",""
"No","1997","Brandenburg","in school","","","",""
"No","1997","Brandenburg","inadequately","","","",""
"No","1997","Brandenburg","general elemantary","2","","",""
"No","1997","Brandenburg","middle vocational","1","","",""
"No","1997","Brandenburg","vocational + Abi","","","",""
"No","1997","Brandenburg","higher vocational","","","",""
"No","1997","Brandenburg","higher education","","","",""
"No","1997","Mecklenburg-Western Pomerania","in school","","","",""
"No","1997","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","1997","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","1997","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","1997","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","1997","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","1997","Mecklenburg-Western Pomerania","higher education","","","",""
"No","1997","Saxony","in school","","","",""
"No","1997","Saxony","inadequately","","","",""
"No","1997","Saxony","general elemantary","","","",""
"No","1997","Saxony","middle vocational","1","","",""
"No","1997","Saxony","vocational + Abi","1","","",""
"No","1997","Saxony","higher vocational","","","",""
"No","1997","Saxony","higher education","2","","",""
"No","1997","Saxony-Anhalt","in school","","","",""
"No","1997","Saxony-Anhalt","inadequately","","","",""
"No","1997","Saxony-Anhalt","general elemantary","","","",""
"No","1997","Saxony-Anhalt","middle vocational","","","",""
"No","1997","Saxony-Anhalt","vocational + Abi","","","",""
"No","1997","Saxony-Anhalt","higher vocational","","","",""
"No","1997","Saxony-Anhalt","higher education","","","",""
"No","1997","Thuringia","in school","","","",""
"No","1997","Thuringia","inadequately","","","",""
"No","1997","Thuringia","general elemantary","1","","",""
"No","1997","Thuringia","middle vocational","1","","",""
"No","1997","Thuringia","vocational + Abi","","","",""
"No","1997","Thuringia","higher vocational","","","",""
"No","1997","Thuringia","higher education","1","","",""
"Yes","1998","Schleswig-Holstein","in school","11","","",""
"Yes","1998","Schleswig-Holstein","inadequately","2","","",""
