"plj0014_v3","year","age_gr","n","percent","lower_confidence","upper_confidence"
"No","2000","16-34 y.","998","0.12502105510426","0.117352079511611","0.132690030696909"
"No","2000","35-65 y.","1214","0.0846826040655408","0.0799825569147464","0.0893826512163352"
"No","2000","66 and older","119","0.025281410393913","0.0201817920700061","0.0303810287178199"
"Yes","2000","16-34 y.","6147","0.87497894489574","0.867309969303091","0.882647920488389"
"Yes","2000","35-65 y.","12265","0.915317395934459","0.910617348783665","0.920017443085254"
"Yes","2000","66 and older","3521","0.974718589606087","0.96961897128218","0.979818207929994"
"No","2001","16-34 y.","837","0.123516157449879","0.11539137652103","0.131640938378727"
"No","2001","35-65 y.","1083","0.0832965470712262","0.0784167032337454","0.088176390908707"
"No","2001","66 and older","124","0.0274587900465265","0.0220018625623158","0.0329157175307371"
"Yes","2001","16-34 y.","5463","0.876483842550121","0.868359061621273","0.88460862347897"
"Yes","2001","35-65 y.","11235","0.916703452928774","0.911823609091293","0.921583296766255"
"Yes","2001","66 and older","3321","0.972541209953473","0.967084282469263","0.977998137437684"
"No","2002","16-34 y.","713","0.117641737153307","0.109613016896739","0.125670457409875"
"No","2002","35-65 y.","1052","0.0832745552472722","0.0785841667060254","0.087964943788519"
"No","2002","66 and older","135","0.0325199895793987","0.026758511010906","0.0382814681478913"
"Yes","2002","16-34 y.","5473","0.882358262846693","0.874329542590125","0.890386983103261"
"Yes","2002","35-65 y.","12278","0.916725444752728","0.912035056211481","0.921415833293975"
"Yes","2002","66 and older","3506","0.967480010420601","0.961718531852109","0.973241488989094"
"No","2003","16-34 y.","635","0.117384123597967","0.109161157293116","0.125607089902819"
"No","2003","35-65 y.","962","0.0849096523211931","0.0800630532518217","0.0897562513905645"
"No","2003","66 and older","144","0.0347756926062158","0.0288755212980886","0.040675863914343"
"Yes","2003","16-34 y.","5251","0.882615876402032","0.874392910097181","0.890838842706884"
"Yes","2003","35-65 y.","11745","0.915090347678807","0.910243748609435","0.919936946748178"
"Yes","2003","66 and older","3560","0.965224307393784","0.959324136085657","0.971124478701911"
"No","2004","16-34 y.","550","0.10796593180913","0.099871027051734","0.116060836566526"
"No","2004","35-65 y.","931","0.090435713366318","0.0853609885867332","0.0955104381459027"
"No","2004","66 and older","147","0.035809608817833","0.0299148207056266","0.0417043969300395"
"Yes","2004","16-34 y.","5096","0.89203406819087","0.883939163433473","0.900128972948266"
"Yes","2004","35-65 y.","11339","0.909564286633682","0.904489561854097","0.914639011413267"
"Yes","2004","66 and older","3670","0.964190391182167","0.958295603069961","0.970085179294373"
"No","2005","16-34 y.","505","0.108793910801846","0.100445453445285","0.117142368158407"
"No","2005","35-65 y.","897","0.095463977303947","0.0901277236631547","0.100800230944739"
"No","2005","66 and older","142","0.0364110311762695","0.0304703579949817","0.0423517043575573"
"Yes","2005","16-34 y.","4839","0.891206089198154","0.882857631841593","0.899554546554715"
"Yes","2005","35-65 y.","10752","0.904536022696053","0.899199769055261","0.909872276336845"
"Yes","2005","66 and older","3677","0.96358896882373","0.957648295642443","0.969529642005018"
"No","2006","16-34 y.","446","0.112157899592335","0.103537813106755","0.120777986077916"
"No","2006","35-65 y.","864","0.0948703335364964","0.0897207041956082","0.100019962877385"
"No","2006","66 and older","160","0.0402943572459744","0.0345436751809115","0.0460450393110373"
"Yes","2006","16-34 y.","4702","0.887842100407665","0.879222013922084","0.896462186893245"
"Yes","2006","35-65 y.","11575","0.905129666463504","0.899980037122615","0.910279295804392"
"Yes","2006","66 and older","4332","0.959705642754026","0.953954960688963","0.965456324819088"
"No","2007","16-34 y.","356","0.103549403243786","0.0948657911555685","0.112233015332004"
"No","2007","35-65 y.","776","0.0978256180773782","0.0923933834206822","0.103257852734074"
"No","2007","66 and older","154","0.0448759581624644","0.0387621488320782","0.0509897674928507"
"Yes","2007","16-34 y.","4373","0.896450596756214","0.887766984667996","0.905134208844432"
"Yes","2007","35-65 y.","10713","0.902174381922622","0.896742147265926","0.907606616579318"
"Yes","2007","66 and older","4251","0.955124041837536","0.949010232507149","0.961237851167922"
"No","2008","16-34 y.","295","0.0988719811005734","0.0900291835441462","0.107714778657001"
"No","2008","35-65 y.","686","0.0990868687957814","0.093424117189104","0.104749620402459"
"No","2008","66 and older","151","0.0475424998752599","0.0412261139606634","0.0538588857898565"
"Yes","2008","16-34 y.","4082","0.901128018899427","0.892285221342999","0.909970816455854"
"Yes","2008","35-65 y.","10008","0.900913131204219","0.895250379597541","0.906575882810896"
"Yes","2008","66 and older","4209","0.95245750012474","0.946141114210144","0.958773886039337"
"No","2009","16-34 y.","254","0.101245882630428","0.0919047024235441","0.110587062837312"
"No","2009","35-65 y.","600","0.101198883506928","0.0952583120675612","0.107139454946295"
"No","2009","66 and older","135","0.0451251519758017","0.0388615248812538","0.0513887790703496"
"Yes","2009","16-34 y.","3752","0.898754117369572","0.889412937162688","0.908095297576456"
"Yes","2009","35-65 y.","9301","0.898801116493072","0.892860545053705","0.904741687932439"
"Yes","2009","66 and older","4084","0.954874848024198","0.94861122092965","0.961138475118746"
"No","2010","16-34 y.","601","0.0973562764567934","0.0901984939460519","0.104514058967535"
"No","2010","35-65 y.","928","0.102738087093965","0.0975985519785903","0.10787762220934"
"No","2010","66 and older","127","0.0470346696375596","0.0405351897704945","0.0535341495046248"
"Yes","2010","16-34 y.","5988","0.902643723543207","0.895485941032465","0.909801506053948"
"Yes","2010","35-65 y.","12478","0.897261912906035","0.89212237779066","0.90240144802141"
"Yes","2010","66 and older","3949","0.95296533036244","0.946465850495375","0.959464810229505"
"No","2011","16-34 y.","248","0.0717490582013369","0.0642668327053102","0.0792312836973635"
"No","2011","35-65 y.","704","0.0877072490426581","0.0827466475047689","0.0926678505805472"
"No","2011","66 and older","152","0.044299963239086","0.0387047350966674","0.0498951913815046"
"Yes","2011","16-34 y.","4322","0.928250941798663","0.920768716302637","0.93573316729469"
"Yes","2011","35-65 y.","11787","0.912292750957342","0.907332149419453","0.917253352495231"
"Yes","2011","66 and older","5043","0.955700036760914","0.950104808618495","0.961295264903333"
"No","2012","16-34 y.","444","0.0895656332876395","0.0825476140370542","0.0965836525382249"
"No","2012","35-65 y.","987","0.0936503213522612","0.089152992650294","0.0981476500542285"
"No","2012","66 and older","153","0.0517299237502386","0.0457451066544699","0.0577147408460074"
"Yes","2012","16-34 y.","5916","0.91043436671236","0.903416347461775","0.917452385962946"
"Yes","2012","35-65 y.","15134","0.906349678647739","0.901852349945771","0.910847007349706"
"Yes","2012","66 and older","5108","0.948270076249761","0.942285259153993","0.95425489334553"
"No","2013","16-34 y.","356","0.0383194296223933","0.0333550405120325","0.043283818732754"
"No","2013","35-65 y.","895","0.061148242608458","0.0573175831043058","0.0649789021126103"
"No","2013","66 and older","149","0.0395295671609014","0.0341415830643997","0.0449175512574031"
"Yes","2013","16-34 y.","5388","0.961680570377607","0.956716181267246","0.966644959487967"
"Yes","2013","35-65 y.","14134","0.938851757391542","0.93502109788739","0.942682416895694"
"Yes","2013","66 and older","4875","0.960470432839099","0.955082448742597","0.9658584169356"
"No","2014","16-34 y.","1004","0.115687536458546","0.107964563810281","0.123410509106811"
"No","2014","35-65 y.","1919","0.10620756603697","0.101375051581111","0.111040080492829"
"No","2014","66 and older","185","0.0427203667912646","0.0371206492113187","0.0483200843712105"
"Yes","2014","16-34 y.","5585","0.884312463541454","0.876589490893189","0.892035436189719"
"Yes","2014","35-65 y.","13696","0.89379243396303","0.888959919507171","0.898624948418889"
"Yes","2014","66 and older","4825","0.957279633208735","0.95167991562879","0.962879350788681"
"No","2015","16-34 y.","1580","0.133078914986583","0.124962775390119","0.141195054583047"
"No","2015","35-65 y.","2254","0.107914163734508","0.102991672933184","0.112836654535832"
"No","2015","66 and older","182","0.043430091972709","0.0377629078276258","0.0490972761177921"
"Yes","2015","16-34 y.","5148","0.866921085013417","0.858804945416953","0.875037224609881"
"Yes","2015","35-65 y.","13008","0.892085836265492","0.887163345464168","0.897008327066816"
"Yes","2015","66 and older","4787","0.956569908027291","0.950902723882208","0.962237092172374"
"No","2016","16-34 y.","1070","0.132440646583991","0.123631607405434","0.141249685762548"
"No","2016","35-65 y.","1918","0.116777339056864","0.111449884289834","0.122104793823895"
"No","2016","66 and older","169","0.0576621413831665","0.0510560191746313","0.0642682635917017"
"Yes","2016","16-34 y.","4618","0.867559353416009","0.858750314237452","0.876368392594566"
"Yes","2016","35-65 y.","12042","0.883222660943136","0.877895206176105","0.888550115710166"
"Yes","2016","66 and older","4614","0.942337858616834","0.935731736408298","0.948943980825369"
"No","2017","16-34 y.","2238","0.147453195722947","0.13947615104071","0.155430240405185"
"No","2017","35-65 y.","3083","0.126345570400182","0.121308584487378","0.131382556312987"
"No","2017","66 and older","191","0.0644881247295705","0.0577124438358869","0.0712638056232541"
"Yes","2017","16-34 y.","5351","0.852546804277053","0.844569759594815","0.86052384895929"
"Yes","2017","35-65 y.","13630","0.873654429599818","0.868617443687013","0.878691415512622"
"Yes","2017","66 and older","4857","0.93551187527043","0.928736194376746","0.942287556164113"
"No","2018","16-34 y.","2884","0.161151538777138","0.153154502596269","0.169148574958007"
"No","2018","35-65 y.","3502","0.133187391455832","0.127998408144541","0.138376374767124"
"No","2018","66 and older","219","0.0737718080175606","0.0665934877278967","0.0809501283072244"
"Yes","2018","16-34 y.","5236","0.838848461222862","0.830851425041993","0.846845497403731"
"Yes","2018","35-65 y.","12969","0.866812608544168","0.861623625232876","0.872001591855459"
"Yes","2018","66 and older","4875","0.926228191982439","0.919049871692776","0.933406512272103"
"No","2019","16-34 y.","2360","0.15984108554599","0.151382351142136","0.168299819949844"
"No","2019","35-65 y.","3237","0.138222800666778","0.133028401563965","0.143417199769592"
"No","2019","66 and older","220","0.0712454453148232","0.0643076890504685","0.0781832015791779"
"Yes","2019","16-34 y.","4850","0.84015891445401","0.831700180050156","0.848617648857864"
"Yes","2019","35-65 y.","13722","0.861777199333222","0.856582800230408","0.866971598436035"
"Yes","2019","66 and older","5061","0.928754554685177","0.921816798420822","0.935692310949532"
