"plj0014_v3","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2002","direct migration background","Urban Area","1326","0.560911318526424","0.540786364600129","0.581036272452718","2"
"No","2002","direct migration background","Rural Area","182","0.358513037285518","0.31578904735096","0.401237027220076","2"
"Yes","2002","no migration background","Urban Area","12455","0.998700001838713","0.998067432313815","0.99933257136361","1"
"Yes","2002","no migration background","Rural Area","7088","0.999782034875487","0.999438396409138","1.00012567334183","1"
"Yes","2002","direct migration background","Urban Area","1010","0.439088681473576","0.418963727547282","0.459213635399871","1"
"Yes","2002","direct migration background","Rural Area","302","0.641486962714482","0.598762972779924","0.684210952649041","1"
"Yes","2002","indirect migration background","Urban Area","348","0.55211671844818","0.514931734591028","0.589301702305333","1"
"Yes","2002","indirect migration background","Rural Area","54","0.573314961107155","0.47488834166873","0.67174158054558","1"
"No","2003","no migration background","Urban Area","11","","","","2"
"No","2003","no migration background","Rural Area","1","","","","2"
"No","2003","indirect migration background","Urban Area","319","0.43956431272572","0.402503700949664","0.476624924501776","2"
"No","2003","indirect migration background","Rural Area","37","0.376730479000528","0.282228538186169","0.471232419814887","2"
"No","2003","direct migration background","Urban Area","1203","0.55905297850402","0.538225297727442","0.579880659280598","2"
"No","2003","direct migration background","Rural Area","170","0.352805907216892","0.309233425170237","0.396378389263546","2"
"Yes","2003","direct migration background","Urban Area","980","0.44094702149598","0.420119340719402","0.461774702272558","1"
"Yes","2003","direct migration background","Rural Area","292","0.647194092783108","0.603621610736454","0.690766574829763","1"
"Yes","2003","no migration background","Urban Area","12064","0.998470205538582","0.997773115914572","0.999167295162593","1"
"Yes","2003","no migration background","Rural Area","6786","0.999703702617728","0.999294245218073","1.00011316001738","1"
"Yes","2003","indirect migration background","Urban Area","370","0.56043568727428","0.523375075498224","0.597496299050337","1"
"Yes","2003","indirect migration background","Rural Area","64","0.623269520999472","0.528767580185113","0.717771461813831","1"
"No","2004","no migration background","Urban Area","8","","","","2"
"No","2004","no migration background","Rural Area","1","","","","2"
"No","2004","indirect migration background","Urban Area","299","0.425006388550208","0.388254054305283","0.461758722795133","2"
"No","2004","indirect migration background","Rural Area","39","0.305022621189887","0.221236814540916","0.388808427838857","2"
"No","2004","direct migration background","Urban Area","1119","0.54902113545607","0.527769540307711","0.570272730604429","2"
"No","2004","direct migration background","Rural Area","162","0.377178424989975","0.332196720592733","0.422160129387217","2"
"Yes","2004","direct migration background","Urban Area","987","0.45097886454393","0.429727269395571","0.472230459692289","1"
"Yes","2004","direct migration background","Rural Area","284","0.622821575010025","0.577839870612783","0.667803279407267","1"
"Yes","2004","no migration background","Urban Area","11730","0.998724867377729","0.998079285027557","0.999370449727902","1"
"Yes","2004","no migration background","Rural Area","6631","0.999752588482051","0.99937407438573","1.00013110257837","1"
"Yes","2004","indirect migration background","Urban Area","396","0.574993611449792","0.538241277204867","0.611745945694717","1"
"Yes","2004","indirect migration background","Rural Area","77","0.694977378810113","0.611191572161143","0.778763185459084","1"
"No","2005","no migration background","Urban Area","8","","","","2"
"No","2005","no migration background","Rural Area","1","","","","2"
"No","2005","indirect migration background","Urban Area","316","0.429601043826907","0.393642307073439","0.465559780580374","2"
"No","2005","indirect migration background","Rural Area","35","0.3367843526939","0.247235600836102","0.426333104551698","2"
"No","2005","direct migration background","Urban Area","1038","0.548893877751275","0.526937125457228","0.570850630045322","2"
"No","2005","direct migration background","Rural Area","146","0.41318400070748","0.365579293168667","0.460788708246292","2"
"Yes","2005","direct migration background","Urban Area","935","0.451106122248725","0.429149369954678","0.473062874542773","1"
"Yes","2005","direct migration background","Rural Area","265","0.58681599929252","0.539211291753708","0.634420706831333","1"
"Yes","2005","no migration background","Urban Area","11223","0.99852572048458","0.997816128957626","0.999235312011534","1"
"Yes","2005","no migration background","Rural Area","6361","0.999735603899681","0.999336099689217","1.00013510811015","1"
"Yes","2005","indirect migration background","Urban Area","412","0.570398956173093","0.534440219419626","0.606357692926561","1"
"Yes","2005","indirect migration background","Rural Area","72","0.6632156473061","0.573666895448302","0.752764399163898","1"
"No","2006","no migration background","Urban Area","8","","","","2"
"No","2006","no migration background","Rural Area","2","","","","2"
"No","2006","indirect migration background","Urban Area","283","0.42530768050459","0.388839419886625","0.461775941122554","2"
"No","2006","indirect migration background","Rural Area","37","0.320443862701157","0.236601548147031","0.404286177255283","2"
"No","2006","direct migration background","Urban Area","989","0.552117691721281","0.530108348657561","0.574127034785002","2"
"No","2006","direct migration background","Rural Area","151","0.398155049214292","0.351886882932896","0.444423215495687","2"
"Yes","2006","direct migration background","Urban Area","972","0.447882308278719","0.425872965214998","0.469891651342439","1"
"Yes","2006","direct migration background","Rural Area","279","0.601844950785708","0.555576784504313","0.648113117067104","1"
"Yes","2006","no migration background","Urban Area","11980","0.998908164569675","0.998316989519522","0.999499339619829","1"
"Yes","2006","no migration background","Rural Area","6873","0.999611255545551","0.999145283984399","1.0000772271067","1"
"Yes","2006","indirect migration background","Urban Area","423","0.574692319495411","0.538224058877446","0.611160580113375","1"
"Yes","2006","indirect migration background","Rural Area","82","0.679556137298843","0.595713822744717","0.763398451852969","1"
"No","2007","no migration background","Urban Area","8","","","","2"
"No","2007","no migration background","Rural Area","2","","","","2"
"No","2007","indirect migration background","Urban Area","248","0.398151032340997","0.361249667779022","0.435052396902971","2"
"No","2007","indirect migration background","Rural Area","29","","","","2"
"No","2007","direct migration background","Urban Area","854","0.559870927461613","0.536539984790221","0.583201870133005","2"
"No","2007","direct migration background","Rural Area","145","0.4397413923787","0.390854386378392","0.488628398379008","2"
"Yes","2007","direct migration background","Urban Area","885","0.440129072538387","0.416798129866995","0.463460015209779","1"
"Yes","2007","direct migration background","Rural Area","251","0.5602586076213","0.511371601620992","0.609145613621608","1"
"Yes","2007","no migration background","Urban Area","11216","0.998894687071517","0.998279967927354","0.99950940621568","1"
"Yes","2007","no migration background","Rural Area","6474","0.998723123494415","0.997853379033374","0.999592867955457","1"
"Yes","2007","indirect migration background","Urban Area","428","0.601848967659003","0.564947603097029","0.638750332220978","1"
"Yes","2007","indirect migration background","Rural Area","83","0.671099307726475","0.58409016917135","0.7581084462816","1"
"No","2008","no migration background","Urban Area","5","","","","2"
"No","2008","no migration background","Rural Area","2","","","","2"
"No","2008","indirect migration background","Urban Area","221","0.375312919964169","0.338372303157497","0.412253536770842","2"
"No","2008","indirect migration background","Rural Area","25","","","","2"
"No","2008","direct migration background","Urban Area","751","0.559074296997166","0.534483665408667","0.583664928585666","2"
"No","2008","direct migration background","Rural Area","128","0.457337339920746","0.405146129491608","0.509528550349884","2"
"Yes","2008","direct migration background","Urban Area","815","0.440925703002834","0.416335071414334","0.465516334591333","1"
"Yes","2008","direct migration background","Rural Area","222","0.542662660079254","0.490471449650116","0.594853870508392","1"
"Yes","2008","no migration background","Urban Area","10624","0.998934335030453","0.998314065135733","0.999554604925172","1"
"Yes","2008","no migration background","Rural Area","6111","0.998570741099164","0.997623706678058","0.999517775520269","1"
"Yes","2008","indirect migration background","Urban Area","439","0.624687080035831","0.587746463229158","0.661627696842503","1"
"Yes","2008","indirect migration background","Rural Area","88","0.673301392226097","0.586827049963289","0.759775734488905","1"
"No","2009","no migration background","Urban Area","6","","","","2"
"No","2009","no migration background","Rural Area","1","","","","2"
"No","2009","indirect migration background","Urban Area","202","0.405135014690056","0.365755530931485","0.444514498448626","2"
"No","2009","indirect migration background","Rural Area","28","","","","2"
"No","2009","direct migration background","Urban Area","632","0.570862870039378","0.544470137238988","0.597255602839769","2"
"No","2009","direct migration background","Rural Area","120","0.483373935647839","0.428363101440577","0.538384769855102","2"
"Yes","2009","direct migration background","Urban Area","719","0.429137129960622","0.402744397160231","0.455529862761012","1"
"Yes","2009","direct migration background","Rural Area","197","0.516626064352161","0.461615230144898","0.571636898559423","1"
"Yes","2009","no migration background","Urban Area","9912","0.998808215467404","0.998129205789465","0.999487225145343","1"
"Yes","2009","no migration background","Rural Area","5824","0.999719139830081","0.99928882708754","1.00014945257262","1"
"Yes","2009","indirect migration background","Urban Area","395","0.594864985309944","0.555485501551374","0.634244469068515","1"
"Yes","2009","indirect migration background","Rural Area","90","0.664859732489261","0.579689975397837","0.750029489580685","1"
"No","2010","no migration background","Urban Area","5","","","","2"
"No","2010","no migration background","Rural Area","","","","","2"
"No","2010","indirect migration background","Urban Area","265","0.29911296741702","0.270012533438176","0.328213401395864","2"
"No","2010","indirect migration background","Rural Area","39","0.28077424995705","0.218338575918242","0.343209923995857","2"
"No","2010","direct migration background","Urban Area","1108","0.569612545485303","0.549346657478022","0.589878433492584","2"
"No","2010","direct migration background","Rural Area","239","0.498682873154205","0.459198410466909","0.5381673358415","2"
"Yes","2010","direct migration background","Urban Area","1185","0.430387454514697","0.410121566507416","0.450653342521978","1"
"Yes","2010","direct migration background","Rural Area","377","0.501317126845795","0.4618326641585","0.540801589533091","1"
"Yes","2010","no migration background","Urban Area","12576","0.999243405847882","0.998762945395977","0.999723866299786","1"
"Yes","2010","no migration background","Rural Area","7431","1","1","1","1"
"Yes","2010","indirect migration background","Urban Area","686","0.70088703258298","0.671786598604136","0.729987466561823","1"
"Yes","2010","indirect migration background","Rural Area","160","0.71922575004295","0.656790076004143","0.781661424081758","1"
"No","2011","no migration background","Urban Area","11","","","","2"
"No","2011","no migration background","Rural Area","2","","","","2"
"No","2011","indirect migration background","Urban Area","193","0.273732344350873","0.241321354438076","0.306143334263671","2"
"No","2011","indirect migration background","Rural Area","26","","","","2"
"No","2011","direct migration background","Urban Area","710","0.523931712382386","0.499819255905219","0.548044168859554","2"
"No","2011","direct migration background","Rural Area","162","0.452578750902014","0.408462198422052","0.496695303381976","2"
"Yes","2011","direct migration background","Urban Area","938","0.476068287617613","0.451955831140446","0.500180744094781","1"
"Yes","2011","direct migration background","Rural Area","327","0.547421249097986","0.503304696618024","0.591537801577948","1"
"Yes","2011","no migration background","Urban Area","12145","0.999183649647514","0.998675942009541","0.999691357285488","1"
"Yes","2011","no migration background","Rural Area","7088","0.999785569969493","0.99944475300094","1.00012638693805","1"
"Yes","2011","indirect migration background","Urban Area","534","0.726267655649127","0.693856665736329","0.758678645561925","1"
"Yes","2011","indirect migration background","Rural Area","120","0.736270437374932","0.664792871912908","0.807748002836957","1"
"No","2012","no migration background","Urban Area","11","","","","2"
"No","2012","no migration background","Rural Area","1","","","","2"
"No","2012","indirect migration background","Urban Area","240","0.274395265612573","0.247211083128582","0.301579448096564","2"
"No","2012","indirect migration background","Rural Area","37","0.219143630062935","0.167450772333132","0.270836487792739","2"
"No","2012","direct migration background","Urban Area","1031","0.543783360622127","0.523338733918485","0.564227987325768","2"
"No","2012","direct migration background","Rural Area","264","0.433953454248792","0.398992193301285","0.468914715196299","2"
"Yes","2012","direct migration background","Urban Area","1249","0.456216639377873","0.435772012674232","0.476661266081515","1"
"Yes","2012","direct migration background","Rural Area","508","0.566046545751208","0.531085284803701","0.601007806698715","1"
"Yes","2012","no migration background","Urban Area","14433","0.998985699593363","0.998466580160567","0.999504819026159","1"
"Yes","2012","no migration background","Rural Area","8964","0.999887947737412","0.999668839388605","1.00010705608622","1"
"Yes","2012","indirect migration background","Urban Area","795","0.725604734387427","0.698420551903436","0.752788916871418","1"
"Yes","2012","indirect migration background","Rural Area","209","0.780856369937065","0.729163512207261","0.832549227666868","1"
"No","2013","no migration background","Urban Area","11","","","","2"
"No","2013","no migration background","Rural Area","1","","","","2"
"No","2013","direct migration background","Urban Area","915","0.482398712922159","0.460752101874896","0.504045323969422","2"
"No","2013","direct migration background","Rural Area","236","0.425226691170336","0.387452628294236","0.463000754046435","2"
"No","2013","indirect migration background","Urban Area","201","0.202172596620405","0.176950323063331","0.227394870177479","2"
"No","2013","indirect migration background","Rural Area","36","0.178421585552152","0.128941279134704","0.227901891969601","2"
"Yes","2013","direct migration background","Urban Area","1132","0.517601287077841","0.495954676030578","0.539247898125103","1"
"Yes","2013","direct migration background","Rural Area","422","0.574773308829664","0.536999245953565","0.612547371705763","1"
"Yes","2013","no migration background","Urban Area","13532","0.998894365315017","0.998334664085787","0.999454066544247","1"
"Yes","2013","no migration background","Rural Area","8344","0.999827255017927","0.99954528682141","1.00010922321444","1"
"Yes","2013","indirect migration background","Urban Area","773","0.797827403379595","0.772605129822521","0.823049676936669","1"
"Yes","2013","indirect migration background","Rural Area","194","0.821578414447848","0.772098108030399","0.871058720865296","1"
"No","2014","no migration background","Urban Area","11","","","","2"
"No","2014","no migration background","Rural Area","1","","","","2"
"No","2014","direct migration background","Urban Area","2044","0.570168273973088","0.554544928742825","0.58579161920335","2"
"No","2014","direct migration background","Rural Area","564","0.513890010887755","0.486455617655982","0.541324404119527","2"
"No","2014","indirect migration background","Urban Area","419","0.256936023364447","0.234599528313109","0.279272518415784","2"
"No","2014","indirect migration background","Rural Area","69","0.24184996337007","0.195438548547822","0.288261378192317","2"
"Yes","2014","direct migration background","Urban Area","1813","0.429831726026912","0.41420838079665","0.445455071257175","1"
"Yes","2014","direct migration background","Rural Area","711","0.486109989112245","0.458675595880473","0.513544382344018","1"
"Yes","2014","no migration background","Urban Area","12559","0.999296520758711","0.998833016975701","0.999760024541722","1"
"Yes","2014","no migration background","Rural Area","7714","0.999810207543335","0.999502825578278","1.00011758950839","1"
"Yes","2014","indirect migration background","Urban Area","1051","0.743063976635553","0.720727481584216","0.765400471686891","1"
"Yes","2014","indirect migration background","Rural Area","258","0.75815003662993","0.711738621807683","0.804561451452178","1"
"No","2015","no migration background","Urban Area","9","","","","2"
"No","2015","no migration background","Rural Area","1","","","","2"
"No","2015","direct migration background","Urban Area","2751","0.583070824083702","0.568563237352633","0.597578410814771","2"
"No","2015","direct migration background","Rural Area","816","0.497464843160658","0.472212596261299","0.522717090060017","2"
"No","2015","indirect migration background","Urban Area","378","0.27453292695403","0.250969982725753","0.298095871182307","2"
"No","2015","indirect migration background","Rural Area","61","0.180673188056713","0.138049467121153","0.223296908992274","2"
"Yes","2015","direct migration background","Urban Area","1686","0.416929175916298","0.402421589185229","0.431436762647367","1"
"Yes","2015","direct migration background","Rural Area","690","0.502535156839342","0.477282909939983","0.527787403738701","1"
"Yes","2015","indirect migration background","Urban Area","1000","0.72546707304597","0.701904128817693","0.749030017274247","1"
"Yes","2015","no migration background","Urban Area","11940","0.999426804575094","0.998997654527898","0.99985595462229","1"
"Yes","2015","no migration background","Rural Area","7375","0.999808298025775","0.999492354617982","1.00012424143357","1"
"Yes","2015","indirect migration background","Rural Area","252","0.819326811943286","0.776703091007726","0.861950532878846","1"
"No","2016","no migration background","Urban Area","12","","","","2"
"No","2016","no migration background","Rural Area","1","","","","2"
"No","2016","direct migration background","Urban Area","2138","0.619999975710225","0.604235999575108","0.635763951845343","2"
"No","2016","direct migration background","Rural Area","636","0.56851680155511","0.541158519500204","0.595875083610015","2"
"No","2016","indirect migration background","Urban Area","312","0.254784829353872","0.230725116225849","0.278844542481894","2"
"No","2016","indirect migration background","Rural Area","58","0.211287452530895","0.165990704663556","0.256584200398234","2"
"Yes","2016","direct migration background","Urban Area","1504","0.380000024289775","0.364236048154657","0.395764000424892","1"
"Yes","2016","direct migration background","Rural Area","623","0.43148319844489","0.404124916389985","0.458841480499796","1"
"Yes","2016","indirect migration background","Urban Area","948","0.745215170646128","0.721155457518106","0.769274883774151","1"
"Yes","2016","indirect migration background","Rural Area","254","0.788712547469105","0.743415799601766","0.834009295336444","1"
"Yes","2016","no migration background","Urban Area","11109","0.999123252187729","0.998573175741565","0.999673328633894","1"
"Yes","2016","no migration background","Rural Area","6836","0.999743678431459","0.999364230481824","1.00012312638109","1"
"No","2017","no migration background","Urban Area","10","","","","2"
"No","2017","no migration background","Rural Area","1","","","","2"
"No","2017","direct migration background","Urban Area","3733","0.651111904312567","0.638264531430295","0.663959277194838","2"
"No","2017","direct migration background","Rural Area","1397","0.647894523965382","0.627003737925565","0.6687853100052","2"
"No","2017","indirect migration background","Urban Area","332","0.267312359835317","0.244212598791758","0.290412120878876","2"
"No","2017","indirect migration background","Rural Area","39","0.164490531785897","0.122885648160203","0.206095415411591","2"
"Yes","2017","direct migration background","Urban Area","1554","0.348888095687433","0.336040722805162","0.361735468569705","1"
"Yes","2017","direct migration background","Rural Area","611","0.352105476034618","0.3312146899948","0.372996262074435","1"
"Yes","2017","indirect migration background","Urban Area","1078","0.732687640164683","0.709587879121124","0.755787401208242","1"
"Yes","2017","indirect migration background","Rural Area","266","0.835509468214103","0.793904584588409","0.877114351839797","1"
"Yes","2017","no migration background","Urban Area","12401","0.999315963508667","0.998855986895601","0.999775940121734","1"
"Yes","2017","no migration background","Rural Area","7928","0.999706023762435","0.999328685235038","1.00008336228983","1"
"No","2018","no migration background","Urban Area","7","","","","2"
"No","2018","no migration background","Rural Area","1","","","","2"
"No","2018","direct migration background","Urban Area","4690","0.684393877759901","0.672802896199763","0.695984859320039","2"
"No","2018","direct migration background","Rural Area","1583","0.65709725822874","0.637083851850516","0.677110664606964","2"
"No","2018","indirect migration background","Urban Area","283","0.252791574878386","0.229984837321675","0.275598312435097","2"
"No","2018","indirect migration background","Rural Area","41","0.185821936690407","0.143071286869099","0.228572586511715","2"
"Yes","2018","direct migration background","Urban Area","1486","0.315606122240099","0.304015140679961","0.327197103800237","1"
"Yes","2018","direct migration background","Rural Area","578","0.34290274177126","0.322889335393036","0.362916148149484","1"
"Yes","2018","indirect migration background","Urban Area","1112","0.747208425121614","0.724401687564903","0.770015162678325","1"
"Yes","2018","indirect migration background","Rural Area","277","0.814178063309593","0.771427413488284","0.856928713130901","1"
"Yes","2018","no migration background","Urban Area","12029","0.998910011583755","0.998320515226583","0.999499507940928","1"
"Yes","2018","no migration background","Rural Area","7598","0.99960022236858","0.999150761086694","1.00004968365047","1"
"No","2019","no migration background","Urban Area","10","","","","2"
"No","2019","no migration background","Rural Area","","","","","2"
"No","2019","direct migration background","Urban Area","3870","0.689560059636412","0.676968926620092","0.702151192652731","2"
"No","2019","direct migration background","Rural Area","1423","0.660166327262906","0.639073093310098","0.681259561215714","2"
"No","2019","indirect migration background","Urban Area","223","0.25752418498022","0.233531827681393","0.281516542279048","2"
"No","2019","indirect migration background","Rural Area","41","0.193694505974393","0.150926438176987","0.236462573771798","2"
"Yes","2019","direct migration background","Urban Area","1317","0.310439940363588","0.297848807347269","0.323031073379908","1"
"Yes","2019","direct migration background","Rural Area","514","0.339833672737094","0.318740438784286","0.360926906689902","1"
"Yes","2019","indirect migration background","Urban Area","1053","0.74247581501978","0.718483457720952","0.766468172318607","1"
"Yes","2019","indirect migration background","Rural Area","287","0.806305494025607","0.763537426228202","0.849073561823013","1"
"Yes","2019","no migration background","Urban Area","11495","0.998870942197892","0.9982572966929","0.999484587702883","1"
"Yes","2019","no migration background","Rural Area","7566","1","1","1","1"
