"plj0014_v3","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1997","Part Time","(Married) couple without C. ","78","0.109193171819255","0.0825907828564068","0.135795560782103","2"
"No","1997","Part Time","1-pers.-HH","18","","","","2"
"No","1997","Part Time","Couple + C. GT 16 ","104","0.109947387857678","0.0828772974684746","0.137017478246881","2"
"No","1997","Part Time","Couple + C. LE 16 ","118","0.11403715317007","0.0909477163609361","0.137126589979205","2"
"No","1997","Part Time","Couple + C. LE and GT 16","70","0.162940881451733","0.119760345580638","0.206121417322829","2"
"No","1997","Part Time","Single parent ","19","","","","2"
"Yes","1997","Not Working","Single parent ","188","0.914631876000378","0.877453598948467","0.951810153052289","1"
"Yes","1997","Full Time","1-pers.-HH","493","0.947377267740052","0.928597234662354","0.966157300817751","1"
"Yes","1997","Not Working","Couple + C. LE and GT 16","262","0.797200901036281","0.755780842649906","0.838620959422657","1"
"Yes","1997","Full Time","(Married) couple without C. ","1270","0.925064389054657","0.911470422150735","0.938658355958579","1"
"Yes","1997","Not Working","Couple + C. LE 16 ","482","0.780456162938054","0.748900141413351","0.812012184462757","1"
"Yes","1997","Full Time","Couple + C. LE 16 ","1232","0.906058107575175","0.891087889639519","0.921028325510832","1"
"Yes","1997","Not Working","1-pers.-HH","696","0.964040661305322","0.95062581333242","0.977455509278224","1"
"Yes","1997","Not Working","Couple + C. GT 16 ","606","0.879403356986629","0.856907019439511","0.901899694533747","1"
"Yes","1997","Full Time","Couple + C. GT 16 ","891","0.904524214350357","0.886849900942756","0.922198527757959","1"
"Yes","1997","Full Time","Couple + C. LE and GT 16","464","0.866175942230379","0.838226006157387","0.894125878303371","1"
"Yes","1997","Part Time","(Married) couple without C. ","450","0.890806828180745","0.864204439217897","0.917409217143593","1"
"Yes","1997","Part Time","Couple + C. GT 16 ","409","0.890052612142322","0.862982521753119","0.917122702531526","1"
"Yes","1997","Part Time","1-pers.-HH","162","0.956197708070082","0.926300261025671","0.986095155114493","1"
"Yes","1997","Full Time","Single parent ","216","0.934390261548146","0.902867647622008","0.965912875474283","1"
"Yes","1997","Not Working","(Married) couple without C. ","1502","0.94970225441687","0.939150188835327","0.960254319998413","1"
"Yes","1997","Part Time","Couple + C. LE and GT 16","211","0.837059118548267","0.793878582677171","0.880239654419362","1"
"Yes","1997","Part Time","Single parent ","165","0.942487032173708","0.908846739875999","0.976127324471418","1"
"Yes","1997","Part Time","Couple + C. LE 16 ","610","0.88596284682993","0.862873410020795","0.909052283639064","1"
"No","1998","Full Time","(Married) couple without C. ","145","0.0756504713282742","0.0626361828058104","0.0886647598507381","2"
"No","1998","Full Time","1-pers.-HH","55","0.0606555637452812","0.042016436561754","0.0792946909288084","2"
"No","1998","Full Time","Couple + C. GT 16 ","161","0.0992830388294277","0.0820295515579199","0.116536526100936","2"
"No","1998","Full Time","Couple + C. LE 16 ","197","0.0863994997113635","0.0724127752239553","0.100386224198772","2"
"No","1998","Full Time","Couple + C. LE and GT 16","92","0.150181099583415","0.120351795295361","0.180010403871469","2"
"No","1998","Full Time","Single parent ","28","","","","2"
"No","1998","Not Working","(Married) couple without C. ","144","0.0379365290678016","0.0295344042647478","0.0463386538708553","2"
"No","1998","Not Working","1-pers.-HH","41","0.0361909532436389","0.0240564247658494","0.0483254817214283","2"
"No","1998","Not Working","Couple + C. GT 16 ","190","0.127426292173551","0.105009719513302","0.1498428648338","2"
"No","1998","Not Working","Couple + C. LE 16 ","174","0.202155459731383","0.173062063166228","0.231248856296538","2"
"No","1998","Not Working","Couple + C. LE and GT 16","91","0.204217128947153","0.164360992923463","0.244073264970843","2"
"No","1998","Not Working","Single parent ","32","0.084102337898939","0.0505596604251125","0.117645015372766","2"
"No","1998","Part Time","(Married) couple without C. ","85","0.112337041059092","0.0874000945326972","0.137273987585487","2"
"No","1998","Part Time","1-pers.-HH","26","","","","2"
"No","1998","Part Time","Couple + C. GT 16 ","102","0.116301077364032","0.0898901344128325","0.142712020315231","2"
"No","1998","Part Time","Couple + C. LE 16 ","117","0.10818336305806","0.0870647397816077","0.129301986334513","2"
"No","1998","Part Time","Couple + C. LE and GT 16","68","0.206552713251468","0.161703955929592","0.251401470573344","2"
"No","1998","Part Time","Single parent ","15","","","","2"
"Yes","1998","Not Working","Single parent ","231","0.915897662101061","0.882354984627234","0.949440339574888","1"
"Yes","1998","Full Time","1-pers.-HH","575","0.939344436254719","0.920705309071192","0.957983563438246","1"
"Yes","1998","Full Time","(Married) couple without C. ","1441","0.924349528671726","0.911335240149262","0.93736381719419","1"
"Yes","1998","Not Working","Couple + C. LE and GT 16","302","0.795782871052847","0.755926735029157","0.835639007076537","1"
"Yes","1998","Not Working","Couple + C. LE 16 ","558","0.797844540268617","0.768751143703462","0.826937936833772","1"
"Yes","1998","Full Time","Couple + C. LE 16 ","1353","0.913600500288636","0.899613775801228","0.927587224776045","1"
"Yes","1998","Not Working","Couple + C. GT 16 ","660","0.872573707826449","0.8501571351662","0.894990280486698","1"
"Yes","1998","Part Time","(Married) couple without C. ","531","0.887662958940908","0.862726012414514","0.912599905467303","1"
"Yes","1998","Part Time","1-pers.-HH","199","0.932183419458181","0.899330386988242","0.96503645192812","1"
"Yes","1998","Part Time","Couple + C. GT 16 ","464","0.883698922635968","0.857287979684769","0.910109865587167","1"
"Yes","1998","Full Time","Couple + C. LE and GT 16","459","0.849818900416585","0.819989596128531","0.879648204704639","1"
"Yes","1998","Not Working","1-pers.-HH","869","0.963809046756361","0.951674518278572","0.975943575234151","1"
"Yes","1998","Full Time","Couple + C. GT 16 ","993","0.900716961170572","0.883463473899065","0.91797044844208","1"
"Yes","1998","Full Time","Single parent ","228","0.915105855409732","0.880962779485084","0.949248931334381","1"
"Yes","1998","Not Working","(Married) couple without C. ","1842","0.962063470932198","0.953661346129145","0.970465595735252","1"
"Yes","1998","Part Time","Couple + C. LE 16 ","714","0.89181663694194","0.870698013665487","0.912935260218392","1"
"Yes","1998","Part Time","Couple + C. LE and GT 16","245","0.793447286748532","0.748598529426656","0.838296044070408","1"
"Yes","1998","Part Time","Single parent ","180","0.934537001406827","0.899821216947745","0.96925278586591","1"
"No","1999","Full Time","(Married) couple without C. ","149","0.0873428160922916","0.07360270957403","0.101082922610553","2"
"No","1999","Full Time","1-pers.-HH","56","0.0702959698765374","0.0499921844479632","0.0905997553051115","2"
"No","1999","Full Time","Couple + C. GT 16 ","148","0.0893159361145723","0.0726355323649733","0.105996339864171","2"
"No","1999","Full Time","Couple + C. LE 16 ","191","0.0848145569236166","0.0709581026225501","0.0986710112246831","2"
"No","1999","Full Time","Couple + C. LE and GT 16","79","0.14824790744998","0.117676509195425","0.178819305704534","2"
"No","1999","Full Time","Single parent ","28","","","","2"
"No","1999","Not Working","(Married) couple without C. ","137","0.0420329426650491","0.0329791128661727","0.0510867724639255","2"
"No","1999","Not Working","1-pers.-HH","40","0.0340927334857648","0.0218428225231924","0.0463426444483373","2"
"No","1999","Not Working","Couple + C. GT 16 ","185","0.145925112409322","0.120989747799888","0.170860477018755","2"
"No","1999","Not Working","Couple + C. LE 16 ","151","0.20277562786187","0.171770752274806","0.233780503448935","2"
"No","1999","Not Working","Couple + C. LE and GT 16","74","0.202860999135821","0.159141747471584","0.246580250800058","2"
"No","1999","Not Working","Single parent ","26","","","","2"
"No","1999","Part Time","(Married) couple without C. ","75","0.0962702612227439","0.0733825105606595","0.119158011884828","2"
"No","1999","Part Time","1-pers.-HH","16","","","","2"
"No","1999","Part Time","Couple + C. GT 16 ","97","0.127601648266372","0.101253912748358","0.153949383784386","2"
"No","1999","Part Time","Couple + C. LE 16 ","106","0.108238724555815","0.0871660096816658","0.129311439429965","2"
"No","1999","Part Time","Couple + C. LE and GT 16","46","0.136943337691839","0.0992761487190578","0.17461052666462","2"
"No","1999","Part Time","Single parent ","20","","","","2"
"Yes","1999","Part Time","(Married) couple without C. ","563","0.903729738777256","0.880841988115172","0.926617489439341","1"
"Yes","1999","Part Time","1-pers.-HH","231","0.944693880772295","0.916188177617589","0.973199583927","1"
"Yes","1999","Part Time","Couple + C. GT 16 ","519","0.872398351733628","0.846050616215614","0.898746087251642","1"
"Yes","1999","Full Time","1-pers.-HH","553","0.929704030123463","0.909400244694889","0.950007815552037","1"
"Yes","1999","Not Working","Couple + C. LE and GT 16","251","0.797139000864179","0.753419749199942","0.840858252528416","1"
"Yes","1999","Not Working","Single parent ","228","0.945474240529543","0.917551570452014","0.973396910607071","1"
"Yes","1999","Full Time","(Married) couple without C. ","1473","0.912657183907708","0.898917077389447","0.92639729042597","1"
"Yes","1999","Full Time","Couple + C. LE 16 ","1362","0.915185443076383","0.901328988775317","0.92904189737745","1"
"Yes","1999","Full Time","Couple + C. LE and GT 16","440","0.85175209255002","0.821180694295466","0.882323490804575","1"
"Yes","1999","Not Working","Couple + C. LE 16 ","495","0.79722437213813","0.766219496551065","0.828229247725194","1"
"Yes","1999","Part Time","Couple + C. LE 16 ","729","0.891761275444185","0.870688560570035","0.912833990318334","1"
"Yes","1999","Part Time","Couple + C. LE and GT 16","274","0.863056662308161","0.82538947333538","0.900723851280942","1"
"Yes","1999","Part Time","Single parent ","181","0.914276757475526","0.87557433075269","0.952979184198362","1"
"Yes","1999","Not Working","1-pers.-HH","803","0.965907266514235","0.953657355551663","0.978157177476808","1"
"Yes","1999","Not Working","Couple + C. GT 16 ","585","0.854074887590678","0.829139522981245","0.879010252200112","1"
"Yes","1999","Full Time","Couple + C. GT 16 ","975","0.910684063885428","0.894003660135829","0.927364467635027","1"
"Yes","1999","Full Time","Single parent ","236","0.910758459218887","0.876368531391689","0.945148387046085","1"
"Yes","1999","Not Working","(Married) couple without C. ","1750","0.957967057334951","0.948913227536075","0.967020887133827","1"
"No","2000","Full Time","(Married) couple without C. ","186","0.0725433015609417","0.0627954452531316","0.0822911578687518","2"
"No","2000","Full Time","1-pers.-HH","72","0.0503746686635317","0.0382980580032598","0.0624512793238036","2"
"No","2000","Full Time","Couple + C. GT 16 ","198","0.100023588534426","0.0861746334482717","0.113872543620581","2"
"No","2000","Full Time","Couple + C. LE 16 ","280","0.0972990009585596","0.0861057544995303","0.108492247417589","2"
"No","2000","Full Time","Couple + C. LE and GT 16","77","0.116171745478303","0.0945922849334446","0.137751206023162","2"
"No","2000","Full Time","Single parent ","48","0.106772507274185","0.0789120748310351","0.134632939717334","2"
"No","2000","Not Working","(Married) couple without C. ","189","0.0430445176452979","0.0365770433614271","0.0495119919291688","2"
"No","2000","Not Working","1-pers.-HH","57","0.0299743326654229","0.0216270003343733","0.0383216649964726","2"
"No","2000","Not Working","Couple + C. GT 16 ","195","0.130746765307633","0.111363200023056","0.150130330592209","2"
"No","2000","Not Working","Couple + C. LE 16 ","240","0.22179200039692","0.197439252459407","0.246144748334434","2"
"No","2000","Not Working","Couple + C. LE and GT 16","104","0.185411446430718","0.153049798319784","0.217773094541652","2"
"No","2000","Not Working","Single parent ","32","0.0693695312017556","0.0444388206485841","0.0943002417549271","2"
"No","2000","Part Time","(Married) couple without C. ","92","0.0726439587701446","0.0572284751000724","0.0880594424402169","2"
"No","2000","Part Time","1-pers.-HH","47","0.0746001372830884","0.0517520018926155","0.0974482726735612","2"
"No","2000","Part Time","Couple + C. GT 16 ","112","0.0972763000540676","0.0789371768314681","0.115615423276667","2"
"No","2000","Part Time","Couple + C. LE 16 ","166","0.131455132199106","0.114045133935945","0.148865130462268","2"
"No","2000","Part Time","Couple + C. LE and GT 16","79","0.156755593787993","0.126287682244498","0.187223505331489","2"
"No","2000","Part Time","Single parent ","20","","","","2"
"Yes","2000","Part Time","(Married) couple without C. ","997","0.927356041229855","0.911940557559783","0.942771524899928","1"
"Yes","2000","Part Time","1-pers.-HH","461","0.925399862716912","0.902551727326439","0.948247998107384","1"
"Yes","2000","Not Working","Couple + C. LE and GT 16","450","0.814588553569282","0.782226905458348","0.846950201680216","1"
"Yes","2000","Not Working","Single parent ","367","0.930630468798244","0.905699758245073","0.955561179351416","1"
"Yes","2000","Part Time","Couple + C. GT 16 ","891","0.902723699945932","0.884384576723333","0.921062823168532","1"
"Yes","2000","Full Time","1-pers.-HH","1188","0.949625331336468","0.937548720676196","0.96170194199674","1"
"Yes","2000","Full Time","(Married) couple without C. ","2534","0.927456698439058","0.917708842131248","0.937204554746868","1"
"Yes","2000","Full Time","Couple + C. LE 16 ","2413","0.90270099904144","0.891507752582411","0.91389424550047","1"
"Yes","2000","Full Time","Couple + C. LE and GT 16","770","0.883828254521697","0.862248793976838","0.905407715066555","1"
"Yes","2000","Not Working","1-pers.-HH","1546","0.970025667334577","0.961678335003527","0.978372999665627","1"
"Yes","2000","Not Working","Couple + C. GT 16 ","967","0.869253234692367","0.849869669407791","0.888636799976944","1"
"Yes","2000","Not Working","Couple + C. LE 16 ","878","0.77820799960308","0.753855251665566","0.802560747540593","1"
"Yes","2000","Part Time","Couple + C. LE 16 ","1281","0.868544867800894","0.851134869537732","0.885954866064055","1"
"Yes","2000","Part Time","Couple + C. LE and GT 16","468","0.843244406212007","0.812776494668511","0.873712317755502","1"
"Yes","2000","Part Time","Single parent ","315","0.949181491126404","0.925662901356856","0.972700080895951","1"
"Yes","2000","Full Time","Couple + C. GT 16 ","1605","0.899976411465574","0.886127456379419","0.913825366551728","1"
"Yes","2000","Full Time","Single parent ","424","0.893227492725815","0.865367060282666","0.921087925168965","1"
"Yes","2000","Not Working","(Married) couple without C. ","3594","0.956955482354702","0.950488008070831","0.963422956638573","1"
"No","2001","Full Time","(Married) couple without C. ","165","0.0675626927059256","0.0575314705997413","0.0775939148121099","2"
"No","2001","Full Time","1-pers.-HH","59","0.038880635480803","0.0274828023865144","0.0502784685750916","2"
"No","2001","Full Time","Couple + C. GT 16 ","168","0.0876593000156937","0.0740837380948784","0.101234861936509","2"
"No","2001","Full Time","Couple + C. LE 16 ","256","0.103777076846698","0.0916887164331567","0.115865437260238","2"
"No","2001","Full Time","Couple + C. LE and GT 16","82","0.134892183436931","0.110888007415174","0.158896359458689","2"
"No","2001","Full Time","Single parent ","41","0.10659117675804","0.0772525776376959","0.135929775878385","2"
"No","2001","Not Working","(Married) couple without C. ","194","0.0477332291872666","0.040617961940496","0.0548484964340373","2"
"No","2001","Not Working","1-pers.-HH","41","0.0246818217094865","0.0166876110150899","0.0326760324038831","2"
"No","2001","Not Working","Couple + C. GT 16 ","157","0.127917283474631","0.107782171411116","0.148052395538146","2"
"No","2001","Not Working","Couple + C. LE 16 ","184","0.224245589998616","0.197639186324909","0.250851993672323","2"
"No","2001","Not Working","Couple + C. LE and GT 16","75","0.170679523302685","0.136520374699444","0.204838671905927","2"
"No","2001","Not Working","Single parent ","27","","","","2"
"No","2001","Part Time","(Married) couple without C. ","82","0.0790479156423481","0.0628357509827298","0.0952600803019665","2"
"No","2001","Part Time","1-pers.-HH","44","0.0941808577770199","0.0677468059263273","0.120614909627713","2"
"No","2001","Part Time","Couple + C. GT 16 ","97","0.103627349560802","0.0839865701298077","0.123268128991796","2"
"No","2001","Part Time","Couple + C. LE 16 ","160","0.119533239393203","0.102423157866361","0.136643320920045","2"
"No","2001","Part Time","Couple + C. LE and GT 16","65","0.152058508579659","0.120833357994095","0.183283659165222","2"
"No","2001","Part Time","Single parent ","24","","","","2"
"Yes","2001","Part Time","(Married) couple without C. ","982","0.920952084357652","0.904739919698034","0.93716424901727","1"
"Yes","2001","Part Time","1-pers.-HH","425","0.90581914222298","0.879385090372288","0.932253194073673","1"
"Yes","2001","Not Working","Couple + C. LE and GT 16","391","0.829320476697315","0.795161328094073","0.863479625300557","1"
"Yes","2001","Not Working","Single parent ","354","0.940015057092499","0.916171330506003","0.963858783678995","1"
"Yes","2001","Part Time","Couple + C. GT 16 ","828","0.896372650439198","0.876731871008204","0.916013429870192","1"
"Yes","2001","Full Time","(Married) couple without C. ","2240","0.932437307294074","0.92240608518789","0.942468529400259","1"
"Yes","2001","Full Time","1-pers.-HH","1046","0.961119364519197","0.949721531424908","0.972517197613486","1"
"Yes","2001","Full Time","Couple + C. LE 16 ","2189","0.896222923153302","0.884134562739762","0.908311283566843","1"
"Yes","2001","Full Time","Couple + C. LE and GT 16","696","0.865107816563069","0.841103640541311","0.889111992584826","1"
"Yes","2001","Not Working","1-pers.-HH","1406","0.975318178290513","0.967323967596117","0.98331238898491","1"
"Yes","2001","Not Working","Couple + C. GT 16 ","900","0.872082716525369","0.851947604461854","0.892217828588884","1"
"Yes","2001","Not Working","Couple + C. LE 16 ","760","0.775754410001384","0.749148006327677","0.802360813675091","1"
"Yes","2001","Part Time","Couple + C. LE 16 ","1221","0.880466760606797","0.863356679079955","0.897576842133639","1"
"Yes","2001","Part Time","Couple + C. LE and GT 16","443","0.847941491420341","0.816716340834778","0.879166642005905","1"
"Yes","2001","Part Time","Single parent ","300","0.92826468878413","0.900166521458944","0.956362856109316","1"
"Yes","2001","Full Time","Couple + C. GT 16 ","1499","0.912340699984306","0.898765138063491","0.925916261905122","1"
"Yes","2001","Full Time","Single parent ","384","0.89340882324196","0.864070224121615","0.922747422362304","1"
"Yes","2001","Not Working","(Married) couple without C. ","3255","0.952266770812733","0.945151503565963","0.959382038059504","1"
"No","2002","Full Time","(Married) couple without C. ","177","0.076555482955576","0.0664909590015049","0.0866200069096471","2"
"No","2002","Full Time","1-pers.-HH","60","0.0531685662013886","0.0400981720067514","0.0662389603960257","2"
"No","2002","Full Time","Couple + C. GT 16 ","122","0.0674002884830062","0.0558052167183416","0.0789953602476709","2"
"No","2002","Full Time","Couple + C. LE 16 ","226","0.101046266350598","0.0891071773398854","0.112985355361311","2"
"No","2002","Full Time","Couple + C. LE and GT 16","95","0.131487516194685","0.108849336539841","0.154125695849528","2"
"No","2002","Full Time","Single parent ","37","0.0932974959144984","0.0659340600913451","0.120660931737652","2"
"No","2002","Not Working","(Married) couple without C. ","197","0.050543840548959","0.043355854168656","0.0577318269292619","2"
"No","2002","Not Working","1-pers.-HH","45","0.0299418562625849","0.0211424302463214","0.0387412822788485","2"
"No","2002","Not Working","Couple + C. GT 16 ","143","0.133676931303486","0.114194082582237","0.153159780024735","2"
"No","2002","Not Working","Couple + C. LE 16 ","157","0.198317635855176","0.172151023714712","0.224484247995639","2"
"No","2002","Not Working","Couple + C. LE and GT 16","75","0.192719953360222","0.15825009105468","0.227189815665764","2"
"No","2002","Not Working","Single parent ","27","","","","2"
"No","2002","Part Time","(Married) couple without C. ","85","0.0670551529607262","0.0531225637483859","0.0809877421730666","2"
"No","2002","Part Time","1-pers.-HH","24","","","","2"
"No","2002","Part Time","Couple + C. GT 16 ","96","0.112286668936485","0.0931445321229341","0.131428805750036","2"
"No","2002","Part Time","Couple + C. LE 16 ","142","0.129715682309993","0.112264698426764","0.147166666193221","2"
"No","2002","Part Time","Couple + C. LE and GT 16","61","0.132532822940694","0.105334058532477","0.159731587348912","2"
"No","2002","Part Time","Single parent ","21","","","","2"
"Yes","2002","Part Time","(Married) couple without C. ","1153","0.932944847039274","0.919012257826933","0.946877436251614","1"
"Yes","2002","Part Time","1-pers.-HH","428","0.961177582716324","0.943369302656471","0.978985862776178","1"
"Yes","2002","Full Time","(Married) couple without C. ","2504","0.923444517044424","0.913379993090353","0.933509040998495","1"
"Yes","2002","Full Time","1-pers.-HH","1072","0.946831433798612","0.933761039603974","0.959901827993249","1"
"Yes","2002","Not Working","Couple + C. LE and GT 16","428","0.807280046639778","0.772810184334236","0.841749908945319","1"
"Yes","2002","Not Working","Single parent ","342","0.93394256565719","0.908599692872908","0.959285438441472","1"
"Yes","2002","Part Time","Couple + C. GT 16 ","949","0.887713331063515","0.868571194249964","0.906855467877066","1"
"Yes","2002","Full Time","Couple + C. GT 16 ","1674","0.932599711516994","0.921004639752329","0.944194783281659","1"
"Yes","2002","Full Time","Couple + C. LE 16 ","2222","0.898953733649402","0.887014644638689","0.910892822660115","1"
"Yes","2002","Full Time","Couple + C. LE and GT 16","761","0.868512483805315","0.845874304150472","0.891150663460159","1"
"Yes","2002","Not Working","1-pers.-HH","1396","0.970058143737415","0.961258717721151","0.978857569753679","1"
"Yes","2002","Not Working","Couple + C. GT 16 ","1029","0.866323068696514","0.846840219975265","0.885805917417763","1"
"Yes","2002","Not Working","Couple + C. LE 16 ","735","0.801682364144824","0.775515752004361","0.827848976285288","1"
"Yes","2002","Part Time","Couple + C. LE 16 ","1282","0.870284317690008","0.852833333806779","0.887735301573236","1"
"Yes","2002","Part Time","Couple + C. LE and GT 16","536","0.867467177059305","0.840268412651087","0.894665941467523","1"
"Yes","2002","Part Time","Single parent ","313","0.932201080735101","0.905239767364738","0.959162394105464","1"
"Yes","2002","Full Time","Single parent ","397","0.906702504085502","0.879339068262348","0.934065939908655","1"
"Yes","2002","Not Working","(Married) couple without C. ","3371","0.949456159451041","0.942268173070738","0.956644145831344","1"
"No","2003","Not Working","Couple + C. GT 16 ","133","0.134679907207205","0.115234724051206","0.154125090363205","2"
"No","2003","Not Working","Couple + C. LE 16 ","146","0.207609703547184","0.179677899925484","0.235541507168884","2"
"No","2003","Not Working","Couple + C. LE and GT 16","80","0.204326518256425","0.169124899736527","0.239528136776323","2"
"No","2003","Not Working","Single parent ","29","","","","2"
"No","2003","Part Time","(Married) couple without C. ","88","0.0774569523943446","0.0627028066038338","0.0922110981848554","2"
"No","2003","Full Time","(Married) couple without C. ","139","0.0709486130028715","0.0608846296538457","0.0810125963518972","2"
"No","2003","Full Time","1-pers.-HH","47","0.0460535809414148","0.0335587916269951","0.0585483702558345","2"
"No","2003","Full Time","Couple + C. GT 16 ","113","0.0766825726562703","0.0641944054619987","0.0891707398505419","2"
"No","2003","Full Time","Couple + C. LE 16 ","209","0.108613155576131","0.095687283993373","0.121539027158889","2"
"No","2003","Full Time","Couple + C. LE and GT 16","84","0.128714834609013","0.105198272981761","0.152231396236266","2"
"No","2003","Full Time","Single parent ","39","0.105818230081515","0.0757485909011499","0.13588786926188","2"
"No","2003","Not Working","(Married) couple without C. ","195","0.0525669781816511","0.0452484604260015","0.0598854959373007","2"
"No","2003","Not Working","1-pers.-HH","45","0.0286968947902218","0.0201506378183818","0.0372431517620617","2"
"No","2003","Part Time","1-pers.-HH","28","","","","2"
"No","2003","Part Time","Couple + C. GT 16 ","76","0.0900900201863089","0.0726134456048666","0.107566594767751","2"
"No","2003","Part Time","Couple + C. LE 16 ","125","0.103892110410025","0.087657958636466","0.120126262183584","2"
"No","2003","Part Time","Couple + C. LE and GT 16","58","0.15258627780918","0.122909685899633","0.182262869718728","2"
"No","2003","Part Time","Single parent ","18","","","","2"
"Yes","2003","Full Time","(Married) couple without C. ","2361","0.929051386997129","0.918987403648103","0.939115370346154","1"
"Yes","2003","Full Time","1-pers.-HH","1034","0.953946419058585","0.941451629744166","0.966441208373005","1"
