"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Bremen","indirect migration background","2","","",""
"Yes","1999","North Rhine-Westphalia","no migration background","1984","0.998024623977013","0.996071349151327","0.9999778988027"
"Yes","1999","North Rhine-Westphalia","direct migration background","224","0.471561868932604","0.430363980883408","0.512759756981801"
"Yes","1999","North Rhine-Westphalia","indirect migration background","52","0.383904571956908","0.310581546961459","0.457227596952358"
"Yes","1999","Hesse","no migration background","610","0.9949711874719","0.989362445499016","1.00057992944478"
"Yes","1999","Hesse","direct migration background","86","0.475867794864131","0.411325002169033","0.540410587559228"
"Yes","1999","Hesse","indirect migration background","18","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","no migration background","605","1","1","1"
"Yes","1999","Rhineland-Palatinate,Saarland","direct migration background","82","0.565020821932389","0.485948211251937","0.644093432612841"
"Yes","1999","Rhineland-Palatinate,Saarland","indirect migration background","9","","",""
"Yes","1999","Baden-Württemberg","no migration background","1017","0.999273060902969","0.997619047179858","1.00092707462608"
"Yes","1999","Baden-Württemberg","direct migration background","128","0.353573093727911","0.313906006770409","0.393240180685413"
"Yes","1999","Baden-Württemberg","indirect migration background","40","0.439638118744195","0.363674065462715","0.515602172025674"
"Yes","1999","Bavaria","no migration background","1394","0.995132966322946","0.991480941509386","0.998784991136505"
"Yes","1999","Bavaria","direct migration background","118","0.411067378387354","0.35740917318333","0.464725583591379"
"Yes","1999","Bavaria","indirect migration background","40","0.634873436918798","0.533116468864921","0.736630404972676"
"Yes","1999","Berlin","no migration background","445","0.998337404965885","0.99455635363953","1.00211845629224"
"Yes","1999","Berlin","direct migration background","17","","",""
"Yes","1999","Berlin","indirect migration background","15","","",""
"Yes","1999","Brandenburg","no migration background","583","0.996880049361904","0.992356941117117","1.00140315760669"
"Yes","1999","Brandenburg","direct migration background","15","","",""
"Yes","1999","Brandenburg","indirect migration background","3","","",""
"Yes","1999","Mecklenburg-Western Pomerania","no migration background","392","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","direct migration background","9","","",""
"Yes","1999","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","1999","Saxony","no migration background","1118","1","1","1"
"Yes","1999","Saxony","direct migration background","28","","",""
"Yes","1999","Saxony","indirect migration background","6","","",""
"Yes","1999","Saxony-Anhalt","no migration background","659","1","1","1"
"Yes","1999","Saxony-Anhalt","direct migration background","27","","",""
"Yes","1999","Saxony-Anhalt","indirect migration background","7","","",""
"Yes","1999","Thuringia","no migration background","696","1","1","1"
"Yes","1999","Thuringia","direct migration background","22","","",""
"Yes","1999","Thuringia","indirect migration background","3","","",""
"No","1999","Schleswig-Holstein","no migration background","","","",""
"No","1999","Schleswig-Holstein","direct migration background","16","","",""
"No","1999","Schleswig-Holstein","indirect migration background","3","","",""
"No","1999","Hamburg","no migration background","","","",""
"No","1999","Hamburg","direct migration background","21","","",""
"No","1999","Hamburg","indirect migration background","4","","",""
"No","1999","Lower Saxony","no migration background","1","","",""
"No","1999","Lower Saxony","direct migration background","75","0.390174721673031","0.318515783957","0.461833659389062"
"No","1999","Lower Saxony","indirect migration background","28","","",""
"No","1999","Bremen","no migration background","","","",""
"No","1999","Bremen","direct migration background","5","","",""
"No","1999","Bremen","indirect migration background","2","","",""
"No","1999","North Rhine-Westphalia","no migration background","1","","",""
"No","1999","North Rhine-Westphalia","direct migration background","340","0.528438131067396","0.487240243018199","0.569636019116592"
"No","1999","North Rhine-Westphalia","indirect migration background","117","0.616095428043092","0.542772403047642","0.689418453038541"
"No","1999","Hesse","no migration background","1","","",""
"No","1999","Hesse","direct migration background","144","0.524132205135869","0.459589412440772","0.588674997830967"
"No","1999","Hesse","indirect migration background","42","0.510489762310838","0.384002476400566","0.63697704822111"
"No","1999","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","1999","Rhineland-Palatinate,Saarland","direct migration background","69","0.434979178067611","0.355906567387159","0.514051788748063"
"No","1999","Rhineland-Palatinate,Saarland","indirect migration background","9","","",""
"No","1999","Baden-Württemberg","no migration background","3","","",""
"No","1999","Baden-Württemberg","direct migration background","430","0.646426906272089","0.606759819314587","0.686093993229591"
"No","1999","Baden-Württemberg","indirect migration background","124","0.560361881255805","0.484397827974326","0.636325934537285"
"No","1999","Bavaria","no migration background","1","","",""
"No","1999","Bavaria","direct migration background","205","0.588932621612646","0.535274416408622","0.64259082681667"
"No","1999","Bavaria","indirect migration background","46","0.365126563081202","0.263369595027324","0.466883531135079"
"No","1999","Berlin","no migration background","1","","",""
"No","1999","Berlin","direct migration background","31","0.64121873580169","0.505529482669052","0.776907988934328"
"No","1999","Berlin","indirect migration background","7","","",""
"No","1999","Brandenburg","no migration background","1","","",""
"No","1999","Brandenburg","direct migration background","","","",""
"No","1999","Brandenburg","indirect migration background","","","",""
"No","1999","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1999","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1999","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1999","Saxony","no migration background","","","",""
"No","1999","Saxony","direct migration background","5","","",""
"No","1999","Saxony","indirect migration background","","","",""
"No","1999","Saxony-Anhalt","no migration background","","","",""
"No","1999","Saxony-Anhalt","direct migration background","1","","",""
"No","1999","Saxony-Anhalt","indirect migration background","","","",""
"No","1999","Thuringia","no migration background","","","",""
"No","1999","Thuringia","direct migration background","1","","",""
"No","1999","Thuringia","indirect migration background","1","","",""
"Yes","2000","Schleswig-Holstein","no migration background","638","1","1","1"
"Yes","2000","Schleswig-Holstein","direct migration background","40","0.509112237881831","0.392001439441864","0.626223036321799"
"Yes","2000","Schleswig-Holstein","indirect migration background","4","","",""
"Yes","2000","Hamburg","no migration background","261","1","1","1"
"Yes","2000","Hamburg","direct migration background","12","","",""
"Yes","2000","Hamburg","indirect migration background","4","","",""
"Yes","2000","Lower Saxony","no migration background","1729","0.999195295926635","0.997859105580476","1.00053148627279"
"Yes","2000","Lower Saxony","direct migration background","137","0.533557793822698","0.471343629940176","0.59577195770522"
"Yes","2000","Lower Saxony","indirect migration background","30","0.556062646203412","0.431380037866657","0.680745254540167"
"Yes","2000","Bremen","no migration background","149","1","1","1"
"Yes","2000","Bremen","direct migration background","21","","",""
"Yes","2000","Bremen","indirect migration background","4","","",""
"Yes","2000","North Rhine-Westphalia","no migration background","4042","0.998506661680712","0.997316524273967","0.999696799087458"
"Yes","2000","North Rhine-Westphalia","direct migration background","412","0.473321261716346","0.440737912559104","0.505904610873588"
"Yes","2000","North Rhine-Westphalia","indirect migration background","95","0.464761872582731","0.400582884342312","0.52894086082315"
"Yes","2000","Hesse","no migration background","1239","0.996375640265469","0.993030884219112","0.999720396311826"
"Yes","2000","Hesse","direct migration background","134","0.3957384951903","0.34529431097318","0.446182679407421"
"Yes","2000","Hesse","indirect migration background","34","0.442561609385044","0.336344677028998","0.548778541741089"
"Yes","2000","Rhineland-Palatinate,Saarland","no migration background","1185","1","1","1"
"Yes","2000","Rhineland-Palatinate,Saarland","direct migration background","141","0.552256110086219","0.489475624787665","0.615036595384773"
"Yes","2000","Rhineland-Palatinate,Saarland","indirect migration background","18","","",""
"Yes","2000","Baden-Württemberg","no migration background","1966","0.998428334494694","0.996679521835749","1.00017714715364"
"Yes","2000","Baden-Württemberg","direct migration background","246","0.393345791527924","0.35890951350997","0.427782069545878"
"Yes","2000","Baden-Württemberg","indirect migration background","72","0.410016558935317","0.346453500975495","0.473579616895139"
"Yes","2000","Bavaria","no migration background","2820","0.998062092373679","0.996439191984933","0.999684992762425"
"Yes","2000","Bavaria","direct migration background","197","0.43061107238533","0.385605248154549","0.47561689661611"
"Yes","2000","Bavaria","indirect migration background","62","0.647119059778808","0.559011116013122","0.735227003544495"
"Yes","2000","Berlin","no migration background","716","0.998660219678236","0.995982813964348","1.00133762539212"
"Yes","2000","Berlin","direct migration background","29","","",""
"Yes","2000","Berlin","indirect migration background","20","","",""
"Yes","2000","Brandenburg","no migration background","996","0.998034140003904","0.995284666725401","1.00078361328241"
"Yes","2000","Brandenburg","direct migration background","21","","",""
"Yes","2000","Brandenburg","indirect migration background","4","","",""
"Yes","2000","Mecklenburg-Western Pomerania","no migration background","548","1","1","1"
"Yes","2000","Mecklenburg-Western Pomerania","direct migration background","17","","",""
"Yes","2000","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","2000","Saxony","no migration background","1743","1","1","1"
"Yes","2000","Saxony","direct migration background","26","","",""
"Yes","2000","Saxony","indirect migration background","7","","",""
"Yes","2000","Saxony-Anhalt","no migration background","1017","1","1","1"
