"plj0014_v3","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Single parent ","middle vocational","27","","","","2"
"No","2002","Single parent ","vocational + Abi","6","","","","2"
"No","2002","Single parent ","higher vocational","5","","","","2"
"No","2002","Single parent ","higher education","7","","","","2"
"No","2002","Couple + C. LE 16 ","in school","","","","","2"
"No","2002","Couple + C. LE 16 ","inadequately","29","","","","2"
"No","2002","Couple + C. LE 16 ","general elemantary","153","0.404420814688328","0.35178742223058","0.457054207146075","2"
"No","2002","Couple + C. LE 16 ","middle vocational","209","0.0945939854769463","0.0829196301502837","0.106268340803609","2"
"No","2002","Couple + C. LE 16 ","vocational + Abi","37","0.149248745761722","0.111756625819994","0.186740865703451","2"
"No","2002","Couple + C. LE 16 ","higher vocational","27","","","","2"
"No","2002","Couple + C. LE 16 ","higher education","69","0.103223981294396","0.0855001677178611","0.120947794870931","2"
"No","2002","Couple + C. GT 16 ","higher education","23","","","","2"
"No","2002","Couple + C. LE and GT 16","in school","27","","","","2"
"No","2002","Couple + C. LE and GT 16","inadequately","13","","","","2"
"No","2002","Couple + C. LE and GT 16","general elemantary","75","0.247383632462881","0.200544202447388","0.294223062478373","2"
"Yes","2002","1-pers.-HH","in school","3","","","","1"
"Yes","2002","1-pers.-HH","inadequately","16","","","","1"
"Yes","2002","1-pers.-HH","general elemantary","419","0.947489532157607","0.926811724865611","0.968167339449602","1"
"Yes","2002","1-pers.-HH","middle vocational","1551","0.972079096730341","0.964019262551451","0.980138930909231","1"
"Yes","2002","1-pers.-HH","vocational + Abi","184","0.966674332697437","0.94122004618445","0.992128619210424","1"
"Yes","2002","1-pers.-HH","higher vocational","209","0.951684622513985","0.923349443215818","0.980019801812151","1"
"Yes","2002","1-pers.-HH","higher education","508","0.946307374888498","0.927080683252776","0.96553406652422","1"
"Yes","2002","(Married) couple without C. ","in school","5","","","","1"
"Yes","2002","(Married) couple without C. ","inadequately","27","","","","1"
"Yes","2002","(Married) couple without C. ","general elemantary","692","0.89384958620137","0.872688938536734","0.915010233866007","1"
"Yes","2002","(Married) couple without C. ","middle vocational","3795","0.962081080882224","0.956126948372479","0.968035213391969","1"
"Yes","2002","(Married) couple without C. ","vocational + Abi","308","0.879919501162851","0.845718323013196","0.914120679312507","1"
"Yes","2002","(Married) couple without C. ","higher vocational","558","0.962473918309473","0.946953695779217","0.97799414083973","1"
"Yes","2002","(Married) couple without C. ","higher education","1626","0.934312396483864","0.92250123783189","0.946123555135838","1"
"Yes","2002","Single parent ","in school","61","0.948501298131719","0.893926150142817","1.00307644612062","1"
"Yes","2002","Single parent ","inadequately","20","","","","1"
"Yes","2002","Single parent ","general elemantary","208","0.86459019332291","0.821480928190477","0.907699458455342","1"
"Yes","2002","Single parent ","middle vocational","531","0.950964694521727","0.933047598096116","0.968881790947339","1"
"Yes","2002","Single parent ","vocational + Abi","39","0.86531938198557","0.765576342101989","0.965062421869152","1"
"Yes","2002","Single parent ","higher vocational","52","0.903229873874132","0.826479506431182","0.979980241317082","1"
"Yes","2002","Single parent ","higher education","119","0.932998989401902","0.889342975225364","0.976655003578441","1"
"Yes","2002","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2002","Couple + C. LE 16 ","inadequately","13","","","","1"
"Yes","2002","Couple + C. LE 16 ","general elemantary","181","0.595579185311672","0.542945792853925","0.64821257776942","1"
"Yes","2002","Couple + C. LE 16 ","middle vocational","2205","0.905406014523054","0.893731659196391","0.917080369849716","1"
"Yes","2002","Couple + C. LE 16 ","vocational + Abi","310","0.850751254238278","0.813259134296549","0.888243374180006","1"
"Yes","2002","Couple + C. LE 16 ","higher vocational","459","0.927478655596177","0.904421016270741","0.950536294921613","1"
"Yes","2002","Couple + C. LE 16 ","higher education","1063","0.896776018705604","0.879052205129069","0.914499832282139","1"
"Yes","2002","Couple + C. GT 16 ","in school","252","0.873698059191316","0.834001062729699","0.913395055652933","1"
"Yes","2002","Couple + C. GT 16 ","inadequately","29","","","","1"
"Yes","2002","Couple + C. GT 16 ","general elemantary","447","0.813702147722618","0.782015904648513","0.845388390796723","1"
"Yes","2002","Couple + C. GT 16 ","middle vocational","1843","0.943957612554332","0.933764701686722","0.954150523421942","1"
"Yes","2002","Couple + C. GT 16 ","vocational + Abi","138","0.78675324638653","0.723286156452919","0.850220336320141","1"
"Yes","2002","Couple + C. GT 16 ","higher vocational","226","0.974480773010808","0.954275693811791","0.994685852209825","1"
"Yes","2002","Couple + C. GT 16 ","higher education","670","0.941837305395138","0.924411547443366","0.959263063346909","1"
"Yes","2002","Couple + C. LE and GT 16","in school","229","0.851615439593982","0.808069844617277","0.895161034570687","1"
"Yes","2002","Couple + C. LE and GT 16","inadequately","9","","","","1"
"Yes","2002","Couple + C. LE and GT 16","general elemantary","251","0.75261636753712","0.705776937521627","0.799455797552612","1"
"Yes","2002","Couple + C. LE and GT 16","middle vocational","729","0.901819884926453","0.881187645289994","0.922452124562912","1"
"Yes","2002","Couple + C. LE and GT 16","vocational + Abi","51","0.713704318695022","0.602959181673783","0.82444945571626","1"
"Yes","2002","Couple + C. LE and GT 16","higher vocational","132","0.96634437283793","0.936035244837565","0.996653500838294","1"
"Yes","2002","Couple + C. LE and GT 16","higher education","287","0.879519441083572","0.843106134987939","0.915932747179205","1"
"No","2003","1-pers.-HH","inadequately","8","","","","2"
"No","2003","1-pers.-HH","general elemantary","29","","","","2"
"No","2003","1-pers.-HH","middle vocational","50","0.0278806061601739","0.0197629536424215","0.0359982586779264","2"
"No","2003","1-pers.-HH","vocational + Abi","7","","","","2"
"No","2003","(Married) couple without C. ","middle vocational","149","0.040944410712929","0.0346995312355878","0.0471892901902701","2"
"No","2003","(Married) couple without C. ","vocational + Abi","32","0.0911013552638825","0.0604245670764721","0.121778143451293","2"
"No","2003","(Married) couple without C. ","higher vocational","20","","","","2"
"No","2003","(Married) couple without C. ","higher education","58","0.0722300259443526","0.0597770517259053","0.0846830001627999","2"
"No","2003","Couple + C. GT 16 ","in school","13","","","","2"
"No","2003","Couple + C. GT 16 ","inadequately","31","0.497007862308232","0.371536272354075","0.62247945226239","2"
"No","2003","Couple + C. GT 16 ","general elemantary","114","0.186801599831384","0.153836871451509","0.21976632821126","2"
"No","2003","Couple + C. GT 16 ","middle vocational","102","0.061564069919044","0.0508378189987703","0.0722903208393176","2"
"No","2003","Couple + C. GT 16 ","vocational + Abi","21","","","","2"
"No","2003","Couple + C. LE and GT 16","middle vocational","71","0.109066369042406","0.0867867749215887","0.131345963163224","2"
"No","2003","Couple + C. LE and GT 16","vocational + Abi","11","","","","2"
"No","2003","Couple + C. LE and GT 16","higher vocational","1","","","","2"
"No","2003","Couple + C. LE and GT 16","higher education","19","","","","2"
"No","2003","1-pers.-HH","in school","","","","","2"
"No","2003","1-pers.-HH","higher vocational","9","","","","2"
"No","2003","1-pers.-HH","higher education","16","","","","2"
"No","2003","(Married) couple without C. ","in school","","","","","2"
"No","2003","(Married) couple without C. ","inadequately","43","0.527279972207644","0.411150739709055","0.643409204706232","2"
"No","2003","(Married) couple without C. ","general elemantary","114","0.105389846278044","0.0838963851282226","0.126883307427866","2"
"No","2003","Couple + C. GT 16 ","higher vocational","7","","","","2"
"No","2003","Couple + C. GT 16 ","higher education","25","","","","2"
"No","2003","Couple + C. LE and GT 16","in school","19","","","","2"
"No","2003","Couple + C. LE and GT 16","inadequately","14","","","","2"
"No","2003","Couple + C. LE and GT 16","general elemantary","72","0.25935455911473","0.209676500319476","0.309032617909984","2"
"No","2003","Single parent ","in school","2","","","","2"
"No","2003","Single parent ","inadequately","4","","","","2"
"No","2003","Single parent ","general elemantary","33","0.146514322019861","0.101108840122933","0.19191980391679","2"
"No","2003","Single parent ","middle vocational","27","","","","2"
"No","2003","Single parent ","vocational + Abi","6","","","","2"
"No","2003","Single parent ","higher vocational","5","","","","2"
"No","2003","Single parent ","higher education","6","","","","2"
"No","2003","Couple + C. LE 16 ","in school","","","","","2"
"No","2003","Couple + C. LE 16 ","inadequately","26","","","","2"
"No","2003","Couple + C. LE 16 ","general elemantary","141","0.353539879758701","0.301644419833108","0.405435339684293","2"
"No","2003","Couple + C. LE 16 ","middle vocational","192","0.0999767281893349","0.0874277848525346","0.112525671526135","2"
"No","2003","Couple + C. LE 16 ","vocational + Abi","34","0.133297006457329","0.0973788352546946","0.169215177659963","2"
"No","2003","Couple + C. LE 16 ","higher vocational","25","","","","2"
"No","2003","Couple + C. LE 16 ","higher education","60","0.0943180889622625","0.0763905546167288","0.112245623307796","2"
"Yes","2003","1-pers.-HH","in school","4","","","","1"
"Yes","2003","1-pers.-HH","inadequately","16","","","","1"
"Yes","2003","1-pers.-HH","general elemantary","409","0.953378021200549","0.933633847874268","0.973122194526831","1"
"Yes","2003","1-pers.-HH","middle vocational","1530","0.972119393839826","0.964001741322074","0.980237046357578","1"
"Yes","2003","1-pers.-HH","vocational + Abi","170","0.947439834705089","0.914564843957619","0.98031482545256","1"
"Yes","2003","1-pers.-HH","higher vocational","211","0.943067885739969","0.912449176067275","0.973686595412664","1"
"Yes","2003","1-pers.-HH","higher education","522","0.959985029926405","0.943423500837442","0.976546559015367","1"
"Yes","2003","(Married) couple without C. ","in school","2","","","","1"
"Yes","2003","(Married) couple without C. ","inadequately","28","","","","1"
"Yes","2003","(Married) couple without C. ","general elemantary","670","0.894610153721956","0.873116692572134","0.916103614871777","1"
"Yes","2003","(Married) couple without C. ","middle vocational","3719","0.959055589287071","0.95281070980973","0.965300468764412","1"
"Yes","2003","(Married) couple without C. ","vocational + Abi","306","0.908898644736117","0.878221856548707","0.939575432923528","1"
"Yes","2003","(Married) couple without C. ","higher vocational","560","0.967100694308873","0.952584147858119","0.981617240759626","1"
"Yes","2003","(Married) couple without C. ","higher education","1602","0.927769974055647","0.9153169998372","0.940222948274095","1"
"Yes","2003","Single parent ","in school","66","0.981132933123549","0.948795186347344","1.01347067989975","1"
"Yes","2003","Single parent ","inadequately","21","","","","1"
"Yes","2003","Single parent ","general elemantary","200","0.853485677980139","0.80808019608321","0.898891159877067","1"
"Yes","2003","Single parent ","middle vocational","516","0.943856551584416","0.924494529298612","0.963218573870219","1"
"Yes","2003","Single parent ","vocational + Abi","40","0.824650605666688","0.71476107933806","0.934540131995316","1"
"Yes","2003","Single parent ","higher vocational","46","0.865838658014066","0.772299127454525","0.959378188573606","1"
"Yes","2003","Single parent ","higher education","116","0.966247660658043","0.934202360577154","0.998292960738933","1"
"Yes","2003","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2003","Couple + C. LE 16 ","inadequately","14","","","","1"
"Yes","2003","Couple + C. LE 16 ","general elemantary","185","0.6464601202413","0.594564660315707","0.698355580166892","1"
"Yes","2003","Couple + C. LE 16 ","middle vocational","2003","0.900023271810665","0.887474328473865","0.912572215147465","1"
"Yes","2003","Couple + C. LE 16 ","vocational + Abi","310","0.866702993542671","0.830784822340037","0.902621164745305","1"
"Yes","2003","Couple + C. LE 16 ","higher vocational","429","0.925960377712859","0.901875277172491","0.950045478253226","1"
"Yes","2003","Couple + C. LE 16 ","higher education","961","0.905681911037738","0.887754376692204","0.923609445383271","1"
"Yes","2003","Couple + C. GT 16 ","in school","281","0.906888176338939","0.873671688359523","0.940104664318355","1"
"Yes","2003","Couple + C. GT 16 ","inadequately","30","0.502992137691768","0.37752054773761","0.628463727645925","1"
"Yes","2003","Couple + C. GT 16 ","general elemantary","423","0.813198400168616","0.78023367178874","0.846163128548491","1"
"Yes","2003","Couple + C. GT 16 ","middle vocational","1827","0.938435930080956","0.927709679160682","0.94916218100123","1"
"Yes","2003","Couple + C. GT 16 ","vocational + Abi","147","0.814420846686832","0.755633685938658","0.873208007435006","1"
"Yes","2003","Couple + C. GT 16 ","higher vocational","230","0.97639879205076","0.957072227996094","0.995725356105426","1"
"Yes","2003","Couple + C. GT 16 ","higher education","638","0.921492645109429","0.901019128930797","0.941966161288061","1"
"Yes","2003","Couple + C. LE and GT 16","in school","219","0.838904097316042","0.792199673609244","0.885608521022839","1"
"Yes","2003","Couple + C. LE and GT 16","inadequately","14","","","","1"
"Yes","2003","Couple + C. LE and GT 16","general elemantary","227","0.74064544088527","0.690967382090016","0.790323499680524","1"
"Yes","2003","Couple + C. LE and GT 16","middle vocational","681","0.890933630957594","0.868654036836776","0.913213225078411","1"
"Yes","2003","Couple + C. LE and GT 16","vocational + Abi","55","0.819107924749654","0.726241985049224","0.911973864450085","1"
"Yes","2003","Couple + C. LE and GT 16","higher vocational","116","0.988173457970341","0.968584982266449","1.00776193367423","1"
"Yes","2003","Couple + C. LE and GT 16","higher education","263","0.836088897666073","0.792881913810607","0.87929588152154","1"
"No","2004","1-pers.-HH","inadequately","7","","","","2"
"No","2004","1-pers.-HH","general elemantary","29","","","","2"
"No","2004","1-pers.-HH","middle vocational","45","0.0273702401846236","0.0192160092967254","0.0355244710725218","2"
"No","2004","1-pers.-HH","vocational + Abi","7","","","","2"
"No","2004","1-pers.-HH","in school","","","","","2"
"No","2004","1-pers.-HH","higher vocational","7","","","","2"
"No","2004","1-pers.-HH","higher education","13","","","","2"
"No","2004","(Married) couple without C. ","in school","","","","","2"
"No","2004","(Married) couple without C. ","inadequately","35","0.50035499061918","0.376888895981552","0.623821085256808","2"
"No","2004","(Married) couple without C. ","general elemantary","113","0.117524626183812","0.0945225869642335","0.14052666540339","2"
"No","2004","(Married) couple without C. ","middle vocational","145","0.0448415601782544","0.0383059969910844","0.0513771233654243","2"
"No","2004","(Married) couple without C. ","vocational + Abi","31","0.0947049195255369","0.0639411308856114","0.125468708165462","2"
"No","2004","(Married) couple without C. ","higher vocational","23","","","","2"
"No","2004","(Married) couple without C. ","higher education","55","0.0701658449674","0.0579042795845923","0.0824274103502078","2"
"No","2004","Couple + C. GT 16 ","in school","13","","","","2"
"No","2004","Couple + C. GT 16 ","inadequately","36","0.512314624456745","0.38985403462032","0.63477521429317","2"
"No","2004","Couple + C. GT 16 ","general elemantary","95","0.180371774300018","0.146187788607971","0.214555759992065","2"
"No","2004","Couple + C. GT 16 ","middle vocational","96","0.0653044364039871","0.0541836536183124","0.0764252191896618","2"
"No","2004","Couple + C. GT 16 ","vocational + Abi","24","","","","2"
"No","2004","Couple + C. LE and GT 16","middle vocational","65","0.108627543817971","0.085755083880022","0.131500003755919","2"
"No","2004","Couple + C. LE and GT 16","vocational + Abi","9","","","","2"
"No","2004","Couple + C. LE and GT 16","higher vocational","8","","","","2"
"No","2004","Couple + C. LE and GT 16","higher education","15","","","","2"
"No","2004","Couple + C. GT 16 ","higher vocational","5","","","","2"
"No","2004","Couple + C. GT 16 ","higher education","26","","","","2"
"No","2004","Couple + C. LE and GT 16","in school","20","","","","2"
"No","2004","Couple + C. LE and GT 16","inadequately","17","","","","2"
"No","2004","Couple + C. LE and GT 16","general elemantary","64","0.246418247259849","0.194338144100507","0.298498350419192","2"
"No","2004","Single parent ","in school","1","","","","2"
"No","2004","Single parent ","inadequately","3","","","","2"
"No","2004","Single parent ","general elemantary","34","0.180765204768039","0.130814423981034","0.230715985555044","2"
"No","2004","Single parent ","middle vocational","29","","","","2"
"No","2004","Single parent ","vocational + Abi","5","","","","2"
"No","2004","Single parent ","higher vocational","5","","","","2"
"No","2004","Single parent ","higher education","4","","","","2"
"No","2004","Couple + C. LE 16 ","in school","","","","","2"
"No","2004","Couple + C. LE 16 ","inadequately","20","","","","2"
"No","2004","Couple + C. LE 16 ","general elemantary","120","0.339794457870512","0.286812667287416","0.392776248453608","2"
"No","2004","Couple + C. LE 16 ","middle vocational","171","0.0923855637905814","0.0797640841919974","0.105007043389165","2"
"No","2004","Couple + C. LE 16 ","vocational + Abi","31","0.132430787326719","0.0958597172958101","0.169001857357628","2"
"No","2004","Couple + C. LE 16 ","higher vocational","20","","","","2"
"No","2004","Couple + C. LE 16 ","higher education","59","0.105017532579407","0.0853139687258908","0.124721096432924","2"
"Yes","2004","1-pers.-HH","in school","3","","","","1"
"Yes","2004","1-pers.-HH","inadequately","12","","","","1"
"Yes","2004","1-pers.-HH","general elemantary","405","0.944875192930963","0.923403613545314","0.966346772316612","1"
"Yes","2004","1-pers.-HH","middle vocational","1493","0.972629759815376","0.964475528927478","0.980783990703275","1"
"Yes","2004","1-pers.-HH","vocational + Abi","161","0.966611598047027","0.939446125274454","0.9937770708196","1"
"Yes","2004","1-pers.-HH","higher vocational","196","0.964136903834574","0.938557329353045","0.989716478316104","1"
"Yes","2004","1-pers.-HH","higher education","536","0.974627795510503","0.961473717390504","0.987781873630503","1"
"Yes","2004","(Married) couple without C. ","in school","2","","","","1"
"Yes","2004","(Married) couple without C. ","inadequately","28","","","","1"
"Yes","2004","(Married) couple without C. ","general elemantary","640","0.882475373816188","0.85947333459661","0.905477413035766","1"
"Yes","2004","(Married) couple without C. ","middle vocational","3707","0.955158439821746","0.948622876634576","0.961694003008916","1"
"Yes","2004","(Married) couple without C. ","vocational + Abi","317","0.905295080474463","0.874531291834538","0.936058869114389","1"
"Yes","2004","(Married) couple without C. ","higher vocational","561","0.956274483667659","0.939690058442676","0.972858908892641","1"
"Yes","2004","(Married) couple without C. ","higher education","1612","0.9298341550326","0.917572589649792","0.942095720415408","1"
"Yes","2004","Single parent ","in school","77","0.996388933348809","0.983077249655026","1.00970061704259","1"
"Yes","2004","Single parent ","inadequately","17","","","","1"
"Yes","2004","Single parent ","general elemantary","194","0.819234795231961","0.769284014444956","0.869185576018966","1"
"Yes","2004","Single parent ","middle vocational","501","0.942879119100745","0.923121454287136","0.962636783914354","1"
"Yes","2004","Single parent ","vocational + Abi","40","0.818427631965019","0.705796913414518","0.931058350515521","1"
"Yes","2004","Single parent ","higher vocational","46","0.856429790675999","0.760193017510661","0.952666563841337","1"
"Yes","2004","Single parent ","higher education","110","0.972297200613236","0.942170122634822","1.00242427859165","1"
"Yes","2004","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2004","Couple + C. LE 16 ","inadequately","14","","","","1"
"Yes","2004","Couple + C. LE 16 ","general elemantary","187","0.660205542129488","0.607223751546392","0.713187332712584","1"
"Yes","2004","Couple + C. LE 16 ","middle vocational","1851","0.907614436209419","0.894992956610835","0.920235915808003","1"
"Yes","2004","Couple + C. LE 16 ","vocational + Abi","299","0.867569212673281","0.830998142642372","0.90414028270419","1"
"Yes","2004","Couple + C. LE 16 ","higher vocational","413","0.938826053198128","0.916253537696548","0.961398568699707","1"
"Yes","2004","Couple + C. LE 16 ","higher education","871","0.894982467420593","0.875278903567076","0.914686031274109","1"
"Yes","2004","Couple + C. GT 16 ","in school","267","0.921976361564423","0.890560999607288","0.953391723521558","1"
"Yes","2004","Couple + C. GT 16 ","inadequately","28","","","","1"
"Yes","2004","Couple + C. GT 16 ","general elemantary","391","0.819628225699982","0.785444240007935","0.853812211392029","1"
"Yes","2004","Couple + C. GT 16 ","middle vocational","1800","0.934695563596013","0.923574780810338","0.945816346381688","1"
"Yes","2004","Couple + C. GT 16 ","vocational + Abi","166","0.813502940234211","0.758118617584125","0.868887262884297","1"
"Yes","2004","Couple + C. GT 16 ","higher vocational","226","0.985717799589412","0.970416935343725","1.0010186638351","1"
"Yes","2004","Couple + C. GT 16 ","higher education","654","0.922697977834086","0.90262467454079","0.942771281127382","1"
"Yes","2004","Couple + C. LE and GT 16","in school","247","0.851978833705452","0.80938283806163","0.894574829349275","1"
"Yes","2004","Couple + C. LE and GT 16","inadequately","16","","","","1"
"Yes","2004","Couple + C. LE and GT 16","general elemantary","199","0.753581752740151","0.701501649580808","0.805661855899493","1"
"Yes","2004","Couple + C. LE and GT 16","middle vocational","646","0.891372456182029","0.868499996244081","0.914244916119978","1"
"Yes","2004","Couple + C. LE and GT 16","vocational + Abi","53","0.803483045066526","0.704572950361565","0.902393139771486","1"
"Yes","2004","Couple + C. LE and GT 16","higher vocational","107","0.832494600571974","0.764244343905239","0.900744857238709","1"
"Yes","2004","Couple + C. LE and GT 16","higher education","267","0.847842025131408","0.805921340540393","0.889762709722424","1"
"No","2005","1-pers.-HH","in school","","","","","2"
"No","2005","1-pers.-HH","inadequately","10","","","","2"
"No","2005","1-pers.-HH","general elemantary","31","0.0722282395630288","0.0478738462275523","0.0965826328985052","2"
"No","2005","1-pers.-HH","middle vocational","43","0.0234201702887247","0.0158888471564101","0.0309514934210394","2"
"No","2005","1-pers.-HH","vocational + Abi","7","","","","2"
"No","2005","1-pers.-HH","higher vocational","5","","","","2"
"No","2005","1-pers.-HH","higher education","12","","","","2"
"No","2005","(Married) couple without C. ","in school","","","","","2"
"No","2005","(Married) couple without C. ","inadequately","36","0.554905046797465","0.431199857381985","0.678610236212945","2"
"No","2005","(Married) couple without C. ","general elemantary","98","0.125434047515601","0.100845339881942","0.15002275514926","2"
"No","2005","(Married) couple without C. ","middle vocational","138","0.0477133591263033","0.0408245195542883","0.0546021986983183","2"
"No","2005","(Married) couple without C. ","vocational + Abi","38","0.120127372308739","0.0861642466784987","0.15409049793898","2"
"No","2005","(Married) couple without C. ","higher vocational","16","","","","2"
"No","2005","(Married) couple without C. ","higher education","55","0.0824809945281928","0.0692712301432593","0.0956907589131263","2"
"No","2005","Couple + C. LE and GT 16","middle vocational","58","0.102215789396656","0.0791221523263203","0.125309426466992","2"
"No","2005","Couple + C. LE and GT 16","vocational + Abi","11","","","","2"
"No","2005","Couple + C. LE and GT 16","higher vocational","7","","","","2"
"No","2005","Couple + C. LE and GT 16","higher education","17","","","","2"
"No","2005","Couple + C. GT 16 ","in school","12","","","","2"
"No","2005","Couple + C. GT 16 ","inadequately","26","","","","2"
"No","2005","Couple + C. GT 16 ","general elemantary","94","0.225865858668881","0.186343098370033","0.265388618967728","2"
"No","2005","Couple + C. GT 16 ","middle vocational","104","0.0795136248981967","0.0669420532288677","0.0920851965675257","2"
"No","2005","Couple + C. GT 16 ","vocational + Abi","17","","","","2"
"No","2005","Couple + C. GT 16 ","higher vocational","6","","","","2"
"No","2005","Couple + C. GT 16 ","higher education","20","","","","2"
"No","2005","Couple + C. LE and GT 16","in school","23","","","","2"
"No","2005","Couple + C. LE and GT 16","inadequately","20","","","","2"
"No","2005","Couple + C. LE and GT 16","general elemantary","53","0.195843127385966","0.146150769352534","0.245535485419399","2"
"No","2005","Single parent ","in school","3","","","","2"
"No","2005","Single parent ","inadequately","3","","","","2"
"No","2005","Single parent ","general elemantary","32","0.196099877864697","0.142399399729214","0.24980035600018","2"
"No","2005","Single parent ","middle vocational","22","","","","2"
"No","2005","Single parent ","vocational + Abi","4","","","","2"
"No","2005","Single parent ","higher vocational","5","","","","2"
"No","2005","Single parent ","higher education","6","","","","2"
"No","2005","Couple + C. LE 16 ","in school","","","","","2"
"No","2005","Couple + C. LE 16 ","inadequately","18","","","","2"
"No","2005","Couple + C. LE 16 ","general elemantary","105","0.357539720661711","0.300894009510842","0.41418543181258","2"
"No","2005","Couple + C. LE 16 ","middle vocational","153","0.0939042040161844","0.0805941603171101","0.107214247715259","2"
"No","2005","Couple + C. LE 16 ","vocational + Abi","28","","","","2"
"No","2005","Couple + C. LE 16 ","higher vocational","23","","","","2"
"No","2005","Couple + C. LE 16 ","higher education","52","0.0976956773996865","0.0775454821388622","0.117845872660511","2"
"Yes","2005","Single parent ","in school","101","0.975849566068054","0.946345265253647","1.00535386688246","1"
"Yes","2005","Single parent ","inadequately","16","","","","1"
"Yes","2005","Single parent ","general elemantary","178","0.803900122135303","0.75019964399982","0.857600600270786","1"
"Yes","2005","Single parent ","middle vocational","513","0.951999074268394","0.933885078180501","0.970113070356288","1"
"Yes","2005","Single parent ","vocational + Abi","37","0.857721018151782","0.750791019035919","0.964651017267646","1"
"Yes","2005","Single parent ","higher vocational","47","0.851396230221349","0.754718333391502","0.948074127051197","1"
"Yes","2005","Single parent ","higher education","112","0.952809125498018","0.914549646293053","0.991068604702982","1"
"Yes","2005","Couple + C. LE 16 ","in school","2","","","","1"
"Yes","2005","Couple + C. LE 16 ","inadequately","17","","","","1"
"Yes","2005","Couple + C. LE 16 ","general elemantary","170","0.642460279338289","0.58581456818742","0.699105990489158","1"
"Yes","2005","Couple + C. LE 16 ","middle vocational","1692","0.906095795983816","0.892785752284741","0.91940583968289","1"
"Yes","2005","Couple + C. LE 16 ","vocational + Abi","287","0.895242813960043","0.861424251107574","0.929061376812513","1"
"Yes","2005","Couple + C. LE 16 ","higher vocational","390","0.926466099819308","0.90129329362567","0.951638906012946","1"
"Yes","2005","Couple + C. LE 16 ","higher education","782","0.902304322600313","0.882154127339489","0.922454517861138","1"
"Yes","2005","1-pers.-HH","in school","4","","","","1"
"Yes","2005","1-pers.-HH","inadequately","16","","","","1"
"Yes","2005","1-pers.-HH","general elemantary","403","0.927771760436971","0.903417367101495","0.952126153772448","1"
"Yes","2005","1-pers.-HH","middle vocational","1506","0.976579829711275","0.969048506578961","0.98411115284359","1"
"Yes","2005","1-pers.-HH","vocational + Abi","172","0.981855509059446","0.962302312761817","1.00140870535708","1"
"Yes","2005","1-pers.-HH","higher vocational","192","0.978864754669276","0.95877937847727","0.998950130861282","1"
"Yes","2005","1-pers.-HH","higher education","549","0.971005917300708","0.957121352066211","0.984890482535205","1"
"Yes","2005","(Married) couple without C. ","in school","4","","","","1"
"Yes","2005","(Married) couple without C. ","inadequately","26","","","","1"
"Yes","2005","(Married) couple without C. ","general elemantary","599","0.874565952484399","0.84997724485074","0.899154660118058","1"
"Yes","2005","(Married) couple without C. ","middle vocational","3540","0.952286640873697","0.945397801301682","0.959175480445712","1"
"Yes","2005","(Married) couple without C. ","vocational + Abi","314","0.87987262769126","0.84590950206102","0.913835753321501","1"
"Yes","2005","(Married) couple without C. ","higher vocational","548","0.965400176831967","0.950316779704141","0.980483573959792","1"
"Yes","2005","(Married) couple without C. ","higher education","1611","0.917519005471807","0.904309241086874","0.930728769856741","1"
"Yes","2005","Couple + C. GT 16 ","in school","256","0.924727562009048","0.893140765221487","0.95631435879661","1"
"Yes","2005","Couple + C. GT 16 ","inadequately","23","","","","1"
"Yes","2005","Couple + C. GT 16 ","general elemantary","336","0.774134141331119","0.734611381032272","0.813656901629967","1"
"Yes","2005","Couple + C. GT 16 ","middle vocational","1675","0.920486375101803","0.907914803432474","0.933057946771132","1"
"Yes","2005","Couple + C. GT 16 ","vocational + Abi","156","0.824333104081976","0.767628101635093","0.881038106528859","1"
"Yes","2005","Couple + C. GT 16 ","higher vocational","205","0.979208257022643","0.959955636721778","0.998460877323509","1"
"Yes","2005","Couple + C. GT 16 ","higher education","610","0.938672053403989","0.919936610157209","0.957407496650769","1"
"Yes","2005","Couple + C. LE and GT 16","in school","231","0.862682596734965","0.820355396544082","0.905009796925848","1"
"Yes","2005","Couple + C. LE and GT 16","inadequately","10","","","","1"
"Yes","2005","Couple + C. LE and GT 16","general elemantary","192","0.804156872614034","0.754464514580601","0.853849230647466","1"
"Yes","2005","Couple + C. LE and GT 16","middle vocational","603","0.897784210603344","0.874690573533008","0.92087784767368","1"
"Yes","2005","Couple + C. LE and GT 16","vocational + Abi","46","0.704630974595298","0.586197627479027","0.82306432171157","1"
"Yes","2005","Couple + C. LE and GT 16","higher vocational","97","0.820267164160856","0.746472867446587","0.894061460875126","1"
"Yes","2005","Couple + C. LE and GT 16","higher education","272","0.8414515209778","0.799340598067389","0.883562443888211","1"
"No","2006","1-pers.-HH","in school","","","","","2"
"No","2006","1-pers.-HH","inadequately","9","","","","2"
"No","2006","1-pers.-HH","general elemantary","27","","","","2"
"No","2006","1-pers.-HH","middle vocational","39","0.0252160285519606","0.017819631296003","0.0326124258079182","2"
"No","2006","1-pers.-HH","vocational + Abi","8","","","","2"
"No","2006","1-pers.-HH","higher vocational","6","","","","2"
"No","2006","1-pers.-HH","higher education","11","","","","2"
"No","2006","(Married) couple without C. ","in school","","","","","2"
