"plj0014_v3","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","direct migration background","West Germany","777","0.445099801830101","0.423909629779777","0.466289973880425"
"Yes","1999","direct migration background","East Germany","103","0.935588947552212","0.88971411548188","0.981463779622544"
"Yes","1999","indirect migration background","West Germany","208","0.483139139862483","0.44281686561674","0.523461414108226"
"Yes","1999","indirect migration background","East Germany","21","","",""
"No","1999","no migration background","West Germany","8","","",""
"No","1999","no migration background","East Germany","1","","",""
"No","1999","direct migration background","West Germany","1336","0.554900198169899","0.533710026119575","0.576090370220224"
"No","1999","direct migration background","East Germany","7","","",""
"No","1999","indirect migration background","West Germany","382","0.516860860137517","0.476538585891774","0.55718313438326"
"No","1999","indirect migration background","East Germany","1","","",""
"Yes","2000","no migration background","West Germany","14379","0.99853508713366","0.997910194714972","0.999159979552348"
"Yes","2000","no migration background","East Germany","5700","0.99967307804701","0.999203807160976","1.00014234893304"
"Yes","2000","direct migration background","West Germany","1363","0.446450865894184","0.429207837060018","0.46369389472835"
"Yes","2000","direct migration background","East Germany","127","0.88488671104226","0.833981037838067","0.935792384246453"
"Yes","2000","indirect migration background","West Germany","341","0.494615037998771","0.460077214439351","0.529152861558191"
"Yes","2000","indirect migration background","East Germany","25","","",""
"No","2000","no migration background","West Germany","11","","",""
"No","2000","no migration background","East Germany","1","","",""
"No","2000","direct migration background","West Germany","1830","0.553549134105817","0.536306105271651","0.570792162939982"
"No","2000","direct migration background","East Germany","24","","",""
"No","2000","indirect migration background","West Germany","464","0.505384962001229","0.470847138441809","0.539922785560649"
"No","2000","indirect migration background","East Germany","1","","",""
"Yes","2001","no migration background","West Germany","13015","0.998707658868002","0.998090684674773","0.99932463306123"
"Yes","2001","no migration background","East Germany","5315","0.999655124929432","0.99915599730761","1.00015425255125"
"Yes","2001","direct migration background","West Germany","1213","0.439221340139968","0.420907306671598","0.457535373608338"
"Yes","2001","direct migration background","East Germany","115","0.940875801172603","0.899362618332599","0.982388984012607"
"Yes","2001","indirect migration background","West Germany","336","0.511999221130593","0.476273247078745","0.547725195182441"
"Yes","2001","indirect migration background","East Germany","25","","",""
"No","2001","no migration background","West Germany","10","","",""
"No","2001","no migration background","East Germany","1","","",""
"No","2001","direct migration background","West Germany","1608","0.560778659860032","0.542464626391662","0.579092693328402"
"No","2001","direct migration background","East Germany","9","","",""
"No","2001","indirect migration background","West Germany","416","0.488000778869407","0.452274804817559","0.523726752921255"
"No","2001","indirect migration background","East Germany","","","",""
"Yes","2002","no migration background","West Germany","14226","0.998905496065526","0.998362320506308","0.999448671624744"
"Yes","2002","no migration background","East Germany","5317","0.999657062801164","0.999159432586074","1.00015469301625"
"Yes","2002","direct migration background","West Germany","1207","0.454901253118173","0.43613226299404","0.473670243242306"
"Yes","2002","direct migration background","East Germany","105","0.88561469299346","0.827694950270129","0.943534435716791"
"Yes","2002","indirect migration background","West Germany","378","0.542591275342324","0.507172795282941","0.578009755401708"
"Yes","2002","indirect migration background","East Germany","24","","",""
"No","2002","no migration background","West Germany","9","","",""
"No","2002","no migration background","East Germany","1","","",""
"No","2002","direct migration background","West Germany","1497","0.545098746881827","0.526329756757694","0.563867737005959"
"No","2002","direct migration background","East Germany","11","","",""
"No","2002","indirect migration background","West Germany","382","0.457408724657676","0.421990244598292","0.492827204717059"
"No","2002","indirect migration background","East Germany","","","",""
"Yes","2003","no migration background","West Germany","13617","0.998706951974719","0.998103617151287","0.999310286798152"
"Yes","2003","no migration background","East Germany","5233","0.999537297844609","0.998954683067805","1.00011991262141"
"Yes","2003","direct migration background","West Germany","1177","0.460599687947325","0.441211636790806","0.479987739103844"
"Yes","2003","direct migration background","East Germany","95","0.906261397848368","0.850775689380936","0.9617471063158"
"Yes","2003","indirect migration background","West Germany","403","0.554400277990968","0.519017032671255","0.589783523310682"
"Yes","2003","indirect migration background","East Germany","31","0.944815234733019","0.865700724225391","1.02392974524065"
"No","2003","no migration background","West Germany","11","","",""
"No","2003","no migration background","East Germany","1","","",""
"No","2003","direct migration background","West Germany","1362","0.539400312052675","0.520012260896156","0.558788363209194"
"No","2003","direct migration background","East Germany","11","","",""
"No","2003","indirect migration background","West Germany","355","0.445599722009032","0.410216476689318","0.480982967328745"
"No","2003","indirect migration background","East Germany","1","","",""
"Yes","2004","no migration background","West Germany","13245","0.998923742581707","0.998365509925494","0.99948197523792"
"Yes","2004","no migration background","East Germany","5116","0.999611884182686","0.999072203641826","1.00015156472355"
"Yes","2004","direct migration background","West Germany","1179","0.465108608081776","0.445354214989429","0.484863001174122"
"Yes","2004","direct migration background","East Germany","92","0.907667249608157","0.851759669126134","0.96357483009018"
"Yes","2004","indirect migration background","West Germany","439","0.579275096582548","0.544540779125352","0.614009414039743"
"Yes","2004","indirect migration background","East Germany","34","0.956024496553925","0.888095689274199","1.02395330383365"
"No","2004","no migration background","West Germany","8","","",""
"No","2004","no migration background","East Germany","1","","",""
"No","2004","direct migration background","West Germany","1270","0.534891391918224","0.515136998825878","0.554645785010571"
"No","2004","direct migration background","East Germany","11","","",""
"No","2004","indirect migration background","West Germany","337","0.420724903417452","0.385990585960257","0.455459220874648"
"No","2004","indirect migration background","East Germany","1","","",""
"Yes","2005","no migration background","West Germany","12658","0.998762341456771","0.998150047672656","0.999374635240886"
"Yes","2005","no migration background","East Germany","4926","0.999581031149087","0.999009609512466","1.00015245278571"
"Yes","2005","direct migration background","West Germany","1112","0.460255116590832","0.439805562118836","0.480704671062828"
"Yes","2005","direct migration background","East Germany","88","0.811982628285606","0.736156241329889","0.887809015241322"
"Yes","2005","indirect migration background","West Germany","450","0.572829797844918","0.538551726898924","0.607107868790913"
"Yes","2005","indirect migration background","East Germany","34","0.92924363139306","0.844293973667263","1.01419328911886"
"No","2005","no migration background","West Germany","8","","",""
"No","2005","no migration background","East Germany","1","","",""
"No","2005","direct migration background","West Germany","1170","0.539744883409168","0.519295328937172","0.560194437881164"
"No","2005","direct migration background","East Germany","14","","",""
"No","2005","indirect migration background","West Germany","350","0.427170202155082","0.392892131209087","0.461448273101076"
"No","2005","indirect migration background","East Germany","1","","",""
"Yes","2006","no migration background","West Germany","13704","0.999019466100475","0.998495624318869","0.999543307882082"
"Yes","2006","no migration background","East Germany","5149","0.999618416287829","0.999085011984439","1.00015182059122"
"Yes","2006","direct migration background","West Germany","1159","0.459905262638816","0.439443403491227","0.480367121786405"
"Yes","2006","direct migration background","East Germany","92","0.811695468751525","0.739290890889018","0.884100046614031"
"Yes","2006","indirect migration background","West Germany","467","0.582885244911928","0.548392117708682","0.617378372115174"
"Yes","2006","indirect migration background","East Germany","38","0.872483948366493","0.769117582747252","0.975850313985733"
"No","2006","no migration background","West Germany","9","","",""
"No","2006","no migration background","East Germany","1","","",""
"No","2006","direct migration background","West Germany","1120","0.540094737361184","0.519632878213595","0.560556596508773"
"No","2006","direct migration background","East Germany","20","","",""
"No","2006","indirect migration background","West Germany","318","0.417114755088072","0.382621627884826","0.451607882291318"
"No","2006","indirect migration background","East Germany","2","","",""
"Yes","2007","no migration background","West Germany","12791","0.998617475122846","0.997973781562476","0.999261168683217"
"Yes","2007","no migration background","East Germany","4899","0.999609388879537","0.999056118377788","1.00016265938129"
"Yes","2007","direct migration background","West Germany","1057","0.450705557787756","0.429119385061388","0.472291730514123"
"Yes","2007","direct migration background","East Germany","79","0.759475517765548","0.673074134048609","0.845876901482486"
"Yes","2007","indirect migration background","West Germany","474","0.605135929643923","0.570081890363603","0.640189968924242"
"Yes","2007","indirect migration background","East Germany","37","0.799760998870168","0.677268185772875","0.922253811967461"
"No","2007","no migration background","West Germany","9","","",""
"No","2007","no migration background","East Germany","1","","",""
"No","2007","direct migration background","West Germany","984","0.549294442212244","0.527708269485877","0.570880614938612"
"No","2007","direct migration background","East Germany","15","","",""
"No","2007","indirect migration background","West Germany","273","0.394864070356077","0.359810031075758","0.429918109636397"
"No","2007","indirect migration background","East Germany","4","","",""
"Yes","2008","no migration background","West Germany","12065","0.998600564912089","0.99793368329027","0.999267446533909"
"Yes","2008","no migration background","East Germany","4670","0.999565535690828","0.998967914695031","1.00016315668662"
"Yes","2008","direct migration background","West Germany","971","0.452469751911315","0.429696298611381","0.475243205211249"
"Yes","2008","direct migration background","East Germany","66","0.715986412172979","0.617782784542436","0.814190039803521"
"Yes","2008","indirect migration background","West Germany","487","0.623330165646913","0.588180098912295","0.65848023238153"
"Yes","2008","indirect migration background","East Germany","40","0.880293329195311","0.783267638063905","0.977319020326718"
"No","2008","no migration background","West Germany","6","","",""
"No","2008","no migration background","East Germany","1","","",""
"No","2008","direct migration background","West Germany","864","0.547530248088685","0.524756794788751","0.570303701388619"
"No","2008","direct migration background","East Germany","15","","",""
"No","2008","indirect migration background","West Germany","243","0.376669834353087","0.34151976761847","0.411819901087705"
"No","2008","indirect migration background","East Germany","3","","",""
"Yes","2009","no migration background","West Germany","11291","0.998999354823836","0.998416327130921","0.999582382516751"
"Yes","2009","no migration background","East Germany","4445","0.999558571010391","0.99894112653231","1.00017601548847"
"Yes","2009","direct migration background","West Germany","853","0.43794804410454","0.413576890518327","0.462319197690752"
"Yes","2009","direct migration background","East Germany","63","0.717482218593069","0.616261419947076","0.818703017239061"
"Yes","2009","indirect migration background","West Germany","447","0.599632462687968","0.562641968000312","0.636622957375623"
"Yes","2009","indirect migration background","East Germany","38","0.856981698539887","0.749820455099618","0.964142941980157"
"No","2009","no migration background","West Germany","6","","",""
"No","2009","no migration background","East Germany","1","","",""
"No","2009","direct migration background","West Germany","739","0.56205195589546","0.537680802309248","0.586423109481673"
"No","2009","direct migration background","East Germany","13","","",""
"No","2009","indirect migration background","West Germany","227","0.400367537312032","0.363377042624377","0.437358031999688"
"No","2009","indirect migration background","East Germany","3","","",""
"Yes","2010","no migration background","West Germany","14720","0.999360549968075","0.998952244828422","0.999768855107729"
"Yes","2010","no migration background","East Germany","5287","1","1","1"
"Yes","2010","direct migration background","West Germany","1479","0.439135732093592","0.420690850520114","0.45758061366707"
"Yes","2010","direct migration background","East Germany","83","0.644780889857653","0.561872716689529","0.727689063025777"
"Yes","2010","indirect migration background","West Germany","771","0.688597002675016","0.660902733530502","0.71629127181953"
"Yes","2010","indirect migration background","East Germany","75","0.991004100334356","0.969776479482471","1.01223172118624"
"No","2010","no migration background","West Germany","5","","",""
"No","2010","no migration background","East Germany","","","",""
"No","2010","direct migration background","West Germany","1302","0.560864267906408","0.54241938633293","0.579309149479886"
"No","2010","direct migration background","East Germany","45","0.355219110142347","0.272310936974223","0.438127283310471"
"No","2010","indirect migration background","West Germany","303","0.311402997324984","0.28370872818047","0.339097266469498"
"No","2010","indirect migration background","East Germany","1","","",""
"Yes","2011","no migration background","West Germany","14231","0.99922099670043","0.99876282049326","0.999679172907601"
"Yes","2011","no migration background","East Germany","5002","1","1","1"
"Yes","2011","direct migration background","West Germany","1181","0.485252591502238","0.463543571423705","0.50696161158077"
"Yes","2011","direct migration background","East Germany","84","0.726717597830081","0.639806331887323","0.813628863772839"
"Yes","2011","indirect migration background","West Germany","607","0.720122118837326","0.689450581998713","0.75079365567594"
"Yes","2011","indirect migration background","East Germany","47","0.946600349369103","0.884282045162757","1.00891865357545"
"No","2011","no migration background","West Germany","13","","",""
"No","2011","no migration background","East Germany","","","",""
"No","2011","direct migration background","West Germany","855","0.514747408497762","0.49303838841923","0.536456428576295"
"No","2011","direct migration background","East Germany","17","","",""
"No","2011","indirect migration background","West Germany","216","0.279877881162674","0.24920634432406","0.310549418001287"
"No","2011","indirect migration background","East Germany","3","","",""
"Yes","2012","no migration background","West Germany","17423","0.99910648370405","0.998662983072488","0.999549984335612"
"Yes","2012","no migration background","East Germany","5974","1","1","1"
"Yes","2012","direct migration background","West Germany","1655","0.476170017250318","0.457986616943992","0.494353417556644"
"Yes","2012","direct migration background","East Germany","102","0.668794660981611","0.594461467058731","0.743127854904491"
"Yes","2012","indirect migration background","West Germany","926","0.7238692387693","0.698584175591228","0.749154301947372"
"Yes","2012","indirect migration background","East Germany","78","0.978011411229813","0.94587674916331","1.01014607329632"
"No","2012","no migration background","West Germany","12","","",""
"No","2012","no migration background","East Germany","","","",""
"No","2012","direct migration background","West Germany","1243","0.523829982749682","0.505646582443356","0.542013383056008"
"No","2012","direct migration background","East Germany","52","0.331205339018389","0.256872145095509","0.405538532941269"
"No","2012","indirect migration background","West Germany","275","0.2761307612307","0.250845698052628","0.301415824408772"
"No","2012","indirect migration background","East Germany","2","","",""
"Yes","2013","no migration background","West Germany","16321","0.999008196059173","0.998525456876918","0.999490935241428"
"Yes","2013","no migration background","East Germany","5555","1","1","1"
"Yes","2013","direct migration background","West Germany","1465","0.524212538906606","0.504896824300929","0.543528253512284"
"Yes","2013","direct migration background","East Germany","89","0.690179177573808","0.612746543175324","0.767611811972293"
"Yes","2013","indirect migration background","West Germany","894","0.793589091552431","0.769970298082583","0.81720788502228"
"Yes","2013","indirect migration background","East Germany","73","0.972339006799532","0.935468081718947","1.00920993188012"
"No","2013","no migration background","West Germany","12","","",""
"No","2013","no migration background","East Germany","","","",""
"No","2013","direct migration background","West Germany","1103","0.475787461093394","0.456471746487716","0.495103175699071"
"No","2013","direct migration background","East Germany","48","0.309820822426192","0.232388188027707","0.387253456824676"
"No","2013","indirect migration background","West Germany","234","0.206410908447569","0.18279211497772","0.230029701917417"
"No","2013","indirect migration background","East Germany","3","","",""
"Yes","2014","no migration background","West Germany","15104","0.9993337993095","0.998922472064449","0.999745126554551"
"Yes","2014","no migration background","East Germany","5169","1","1","1"
"Yes","2014","direct migration background","West Germany","2344","0.437064029050791","0.423011199567156","0.451116858534427"
"Yes","2014","direct migration background","East Germany","180","0.539101008172326","0.486578193375885","0.591623822968768"
"Yes","2014","indirect migration background","West Germany","1212","0.736976022028296","0.716003823419999","0.757948220636592"
"Yes","2014","indirect migration background","East Germany","97","0.940390155991533","0.894886692816096","0.985893619166969"
"No","2014","no migration background","West Germany","12","","",""
"No","2014","no migration background","East Germany","","","",""
"No","2014","direct migration background","West Germany","2442","0.562935970949209","0.548883141465573","0.576988800432844"
"No","2014","direct migration background","East Germany","166","0.460898991827674","0.408376177031232","0.513421806624115"
"No","2014","indirect migration background","West Germany","481","0.263023977971704","0.242051779363408","0.283996176580001"
"No","2014","indirect migration background","East Germany","7","","",""
"Yes","2015","no migration background","West Germany","14398","0.999439846537231","0.999053499057294","0.999826194017168"
"Yes","2015","no migration background","East Germany","4917","1","1","1"
"Yes","2015","direct migration background","West Germany","2206","0.436958986626851","0.423865827437446","0.450052145816256"
"Yes","2015","direct migration background","East Germany","170","0.402050944941001","0.355707693696127","0.448394196185874"
"Yes","2015","indirect migration background","West Germany","1155","0.731930159351243","0.710130219316677","0.753730099385808"
"Yes","2015","indirect migration background","East Germany","97","0.939837109071503","0.894354634613253","0.985319583529754"
"No","2015","no migration background","West Germany","10","","",""
"No","2015","no migration background","East Germany","","","",""
"No","2015","direct migration background","West Germany","3307","0.563041013373149","0.549947854183744","0.576134172562554"
"No","2015","direct migration background","East Germany","260","0.597949055058999","0.551605803814126","0.644292306303872"
"No","2015","indirect migration background","West Germany","431","0.268069840648757","0.246269900614191","0.289869780683323"
"No","2015","indirect migration background","East Germany","8","","",""
"Yes","2016","no migration background","West Germany","13337","0.999160006721207","0.998668575340939","0.999651438101474"
"Yes","2016","no migration background","East Germany","4608","1","1","1"
"Yes","2016","direct migration background","West Germany","1972","0.393686823404788","0.379481442854313","0.407892203955262"
"Yes","2016","direct migration background","East Germany","155","0.337372137755028","0.288326155566266","0.386418119943791"
"Yes","2016","indirect migration background","West Germany","1103","0.742495405984579","0.720097009457534","0.764893802511624"
"Yes","2016","indirect migration background","East Germany","99","0.93334121474361","0.886299284583718","0.980383144903503"
"No","2016","no migration background","West Germany","13","","",""
"No","2016","no migration background","East Germany","","","",""
"No","2016","direct migration background","West Germany","2572","0.606313176595212","0.592107796044738","0.620518557145687"
"No","2016","direct migration background","East Germany","202","0.662627862244972","0.613581880056209","0.711673844433734"
"No","2016","indirect migration background","West Germany","361","0.257504594015421","0.235106197488376","0.279902990542466"
"No","2016","indirect migration background","East Germany","9","","",""
"Yes","2017","no migration background","West Germany","15165","0.999309119674128","0.998891076852666","0.999727162495591"
"Yes","2017","no migration background","East Germany","5164","1","1","1"
"Yes","2017","direct migration background","West Germany","1997","0.351923195464546","0.340273796602794","0.363572594326299"
"Yes","2017","direct migration background","East Germany","168","0.311445415586027","0.280110590919159","0.342780240252896"
"Yes","2017","indirect migration background","West Germany","1250","0.740228804765108","0.718795775567884","0.761661833962332"
"Yes","2017","indirect migration background","East Germany","94","0.893831632673741","0.835462716160703","0.952200549186779"
"No","2017","no migration background","West Germany","11","","",""
"No","2017","no migration background","East Germany","","","",""
"No","2017","direct migration background","West Germany","4459","0.648076804535454","0.636427405673701","0.659726203397206"
"No","2017","direct migration background","East Germany","671","0.688554584413972","0.657219759747104","0.719889409080841"
"No","2017","indirect migration background","West Germany","358","0.259771195234892","0.238338166037668","0.281204224432116"
"No","2017","indirect migration background","East Germany","13","","",""
"Yes","2018","no migration background","West Germany","14574","0.998931893925193","0.998401724502476","0.999462063347911"
"Yes","2018","no migration background","East Germany","5053","1","1","1"
"Yes","2018","direct migration background","West Germany","1922","0.326925159875622","0.316261834447719","0.337588485303525"
"Yes","2018","direct migration background","East Germany","142","0.224554091190983","0.197337078465726","0.25177110391624"
"Yes","2018","indirect migration background","West Germany","1276","0.746984924993443","0.725622914759321","0.768346935227565"
"Yes","2018","indirect migration background","East Germany","113","0.938735458342477","0.896181067179723","0.98128984950523"
"No","2018","no migration background","West Germany","8","","",""
"No","2018","no migration background","East Germany","","","",""
"No","2018","direct migration background","West Germany","5512","0.673074840124378","0.662411514696475","0.683738165552281"
"No","2018","direct migration background","East Germany","761","0.775445908809017","0.74822889608376","0.802662921534274"
"No","2018","indirect migration background","West Germany","315","0.253015075006557","0.231653064772435","0.274377085240679"
"No","2018","indirect migration background","East Germany","9","","",""
"Yes","2019","no migration background","West Germany","15070","0.999122371157359","0.998649766707484","0.999594975607233"
"Yes","2019","no migration background","East Germany","5159","1","1","1"
"Yes","2019","direct migration background","West Germany","1769","0.320001607030986","0.308796752607212","0.33120646145476"
"Yes","2019","direct migration background","East Germany","131","0.225342674113522","0.195793590357151","0.254891757869894"
"Yes","2019","indirect migration background","West Germany","1306","0.746408097882487","0.724901204506634","0.76791499125834"
"Yes","2019","indirect migration background","East Germany","122","0.919642675805258","0.873442400644604","0.965842950965912"
"No","2019","no migration background","West Germany","11","","",""
"No","2019","no migration background","East Germany","","","",""
"No","2019","direct migration background","West Germany","4889","0.679998392969014","0.66879353854524","0.691203247392788"
"No","2019","direct migration background","East Germany","637","0.774657325886478","0.745108242130106","0.80420640964285"
"No","2019","indirect migration background","West Germany","266","0.253591902117513","0.23208500874166","0.275098795493366"
"No","2019","indirect migration background","East Germany","11","","",""
