"plj0014_v3","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1997","35-65 y.","Urban Area","3457","0.886273555247271","0.876822764075303","0.895724346419238"
"Yes","1997","66 and older","Rural Area","512","0.9840604539224","0.973275157752353","0.994845750092447"
"Yes","1997","66 and older","Urban Area","1018","0.972736356512033","0.963090727535967","0.982381985488099"
"No","1998","16-34 y.","Rural Area","99","0.0401175027481343","0.0305320830138444","0.0497029224824242"
"No","1998","16-34 y.","Urban Area","751","0.165040948378457","0.152327279895779","0.177754616861134"
"No","1998","35-65 y.","Rural Area","119","0.0302752074577609","0.0237686870806024","0.0367817278349194"
"No","1998","35-65 y.","Urban Area","841","0.112695288348594","0.103829523769516","0.121561052927672"
"No","1998","66 and older","Rural Area","8","","",""
"No","1998","66 and older","Urban Area","71","0.0252967799220832","0.0166945325384872","0.0338990273056793"
"Yes","1998","16-34 y.","Rural Area","1511","0.959882497251866","0.950297077517576","0.969467916986156"
"Yes","1998","16-34 y.","Urban Area","2524","0.834959051621543","0.822245383138866","0.847672720104221"
"Yes","1998","35-65 y.","Rural Area","2545","0.969724792542239","0.963218272165081","0.976231312919398"
"Yes","1998","35-65 y.","Urban Area","4046","0.887304711651406","0.878438947072328","0.896170476230484"
"Yes","1998","66 and older","Rural Area","603","0.979972666975967","0.968864407213517","0.991080926738417"
"Yes","1998","66 and older","Urban Area","1209","0.974703220077917","0.966100972694321","0.983305467461513"
"No","1999","16-34 y.","Rural Area","90","0.0344983042359946","0.0253949836476242","0.043601624824365"
"No","1999","16-34 y.","Urban Area","680","0.157319953810828","0.144446648445316","0.170193259176339"
"No","1999","35-65 y.","Rural Area","104","0.031659960496005","0.0248958148715532","0.0384241061204567"
"No","1999","35-65 y.","Urban Area","771","0.115800398045962","0.106692933278453","0.124907862813471"
"No","1999","66 and older","Rural Area","7","","",""
"No","1999","66 and older","Urban Area","83","0.0358239123378497","0.0254164527873782","0.0462313718883212"
"Yes","1999","16-34 y.","Rural Area","1454","0.965501695764005","0.956398375175635","0.974605016352376"
"Yes","1999","16-34 y.","Urban Area","2393","0.842680046189172","0.829806740823661","0.855553351554684"
"Yes","1999","35-65 y.","Rural Area","2470","0.968340039503995","0.961575893879543","0.975104185128447"
"Yes","1999","35-65 y.","Urban Area","3971","0.884199601954038","0.875092137186529","0.893307066721547"
"Yes","1999","66 and older","Rural Area","603","0.990374754466828","0.982626767837636","0.998122741096021"
"Yes","1999","66 and older","Urban Area","1142","0.96417608766215","0.953768628111679","0.974583547212622"
"No","2000","16-34 y.","Rural Area","118","0.039330948899048","0.0316103192502923","0.0470515785478037"
"No","2000","16-34 y.","Urban Area","880","0.164120340158465","0.153542652951979","0.174698027364952"
"No","2000","35-65 y.","Rural Area","145","0.0292991922644284","0.0244362666933643","0.0341621178354925"
"No","2000","35-65 y.","Urban Area","1069","0.109043244936073","0.102552665999249","0.115533823872896"
"No","2000","66 and older","Rural Area","14","","",""
"No","2000","66 and older","Urban Area","105","0.0326884072417739","0.0255593973584745","0.0398174171250732"
"Yes","2000","16-34 y.","Rural Area","2317","0.960669051100952","0.952948421452196","0.968389680749708"
"Yes","2000","16-34 y.","Urban Area","3830","0.835879659841534","0.825301972635048","0.846457347048021"
"Yes","2000","35-65 y.","Rural Area","4475","0.970700807735572","0.965837882164507","0.975563733306636"
"Yes","2000","35-65 y.","Urban Area","7790","0.890956755063927","0.884466176127104","0.897447334000751"
"Yes","2000","66 and older","Rural Area","1236","0.99056021393485","0.985199599139027","0.995920828730673"
"Yes","2000","66 and older","Urban Area","2285","0.967311592758226","0.960182582874927","0.974440602641525"
"No","2001","16-34 y.","Rural Area","102","0.0431232855994202","0.0344946093441355","0.051751961854705"
"No","2001","16-34 y.","Urban Area","735","0.159517389309558","0.148405283222042","0.170629495397073"
"No","2001","35-65 y.","Rural Area","130","0.0296216904158547","0.0245076467007622","0.0347357341309472"
"No","2001","35-65 y.","Urban Area","953","0.106740450537636","0.100014306072231","0.113466595003041"
"No","2001","66 and older","Rural Area","13","","",""
"No","2001","66 and older","Urban Area","111","0.0365130450284171","0.028785300436324","0.0442407896205101"
"Yes","2001","16-34 y.","Rural Area","2027","0.95687671440058","0.948248038145295","0.965505390655864"
"Yes","2001","16-34 y.","Urban Area","3436","0.840482610690442","0.829370504602927","0.851594716777958"
"Yes","2001","35-65 y.","Rural Area","4092","0.970378309584145","0.965264265869053","0.975492353299238"
"Yes","2001","35-65 y.","Urban Area","7143","0.893259549462364","0.886533404996959","0.899985693927769"
"Yes","2001","66 and older","Rural Area","1169","0.9917127892074","0.986544622637003","0.996880955777796"
"Yes","2001","66 and older","Urban Area","2152","0.963486954971583","0.95575921037949","0.971214699563676"
"No","2002","16-34 y.","Rural Area","79","0.0418088850570991","0.033188663973674","0.0504291061405243"
"No","2002","16-34 y.","Urban Area","634","0.152429764282234","0.141447651262871","0.163411877301596"
"No","2002","35-65 y.","Rural Area","130","0.0309865135425597","0.0258495207591112","0.0361235063260082"
"No","2002","35-65 y.","Urban Area","922","0.10678227573811","0.100387187001796","0.113177364474423"
"No","2002","66 and older","Rural Area","17","","",""
"No","2002","66 and older","Urban Area","118","0.0415616016691857","0.0335982174479331","0.0495249858904384"
"Yes","2002","16-34 y.","Rural Area","1992","0.958191114942901","0.949570893859476","0.966811336026326"
"Yes","2002","16-34 y.","Urban Area","3481","0.847570235717766","0.836588122698404","0.858552348737129"
"Yes","2002","35-65 y.","Rural Area","4241","0.96901348645744","0.963876493673992","0.974150479240889"
"Yes","2002","35-65 y.","Urban Area","8037","0.89321772426189","0.886822635525577","0.899612812998204"
"Yes","2002","66 and older","Rural Area","1211","0.987348243795863","0.981097099931279","0.993599387660447"
"Yes","2002","66 and older","Urban Area","2295","0.958438398330814","0.950475014109562","0.966401782552067"
"No","2003","16-34 y.","Rural Area","65","0.0358588235410997","0.0276166255223462","0.0441010215598532"
"No","2003","16-34 y.","Urban Area","570","0.153960125302259","0.142677865059586","0.165242385544933"
"No","2003","35-65 y.","Rural Area","123","0.0350891338694147","0.0294874867535596","0.0406907809852699"
"No","2003","35-65 y.","Urban Area","839","0.107064633781312","0.100515354517388","0.113613913045235"
"No","2003","66 and older","Rural Area","20","","",""
"No","2003","66 and older","Urban Area","124","0.0444466919474177","0.0362929306449858","0.0526004532498496"
"Yes","2003","16-34 y.","Rural Area","1890","0.9641411764589","0.955898978440147","0.972383374477654"
"Yes","2003","16-34 y.","Urban Area","3361","0.846039874697741","0.834757614455067","0.857322134940414"
"Yes","2003","35-65 y.","Rural Area","4022","0.964910866130585","0.95930921901473","0.97051251324644"
"Yes","2003","35-65 y.","Urban Area","7723","0.892935366218688","0.886386086954765","0.899484645482612"
"Yes","2003","66 and older","Rural Area","1230","0.986385552726362","0.979961391334815","0.992809714117909"
"Yes","2003","66 and older","Urban Area","2330","0.955553308052582","0.94739954675015","0.963707069355014"
"No","2004","16-34 y.","Rural Area","62","0.0398271957058789","0.0310039838864902","0.0486504075252677"
"No","2004","16-34 y.","Urban Area","488","0.139293130509459","0.128224231826751","0.150362029192166"
"No","2004","35-65 y.","Rural Area","122","0.0398129523846221","0.0337644268164042","0.0458614779528401"
"No","2004","35-65 y.","Urban Area","809","0.112893081246528","0.106066788715729","0.119719373777328"
"No","2004","66 and older","Rural Area","18","","",""
"No","2004","66 and older","Urban Area","129","0.0467819820993159","0.0385436585105426","0.0550203056880892"
"Yes","2004","16-34 y.","Rural Area","1825","0.960172804294121","0.951349592474732","0.96899601611351"
"Yes","2004","16-34 y.","Urban Area","3271","0.860706869490541","0.849637970807834","0.871775768173249"
"Yes","2004","35-65 y.","Rural Area","3892","0.960187047615378","0.95413852204716","0.966235573183596"
"Yes","2004","35-65 y.","Urban Area","7447","0.887106918753472","0.880280626222672","0.893933211284271"
"Yes","2004","66 and older","Rural Area","1275","0.988280133071208","0.98241402308638","0.994146243056037"
"Yes","2004","66 and older","Urban Area","2395","0.953218017900684","0.944979694311911","0.961456341489457"
"No","2005","16-34 y.","Rural Area","51","0.034545595196234","0.0260424722955207","0.0430487180969474"
"No","2005","16-34 y.","Urban Area","454","0.143034639103532","0.131553245329277","0.154516032877786"
"No","2005","35-65 y.","Rural Area","114","0.0465202784803871","0.0398520230974563","0.0531885338633179"
"No","2005","35-65 y.","Urban Area","783","0.117567896923046","0.110427652815026","0.124708141031067"
"No","2005","66 and older","Rural Area","17","","",""
"No","2005","66 and older","Urban Area","125","0.0468417694364553","0.0386292944809459","0.0550542443919648"
"Yes","2005","16-34 y.","Rural Area","1721","0.965454404803766","0.956951281903053","0.973957527704479"
"Yes","2005","16-34 y.","Urban Area","3118","0.856965360896468","0.845483967122214","0.868446754670723"
"Yes","2005","35-65 y.","Rural Area","3718","0.953479721519613","0.946811466136682","0.960147976902544"
"Yes","2005","35-65 y.","Urban Area","7034","0.882432103076954","0.875291858968933","0.889572347184974"
"Yes","2005","66 and older","Rural Area","1259","0.987071897735834","0.980873712702404","0.993270082769263"
"Yes","2005","66 and older","Urban Area","2418","0.953158230563545","0.944945755608035","0.961370705519054"
"No","2006","16-34 y.","Rural Area","55","0.037901214529642","0.0289106863552234","0.0468917427040607"
"No","2006","16-34 y.","Urban Area","391","0.146984041398537","0.135108144808644","0.158859937988429"
"No","2006","35-65 y.","Rural Area","119","0.0462398315725224","0.0398513236651969","0.0526283394798479"
"No","2006","35-65 y.","Urban Area","745","0.116919702227472","0.110001915514748","0.123837488940196"
"No","2006","66 and older","Rural Area","16","","",""
"No","2006","66 and older","Urban Area","144","0.0539756623950073","0.0458241149722144","0.0621272098178001"
"Yes","2006","16-34 y.","Rural Area","1678","0.962098785470358","0.953108257295939","0.971089313644777"
"Yes","2006","16-34 y.","Urban Area","3024","0.853015958601464","0.841140062011571","0.864891855191356"
"Yes","2006","35-65 y.","Rural Area","4032","0.953760168427478","0.947371660520152","0.960148676334803"
"Yes","2006","35-65 y.","Urban Area","7543","0.883080297772528","0.876162511059804","0.889998084485253"
"Yes","2006","66 and older","Rural Area","1524","0.989391921046325","0.984275217183785","0.994508624908865"
"Yes","2006","66 and older","Urban Area","2808","0.946024337604993","0.9378727901822","0.954175885027786"
"No","2007","16-34 y.","Rural Area","40","0.0365573011423986","0.0273986626829583","0.0457159396018389"
"No","2007","16-34 y.","Urban Area","316","0.135488392428227","0.123471675637367","0.147505109219087"
"No","2007","35-65 y.","Rural Area","119","0.0544667916440427","0.0473113931972367","0.0616221900908487"
"No","2007","35-65 y.","Urban Area","657","0.11792371700846","0.110684662955058","0.125162771061862"
"No","2007","66 and older","Rural Area","17","","",""
"No","2007","66 and older","Urban Area","137","0.056979694398706","0.0485401407079819","0.0654192480894302"
"Yes","2007","16-34 y.","Rural Area","1573","0.963442698857601","0.954284060398161","0.972601337317042"
"Yes","2007","16-34 y.","Urban Area","2800","0.864511607571773","0.852494890780914","0.876528324362633"
"Yes","2007","35-65 y.","Rural Area","3745","0.945533208355957","0.938377809909151","0.952688606802763"
"Yes","2007","35-65 y.","Urban Area","6968","0.88207628299154","0.874837228938138","0.889315337044942"
"Yes","2007","66 and older","Rural Area","1490","0.981593095139467","0.974806567908579","0.988379622370354"
"Yes","2007","66 and older","Urban Area","2761","0.943020305601294","0.93458075191057","0.951459859292018"
"No","2008","16-34 y.","Rural Area","31","0.0400611532735279","0.0300295910689468","0.050092715478109"
"No","2008","16-34 y.","Urban Area","264","0.127196119027223","0.115088144601723","0.139304093452723"
"No","2008","35-65 y.","Rural Area","107","0.0601917684935357","0.0524471131018179","0.0679364238852535"
"No","2008","35-65 y.","Urban Area","579","0.11690856852209","0.109419398688887","0.124397738355294"
"No","2008","66 and older","Rural Area","17","","",""
"No","2008","66 and older","Urban Area","134","0.0608630240590176","0.0521238497841027","0.0696021983339326"
"Yes","2008","16-34 y.","Rural Area","1437","0.959938846726472","0.949907284521891","0.969970408931053"
"Yes","2008","16-34 y.","Urban Area","2645","0.872803880972777","0.860695906547277","0.884911855398277"
"Yes","2008","35-65 y.","Rural Area","3516","0.939808231506464","0.932063576114746","0.947552886898182"
"Yes","2008","35-65 y.","Urban Area","6492","0.883091431477909","0.875602261644706","0.890580601311113"
"Yes","2008","66 and older","Rural Area","1468","0.981941059455579","0.975168174349148","0.98871394456201"
"Yes","2008","66 and older","Urban Area","2741","0.939136975940982","0.930397801666067","0.947876150215897"
"No","2009","16-34 y.","Rural Area","32","0.0485661982649009","0.0371164720656858","0.060015924464116"
"No","2009","16-34 y.","Urban Area","222","0.126577473528305","0.113922776938036","0.139232170118574"
"No","2009","35-65 y.","Rural Area","96","0.0582012179768584","0.050395617420118","0.0660068185335989"
"No","2009","35-65 y.","Urban Area","504","0.121441766198813","0.113467220627296","0.129416311770329"
"No","2009","66 and older","Rural Area","21","","",""
"No","2009","66 and older","Urban Area","114","0.0559656772066296","0.047404344257864","0.0645270101553952"
"Yes","2009","16-34 y.","Rural Area","1322","0.951433801735099","0.939984075535884","0.962883527934314"
"Yes","2009","16-34 y.","Urban Area","2430","0.873422526471695","0.860767829881426","0.886077223061964"
"Yes","2009","35-65 y.","Rural Area","3360","0.941798782023142","0.933993181466401","0.949604382579882"
"Yes","2009","35-65 y.","Urban Area","5941","0.878558233801187","0.870583688229671","0.886532779372704"
"Yes","2009","66 and older","Rural Area","1429","0.97890411399914","0.971507498355045","0.986300729643235"
"Yes","2009","66 and older","Urban Area","2655","0.94403432279337","0.935472989844605","0.952595655742136"
"No","2010","16-34 y.","Rural Area","105","0.0521839712966765","0.0429986471779788","0.0613692954153743"
"No","2010","16-34 y.","Urban Area","496","0.116792004279232","0.107233467144321","0.126350541414143"
"No","2010","35-65 y.","Rural Area","152","0.0636453636782684","0.0565961195096808","0.0706946078468559"
"No","2010","35-65 y.","Urban Area","776","0.120833352550993","0.114023143447972","0.127643561654013"
"No","2010","66 and older","Rural Area","21","","",""
"No","2010","66 and older","Urban Area","106","0.0581897851718592","0.0493415274236915","0.0670380429200269"
"Yes","2010","16-34 y.","Rural Area","2147","0.947816028703323","0.938630704584626","0.957001352822021"
"Yes","2010","16-34 y.","Urban Area","3841","0.883207995720768","0.873649458585858","0.892766532855679"
"Yes","2010","35-65 y.","Rural Area","4455","0.936354636321732","0.929305392153144","0.943403880490319"
"Yes","2010","35-65 y.","Urban Area","8023","0.879166647449007","0.872356438345987","0.885976856552028"
"Yes","2010","66 and older","Rural Area","1366","0.977799014322383","0.970045103776903","0.985552924867864"
"Yes","2010","66 and older","Urban Area","2583","0.941810214828141","0.932961957079973","0.950658472576308"
"No","2011","16-34 y.","Rural Area","33","0.042050189380004","0.0318387609800116","0.0522616177799965"
"No","2011","16-34 y.","Urban Area","215","0.0842370033804012","0.0744377467798689","0.0940362599809335"
"No","2011","35-65 y.","Rural Area","126","0.056647959684337","0.0498529137869968","0.0634430055816772"
"No","2011","35-65 y.","Urban Area","578","0.102994575259755","0.0963527143434645","0.109636436176046"
"No","2011","66 and older","Rural Area","31","0.0266695391957573","0.0192161503687052","0.0341229280228094"
"No","2011","66 and older","Urban Area","121","0.0522279140277377","0.0447494582554642","0.0597063698000113"
"Yes","2011","16-34 y.","Rural Area","1451","0.957949810619996","0.947738382220004","0.968161239019988"
"Yes","2011","16-34 y.","Urban Area","2871","0.915762996619599","0.905963740019067","0.925562253220131"
"Yes","2011","35-65 y.","Rural Area","4320","0.943352040315663","0.936556994418323","0.950147086213003"
"Yes","2011","35-65 y.","Urban Area","7467","0.897005424740245","0.890363563823955","0.903647285656536"
"Yes","2011","66 and older","Rural Area","1764","0.973330460804243","0.965877071977191","0.980783849631295"
"Yes","2011","66 and older","Urban Area","3279","0.947772085972262","0.940293630199989","0.955250541744536"
"No","2012","16-34 y.","Rural Area","91","0.06581616911168","0.0554618077964233","0.0761705304269367"
"No","2012","16-34 y.","Urban Area","353","0.0996894197569877","0.0905823473435204","0.108796492170455"
"No","2012","35-65 y.","Rural Area","182","0.0500215406784013","0.0444704799694579","0.0555726013873446"
"No","2012","35-65 y.","Urban Area","805","0.115554273523904","0.109349292165968","0.121759254881841"
"No","2012","66 and older","Rural Area","29","","",""
"No","2012","66 and older","Urban Area","124","0.0612929728917974","0.053236222467718","0.0693497233158768"
"Yes","2012","16-34 y.","Rural Area","2112","0.93418383088832","0.923829469573063","0.944538192203577"
"Yes","2012","16-34 y.","Urban Area","3804","0.900310580243012","0.891203507829545","0.90941765265648"
"Yes","2012","35-65 y.","Rural Area","5742","0.949978459321599","0.944427398612655","0.955529520030542"
"Yes","2012","35-65 y.","Urban Area","9392","0.884445726476096","0.878240745118159","0.890650707834032"
"Yes","2012","66 and older","Rural Area","1827","0.969336744111887","0.961493322211099","0.977180166012676"
"Yes","2012","66 and older","Urban Area","3281","0.938707027108203","0.930650276684123","0.946763777532282"
"No","2013","16-34 y.","Rural Area","79","0.0270451314669253","0.0198526838503482","0.0342375790835025"
"No","2013","16-34 y.","Urban Area","277","0.0432548122542928","0.0367782604313705","0.0497313640772151"
"No","2013","35-65 y.","Rural Area","166","0.0338920597706113","0.0291241331436367","0.0386599863975858"
"No","2013","35-65 y.","Urban Area","729","0.0760266859392069","0.0706959093474635","0.0813574625309503"
"No","2013","66 and older","Rural Area","28","","",""
"No","2013","66 and older","Urban Area","121","0.0471089906582315","0.0398559997892382","0.0543619815272248"
"Yes","2013","16-34 y.","Rural Area","1875","0.972954868533075","0.965762420916498","0.980147316149652"
"Yes","2013","16-34 y.","Urban Area","3513","0.956745187745707","0.950268635922785","0.96322173956863"
"Yes","2013","35-65 y.","Rural Area","5367","0.966107940229389","0.961340013602414","0.970875866856363"
"Yes","2013","35-65 y.","Urban Area","8767","0.923973314060793","0.91864253746905","0.929304090652536"
"Yes","2013","66 and older","Rural Area","1718","0.977443077047447","0.970478229143419","0.984407924951475"
"Yes","2013","66 and older","Urban Area","3157","0.952891009341769","0.945638018472775","0.960144000210762"
"No","2014","16-34 y.","Rural Area","208","0.087950062111465","0.0757462579435024","0.100153866279427"
"No","2014","16-34 y.","Urban Area","796","0.126580271321671","0.116886932720768","0.136273609922574"
"No","2014","35-65 y.","Rural Area","383","0.0559461006286613","0.0498619284441079","0.0620302728132148"
"No","2014","35-65 y.","Urban Area","1536","0.131777307130646","0.125191734835348","0.138362879425944"
"No","2014","66 and older","Rural Area","43","0.0268294695919664","0.0192953877377364","0.0343635514461963"
"No","2014","66 and older","Urban Area","142","0.0498723510476573","0.0423803899120579","0.0573643121832566"
"Yes","2014","16-34 y.","Rural Area","1861","0.912049937888535","0.899846133720573","0.924253742056498"
"Yes","2014","16-34 y.","Urban Area","3724","0.873419728678329","0.863726390077426","0.883113067279232"
"Yes","2014","35-65 y.","Rural Area","5098","0.944053899371339","0.937969727186785","0.950138071555892"
"Yes","2014","35-65 y.","Urban Area","8598","0.868222692869354","0.861637120574056","0.874808265164652"
"Yes","2014","66 and older","Rural Area","1724","0.973170530408034","0.965636448553804","0.980704612262264"
"Yes","2014","66 and older","Urban Area","3101","0.950127648952343","0.942635687816743","0.957619610087942"
"No","2015","16-34 y.","Rural Area","357","0.0875018079455072","0.0753173152490567","0.0996863006419576"
"No","2015","16-34 y.","Urban Area","1223","0.150737632693925","0.140467081737374","0.161008183650476"
"No","2015","35-65 y.","Rural Area","480","0.0580984865737773","0.0518318483062291","0.0643651248413255"
"No","2015","35-65 y.","Urban Area","1774","0.132500152991818","0.125824771809769","0.139175534173866"
"No","2015","66 and older","Rural Area","41","0.0224607090014786","0.0155693408402078","0.0293520771627494"
"No","2015","66 and older","Urban Area","141","0.0529272778045144","0.0451615873619588","0.0606929682470701"
"Yes","2015","16-34 y.","Rural Area","1709","0.912498192054493","0.900313699358042","0.924682684750943"
"Yes","2015","16-34 y.","Urban Area","3439","0.849262367306075","0.838991816349524","0.859532918262626"
"Yes","2015","35-65 y.","Rural Area","4873","0.941901513426223","0.935634875158675","0.948168151693771"
"Yes","2015","35-65 y.","Urban Area","8135","0.867499847008183","0.860824465826134","0.874175228190231"
"Yes","2015","66 and older","Rural Area","1735","0.977539290998521","0.970647922837251","0.984430659159792"
"Yes","2015","66 and older","Urban Area","3052","0.947072722195486","0.93930703175293","0.954838412638041"
"No","2016","16-34 y.","Rural Area","257","0.0907667130202721","0.0773568944363199","0.104176531604224"
"No","2016","16-34 y.","Urban Area","813","0.1479020980464","0.1367960339444","0.1590081621484"
"No","2016","35-65 y.","Rural Area","401","0.0709946483109798","0.0638178359160928","0.0781714607058668"
"No","2016","35-65 y.","Urban Area","1517","0.139594027503779","0.132450298302022","0.146737756705536"
"No","2016","66 and older","Rural Area","37","0.0245719269741061","0.0172681932996305","0.0318756606485817"
"No","2016","66 and older","Urban Area","132","0.0724599093264389","0.0632699072442093","0.0816499114086684"
"Yes","2016","16-34 y.","Rural Area","1506","0.909233286979728","0.895823468395776","0.92264310556368"
"Yes","2016","16-34 y.","Urban Area","3112","0.8520979019536","0.8409918378516","0.8632039660556"
"Yes","2016","35-65 y.","Rural Area","4518","0.92900535168902","0.921828539294133","0.936182164083907"
"Yes","2016","35-65 y.","Urban Area","7524","0.860405972496221","0.853262243294464","0.867549701697978"
"Yes","2016","66 and older","Rural Area","1689","0.975428073025894","0.968124339351418","0.98273180670037"
"Yes","2016","66 and older","Urban Area","2925","0.927540090673561","0.918350088591332","0.936730092755791"
"No","2017","16-34 y.","Rural Area","618","0.105937356170211","0.0936680979825754","0.118206614357846"
"No","2017","16-34 y.","Urban Area","1620","0.163286685676105","0.153213135364597","0.173360235987613"
"No","2017","35-65 y.","Rural Area","779","0.0791813977538722","0.0723180775252609","0.0860447179824836"
"No","2017","35-65 y.","Urban Area","2304","0.149299317355283","0.142567721472284","0.156030913238282"
"No","2017","66 and older","Rural Area","40","0.0338969820777809","0.0257146530903029","0.0420793110652589"
"No","2017","66 and older","Urban Area","151","0.0790592851779691","0.0696646644919754","0.0884539058639627"
"Yes","2017","16-34 y.","Rural Area","1799","0.894062643829789","0.881793385642154","0.906331902017425"
"Yes","2017","16-34 y.","Urban Area","3552","0.836713314323895","0.826639764012387","0.846786864635403"
"Yes","2017","35-65 y.","Rural Area","5167","0.920818602246128","0.913955282017516","0.927681922474739"
"Yes","2017","35-65 y.","Urban Area","8463","0.850700682644717","0.843969086761718","0.857432278527716"
"Yes","2017","66 and older","Rural Area","1839","0.966103017922219","0.957920688934741","0.974285346909697"
"Yes","2017","66 and older","Urban Area","3018","0.920940714822031","0.911546094136037","0.930335335508024"
"No","2018","16-34 y.","Rural Area","724","0.112082308595876","0.0995341893187597","0.124630427872992"
"No","2018","16-34 y.","Urban Area","2160","0.179384604330253","0.169417292187861","0.189351916472645"
"No","2018","35-65 y.","Rural Area","854","0.0741577313736789","0.0673991363982711","0.0809163263490866"
"No","2018","35-65 y.","Urban Area","2648","0.161771995754559","0.154793692351469","0.168750299157649"
"No","2018","66 and older","Rural Area","47","0.0460478059820102","0.0365636333426365","0.055531978621384"
"No","2018","66 and older","Urban Area","172","0.0871095155138177","0.0773664143838494","0.0968526166437861"
"Yes","2018","16-34 y.","Rural Area","1704","0.887917691404124","0.875369572127008","0.90046581068124"
"Yes","2018","16-34 y.","Urban Area","3532","0.820615395669747","0.810648083527354","0.830582707812139"
"Yes","2018","35-65 y.","Rural Area","4920","0.925842268626321","0.919083673650913","0.932600863601729"
"Yes","2018","35-65 y.","Urban Area","8049","0.838228004245441","0.831249700842351","0.845206307648531"
"Yes","2018","66 and older","Rural Area","1829","0.95395219401799","0.944468021378616","0.963436366657364"
"Yes","2018","66 and older","Urban Area","3046","0.912890484486182","0.903147383356214","0.92263358561615"
"No","2019","16-34 y.","Rural Area","613","0.108927406179955","0.0956278266111589","0.122226985748752"
"No","2019","16-34 y.","Urban Area","1661","0.181915945603868","0.17084215506856","0.192989736139176"
"No","2019","35-65 y.","Rural Area","803","0.0830207252563716","0.0759272622247343","0.0901141882880089"
"No","2019","35-65 y.","Urban Area","2283","0.169650072193089","0.162373798986826","0.176926345399352"
"No","2019","66 and older","Rural Area","48","0.0339480949720593","0.0258286623475872","0.0420675275965313"
"No","2019","66 and older","Urban Area","159","0.0928236256208933","0.0825837274867724","0.103063523755014"
"Yes","2019","16-34 y.","Rural Area","1495","0.891072593820045","0.877773014251248","0.904372173388841"
"Yes","2019","16-34 y.","Urban Area","3001","0.818084054396132","0.807010263860824","0.82915784493144"
"Yes","2019","35-65 y.","Rural Area","5009","0.916979274743628","0.909885811711991","0.924072737775266"
"Yes","2019","35-65 y.","Urban Area","7938","0.830349927806911","0.823073654600648","0.837626201013174"
"Yes","2019","66 and older","Rural Area","1863","0.966051905027941","0.957932472403469","0.974171337652413"
"Yes","2019","66 and older","Urban Area","2926","0.907176374379107","0.896936476244986","0.917416272513228"
