"plj0014_v3","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1996","Brandenburg","Not Working","202","0.991852199645763","0.979485786775884","1.00421861251564"
"Yes","1996","Mecklenburg-Western Pomerania","Full Time","191","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","Part Time","72","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","Not Working","137","1","1","1"
"Yes","1996","Saxony","Full Time","529","0.993405183953659","0.98652079523186","1.00028957267546"
"Yes","1996","Saxony","Part Time","181","0.982102431084005","0.962946000322629","1.00125886184538"
"Yes","1996","Saxony","Not Working","397","1","1","1"
"Yes","1996","Saxony-Anhalt","Full Time","326","1","1","1"
"Yes","1996","Saxony-Anhalt","Part Time","102","1","1","1"
"Yes","1996","Saxony-Anhalt","Not Working","251","1","1","1"
"Yes","1996","Thuringia","Full Time","322","0.995674723445207","0.9885290812233","1.00282036566711"
"Yes","1996","Thuringia","Part Time","105","1","1","1"
"Yes","1996","Thuringia","Not Working","231","0.994484275766151","0.984954024931006","1.0040145266013"
"No","1996","Schleswig-Holstein","Full Time","11","","",""
"No","1996","Schleswig-Holstein","Part Time","4","","",""
"No","1996","Schleswig-Holstein","Not Working","4","","",""
"No","1996","Hamburg","Full Time","12","","",""
"No","1996","Hamburg","Part Time","2","","",""
"No","1996","Hamburg","Not Working","12","","",""
"No","1996","Lower Saxony","Full Time","42","0.0527721934537284","0.0314153612598964","0.0741290256475604"
"No","1996","Lower Saxony","Part Time","34","0.0620841559554279","0.0322907504660801","0.0918775614447757"
"No","1996","Lower Saxony","Not Working","49","0.0661425999924653","0.0410550454631377","0.0912301545217928"
"No","1996","Bremen","Full Time","8","","",""
"No","1996","Bremen","Part Time","3","","",""
"No","1996","Bremen","Not Working","4","","",""
"No","1996","North Rhine-Westphalia","Full Time","214","0.0960519116497824","0.0782459688951049","0.11385785440446"
"No","1996","North Rhine-Westphalia","Part Time","133","0.114146394741971","0.0883783043061913","0.13991448517775"
"No","1996","North Rhine-Westphalia","Not Working","224","0.0985666916582413","0.0793988980380268","0.117734485278456"
"No","1996","Hesse","Full Time","116","0.14201722268359","0.107461908166347","0.176572537200834"
"No","1996","Hesse","Part Time","62","0.182607988459488","0.129330040778975","0.235885936140001"
"No","1996","Hesse","Not Working","88","0.112347385498257","0.0778013211063391","0.146893449890174"
"No","1996","Rhineland-Palatinate,Saarland","Full Time","40","0.070945437579643","0.0410866776453987","0.100804197513887"
"No","1996","Rhineland-Palatinate,Saarland","Part Time","23","","",""
"No","1996","Rhineland-Palatinate,Saarland","Not Working","32","0.0789962453381095","0.046999876622694","0.110992614053525"
"No","1996","Baden-Württemberg","Full Time","246","0.157677073022651","0.131094128931106","0.184260017114195"
"No","1996","Baden-Württemberg","Part Time","156","0.154664808716015","0.119318400128466","0.190011217303563"
"No","1996","Baden-Württemberg","Not Working","210","0.113754325607349","0.0882633777020396","0.139245273512659"
"No","1996","Bavaria","Full Time","143","0.109106948176229","0.0869267106249335","0.131287185727524"
"No","1996","Bavaria","Part Time","75","0.128177416639725","0.0933544092921278","0.163000423987322"
"No","1996","Bavaria","Not Working","102","0.0824817904562399","0.0595741902689524","0.105389390643527"
"No","1996","Berlin","Full Time","22","","",""
"No","1996","Berlin","Part Time","14","","",""
"No","1996","Berlin","Not Working","31","0.118599986578628","0.0733364064373353","0.163863566719921"
"No","1996","Brandenburg","Full Time","1","","",""
"No","1996","Brandenburg","Part Time","","","",""
"No","1996","Brandenburg","Not Working","1","","",""
"No","1996","Mecklenburg-Western Pomerania","Full Time","","","",""
"No","1996","Mecklenburg-Western Pomerania","Part Time","","","",""
"No","1996","Mecklenburg-Western Pomerania","Not Working","","","",""
"No","1996","Saxony","Full Time","2","","",""
"No","1996","Saxony","Part Time","3","","",""
"No","1996","Saxony","Not Working","","","",""
"No","1996","Saxony-Anhalt","Full Time","","","",""
"No","1996","Saxony-Anhalt","Part Time","","","",""
"No","1996","Saxony-Anhalt","Not Working","","","",""
"No","1996","Thuringia","Full Time","2","","",""
"No","1996","Thuringia","Part Time","","","",""
"No","1996","Thuringia","Not Working","1","","",""
"Yes","1997","Schleswig-Holstein","Full Time","111","0.979966424037565","0.954357931899056","1.00557491617607"
"Yes","1997","Schleswig-Holstein","Part Time","53","0.98886923254047","0.961142497427972","1.01659596765297"
"Yes","1997","Schleswig-Holstein","Not Working","98","0.966572975468063","0.931689946435171","1.00145600450096"
"Yes","1997","Hamburg","Full Time","43","0.865682005042842","0.775563694505526","0.955800315580158"
"Yes","1997","Hamburg","Part Time","18","","",""
"Yes","1997","Hamburg","Not Working","39","0.923192568305173","0.85011050931814","0.996274627292206"
"Yes","1997","Lower Saxony","Full Time","385","0.957114483242095","0.937987489147655","0.976241477336535"
"Yes","1997","Lower Saxony","Part Time","192","0.931834301146574","0.898454916521752","0.965213685771396"
"Yes","1997","Lower Saxony","Not Working","340","0.93189899977956","0.907055618121224","0.956742381437896"
"Yes","1997","Bremen","Full Time","30","0.786560003172068","0.654536558108227","0.918583448235909"
"Yes","1997","Bremen","Part Time","9","","",""
"Yes","1997","Bremen","Not Working","42","0.907242095924285","0.824307406598899","0.990176785249671"
"Yes","1997","North Rhine-Westphalia","Full Time","858","0.91107317584273","0.893929926874293","0.928216424811168"
"Yes","1997","North Rhine-Westphalia","Part Time","424","0.915910670792444","0.892239042469978","0.939582299114911"
"Yes","1997","North Rhine-Westphalia","Not Working","712","0.886965165250307","0.866669573458498","0.907260757042115"
"Yes","1997","Hesse","Full Time","260","0.865175471327018","0.829445630023242","0.900905312630794"
"Yes","1997","Hesse","Part Time","125","0.771487310843449","0.710983632149617","0.83199098953728"
"Yes","1997","Hesse","Not Working","227","0.849164982393209","0.809952870855838","0.88837709393058"
"Yes","1997","Rhineland-Palatinate,Saarland","Full Time","242","0.907392645779097","0.873796810725959","0.940988480832235"
"Yes","1997","Rhineland-Palatinate,Saarland","Part Time","118","0.927309369243129","0.883350426929703","0.971268311556555"
"Yes","1997","Rhineland-Palatinate,Saarland","Not Working","258","0.938758137174923","0.911396748431856","0.966119525917989"
"Yes","1997","Baden-Württemberg","Full Time","467","0.839527812285301","0.812414711261565","0.866640913309037"
"Yes","1997","Baden-Württemberg","Part Time","253","0.838878658515062","0.802623012268478","0.875134304761646"
"Yes","1997","Baden-Württemberg","Not Working","395","0.875059932753438","0.849158088270412","0.900961777236463"
"Yes","1997","Bavaria","Full Time","594","0.895743379629541","0.873620598205472","0.91786616105361"
"Yes","1997","Bavaria","Part Time","289","0.86642798397821","0.830939723336249","0.90191624462017"
"Yes","1997","Bavaria","Not Working","453","0.909107488681591","0.88499603256044","0.933218944802742"
"Yes","1997","Berlin","Full Time","218","0.915492195883148","0.87985398494356","0.951130406822736"
"Yes","1997","Berlin","Part Time","90","0.888206599431958","0.826752269824833","0.949660929039082"
"Yes","1997","Berlin","Not Working","155","0.885679939097055","0.838934664276577","0.932425213917533"
"Yes","1997","Brandenburg","Full Time","273","1","1","1"
"Yes","1997","Brandenburg","Part Time","95","0.987065121949087","0.964462097908023","1.00966814599015"
"Yes","1997","Brandenburg","Not Working","229","0.983741146175857","0.967432140544869","1.00005015180684"
"Yes","1997","Mecklenburg-Western Pomerania","Full Time","183","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","Part Time","64","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","Not Working","144","1","1","1"
"Yes","1997","Saxony","Full Time","522","0.995704754972824","0.99010535217545","1.0013041577702"
"Yes","1997","Saxony","Part Time","166","0.974364135416171","0.950536037935347","0.998192232896996"
"Yes","1997","Saxony","Not Working","400","1","1","1"
"Yes","1997","Saxony-Anhalt","Full Time","312","1","1","1"
"Yes","1997","Saxony-Anhalt","Part Time","119","1","1","1"
"Yes","1997","Saxony-Anhalt","Not Working","238","1","1","1"
"Yes","1997","Thuringia","Full Time","308","0.996781471026191","0.99046611932988","1.0030968227225"
"Yes","1997","Thuringia","Part Time","109","0.995905232244042","0.983971524635161","1.00783893985292"
"Yes","1997","Thuringia","Not Working","242","0.993514246520326","0.983421433619918","1.00360705942074"
"No","1997","Schleswig-Holstein","Full Time","4","","",""
"No","1997","Schleswig-Holstein","Part Time","2","","",""
"No","1997","Schleswig-Holstein","Not Working","4","","",""
"No","1997","Hamburg","Full Time","12","","",""
"No","1997","Hamburg","Part Time","1","","",""
"No","1997","Hamburg","Not Working","12","","",""
"No","1997","Lower Saxony","Full Time","46","0.0428855167579052","0.0237585226634653","0.0620125108523451"
"No","1997","Lower Saxony","Part Time","27","","",""
"No","1997","Lower Saxony","Not Working","55","0.0681010002204398","0.0432576185621037","0.0929443818787759"
"No","1997","Bremen","Full Time","7","","",""
"No","1997","Bremen","Part Time","1","","",""
"No","1997","Bremen","Not Working","5","","",""
"No","1997","North Rhine-Westphalia","Full Time","201","0.08892682415727","0.0717835751888325","0.106070073125707"
"No","1997","North Rhine-Westphalia","Part Time","104","0.0840893292075559","0.0604177008850894","0.107760957530022"
"No","1997","North Rhine-Westphalia","Not Working","223","0.113034834749693","0.0927392429578846","0.133330426541502"
"No","1997","Hesse","Full Time","91","0.134824528672982","0.0990946873692059","0.170554369976758"
"No","1997","Hesse","Part Time","60","0.228512689156551","0.16800901046272","0.289016367850383"
"No","1997","Hesse","Not Working","93","0.150835017606791","0.11162290606942","0.190047129144162"
"No","1997","Rhineland-Palatinate,Saarland","Full Time","44","0.0926073542209027","0.0590115191677649","0.12620318927404"
"No","1997","Rhineland-Palatinate,Saarland","Part Time","16","","",""
"No","1997","Rhineland-Palatinate,Saarland","Not Working","37","0.0612418628250775","0.0338804740820115","0.0886032515681436"
"No","1997","Baden-Württemberg","Full Time","237","0.160472187714699","0.133359086690963","0.187585288738435"
"No","1997","Baden-Württemberg","Part Time","142","0.161121341484938","0.124865695238354","0.197376987731522"
"No","1997","Baden-Württemberg","Not Working","231","0.124940067246562","0.099038222763537","0.150841911729588"
"No","1997","Bavaria","Full Time","139","0.104256620370459","0.0821338389463898","0.126379401794528"
"No","1997","Bavaria","Part Time","64","0.133572016021791","0.0980837553798303","0.169060276663751"
"No","1997","Bavaria","Not Working","93","0.0908925113184088","0.0667810551972578","0.11500396743956"
"No","1997","Berlin","Full Time","16","","",""
"No","1997","Berlin","Part Time","11","","",""
"No","1997","Berlin","Not Working","23","","",""
"No","1997","Brandenburg","Full Time","","","",""
"No","1997","Brandenburg","Part Time","1","","",""
"No","1997","Brandenburg","Not Working","2","","",""
"No","1997","Mecklenburg-Western Pomerania","Full Time","","","",""
"No","1997","Mecklenburg-Western Pomerania","Part Time","","","",""
"No","1997","Mecklenburg-Western Pomerania","Not Working","","","",""
"No","1997","Saxony","Full Time","2","","",""
"No","1997","Saxony","Part Time","3","","",""
"No","1997","Saxony","Not Working","","","",""
"No","1997","Saxony-Anhalt","Full Time","","","",""
"No","1997","Saxony-Anhalt","Part Time","","","",""
"No","1997","Saxony-Anhalt","Not Working","","","",""
"No","1997","Thuringia","Full Time","1","","",""
"No","1997","Thuringia","Part Time","1","","",""
"No","1997","Thuringia","Not Working","1","","",""
"Yes","1998","Schleswig-Holstein","Full Time","142","0.953375564508002","0.919858567653442","0.986892561362562"
"Yes","1998","Schleswig-Holstein","Part Time","63","0.991910527028154","0.969964572860269","1.01385648119604"
"Yes","1998","Schleswig-Holstein","Not Working","131","0.953575460883439","0.918722842832072","0.988428078934807"
"Yes","1998","Hamburg","Full Time","52","0.939052483666308","0.878519036678292","0.999585930654324"
"Yes","1998","Hamburg","Part Time","30","0.974971211575311","0.921673700222507","1.02826872292812"
"Yes","1998","Hamburg","Not Working","49","0.91135612704107","0.840029515357263","0.982682738724876"
"Yes","1998","Lower Saxony","Full Time","443","0.945909588100106","0.92584070800699","0.965978468193223"
"Yes","1998","Lower Saxony","Part Time","234","0.936235809681452","0.90630564150225","0.966165977860654"
"Yes","1998","Lower Saxony","Not Working","418","0.949981184937397","0.930082616649237","0.969879753225556"
"Yes","1998","Bremen","Full Time","33","0.801632377175571","0.674844038291243","0.928420716059899"
"Yes","1998","Bremen","Part Time","13","","",""
"Yes","1998","Bremen","Not Working","43","0.865517525928818","0.769991693852527","0.961043358005109"
"Yes","1998","North Rhine-Westphalia","Full Time","982","0.901981800389063","0.884893043098299","0.919070557679827"
"Yes","1998","North Rhine-Westphalia","Part Time","480","0.895260025469479","0.870424549021039","0.92009550191792"
"Yes","1998","North Rhine-Westphalia","Not Working","898","0.890811153311591","0.872472264225422","0.90915004239776"
"Yes","1998","Hesse","Full Time","288","0.857713197084679","0.822117247274342","0.893309146895017"
"Yes","1998","Hesse","Part Time","160","0.80931007706156","0.757280849389529","0.86133930473359"
"Yes","1998","Hesse","Not Working","278","0.864476356216781","0.829313714626625","0.899638997806938"
"Yes","1998","Rhineland-Palatinate,Saarland","Full Time","281","0.906271840547968","0.874339011998011","0.938204669097926"
"Yes","1998","Rhineland-Palatinate,Saarland","Part Time","134","0.920463175968974","0.877162986816068","0.963763365121881"
"Yes","1998","Rhineland-Palatinate,Saarland","Not Working","299","0.934550438472011","0.908145334367586","0.960955542576436"
"Yes","1998","Baden-Württemberg","Full Time","515","0.852696806661463","0.826899017625202","0.878494595697724"
"Yes","1998","Baden-Württemberg","Part Time","276","0.801761387362086","0.763858672418826","0.839664102305346"
"Yes","1998","Baden-Württemberg","Not Working","465","0.869109026584723","0.843777199545834","0.894440853623613"
"Yes","1998","Bavaria","Full Time","668","0.880004608750202","0.857444370243545","0.902564847256859"
"Yes","1998","Bavaria","Part Time","324","0.851160944877609","0.815607472554124","0.886714417201093"
"Yes","1998","Bavaria","Not Working","609","0.927640726898462","0.908406767123294","0.94687468667363"
"Yes","1998","Berlin","Full Time","229","0.926038307767664","0.893065319810869","0.959011295724459"
"Yes","1998","Berlin","Part Time","84","0.833270699713967","0.759095069790658","0.907446329637277"
"Yes","1998","Berlin","Not Working","176","0.918380856566007","0.879755112009501","0.957006601122513"
"Yes","1998","Brandenburg","Full Time","279","1","1","1"
"Yes","1998","Brandenburg","Part Time","113","0.991153076237428","0.973963618586481","1.00834253388837"
"Yes","1998","Brandenburg","Not Working","229","0.971160562904112","0.949579093553193","0.992742032255031"
"Yes","1998","Mecklenburg-Western Pomerania","Full Time","187","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","Part Time","83","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","Not Working","141","1","1","1"
"Yes","1998","Saxony","Full Time","562","0.998565057580197","0.995438263268325","1.00169185189207"
"Yes","1998","Saxony","Part Time","198","0.987632959925151","0.972316310759622","1.00294960909068"
"Yes","1998","Saxony","Not Working","425","1","1","1"
"Yes","1998","Saxony-Anhalt","Full Time","303","1","1","1"
"Yes","1998","Saxony-Anhalt","Part Time","121","1","1","1"
"Yes","1998","Saxony-Anhalt","Not Working","268","0.994816935887552","0.986235957136174","1.00339791463893"
"Yes","1998","Thuringia","Full Time","319","0.997719062626797","0.992492286275398","1.0029458389782"
"Yes","1998","Thuringia","Part Time","135","0.997489752457552","0.989079846614427","1.00589965830068"
"Yes","1998","Thuringia","Not Working","278","0.996159642812722","0.988901988630917","1.00341729699453"
"No","1998","Schleswig-Holstein","Full Time","10","","",""
"No","1998","Schleswig-Holstein","Part Time","1","","",""
"No","1998","Schleswig-Holstein","Not Working","9","","",""
"No","1998","Hamburg","Full Time","8","","",""
"No","1998","Hamburg","Part Time","3","","",""
"No","1998","Hamburg","Not Working","12","","",""
"No","1998","Lower Saxony","Full Time","45","0.0540904118998938","0.0340215318067772","0.0741592919930104"
"No","1998","Lower Saxony","Part Time","22","","",""
"No","1998","Lower Saxony","Not Working","43","0.0500188150626032","0.0301202467744438","0.0699173833507626"
"No","1998","Bremen","Full Time","5","","",""
"No","1998","Bremen","Part Time","1","","",""
"No","1998","Bremen","Not Working","6","","",""
"No","1998","North Rhine-Westphalia","Full Time","181","0.0980181996109367","0.0809294423201729","0.115106956901701"
"No","1998","North Rhine-Westphalia","Part Time","104","0.104739974530521","0.0799044980820797","0.129575450978961"
"No","1998","North Rhine-Westphalia","Not Working","213","0.109188846688409","0.0908499576022401","0.127527735774578"
"No","1998","Hesse","Full Time","82","0.142286802915321","0.106690853104984","0.177882752725658"
"No","1998","Hesse","Part Time","59","0.190689922938441","0.13866069526641","0.242719150610471"
"No","1998","Hesse","Not Working","86","0.135523643783219","0.100361002193062","0.170686285373376"
"No","1998","Rhineland-Palatinate,Saarland","Full Time","39","0.0937281594520316","0.0617953309020738","0.125660988001989"
"No","1998","Rhineland-Palatinate,Saarland","Part Time","16","","",""
"No","1998","Rhineland-Palatinate,Saarland","Not Working","38","0.0654495615279887","0.0390444574235637","0.0918546656324136"
"No","1998","Baden-Württemberg","Full Time","210","0.147303193338537","0.121505404302276","0.173100982374798"
"No","1998","Baden-Württemberg","Part Time","149","0.198238612637914","0.160335897694654","0.236141327581174"
"No","1998","Baden-Württemberg","Not Working","216","0.130890973415277","0.105559146376387","0.156222800454166"
"No","1998","Bavaria","Full Time","129","0.119995391249798","0.0974351527431409","0.142555629756455"
"No","1998","Bavaria","Part Time","61","0.148839055122391","0.113285582798907","0.184392527445876"
"No","1998","Bavaria","Not Working","88","0.0723592731015376","0.0531253133263696","0.0915932328767055"
"No","1998","Berlin","Full Time","13","","",""
"No","1998","Berlin","Part Time","13","","",""
"No","1998","Berlin","Not Working","17","","",""
"No","1998","Brandenburg","Full Time","","","",""
"No","1998","Brandenburg","Part Time","1","","",""
"No","1998","Brandenburg","Not Working","2","","",""
"No","1998","Mecklenburg-Western Pomerania","Full Time","","","",""
"No","1998","Mecklenburg-Western Pomerania","Part Time","","","",""
"No","1998","Mecklenburg-Western Pomerania","Not Working","","","",""
"No","1998","Saxony","Full Time","1","","",""
"No","1998","Saxony","Part Time","2","","",""
"No","1998","Saxony","Not Working","","","",""
"No","1998","Saxony-Anhalt","Full Time","","","",""
"No","1998","Saxony-Anhalt","Part Time","","","",""
"No","1998","Saxony-Anhalt","Not Working","1","","",""
"No","1998","Thuringia","Full Time","1","","",""
"No","1998","Thuringia","Part Time","1","","",""
"No","1998","Thuringia","Not Working","1","","",""
"Yes","1999","Schleswig-Holstein","Full Time","142","0.964474538237212","0.93465283235827","0.994296244116153"
"Yes","1999","Schleswig-Holstein","Part Time","65","0.946174300071959","0.892926218888698","0.99942238125522"
"Yes","1999","Schleswig-Holstein","Not Working","104","0.964505063554477","0.930390145947899","0.998619981161056"
"Yes","1999","Hamburg","Full Time","54","0.915668519837342","0.846498762895328","0.984838276779356"
"Yes","1999","Hamburg","Part Time","27","","",""
"Yes","1999","Hamburg","Not Working","34","0.882090797226924","0.788894282307532","0.975287312146316"
"Yes","1999","Lower Saxony","Full Time","447","0.955786517499977","0.937472516985742","0.974100518014212"
"Yes","1999","Lower Saxony","Part Time","256","0.912392574186769","0.879394783177026","0.945390365196511"
"Yes","1999","Lower Saxony","Not Working","369","0.952661730389488","0.932106056846672","0.973217403932304"
"Yes","1999","Bremen","Full Time","25","","",""
"Yes","1999","Bremen","Part Time","14","","",""
"Yes","1999","Bremen","Not Working","43","0.968635090631067","0.917708576323756","1.01956160493838"
"Yes","1999","North Rhine-Westphalia","Full Time","961","0.902356311783093","0.885095149198927","0.919617474367259"
"Yes","1999","North Rhine-Westphalia","Part Time","502","0.902381717189063","0.878533806649053","0.926229627729072"
"Yes","1999","North Rhine-Westphalia","Not Working","797","0.894585284717232","0.875427247625116","0.913743321809348"
"Yes","1999","Hesse","Full Time","296","0.863985594227389","0.829056048792199","0.898915139662579"
"Yes","1999","Hesse","Part Time","155","0.840427666052001","0.78928964156376","0.891565690540242"
"Yes","1999","Hesse","Not Working","263","0.882724890133464","0.848219219850873","0.917230560416056"
"Yes","1999","Rhineland-Palatinate,Saarland","Full Time","279","0.927899321884963","0.899059740336663","0.956738903433264"
"Yes","1999","Rhineland-Palatinate,Saarland","Part Time","146","0.937713285104082","0.900612163726053","0.974814406482111"
"Yes","1999","Rhineland-Palatinate,Saarland","Not Working","271","0.9360251901271","0.908426219151205","0.963624161102995"
"Yes","1999","Baden-Württemberg","Full Time","480","0.816665815207493","0.787980910104863","0.845350720310123"
"Yes","1999","Baden-Württemberg","Part Time","295","0.825898035831948","0.789459033513051","0.862337038150845"
"Yes","1999","Baden-Württemberg","Not Working","410","0.840153385224131","0.811469014087971","0.868837756360292"
"Yes","1999","Bavaria","Full Time","665","0.876034846777592","0.852982042432838","0.899087651122345"
"Yes","1999","Bavaria","Part Time","352","0.850508431616508","0.815824147501047","0.885192715731969"
"Yes","1999","Bavaria","Not Working","535","0.937323020341361","0.918135602843494","0.956510437839228"
"Yes","1999","Berlin","Full Time","218","0.927089591836865","0.893489552142377","0.960689631531353"
"Yes","1999","Berlin","Part Time","84","0.876761923596607","0.811007379593341","0.942516467599873"
"Yes","1999","Berlin","Not Working","175","0.921409732334496","0.883146463237306","0.959673001431685"
"Yes","1999","Brandenburg","Full Time","244","1","1","1"
"Yes","1999","Brandenburg","Part Time","129","1","1","1"
"Yes","1999","Brandenburg","Not Working","228","0.9928904221699","0.982008567613374","1.00377227672643"
"Yes","1999","Mecklenburg-Western Pomerania","Full Time","174","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Part Time","94","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Not Working","134","1","1","1"
"Yes","1999","Saxony","Full Time","532","0.992636182055937","0.985391525996305","0.999880838115569"
"Yes","1999","Saxony","Part Time","214","0.989082515035981","0.975224571772855","1.00294045829911"
"Yes","1999","Saxony","Not Working","406","1","1","1"
"Yes","1999","Saxony-Anhalt","Full Time","316","1","1","1"
"Yes","1999","Saxony-Anhalt","Part Time","110","1","1","1"
"Yes","1999","Saxony-Anhalt","Not Working","267","0.990639841140417","0.979111144834864","1.00216853744597"
"Yes","1999","Thuringia","Full Time","330","1","1","1"
"Yes","1999","Thuringia","Part Time","128","0.996806939237821","0.987071347494647","1.006542530981"
"Yes","1999","Thuringia","Not Working","263","0.995880105860565","0.988153430163503","1.00360678155763"
"No","1999","Schleswig-Holstein","Full Time","6","","",""
"No","1999","Schleswig-Holstein","Part Time","4","","",""
"No","1999","Schleswig-Holstein","Not Working","9","","",""
"No","1999","Hamburg","Full Time","8","","",""
"No","1999","Hamburg","Part Time","5","","",""
"No","1999","Hamburg","Not Working","12","","",""
"No","1999","Lower Saxony","Full Time","37","0.0442134825000231","0.0258994819857878","0.0625274830142583"
"No","1999","Lower Saxony","Part Time","26","","",""
"No","1999","Lower Saxony","Not Working","41","0.0473382696105122","0.0267825960676961","0.0678939431533283"
"No","1999","Bremen","Full Time","4","","",""
"No","1999","Bremen","Part Time","1","","",""
"No","1999","Bremen","Not Working","2","","",""
"No","1999","North Rhine-Westphalia","Full Time","175","0.097643688216907","0.0803825256327405","0.114904850801073"
"No","1999","North Rhine-Westphalia","Part Time","93","0.0976182828109374","0.0737703722709282","0.121466193350947"
"No","1999","North Rhine-Westphalia","Not Working","190","0.105414715282768","0.0862566781906515","0.124572752374884"
"No","1999","Hesse","Full Time","74","0.136014405772611","0.101084860337421","0.170943951207801"
"No","1999","Hesse","Part Time","42","0.159572333947999","0.108434309459758","0.21071035843624"
"No","1999","Hesse","Not Working","71","0.117275109866535","0.0827694395839439","0.151780780149127"
"No","1999","Rhineland-Palatinate,Saarland","Full Time","30","0.0721006781150369","0.0432610965667364","0.100940259663337"
"No","1999","Rhineland-Palatinate,Saarland","Part Time","17","","",""
"No","1999","Rhineland-Palatinate,Saarland","Not Working","31","0.0639748098729","0.0363758388970047","0.0915737808487953"
"No","1999","Baden-Württemberg","Full Time","219","0.183334184792507","0.154649279689877","0.212019089895137"
"No","1999","Baden-Württemberg","Part Time","121","0.174101964168052","0.137662961849155","0.210540966486949"
"No","1999","Baden-Württemberg","Not Working","217","0.159846614775869","0.131162243639708","0.188530985912029"
"No","1999","Bavaria","Full Time","120","0.123965153222408","0.100912348877655","0.147017957567162"
"No","1999","Bavaria","Part Time","54","0.149491568383492","0.114807284268031","0.184175852498953"
"No","1999","Bavaria","Not Working","78","0.0626769796586392","0.0434895621607721","0.0818643971565063"
"No","1999","Berlin","Full Time","12","","",""
"No","1999","Berlin","Part Time","12","","",""
"No","1999","Berlin","Not Working","15","","",""
"No","1999","Brandenburg","Full Time","","","",""
"No","1999","Brandenburg","Part Time","","","",""
"No","1999","Brandenburg","Not Working","1","","",""
"No","1999","Mecklenburg-Western Pomerania","Full Time","","","",""
"No","1999","Mecklenburg-Western Pomerania","Part Time","","","",""
"No","1999","Mecklenburg-Western Pomerania","Not Working","","","",""
"No","1999","Saxony","Full Time","3","","",""
"No","1999","Saxony","Part Time","2","","",""
"No","1999","Saxony","Not Working","","","",""
"No","1999","Saxony-Anhalt","Full Time","","","",""
