"plj0014_v3","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","1996","Thuringia","1-pers.-HH","","","","","2"
"No","1996","Thuringia","(Married) couple without C. ","1","","","","2"
"No","1996","Thuringia","Single parent ","","","","","2"
"No","1996","Thuringia","Couple + C. LE 16 ","","","","","2"
"No","1996","Thuringia","Couple + C. GT 16 ","2","","","","2"
"No","1996","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Yes","1996","Schleswig-Holstein","1-pers.-HH","39","0.975485063275917","0.927562085529954","1.02340804102188","1"
"Yes","1996","Schleswig-Holstein","(Married) couple without C. ","84","0.997745537282681","0.987662994953583","1.00782807961178","1"
"Yes","1996","Schleswig-Holstein","Single parent ","8","","","","1"
"Yes","1996","Schleswig-Holstein","Couple + C. LE 16 ","58","0.946818055010936","0.890962339436934","1.00267377058494","1"
"Yes","1996","Schleswig-Holstein","Couple + C. GT 16 ","44","0.926417297178875","0.855453374358058","0.997381219999691","1"
"Yes","1996","Schleswig-Holstein","Couple + C. LE and GT 16","23","","","","1"
"Yes","1996","Hamburg","1-pers.-HH","39","0.920249808727739","0.840203651541997","1.00029596591348","1"
"Yes","1996","Hamburg","(Married) couple without C. ","24","","","","1"
"Yes","1996","Hamburg","Single parent ","5","","","","1"
"Yes","1996","Hamburg","Couple + C. LE 16 ","14","","","","1"
"Yes","1996","Hamburg","Couple + C. GT 16 ","9","","","","1"
"Yes","1996","Hamburg","Couple + C. LE and GT 16","9","","","","1"
"Yes","1996","Lower Saxony","1-pers.-HH","111","0.961108502442873","0.926516873729185","0.99570013115656","1"
"Yes","1996","Lower Saxony","(Married) couple without C. ","289","0.956551441203947","0.933596899326386","0.979505983081507","1"
"Yes","1996","Lower Saxony","Single parent ","54","0.992831798257721","0.970736644584848","1.01492695193059","1"
"Yes","1996","Lower Saxony","Couple + C. LE 16 ","203","0.926334402381372","0.892720390175779","0.959948414586964","1"
"Yes","1996","Lower Saxony","Couple + C. GT 16 ","145","0.927019091116233","0.888700420767012","0.965337761465455","1"
"Yes","1996","Lower Saxony","Couple + C. LE and GT 16","46","0.687751241411439","0.586203761694377","0.7892987211285","1"
"Yes","1996","Bremen","1-pers.-HH","19","","","","1"
"Yes","1996","Bremen","(Married) couple without C. ","30","0.843322956445112","0.722898771910936","0.963747140979289","1"
"Yes","1996","Bremen","Single parent ","6","","","","1"
"Yes","1996","Bremen","Couple + C. LE 16 ","7","","","","1"
"Yes","1996","Bremen","Couple + C. GT 16 ","17","","","","1"
"Yes","1996","Bremen","Couple + C. LE and GT 16","","","","","1"
"Yes","1996","North Rhine-Westphalia","1-pers.-HH","281","0.973678686386419","0.955532970425553","0.991824402347285","1"
"Yes","1996","North Rhine-Westphalia","(Married) couple without C. ","536","0.910762474117724","0.888879788666064","0.932645159569384","1"
"Yes","1996","North Rhine-Westphalia","Single parent ","118","0.911541846316876","0.864837084739873","0.958246607893879","1"
"Yes","1996","North Rhine-Westphalia","Couple + C. LE 16 ","475","0.869793773523064","0.84295555743547","0.896631989610658","1"
"Yes","1996","North Rhine-Westphalia","Couple + C. GT 16 ","335","0.849475103729402","0.817317714517464","0.881632492941339","1"
"Yes","1996","North Rhine-Westphalia","Couple + C. LE and GT 16","175","0.796403706195724","0.748194246496889","0.844613165894558","1"
"Yes","1996","Hesse","1-pers.-HH","88","0.905983874332737","0.85016065862721","0.961807090038264","1"
"Yes","1996","Hesse","(Married) couple without C. ","245","0.913732388210029","0.881363143423885","0.946101632996174","1"
"Yes","1996","Hesse","Single parent ","22","","","","1"
"Yes","1996","Hesse","Couple + C. LE 16 ","135","0.786923244582131","0.732060765428783","0.841785723735479","1"
"Yes","1996","Hesse","Couple + C. GT 16 ","94","0.80782347024696","0.747704085732714","0.867942854761207","1"
"Yes","1996","Hesse","Couple + C. LE and GT 16","29","","","","1"
"Yes","1996","Rhineland-Palatinate,Saarland","1-pers.-HH","61","0.940433383360916","0.88376038700547","0.997106379716362","1"
"Yes","1996","Rhineland-Palatinate,Saarland","(Married) couple without C. ","171","0.929050870698447","0.892923154517442","0.965178586879451","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Single parent ","37","0.929376960534343","0.851896427611464","1.00685749345722","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","140","0.884545722606792","0.836787404421995","0.932304040791589","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","126","0.989765119955041","0.972595187908236","1.00693505200185","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","20","","","","1"
"Yes","1996","Baden-Württemberg","1-pers.-HH","146","0.922462555864917","0.883607949729622","0.961317162000213","1"
"Yes","1996","Baden-Württemberg","(Married) couple without C. ","332","0.944516342061606","0.922438310683331","0.966594373439881","1"
"Yes","1996","Baden-Württemberg","Single parent ","57","0.861464424999712","0.786232025930378","0.936696824069045","1"
"Yes","1996","Baden-Württemberg","Couple + C. LE 16 ","238","0.784779194636717","0.744198839197081","0.825359550076354","1"
"Yes","1996","Baden-Württemberg","Couple + C. GT 16 ","172","0.811040041617484","0.767739900935673","0.854340182299295","1"
"Yes","1996","Baden-Württemberg","Couple + C. LE and GT 16","115","0.795795883873412","0.741659233679051","0.849932534067773","1"
"Yes","1996","Bavaria","1-pers.-HH","180","0.956423161535504","0.928200175295144","0.984646147775864","1"
"Yes","1996","Bavaria","(Married) couple without C. ","372","0.905367375396811","0.878232539934989","0.932502210858633","1"
"Yes","1996","Bavaria","Single parent ","63","0.861984401536932","0.786402661245561","0.937566141828303","1"
"Yes","1996","Bavaria","Couple + C. LE 16 ","314","0.851795666885134","0.817192269246806","0.886399064523462","1"
"Yes","1996","Bavaria","Couple + C. GT 16 ","235","0.856545794155624","0.81739823680425","0.895693351506998","1"
"Yes","1996","Bavaria","Couple + C. LE and GT 16","111","0.899494192674426","0.84986544746716","0.949122937881692","1"
"Yes","1996","Berlin","1-pers.-HH","91","0.93288824813935","0.882835656042973","0.982940840235727","1"
"Yes","1996","Berlin","(Married) couple without C. ","139","0.978351843875634","0.954499115541866","1.0022045722094","1"
"Yes","1996","Berlin","Single parent ","36","0.841795468484878","0.732720118664343","0.950870818305414","1"
"Yes","1996","Berlin","Couple + C. LE 16 ","116","0.762111876631565","0.692807631919013","0.831416121344117","1"
"Yes","1996","Berlin","Couple + C. GT 16 ","59","0.868461232056375","0.794856169754048","0.942066294358701","1"
"Yes","1996","Berlin","Couple + C. LE and GT 16","19","","","","1"
"Yes","1996","Brandenburg","1-pers.-HH","59","0.981593869894144","0.94758285211542","1.01560488767287","1"
"Yes","1996","Brandenburg","(Married) couple without C. ","166","0.994426035824558","0.983134365621034","1.00571770602808","1"
"Yes","1996","Brandenburg","Single parent ","44","1","1","1","1"
"Yes","1996","Brandenburg","Couple + C. LE 16 ","110","1","1","1","1"
"Yes","1996","Brandenburg","Couple + C. GT 16 ","93","1","1","1","1"
"Yes","1996","Brandenburg","Couple + C. LE and GT 16","85","1","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","1-pers.-HH","36","1","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","(Married) couple without C. ","111","1","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","Single parent ","18","","","","1"
"Yes","1996","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","88","1","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","86","1","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","43","1","1","1","1"
"Yes","1996","Saxony","1-pers.-HH","94","1","1","1","1"
"Yes","1996","Saxony","(Married) couple without C. ","330","0.995098957669623","0.987586943272534","1.00261097206671","1"
"Yes","1996","Saxony","Single parent ","47","1","1","1","1"
"Yes","1996","Saxony","Couple + C. LE 16 ","253","0.995634247678024","0.987526304563086","1.00374219079296","1"
"Yes","1996","Saxony","Couple + C. GT 16 ","196","1","1","1","1"
"Yes","1996","Saxony","Couple + C. LE and GT 16","116","0.987295794135599","0.967002499310688","1.00758908896051","1"
"Yes","1996","Saxony-Anhalt","1-pers.-HH","64","1","1","1","1"
"Yes","1996","Saxony-Anhalt","(Married) couple without C. ","199","1","1","1","1"
"Yes","1996","Saxony-Anhalt","Single parent ","21","","","","1"
"Yes","1996","Saxony-Anhalt","Couple + C. LE 16 ","156","1","1","1","1"
"Yes","1996","Saxony-Anhalt","Couple + C. GT 16 ","138","1","1","1","1"
"Yes","1996","Saxony-Anhalt","Couple + C. LE and GT 16","73","1","1","1","1"
"Yes","1996","Thuringia","1-pers.-HH","61","1","1","1","1"
"Yes","1996","Thuringia","(Married) couple without C. ","170","0.991149675335585","0.977111868611382","1.00518748205979","1"
"Yes","1996","Thuringia","Single parent ","29","","","","1"
"Yes","1996","Thuringia","Couple + C. LE 16 ","140","1","1","1","1"
"Yes","1996","Thuringia","Couple + C. GT 16 ","126","0.986642527433724","0.966754799637184","1.00653025523026","1"
"Yes","1996","Thuringia","Couple + C. LE and GT 16","81","1","1","1","1"
"No","1997","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","2"
"No","1997","Schleswig-Holstein","1-pers.-HH","","","","","2"
"No","1997","Schleswig-Holstein","Couple + C. LE 16 ","4","","","","2"
"No","1997","Schleswig-Holstein","(Married) couple without C. ","2","","","","2"
"No","1997","Schleswig-Holstein","Single parent ","","","","","2"
"No","1997","Schleswig-Holstein","Couple + C. GT 16 ","4","","","","2"
"No","1997","Hamburg","Couple + C. GT 16 ","1","","","","2"
"No","1997","Baden-Württemberg","Single parent ","21","","","","2"
"No","1997","Hamburg","1-pers.-HH","4","","","","2"
"No","1997","Hamburg","(Married) couple without C. ","6","","","","2"
"No","1997","Bavaria","(Married) couple without C. ","77","0.128748981080213","0.0973114525703601","0.160186509590066","2"
"No","1997","Bavaria","Single parent ","11","","","","2"
"No","1997","Hamburg","Couple + C. LE and GT 16","1","","","","2"
"No","1997","Lower Saxony","Single parent ","2","","","","2"
"No","1997","Lower Saxony","Couple + C. LE 16 ","28","","","","2"
"No","1997","Lower Saxony","Couple + C. GT 16 ","38","0.0855975710998502","0.0431659854328932","0.128029156766807","2"
"No","1997","Lower Saxony","Couple + C. LE and GT 16","21","","","","2"
"No","1997","Rhineland-Palatinate,Saarland","Single parent ","4","","","","2"
"No","1997","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","27","","","","2"
"No","1997","Hamburg","Single parent ","","","","","2"
"No","1997","Hamburg","Couple + C. LE 16 ","9","","","","2"
"No","1997","Lower Saxony","1-pers.-HH","10","","","","2"
"No","1997","Lower Saxony","(Married) couple without C. ","22","","","","2"
"No","1997","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","17","","","","2"
"No","1997","Baden-Württemberg","1-pers.-HH","34","0.0609208065792247","0.0255841310604979","0.0962574820979515","2"
"No","1997","Baden-Württemberg","(Married) couple without C. ","89","0.0637438612030404","0.0400100540659345","0.0874776683401463","2"
"No","1997","Baden-Württemberg","Couple + C. LE 16 ","153","0.208610181555952","0.169423720404347","0.247796642707557","2"
"No","1997","Baden-Württemberg","Couple + C. GT 16 ","146","0.198493192015083","0.154722928104351","0.242263455925815","2"
"No","1997","Bavaria","1-pers.-HH","18","","","","2"
"No","1997","Baden-Württemberg","Couple + C. LE and GT 16","89","0.219596109405617","0.161934397817192","0.277257820994042","2"
"No","1997","Bremen","1-pers.-HH","2","","","","2"
"No","1997","Bremen","(Married) couple without C. ","3","","","","2"
"No","1997","Bremen","Single parent ","","","","","2"
"No","1997","Bremen","Couple + C. LE 16 ","2","","","","2"
"No","1997","Bremen","Couple + C. GT 16 ","5","","","","2"
"No","1997","Hesse","Single parent ","6","","","","2"
"No","1997","Hesse","Couple + C. LE 16 ","72","0.245104966298776","0.185190066753575","0.305019865843978","2"
"No","1997","Hesse","Couple + C. GT 16 ","58","0.181686902830515","0.119981381851908","0.243392423809122","2"
"No","1997","Hesse","Couple + C. LE and GT 16","42","0.369559086188016","0.263787934123791","0.47533023825224","2"
"No","1997","Rhineland-Palatinate,Saarland","1-pers.-HH","6","","","","2"
"No","1997","Rhineland-Palatinate,Saarland","(Married) couple without C. ","22","","","","2"
"No","1997","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","13","","","","2"
"No","1997","Bavaria","Couple + C. LE 16 ","80","0.125292090612668","0.0928091754458048","0.157775005779531","2"
"No","1997","Bavaria","Couple + C. GT 16 ","69","0.140825356025128","0.101332266135405","0.180318445914852","2"
"No","1997","Bavaria","Couple + C. LE and GT 16","29","","","","2"
"No","1997","Berlin","1-pers.-HH","4","","","","2"
"No","1997","Berlin","(Married) couple without C. ","3","","","","2"
"No","1997","Berlin","Single parent ","3","","","","2"
"No","1997","Berlin","Couple + C. LE 16 ","24","","","","2"
"No","1997","Berlin","Couple + C. GT 16 ","11","","","","2"
"No","1997","Berlin","Couple + C. LE and GT 16","","","","","2"
"No","1997","Bremen","Couple + C. LE and GT 16","","","","","2"
"No","1997","North Rhine-Westphalia","1-pers.-HH","19","","","","2"
"No","1997","North Rhine-Westphalia","(Married) couple without C. ","114","0.0926698445734239","0.0707948429242831","0.114544846222565","2"
"No","1997","North Rhine-Westphalia","Single parent ","22","","","","2"
"No","1997","North Rhine-Westphalia","Couple + C. LE 16 ","124","0.132343573796801","0.104789529787288","0.159897617806314","2"
"No","1997","North Rhine-Westphalia","Couple + C. LE and GT 16","75","0.172357127043167","0.125725138714512","0.218989115371821","2"
"No","1997","Hesse","1-pers.-HH","13","","","","2"
"No","1997","Hesse","(Married) couple without C. ","53","0.113821181416258","0.0763527271296975","0.151289635702818","2"
"No","1997","North Rhine-Westphalia","Couple + C. GT 16 ","128","0.131833443434608","0.100575805377264","0.163091081491952","2"
"No","1997","Brandenburg","1-pers.-HH","2","","","","2"
"No","1997","Brandenburg","(Married) couple without C. ","1","","","","2"
"No","1997","Brandenburg","Single parent ","","","","","2"
"No","1997","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","1997","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","1997","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","1997","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"No","1997","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","1997","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"No","1997","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","1997","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","1997","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","1997","Saxony","1-pers.-HH","","","","","2"
"No","1997","Saxony","(Married) couple without C. ","1","","","","2"
"No","1997","Saxony","Single parent ","","","","","2"
"No","1997","Saxony","Couple + C. LE 16 ","1","","","","2"
"No","1997","Saxony","Couple + C. GT 16 ","","","","","2"
"No","1997","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","1997","Saxony-Anhalt","Single parent ","","","","","2"
"No","1997","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","1997","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"No","1997","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","1997","Thuringia","1-pers.-HH","","","","","2"
"No","1997","Thuringia","(Married) couple without C. ","2","","","","2"
"No","1997","Saxony","Couple + C. LE and GT 16","2","","","","2"
"No","1997","Saxony-Anhalt","1-pers.-HH","","","","","2"
"No","1997","Thuringia","Single parent ","","","","","2"
"No","1997","Thuringia","Couple + C. LE 16 ","","","","","2"
"No","1997","Thuringia","Couple + C. GT 16 ","1","","","","2"
"No","1997","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Yes","1997","Hesse","(Married) couple without C. ","223","0.886178818583742","0.848710364297182","0.923647272870302","1"
"Yes","1997","Hesse","Single parent ","18","","","","1"
"Yes","1997","Hesse","Couple + C. LE 16 ","126","0.754895033701224","0.694980134156022","0.814809933246425","1"
"Yes","1997","Hesse","Couple + C. GT 16 ","92","0.818313097169485","0.756607576190878","0.880018618148092","1"
"Yes","1997","Hesse","Couple + C. LE and GT 16","38","0.630440913811984","0.52466976174776","0.736212065876209","1"
"Yes","1997","Rhineland-Palatinate,Saarland","1-pers.-HH","65","0.982515252537433","0.952028002736536","1.01300250233833","1"
"Yes","1997","Rhineland-Palatinate,Saarland","(Married) couple without C. ","182","0.93213919010383","0.897626174301085","0.966652205906575","1"
"Yes","1997","Rhineland-Palatinate,Saarland","Single parent ","41","0.961656328579139","0.905551708176208","1.01776094898207","1"
"Yes","1997","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","140","0.89462773150646","0.848061167016635","0.941194295996286","1"
"Yes","1997","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","121","0.979580540364877","0.955634269594006","1.00352681113575","1"
"Yes","1997","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","22","","","","1"
"Yes","1997","Baden-Württemberg","1-pers.-HH","142","0.939079193420775","0.903742517902049","0.974415868939502","1"
"Yes","1997","Baden-Württemberg","(Married) couple without C. ","318","0.93625613879696","0.912522331659854","0.959989945934066","1"
"Yes","1997","Baden-Württemberg","Single parent ","59","0.849020563208986","0.770565477267181","0.927475649150791","1"
"Yes","1997","Baden-Württemberg","Couple + C. LE 16 ","260","0.791389818444048","0.752203357292443","0.830576279595653","1"
"Yes","1997","Baden-Württemberg","Couple + C. GT 16 ","173","0.801506807984917","0.757736544074185","0.845277071895649","1"
"Yes","1997","Baden-Württemberg","Couple + C. LE and GT 16","109","0.780403890594383","0.722742179005958","0.838065602182808","1"
"Yes","1997","Bavaria","1-pers.-HH","177","0.948129808371998","0.917003786959817","0.979255829784179","1"
"Yes","1997","Bavaria","(Married) couple without C. ","359","0.871251018919787","0.839813490409934","0.90268854742964","1"
"Yes","1997","Bavaria","Single parent ","71","0.937928428164545","0.885704157201512","0.990152699127578","1"
"Yes","1997","Bavaria","Couple + C. LE 16 ","319","0.874707909387332","0.842224994220469","0.907190824554195","1"
"Yes","1997","Bavaria","Couple + C. GT 16 ","229","0.859174643974872","0.819681554085148","0.898667733864595","1"
"Yes","1997","Bavaria","Couple + C. LE and GT 16","101","0.864866134465495","0.806099210266677","0.923633058664313","1"
"Yes","1997","Berlin","1-pers.-HH","95","0.932761160102766","0.883429489093726","0.982092831111807","1"
"Yes","1997","Berlin","(Married) couple without C. ","137","0.980677725169264","0.95787554587751","1.00347990446102","1"
"Yes","1997","Berlin","Single parent ","27","","","","1"
"Yes","1997","Berlin","Couple + C. LE 16 ","105","0.761250326957672","0.68768242434018","0.834818229575164","1"
"Yes","1997","Berlin","Couple + C. GT 16 ","53","0.908824437017834","0.838300373340659","0.97934850069501","1"
"Yes","1997","Berlin","Couple + C. LE and GT 16","23","","","","1"
"Yes","1997","Brandenburg","1-pers.-HH","64","0.963054005513858","0.917546280542681","1.00856173048504","1"
"Yes","1997","Brandenburg","(Married) couple without C. ","171","0.993597043387921","0.981676960034432","1.00551712674141","1"
"Yes","1997","Brandenburg","Single parent ","41","1","1","1","1"
"Yes","1997","Brandenburg","Couple + C. LE 16 ","104","1","1","1","1"
"Yes","1997","Brandenburg","Couple + C. GT 16 ","114","1","1","1","1"
"Yes","1997","Brandenburg","Couple + C. LE and GT 16","71","1","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","1-pers.-HH","39","1","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","(Married) couple without C. ","112","1","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","Single parent ","23","","","","1"
"Yes","1997","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","73","1","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","93","1","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","34","1","1","1","1"
"Yes","1997","Saxony","1-pers.-HH","93","1","1","1","1"
"Yes","1997","Saxony","(Married) couple without C. ","338","0.997611553997709","0.99241534404131","1.00280776395411","1"
"Yes","1997","Schleswig-Holstein","1-pers.-HH","30","1","1","1","1"
"Yes","1997","Schleswig-Holstein","(Married) couple without C. ","90","0.995528178931097","0.981894182845507","1.00916217501669","1"
"Yes","1997","Schleswig-Holstein","Single parent ","9","","","","1"
"Yes","1997","Schleswig-Holstein","Couple + C. LE 16 ","58","0.952203754392011","0.899101362544299","1.00530614623972","1"
"Yes","1997","Schleswig-Holstein","Couple + C. GT 16 ","42","0.924163194199716","0.847659302923766","1.00066708547567","1"
"Yes","1997","Schleswig-Holstein","Couple + C. LE and GT 16","19","","","","1"
"Yes","1997","Hamburg","1-pers.-HH","35","0.927315590596698","0.845835744275666","1.00879543691773","1"
"Yes","1997","Hamburg","(Married) couple without C. ","25","","","","1"
"Yes","1997","Hamburg","Single parent ","4","","","","1"
"Yes","1997","Hamburg","Couple + C. LE 16 ","14","","","","1"
"Yes","1997","Hamburg","Couple + C. GT 16 ","12","","","","1"
"Yes","1997","Hamburg","Couple + C. LE and GT 16","6","","","","1"
"Yes","1997","Lower Saxony","1-pers.-HH","110","0.952500618997405","0.914443660527204","0.990557577467605","1"
