"plj0014_v3","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2000","Not Employed","West Germany","875","0.0932379468263711","0.0863432181319427","0.1001326755208","2"
"No","2000","Not Employed","East Germany","12","","","","2"
"Yes","2000","Employed","East Germany","3625","0.996797743640028","0.994962098897432","0.998633388382623","1"
"Yes","2000","Not Employed","East Germany","2225","0.99482074620688","0.991846197311987","0.997795295101772","1"
"Yes","2000","Employed","West Germany","10126","0.892043816009529","0.886385838975854","0.897701793043204","1"
"Yes","2000","Not Employed","West Germany","5957","0.906762053173629","0.8998673244792","0.913656781868057","1"
"No","2001","Employed","East Germany","7","","","","2"
"No","2001","Not Employed","East Germany","3","","","","2"
"No","2001","Employed","West Germany","1297","0.107034244253886","0.101143033519208","0.112925454988565","2"
"No","2001","Not Employed","West Germany","737","0.0909025528385412","0.0836401693439933","0.0981649363330891","2"
"Yes","2001","Employed","East Germany","3338","0.997848234624647","0.99627794509807","0.999418524151224","1"
"Yes","2001","Not Employed","East Germany","2117","0.998014355978955","0.996119399452344","0.999909312505567","1"
"Yes","2001","Employed","West Germany","9282","0.892965755746114","0.887074545011435","0.898856966480792","1"
"Yes","2001","Not Employed","West Germany","5282","0.909097447161459","0.901835063666911","0.916359830656007","1"
"No","2002","Employed","East Germany","7","","","","2"
"No","2002","Not Employed","East Germany","5","","","","2"
"No","2002","Employed","West Germany","1194","0.103826064310065","0.0982524712546537","0.109399657365476","2"
"No","2002","Not Employed","West Germany","694","0.0921093380451355","0.0849071218101462","0.0993115542801249","2"
"Yes","2002","Employed","West Germany","10312","0.896173935689935","0.890600342634524","0.901747528745346","1"
"Yes","2002","Employed","East Germany","3335","0.997767627921808","0.996167543622145","0.999367712221471","1"
"Yes","2002","Not Employed","East Germany","2111","0.994540599554824","0.991401001920734","0.997680197188914","1"
"Yes","2002","Not Employed","West Germany","5499","0.907890661954864","0.900688445719875","0.915092878189854","1"
"No","2003","Employed","East Germany","8","","","","2"
"No","2003","Not Employed","East Germany","5","","","","2"
"No","2003","Employed","West Germany","1058","0.101859088355897","0.0961657693096576","0.107552407402136","2"
"No","2003","Not Employed","West Germany","670","0.0978886548617127","0.0904209794034847","0.105356330319941","2"
"Yes","2003","Not Employed","East Germany","2131","0.996227817540845","0.993628118076927","0.998827517004764","1"
"Yes","2003","Employed","West Germany","9784","0.898140911644103","0.892447592597864","0.903834230690342","1"
"Yes","2003","Employed","East Germany","3228","0.997377860779774","0.995615878365067","0.999139843194481","1"
"Yes","2003","Not Employed","West Germany","5413","0.902111345138287","0.894643669680059","0.909579020596515","1"
"No","2004","Employed","East Germany","8","","","","2"
"No","2004","Not Employed","East Germany","5","","","","2"
"No","2004","Employed","West Germany","974","0.101684098225895","0.0958827318268265","0.107485464624963","2"
"No","2004","Not Employed","West Germany","641","0.0989492503365152","0.0914264504102919","0.106472050262739","2"
"Yes","2004","Not Employed","East Germany","2165","0.996362949257212","0.99383014464159","0.998895753872834","1"
"Yes","2004","Employed","West Germany","9452","0.898315901774105","0.892514535375037","0.904117268173174","1"
"Yes","2004","Employed","East Germany","3077","0.997522250772446","0.995767924055097","0.999276577489794","1"
"Yes","2004","Not Employed","West Germany","5411","0.901050749663485","0.893527949737261","0.908573549589708","1"
"No","2005","Employed","West Germany","928","0.107115360361383","0.101033570282675","0.113197150440091","2"
"No","2005","Employed","East Germany","9","","","","2"
"No","2005","Not Employed","East Germany","7","","","","2"
"No","2005","Not Employed","West Germany","600","0.0990913062679612","0.091411833632787","0.106770778903136","2"
"Yes","2005","Employed","West Germany","9005","0.892884639638617","0.886802849559909","0.898966429717325","1"
"Yes","2005","Employed","East Germany","2941","0.995118348110087","0.99260323307542","0.997633463144753","1"
"Yes","2005","Not Employed","West Germany","5215","0.900908693732039","0.893229221096864","0.908588166367213","1"
"Yes","2005","Not Employed","East Germany","2107","0.992079126504161","0.988300314431309","0.995857938577013","1"
"No","2006","Not Employed","East Germany","12","","","","2"
"No","2006","Employed","West Germany","842","0.10051755085862","0.0947422122390757","0.106292889478164","2"
"No","2006","Employed","East Germany","11","","","","2"
"No","2006","Not Employed","West Germany","605","0.111503706672771","0.103770573877578","0.119236839467964","2"
"Yes","2006","Employed","West Germany","9571","0.89948244914138","0.893707110521836","0.905257787760924","1"
"Yes","2006","Employed","East Germany","3058","0.993797542518163","0.991019873441172","0.996575211595154","1"
"Yes","2006","Not Employed","West Germany","5759","0.888496293327229","0.880763160532036","0.896229426122422","1"
"Yes","2006","Not Employed","East Germany","2221","0.992617770462718","0.989067278574171","0.996168262351265","1"
"No","2007","Not Employed","East Germany","7","","","","2"
"No","2007","Employed","West Germany","756","0.102765474432661","0.0967198606618273","0.108811088203494","2"
"No","2007","Employed","East Germany","13","","","","2"
"No","2007","Not Employed","West Germany","510","0.108226020529761","0.100296886297343","0.11615515476218","2"
"Yes","2007","Employed","West Germany","8935","0.897234525567339","0.891188911796506","0.903280139338173","1"
"Yes","2007","Employed","East Germany","2908","0.989792056962567","0.986146839738951","0.993437274186183","1"
"Yes","2007","Not Employed","West Germany","5387","0.891773979470239","0.88384484523782","0.899703113702657","1"
"Yes","2007","Not Employed","East Germany","2107","0.993372047319578","0.989913121352774","0.996830973286381","1"
"No","2008","Employed","West Germany","667","0.10386829669013","0.0976081735135542","0.110128419866705","2"
"No","2008","Employed","East Germany","10","","","","2"
"No","2008","Not Employed","West Germany","446","0.106098811586497","0.0979687562124555","0.114228866960539","2"
"No","2008","Not Employed","East Germany","9","","","","2"
"Yes","2008","Employed","East Germany","2795","0.993289490436615","0.990268166243842","0.996310814629388","1"
"Yes","2008","Not Employed","West Germany","5066","0.893901188413503","0.885771133039461","0.902031243787545","1"
"Yes","2008","Not Employed","East Germany","1981","0.991250178311838","0.987158393430231","0.995341963193445","1"
"Yes","2008","Employed","West Germany","8457","0.89613170330987","0.889871580133295","0.902391826486446","1"
"No","2009","Employed","West Germany","589","0.106645775670936","0.100103200668045","0.113188350673827","2"
"No","2009","Employed","East Germany","12","","","","2"
"No","2009","Not Employed","West Germany","383","0.105596622877641","0.0970893381473784","0.114103907607903","2"
"No","2009","Not Employed","East Germany","5","","","","2"
"Yes","2009","Employed","East Germany","2684","0.992435624333604","0.989165036143807","0.9957062125234","1"
"Yes","2009","Not Employed","West Germany","4630","0.89440337712236","0.885896092392097","0.902910661852622","1"
"Yes","2009","Not Employed","East Germany","1862","0.992758415294631","0.988912368817492","0.99660446177177","1"
"Yes","2009","Employed","West Germany","7961","0.893354224329064","0.886811649326173","0.899896799331955","1"
"No","2010","Employed","West Germany","912","0.101827745863119","0.0964600502759314","0.107195441450306","2"
"No","2010","Employed","East Germany","23","","","","2"
"No","2010","Not Employed","West Germany","698","0.112635296017335","0.104881364493594","0.120389227541076","2"
"No","2010","Not Employed","East Germany","23","","","","2"
"Yes","2010","Employed","East Germany","3397","0.994395802734009","0.991893894443641","0.996897711024377","1"
"Yes","2010","Employed","West Germany","11282","0.898172254136881","0.892804558549694","0.903539949724069","1"
"Yes","2010","Not Employed","West Germany","5688","0.887364703982665","0.879610772458924","0.895118635506406","1"
"Yes","2010","Not Employed","East Germany","2048","0.989124909170392","0.984658072657967","0.993591745682817","1"
"No","2011","Employed","East Germany","13","","","","2"
"No","2011","Not Employed","West Germany","441","0.0885600774833297","0.0816028269700215","0.0955173279966379","2"
"No","2011","Not Employed","East Germany","7","","","","2"
"No","2011","Employed","West Germany","643","0.0871338730087253","0.0817892860393038","0.0924784599781468","2"
"Yes","2011","Employed","East Germany","3056","0.994767893254867","0.992215492733956","0.997320293775778","1"
"Yes","2011","Not Employed","East Germany","2077","0.993255283418923","0.989741204358405","0.996769362479441","1"
"Yes","2011","Employed","West Germany","10054","0.912866126991275","0.907521540021853","0.918210713960696","1"
"Yes","2011","Not Employed","West Germany","5965","0.91143992251667","0.904482672003362","0.918397173029978","1"
"No","2012","Employed","East Germany","34","0.0084162726088625","0.00551170904341624","0.0113208361743088","2"
"No","2012","Not Employed","West Germany","589","0.10042742428905","0.0935870759683664","0.107267772609734","2"
"No","2012","Not Employed","East Germany","20","","","","2"
"No","2012","Employed","West Germany","941","0.0976761348492601","0.0927788841317577","0.102573385566762","2"
"Yes","2012","Employed","East Germany","3766","0.991583727391138","0.988679163825691","0.994488290956584","1"
"Yes","2012","Not Employed","East Germany","2388","0.99241579845865","0.988950651826714","0.995880945090586","1"
"Yes","2012","Employed","West Germany","13176","0.90232386515074","0.897426614433237","0.907221115868242","1"
"Yes","2012","Not Employed","West Germany","6828","0.89957257571095","0.892732227390266","0.906412924031634","1"
"No","2013","Employed","East Germany","28","","","","2"
"No","2013","Employed","West Germany","855","0.0592937506050615","0.0552831339532775","0.0633043672568456","2"
"No","2013","Not Employed","West Germany","494","0.0643543129618539","0.0584821769919911","0.0702264489317167","2"
"No","2013","Not Employed","East Germany","23","","","","2"
"Yes","2013","Employed","East Germany","3563","0.996909226083676","0.995093702832079","0.998724749335273","1"
"Yes","2013","Not Employed","East Germany","2154","0.990687006356428","0.986652115763405","0.994721896949451","1"
"Yes","2013","Employed","West Germany","12466","0.940706249394938","0.936695632743154","0.944716866046722","1"
"Yes","2013","Not Employed","West Germany","6214","0.935645687038146","0.929773551068283","0.941517823008009","1"
"No","2014","Employed","East Germany","107","0.0176516411609521","0.0132645910171739","0.0220386913047303","2"
"No","2014","Not Employed","East Germany","66","0.0176871265624525","0.0121258315948781","0.023248421530027","2"
"No","2014","Employed","West Germany","1922","0.110440028622659","0.105312805259221","0.115567251986097","2"
"No","2014","Not Employed","West Germany","1013","0.1068816722157","0.0997643779282027","0.113998966503197","2"
"Yes","2014","Employed","East Germany","3354","0.982348358839048","0.97796130869527","0.986735408982826","1"
"Yes","2014","Not Employed","East Germany","2092","0.982312873437547","0.976751578469973","0.987874168405122","1"
"Yes","2014","Employed","West Germany","12434","0.889559971377341","0.884432748013903","0.894687194740779","1"
"Yes","2014","Not Employed","West Germany","6226","0.8931183277843","0.886001033496803","0.900235622071797","1"
"No","2015","Employed","East Germany","81","0.0149328350941779","0.0107637221333575","0.0191019480549983","2"
"No","2015","Not Employed","East Germany","187","0.0441103258136771","0.0355318113530174","0.0526888402743368","2"
"No","2015","Employed","West Germany","1615","0.0980649951695994","0.0930317747996589","0.10309821553954","2"
"No","2015","Not Employed","West Germany","2133","0.137573420195814","0.130069849163842","0.145076991227787","2"
"Yes","2015","Employed","West Germany","11797","0.901935004830401","0.89690178446046","0.906968225200341","1"
"Yes","2015","Employed","East Germany","3170","0.985067164905822","0.980898051945002","0.989236277866643","1"
"Yes","2015","Not Employed","East Germany","2014","0.955889674186323","0.947311159725663","0.964468188646983","1"
"Yes","2015","Not Employed","West Germany","5962","0.862426579804186","0.854923008772213","0.869930150836158","1"
"No","2016","Employed","East Germany","133","0.032043221652721","0.0259056784137368","0.0381807648917052","2"
"No","2016","Not Employed","East Germany","78","0.0281569390935208","0.0207383349604544","0.0355755432265872","2"
"No","2016","Employed","West Germany","1998","0.123906666224601","0.118243636597171","0.12956969585203","2"
"No","2016","Not Employed","West Germany","948","0.119311374527757","0.111341666123543","0.127281082931971","2"
"Yes","2016","Not Employed","East Germany","1832","0.971843060906479","0.964424456773413","0.979261665039546","1"
"Yes","2016","Employed","West Germany","11005","0.876093333775399","0.87043030414797","0.881756363402829","1"
"Yes","2016","Employed","East Germany","3030","0.967956778347279","0.961819235108295","0.974094321586263","1"
"Yes","2016","Not Employed","West Germany","5407","0.880688625472243","0.872718917068029","0.888658333876457","1"
"No","2017","Employed","East Germany","175","0.0349773532040174","0.0290097494908476","0.0409449569171872","2"
"No","2017","Not Employed","East Germany","509","0.0422569630943516","0.0343217025885556","0.0501922236001477","2"
"No","2017","Employed","West Germany","2024","0.128695148338444","0.123278427857766","0.134111868819123","2"
"No","2017","Not Employed","West Germany","2804","0.139877656884072","0.13252928939842","0.147226024369724","2"
"Yes","2017","Not Employed","East Germany","1960","0.957743036905648","0.949807776399852","0.965678297411445","1"
"Yes","2017","Employed","West Germany","12657","0.871304851661556","0.865888131180877","0.876721572142234","1"
"Yes","2017","Employed","East Germany","3466","0.965022646795982","0.959055043082813","0.970990250509152","1"
"Yes","2017","Not Employed","West Germany","5755","0.860122343115928","0.852773975630276","0.86747071060158","1"
"No","2018","Employed","West Germany","2153","0.137025853605445","0.131410117577239","0.142641589633651","2"
"No","2018","Employed","East Germany","210","0.0414156401524449","0.0349042273243912","0.0479270529804987","2"
"No","2018","Not Employed","East Germany","560","0.0448274242521248","0.0366851162988102","0.0529697322054394","2"
"No","2018","Not Employed","West Germany","3682","0.151260249717657","0.143939879291451","0.158580620143863","2"
"Yes","2018","Employed","West Germany","12251","0.862974146394555","0.857358410366349","0.868589882422761","1"
"Yes","2018","Employed","East Germany","3387","0.958584359847555","0.952072947019501","0.965095772675609","1"
"Yes","2018","Not Employed","West Germany","5521","0.848739750282343","0.841419379856136","0.856060120708549","1"
"Yes","2018","Not Employed","East Germany","1921","0.955172575747875","0.947030267794561","0.96331488370119","1"
"No","2019","Not Employed","East Germany","426","0.0424136743089452","0.0342394497366894","0.050587898881201","2"
"No","2019","Not Employed","West Germany","2965","0.147448871194267","0.139895493409698","0.155002248978837","2"
"No","2019","Employed","West Germany","2201","0.143044489622208","0.137412738673603","0.148676240570812","2"
"No","2019","Employed","East Germany","222","0.0412673080573474","0.0348797216094959","0.0476548945051989","2"
"Yes","2019","Employed","West Germany","12646","0.856955510377792","0.851323759429188","0.862587261326397","1"
"Yes","2019","Employed","East Germany","3503","0.958732691942653","0.952345105494801","0.965120278390504","1"
"Yes","2019","Not Employed","West Germany","5499","0.852551128805733","0.844997751021163","0.860104506590302","1"
"Yes","2019","Not Employed","East Germany","1909","0.957586325691055","0.949412101118799","0.965760550263311","1"
