"plj0014_v3","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2010","66 and older","Male","1862","0.93575563947134","0.924828195509295","0.946683083433385"
"No","2011","16-34 y.","Female","140","0.0784047111150734","0.0677974143671153","0.0890120078630316"
"No","2011","16-34 y.","Male","108","0.0656605214408089","0.0550744951542911","0.0762465477273266"
"No","2011","35-65 y.","Female","403","0.100685328253319","0.0935073362276118","0.107863320279026"
"No","2011","35-65 y.","Male","301","0.0746923341120844","0.0678913268197017","0.081493341404467"
"No","2011","66 and older","Female","63","0.0321444975733127","0.0255024471041293","0.0387865480424961"
"No","2011","66 and older","Male","89","0.0602978163774414","0.0509406696558096","0.0696549630990731"
"Yes","2011","16-34 y.","Female","2327","0.921595288884927","0.910987992136968","0.932202585632885"
"Yes","2011","16-34 y.","Male","1995","0.934339478559191","0.923753452272673","0.944925504845709"
"Yes","2011","35-65 y.","Female","6348","0.899314671746681","0.892136679720974","0.906492663772388"
"Yes","2011","35-65 y.","Male","5439","0.925307665887916","0.918506658595533","0.932108673180298"
"Yes","2011","66 and older","Female","2646","0.967855502426687","0.961213451957504","0.974497552895871"
"Yes","2011","66 and older","Male","2397","0.939702183622559","0.930345036900927","0.94905933034419"
"No","2012","16-34 y.","Female","281","0.10781799113295","0.0976611736378753","0.117974808628024"
"No","2012","16-34 y.","Male","163","0.0717763177264853","0.0621779169481896","0.0813747185047809"
"No","2012","35-65 y.","Female","535","0.101895035722169","0.0955914140669094","0.108198657377428"
"No","2012","35-65 y.","Male","452","0.0854036352039075","0.0789809837165908","0.0918262866912243"
"No","2012","66 and older","Female","61","0.0376682601453265","0.0305039664738407","0.0448325538168124"
"No","2012","66 and older","Male","92","0.0699729804019929","0.0600678237481356","0.0798781370558503"
"Yes","2012","16-34 y.","Female","3301","0.89218200886705","0.882025191371976","0.902338826362125"
"Yes","2012","16-34 y.","Male","2615","0.928223682273515","0.918625281495219","0.93782208305181"
"Yes","2012","35-65 y.","Female","8312","0.898104964277831","0.891801342622572","0.904408585933091"
"Yes","2012","35-65 y.","Male","6822","0.914596364796093","0.908173713308776","0.921019016283409"
"Yes","2012","66 and older","Female","2652","0.962331739854673","0.955167446183188","0.969496033526159"
"Yes","2012","66 and older","Male","2456","0.930027019598007","0.92012186294415","0.939932176251864"
"No","2013","16-34 y.","Female","226","0.044626529405992","0.0375112150217289","0.051741843790255"
"No","2013","16-34 y.","Male","130","0.0321320960747713","0.0252316791314256","0.039032513018117"
"No","2013","35-65 y.","Female","498","0.0683350433201267","0.0629038376298055","0.0737662490104479"
"No","2013","35-65 y.","Male","397","0.0538746358231498","0.048483886908374","0.0592653847379256"
"No","2013","66 and older","Female","65","0.028152498158338","0.0217945212286009","0.0345104750880752"
"No","2013","66 and older","Male","84","0.0541760505664686","0.0451646850139814","0.0631874161189557"
"Yes","2013","16-34 y.","Female","3009","0.955373470594008","0.948258156209745","0.962488784978271"
"Yes","2013","16-34 y.","Male","2379","0.967867903925229","0.960967486981883","0.974768320868574"
"Yes","2013","35-65 y.","Female","7793","0.931664956679873","0.926233750989552","0.937096162370195"
"Yes","2013","35-65 y.","Male","6341","0.94612536417685","0.940734615262074","0.951516113091626"
"Yes","2013","66 and older","Female","2535","0.971847501841662","0.965489524911925","0.978205478771399"
"Yes","2013","66 and older","Male","2340","0.945823949433531","0.936812583881044","0.954835314986019"
"No","2014","16-34 y.","Female","594","0.123324714774636","0.112579321534679","0.134070108014592"
"No","2014","16-34 y.","Male","410","0.108342694059162","0.0972057484689152","0.119479639649408"
"No","2014","35-65 y.","Female","1037","0.111752112415457","0.10507780554133","0.118426419289585"
"No","2014","35-65 y.","Male","882","0.100658866851735","0.0936380470069926","0.107679686696477"
"No","2014","66 and older","Female","79","0.0309611409884658","0.0242579208641557","0.0376643611127758"
"No","2014","66 and older","Male","106","0.0576178424836708","0.048381486080093","0.0668541988872486"
"Yes","2014","16-34 y.","Female","3003","0.876675285225364","0.865929891985408","0.887420678465321"
"Yes","2014","16-34 y.","Male","2582","0.891657305940838","0.880520360350592","0.902794251531085"
"Yes","2014","35-65 y.","Female","7523","0.888247887584543","0.881573580710415","0.89492219445867"
"Yes","2014","35-65 y.","Male","6173","0.899341133148265","0.892320313303523","0.906361952993007"
"Yes","2014","66 and older","Female","2486","0.969038859011534","0.962335638887224","0.975742079135844"
"Yes","2014","66 and older","Male","2339","0.942382157516329","0.933145801112751","0.951618513919907"
"No","2015","16-34 y.","Female","880","0.134761187162618","0.123689489191697","0.145832885133538"
"No","2015","16-34 y.","Male","700","0.131520248282233","0.119572878156462","0.143467618408003"
"No","2015","35-65 y.","Female","1201","0.112358047268668","0.105588401351072","0.119127693186264"
"No","2015","35-65 y.","Male","1053","0.103430979628982","0.0962467898411132","0.110615169416851"
"No","2015","66 and older","Female","79","0.0298461384467997","0.0232416013523819","0.0364506755412175"
"No","2015","66 and older","Male","103","0.0605851561520274","0.0510781892540128","0.0700921230500421"
"Yes","2015","16-34 y.","Female","2774","0.865238812837382","0.854167114866462","0.876310510808303"
"Yes","2015","16-34 y.","Male","2374","0.868479751717767","0.856532381591997","0.880427121843538"
"Yes","2015","35-65 y.","Female","7159","0.887641952731332","0.880872306813736","0.894411598648928"
"Yes","2015","35-65 y.","Male","5849","0.896569020371018","0.889384830583149","0.903753210158887"
"Yes","2015","66 and older","Female","2471","0.9701538615532","0.963549324458783","0.976758398647618"
"Yes","2015","66 and older","Male","2316","0.939414843847972","0.929907876949958","0.948921810745987"
"No","2016","16-34 y.","Female","606","0.138143412197473","0.12595757630653","0.150329248088417"
"No","2016","16-34 y.","Male","464","0.127049718466136","0.114268392654448","0.139831044277825"
"No","2016","35-65 y.","Female","1033","0.121520356152839","0.114229634903577","0.1288110774021"
"No","2016","35-65 y.","Male","885","0.112025856965926","0.104203436306103","0.119848277625748"
"No","2016","66 and older","Female","72","0.0427040220897341","0.0346962591827343","0.0507117849967339"
"No","2016","66 and older","Male","97","0.076633113206698","0.0658413340897417","0.0874248923236543"
"Yes","2016","16-34 y.","Female","2474","0.861856587802527","0.849670751911583","0.87404242369347"
"Yes","2016","16-34 y.","Male","2144","0.872950281533864","0.860168955722175","0.885731607345552"
"Yes","2016","35-65 y.","Female","6682","0.878479643847161","0.8711889225979","0.885770365096423"
"Yes","2016","35-65 y.","Male","5360","0.887974143034074","0.880151722374252","0.895796563693897"
"Yes","2016","66 and older","Female","2377","0.957295977910266","0.949288215003266","0.965303740817266"
"Yes","2016","66 and older","Male","2237","0.923366886793302","0.912575107676346","0.934158665910258"
"No","2017","16-34 y.","Female","1002","0.148981713754227","0.137653064526978","0.160310362981476"
"No","2017","16-34 y.","Male","1236","0.1460380689925","0.134801034241487","0.157275103743513"
"No","2017","35-65 y.","Female","1457","0.135841716325065","0.128756146300236","0.142927286349894"
"No","2017","35-65 y.","Male","1626","0.11690763595526","0.109745298840475","0.124069973070045"
"No","2017","66 and older","Female","91","0.0525265058105319","0.0438931985719826","0.0611598130490812"
"No","2017","66 and older","Male","100","0.0795512349954498","0.06890777078744","0.0901946992034595"
"Yes","2017","16-34 y.","Female","2793","0.851018286245773","0.839689637018524","0.862346935473022"
"Yes","2017","16-34 y.","Male","2558","0.8539619310075","0.842724896256487","0.865198965758513"
"Yes","2017","35-65 y.","Female","7525","0.864158283674935","0.857072713650106","0.871243853699764"
"Yes","2017","35-65 y.","Male","6105","0.88309236404474","0.875930026929955","0.890254701159525"
"Yes","2017","66 and older","Female","2474","0.947473494189468","0.938840186950919","0.956106801428017"
"Yes","2017","66 and older","Male","2383","0.92044876500455","0.90980530079654","0.93109222921256"
"No","2018","16-34 y.","Female","1223","0.157202019018545","0.145882335777011","0.16852170226008"
"No","2018","16-34 y.","Male","1661","0.164803336192552","0.153513020328935","0.176093652056169"
"No","2018","35-65 y.","Female","1634","0.138769343797997","0.131552154848336","0.145986532747657"
"No","2018","35-65 y.","Male","1868","0.127635328675719","0.120161325936222","0.135109331415217"
"No","2018","66 and older","Female","103","0.063334611342914","0.0539868613476185","0.0726823613382095"
"No","2018","66 and older","Male","116","0.0867564564839873","0.075691703148584","0.0978212098193906"
"Yes","2018","16-34 y.","Female","2749","0.842797980981455","0.83147829773992","0.854117664222989"
"Yes","2018","16-34 y.","Male","2487","0.835196663807448","0.823906347943831","0.846486979671065"
"Yes","2018","35-65 y.","Female","7180","0.861230656202003","0.854013467252343","0.868447845151664"
"Yes","2018","35-65 y.","Male","5789","0.872364671324281","0.864890668584783","0.879838674063778"
"Yes","2018","66 and older","Female","2505","0.936665388657086","0.92731763866179","0.946013138652381"
"Yes","2018","66 and older","Male","2370","0.913243543516013","0.902178790180609","0.924308296851416"
"No","2019","16-34 y.","Female","1019","0.15065519394993","0.138871525022739","0.162438862877122"
"No","2019","16-34 y.","Male","1341","0.168393063931403","0.156277817495839","0.180508310366967"
"No","2019","35-65 y.","Female","1467","0.143069854681498","0.135731225178174","0.150408484184823"
"No","2019","35-65 y.","Male","1770","0.133403960690651","0.12604918851775","0.140758732863553"
"No","2019","66 and older","Female","102","0.063267876903127","0.0539390172702705","0.0725967365359835"
"No","2019","66 and older","Male","118","0.0811990564549232","0.0708288908476652","0.0915692220621811"
"Yes","2019","16-34 y.","Female","2521","0.84934480605007","0.837561137122878","0.861128474977261"
"Yes","2019","16-34 y.","Male","2324","0.831606936068597","0.819491689633033","0.843722182504161"
"Yes","2019","35-65 y.","Female","7278","0.856930145318502","0.849591515815177","0.864268774821826"
"Yes","2019","35-65 y.","Male","6440","0.866596039309349","0.859241267136447","0.87395081148225"
"Yes","2019","66 and older","Female","2514","0.936732123096873","0.927403263464017","0.946060982729729"
"Yes","2019","66 and older","Male","2547","0.918800943545077","0.908430777937819","0.929171109152335"
