"plj0014_v3","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes","1998","Lower Saxony","Urban Area","532","0.913449905535573","0.891423832998055","0.935475978073091","1"
"Yes","1998","Lower Saxony","Rural Area","563","0.984246892702685","0.974104417586074","0.994389367819297","1"
"Yes","1998","Hesse","Urban Area","591","0.840098202534725","0.814747965822915","0.865448439246534","1"
"Yes","1998","Hesse","Rural Area","135","0.906803291877978","0.860281193880783","0.953325389875173","1"
"Yes","1998","Rhineland-Palatinate,Saarland","Urban Area","530","0.900388465027689","0.876871902228064","0.923905027827313","1"
"Yes","1998","Rhineland-Palatinate,Saarland","Rural Area","184","1","1","1","1"
"Yes","1998","Baden-Württemberg","Urban Area","1105","0.839718882286136","0.821870577573249","0.857567186999022","1"
"Yes","1998","Baden-Württemberg","Rural Area","151","0.909756152085037","0.870816889159868","0.948695415010205","1"
"Yes","1998","Bavaria","Urban Area","754","0.861002980776674","0.838538624746287","0.883467336807061","1"
"Yes","1998","Bavaria","Rural Area","847","0.930640449177783","0.914635492214073","0.946645406141494","1"
"Yes","1998","Berlin","Urban Area","489","0.906413083783133","0.88166378342468","0.931162384141585","1"
"Yes","1998","Berlin","Rural Area","","","","","1"
"Yes","1998","Brandenburg","Urban Area","30","1","1","1","1"
"Yes","1998","Brandenburg","Rural Area","591","0.985456006530604","0.975828466691213","0.995083546369996","1"
"Yes","1998","Mecklenburg-Western Pomerania","Urban Area","54","1","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","Rural Area","357","1","1","1","1"
"Yes","1998","Saxony","Urban Area","586","1","1","1","1"
"Yes","1998","Saxony","Rural Area","599","0.995264996337723","0.989781224586014","1.00074876808943","1"
"Yes","1998","Saxony-Anhalt","Urban Area","194","1","1","1","1"
"Yes","1998","Bremen","Urban Area","89","0.854020884305644","0.785160885012037","0.92288088359925","1"
"Yes","1998","Bremen","Rural Area","","","","","1"
"Yes","1998","North Rhine-Westphalia","Urban Area","2300","0.894538804354879","0.883149929315404","0.905927679394354","1"
"Yes","1998","North Rhine-Westphalia","Rural Area","60","0.965536459993193","0.920845221968868","1.01022769801752","1"
"Yes","1998","Saxony-Anhalt","Rural Area","498","0.996225589454813","0.990845354605982","1.00160582430364","1"
"Yes","1998","Thuringia","Urban Area","218","0.997274179237809","0.990368888502038","1.00417946997358","1"
"Yes","1998","Thuringia","Rural Area","514","0.99681487444339","0.991953111562211","1.00167663732457","1"
"No","1999","Schleswig-Holstein","Rural Area","4","","","","2"
"No","1999","Schleswig-Holstein","Urban Area","15","","","","2"
"No","1999","Hamburg","Rural Area","","","","","2"
"No","1999","Hamburg","Urban Area","25","","","","2"
"No","1999","Lower Saxony","Rural Area","14","","","","2"
"No","1999","Lower Saxony","Urban Area","90","0.0921310739753972","0.0693293073617223","0.114932840589072","2"
"No","1999","Bremen","Urban Area","7","","","","2"
"No","1999","Bremen","Rural Area","","","","","2"
"No","1999","North Rhine-Westphalia","Urban Area","453","0.102090406586895","0.0905672860795326","0.113613527094257","2"
"No","1999","Hesse","Urban Area","177","0.144883736964095","0.119842855885836","0.169924618042353","2"
"No","1999","North Rhine-Westphalia","Rural Area","5","","","","2"
"No","1999","Hesse","Rural Area","10","","","","2"
"No","1999","Berlin","Urban Area","39","0.083769598866672","0.0598656964592262","0.107673501274118","2"
"No","1999","Rhineland-Palatinate,Saarland","Urban Area","78","0.0868549275036069","0.0642263773366488","0.109483477670565","2"
"No","1999","Berlin","Rural Area","","","","","2"
"No","1999","Rhineland-Palatinate,Saarland","Rural Area","","","","","2"
"No","1999","Baden-Württemberg","Rural Area","57","0.126154960665035","0.0800241664593151","0.172285754870756","2"
"No","1999","Brandenburg","Urban Area","","","","","2"
"No","1999","Baden-Württemberg","Urban Area","500","0.178870498434971","0.15974819019583","0.197992806674113","2"
"No","1999","Brandenburg","Rural Area","1","","","","2"
"No","1999","Bavaria","Urban Area","148","0.148250031753869","0.124878075288492","0.171621988219245","2"
"No","1999","Bavaria","Rural Area","104","0.0596657559568029","0.0443265084902258","0.0750050034233801","2"
"No","1999","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"No","1999","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"No","1999","Saxony","Urban Area","2","","","","2"
"No","1999","Saxony","Rural Area","3","","","","2"
"No","1999","Thuringia","Urban Area","","","","","2"
"No","1999","Thuringia","Rural Area","2","","","","2"
"No","1999","Saxony-Anhalt","Urban Area","","","","","2"
"No","1999","Saxony-Anhalt","Rural Area","1","","","","2"
"Yes","1999","Hesse","Urban Area","582","0.855116263035905","0.830075381957647","0.880157144114164","1"
"Yes","1999","Hesse","Rural Area","132","0.936865386428341","0.896863886249408","0.976866886607273","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Urban Area","517","0.913145072496393","0.890516522329435","0.935773622663351","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Rural Area","179","1","1","1","1"
"Yes","1999","Baden-Württemberg","Urban Area","1043","0.821129501565029","0.802007193325887","0.84025180980417","1"
"Yes","1999","Baden-Württemberg","Rural Area","142","0.873845039334965","0.827714245129245","0.919975833540685","1"
"Yes","1999","Bavaria","Urban Area","740","0.851749968246131","0.828378011780755","0.875121924711508","1"
"Yes","1999","Bavaria","Rural Area","812","0.940334244043197","0.92499499657662","0.955673491509774","1"
"Yes","1999","Berlin","Urban Area","477","0.916230401133328","0.892326498725882","0.940134303540774","1"
"Yes","1999","Berlin","Rural Area","","","","","1"
"Yes","1999","Brandenburg","Urban Area","37","1","1","1","1"
"Yes","1999","Brandenburg","Rural Area","564","0.996746857040655","0.99205150803493","1.00144220604638","1"
"Yes","1999","Mecklenburg-Western Pomerania","Urban Area","53","1","1","1","1"
"Yes","1999","Mecklenburg-Western Pomerania","Rural Area","349","1","1","1","1"
"Yes","1999","Saxony","Urban Area","561","0.994862783660438","0.988957518358752","1.00076804896212","1"
"Yes","1999","Saxony","Rural Area","591","0.995350364394704","0.989879545759656","1.00082118302975","1"
"Yes","1999","Schleswig-Holstein","Urban Area","152","0.93770392827175","0.901047254542892","0.974360602000608","1"
"Yes","1999","Schleswig-Holstein","Rural Area","159","0.979102263985145","0.957142992114921","1.00106153585537","1"
"Yes","1999","Hamburg","Urban Area","115","0.909615425026539","0.862119085393979","0.9571117646591","1"
"Yes","1999","Hamburg","Rural Area","","","","","1"
"Yes","1999","Lower Saxony","Urban Area","528","0.907868926024603","0.885067159410928","0.930670692638278","1"
"Yes","1999","Lower Saxony","Rural Area","544","0.991643459686813","0.984090415528138","0.999196503845487","1"
"Yes","1999","Bremen","Urban Area","82","0.922232492274162","0.866594379832306","0.977870604716018","1"
"Yes","1999","Saxony-Anhalt","Urban Area","193","1","1","1","1"
"Yes","1999","Saxony-Anhalt","Rural Area","500","0.993473429486529","0.986422443143004","1.00052441583005","1"
"Yes","1999","Bremen","Rural Area","","","","","1"
"Yes","1999","North Rhine-Westphalia","Urban Area","2199","0.897909593413105","0.886386472905743","0.909432713920468","1"
"Yes","1999","North Rhine-Westphalia","Rural Area","61","0.960720190742078","0.913854041910717","1.00758633957344","1"
"Yes","1999","Thuringia","Urban Area","227","1","1","1","1"
"Yes","1999","Thuringia","Rural Area","494","0.996451909196628","0.991219125446141","1.00168469294711","1"
"No","2000","Schleswig-Holstein","Rural Area","13","","","","2"
"No","2000","Schleswig-Holstein","Urban Area","20","","","","2"
"No","2000","Hamburg","Rural Area","","","","","2"
"No","2000","Hamburg","Urban Area","23","","","","2"
"No","2000","Lower Saxony","Urban Area","111","0.0844925468032779","0.0674825977898418","0.101502495816714","2"
"No","2000","Lower Saxony","Rural Area","31","0.0253605075104367","0.0156693983402573","0.0350516166806161","2"
"No","2000","Bremen","Urban Area","14","","","","2"
"No","2000","North Rhine-Westphalia","Rural Area","19","","","","2"
"No","2000","Bremen","Rural Area","","","","","2"
"No","2000","North Rhine-Westphalia","Urban Area","610","0.0993289915160472","0.0910681111048217","0.107589871927273","2"
"No","2000","Hesse","Urban Area","267","0.17399770424053","0.153782282657093","0.194213125823967","2"
"No","2000","Berlin","Urban Area","58","0.0812228462736698","0.0625593772907616","0.099886315256578","2"
"No","2000","Hesse","Rural Area","11","","","","2"
"No","2000","Rhineland-Palatinate,Saarland","Urban Area","115","0.0922833599145531","0.0752184578745781","0.109348261954528","2"
"No","2000","Baden-Württemberg","Urban Area","628","0.165856139347539","0.151747708454528","0.17996457024055","2"
"No","2000","Berlin","Rural Area","","","","","2"
"No","2000","Brandenburg","Urban Area","","","","","2"
"No","2000","Brandenburg","Rural Area","1","","","","2"
"No","2000","Rhineland-Palatinate,Saarland","Rural Area","7","","","","2"
"No","2000","Baden-Württemberg","Rural Area","62","0.118970874516802","0.0825771285706596","0.155364620462945","2"
"No","2000","Bavaria","Urban Area","198","0.122736556179816","0.106723180583316","0.138749931776315","2"
"No","2000","Bavaria","Rural Area","122","0.0509222221403847","0.0407266420706192","0.0611178022101503","2"
"No","2000","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"No","2000","Mecklenburg-Western Pomerania","Rural Area","2","","","","2"
"No","2000","Saxony","Urban Area","7","","","","2"
"No","2000","Saxony","Rural Area","6","","","","2"
"No","2000","Saxony-Anhalt","Urban Area","","","","","2"
"No","2000","Saxony-Anhalt","Rural Area","1","","","","2"
"No","2000","Thuringia","Urban Area","3","","","","2"
"No","2000","Thuringia","Rural Area","2","","","","2"
"Yes","2000","Schleswig-Holstein","Urban Area","274","0.914417787685076","0.882440729067595","0.946394846302556","1"
"Yes","2000","Schleswig-Holstein","Rural Area","408","0.972540062948047","0.956929787652333","0.988150338243762","1"
"Yes","2000","Hamburg","Urban Area","277","0.945697215120327","0.920053876335281","0.971340553905373","1"
"Yes","2000","Hamburg","Rural Area","","","","","1"
"Yes","2000","Lower Saxony","Urban Area","916","0.915507453196722","0.898497504183286","0.932517402210158","1"
"Yes","2000","Lower Saxony","Rural Area","980","0.974639492489563","0.964948383319384","0.984330601659743","1"
"Yes","2000","Hesse","Urban Area","1084","0.82600229575947","0.805786874176033","0.846217717342907","1"
"Yes","2000","Hesse","Rural Area","323","0.977503405860738","0.961599917920367","0.99340689380111","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Urban Area","990","0.907716640085447","0.890651738045472","0.924781542125422","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Rural Area","354","0.98347120050305","0.970319074250224","0.996623326755876","1"
"Yes","2000","Baden-Württemberg","Urban Area","2042","0.834143860652461","0.82003542975945","0.848252291545472","1"
"Yes","2000","Baden-Württemberg","Rural Area","242","0.881029125483198","0.844635379537055","0.91742287142934","1"
"Yes","2000","Bavaria","Urban Area","1415","0.877263443820184","0.861250068223685","0.893276819416684","1"
"Yes","2000","Bavaria","Rural Area","1664","0.949077777859615","0.93888219778985","0.959273357929381","1"
"Yes","2000","Berlin","Urban Area","765","0.91877715372633","0.900113684743422","0.937440622709238","1"
"Yes","2000","Berlin","Rural Area","","","","","1"
"Yes","2000","Brandenburg","Urban Area","69","1","1","1","1"
"Yes","2000","Brandenburg","Rural Area","952","0.997942498023344","0.995065599587416","1.00081939645927","1"
"Yes","2000","Mecklenburg-Western Pomerania","Urban Area","77","1","1","1","1"
"Yes","2000","Mecklenburg-Western Pomerania","Rural Area","489","0.997157230964107","0.992447891958623","1.00186656996959","1"
"Yes","2000","Saxony","Urban Area","834","0.993272379247447","0.987747598808719","0.998797159686176","1"
"Yes","2000","Saxony","Rural Area","942","0.994747367090576","0.990145979184567","0.999348754996585","1"
"Yes","2000","Saxony-Anhalt","Urban Area","279","1","1","1","1"
"Yes","2000","Bremen","Urban Area","174","0.911728986382864","0.871177095985107","0.952280876780621","1"
"Yes","2000","Bremen","Rural Area","","","","","1"
"Yes","2000","Saxony-Anhalt","Rural Area","783","0.995948598661523","0.991502171772793","1.00039502555025","1"
"Yes","2000","Thuringia","Urban Area","283","0.991282586222995","0.980509065701954","1.00205610674404","1"
"Yes","2000","North Rhine-Westphalia","Urban Area","4426","0.900671008483953","0.892410128072727","0.908931888895178","1"
"Yes","2000","North Rhine-Westphalia","Rural Area","123","0.893246308198431","0.842455983967292","0.944036632429571","1"
"Yes","2000","Thuringia","Rural Area","770","0.997901534680013","0.99467352978766","1.00112953957237","1"
"No","2001","Brandenburg","Rural Area","1","","","","2"
"No","2001","Schleswig-Holstein","Urban Area","17","","","","2"
"No","2001","Hamburg","Urban Area","24","","","","2"
"No","2001","Brandenburg","Urban Area","","","","","2"
"No","2001","Schleswig-Holstein","Rural Area","10","","","","2"
"No","2001","Hamburg","Rural Area","","","","","2"
"No","2001","Lower Saxony","Urban Area","101","0.0809341661492573","0.0635544859057101","0.0983138463928046","2"
"No","2001","Lower Saxony","Rural Area","29","","","","2"
"No","2001","Bremen","Rural Area","","","","","2"
"No","2001","Bremen","Urban Area","14","","","","2"
"No","2001","North Rhine-Westphalia","Rural Area","16","","","","2"
"No","2001","North Rhine-Westphalia","Urban Area","553","0.0992942705979413","0.0906142805489923","0.10797426064689","2"
"No","2001","Hesse","Urban Area","230","0.172822225972127","0.15134026931938","0.194304182624874","2"
"No","2001","Hesse","Rural Area","10","","","","2"
"No","2001","Rhineland-Palatinate,Saarland","Urban Area","102","0.091449223936651","0.0738202318343385","0.109078216038964","2"
"No","2001","Rhineland-Palatinate,Saarland","Rural Area","6","","","","2"
"No","2001","Baden-Württemberg","Urban Area","528","0.157393134925434","0.142722316181477","0.172063953669391","2"
"No","2001","Baden-Württemberg","Rural Area","61","0.127574248461131","0.0867867306196153","0.168361766302646","2"
"No","2001","Bavaria","Urban Area","180","0.119489522608856","0.102902464344418","0.136076580873295","2"
"No","2001","Bavaria","Rural Area","106","0.0471252868918615","0.0367127175692516","0.0575378562144714","2"
"No","2001","Berlin","Urban Area","49","0.0761447853742337","0.0577195265235267","0.0945700442249406","2"
"No","2001","Berlin","Rural Area","","","","","2"
"No","2001","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"No","2001","Mecklenburg-Western Pomerania","Rural Area","2","","","","2"
"No","2001","Saxony","Urban Area","1","","","","2"
"No","2001","Saxony","Rural Area","2","","","","2"
"No","2001","Saxony-Anhalt","Urban Area","","","","","2"
"No","2001","Saxony-Anhalt","Rural Area","","","","","2"
"No","2001","Thuringia","Urban Area","","","","","2"
"No","2001","Thuringia","Rural Area","2","","","","2"
"Yes","2001","Hesse","Urban Area","960","0.827177774027873","0.805695817375126","0.84865973068062","1"
"Yes","2001","Hesse","Rural Area","293","0.975593010027738","0.958218273479948","0.992967746575529","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Urban Area","925","0.908550776063349","0.890921783961036","0.926179768165661","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Rural Area","322","0.977032272264995","0.960820718559752","0.993243825970238","1"
"Yes","2001","Baden-Württemberg","Urban Area","1839","0.842606865074566","0.827936046330609","0.857277683818523","1"
"Yes","2001","Baden-Württemberg","Rural Area","196","0.872425751538869","0.831638233697354","0.913213269380385","1"
"Yes","2001","Bavaria","Urban Area","1289","0.880510477391144","0.863923419126705","0.897097535655582","1"
"Yes","2001","Bavaria","Rural Area","1485","0.952874713108139","0.942462143785529","0.963287282430749","1"
"Yes","2001","Berlin","Urban Area","747","0.923855214625766","0.905429955775059","0.942280473476473","1"
"Yes","2001","Berlin","Rural Area","","","","","1"
"Yes","2001","Brandenburg","Urban Area","69","1","1","1","1"
"Yes","2001","Brandenburg","Rural Area","892","0.997864098087152","0.994836147994962","1.00089204817934","1"
