"plj0014_v3","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Employed","Female","536","0.0843932246341148","0.0775791948366449","0.0912072544315848","2"
"No","2001","Not Employed","Female","467","0.0694813369699156","0.0624946519085088","0.0764680220313224","2"
"Yes","2001","Employed","Male","6763","0.908241976457316","0.901722021771612","0.91476193114302","1"
"Yes","2001","Not Employed","Male","2778","0.92208923579525","0.912578542087457","0.931599929503043","1"
"Yes","2001","Employed","Female","5857","0.915606775365885","0.908792745568415","0.922420805163355","1"
"Yes","2001","Not Employed","Female","4621","0.930518663030084","0.923531977968678","0.937505348091491","1"
"No","2002","Employed","Male","700","0.0902606662091387","0.083978229718785","0.0965431026994925","2"
"No","2002","Not Employed","Male","252","0.0761742935989962","0.0669629189936394","0.0853856682043529","2"
"No","2002","Employed","Female","501","0.0808155395435035","0.0743640282514897","0.0872670508355172","2"
"No","2002","Not Employed","Female","447","0.0727471449768068","0.0656351248082879","0.0798591651453256","2"
"Yes","2002","Employed","Female","6355","0.919184460456497","0.912732949164483","0.92563597174851","1"
"Yes","2002","Employed","Male","7292","0.909739333790861","0.903456897300507","0.916021770281215","1"
"Yes","2002","Not Employed","Male","2934","0.923825706401004","0.914614331795647","0.933037081006361","1"
"Yes","2002","Not Employed","Female","4676","0.927252855023193","0.920140834854674","0.934364875191712","1"
"No","2003","Employed","Male","614","0.0884997313850392","0.0820834040800383","0.09491605869004","2"
"No","2003","Not Employed","Male","249","0.0816313212643783","0.0721506566782847","0.0911119858504718","2"
"No","2003","Employed","Female","452","0.0800147213576354","0.0734446561661335","0.0865847865491373","2"
"No","2003","Not Employed","Female","426","0.0762480648272371","0.0689028463871759","0.0835932832672983","2"
"Yes","2003","Not Employed","Male","2955","0.918368678735622","0.908888014149528","0.927849343321715","1"
"Yes","2003","Employed","Female","6099","0.919985278642364","0.913415213450863","0.926555343833866","1"
"Yes","2003","Employed","Male","6913","0.911500268614961","0.90508394130996","0.917916595919962","1"
"Yes","2003","Not Employed","Female","4589","0.923751935172763","0.916406716732702","0.931097153612824","1"
"No","2004","Employed","Male","556","0.0859972093287759","0.0795041873537364","0.0924902313038154","2"
"No","2004","Not Employed","Male","250","0.0841390642510997","0.0746201562299563","0.0936579722722431","2"
"No","2004","Employed","Female","426","0.0836142664610852","0.0768054005868415","0.090423132335329","2"
"No","2004","Not Employed","Female","396","0.0755861150150601","0.0682260694390299","0.0829461605910903","2"
"Yes","2004","Not Employed","Male","3017","0.9158609357489","0.906342027727757","0.925379843770044","1"
"Yes","2004","Employed","Female","5923","0.916385733538915","0.909576867664671","0.923194599413159","1"
"Yes","2004","Employed","Male","6606","0.914002790671224","0.907509768696185","0.920495812646264","1"
"Yes","2004","Not Employed","Female","4559","0.92441388498494","0.91705383940891","0.93177393056097","1"
"No","2005","Employed","Female","419","0.0901134366107807","0.0829441306524399","0.0972827425691215","2"
"No","2005","Employed","Male","518","0.0897115438447443","0.0828968068858551","0.0965262808036334","2"
"No","2005","Not Employed","Male","245","0.0891272437930446","0.0792428339557513","0.0990116536303379","2"
"No","2005","Not Employed","Female","362","0.0738929318403183","0.0664434091511668","0.0813424545294698","2"
"Yes","2005","Employed","Female","5709","0.909886563389219","0.902717257430879","0.91705586934756","1"
"Yes","2005","Employed","Male","6237","0.910288456155256","0.903473719196367","0.917103193114145","1"
"Yes","2005","Not Employed","Female","4375","0.926107068159682","0.91865754547053","0.933556590848833","1"
"Yes","2005","Not Employed","Male","2947","0.910872756206956","0.900988346369662","0.920757166044249","1"
"No","2006","Not Employed","Male","241","0.0941811792889508","0.084475552022034","0.103886806555868","2"
"No","2006","Employed","Female","386","0.082437861617902","0.0757222568813544","0.0891534663544495","2"
"No","2006","Employed","Male","467","0.0857827676062883","0.0792406652172088","0.0923248699953679","2"
"No","2006","Not Employed","Female","376","0.0867228959455818","0.0790126874679764","0.0944331044231872","2"
"Yes","2006","Employed","Female","6057","0.917562138382098","0.91084653364555","0.924277743118646","1"
"Yes","2006","Employed","Male","6572","0.914217232393712","0.907675130004632","0.920759334782791","1"
"Yes","2006","Not Employed","Female","4742","0.913277104054418","0.905566895576813","0.920987312532024","1"
"Yes","2006","Not Employed","Male","3238","0.905818820711049","0.896113193444132","0.915524447977966","1"
"No","2007","Not Employed","Male","199","0.0880577366788985","0.078350934376644","0.097764538981153","2"
"No","2007","Employed","Female","344","0.0857757929295939","0.0787305130379758","0.092821072821212","2"
"No","2007","Employed","Male","425","0.0873481365382131","0.0805068303909815","0.0941894426854448","2"
"No","2007","Not Employed","Female","318","0.0861747932507412","0.0781834811862075","0.094166105315275","2"
"Yes","2007","Employed","Female","5725","0.914224207070406","0.907178927178788","0.921269486962024","1"
"Yes","2007","Employed","Male","6118","0.912651863461787","0.905810557314555","0.919493169609019","1"
"Yes","2007","Not Employed","Female","4419","0.913825206749259","0.905833894684725","0.921816518813792","1"
"Yes","2007","Not Employed","Male","3075","0.911942263321102","0.902235461018847","0.921649065623356","1"
"No","2008","Employed","Female","310","0.0891631713526116","0.0817972476940954","0.0965290950111277","2"
"No","2008","Employed","Male","367","0.0853602728785103","0.0783933352705244","0.0923272104864961","2"
"No","2008","Not Employed","Female","276","0.0841075427174903","0.0759316902948654","0.0922833951401152","2"
"No","2008","Not Employed","Male","179","0.0896464411869183","0.0795493307850369","0.0997435515887997","2"
"Yes","2008","Employed","Male","5812","0.91463972712149","0.907672789513504","0.921606664729475","1"
"Yes","2008","Not Employed","Female","4151","0.91589245728251","0.907716604859885","0.924068309705135","1"
"Yes","2008","Not Employed","Male","2896","0.910353558813082","0.9002564484112","0.920450669214963","1"
"Yes","2008","Employed","Female","5440","0.910836828647388","0.903470904988872","0.918202752305905","1"
"No","2009","Employed","Female","293","0.0977765174126836","0.0899127228854025","0.105640311939965","2"
"No","2009","Employed","Male","308","0.0818502971091947","0.0747744628590592","0.0889261313593302","2"
"No","2009","Not Employed","Female","230","0.0814644146964204","0.0729893794566362","0.0899394499362046","2"
"No","2009","Not Employed","Male","158","0.0910570736935372","0.0805464654796729","0.101567681907401","2"
"Yes","2009","Employed","Male","5458","0.918149702890805","0.91107386864067","0.925225537140941","1"
"Yes","2009","Not Employed","Female","3772","0.918535585303579","0.910060550063795","0.927010620543364","1"
"Yes","2009","Not Employed","Male","2720","0.908942926306463","0.898432318092599","0.919453534520327","1"
"Yes","2009","Employed","Female","5187","0.902223482587316","0.894359688060035","0.910087277114597","1"
"No","2010","Employed","Female","400","0.088906365159854","0.0825539236758449","0.095258806643863","2"
"No","2010","Employed","Male","535","0.0814539935769948","0.0754234182335367","0.0874845689204529","2"
"No","2010","Not Employed","Female","508","0.0943179487396616","0.0865269142959444","0.102108983183379","2"
"No","2010","Not Employed","Male","213","0.0910512564395118","0.0808432800804692","0.101259232798554","2"
"Yes","2010","Employed","Male","7368","0.918546006423005","0.912515431079547","0.924576581766463","1"
"Yes","2010","Employed","Female","7311","0.911093634840146","0.904741193356137","0.917446076324155","1"
"Yes","2010","Not Employed","Female","4898","0.905682051260338","0.897891016816621","0.913473085704055","1"
"Yes","2010","Not Employed","Male","2838","0.908948743560488","0.898740767201446","0.919156719919531","1"
"No","2011","Employed","Male","334","0.0675807895819166","0.0616383934612544","0.0735231857025788","2"
"No","2011","Not Employed","Female","284","0.0729193139853107","0.065724006117665","0.0801146218529563","2"
"No","2011","Not Employed","Male","164","0.0724224870944573","0.0638037227312657","0.0810412514576489","2"
"No","2011","Employed","Female","322","0.0785964124824414","0.0722518167381442","0.0849410082267386","2"
"Yes","2011","Employed","Male","6521","0.932419210418083","0.926476814297421","0.938361606538746","1"
"Yes","2011","Not Employed","Male","3310","0.927577512905543","0.918958748542351","0.936196277268734","1"
"Yes","2011","Employed","Female","6589","0.921403587517558","0.915058991773261","0.927748183261856","1"
"Yes","2011","Not Employed","Female","4732","0.927080686014689","0.919885378147044","0.934275993882335","1"
"No","2012","Employed","Male","520","0.0805445050822436","0.0748438057646486","0.0862452043998385","2"
"No","2012","Not Employed","Female","422","0.087558664306807","0.0803941648508785","0.0947231637627354","2"
"No","2012","Not Employed","Male","187","0.0747920362036462","0.0664784039350256","0.0831056684722667","2"
"No","2012","Employed","Female","455","0.0849787811611105","0.0792692548422074","0.0906883074800136","2"
"Yes","2012","Employed","Male","8234","0.919455494917756","0.913754795600162","0.925156194235351","1"
"Yes","2012","Not Employed","Male","3659","0.925207963796354","0.916894331527733","0.933521596064974","1"
"Yes","2012","Employed","Female","8708","0.91502121883889","0.909311692519986","0.920730745157793","1"
"Yes","2012","Not Employed","Female","5557","0.912441335693193","0.905276836237265","0.919605835149122","1"
"No","2013","Employed","Male","455","0.047560782768236","0.0429346377567883","0.0521869277796838","2"
"No","2013","Employed","Female","428","0.0504117222940578","0.0458354743959036","0.0549879701922121","2"
"No","2013","Not Employed","Female","361","0.0540723250700682","0.0480092810095215","0.0601353691306149","2"
"No","2013","Not Employed","Male","156","0.0522819471079724","0.0449492809400105","0.0596146132759342","2"
"Yes","2013","Employed","Male","7676","0.952439217231764","0.947813072220316","0.957065362243212","1"
"Yes","2013","Not Employed","Male","3384","0.947718052892028","0.940385386724066","0.955050719059989","1"
"Yes","2013","Employed","Female","8353","0.949588277705942","0.945012029807788","0.954164525604096","1"
"Yes","2013","Not Employed","Female","4984","0.945927674929932","0.939864630869385","0.951990718990478","1"
"No","2014","Employed","Male","1018","0.0934218296243347","0.0872981123395897","0.0995455469090798","2"
"No","2014","Not Employed","Male","380","0.0920104082567932","0.0828397011760115","0.101181115337575","2"
"No","2014","Employed","Female","1011","0.095634226640025","0.0896054392207886","0.101663014059261","2"
"No","2014","Not Employed","Female","699","0.0885725625906186","0.0811183335324598","0.0960267916487774","2"
"Yes","2014","Employed","Male","7658","0.906578170375665","0.90045445309092","0.91270188766041","1"
"Yes","2014","Not Employed","Male","3436","0.907989591743207","0.898818884662425","0.917160298823988","1"
"Yes","2014","Employed","Female","8130","0.904365773359975","0.898336985940739","0.910394560779211","1"
"Yes","2014","Not Employed","Female","4882","0.911427437409381","0.903973208351223","0.91888166646754","1"
"No","2015","Employed","Male","855","0.0837166288731192","0.0776761592557594","0.0897570984904791","2"
"No","2015","Not Employed","Male","1001","0.133726268639469","0.123575652025085","0.143876885253854","2"
"No","2015","Employed","Female","841","0.0837846186519692","0.0779244745244534","0.089644762779485","2"
"No","2015","Not Employed","Female","1319","0.109765321969558","0.101840467516357","0.117690176422758","2"
"Yes","2015","Employed","Female","7746","0.916215381348031","0.910355237220515","0.922075525475546","1"
"Yes","2015","Employed","Male","7221","0.916283371126881","0.910242901509521","0.922323840744241","1"
"Yes","2015","Not Employed","Male","3318","0.866273731360531","0.856123114746146","0.876424347974915","1"
"Yes","2015","Not Employed","Female","4658","0.890234678030442","0.882309823577242","0.898159532483643","1"
"No","2016","Employed","Male","1084","0.108644497439758","0.10173312236882","0.115555872510697","2"
"No","2016","Not Employed","Male","362","0.10654068967562","0.0961685668734865","0.116912812477753","2"
"No","2016","Employed","Female","1047","0.106746421779076","0.100134283028415","0.113358560529737","2"
"No","2016","Not Employed","Female","664","0.100574276993873","0.0921236652221801","0.109024888765566","2"
"Yes","2016","Not Employed","Male","3037","0.89345931032438","0.883087187522247","0.903831433126514","1"
"Yes","2016","Employed","Female","7331","0.893253578220924","0.886641439470263","0.899865716971585","1"
"Yes","2016","Employed","Male","6704","0.891355502560242","0.884444127489303","0.898266877631181","1"
"Yes","2016","Not Employed","Female","4202","0.899425723006127","0.890975111234434","0.90787633477782","1"
"No","2017","Employed","Male","1181","0.110552045915774","0.104055896957906","0.117048194873641","2"
"No","2017","Not Employed","Male","1781","0.127813669272614","0.118611400713944","0.137015937831285","2"
"No","2017","Employed","Female","1018","0.115466484458068","0.108995948718313","0.121937020197823","2"
"No","2017","Not Employed","Female","1532","0.117859803988985","0.109681255769259","0.12603835220871","2"
"Yes","2017","Not Employed","Male","3276","0.872186330727386","0.862984062168715","0.881388599286056","1"
"Yes","2017","Employed","Female","8353","0.884533515541932","0.878062979802177","0.891004051281687","1"
"Yes","2017","Employed","Male","7770","0.889447954084226","0.882951805126359","0.895944103042093","1"
"Yes","2017","Not Employed","Female","4439","0.882140196011015","0.87396164779129","0.890318744230741","1"
"No","2018","Employed","Female","967","0.12153303084765","0.114834784451432","0.128231277243868","2"
"No","2018","Employed","Male","1396","0.120300885653788","0.113527080194264","0.127074691113311","2"
"No","2018","Not Employed","Male","2249","0.144064416806259","0.134725272349949","0.153403561262569","2"
"No","2018","Not Employed","Female","1993","0.123621242917442","0.115463005298242","0.131779480536642","2"
"Yes","2018","Employed","Female","8174","0.87846696915235","0.871768722756132","0.885165215548568","1"
"Yes","2018","Employed","Male","7464","0.879699114346212","0.872925308886689","0.886472919805736","1"
"Yes","2018","Not Employed","Female","4260","0.876378757082558","0.868220519463358","0.884536994701758","1"
"Yes","2018","Not Employed","Male","3182","0.855935583193741","0.846596438737431","0.865274727650051","1"
"No","2019","Not Employed","Male","1668","0.133479010426311","0.123980817072202","0.14297720378042","2"
"No","2019","Not Employed","Female","1723","0.12337955392446","0.114981455205589","0.131777652643331","2"
"No","2019","Employed","Female","865","0.123436432577938","0.116644410570015","0.130228454585862","2"
"No","2019","Employed","Male","1561","0.129168114491391","0.122464357422005","0.135871871560777","2"
"Yes","2019","Employed","Female","8145","0.876563567422062","0.869771545414138","0.883355589429985","1"
"Yes","2019","Employed","Male","8054","0.870831885508609","0.864128128439223","0.877535642577994","1"
"Yes","2019","Not Employed","Female","4168","0.87662044607554","0.868222347356669","0.885018544794411","1"
"Yes","2019","Not Employed","Male","3257","0.866520989573689","0.85702279621958","0.876019182927798","1"
