"plj0014_v3","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Part Time","West Germany","1860","0.878919163181323","0.865394654376654","0.892443671985993"
"Yes","1999","Part Time","East Germany","711","0.996165528606686","0.991632196972903","1.00069886024047"
"No","2000","Full Time","West Germany","905","0.103563138880825","0.0966820781487483","0.110444199612901"
"No","2000","Full Time","East Germany","6","","",""
"No","2000","Not Working","West Germany","875","0.0932379468263711","0.0863432181319427","0.1001326755208"
"No","2000","Not Working","East Germany","12","","",""
"No","2000","Part Time","West Germany","525","0.116405053088345","0.106496011905016","0.126314094271673"
"No","2000","Part Time","East Germany","8","","",""
"Yes","2000","Full Time","West Germany","6627","0.896436861119175","0.889555800387099","0.903317921851252"
"Yes","2000","Full Time","East Germany","2561","0.998147575107344","0.996484151583607","0.999810998631081"
"Yes","2000","Not Working","West Germany","5957","0.906762053173629","0.8998673244792","0.913656781868057"
"Yes","2000","Not Working","East Germany","2225","0.99482074620688","0.991846197311987","0.997795295101772"
"Yes","2000","Part Time","West Germany","3499","0.883594946911655","0.873685905728327","0.893503988094984"
"Yes","2000","Part Time","East Germany","1064","0.993698444544418","0.988961460906657","0.99843542818218"
"No","2001","Full Time","West Germany","811","0.100502591415138","0.0933282618280603","0.107676921002216"
"No","2001","Full Time","East Germany","3","","",""
"No","2001","Not Working","West Germany","737","0.0909025528385412","0.0836401693439933","0.0981649363330891"
"No","2001","Not Working","East Germany","3","","",""
"No","2001","Part Time","West Germany","486","0.118917464517766","0.108668819335622","0.12916610969991"
"No","2001","Part Time","East Germany","4","","",""
"Yes","2001","Full Time","West Germany","5936","0.899497408584862","0.892323078997784","0.90667173817194"
"Yes","2001","Full Time","East Germany","2335","0.99872219166085","0.997274150034153","1.00017023328755"
"Yes","2001","Not Working","West Germany","5282","0.909097447161459","0.901835063666911","0.916359830656007"
"Yes","2001","Not Working","East Germany","2117","0.998014355978955","0.996119399452344","0.999909312505567"
"Yes","2001","Part Time","West Germany","3346","0.881082535482234","0.87083389030009","0.891331180664378"
"Yes","2001","Part Time","East Germany","1003","0.995929281221128","0.991996650598337","0.999861911843919"
"No","2002","Full Time","West Germany","750","0.100576075938215","0.0936680761591719","0.107484075717258"
"No","2002","Full Time","East Germany","3","","",""
"No","2002","Not Working","West Germany","694","0.0921093380451355","0.0849071218101462","0.0993115542801249"
"No","2002","Not Working","East Germany","5","","",""
"No","2002","Part Time","West Germany","444","0.109482885761106","0.100066583529831","0.118899187992382"
"No","2002","Part Time","East Germany","4","","",""
"Yes","2002","Full Time","West Germany","6532","0.899423924061785","0.892515924282742","0.906331923840828"
"Yes","2002","Full Time","East Germany","2310","0.999115932040008","0.997904745481487","1.00032711859853"
"Yes","2002","Not Working","West Germany","5499","0.907890661954864","0.900688445719875","0.915092878189854"
"Yes","2002","Not Working","East Germany","2111","0.994540599554824","0.991401001920734","0.997680197188914"
"Yes","2002","Part Time","West Germany","3780","0.890517114238894","0.881100812007618","0.899933416470169"
"Yes","2002","Part Time","East Germany","1025","0.995036387482768","0.990742419315198","0.999330355650337"
"No","2003","Full Time","West Germany","652","0.100214186256688","0.0930394325074049","0.107388940005972"
"No","2003","Full Time","East Germany","3","","",""
"No","2003","Not Working","West Germany","670","0.0978886548617127","0.0904209794034847","0.105356330319941"
"No","2003","Not Working","East Germany","5","","",""
"No","2003","Part Time","West Germany","406","0.104627880390053","0.0952739478515831","0.113981812928524"
"No","2003","Part Time","East Germany","5","","",""
"Yes","2003","Full Time","West Germany","6077","0.899785813743311","0.892611059994028","0.906960567492595"
"Yes","2003","Full Time","East Germany","2201","0.999260237766352","0.998125154615344","1.00039532091736"
"Yes","2003","Not Working","West Germany","5413","0.902111345138287","0.894643669680059","0.909579020596515"
"Yes","2003","Not Working","East Germany","2131","0.996227817540845","0.993628118076927","0.998827517004764"
"Yes","2003","Part Time","West Germany","3707","0.895372119609947","0.886018187071476","0.904726052148417"
"Yes","2003","Part Time","East Germany","1027","0.993821124627404","0.989040143029263","0.998602106225545"
"No","2004","Full Time","West Germany","597","0.0963824262070971","0.0891606999510759","0.103604152463118"
"No","2004","Full Time","East Germany","5","","",""
"No","2004","Not Working","West Germany","641","0.0989492503365152","0.0914264504102919","0.106472050262739"
"No","2004","Not Working","East Germany","5","","",""
"No","2004","Part Time","West Germany","377","0.110350286136391","0.100653718892806","0.120046853379976"
"No","2004","Part Time","East Germany","3","","",""
"Yes","2004","Full Time","West Germany","5818","0.903617573792903","0.896395847536882","0.910839300048924"
"Yes","2004","Full Time","East Germany","2059","0.998256171104307","0.996456197314344","1.00005614489427"
"Yes","2004","Not Working","West Germany","5411","0.901050749663485","0.893527949737261","0.908573549589708"
"Yes","2004","Not Working","East Germany","2165","0.996362949257212","0.99383014464159","0.998895753872834"
"Yes","2004","Part Time","West Germany","3634","0.889649713863609","0.879953146620024","0.899346281107194"
"Yes","2004","Part Time","East Germany","1018","0.996171224655918","0.992383031121037","0.999959418190799"
"No","2005","Full Time","West Germany","559","0.0978692544418893","0.0904205837358448","0.105317925147934"
"No","2005","Full Time","East Germany","6","","",""
"No","2005","Not Working","West Germany","600","0.0990913062679612","0.091411833632787","0.106770778903136"
"No","2005","Not Working","East Germany","7","","",""
"No","2005","Part Time","West Germany","369","0.122188398650501","0.111802787590456","0.132574009710546"
"No","2005","Part Time","East Germany","3","","",""
"Yes","2005","Full Time","West Germany","5554","0.902130745558111","0.894682074852066","0.909579416264155"
"Yes","2005","Full Time","East Germany","1934","0.997496902239763","0.995273377787987","0.99972042669154"
"Yes","2005","Not Working","West Germany","5215","0.900908693732039","0.893229221096864","0.908588166367213"
"Yes","2005","Not Working","East Germany","2107","0.992079126504161","0.988300314431309","0.995857938577013"
"Yes","2005","Part Time","West Germany","3451","0.877811601349499","0.867425990289454","0.888197212409544"
"Yes","2005","Part Time","East Germany","1007","0.990934368649025","0.985089040765674","0.996779696532377"
"No","2006","Full Time","West Germany","515","0.0990388448886833","0.0917404117796579","0.106337277997709"
"No","2006","Full Time","East Germany","4","","",""
"No","2006","Not Working","West Germany","605","0.111503706672771","0.103770573877578","0.119236839467964"
"No","2006","Not Working","East Germany","12","","",""
"No","2006","Part Time","West Germany","327","0.103014365249765","0.0935681608010461","0.112460569698484"
"No","2006","Part Time","East Germany","7","","",""
"Yes","2006","Full Time","West Germany","5920","0.900961155111317","0.893662722002291","0.908259588220342"
"Yes","2006","Full Time","East Germany","2010","0.996469471740136","0.993879051629938","0.999059891850334"
"Yes","2006","Not Working","West Germany","5759","0.888496293327229","0.880763160532036","0.896229426122422"
"Yes","2006","Not Working","East Germany","2221","0.992617770462718","0.989067278574171","0.996168262351265"
"Yes","2006","Part Time","West Germany","3651","0.896985634750235","0.887539430301516","0.906431839198954"
"Yes","2006","Part Time","East Germany","1048","0.989145822043118","0.982893368255403","0.995398275830833"
"No","2007","Full Time","West Germany","442","0.0922344279524136","0.0848839846356812","0.099584871269146"
"No","2007","Full Time","East Germany","7","","",""
"No","2007","Not Working","West Germany","510","0.108226020529761","0.100296886297343","0.11615515476218"
"No","2007","Not Working","East Germany","7","","",""
"No","2007","Part Time","West Germany","314","0.120172981169236","0.109749074665818","0.130596887672654"
"No","2007","Part Time","East Germany","6","","",""
"Yes","2007","Full Time","West Germany","5511","0.907765572047586","0.900415128730854","0.915116015364319"
"Yes","2007","Full Time","East Germany","1923","0.994139511027981","0.990734174551454","0.997544847504509"
"Yes","2007","Not Working","West Germany","5387","0.891773979470239","0.88384484523782","0.899703113702657"
"Yes","2007","Not Working","East Germany","2107","0.993372047319578","0.989913121352774","0.996830973286381"
"Yes","2007","Part Time","West Germany","3424","0.879827018830764","0.869403112327346","0.890250925334182"
"Yes","2007","Part Time","East Germany","985","0.981385540727632","0.972970498420069","0.989800583035194"
"No","2008","Full Time","West Germany","388","0.0934453123515587","0.0858479766090558","0.101042648094062"
"No","2008","Full Time","East Germany","5","","",""
"No","2008","Not Working","West Germany","446","0.106098811586497","0.0979687562124555","0.114228866960539"
"No","2008","Not Working","East Germany","9","","",""
"No","2008","Part Time","West Germany","279","0.121410890826077","0.110568972527865","0.132252809124289"
"No","2008","Part Time","East Germany","5","","",""
"Yes","2008","Full Time","West Germany","5250","0.906554687648441","0.898957351905939","0.914152023390944"
"Yes","2008","Full Time","East Germany","1861","0.996260392337856","0.993490953845625","0.999029830830088"
"Yes","2008","Not Working","West Germany","5066","0.893901188413503","0.885771133039461","0.902031243787545"
"Yes","2008","Not Working","East Germany","1981","0.991250178311838","0.987158393430231","0.995341963193445"
"Yes","2008","Part Time","West Germany","3207","0.878589109173923","0.867747190875711","0.889431027472135"
"Yes","2008","Part Time","East Germany","934","0.987304897373076","0.98014413852084","0.994465656225311"
"No","2009","Full Time","West Germany","324","0.0929702683854147","0.0850797782367638","0.100860758534066"
"No","2009","Full Time","East Germany","6","","",""
"No","2009","Not Working","West Germany","383","0.105596622877641","0.0970893381473784","0.114103907607903"
"No","2009","Not Working","East Germany","5","","",""
"No","2009","Part Time","West Germany","265","0.12832969040614","0.116998907078116","0.139660473734163"
"No","2009","Part Time","East Germany","6","","",""
"Yes","2009","Full Time","West Germany","4879","0.907029731614585","0.899139241465934","0.914920221763236"
"Yes","2009","Full Time","East Germany","1805","0.995747317993972","0.992750261748935","0.99874437423901"
"Yes","2009","Not Working","West Germany","4630","0.89440337712236","0.885896092392097","0.902910661852622"
"Yes","2009","Not Working","East Germany","1862","0.992758415294631","0.988912368817492","0.99660446177177"
"Yes","2009","Part Time","West Germany","3082","0.87167030959386","0.860339526265837","0.883001092921884"
"Yes","2009","Part Time","East Germany","879","0.98602757384161","0.978294415598257","0.993760732084964"
"No","2010","Full Time","West Germany","497","0.0798632401688906","0.0735488543286708","0.0861776260091104"
"No","2010","Full Time","East Germany","10","","",""
"No","2010","Not Working","West Germany","698","0.112635296017335","0.104881364493594","0.120389227541076"
"No","2010","Not Working","East Germany","23","","",""
"No","2010","Part Time","West Germany","415","0.137290097108404","0.127857751029914","0.146722443186894"
"No","2010","Part Time","East Germany","13","","",""
"Yes","2010","Full Time","West Germany","6583","0.920136759831109","0.91382237399089","0.926451145671329"
"Yes","2010","Full Time","East Germany","2165","0.996743651308252","0.994349367375945","0.99913793524056"
"Yes","2010","Not Working","West Germany","5688","0.887364703982665","0.879610772458924","0.895118635506406"
"Yes","2010","Not Working","East Germany","2048","0.989124909170392","0.984658072657967","0.993591745682817"
"Yes","2010","Part Time","West Germany","4699","0.862709902891596","0.853277556813106","0.872142248970086"
"Yes","2010","Part Time","East Germany","1232","0.989643038289662","0.984019380468431","0.995266696110893"
"No","2011","Full Time","West Germany","355","0.0712678133843191","0.0649290167113593","0.0776066100572789"
"No","2011","Full Time","East Germany","6","","",""
"No","2011","Not Working","West Germany","441","0.0885600774833297","0.0816028269700215","0.0955173279966379"
"No","2011","Not Working","East Germany","7","","",""
"No","2011","Part Time","West Germany","288","0.114232489472961","0.104800316365969","0.123664662579953"
"No","2011","Part Time","East Germany","7","","",""
"Yes","2011","Full Time","West Germany","5973","0.928732186615681","0.922393389942721","0.935070983288641"
"Yes","2011","Full Time","East Germany","2021","0.997739897852643","0.995672643475089","0.999807152230198"
"Yes","2011","Not Working","West Germany","5965","0.91143992251667","0.904482672003362","0.918397173029978"
"Yes","2011","Not Working","East Germany","2077","0.993255283418923","0.989741204358405","0.996769362479441"
"Yes","2011","Part Time","West Germany","4081","0.885767510527039","0.876335337420047","0.895199683634031"
"Yes","2011","Part Time","East Germany","1035","0.988317593582098","0.981793372786488","0.994841814377709"
"No","2012","Full Time","West Germany","517","0.0853719500701967","0.0792593741240126","0.0914845260163809"
"No","2012","Full Time","East Germany","16","","",""
"No","2012","Not Working","West Germany","589","0.10042742428905","0.0935870759683664","0.107267772609734"
"No","2012","Not Working","East Germany","20","","",""
"No","2012","Part Time","West Germany","424","0.117739640198526","0.109644304935248","0.125834975461803"
"No","2012","Part Time","East Germany","18","","",""
"Yes","2012","Full Time","West Germany","7511","0.914628049929803","0.908515473983619","0.920740625875987"
"Yes","2012","Full Time","East Germany","2399","0.996055210302188","0.993555192179299","0.998555228425077"
"Yes","2012","Not Working","West Germany","6828","0.89957257571095","0.892732227390266","0.906412924031634"
"Yes","2012","Not Working","East Germany","2388","0.99241579845865","0.988950651826714","0.995880945090586"
"Yes","2012","Part Time","West Germany","5665","0.882260359801474","0.874165024538197","0.890355695064752"
"Yes","2012","Part Time","East Germany","1367","0.982233256093712","0.975276056825245","0.989190455362179"
"No","2013","Full Time","West Germany","465","0.0496595305134298","0.0447462785194797","0.0545727825073798"
"No","2013","Full Time","East Germany","12","","",""
"No","2013","Not Working","West Germany","494","0.0643543129618539","0.0584821769919911","0.0702264489317167"
"No","2013","Not Working","East Germany","23","","",""
"No","2013","Part Time","West Germany","390","0.0750022898546649","0.0682300825554337","0.0817744971538961"
"No","2013","Part Time","East Germany","16","","",""
"Yes","2013","Full Time","West Germany","7045","0.95034046948657","0.94542721749262","0.95525372148052"
"Yes","2013","Full Time","East Germany","2208","0.997748690013337","0.995777176147516","0.999720203879159"
"Yes","2013","Not Working","West Germany","6214","0.935645687038146","0.929773551068283","0.941517823008009"
"Yes","2013","Not Working","East Germany","2154","0.990687006356428","0.986652115763405","0.994721896949451"
"Yes","2013","Part Time","West Germany","5421","0.924997710145335","0.918225502846104","0.931769917444566"
"Yes","2013","Part Time","East Germany","1355","0.995314021339417","0.991699010715265","0.998929031963568"
"No","2014","Full Time","West Germany","1011","0.0955738412702249","0.0891679991294614","0.101979683410988"
"No","2014","Full Time","East Germany","52","0.0119842813663527","0.00738685393370153","0.0165817087990039"
"No","2014","Not Working","West Germany","1013","0.1068816722157","0.0997643779282027","0.113998966503197"
"No","2014","Not Working","East Germany","66","0.0176871265624525","0.0121258315948781","0.023248421530027"
"No","2014","Part Time","West Germany","911","0.133073067158834","0.124661855771208","0.141484278546459"
"No","2014","Part Time","East Germany","55","0.0282112949997261","0.0192416407577372","0.037180949241715"
"Yes","2014","Full Time","West Germany","7081","0.904426158729775","0.898020316589012","0.910832000870539"
"Yes","2014","Full Time","East Germany","2100","0.988015718633647","0.983418291200996","0.992613146066299"
"Yes","2014","Not Working","West Germany","6226","0.8931183277843","0.886001033496803","0.900235622071797"
"Yes","2014","Not Working","East Germany","2092","0.982312873437547","0.976751578469973","0.987874168405122"
"Yes","2014","Part Time","West Germany","5353","0.866926932841166","0.858515721453541","0.875338144228792"
"Yes","2014","Part Time","East Germany","1254","0.971788705000274","0.962819050758285","0.980758359242263"
"No","2015","Full Time","West Germany","845","0.0834252899031098","0.0771774824593327","0.0896730973468869"
"No","2015","Full Time","East Germany","40","0.0120961785231678","0.00730410888516153","0.016888248161174"
"No","2015","Not Working","West Germany","2133","0.137573420195814","0.130069849163842","0.145076991227787"
"No","2015","Not Working","East Germany","187","0.0441103258136771","0.0355318113530174","0.0526888402743368"
"No","2015","Part Time","West Germany","770","0.120290846291964","0.11198111617968","0.128600576404248"
"No","2015","Part Time","East Germany","41","0.0202375862658178","0.0124377466883263","0.0280374258433093"
"Yes","2015","Full Time","West Germany","6680","0.91657471009689","0.910326902653113","0.922822517540667"
"Yes","2015","Full Time","East Germany","1959","0.987903821476832","0.983111751838826","0.992695891114838"
"Yes","2015","Not Working","West Germany","5962","0.862426579804186","0.854923008772213","0.869930150836158"
"Yes","2015","Not Working","East Germany","2014","0.955889674186323","0.947311159725663","0.964468188646983"
"Yes","2015","Part Time","West Germany","5117","0.879709153708036","0.871399423595752","0.88801888382032"
"Yes","2015","Part Time","East Germany","1211","0.979762413734182","0.971962574156691","0.987562253311674"
"No","2016","Full Time","West Germany","1078","0.115614413311229","0.108247329297211","0.122981497325247"
"No","2016","Full Time","East Germany","67","0.0268155112933648","0.0196509830419572","0.0339800395447725"
"No","2016","Not Working","West Germany","948","0.119311374527757","0.111341666123543","0.127281082931971"
"No","2016","Not Working","East Germany","78","0.0281569390935208","0.0207383349604544","0.0355755432265872"
"No","2016","Part Time","West Germany","920","0.136457298376697","0.127596944546949","0.145317652206446"
"No","2016","Part Time","East Germany","66","0.0413642127209376","0.0301441675280645","0.0525842579138106"
"Yes","2016","Full Time","West Germany","6159","0.884385586688771","0.877018502674753","0.891752670702789"
"Yes","2016","Full Time","East Germany","1886","0.973184488706635","0.966019960455228","0.980349016958043"
"Yes","2016","Not Working","West Germany","5407","0.880688625472243","0.872718917068029","0.888658333876457"
"Yes","2016","Not Working","East Germany","1832","0.971843060906479","0.964424456773413","0.979261665039546"
"Yes","2016","Part Time","West Germany","4846","0.863542701623303","0.854682347793554","0.872403055453051"
"Yes","2016","Part Time","East Germany","1144","0.958635787279062","0.947415742086189","0.969855832471936"
"No","2017","Full Time","West Germany","1036","0.115988190998469","0.109053261330692","0.122923120666245"
"No","2017","Full Time","East Germany","82","0.029666394869788","0.0227082580534414","0.0366245316861346"
"No","2017","Not Working","West Germany","2804","0.139877656884072","0.13252928939842","0.147226024369724"
"No","2017","Not Working","East Germany","509","0.0422569630943516","0.0343217025885556","0.0501922236001477"
"No","2017","Part Time","West Germany","988","0.147784830746769","0.139151431086799","0.156418230406739"
"No","2017","Part Time","East Germany","93","0.0448243572922772","0.0338151303969982","0.0558335841875563"
"Yes","2017","Full Time","West Germany","7154","0.884011809001531","0.877076879333755","0.890946738669308"
"Yes","2017","Full Time","East Germany","2202","0.970333605130212","0.963375468313865","0.977291741946559"
"Yes","2017","Not Working","West Germany","5755","0.860122343115928","0.852773975630276","0.86747071060158"
"Yes","2017","Not Working","East Germany","1960","0.957743036905648","0.949807776399852","0.965678297411445"
"Yes","2017","Part Time","West Germany","5503","0.852215169253231","0.843581769593261","0.860848568913201"
"Yes","2017","Part Time","East Germany","1264","0.955175642707723","0.944166415812444","0.966184869603002"
"No","2018","Full Time","West Germany","1038","0.125523137881094","0.118218677207854","0.132827598554334"
"No","2018","Full Time","East Germany","90","0.0344729827408711","0.0268267881596317","0.0421191773221105"
"No","2018","Not Working","West Germany","3682","0.151260249717657","0.143939879291451","0.158580620143863"
"No","2018","Not Working","East Germany","560","0.0448274242521248","0.0366851162988102","0.0529697322054394"
"No","2018","Part Time","West Germany","1115","0.154025339675801","0.145250629659229","0.162800049692373"
"No","2018","Part Time","East Germany","120","0.0530331008848055","0.0413359674345547","0.0647302343350562"
"Yes","2018","Full Time","West Germany","6865","0.874476862118906","0.867172401445666","0.881781322792146"
"Yes","2018","Full Time","East Germany","2097","0.965527017259129","0.95788082267789","0.973173211840368"
"Yes","2018","Not Working","West Germany","5521","0.848739750282343","0.841419379856136","0.856060120708549"
"Yes","2018","Not Working","East Germany","1921","0.955172575747875","0.947030267794561","0.96331488370119"
"Yes","2018","Part Time","West Germany","5386","0.845974660324199","0.837199950307627","0.854749370340771"
"Yes","2018","Part Time","East Germany","1290","0.946966899115194","0.935269765664944","0.958664032565445"
"No","2019","Full Time","West Germany","1061","0.129006435902173","0.121852085576556","0.13616078622779"
"No","2019","Full Time","East Germany","114","0.0358373929026504","0.0284036945235567","0.0432710912817442"
"No","2019","Not Working","West Germany","2965","0.147448871194267","0.139895493409698","0.155002248978837"
"No","2019","Not Working","East Germany","426","0.0424136743089452","0.0342394497366894","0.050587898881201"
"No","2019","Part Time","West Germany","1140","0.163905916476523","0.154846327313958","0.172965505639087"
"No","2019","Part Time","East Germany","108","0.0512502525186117","0.0393681851507771","0.0631323198864463"
"Yes","2019","Full Time","West Germany","7372","0.870993564097827","0.86383921377221","0.878147914423444"
"Yes","2019","Full Time","East Germany","2288","0.96416260709735","0.956728908718256","0.971596305476443"
"Yes","2019","Not Working","West Germany","5499","0.852551128805733","0.844997751021163","0.860104506590302"
"Yes","2019","Not Working","East Germany","1909","0.957586325691055","0.949412101118799","0.965760550263311"
"Yes","2019","Part Time","West Germany","5274","0.836094083523477","0.827034494360912","0.845153672686042"
"Yes","2019","Part Time","East Germany","1215","0.948749747481388","0.936867680113554","0.960631814849223"
