"plh0173","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"8 on Scale 1 to 10","1986","Rural Area","Male","170","0.232515981328585","0.202658993182065","0.262372969475104","8"
"8 on Scale 1 to 10","1986","Rural Area","Female","114","0.242232017771834","0.203662623426899","0.280801412116769","8"
"9 on Scale 1 to 10","1986","Urban Area","Male","466","0.149150108690721","0.136532305218758","0.161767912162684","9"
"9 on Scale 1 to 10","1986","Urban Area","Female","237","0.124881107144052","0.109869625356562","0.139892588931541","9"
"9 on Scale 1 to 10","1986","Rural Area","Male","116","0.151409184199607","0.126074809215929","0.176743559183284","9"
"9 on Scale 1 to 10","1986","Rural Area","Female","61","0.117890940867324","0.0888600556820033","0.146921826052645","9"
"0 Completely dissatisfied","1987","Urban Area","Male","18","","","","0"
"0 Completely dissatisfied","1987","Urban Area","Female","11","","","","0"
"0 Completely dissatisfied","1987","Rural Area","Male","8","","","","0"
"0 Completely dissatisfied","1987","Rural Area","Female","5","","","","0"
"1 on Scale 1 to 10","1987","Rural Area","Male","4","","","","1"
"1 on Scale 1 to 10","1987","Rural Area","Female","4","","","","1"
"1 on Scale 1 to 10","1987","Urban Area","Male","19","","","","1"
"1 on Scale 1 to 10","1987","Urban Area","Female","14","","","","1"
"10 Completely satisfied","1987","Urban Area","Male","495","0.164606371044115","0.151380827821173","0.177831914267057","10"
"10 Completely satisfied","1987","Urban Area","Female","322","0.172021812383463","0.154934864093063","0.189108760673863","10"
"10 Completely satisfied","1987","Rural Area","Male","135","0.16984645359007","0.143185353781384","0.196507553398756","10"
"10 Completely satisfied","1987","Rural Area","Female","73","0.145060267017076","0.11416159566532","0.175958938368833","10"
"2 on Scale 1 to 10","1987","Urban Area","Male","33","0.0106774499592233","0.00701183076418616","0.0143430691542604","2"
"2 on Scale 1 to 10","1987","Urban Area","Female","27","","","","2"
"2 on Scale 1 to 10","1987","Rural Area","Male","10","","","","2"
"2 on Scale 1 to 10","1987","Rural Area","Female","8","","","","2"
"3 on Scale 1 to 10","1987","Urban Area","Male","84","0.0303628019750203","0.0242432422592912","0.0364823616907495","3"
"3 on Scale 1 to 10","1987","Urban Area","Female","55","0.028749338505817","0.0211837469766998","0.0363149300349342","3"
"3 on Scale 1 to 10","1987","Rural Area","Male","23","","","","3"
"3 on Scale 1 to 10","1987","Rural Area","Female","15","","","","3"
"4 on Scale 1 to 10","1987","Rural Area","Male","33","0.0470476045779804","0.0320135900173888","0.0620816191385721","4"
"4 on Scale 1 to 10","1987","Urban Area","Male","96","0.0271816614910008","0.021382055446877","0.0329812675351247","4"
"4 on Scale 1 to 10","1987","Urban Area","Female","80","0.043936646233281","0.0346572421861332","0.0532160502804287","4"
"4 on Scale 1 to 10","1987","Rural Area","Female","16","","","","4"
"5 on Scale 1 to 10","1987","Urban Area","Male","244","0.0787474929444591","0.0691412773581388","0.0883537085307795","5"
"5 on Scale 1 to 10","1987","Urban Area","Female","190","0.102861964954934","0.0891082398266402","0.116615690083228","5"
"5 on Scale 1 to 10","1987","Rural Area","Male","53","0.0729038319243515","0.0544448316450802","0.0913628322036228","5"
"5 on Scale 1 to 10","1987","Rural Area","Female","47","0.0949525539175935","0.0692316150623334","0.120673492772854","5"
"6 on Scale 1 to 10","1987","Urban Area","Male","262","0.0886309501573435","0.0784945333575012","0.0987673669571858","6"
"6 on Scale 1 to 10","1987","Rural Area","Female","47","0.100201835316345","0.073856228395261","0.12654744223743","6"
"6 on Scale 1 to 10","1987","Urban Area","Female","186","0.0957981267815834","0.0824729031150677","0.109123350448099","6"
"6 on Scale 1 to 10","1987","Rural Area","Male","79","0.104555574114875","0.0828303873039885","0.126280760925761","6"
"7 on Scale 1 to 10","1987","Urban Area","Male","506","0.170892971153004","0.157468041512278","0.18431790079373","7"
"7 on Scale 1 to 10","1987","Urban Area","Female","289","0.146631293295446","0.130615627898798","0.162646958692094","7"
"7 on Scale 1 to 10","1987","Rural Area","Male","117","0.152881424198316","0.127329708429215","0.178433139967418","7"
"7 on Scale 1 to 10","1987","Rural Area","Female","74","0.147277876340976","0.116184324101801","0.178371428580151","7"
"8 on Scale 1 to 10","1987","Urban Area","Male","824","0.272679864222698","0.256796812153423","0.288562916291973","8"
"8 on Scale 1 to 10","1987","Urban Area","Female","455","0.240908661065002","0.221547271524585","0.260270050605419","8"
"8 on Scale 1 to 10","1987","Rural Area","Male","189","0.263517218603424","0.232237963419884","0.294796473786965","8"
"8 on Scale 1 to 10","1987","Rural Area","Female","131","0.254107859426773","0.215909484896441","0.292306233957105","8"
"9 on Scale 1 to 10","1987","Urban Area","Male","439","0.144459593406841","0.131921310161314","0.156997876652368","9"
"9 on Scale 1 to 10","1987","Urban Area","Female","245","0.142604506183357","0.126773062490776","0.158435949875939","9"
"9 on Scale 1 to 10","1987","Rural Area","Male","111","0.137781016801611","0.113308756227768","0.162253277375454","9"
"9 on Scale 1 to 10","1987","Rural Area","Female","79","0.152583339853966","0.12103330265836","0.184133377049573","9"
"0 Completely dissatisfied","1988","Urban Area","Female","15","","","","0"
"0 Completely dissatisfied","1988","Rural Area","Male","5","","","","0"
"0 Completely dissatisfied","1988","Rural Area","Female","2","","","","0"
"0 Completely dissatisfied","1988","Urban Area","Male","20","","","","0"
"1 on Scale 1 to 10","1988","Urban Area","Female","17","","","","1"
"1 on Scale 1 to 10","1988","Rural Area","Female","4","","","","1"
"1 on Scale 1 to 10","1988","Urban Area","Male","16","","","","1"
"1 on Scale 1 to 10","1988","Rural Area","Male","","","","","1"
"10 Completely satisfied","1988","Urban Area","Female","272","0.161834068466552","0.144862234052563","0.17880590288054","10"
"10 Completely satisfied","1988","Urban Area","Male","387","0.134594341162626","0.122116829773695","0.147071852551558","10"
"10 Completely satisfied","1988","Rural Area","Male","98","0.125700290563798","0.101194498939638","0.150206082187958","10"
"10 Completely satisfied","1988","Rural Area","Female","74","0.156533141122725","0.122998243736305","0.190068038509144","10"
"2 on Scale 1 to 10","1988","Urban Area","Male","39","0.0156751922557053","0.0111338904777835","0.0202164940336271","2"
"2 on Scale 1 to 10","1988","Urban Area","Female","26","","","","2"
"2 on Scale 1 to 10","1988","Rural Area","Male","12","","","","2"
"2 on Scale 1 to 10","1988","Rural Area","Female","7","","","","2"
"3 on Scale 1 to 10","1988","Urban Area","Female","68","0.0394865633854727","0.030512168013491","0.0484609587574544","3"
"3 on Scale 1 to 10","1988","Rural Area","Male","21","","","","3"
"3 on Scale 1 to 10","1988","Rural Area","Female","17","","","","3"
"3 on Scale 1 to 10","1988","Urban Area","Male","100","0.0362558030840893","0.0294218127243944","0.0430897934437842","3"
"4 on Scale 1 to 10","1988","Rural Area","Female","19","","","","4"
"4 on Scale 1 to 10","1988","Urban Area","Female","83","0.0439971327363148","0.0345462887840572","0.0534479766885725","4"
"4 on Scale 1 to 10","1988","Urban Area","Male","93","0.0338420840515762","0.0272312338368104","0.040452934266342","4"
"4 on Scale 1 to 10","1988","Rural Area","Male","17","","","","4"
"5 on Scale 1 to 10","1988","Urban Area","Male","281","0.097721773435833","0.0868657538624176","0.108577793009248","5"
"5 on Scale 1 to 10","1988","Urban Area","Female","211","0.113527338352614","0.098908538878616","0.128146137826611","5"
"5 on Scale 1 to 10","1988","Rural Area","Male","76","0.108072084672333","0.0851215889136607","0.131022580431005","5"
"5 on Scale 1 to 10","1988","Rural Area","Female","52","0.113911146023321","0.0845899576888067","0.143232334357835","5"
"6 on Scale 1 to 10","1988","Rural Area","Male","69","0.107372698198757","0.0844876176748467","0.130257778722666","6"
"6 on Scale 1 to 10","1988","Urban Area","Female","177","0.0843199150170903","0.0715153222135878","0.0971245078205928","6"
"6 on Scale 1 to 10","1988","Urban Area","Male","238","0.0792129694820522","0.0693392120676557","0.0890867268964486","6"
"6 on Scale 1 to 10","1988","Rural Area","Female","33","0.0724739790712416","0.048545564507959","0.0964023936345242","6"
"7 on Scale 1 to 10","1988","Urban Area","Male","545","0.190082386376639","0.175737534475261","0.204427238278018","7"
"7 on Scale 1 to 10","1988","Rural Area","Male","111","0.161686232545119","0.13447111285782","0.188901352232419","7"
"7 on Scale 1 to 10","1988","Urban Area","Female","280","0.156031680213855","0.139309293113086","0.172754067314624","7"
"7 on Scale 1 to 10","1988","Rural Area","Female","66","0.144313764966244","0.11188197106468","0.176745558867809","7"
"8 on Scale 1 to 10","1988","Urban Area","Male","763","0.26020048944914","0.244160067679093","0.276240911219188","8"
"8 on Scale 1 to 10","1988","Urban Area","Female","413","0.238686586631283","0.21904282953309","0.258330343729476","8"
"8 on Scale 1 to 10","1988","Rural Area","Male","200","0.28792805792194","0.254456620822807","0.321399495021073","8"
"8 on Scale 1 to 10","1988","Rural Area","Female","105","0.245348189652069","0.205635933776272","0.285060445527865","8"
"9 on Scale 1 to 10","1988","Urban Area","Male","392","0.14067084126409","0.127959642033845","0.153382040494335","9"
"9 on Scale 1 to 10","1988","Urban Area","Female","247","0.136254109216282","0.120445392794116","0.152062825638447","9"
"9 on Scale 1 to 10","1988","Rural Area","Female","72","0.15720981524164","0.123615995828622","0.190803634654658","9"
"9 on Scale 1 to 10","1988","Rural Area","Male","94","0.127295426922811","0.102657143012741","0.151933710832881","9"
"0 Completely dissatisfied","1989","Urban Area","Female","8","","","","0"
"0 Completely dissatisfied","1989","Rural Area","Male","6","","","","0"
"0 Completely dissatisfied","1989","Rural Area","Female","3","","","","0"
"0 Completely dissatisfied","1989","Urban Area","Male","17","","","","0"
"1 on Scale 1 to 10","1989","Urban Area","Female","10","","","","1"
"1 on Scale 1 to 10","1989","Urban Area","Male","19","","","","1"
"1 on Scale 1 to 10","1989","Rural Area","Female","5","","","","1"
"1 on Scale 1 to 10","1989","Rural Area","Male","2","","","","1"
"10 Completely satisfied","1989","Urban Area","Male","341","0.119941190278628","0.10786183257308","0.132020547984176","10"
"10 Completely satisfied","1989","Rural Area","Male","90","0.117928120063927","0.0937224795049817","0.142133760622872","10"
"10 Completely satisfied","1989","Urban Area","Female","251","0.142621371780635","0.126439993781622","0.158802749779648","10"
"10 Completely satisfied","1989","Rural Area","Female","72","0.141253133283507","0.108561510870438","0.173944755696575","10"
"2 on Scale 1 to 10","1989","Urban Area","Male","38","0.0125003561572133","0.00836956265724047","0.0166311496571862","2"
"2 on Scale 1 to 10","1989","Urban Area","Female","26","","","","2"
"2 on Scale 1 to 10","1989","Rural Area","Male","9","","","","2"
"2 on Scale 1 to 10","1989","Rural Area","Female","7","","","","2"
"3 on Scale 1 to 10","1989","Rural Area","Male","28","","","","3"
"3 on Scale 1 to 10","1989","Urban Area","Female","58","0.0291378433646167","0.0213548912155764","0.036920795513657","3"
"3 on Scale 1 to 10","1989","Urban Area","Male","63","0.0228754068256261","0.0173168352414866","0.0284339784097656","3"
"3 on Scale 1 to 10","1989","Rural Area","Female","15","","","","3"
"4 on Scale 1 to 10","1989","Urban Area","Female","74","0.0409993688547329","0.0318237597476057","0.05017497796186","4"
"4 on Scale 1 to 10","1989","Rural Area","Male","19","","","","4"
"4 on Scale 1 to 10","1989","Rural Area","Female","10","","","","4"
"4 on Scale 1 to 10","1989","Urban Area","Male","102","0.0378132627331364","0.0307214774686774","0.0449050479975953","4"
"5 on Scale 1 to 10","1989","Urban Area","Male","293","0.10178160805344","0.0905399740082462","0.113023242098634","5"
"5 on Scale 1 to 10","1989","Urban Area","Female","211","0.117594730211288","0.102688602142096","0.13250085828048","5"
"5 on Scale 1 to 10","1989","Rural Area","Male","71","0.103862214304942","0.0809655568332149","0.12675887177667","5"
"5 on Scale 1 to 10","1989","Rural Area","Female","53","0.11681174132615","0.0866626144916148","0.146960868160685","5"
"6 on Scale 1 to 10","1989","Urban Area","Female","176","0.0949179649757839","0.081354987103113","0.108480942848455","6"
"6 on Scale 1 to 10","1989","Rural Area","Male","55","0.0766446381147207","0.056679090320513","0.0966101859089285","6"
"6 on Scale 1 to 10","1989","Rural Area","Female","47","0.101582605650141","0.0732260422489312","0.129939169051352","6"
"6 on Scale 1 to 10","1989","Urban Area","Male","277","0.102677406687475","0.0913920428643372","0.113962770510613","6"
"7 on Scale 1 to 10","1989","Rural Area","Female","70","0.168158290508956","0.133052049133618","0.203264531884293","7"
"7 on Scale 1 to 10","1989","Urban Area","Female","301","0.159796103586869","0.142840536872754","0.176751670300983","7"
"7 on Scale 1 to 10","1989","Urban Area","Male","442","0.154859532753614","0.141409069618123","0.168309995889104","7"
"7 on Scale 1 to 10","1989","Rural Area","Male","131","0.195677842360382","0.165903529628431","0.225452155092332","7"
"8 on Scale 1 to 10","1989","Urban Area","Male","802","0.290893012406237","0.274007029524553","0.307778995287921","8"
"8 on Scale 1 to 10","1989","Urban Area","Female","442","0.25175130384467","0.231667511596206","0.271835096093134","8"
"8 on Scale 1 to 10","1989","Rural Area","Male","176","0.271293904621408","0.23792421840153","0.304663590841285","8"
"8 on Scale 1 to 10","1989","Rural Area","Female","99","0.245776281312697","0.205362924640361","0.286189637985032","8"
"9 on Scale 1 to 10","1989","Rural Area","Male","95","0.145348463943803","0.118896637430397","0.171800290457209","9"
"9 on Scale 1 to 10","1989","Urban Area","Female","237","0.139995862196175","0.123939589264834","0.156052135127517","9"
"9 on Scale 1 to 10","1989","Urban Area","Male","385","0.144196877992007","0.131136111057894","0.15725764492612","9"
"9 on Scale 1 to 10","1989","Rural Area","Female","55","0.122505658927519","0.0917301613097294","0.153281156545308","9"
"0 Completely dissatisfied","1990","Urban Area","Female","26","","","","0"
"0 Completely dissatisfied","1990","Rural Area","Male","23","","","","0"
"0 Completely dissatisfied","1990","Rural Area","Female","20","","","","0"
"0 Completely dissatisfied","1990","Urban Area","Male","32","0.00986333598947291","0.0065178780744454","0.0132087939045004","0"
"1 on Scale 1 to 10","1990","Rural Area","Female","11","","","","1"
"1 on Scale 1 to 10","1990","Rural Area","Male","8","","","","1"
"1 on Scale 1 to 10","1990","Urban Area","Female","8","","","","1"
"1 on Scale 1 to 10","1990","Urban Area","Male","20","","","","1"
"10 Completely satisfied","1990","Urban Area","Male","426","0.119265994021466","0.108294221754032","0.130237766288901","10"
"10 Completely satisfied","1990","Rural Area","Male","318","0.157693854871785","0.140931596197638","0.174456113545932","10"
"10 Completely satisfied","1990","Urban Area","Female","342","0.135226112001269","0.121487553196091","0.148964670806448","10"
"10 Completely satisfied","1990","Rural Area","Female","275","0.169734648872422","0.150485271206018","0.188984026538826","10"
"2 on Scale 1 to 10","1990","Urban Area","Male","57","0.0146114141636074","0.0105493575189783","0.0186734708082365","2"
"2 on Scale 1 to 10","1990","Urban Area","Female","42","0.0213010033273011","0.0155002524531867","0.0271017542014155","2"
"2 on Scale 1 to 10","1990","Rural Area","Male","38","0.0218194206276133","0.0151001629798849","0.0285386782753418","2"
"2 on Scale 1 to 10","1990","Rural Area","Female","27","","","","2"
"3 on Scale 1 to 10","1990","Urban Area","Female","70","0.0290623813175789","0.0223136696322266","0.0358110930029313","3"
"3 on Scale 1 to 10","1990","Rural Area","Male","51","0.0272993296484321","0.0198046035132191","0.0347940557836451","3"
"3 on Scale 1 to 10","1990","Rural Area","Female","40","0.0280994451085699","0.019625556125373","0.0365733340917669","3"
"3 on Scale 1 to 10","1990","Urban Area","Male","93","0.0238124221078234","0.0186510578419834","0.0289737863736633","3"
"4 on Scale 1 to 10","1990","Rural Area","Male","43","0.0240429158739648","0.0169976222499107","0.0310882094980188","4"
"4 on Scale 1 to 10","1990","Urban Area","Female","96","0.0384501413838035","0.0307252125493001","0.0461750702183068","4"
"4 on Scale 1 to 10","1990","Urban Area","Male","125","0.0404723174447637","0.0338011187354016","0.0471435161541258","4"
"4 on Scale 1 to 10","1990","Rural Area","Female","51","0.0362036171730083","0.0266252471342027","0.0457819872118139","4"
"5 on Scale 1 to 10","1990","Urban Area","Male","356","0.104898589690015","0.0945252874598259","0.115271891920203","5"
"5 on Scale 1 to 10","1990","Rural Area","Male","216","0.115559281448614","0.100855570734655","0.130262992162574","5"
"5 on Scale 1 to 10","1990","Urban Area","Female","297","0.116310146398918","0.103430072702949","0.129190220094887","5"
"5 on Scale 1 to 10","1990","Rural Area","Female","191","0.119474171431429","0.102842685737624","0.136105657125233","5"
"6 on Scale 1 to 10","1990","Rural Area","Male","167","0.0954398277760723","0.0819261448949751","0.108953510657169","6"
"6 on Scale 1 to 10","1990","Urban Area","Female","230","0.0952649407182971","0.0834702414185615","0.107059640018033","6"
"6 on Scale 1 to 10","1990","Urban Area","Male","293","0.0864933351827362","0.0769775798266328","0.0960090905388395","6"
"6 on Scale 1 to 10","1990","Rural Area","Female","115","0.0774429271494281","0.0637369348222007","0.0911489194766556","6"
"7 on Scale 1 to 10","1990","Urban Area","Female","409","0.172997763558058","0.157801626606009","0.188193900510108","7"
"7 on Scale 1 to 10","1990","Rural Area","Male","286","0.173342939784485","0.155932652500767","0.190753227068203","7"
"7 on Scale 1 to 10","1990","Rural Area","Female","208","0.154951926861999","0.136396874616017","0.173506979107981","7"
"7 on Scale 1 to 10","1990","Urban Area","Male","585","0.173177362656217","0.160367401110844","0.18598732420159","7"
"8 on Scale 1 to 10","1990","Urban Area","Male","903","0.275290086381814","0.26016933150094","0.290410841262687","8"
"8 on Scale 1 to 10","1990","Urban Area","Female","552","0.232719144073964","0.215742460687263","0.249695827460665","8"
"8 on Scale 1 to 10","1990","Rural Area","Male","447","0.247506939770048","0.227658100786061","0.267355778754036","8"
"8 on Scale 1 to 10","1990","Rural Area","Female","361","0.250721788871542","0.228496850072158","0.272946727670927","8"
"9 on Scale 1 to 10","1990","Urban Area","Female","308","0.147312626255678","0.133073789380815","0.161551463130542","9"
"9 on Scale 1 to 10","1990","Rural Area","Male","219","0.123764494804831","0.108618471208776","0.138910518400887","9"
"9 on Scale 1 to 10","1990","Rural Area","Female","162","0.122856246839747","0.106023422460402","0.139689071219093","9"
"9 on Scale 1 to 10","1990","Urban Area","Male","462","0.14584794211739","0.133899429825958","0.157796454408821","9"
"0 Completely dissatisfied","1991","Rural Area","Male","54","0.0240780580002013","0.0167083403285427","0.0314477756718599","0"
"0 Completely dissatisfied","1991","Rural Area","Female","46","0.0277971673571645","0.0187345578781656","0.0368597768361634","0"
"0 Completely dissatisfied","1991","Urban Area","Female","39","0.0132051925386437","0.00857409997130118","0.0178362851059862","0"
"0 Completely dissatisfied","1991","Urban Area","Male","33","0.0081513372271736","0.00504372223934384","0.0112589522150034","0"
"1 on Scale 1 to 10","1991","Rural Area","Female","13","","","","1"
"1 on Scale 1 to 10","1991","Rural Area","Male","18","","","","1"
"1 on Scale 1 to 10","1991","Urban Area","Female","20","","","","1"
"1 on Scale 1 to 10","1991","Urban Area","Male","15","","","","1"
"10 Completely satisfied","1991","Urban Area","Male","360","0.111753223103228","0.100864250129086","0.122642196077369","10"
"10 Completely satisfied","1991","Urban Area","Female","281","0.117428646873184","0.104368152787398","0.13048914095897","10"
"10 Completely satisfied","1991","Rural Area","Male","191","0.106275016404163","0.0914583630316428","0.121091669776683","10"
"10 Completely satisfied","1991","Rural Area","Female","166","0.126844275881807","0.108497665272704","0.145190886490911","10"
"2 on Scale 1 to 10","1991","Urban Area","Male","55","0.0188807636559223","0.0141768348037256","0.023584692508119","2"
"2 on Scale 1 to 10","1991","Urban Area","Female","45","0.0181766510584513","0.0127570005921575","0.0235963015247451","2"
"2 on Scale 1 to 10","1991","Rural Area","Male","56","0.0302699874356364","0.0220330812401456","0.0385068936311272","2"
"2 on Scale 1 to 10","1991","Rural Area","Female","42","0.0270691762163633","0.01812267850809","0.0360156739246366","2"
"3 on Scale 1 to 10","1991","Rural Area","Male","79","0.045856453376888","0.0358001197910041","0.0559127869627718","3"
"3 on Scale 1 to 10","1991","Rural Area","Female","54","0.0350619662067999","0.0249218624266393","0.0452020699869604","3"
"3 on Scale 1 to 10","1991","Urban Area","Female","81","0.035622735126672","0.0281033076034627","0.0431421626498814","3"
