"plh0173","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"3 on Scale 1 to 10","1987","Part Time","42","0.0339797657639624","0.0242317565370038","0.043727774990921","3"
"3 on Scale 1 to 10","1987","Full Time","131","0.0296325395387656","0.0247928919170997","0.0344721871604316","3"
"3 on Scale 1 to 10","1987","Not Working","4","","","","3"
"4 on Scale 1 to 10","1987","Full Time","169","0.0331980957785293","0.0280849693875084","0.0383112221695503","4"
"4 on Scale 1 to 10","1987","Part Time","52","0.0442306204904328","0.0331681862550868","0.0552930547257788","4"
"4 on Scale 1 to 10","1987","Not Working","4","","","","4"
"5 on Scale 1 to 10","1987","Part Time","153","0.115543674807688","0.0983438543448709","0.132743495270505","5"
"5 on Scale 1 to 10","1987","Full Time","366","0.0771906951343008","0.0695734198463675","0.0848079704222342","5"
"5 on Scale 1 to 10","1987","Not Working","15","","","","5"
"6 on Scale 1 to 10","1987","Part Time","107","0.0779921882822012","0.0635642099039226","0.0924201666604799","6"
"6 on Scale 1 to 10","1987","Full Time","460","0.0997411841485171","0.0911888995583337","0.108293468738701","6"
"6 on Scale 1 to 10","1987","Not Working","7","","","","6"
"7 on Scale 1 to 10","1987","Full Time","772","0.163825619520965","0.153262297221585","0.174388941820345","7"
"7 on Scale 1 to 10","1987","Part Time","193","0.142968086160756","0.124134601680348","0.161801570641165","7"
"7 on Scale 1 to 10","1987","Not Working","21","","","","7"
"8 on Scale 1 to 10","1987","Part Time","329","0.253911718908696","0.230493756117385","0.277329681700007","8"
"8 on Scale 1 to 10","1987","Not Working","20","","","","8"
"8 on Scale 1 to 10","1987","Full Time","1250","0.263227600654892","0.250658807489499","0.275796393820286","8"
"9 on Scale 1 to 10","1987","Not Working","12","","","","9"
"9 on Scale 1 to 10","1987","Full Time","681","0.146654722142436","0.13655820438806","0.156751239896813","9"
"9 on Scale 1 to 10","1987","Part Time","181","0.135375340964149","0.116967781163811","0.153782900764487","9"
"0 Completely dissatisfied","1988","Full Time","31","0.00661382166911193","0.00422423793577717","0.00900340540244668","0"
"0 Completely dissatisfied","1988","Part Time","9","","","","0"
"0 Completely dissatisfied","1988","Not Working","2","","","","0"
"1 on Scale 1 to 10","1988","Full Time","29","","","","1"
"1 on Scale 1 to 10","1988","Part Time","7","","","","1"
"1 on Scale 1 to 10","1988","Not Working","1","","","","1"
"10 Completely satisfied","1988","Full Time","605","0.137789269351251","0.127627920376579","0.147950618325924","10"
"10 Completely satisfied","1988","Part Time","209","0.163702520455293","0.143627735017006","0.183777305893579","10"
"10 Completely satisfied","1988","Not Working","17","","","","10"
"2 on Scale 1 to 10","1988","Full Time","58","0.0119274756912061","0.00872706555039753","0.0151278858320147","2"
"2 on Scale 1 to 10","1988","Part Time","23","","","","2"
"2 on Scale 1 to 10","1988","Not Working","3","","","","2"
"3 on Scale 1 to 10","1988","Part Time","56","0.047576895444223","0.0360275905648327","0.0591262003236133","3"
"3 on Scale 1 to 10","1988","Full Time","147","0.0341035817934687","0.0287529849237287","0.0394541786632086","3"
"3 on Scale 1 to 10","1988","Not Working","3","","","","3"
"4 on Scale 1 to 10","1988","Full Time","152","0.0351435456616671","0.0297149049742852","0.0405721863490489","4"
"4 on Scale 1 to 10","1988","Not Working","6","","","","4"
"4 on Scale 1 to 10","1988","Part Time","54","0.0423082210491835","0.0313870779611155","0.0532293641372515","4"
"5 on Scale 1 to 10","1988","Part Time","159","0.11735163426394","0.099890145576619","0.134813122951261","5"
"5 on Scale 1 to 10","1988","Not Working","16","","","","5"
"5 on Scale 1 to 10","1988","Full Time","445","0.100506750494939","0.0916426733619072","0.109370827627971","5"
"6 on Scale 1 to 10","1988","Full Time","410","0.0879038223368449","0.0795562314895929","0.096251413184097","6"
"6 on Scale 1 to 10","1988","Part Time","99","0.0724254316013871","0.0583629231121205","0.0864879400906536","6"
"6 on Scale 1 to 10","1988","Not Working","8","","","","6"
"7 on Scale 1 to 10","1988","Part Time","194","0.147228521583152","0.128004017566014","0.16645302560029","7"
"7 on Scale 1 to 10","1988","Full Time","789","0.179528026200242","0.168213536803682","0.190842515596802","7"
"7 on Scale 1 to 10","1988","Not Working","19","","","","7"
"8 on Scale 1 to 10","1988","Full Time","1140","0.260267766445389","0.24733223069567","0.273203302195108","8"
"8 on Scale 1 to 10","1988","Not Working","25","","","","8"
"8 on Scale 1 to 10","1988","Part Time","316","0.242445252721638","0.219193446787061","0.265697058656215","8"
