"plj0588","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2015","66 and older","Female","","","","","5"
"Never","2015","16-34 y.","Male","","","","","5"
"Never","2015","35-65 y.","Female","","","","","5"
"Often","2015","35-65 y.","Female","","","","","2"
"Often","2015","16-34 y.","Male","","","","","2"
"Often","2015","35-65 y.","Male","","","","","2"
"Often","2015","16-34 y.","Female","","","","","2"
"Often","2015","66 and older","Male","","","","","2"
"Often","2015","66 and older","Female","","","","","2"
"Rarely ","2015","16-34 y.","Female","","","","","4"
"Rarely ","2015","35-65 y.","Male","","","","","4"
"Rarely ","2015","16-34 y.","Male","","","","","4"
"Rarely ","2015","66 and older","Male","","","","","4"
"Rarely ","2015","35-65 y.","Female","","","","","4"
"Rarely ","2015","66 and older","Female","","","","","4"
"Sometimes","2015","35-65 y.","Male","","","","","3"
"Sometimes","2015","35-65 y.","Female","","","","","3"
"Sometimes","2015","16-34 y.","Male","","","","","3"
"Sometimes","2015","16-34 y.","Female","","","","","3"
"Sometimes","2015","66 and older","Male","","","","","3"
"Sometimes","2015","66 and older","Female","","","","","3"
"Very often","2015","16-34 y.","Male","","","","","1"
"Very often","2015","16-34 y.","Female","","","","","1"
"Very often","2015","35-65 y.","Male","","","","","1"
"Very often","2015","35-65 y.","Female","","","","","1"
"Very often","2015","66 and older","Male","","","","","1"
"Very often","2015","66 and older","Female","","","","","1"
"Never","2016","16-34 y.","Male","477","0.257492384524927","0.235438135805589","0.279546633244265","5"
"Never","2016","16-34 y.","Female","295","0.30229248433882","0.2722552254178","0.332329743259839","5"
"Never","2016","35-65 y.","Male","382","0.269950104759388","0.24382245536793","0.296077754150846","5"
"Never","2016","35-65 y.","Female","202","0.25063577931193","0.217966259287163","0.283305299336697","5"
"Never","2016","66 and older","Male","3","","","","5"
"Never","2016","66 and older","Female","1","","","","5"
"Often","2016","16-34 y.","Male","212","0.188092303867855","0.168381766734595","0.207802841001115","2"
"Often","2016","16-34 y.","Female","119","0.131083083886768","0.109009524269047","0.153156643504489","2"
"Often","2016","35-65 y.","Male","139","0.179643577862697","0.157049768650694","0.202237387074699","2"
"Often","2016","35-65 y.","Female","91","0.143112504799926","0.116714236588133","0.16951077301172","2"
"Often","2016","66 and older","Male","2","","","","2"
"Often","2016","66 and older","Female","3","","","","2"
"Rarely ","2016","16-34 y.","Male","309","0.182967570965431","0.16346614691695","0.202468995013912","4"
"Rarely ","2016","16-34 y.","Female","182","0.178530398243541","0.153483049761298","0.203577746725783","4"
"Rarely ","2016","35-65 y.","Male","207","0.163178753733064","0.141430195441224","0.184927312024904","4"
"Rarely ","2016","35-65 y.","Female","148","0.215588883689919","0.184589019245668","0.246588748134169","4"
"Rarely ","2016","66 and older","Male","1","","","","4"
"Rarely ","2016","66 and older","Female","5","","","","4"
"Sometimes","2016","16-34 y.","Male","390","0.272732123502278","0.250268750586458","0.295195496418099","3"
"Sometimes","2016","16-34 y.","Female","250","0.32551429181318","0.294867760319897","0.356160823306463","3"
"Sometimes","2016","35-65 y.","Male","287","0.281746009979048","0.255270140662797","0.3082218792953","3"
"Sometimes","2016","35-65 y.","Female","182","0.292545315408744","0.258251119028963","0.326839511788525","3"
"Sometimes","2016","66 and older","Male","3","","","","3"
"Sometimes","2016","66 and older","Female","3","","","","3"
"Very often","2016","16-34 y.","Male","122","0.0987156171395089","0.0836709191945299","0.113760315084488","1"
"Very often","2016","16-34 y.","Female","52","0.0625797417176912","0.0467383266514793","0.0784211567839031","1"
"Very often","2016","35-65 y.","Male","94","0.105481553665803","0.0874029357029206","0.123560171628686","1"
"Very often","2016","35-65 y.","Female","53","0.0981175167894809","0.0756930051803964","0.120542028398565","1"
"Very often","2016","66 and older","Male","","","","","1"
"Very often","2016","66 and older","Female","3","","","","1"
"Never","2017","16-34 y.","Male","1228","0.277644414953091","0.263779914607072","0.291508915299109","5"
"Never","2017","16-34 y.","Female","1085","0.25600740345881","0.242558112242962","0.269456694674659","5"
"Never","2017","35-65 y.","Male","2314","0.288987147246041","0.278672523391037","0.299301771101044","5"
"Never","2017","35-65 y.","Female","2564","0.289225784118207","0.279818224471385","0.298633343765028","5"
"Never","2017","66 and older","Male","912","0.361746757113503","0.342831656054974","0.380661858172033","5"
"Never","2017","66 and older","Female","936","0.361143988747767","0.342544533851175","0.379743443644359","5"
"Often","2017","16-34 y.","Male","290","0.0523743513582585","0.0454773237133688","0.0592713790031481","2"
"Often","2017","35-65 y.","Male","386","0.0445582005138309","0.0398631383603076","0.0492532626673541","2"
"Often","2017","16-34 y.","Female","323","0.0693541711877994","0.0615249720667534","0.0771833703088453","2"
"Often","2017","66 and older","Female","147","0.0613630559686902","0.052069951053932","0.0706561608834484","2"
"Often","2017","35-65 y.","Female","563","0.0563712810772678","0.0515858378112255","0.06115672434331","2"
"Often","2017","66 and older","Male","92","0.0439811295938631","0.0359092207327893","0.0520530384549368","2"
"Rarely ","2017","16-34 y.","Male","1524","0.46453874586044","0.449098321522178","0.479979170198702","4"
"Rarely ","2017","16-34 y.","Female","1566","0.435274595618893","0.419995798963212","0.450553392274574","4"
"Rarely ","2017","66 and older","Male","1032","0.401862746746206","0.382563110313841","0.421162383178571","4"
"Rarely ","2017","35-65 y.","Female","3731","0.428628063465899","0.418359908875988","0.438896218055811","4"
"Rarely ","2017","66 and older","Female","956","0.357752901898679","0.339191909783711","0.376313894013648","4"
"Rarely ","2017","35-65 y.","Male","3176","0.460320336307986","0.448978757548536","0.471661915067435","4"
"Sometimes","2017","16-34 y.","Male","843","0.19773339073009","0.185402808040196","0.210063973419984","3"
"Sometimes","2017","16-34 y.","Female","969","0.226854507372732","0.213948463159986","0.239760551585478","3"
"Sometimes","2017","66 and older","Male","426","0.18342494372274","0.168190132413557","0.198659755031923","3"
"Sometimes","2017","66 and older","Female","486","0.202424102415091","0.18686531846996","0.217982886360223","3"
"Sometimes","2017","35-65 y.","Male","1429","0.192748397378529","0.1837725543012","0.201724240455858","3"
"Sometimes","2017","35-65 y.","Female","1911","0.213074227023943","0.204578021881257","0.221570432166628","3"
"Very often","2017","35-65 y.","Male","114","0.0133859185536136","0.0107709097854157","0.0160009273218115","1"
"Very often","2017","66 and older","Female","37","0.0173159509697723","0.0122648196981738","0.0223670822413708","1"
"Very often","2017","16-34 y.","Male","123","0.00770909709812131","0.00500136622092067","0.010416827975322","1"
"Very often","2017","16-34 y.","Female","102","0.0125093223617649","0.00908423051160906","0.0159344142119208","1"
"Very often","2017","35-65 y.","Female","154","0.0127006443146834","0.0103772124127709","0.0150240762165958","1"
"Very often","2017","66 and older","Male","17","","","","1"
"Never","2018","16-34 y.","Male","49","0.433851890843674","0.34081169413489","0.526892087552459","5"
"Never","2018","16-34 y.","Female","56","0.367610124870266","0.289400923820705","0.445819325919827","5"
"Never","2018","35-65 y.","Male","26","","","","5"
"Never","2018","66 and older","Male","1","","","","5"
"Never","2018","66 and older","Female","","","","","5"
"Never","2018","35-65 y.","Female","28","","","","5"
"Often","2018","35-65 y.","Male","7","","","","2"
"Often","2018","35-65 y.","Female","6","","","","2"
"Often","2018","66 and older","Female","1","","","","2"
"Often","2018","16-34 y.","Male","8","","","","2"
"Often","2018","16-34 y.","Female","20","","","","2"
"Often","2018","66 and older","Male","","","","","2"
"Rarely ","2018","16-34 y.","Male","14","","","","4"
"Rarely ","2018","16-34 y.","Female","23","","","","4"
"Rarely ","2018","66 and older","Female","","","","","4"
"Rarely ","2018","35-65 y.","Male","17","","","","4"
"Rarely ","2018","35-65 y.","Female","14","","","","4"
"Rarely ","2018","66 and older","Male","","","","","4"
"Sometimes","2018","16-34 y.","Male","30","0.33153134446705","0.243154668361843","0.419908020572257","3"
"Sometimes","2018","16-34 y.","Female","39","0.24558858628633","0.175768580918459","0.315408591654201","3"
"Sometimes","2018","35-65 y.","Male","23","","","","3"
"Sometimes","2018","66 and older","Female","","","","","3"
"Sometimes","2018","35-65 y.","Female","22","","","","3"
"Sometimes","2018","66 and older","Male","1","","","","3"
"Very often","2018","35-65 y.","Male","10","","","","1"
"Very often","2018","16-34 y.","Female","8","","","","1"
"Very often","2018","66 and older","Female","","","","","1"
"Very often","2018","35-65 y.","Female","8","","","","1"
"Very often","2018","16-34 y.","Male","8","","","","1"
"Very often","2018","66 and older","Male","1","","","","1"
"Never","2019","16-34 y.","Male","39","0.486123150412628","0.371469116488068","0.600777184337187","5"
"Never","2019","16-34 y.","Female","38","0.543546665630743","0.428493531747475","0.65859979951401","5"
"Never","2019","35-65 y.","Male","19","","","","5"
"Never","2019","35-65 y.","Female","28","","","","5"
"Never","2019","66 and older","Male","2","","","","5"
"Never","2019","66 and older","Female","1","","","","5"
"Often","2019","16-34 y.","Male","6","","","","2"
"Often","2019","16-34 y.","Female","4","","","","2"
"Often","2019","35-65 y.","Male","7","","","","2"
"Often","2019","35-65 y.","Female","5","","","","2"
"Often","2019","66 and older","Female","","","","","2"
"Often","2019","66 and older","Male","","","","","2"
"Rarely ","2019","16-34 y.","Male","12","","","","4"
"Rarely ","2019","16-34 y.","Female","17","","","","4"
"Rarely ","2019","35-65 y.","Male","15","","","","4"
"Rarely ","2019","35-65 y.","Female","17","","","","4"
"Rarely ","2019","66 and older","Female","","","","","4"
"Rarely ","2019","66 and older","Male","1","","","","4"
"Sometimes","2019","35-65 y.","Male","13","","","","3"
"Sometimes","2019","66 and older","Female","","","","","3"
"Sometimes","2019","16-34 y.","Female","11","","","","3"
"Sometimes","2019","16-34 y.","Male","15","","","","3"
"Sometimes","2019","35-65 y.","Female","16","","","","3"
"Sometimes","2019","66 and older","Male","1","","","","3"
"Very often","2019","66 and older","Female","1","","","","1"
"Very often","2019","35-65 y.","Female","2","","","","1"
"Very often","2019","16-34 y.","Male","1","","","","1"
"Very often","2019","16-34 y.","Female","2","","","","1"
"Very often","2019","35-65 y.","Male","2","","","","1"
"Very often","2019","66 and older","Male","","","","","1"
