"plj0588","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Sometimes","2015","66 and older","no migration background","","","",""
"Sometimes","2015","66 and older","direct migration background","","","",""
"Sometimes","2015","66 and older","indirect migration background","","","",""
"Rarely ","2015","16-34 y.","no migration background","","","",""
"Rarely ","2015","16-34 y.","direct migration background","","","",""
"Rarely ","2015","16-34 y.","indirect migration background","","","",""
"Rarely ","2015","35-65 y.","no migration background","","","",""
"Rarely ","2015","35-65 y.","direct migration background","","","",""
"Rarely ","2015","35-65 y.","indirect migration background","","","",""
"Rarely ","2015","66 and older","no migration background","","","",""
"Rarely ","2015","66 and older","direct migration background","","","",""
"Rarely ","2015","66 and older","indirect migration background","","","",""
"Never","2015","16-34 y.","no migration background","","","",""
"Never","2015","16-34 y.","direct migration background","","","",""
"Never","2015","16-34 y.","indirect migration background","","","",""
"Never","2015","35-65 y.","no migration background","","","",""
"Never","2015","35-65 y.","direct migration background","","","",""
"Never","2015","35-65 y.","indirect migration background","","","",""
"Never","2015","66 and older","no migration background","","","",""
"Never","2015","66 and older","direct migration background","","","",""
"Never","2015","66 and older","indirect migration background","","","",""
"Very often","2016","16-34 y.","no migration background","","","",""
"Very often","2016","16-34 y.","direct migration background","174","0.0899735231123398","0.0785446285249795","0.1014024176997"
"Very often","2016","16-34 y.","indirect migration background","","","",""
"Very often","2016","35-65 y.","no migration background","","","",""
"Very often","2016","35-65 y.","direct migration background","147","0.102967255866782","0.0888684380625965","0.117066073670967"
"Very often","2016","35-65 y.","indirect migration background","","","",""
"Very often","2016","66 and older","no migration background","","","",""
"Very often","2016","66 and older","direct migration background","3","","",""
"Very often","2016","66 and older","indirect migration background","","","",""
"Often","2016","16-34 y.","no migration background","","","",""
"Often","2016","16-34 y.","direct migration background","331","0.174300470802443","0.159148115398831","0.189452826206056"
"Often","2016","16-34 y.","indirect migration background","","","",""
"Often","2016","35-65 y.","no migration background","","","",""
"Often","2016","35-65 y.","direct migration background","230","0.167170799936645","0.149861194719913","0.184480405153377"
"Often","2016","35-65 y.","indirect migration background","","","",""
"Often","2016","66 and older","no migration background","","","",""
"Often","2016","66 and older","direct migration background","5","","",""
"Often","2016","66 and older","indirect migration background","","","",""
"Sometimes","2016","16-34 y.","no migration background","","","",""
"Sometimes","2016","16-34 y.","direct migration background","640","0.285501336173772","0.267461830494844","0.303540841852699"
"Sometimes","2016","16-34 y.","indirect migration background","","","",""
"Sometimes","2016","35-65 y.","no migration background","","","",""
"Sometimes","2016","35-65 y.","direct migration background","469","0.285433209042398","0.264482310907717","0.306384107177078"
"Sometimes","2016","35-65 y.","indirect migration background","","","",""
"Sometimes","2016","66 and older","no migration background","","","",""
"Sometimes","2016","66 and older","direct migration background","6","","",""
"Sometimes","2016","66 and older","indirect migration background","","","",""
"Rarely ","2016","16-34 y.","no migration background","","","",""
"Rarely ","2016","16-34 y.","direct migration background","491","0.181894117487502","0.166486555116074","0.19730167985893"
"Rarely ","2016","16-34 y.","indirect migration background","","","",""
"Rarely ","2016","35-65 y.","no migration background","","","",""
"Rarely ","2016","35-65 y.","direct migration background","355","0.181073106600939","0.163209114259239","0.198937098942639"
"Rarely ","2016","35-65 y.","indirect migration background","","","",""
"Rarely ","2016","66 and older","no migration background","","","",""
"Rarely ","2016","66 and older","direct migration background","6","","",""
"Rarely ","2016","66 and older","indirect migration background","","","",""
"Never","2016","16-34 y.","no migration background","","","",""
"Never","2016","16-34 y.","direct migration background","772","0.268330552423944","0.250633034030946","0.286028070816941"
"Never","2016","16-34 y.","indirect migration background","","","",""
"Never","2016","35-65 y.","no migration background","","","",""
"Never","2016","35-65 y.","direct migration background","584","0.263355628553236","0.242922765672592","0.283788491433881"
"Never","2016","35-65 y.","indirect migration background","","","",""
"Never","2016","66 and older","no migration background","","","",""
"Never","2016","66 and older","direct migration background","4","","",""
"Never","2016","66 and older","indirect migration background","","","",""
"Very often","2017","16-34 y.","no migration background","37","0.00756817035585922","0.00491117029636441","0.010225170415354"
"Very often","2017","16-34 y.","direct migration background","173","0.0200128562908524","0.0149965168001677","0.0250291957815371"
"Very often","2017","16-34 y.","indirect migration background","15","","",""
"Very often","2017","35-65 y.","no migration background","109","0.0094585399399375","0.00770035715921847","0.0112167227206565"
"Very often","2017","35-65 y.","direct migration background","146","0.0275261272527553","0.0224425122921811","0.0326097422133296"
"Very often","2017","35-65 y.","indirect migration background","13","","",""
"Very often","2017","66 and older","no migration background","41","0.0129879146698771","0.00970133440239917","0.0162744949373549"
"Very often","2017","66 and older","direct migration background","12","","",""
"Very often","2017","66 and older","indirect migration background","1","","",""
"Often","2017","16-34 y.","no migration background","250","0.059417948640238","0.052170203010751","0.066665694269725"
"Often","2017","16-34 y.","direct migration background","303","0.0736855576592009","0.0643273517240135","0.0830437635943884"
"Often","2017","16-34 y.","indirect migration background","60","0.0520500143626613","0.0380857488568154","0.0660142798685071"
"Often","2017","35-65 y.","no migration background","565","0.0472564305203897","0.0434022317137908","0.0511106293269887"
"Often","2017","35-65 y.","direct migration background","350","0.0669638808342712","0.0591972858672884","0.0747304758012539"
"Often","2017","35-65 y.","indirect migration background","34","0.0375689586841847","0.0236796307295882","0.0514582866387812"
"Often","2017","66 and older","no migration background","188","0.0467703457403997","0.0406412365651431","0.0528994549156562"
"Often","2017","66 and older","direct migration background","50","0.114512756921242","0.0856320552505151","0.143393458591969"
"Often","2017","66 and older","indirect migration background","1","","",""
"Sometimes","2017","16-34 y.","no migration background","815","0.196796123928703","0.184607155836917","0.20898509202049"
"Sometimes","2017","16-34 y.","direct migration background","816","0.267625194912863","0.251767049748541","0.283483340077185"
"Sometimes","2017","16-34 y.","indirect migration background","181","0.221171902901297","0.195080301140968","0.247263504661626"
"Sometimes","2017","35-65 y.","no migration background","2145","0.190694134033158","0.18355836715637","0.197829900909946"
"Sometimes","2017","35-65 y.","direct migration background","1042","0.251258833553313","0.237782006755373","0.264735660351252"
"Sometimes","2017","35-65 y.","indirect migration background","153","0.227637786650058","0.197010076449386","0.25826549685073"
"Sometimes","2017","66 and older","no migration background","791","0.188171782949542","0.176826309704877","0.199517256194206"
"Sometimes","2017","66 and older","direct migration background","118","0.246220451677023","0.207147709871586","0.285293193482459"
"Sometimes","2017","66 and older","indirect migration background","3","","",""
"Rarely ","2017","16-34 y.","no migration background","1922","0.476731520971905","0.461419060054038","0.492043981889771"
"Rarely ","2017","16-34 y.","direct migration background","774","0.363036263149095","0.345811448742409","0.380261077555781"
"Rarely ","2017","16-34 y.","indirect migration background","394","0.422829915931103","0.391773615576093","0.453886216286113"
"Rarely ","2017","35-65 y.","no migration background","5396","0.466342438706054","0.457280952250038","0.47540392516207"
"Rarely ","2017","35-65 y.","direct migration background","1219","0.353896974824421","0.339039314208758","0.368754635440085"
"Rarely ","2017","35-65 y.","indirect migration background","292","0.420356461255923","0.384300987530525","0.456411934981322"
"Rarely ","2017","66 and older","no migration background","1841","0.384785620911837","0.370662328501701","0.398908913321973"
"Rarely ","2017","66 and older","direct migration background","145","0.31753312801885","0.275312473752934","0.359753782284765"
"Rarely ","2017","66 and older","indirect migration background","2","","",""
"Never","2017","16-34 y.","no migration background","1063","0.259486236103295","0.246047157223154","0.272925314983435"
"Never","2017","16-34 y.","direct migration background","928","0.275640127987989","0.259634577851827","0.29164567812415"
"Never","2017","16-34 y.","indirect migration background","322","0.293263018735428","0.264642828411635","0.32188320905922"
"Never","2017","35-65 y.","no migration background","3428","0.286248456800461","0.278038124224913","0.294458789376008"
"Never","2017","35-65 y.","direct migration background","1222","0.30035418353524","0.28611067156192","0.31459769550856"
"Never","2017","35-65 y.","indirect migration background","228","0.295377760327142","0.262054390527672","0.328701130126613"
"Never","2017","66 and older","no migration background","1698","0.367284335728345","0.35329107934051","0.38127759211618"
"Never","2017","66 and older","direct migration background","142","0.304115992235173","0.262392782785758","0.345839201684588"
"Never","2017","66 and older","indirect migration background","8","","",""
"Very often","2018","16-34 y.","no migration background","","","",""
"Very often","2018","16-34 y.","direct migration background","16","","",""
"Very often","2018","16-34 y.","indirect migration background","","","",""
"Very often","2018","35-65 y.","no migration background","","","",""
"Very often","2018","35-65 y.","direct migration background","18","","",""
"Very often","2018","35-65 y.","indirect migration background","","","",""
"Very often","2018","66 and older","no migration background","","","",""
"Very often","2018","66 and older","direct migration background","1","","",""
"Very often","2018","66 and older","indirect migration background","","","",""
"Often","2018","16-34 y.","no migration background","","","",""
"Often","2018","16-34 y.","direct migration background","28","","",""
"Often","2018","16-34 y.","indirect migration background","","","",""
"Often","2018","35-65 y.","no migration background","","","",""
"Often","2018","35-65 y.","direct migration background","13","","",""
"Often","2018","35-65 y.","indirect migration background","","","",""
"Often","2018","66 and older","no migration background","","","",""
"Often","2018","66 and older","direct migration background","1","","",""
"Often","2018","66 and older","indirect migration background","","","",""
"Sometimes","2018","16-34 y.","no migration background","","","",""
"Sometimes","2018","16-34 y.","direct migration background","69","0.282267311172925","0.227022733592619","0.33751188875323"
"Sometimes","2018","16-34 y.","indirect migration background","","","",""
"Sometimes","2018","35-65 y.","no migration background","","","",""
"Sometimes","2018","35-65 y.","direct migration background","45","0.358691848201273","0.284607018554338","0.432776677848209"
"Sometimes","2018","35-65 y.","indirect migration background","","","",""
"Sometimes","2018","66 and older","no migration background","","","",""
"Sometimes","2018","66 and older","direct migration background","1","","",""
"Sometimes","2018","66 and older","indirect migration background","","","",""
"Rarely ","2018","16-34 y.","no migration background","","","",""
"Rarely ","2018","16-34 y.","direct migration background","37","0.128670725276832","0.0875738286413922","0.169767621912273"
"Rarely ","2018","16-34 y.","indirect migration background","","","",""
"Rarely ","2018","35-65 y.","no migration background","","","",""
"Rarely ","2018","35-65 y.","direct migration background","31","0.133142690036051","0.0806658561601368","0.185619523911966"
"Rarely ","2018","35-65 y.","indirect migration background","","","",""
"Rarely ","2018","66 and older","no migration background","","","",""
"Rarely ","2018","66 and older","direct migration background","","","",""
"Rarely ","2018","66 and older","indirect migration background","","","",""
"Never","2018","16-34 y.","no migration background","","","",""
"Never","2018","16-34 y.","direct migration background","105","0.395880843213186","0.335857311129756","0.455904375296616"
"Never","2018","16-34 y.","indirect migration background","","","",""
"Never","2018","35-65 y.","no migration background","","","",""
"Never","2018","35-65 y.","direct migration background","54","0.349643682403927","0.275985045546448","0.423302319261406"
"Never","2018","35-65 y.","indirect migration background","","","",""
"Never","2018","66 and older","no migration background","","","",""
"Never","2018","66 and older","direct migration background","1","","",""
"Never","2018","66 and older","indirect migration background","","","",""
"Very often","2019","16-34 y.","no migration background","","","",""
"Very often","2019","16-34 y.","direct migration background","3","","",""
"Very often","2019","16-34 y.","indirect migration background","","","",""
"Very often","2019","35-65 y.","no migration background","","","",""
"Very often","2019","35-65 y.","direct migration background","4","","",""
"Very often","2019","35-65 y.","indirect migration background","","","",""
"Very often","2019","66 and older","no migration background","","","",""
"Very often","2019","66 and older","direct migration background","1","","",""
"Very often","2019","66 and older","indirect migration background","","","",""
"Often","2019","16-34 y.","no migration background","","","",""
"Often","2019","16-34 y.","direct migration background","10","","",""
"Often","2019","16-34 y.","indirect migration background","","","",""
"Often","2019","35-65 y.","no migration background","","","",""
"Often","2019","35-65 y.","direct migration background","12","","",""
"Often","2019","35-65 y.","indirect migration background","","","",""
"Often","2019","66 and older","no migration background","","","",""
"Often","2019","66 and older","direct migration background","","","",""
"Often","2019","66 and older","indirect migration background","","","",""
"Sometimes","2019","16-34 y.","no migration background","","","",""
"Sometimes","2019","16-34 y.","direct migration background","26","","",""
"Sometimes","2019","16-34 y.","indirect migration background","","","",""
"Sometimes","2019","35-65 y.","no migration background","","","",""
"Sometimes","2019","35-65 y.","direct migration background","29","","",""
"Sometimes","2019","35-65 y.","indirect migration background","","","",""
"Sometimes","2019","66 and older","no migration background","","","",""
"Sometimes","2019","66 and older","direct migration background","1","","",""
"Sometimes","2019","66 and older","indirect migration background","","","",""
"Rarely ","2019","16-34 y.","no migration background","","","",""
"Rarely ","2019","16-34 y.","direct migration background","29","","",""
"Rarely ","2019","16-34 y.","indirect migration background","","","",""
"Rarely ","2019","35-65 y.","no migration background","","","",""
"Rarely ","2019","35-65 y.","direct migration background","32","0.272543948963048","0.194172315091561","0.350915582834535"
"Rarely ","2019","35-65 y.","indirect migration background","","","",""
"Rarely ","2019","66 and older","no migration background","","","",""
"Rarely ","2019","66 and older","direct migration background","1","","",""
"Rarely ","2019","66 and older","indirect migration background","","","",""
"Never","2019","16-34 y.","no migration background","","","",""
"Never","2019","16-34 y.","direct migration background","77","0.5183407086266","0.437012403796995","0.599669013456204"
"Never","2019","16-34 y.","indirect migration background","","","",""
"Never","2019","35-65 y.","no migration background","","","",""
"Never","2019","35-65 y.","direct migration background","47","0.38484187215555","0.299202831999951","0.470480912311149"
"Never","2019","35-65 y.","indirect migration background","","","",""
"Never","2019","66 and older","no migration background","","","",""
"Never","2019","66 and older","direct migration background","3","","",""
"Never","2019","66 and older","indirect migration background","","","",""
