"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1993","(Married) couple without C.","East Germany","42.55","41.57","335","36","40","45","55","75","41.48","43.62","2","80","40","42"
"1993","(Married) couple without C.","West Germany","39.01","40","1238","24","37.5","43","50","70","38.45","39.57","0.7","80","39","40"
"1993","1-pers.-HH","East Germany","43.83","41.83","81","35","40","50","60","80","40.84","46.82","4","80","40","43"
"1993","1-pers.-HH","West Germany","40.26","40","525","30","38","45","50","70","39.43","41.09","3.5","75","40","40"
"1993","Couple + C. GT 16 ","East Germany","43.96","41.01","434","40","40","45","55","72.6","43.12","44.8","12","80","40","42"
"1993","Couple + C. GT 16 ","West Germany","38.17","39.5","1066","20","37.3","42","50","75","37.48","38.86","0.1","80","38.5","40"
"1993","Couple + C. LE 16","East Germany","43.68","42","858","33","40","50","60","75","42.99","44.37","1","80","42","42.5"
"1993","Couple + C. LE 16","West Germany","37.1","39.5","1321","16","30","45","50","70","36.39","37.81","0.8","80","38.5","40"
"1993","Couple + C. LE and GT 16","East Germany","43.17","40","229","36","40","45","50","70","42.06","44.28","20","72.5","40","42"
"1993","Couple + C. LE and GT 16","West Germany","38.18","39","535","20","37.5","42.5","50","60.5","37.27","39.09","1","80","38","39"
"1993","Single parent","East Germany","42.85","40","98","40","40","45","50","70","41.15","44.55","10","70","40","42"
"1993","Single parent","West Germany","37.05","38.5","232","23","35","40","50","60","35.77","38.33","7.5","60","38","40"
"1994","(Married) couple without C.","East Germany","43.26","42","344","38","40","48","54","65","42.27","44.25","1.5","80","40","43"
"1994","(Married) couple without C.","West Germany","39.34","40","1262","24","37.5","44","50","70","38.76","39.92","2","80","39","40"
"1994","1-pers.-HH","East Germany","44.33","43","89","36","40","50","53","80","42.2","46.46","3","80","41","45"
"1994","1-pers.-HH","West Germany","41.25","40","495","35","38.5","45","50","70","40.38","42.12","5","80","40","40"
"1994","Couple + C. GT 16 ","East Germany","43.07","41","449","37.5","40","46","52","70","42.24","43.9","8","80","40","42"
"1994","Couple + C. GT 16 ","West Germany","37.55","39","950","20","36","42","50","72","36.81","38.29","0.9","80","38.5","39"
"1994","Couple + C. LE 16","East Germany","43.44","42","739","34","40","48","55","70","42.72","44.16","8","80","41","42.5"
"1994","Couple + C. LE 16","West Germany","36.55","39","1294","15","30","44","50","70","35.81","37.29","0.5","80","38.5","40"
"1994","Couple + C. LE and GT 16","East Germany","43.28","40","238","35","40","45","55","80","42.05","44.51","4","80","40","42"
"1994","Couple + C. LE and GT 16","West Germany","37.87","39","495","20","36.5","42","50","70","36.9","38.84","2","80","38.5","39.5"
"1994","Single parent","East Germany","42.9","40","85","40","40","45","50","60","41.35","44.45","10","60","40","42"
"1994","Single parent","West Germany","36.13","38.5","221","20","33","40","45","60","34.78","37.48","6","60","38","39.5"
"1995","(Married) couple without C.","East Germany","43.52","42","391","35","40","48","56","70","42.57","44.47","2","75","40","43"
"1995","(Married) couple without C.","West Germany","38.99","40","1324","20","37.5","45","50","70","38.37","39.61","1.5","80","40","40"
"1995","1-pers.-HH","East Germany","44.32","43","100","35","40","50","60","80","41.83","46.81","5","80","40","45"
"1995","1-pers.-HH","West Germany","40.1","40","534","25","38","45","50","70","39.22","40.98","3","80","40","40"
"1995","Couple + C. GT 16 ","East Germany","42.68","41.5","455","32","40","45","55","77","41.77","43.59","4","80","40","42"
"1995","Couple + C. GT 16 ","West Germany","37.63","39","999","19.2","36","43","50","72","36.88","38.38","2","80","38.5","39"
"1995","Couple + C. LE 16","East Germany","42.99","42","687","31","40","48","59","74","42.15","43.83","4","80","41","42"
"1995","Couple + C. LE 16","West Germany","37.18","40","1459","17","30","45","50","70","36.49","37.87","1","80","39","40"
"1995","Couple + C. LE and GT 16","East Germany","42.95","42","269","32","40","48","55","71","41.75","44.15","8","80","40","42.5"
"1995","Couple + C. LE and GT 16","West Germany","37.01","39","518","19","35.5","43","50","65","35.99","38.03","2","72","38.5","40"
"1995","Single parent","East Germany","41.47","40","102","32","40","45","50","70","39.77","43.17","0.4","70","40","42"
"1995","Single parent","West Germany","34.66","38.5","235","15","30","40","46","62","33.13","36.19","2","65","38","39"
"1996","(Married) couple without C.","East Germany","42.9","40","413","35","40","45.5","52","80","41.91","43.89","0.5","80","40","42"
"1996","(Married) couple without C.","West Germany","39.2","40","1261","23","37.5","44","50","72","38.59","39.81","2","80","39","40"
"1996","1-pers.-HH","East Germany","44.26","43","111","38","40","48","55","80","42.48","46.04","8","80","41","45"
"1996","1-pers.-HH","West Germany","39.92","40","534","28","38.5","44","50","65","39.06","40.78","2","80","40","40"
