"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","16-34 y.","Rural Area","40.17","40","1025","20","38.5","45","50.5","70","39.44","40.9","2","80","40","40"
"2007","16-34 y.","Urban Area","37.59","40","1930","15","35","45","50","65","36.98","38.2","1","80","40","40"
"2007","35-65 y.","Rural Area","39.5","40","2686","20","35","46","55","70","38.99","40.01","1","80","40","40"
"2007","35-65 y.","Urban Area","38.23","40","5494","18.5","31","45","52","70","37.87","38.59","1","80","40","40"
"2007","66 and older","Rural Area","21.57","15.49","54","6","10","26","45","75","16.55","26.59","2","75","10","22"
"2007","66 and older","Urban Area","22.39","15","101","6","10","35","50","60","18.84","25.94","2","60","13","25"
"2008","16-34 y.","Rural Area","39.76","40","917","26","38.5","45","50","70","39.03","40.49","1","72","40","40"
"2008","16-34 y.","Urban Area","37.21","40","1865","14","35","45","50","65","36.6","37.82","1.3","80","40","40"
"2008","35-65 y.","Rural Area","38.65","40","2570","20","34","45","50","72","38.12","39.18","1","80","40","40"
"2008","35-65 y.","Urban Area","38.28","40","5191","19","32","45","50","70","37.92","38.64","1","80","40","40"
"2008","66 and older","Rural Area","16.71","14","56","4.5","8","20","40","60","12.42","21","1","70","10","18"
"2008","66 and older","Urban Area","27.08","20","111","7","10","45","55","80","23.58","30.58","2","80","15","28"
"2009","16-34 y.","Rural Area","38.76","40","862","20","37","45","50","65","37.95","39.57","1","80","40","40"
"2009","16-34 y.","Urban Area","37.56","40","1694","15","35","45","50","64","36.92","38.2","1.5","80","40","40"
"2009","35-65 y.","Rural Area","38.93","40","2482","20","35","45","55","70","38.39","39.47","2","80","40","40"
"2009","35-65 y.","Urban Area","38.15","40","4787","18","32","45","52","70","37.77","38.53","1","80","40","40"
"2009","66 and older","Rural Area","19.61","15","62","2","10","25","40","70","14.99","24.23","1.5","77","10","20"
"2009","66 and older","Urban Area","23.04","15","132","5","8","35","60","72","19.84","26.24","2","72","15","22"
"2010","16-34 y.","Rural Area","37.26","40","1294","15","36","43","50","65","36.52","38","1","80","40","40"
"2010","16-34 y.","Urban Area","37.12","40","2385","15","35","44","50","68","36.55","37.69","1","80","40","40"
"2010","35-65 y.","Rural Area","38.07","40","3342","16","30","45","55","70","37.59","38.55","1","80","40","40"
"2010","35-65 y.","Urban Area","37.71","40","6406","18","30","45","50","70","37.37","38.05","1","80","40","40"
"2010","66 and older","Rural Area","20.96","16.35","57","4","10","30","42","80","15.85","26.07","2","80","10","20"
"2010","66 and older","Urban Area","25.06","18","137","4","8","40","60","80","21.89","28.23","2","80","13","20"
"2011","16-34 y.","Rural Area","39.24","40","1490","20","38","45","50","61","38.58","39.9","2","80","40","40"
"2011","16-34 y.","Urban Area","37.8","40","2635","15","35","45","50","60","37.27","38.33","0.5","80","40","40"
"2011","35-65 y.","Rural Area","38.55","40","4346","18","32","45","53","70","38.13","38.97","0.5","80","40","40"
"2011","35-65 y.","Urban Area","38.67","40","7955","20","33","45","52","70","38.36","38.98","1","80","40","40"
"2011","66 and older","Rural Area","22.05","15","64","5","10","30","50","65","17.67","26.43","1","65","10","24"
"2011","66 and older","Urban Area","20.7","15","145","5","9","27","45","80","17.95","23.45","1","80","15","20"
"2012","16-34 y.","Rural Area","38.78","40","1391","21","38","44","50","63","38.13","39.43","1","80","40","40"
"2012","16-34 y.","Urban Area","36.78","40","2532","12","35","45","50","63","36.23","37.33","1","80","40","40"
"2012","35-65 y.","Rural Area","38.33","40","4374","20","32","45","50","70","37.92","38.74","1","80","40","40"
"2012","35-65 y.","Urban Area","38.15","40","7775","19.5","32","45","50","68","37.84","38.46","1","80","40","40"
"2012","66 and older","Rural Area","23.42","20","70","3","8","38","50","75","19.51","27.33","1","75","10","20"
"2012","66 and older","Urban Area","21.35","15.69","194","5","8","30","50","70","18.87","23.83","1","80","15","20"
"2013","16-34 y.","Rural Area","38.44","40","1531","20","38","44","50","65","37.8","39.08","1","80","40","40"
"2013","16-34 y.","Urban Area","36.55","40","3390","12","35","45","50","63","36.08","37.02","1","80","40","40"
"2013","35-65 y.","Rural Area","37.99","40","4580","20","30","45","50","70","37.6","38.38","1","80","40","40"
"2013","35-65 y.","Urban Area","38.05","40","8837","20","30.8","45","50","70","37.76","38.34","1","80","40","40"
"2013","66 and older","Rural Area","16.38","12","83","4","5","24","40","55","13.16","19.6","2","60","10","15"
"2013","66 and older","Urban Area","19.28","12","194","4","7","25","45","70","17.01","21.55","1","72","12","18"
"2014","16-34 y.","Rural Area","36.75","40","1330","12","35","42","50","60","36.06","37.44","1","80","40","40"
"2014","16-34 y.","Urban Area","36.42","40","2831","14","33","43","50","60","35.92","36.92","1","80","40","40"
"2014","35-65 y.","Rural Area","37.54","40","4166","18","30","45","50","65","37.13","37.95","1","80","40","40"
"2014","35-65 y.","Urban Area","37.57","40","7811","19.5","30","45","50","68","37.27","37.87","1","80","40","40"
"2014","66 and older","Rural Area","17.3","14.01","98","5","8","20","40","50","14.54","20.06","1","65","10","15"
"2014","66 and older","Urban Area","19.91","15","216","4","6","25","48","60","17.65","22.17","1","72","13","20"
"2015","16-34 y.","Rural Area","37.41","40","1315","19","35","43","48","60","36.75","38.07","1.5","80","40","40"
"2015","16-34 y.","Urban Area","36.83","40","2884","14","35","43.5","48","65","36.34","37.32","1","80","40","40"
"2015","35-65 y.","Rural Area","37.91","40","4059","19.5","32","45","50","70","37.5","38.32","2","80","40","40"
"2015","35-65 y.","Urban Area","37.36","40","7556","19","30","45","50","70","37.06","37.66","1","80","40","40"
"2015","66 and older","Rural Area","15.76","12","94","4","8","20","35","45","13.03","18.49","2","70","10","15"
"2015","66 and older","Urban Area","20.61","12","207","4","8","30","50","80","18.22","23","1","80","12","20"
"2016","16-34 y.","Rural Area","37.09","40","1167","18","35","42","46","60","36.4","37.78","1","72","40","40"
"2016","16-34 y.","Urban Area","36.06","40","2463","12","34","43","48","60","35.52","36.6","1","80","40","40"
"2016","35-65 y.","Rural Area","37.75","40","3819","20","31.2","45","50","65","37.34","38.16","1","80","40","40"
"2016","35-65 y.","Urban Area","37.35","40","7066","18","30","45","50","70","37.04","37.66","1","80","40","40"
"2016","66 and older","Rural Area","17.68","15","98","5","10","25","40","52","14.79","20.57","2","60","12","20"
"2016","66 and older","Urban Area","19.73","11","210","4","6","30","50","80","17.3","22.16","1","80","11","16"
"2017","16-34 y.","Rural Area","37.97","40","1420","20","37","43","50","60","37.34","38.6","1","80","40","40"
"2017","16-34 y.","Urban Area","36.15","40","2928","13","32","43","50","60","35.66","36.64","1","80","40","40"
"2017","35-65 y.","Rural Area","37.56","40","4436","20","30","45","50","70","37.18","37.94","1","80","40","40"
"2017","35-65 y.","Urban Area","37.14","40","7891","19.9","30","45","50","65","36.85","37.43","0.6","80","40","40"
"2017","66 and older","Rural Area","18.34","15","125","4","8","20","48","64","15.56","21.12","2","68","10","18"
"2017","66 and older","Urban Area","17.44","10","250","4","6","21","45","70","15.46","19.42","0.8","70","10","15"
"2018","16-34 y.","Rural Area","37.3","40","1421","20","35","43","48","60","36.69","37.91","1","72","40","40"
"2018","16-34 y.","Urban Area","36","40","3084","14","32","43","48","60","35.53","36.47","1","72","40","40"
"2018","35-65 y.","Rural Area","37.41","40","4252","20","30","44","50","70","37.03","37.79","2","80","40","40"
"2018","35-65 y.","Urban Area","37.36","40","7678","20","30","44","50","65","37.08","37.64","1","80","40","40"
"2018","66 and older","Rural Area","18.82","12","123","5","9","30","45","55","16.4","21.24","1","66","10","15"
"2018","66 and older","Urban Area","16.56","10","267","4","5","20","40","75","14.63","18.49","0.4","80","10","12"
"2019","16-34 y.","Rural Area","36.92","40","1289","20","35","42.5","45","60","36.28","37.56","1","72","40","40"
"2019","16-34 y.","Urban Area","36.96","40","2648","15","35","43","48","60","36.45","37.47","1","80","40","40"
"2019","35-65 y.","Rural Area","37.8","40","4409","20","32","44","50","70","37.41","38.19","1.5","80","40","40"
"2019","35-65 y.","Urban Area","37.25","40","7621","20","30","45","50","65","36.94","37.56","1","80","40","40"
"2019","66 and older","Rural Area","21.64","14","183","3","8","36","50","72","18.74","24.54","1","72","15","29"
"2019","66 and older","Urban Area","18.43","12","371","4","8","25","40","60","16.55","20.31","1","80","19.5","25"
