"pld0044","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Often","2004","Not Working","middle vocational","","","",""
"Often","2004","Not Working","vocational + Abi","","","",""
"Often","2004","Not Working","higher vocational","","","",""
"Often","2004","Not Working","higher education","","","",""
"Sometimes","2004","Full Time","in school","","","",""
"Sometimes","2004","Full Time","inadequately","","","",""
"Sometimes","2004","Full Time","general elemantary","","","",""
"Sometimes","2004","Full Time","middle vocational","","","",""
"Sometimes","2004","Full Time","vocational + Abi","","","",""
"Sometimes","2004","Full Time","higher vocational","","","",""
"Sometimes","2004","Full Time","higher education","","","",""
"Sometimes","2004","Part Time","in school","","","",""
"Sometimes","2004","Part Time","inadequately","","","",""
"Sometimes","2004","Part Time","general elemantary","","","",""
"Sometimes","2004","Part Time","middle vocational","","","",""
"Sometimes","2004","Part Time","vocational + Abi","","","",""
"Sometimes","2004","Part Time","higher vocational","","","",""
"Sometimes","2004","Part Time","higher education","","","",""
"Sometimes","2004","Not Working","in school","","","",""
"Sometimes","2004","Not Working","inadequately","","","",""
"Sometimes","2004","Not Working","general elemantary","","","",""
"Sometimes","2004","Not Working","middle vocational","","","",""
"Sometimes","2004","Not Working","vocational + Abi","","","",""
"Sometimes","2004","Not Working","higher vocational","","","",""
"Sometimes","2004","Not Working","higher education","","","",""
"Rarely","2004","Full Time","in school","","","",""
"Rarely","2004","Full Time","inadequately","","","",""
"Rarely","2004","Full Time","general elemantary","","","",""
"Rarely","2004","Full Time","middle vocational","","","",""
"Rarely","2004","Full Time","vocational + Abi","","","",""
"Rarely","2004","Full Time","higher vocational","","","",""
"Rarely","2004","Full Time","higher education","","","",""
"Rarely","2004","Part Time","in school","","","",""
"Rarely","2004","Part Time","inadequately","","","",""
"Rarely","2004","Part Time","general elemantary","","","",""
"Rarely","2004","Part Time","middle vocational","","","",""
"Rarely","2004","Part Time","vocational + Abi","","","",""
"Rarely","2004","Part Time","higher vocational","","","",""
"Rarely","2004","Part Time","higher education","","","",""
"Rarely","2004","Not Working","in school","","","",""
"Rarely","2004","Not Working","inadequately","","","",""
"Rarely","2004","Not Working","general elemantary","","","",""
"Rarely","2004","Not Working","middle vocational","","","",""
"Rarely","2004","Not Working","vocational + Abi","","","",""
"Rarely","2004","Not Working","higher vocational","","","",""
"Rarely","2004","Not Working","higher education","","","",""
"Never","2004","Full Time","in school","","","",""
"Never","2004","Full Time","inadequately","","","",""
"Never","2004","Full Time","general elemantary","","","",""
"Never","2004","Full Time","middle vocational","","","",""
"Never","2004","Full Time","vocational + Abi","","","",""
"Never","2004","Full Time","higher vocational","","","",""
"Never","2004","Full Time","higher education","","","",""
"Never","2004","Part Time","in school","","","",""
"Never","2004","Part Time","inadequately","","","",""
"Never","2004","Part Time","general elemantary","","","",""
"Never","2004","Part Time","middle vocational","","","",""
"Never","2004","Part Time","vocational + Abi","","","",""
"Never","2004","Part Time","higher vocational","","","",""
"Never","2004","Part Time","higher education","","","",""
"Never","2004","Not Working","in school","","","",""
"Never","2004","Not Working","inadequately","","","",""
"Never","2004","Not Working","general elemantary","","","",""
"Never","2004","Not Working","middle vocational","","","",""
"Never","2004","Not Working","vocational + Abi","","","",""
"Never","2004","Not Working","higher vocational","","","",""
"Never","2004","Not Working","higher education","","","",""
"Very often","2005","Full Time","in school","","","",""
"Very often","2005","Full Time","inadequately","","","",""
"Very often","2005","Full Time","general elemantary","","","",""
"Very often","2005","Full Time","middle vocational","","","",""
"Very often","2005","Full Time","vocational + Abi","","","",""
"Very often","2005","Full Time","higher vocational","","","",""
"Very often","2005","Full Time","higher education","","","",""
"Very often","2005","Part Time","in school","","","",""
"Very often","2005","Part Time","inadequately","","","",""
"Very often","2005","Part Time","general elemantary","","","",""
"Very often","2005","Part Time","middle vocational","","","",""
"Very often","2005","Part Time","vocational + Abi","","","",""
"Very often","2005","Part Time","higher vocational","","","",""
"Very often","2005","Part Time","higher education","","","",""
"Very often","2005","Not Working","in school","","","",""
"Very often","2005","Not Working","inadequately","","","",""
"Very often","2005","Not Working","general elemantary","","","",""
"Very often","2005","Not Working","middle vocational","","","",""
"Very often","2005","Not Working","vocational + Abi","","","",""
"Very often","2005","Not Working","higher vocational","","","",""
"Very often","2005","Not Working","higher education","","","",""
"Often","2005","Full Time","in school","","","",""
"Often","2005","Full Time","inadequately","","","",""
"Often","2005","Full Time","general elemantary","","","",""
"Often","2005","Full Time","middle vocational","","","",""
"Often","2005","Full Time","vocational + Abi","","","",""
"Often","2005","Full Time","higher vocational","","","",""
"Often","2005","Full Time","higher education","","","",""
"Often","2005","Part Time","in school","","","",""
"Often","2005","Part Time","inadequately","","","",""
"Often","2005","Part Time","general elemantary","","","",""
"Often","2005","Part Time","middle vocational","","","",""
"Often","2005","Part Time","vocational + Abi","","","",""
"Often","2005","Part Time","higher vocational","","","",""
"Often","2005","Part Time","higher education","","","",""
"Often","2005","Not Working","in school","","","",""
"Often","2005","Not Working","inadequately","","","",""
"Often","2005","Not Working","general elemantary","","","",""
"Often","2005","Not Working","middle vocational","","","",""
"Often","2005","Not Working","vocational + Abi","","","",""
"Often","2005","Not Working","higher vocational","","","",""
"Often","2005","Not Working","higher education","","","",""
"Sometimes","2005","Full Time","in school","","","",""
"Sometimes","2005","Full Time","inadequately","","","",""
"Sometimes","2005","Full Time","general elemantary","","","",""
"Sometimes","2005","Full Time","middle vocational","","","",""
"Sometimes","2005","Full Time","vocational + Abi","","","",""
"Sometimes","2005","Full Time","higher vocational","","","",""
"Sometimes","2005","Full Time","higher education","","","",""
"Sometimes","2005","Part Time","in school","","","",""
"Sometimes","2005","Part Time","inadequately","","","",""
"Sometimes","2005","Part Time","general elemantary","","","",""
"Sometimes","2005","Part Time","middle vocational","","","",""
"Sometimes","2005","Part Time","vocational + Abi","","","",""
"Sometimes","2005","Part Time","higher vocational","","","",""
"Sometimes","2005","Part Time","higher education","","","",""
"Sometimes","2005","Not Working","in school","","","",""
"Sometimes","2005","Not Working","inadequately","","","",""
"Sometimes","2005","Not Working","general elemantary","","","",""
"Sometimes","2005","Not Working","middle vocational","","","",""
"Sometimes","2005","Not Working","vocational + Abi","","","",""
"Sometimes","2005","Not Working","higher vocational","","","",""
"Sometimes","2005","Not Working","higher education","","","",""
"Rarely","2005","Full Time","in school","","","",""
"Rarely","2005","Full Time","inadequately","","","",""
"Rarely","2005","Full Time","general elemantary","","","",""
"Rarely","2005","Full Time","middle vocational","","","",""
"Rarely","2005","Full Time","vocational + Abi","","","",""
"Rarely","2005","Full Time","higher vocational","","","",""
"Rarely","2005","Full Time","higher education","","","",""
"Rarely","2005","Part Time","in school","","","",""
"Rarely","2005","Part Time","inadequately","","","",""
"Rarely","2005","Part Time","general elemantary","","","",""
"Rarely","2005","Part Time","middle vocational","","","",""
"Rarely","2005","Part Time","vocational + Abi","","","",""
"Rarely","2005","Part Time","higher vocational","","","",""
"Rarely","2005","Part Time","higher education","","","",""
"Rarely","2005","Not Working","in school","","","",""
"Rarely","2005","Not Working","inadequately","","","",""
"Rarely","2005","Not Working","general elemantary","","","",""
"Rarely","2005","Not Working","middle vocational","","","",""
"Rarely","2005","Not Working","vocational + Abi","","","",""
"Rarely","2005","Not Working","higher vocational","","","",""
"Rarely","2005","Not Working","higher education","","","",""
"Never","2005","Full Time","in school","","","",""
"Never","2005","Full Time","inadequately","","","",""
"Never","2005","Full Time","general elemantary","","","",""
"Never","2005","Full Time","middle vocational","","","",""
"Never","2005","Full Time","vocational + Abi","","","",""
"Never","2005","Full Time","higher vocational","","","",""
"Never","2005","Full Time","higher education","","","",""
"Never","2005","Part Time","in school","","","",""
"Never","2005","Part Time","inadequately","","","",""
"Never","2005","Part Time","general elemantary","","","",""
"Never","2005","Part Time","middle vocational","","","",""
"Never","2005","Part Time","vocational + Abi","","","",""
"Never","2005","Part Time","higher vocational","","","",""
"Never","2005","Part Time","higher education","","","",""
"Never","2005","Not Working","in school","","","",""
"Never","2005","Not Working","inadequately","","","",""
"Never","2005","Not Working","general elemantary","","","",""
"Never","2005","Not Working","middle vocational","","","",""
"Never","2005","Not Working","vocational + Abi","","","",""
"Never","2005","Not Working","higher vocational","","","",""
"Never","2005","Not Working","higher education","","","",""
"Very often","2006","Full Time","in school","","","",""
"Very often","2006","Full Time","inadequately","","","",""
"Very often","2006","Full Time","general elemantary","","","",""
"Very often","2006","Full Time","middle vocational","","","",""
"Very often","2006","Full Time","vocational + Abi","","","",""
"Very often","2006","Full Time","higher vocational","","","",""
"Very often","2006","Full Time","higher education","","","",""
"Very often","2006","Part Time","in school","","","",""
"Very often","2006","Part Time","inadequately","","","",""
"Very often","2006","Part Time","general elemantary","","","",""
"Very often","2006","Part Time","middle vocational","","","",""
"Very often","2006","Part Time","vocational + Abi","","","",""
"Very often","2006","Part Time","higher vocational","","","",""
"Very often","2006","Part Time","higher education","","","",""
"Very often","2006","Not Working","in school","","","",""
"Very often","2006","Not Working","inadequately","","","",""
"Very often","2006","Not Working","general elemantary","","","",""
"Very often","2006","Not Working","middle vocational","","","",""
"Very often","2006","Not Working","vocational + Abi","","","",""
"Very often","2006","Not Working","higher vocational","","","",""
"Very often","2006","Not Working","higher education","","","",""
"Often","2006","Full Time","in school","","","",""
"Often","2006","Full Time","inadequately","","","",""
"Often","2006","Full Time","general elemantary","","","",""
"Often","2006","Full Time","middle vocational","","","",""
"Often","2006","Full Time","vocational + Abi","","","",""
"Often","2006","Full Time","higher vocational","","","",""
"Often","2006","Full Time","higher education","","","",""
"Often","2006","Part Time","in school","","","",""
"Often","2006","Part Time","inadequately","","","",""
"Often","2006","Part Time","general elemantary","","","",""
"Often","2006","Part Time","middle vocational","","","",""
"Often","2006","Part Time","vocational + Abi","","","",""
"Often","2006","Part Time","higher vocational","","","",""
"Often","2006","Part Time","higher education","","","",""
"Often","2006","Not Working","in school","","","",""
"Often","2006","Not Working","inadequately","","","",""
"Often","2006","Not Working","general elemantary","","","",""
"Often","2006","Not Working","middle vocational","","","",""
"Often","2006","Not Working","vocational + Abi","","","",""
"Often","2006","Not Working","higher vocational","","","",""
"Often","2006","Not Working","higher education","","","",""
"Sometimes","2006","Full Time","in school","","","",""
"Sometimes","2006","Full Time","inadequately","","","",""
"Sometimes","2006","Full Time","general elemantary","","","",""
"Sometimes","2006","Full Time","middle vocational","","","",""
"Sometimes","2006","Full Time","vocational + Abi","","","",""
"Sometimes","2006","Full Time","higher vocational","","","",""
"Sometimes","2006","Full Time","higher education","","","",""
"Sometimes","2006","Part Time","in school","","","",""
"Sometimes","2006","Part Time","inadequately","","","",""
"Sometimes","2006","Part Time","general elemantary","","","",""
"Sometimes","2006","Part Time","middle vocational","","","",""
"Sometimes","2006","Part Time","vocational + Abi","","","",""
"Sometimes","2006","Part Time","higher vocational","","","",""
"Sometimes","2006","Part Time","higher education","","","",""
"Sometimes","2006","Not Working","in school","","","",""
"Sometimes","2006","Not Working","inadequately","","","",""
"Sometimes","2006","Not Working","general elemantary","","","",""
"Sometimes","2006","Not Working","middle vocational","","","",""
"Sometimes","2006","Not Working","vocational + Abi","","","",""
"Sometimes","2006","Not Working","higher vocational","","","",""
"Sometimes","2006","Not Working","higher education","","","",""
"Rarely","2006","Full Time","in school","","","",""
"Rarely","2006","Full Time","inadequately","","","",""
"Rarely","2006","Full Time","general elemantary","","","",""
"Rarely","2006","Full Time","middle vocational","","","",""
"Rarely","2006","Full Time","vocational + Abi","","","",""
"Rarely","2006","Full Time","higher vocational","","","",""
"Rarely","2006","Full Time","higher education","","","",""
"Rarely","2006","Part Time","in school","","","",""
"Rarely","2006","Part Time","inadequately","","","",""
"Rarely","2006","Part Time","general elemantary","","","",""
"Rarely","2006","Part Time","middle vocational","","","",""
"Rarely","2006","Part Time","vocational + Abi","","","",""
"Rarely","2006","Part Time","higher vocational","","","",""
"Rarely","2006","Part Time","higher education","","","",""
"Rarely","2006","Not Working","in school","","","",""
"Rarely","2006","Not Working","inadequately","","","",""
"Rarely","2006","Not Working","general elemantary","","","",""
"Rarely","2006","Not Working","middle vocational","","","",""
"Rarely","2006","Not Working","vocational + Abi","","","",""
"Rarely","2006","Not Working","higher vocational","","","",""
"Rarely","2006","Not Working","higher education","","","",""
"Never","2006","Full Time","in school","","","",""
"Never","2006","Full Time","inadequately","","","",""
"Never","2006","Full Time","general elemantary","","","",""
"Never","2006","Full Time","middle vocational","","","",""
"Never","2006","Full Time","vocational + Abi","","","",""
"Never","2006","Full Time","higher vocational","","","",""
"Never","2006","Full Time","higher education","","","",""
"Never","2006","Part Time","in school","","","",""
"Never","2006","Part Time","inadequately","","","",""
"Never","2006","Part Time","general elemantary","","","",""
"Never","2006","Part Time","middle vocational","","","",""
"Never","2006","Part Time","vocational + Abi","","","",""
"Never","2006","Part Time","higher vocational","","","",""
"Never","2006","Part Time","higher education","","","",""
"Never","2006","Not Working","in school","","","",""
"Never","2006","Not Working","inadequately","","","",""
"Never","2006","Not Working","general elemantary","","","",""
"Never","2006","Not Working","middle vocational","","","",""
"Never","2006","Not Working","vocational + Abi","","","",""
"Never","2006","Not Working","higher vocational","","","",""
"Never","2006","Not Working","higher education","","","",""
"Very often","2007","Full Time","in school","","","",""
"Very often","2007","Full Time","inadequately","","","",""
"Very often","2007","Full Time","general elemantary","","","",""
"Very often","2007","Full Time","middle vocational","","","",""
"Very often","2007","Full Time","vocational + Abi","","","",""
"Very often","2007","Full Time","higher vocational","","","",""
"Very often","2007","Full Time","higher education","","","",""
"Very often","2007","Part Time","in school","","","",""
"Very often","2007","Part Time","inadequately","","","",""
"Very often","2007","Part Time","general elemantary","","","",""
"Very often","2007","Part Time","middle vocational","","","",""
"Very often","2007","Part Time","vocational + Abi","","","",""
"Very often","2007","Part Time","higher vocational","","","",""
"Very often","2007","Part Time","higher education","","","",""
"Very often","2007","Not Working","in school","","","",""
"Very often","2007","Not Working","inadequately","","","",""
"Very often","2007","Not Working","general elemantary","","","",""
"Very often","2007","Not Working","middle vocational","","","",""
"Very often","2007","Not Working","vocational + Abi","","","",""
"Very often","2007","Not Working","higher vocational","","","",""
"Very often","2007","Not Working","higher education","","","",""
"Often","2007","Full Time","in school","","","",""
"Often","2007","Full Time","inadequately","","","",""
"Often","2007","Full Time","general elemantary","","","",""
"Often","2007","Full Time","middle vocational","","","",""
"Often","2007","Full Time","vocational + Abi","","","",""
"Often","2007","Full Time","higher vocational","","","",""
"Often","2007","Full Time","higher education","","","",""
"Often","2007","Part Time","in school","","","",""
"Often","2007","Part Time","inadequately","","","",""
"Often","2007","Part Time","general elemantary","","","",""
"Often","2007","Part Time","middle vocational","","","",""
"Often","2007","Part Time","vocational + Abi","","","",""
"Often","2007","Part Time","higher vocational","","","",""
"Often","2007","Part Time","higher education","","","",""
"Often","2007","Not Working","in school","","","",""
"Often","2007","Not Working","inadequately","","","",""
"Often","2007","Not Working","general elemantary","","","",""
"Often","2007","Not Working","middle vocational","","","",""
"Often","2007","Not Working","vocational + Abi","","","",""
"Often","2007","Not Working","higher vocational","","","",""
"Often","2007","Not Working","higher education","","","",""
"Sometimes","2007","Full Time","in school","","","",""
"Sometimes","2007","Full Time","inadequately","","","",""
"Sometimes","2007","Full Time","general elemantary","","","",""
"Sometimes","2007","Full Time","middle vocational","","","",""
"Sometimes","2007","Full Time","vocational + Abi","","","",""
"Sometimes","2007","Full Time","higher vocational","","","",""
"Sometimes","2007","Full Time","higher education","","","",""
"Sometimes","2007","Part Time","in school","","","",""
"Sometimes","2007","Part Time","inadequately","","","",""
"Sometimes","2007","Part Time","general elemantary","","","",""
"Sometimes","2007","Part Time","middle vocational","","","",""
"Sometimes","2007","Part Time","vocational + Abi","","","",""
"Sometimes","2007","Part Time","higher vocational","","","",""
"Sometimes","2007","Part Time","higher education","","","",""
"Sometimes","2007","Not Working","in school","","","",""
"Sometimes","2007","Not Working","inadequately","","","",""
"Sometimes","2007","Not Working","general elemantary","","","",""
"Sometimes","2007","Not Working","middle vocational","","","",""
"Sometimes","2007","Not Working","vocational + Abi","","","",""
"Sometimes","2007","Not Working","higher vocational","","","",""
"Sometimes","2007","Not Working","higher education","","","",""
"Rarely","2007","Full Time","in school","","","",""
"Rarely","2007","Full Time","inadequately","","","",""
"Rarely","2007","Full Time","general elemantary","","","",""
"Rarely","2007","Full Time","middle vocational","","","",""
"Rarely","2007","Full Time","vocational + Abi","","","",""
"Rarely","2007","Full Time","higher vocational","","","",""
"Rarely","2007","Full Time","higher education","","","",""
"Rarely","2007","Part Time","in school","","","",""
"Rarely","2007","Part Time","inadequately","","","",""
"Rarely","2007","Part Time","general elemantary","","","",""
"Rarely","2007","Part Time","middle vocational","","","",""
"Rarely","2007","Part Time","vocational + Abi","","","",""
"Rarely","2007","Part Time","higher vocational","","","",""
"Rarely","2007","Part Time","higher education","","","",""
"Rarely","2007","Not Working","in school","","","",""
"Rarely","2007","Not Working","inadequately","","","",""
"Rarely","2007","Not Working","general elemantary","","","",""
"Rarely","2007","Not Working","middle vocational","","","",""
"Rarely","2007","Not Working","vocational + Abi","","","",""
"Rarely","2007","Not Working","higher vocational","","","",""
"Rarely","2007","Not Working","higher education","","","",""
"Never","2007","Full Time","in school","","","",""
"Never","2007","Full Time","inadequately","","","",""
"Never","2007","Full Time","general elemantary","","","",""
"Never","2007","Full Time","middle vocational","","","",""
"Never","2007","Full Time","vocational + Abi","","","",""
"Never","2007","Full Time","higher vocational","","","",""
"Never","2007","Full Time","higher education","","","",""
"Never","2007","Part Time","in school","","","",""
"Never","2007","Part Time","inadequately","","","",""
"Never","2007","Part Time","general elemantary","","","",""
"Never","2007","Part Time","middle vocational","","","",""
"Never","2007","Part Time","vocational + Abi","","","",""
"Never","2007","Part Time","higher vocational","","","",""
"Never","2007","Part Time","higher education","","","",""
"Never","2007","Not Working","in school","","","",""
"Never","2007","Not Working","inadequately","","","",""
"Never","2007","Not Working","general elemantary","","","",""
"Never","2007","Not Working","middle vocational","","","",""
"Never","2007","Not Working","vocational + Abi","","","",""
"Never","2007","Not Working","higher vocational","","","",""
"Never","2007","Not Working","higher education","","","",""
"Very often","2008","Full Time","in school","","","",""
"Very often","2008","Full Time","inadequately","","","",""
"Very often","2008","Full Time","general elemantary","3","","",""
"Very often","2008","Full Time","middle vocational","16","","",""
"Very often","2008","Full Time","vocational + Abi","2","","",""
