"pld0044","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2016","Male","","","","","3"
"Sometimes","2016","Female","","","","","3"
"Very often","2016","Male","","","","","1"
"Very often","2016","Female","","","","","1"
"Never","2017","Male","","","","","5"
"Never","2017","Female","","","","","5"
"Often","2017","Male","","","","","2"
"Often","2017","Female","","","","","2"
"Rarely","2017","Male","","","","","4"
"Rarely","2017","Female","","","","","4"
"Sometimes","2017","Male","","","","","3"
"Sometimes","2017","Female","","","","","3"
"Very often","2017","Male","","","","","1"
"Very often","2017","Female","","","","","1"
"Never","2018","Male","5040","0.416960217299162","0.408078328573466","0.425842106024857","5"
"Never","2018","Female","6606","0.495567725010239","0.487240361870907","0.503895088149571","5"
"Often","2018","Male","557","0.0481534466441825","0.0442968334483244","0.0520100598400405","2"
"Often","2018","Female","518","0.0383099623727883","0.0351130702253788","0.0415068545201977","2"
"Rarely","2018","Male","4027","0.344157390671971","0.335599094972764","0.352715686371177","4"
"Rarely","2018","Female","4358","0.302513574364119","0.294862985270048","0.31016416345819","4"
"Sometimes","2018","Male","2101","0.182916492237232","0.175952334845376","0.189880649629088","3"
"Sometimes","2018","Female","2263","0.158538494280671","0.152455196796917","0.164621791764426","3"
"Very often","2018","Male","113","0.00781245314745295","0.00622646651685086","0.00939843977805504","1"
"Very often","2018","Female","103","0.00507024397218202","0.00388729720377796","0.00625319074058607","1"
