"pld0044","year","e11103","n","percent","lower_confidence","upper_confidence"
"Rarely","2010","Part Time","","","",""
"Rarely","2010","Not Working","","","",""
"Never","2010","Full Time","","","",""
"Never","2010","Part Time","","","",""
"Never","2010","Not Working","","","",""
"Very often","2011","Full Time","","","",""
"Very often","2011","Part Time","","","",""
"Very often","2011","Not Working","","","",""
"Often","2011","Full Time","","","",""
"Often","2011","Part Time","","","",""
"Often","2011","Not Working","","","",""
"Sometimes","2011","Full Time","","","",""
"Sometimes","2011","Part Time","","","",""
"Sometimes","2011","Not Working","","","",""
"Rarely","2011","Full Time","","","",""
"Rarely","2011","Part Time","","","",""
"Rarely","2011","Not Working","","","",""
"Never","2011","Full Time","","","",""
"Never","2011","Part Time","","","",""
"Never","2011","Not Working","","","",""
"Very often","2012","Full Time","","","",""
"Very often","2012","Part Time","","","",""
"Very often","2012","Not Working","","","",""
"Often","2012","Full Time","","","",""
"Often","2012","Part Time","","","",""
"Often","2012","Not Working","","","",""
"Sometimes","2012","Full Time","","","",""
"Sometimes","2012","Part Time","","","",""
"Sometimes","2012","Not Working","","","",""
"Rarely","2012","Full Time","","","",""
"Rarely","2012","Part Time","","","",""
"Rarely","2012","Not Working","","","",""
"Never","2012","Full Time","","","",""
"Never","2012","Part Time","","","",""
"Never","2012","Not Working","","","",""
"Very often","2013","Full Time","26","","",""
"Very often","2013","Part Time","37","0.0042561058044048","0.0027434480686918","0.0057687635401178"
"Very often","2013","Not Working","35","0.0024009367463969","0.00137613554360012","0.00342573794919368"
"Often","2013","Full Time","282","0.032069159008408","0.0285484794032841","0.0355898386135319"
"Often","2013","Part Time","210","0.0298528636621838","0.0258985379322527","0.0338071893921149"
"Often","2013","Not Working","233","0.0197596501448086","0.016845397736376","0.0226739025532412"
"Sometimes","2013","Full Time","1348","0.149310606562601","0.14218877998782","0.156432433137382"
"Sometimes","2013","Part Time","984","0.144505409476663","0.136335611353957","0.152675207599369"
"Sometimes","2013","Not Working","890","0.0855586288675977","0.0797015497302975","0.0914157080048979"
"Rarely","2013","Full Time","3460","0.376980741200802","0.367296382368198","0.386665100033407"
"Rarely","2013","Part Time","2373","0.341447908531425","0.330429523767913","0.352466293294936"
"Rarely","2013","Not Working","2104","0.230962042515332","0.222137027671215","0.239787057359448"
"Never","2013","Full Time","4504","0.439656167092702","0.429737702713437","0.449574631471966"
"Never","2013","Part Time","3511","0.479937712525324","0.468329088161186","0.491546336889461"
"Never","2013","Not Working","5499","0.661318741725865","0.651408773807775","0.671228709643956"
"Very often","2014","Full Time","","","",""
"Very often","2014","Part Time","","","",""
"Very often","2014","Not Working","","","",""
"Often","2014","Full Time","","","",""
"Often","2014","Part Time","","","",""
"Often","2014","Not Working","","","",""
"Sometimes","2014","Full Time","","","",""
"Sometimes","2014","Part Time","","","",""
"Sometimes","2014","Not Working","","","",""
"Rarely","2014","Full Time","","","",""
"Rarely","2014","Part Time","","","",""
"Rarely","2014","Not Working","","","",""
"Never","2014","Full Time","","","",""
"Never","2014","Part Time","","","",""
"Never","2014","Not Working","","","",""
"Very often","2015","Full Time","","","",""
"Very often","2015","Part Time","","","",""
"Very often","2015","Not Working","","","",""
"Often","2015","Full Time","","","",""
"Often","2015","Part Time","","","",""
"Often","2015","Not Working","","","",""
"Sometimes","2015","Full Time","","","",""
"Sometimes","2015","Part Time","","","",""
"Sometimes","2015","Not Working","","","",""
"Rarely","2015","Full Time","","","",""
"Rarely","2015","Part Time","","","",""
"Rarely","2015","Not Working","","","",""
"Never","2015","Full Time","","","",""
"Never","2015","Part Time","","","",""
"Never","2015","Not Working","","","",""
"Very often","2016","Full Time","","","",""
"Very often","2016","Part Time","","","",""
"Very often","2016","Not Working","","","",""
"Often","2016","Full Time","","","",""
"Often","2016","Part Time","","","",""
"Often","2016","Not Working","","","",""
"Sometimes","2016","Full Time","","","",""
"Sometimes","2016","Part Time","","","",""
"Sometimes","2016","Not Working","","","",""
"Rarely","2016","Full Time","","","",""
"Rarely","2016","Part Time","","","",""
"Rarely","2016","Not Working","","","",""
"Never","2016","Full Time","","","",""
"Never","2016","Part Time","","","",""
"Never","2016","Not Working","","","",""
"Very often","2017","Full Time","","","",""
"Very often","2017","Part Time","","","",""
"Very often","2017","Not Working","","","",""
"Often","2017","Full Time","","","",""
"Often","2017","Part Time","","","",""
"Often","2017","Not Working","","","",""
"Sometimes","2017","Full Time","","","",""
"Sometimes","2017","Part Time","","","",""
"Sometimes","2017","Not Working","","","",""
"Rarely","2017","Full Time","","","",""
"Rarely","2017","Part Time","","","",""
"Rarely","2017","Not Working","","","",""
"Never","2017","Full Time","","","",""
"Never","2017","Part Time","","","",""
"Never","2017","Not Working","","","",""
"Very often","2018","Full Time","75","0.00665482200699471","0.00505380728467256","0.00825583672931686"
"Very often","2018","Part Time","72","0.00720372327965193","0.00529424358957177","0.00911320296973208"
"Very often","2018","Not Working","69","0.00554358466430102","0.00394082900629933","0.00714634032230272"
"Often","2018","Full Time","418","0.0466817792764747","0.0425277490070309","0.0508358095459185"
"Often","2018","Part Time","355","0.0571420794956656","0.0519011585349899","0.0623830004563413"
"Often","2018","Not Working","302","0.0285254503268434","0.0249320047822102","0.0321188958714767"
"Sometimes","2018","Full Time","1888","0.205300454719005","0.197346677042873","0.213254232395138"
"Sometimes","2018","Part Time","1416","0.191300996837536","0.182420065075253","0.200181928599819"
"Sometimes","2018","Not Working","1060","0.115096873199503","0.108207832872448","0.121985913526558"
"Rarely","2018","Full Time","3719","0.379412616614115","0.369857535795218","0.388967697433011"
"Rarely","2018","Part Time","2641","0.344222377344351","0.33349473442759","0.354950020261112"
"Rarely","2018","Not Working","2025","0.242453353777654","0.233202157667942","0.251704549887365"
"Never","2018","Full Time","3807","0.36195032738341","0.352487329531652","0.371413325235169"
"Never","2018","Part Time","3051","0.400130823042795","0.389068769913247","0.411192876172344"
"Never","2018","Not Working","4788","0.608380738031699","0.59784417791282","0.618917298150579"
