"pld0044","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Often","2012","Berlin","(Married) couple without C. ","","","",""
"Often","2012","Berlin","Single parent ","","","",""
"Often","2012","Berlin","Couple + C. LE 16 ","","","",""
"Often","2012","Berlin","Couple + C. GT 16 ","","","",""
"Often","2012","Berlin","Couple + C. LE and GT 16","","","",""
"Often","2012","Brandenburg","1-pers.-HH","","","",""
"Often","2012","Brandenburg","(Married) couple without C. ","","","",""
"Often","2012","Brandenburg","Single parent ","","","",""
"Often","2012","Brandenburg","Couple + C. LE 16 ","","","",""
"Often","2012","Brandenburg","Couple + C. GT 16 ","","","",""
"Often","2012","Brandenburg","Couple + C. LE and GT 16","","","",""
"Often","2012","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Often","2012","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Often","2012","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Often","2012","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Often","2012","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Often","2012","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Often","2012","Saxony","1-pers.-HH","","","",""
"Often","2012","Saxony","(Married) couple without C. ","","","",""
"Often","2012","Saxony","Single parent ","","","",""
"Often","2012","Saxony","Couple + C. LE 16 ","","","",""
"Often","2012","Saxony","Couple + C. GT 16 ","","","",""
"Often","2012","Saxony","Couple + C. LE and GT 16","","","",""
"Often","2012","Saxony-Anhalt","1-pers.-HH","","","",""
"Often","2012","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Often","2012","Saxony-Anhalt","Single parent ","","","",""
"Often","2012","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Often","2012","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Often","2012","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Often","2012","Thuringia","1-pers.-HH","","","",""
"Often","2012","Thuringia","(Married) couple without C. ","","","",""
"Often","2012","Thuringia","Single parent ","","","",""
"Often","2012","Thuringia","Couple + C. LE 16 ","","","",""
"Often","2012","Thuringia","Couple + C. GT 16 ","","","",""
"Often","2012","Thuringia","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Schleswig-Holstein","1-pers.-HH","","","",""
"Sometimes","2012","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Sometimes","2012","Schleswig-Holstein","Single parent ","","","",""
"Sometimes","2012","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Hamburg","1-pers.-HH","","","",""
"Sometimes","2012","Hamburg","(Married) couple without C. ","","","",""
"Sometimes","2012","Hamburg","Single parent ","","","",""
"Sometimes","2012","Hamburg","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Hamburg","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Hamburg","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Lower Saxony","1-pers.-HH","","","",""
"Sometimes","2012","Lower Saxony","(Married) couple without C. ","","","",""
"Sometimes","2012","Lower Saxony","Single parent ","","","",""
"Sometimes","2012","Lower Saxony","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Lower Saxony","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Bremen","1-pers.-HH","","","",""
"Sometimes","2012","Bremen","(Married) couple without C. ","","","",""
"Sometimes","2012","Bremen","Single parent ","","","",""
"Sometimes","2012","Bremen","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Bremen","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Bremen","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","North Rhine-Westphalia","1-pers.-HH","","","",""
"Sometimes","2012","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Sometimes","2012","North Rhine-Westphalia","Single parent ","","","",""
"Sometimes","2012","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Sometimes","2012","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Sometimes","2012","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Hesse","1-pers.-HH","","","",""
"Sometimes","2012","Hesse","(Married) couple without C. ","","","",""
"Sometimes","2012","Hesse","Single parent ","","","",""
"Sometimes","2012","Hesse","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Hesse","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Hesse","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Sometimes","2012","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Sometimes","2012","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Sometimes","2012","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Baden-Württemberg","1-pers.-HH","","","",""
"Sometimes","2012","Baden-Württemberg","(Married) couple without C. ","","","",""
"Sometimes","2012","Baden-Württemberg","Single parent ","","","",""
"Sometimes","2012","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Bavaria","1-pers.-HH","","","",""
"Sometimes","2012","Bavaria","(Married) couple without C. ","","","",""
"Sometimes","2012","Bavaria","Single parent ","","","",""
"Sometimes","2012","Bavaria","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Bavaria","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Bavaria","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Berlin","1-pers.-HH","","","",""
"Sometimes","2012","Berlin","(Married) couple without C. ","","","",""
"Sometimes","2012","Berlin","Single parent ","","","",""
"Sometimes","2012","Berlin","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Berlin","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Berlin","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Brandenburg","1-pers.-HH","","","",""
"Sometimes","2012","Brandenburg","(Married) couple without C. ","","","",""
"Sometimes","2012","Brandenburg","Single parent ","","","",""
"Sometimes","2012","Brandenburg","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Brandenburg","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Brandenburg","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Sometimes","2012","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Sometimes","2012","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Sometimes","2012","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Saxony","1-pers.-HH","","","",""
"Sometimes","2012","Saxony","(Married) couple without C. ","","","",""
"Sometimes","2012","Saxony","Single parent ","","","",""
"Sometimes","2012","Saxony","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Saxony","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Saxony","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Saxony-Anhalt","1-pers.-HH","","","",""
"Sometimes","2012","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Sometimes","2012","Saxony-Anhalt","Single parent ","","","",""
"Sometimes","2012","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Sometimes","2012","Thuringia","1-pers.-HH","","","",""
"Sometimes","2012","Thuringia","(Married) couple without C. ","","","",""
"Sometimes","2012","Thuringia","Single parent ","","","",""
"Sometimes","2012","Thuringia","Couple + C. LE 16 ","","","",""
"Sometimes","2012","Thuringia","Couple + C. GT 16 ","","","",""
"Sometimes","2012","Thuringia","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Schleswig-Holstein","1-pers.-HH","","","",""
"Rarely","2012","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Rarely","2012","Schleswig-Holstein","Single parent ","","","",""
"Rarely","2012","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Rarely","2012","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Rarely","2012","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Hamburg","1-pers.-HH","","","",""
"Rarely","2012","Hamburg","(Married) couple without C. ","","","",""
"Rarely","2012","Hamburg","Single parent ","","","",""
"Rarely","2012","Hamburg","Couple + C. LE 16 ","","","",""
"Rarely","2012","Hamburg","Couple + C. GT 16 ","","","",""
"Rarely","2012","Hamburg","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Lower Saxony","1-pers.-HH","","","",""
"Rarely","2012","Lower Saxony","(Married) couple without C. ","","","",""
"Rarely","2012","Lower Saxony","Single parent ","","","",""
"Rarely","2012","Lower Saxony","Couple + C. LE 16 ","","","",""
"Rarely","2012","Lower Saxony","Couple + C. GT 16 ","","","",""
"Rarely","2012","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Bremen","1-pers.-HH","","","",""
"Rarely","2012","Bremen","(Married) couple without C. ","","","",""
"Rarely","2012","Bremen","Single parent ","","","",""
"Rarely","2012","Bremen","Couple + C. LE 16 ","","","",""
"Rarely","2012","Bremen","Couple + C. GT 16 ","","","",""
"Rarely","2012","Bremen","Couple + C. LE and GT 16","","","",""
"Rarely","2012","North Rhine-Westphalia","1-pers.-HH","","","",""
"Rarely","2012","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Rarely","2012","North Rhine-Westphalia","Single parent ","","","",""
"Rarely","2012","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Rarely","2012","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Rarely","2012","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Hesse","1-pers.-HH","","","",""
"Rarely","2012","Hesse","(Married) couple without C. ","","","",""
"Rarely","2012","Hesse","Single parent ","","","",""
"Rarely","2012","Hesse","Couple + C. LE 16 ","","","",""
"Rarely","2012","Hesse","Couple + C. GT 16 ","","","",""
"Rarely","2012","Hesse","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Rarely","2012","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Rarely","2012","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Rarely","2012","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Rarely","2012","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Rarely","2012","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Baden-Württemberg","1-pers.-HH","","","",""
"Rarely","2012","Baden-Württemberg","(Married) couple without C. ","","","",""
"Rarely","2012","Baden-Württemberg","Single parent ","","","",""
"Rarely","2012","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Rarely","2012","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Rarely","2012","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Bavaria","1-pers.-HH","","","",""
"Rarely","2012","Bavaria","(Married) couple without C. ","","","",""
"Rarely","2012","Bavaria","Single parent ","","","",""
"Rarely","2012","Bavaria","Couple + C. LE 16 ","","","",""
"Rarely","2012","Bavaria","Couple + C. GT 16 ","","","",""
"Rarely","2012","Bavaria","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Berlin","1-pers.-HH","","","",""
"Rarely","2012","Berlin","(Married) couple without C. ","","","",""
"Rarely","2012","Berlin","Single parent ","","","",""
"Rarely","2012","Berlin","Couple + C. LE 16 ","","","",""
"Rarely","2012","Berlin","Couple + C. GT 16 ","","","",""
"Rarely","2012","Berlin","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Brandenburg","1-pers.-HH","","","",""
"Rarely","2012","Brandenburg","(Married) couple without C. ","","","",""
"Rarely","2012","Brandenburg","Single parent ","","","",""
"Rarely","2012","Brandenburg","Couple + C. LE 16 ","","","",""
"Rarely","2012","Brandenburg","Couple + C. GT 16 ","","","",""
"Rarely","2012","Brandenburg","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Rarely","2012","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Rarely","2012","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Rarely","2012","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Rarely","2012","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Rarely","2012","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Saxony","1-pers.-HH","","","",""
"Rarely","2012","Saxony","(Married) couple without C. ","","","",""
"Rarely","2012","Saxony","Single parent ","","","",""
"Rarely","2012","Saxony","Couple + C. LE 16 ","","","",""
"Rarely","2012","Saxony","Couple + C. GT 16 ","","","",""
"Rarely","2012","Saxony","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Saxony-Anhalt","1-pers.-HH","","","",""
"Rarely","2012","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Rarely","2012","Saxony-Anhalt","Single parent ","","","",""
"Rarely","2012","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Rarely","2012","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Rarely","2012","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Rarely","2012","Thuringia","1-pers.-HH","","","",""
"Rarely","2012","Thuringia","(Married) couple without C. ","","","",""
"Rarely","2012","Thuringia","Single parent ","","","",""
"Rarely","2012","Thuringia","Couple + C. LE 16 ","","","",""
"Rarely","2012","Thuringia","Couple + C. GT 16 ","","","",""
"Rarely","2012","Thuringia","Couple + C. LE and GT 16","","","",""
"Never","2012","Schleswig-Holstein","1-pers.-HH","","","",""
"Never","2012","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Never","2012","Schleswig-Holstein","Single parent ","","","",""
"Never","2012","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Never","2012","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Never","2012","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Never","2012","Hamburg","1-pers.-HH","","","",""
"Never","2012","Hamburg","(Married) couple without C. ","","","",""
"Never","2012","Hamburg","Single parent ","","","",""
"Never","2012","Hamburg","Couple + C. LE 16 ","","","",""
"Never","2012","Hamburg","Couple + C. GT 16 ","","","",""
"Never","2012","Hamburg","Couple + C. LE and GT 16","","","",""
"Never","2012","Lower Saxony","1-pers.-HH","","","",""
"Never","2012","Lower Saxony","(Married) couple without C. ","","","",""
"Never","2012","Lower Saxony","Single parent ","","","",""
"Never","2012","Lower Saxony","Couple + C. LE 16 ","","","",""
"Never","2012","Lower Saxony","Couple + C. GT 16 ","","","",""
"Never","2012","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Never","2012","Bremen","1-pers.-HH","","","",""
"Never","2012","Bremen","(Married) couple without C. ","","","",""
"Never","2012","Bremen","Single parent ","","","",""
"Never","2012","Bremen","Couple + C. LE 16 ","","","",""
"Never","2012","Bremen","Couple + C. GT 16 ","","","",""
"Never","2012","Bremen","Couple + C. LE and GT 16","","","",""
"Never","2012","North Rhine-Westphalia","1-pers.-HH","","","",""
"Never","2012","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Never","2012","North Rhine-Westphalia","Single parent ","","","",""
"Never","2012","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Never","2012","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Never","2012","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Never","2012","Hesse","1-pers.-HH","","","",""
"Never","2012","Hesse","(Married) couple without C. ","","","",""
"Never","2012","Hesse","Single parent ","","","",""
"Never","2012","Hesse","Couple + C. LE 16 ","","","",""
"Never","2012","Hesse","Couple + C. GT 16 ","","","",""
"Never","2012","Hesse","Couple + C. LE and GT 16","","","",""
"Never","2012","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Never","2012","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Never","2012","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Never","2012","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Never","2012","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Never","2012","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Never","2012","Baden-Württemberg","1-pers.-HH","","","",""
"Never","2012","Baden-Württemberg","(Married) couple without C. ","","","",""
"Never","2012","Baden-Württemberg","Single parent ","","","",""
"Never","2012","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Never","2012","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Never","2012","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Never","2012","Bavaria","1-pers.-HH","","","",""
"Never","2012","Bavaria","(Married) couple without C. ","","","",""
"Never","2012","Bavaria","Single parent ","","","",""
"Never","2012","Bavaria","Couple + C. LE 16 ","","","",""
"Never","2012","Bavaria","Couple + C. GT 16 ","","","",""
"Never","2012","Bavaria","Couple + C. LE and GT 16","","","",""
"Never","2012","Berlin","1-pers.-HH","","","",""
"Never","2012","Berlin","(Married) couple without C. ","","","",""
"Never","2012","Berlin","Single parent ","","","",""
"Never","2012","Berlin","Couple + C. LE 16 ","","","",""
"Never","2012","Berlin","Couple + C. GT 16 ","","","",""
"Never","2012","Berlin","Couple + C. LE and GT 16","","","",""
"Never","2012","Brandenburg","1-pers.-HH","","","",""
"Never","2012","Brandenburg","(Married) couple without C. ","","","",""
"Never","2012","Brandenburg","Single parent ","","","",""
"Never","2012","Brandenburg","Couple + C. LE 16 ","","","",""
"Never","2012","Brandenburg","Couple + C. GT 16 ","","","",""
"Never","2012","Brandenburg","Couple + C. LE and GT 16","","","",""
"Never","2012","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Never","2012","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Never","2012","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Never","2012","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Never","2012","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Never","2012","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Never","2012","Saxony","1-pers.-HH","","","",""
"Never","2012","Saxony","(Married) couple without C. ","","","",""
"Never","2012","Saxony","Single parent ","","","",""
"Never","2012","Saxony","Couple + C. LE 16 ","","","",""
"Never","2012","Saxony","Couple + C. GT 16 ","","","",""
"Never","2012","Saxony","Couple + C. LE and GT 16","","","",""
"Never","2012","Saxony-Anhalt","1-pers.-HH","","","",""
"Never","2012","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Never","2012","Saxony-Anhalt","Single parent ","","","",""
"Never","2012","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Never","2012","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Never","2012","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Never","2012","Thuringia","1-pers.-HH","","","",""
"Never","2012","Thuringia","(Married) couple without C. ","","","",""
"Never","2012","Thuringia","Single parent ","","","",""
"Never","2012","Thuringia","Couple + C. LE 16 ","","","",""
"Never","2012","Thuringia","Couple + C. GT 16 ","","","",""
"Never","2012","Thuringia","Couple + C. LE and GT 16","","","",""
"Very often","2013","Schleswig-Holstein","1-pers.-HH","1","","",""
"Very often","2013","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Very often","2013","Schleswig-Holstein","Single parent ","","","",""
"Very often","2013","Schleswig-Holstein","Couple + C. LE 16 ","1","","",""
"Very often","2013","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Very often","2013","Schleswig-Holstein","Couple + C. LE and GT 16","1","","",""
"Very often","2013","Hamburg","1-pers.-HH","","","",""
"Very often","2013","Hamburg","(Married) couple without C. ","","","",""
"Very often","2013","Hamburg","Single parent ","1","","",""
"Very often","2013","Hamburg","Couple + C. LE 16 ","1","","",""
"Very often","2013","Hamburg","Couple + C. GT 16 ","","","",""
"Very often","2013","Hamburg","Couple + C. LE and GT 16","","","",""
"Very often","2013","Lower Saxony","1-pers.-HH","","","",""
"Very often","2013","Lower Saxony","(Married) couple without C. ","4","","",""
"Very often","2013","Lower Saxony","Single parent ","","","",""
"Very often","2013","Lower Saxony","Couple + C. LE 16 ","2","","",""
"Very often","2013","Lower Saxony","Couple + C. GT 16 ","1","","",""
"Very often","2013","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Very often","2013","Bremen","1-pers.-HH","","","",""
"Very often","2013","Bremen","(Married) couple without C. ","","","",""
"Very often","2013","Bremen","Single parent ","","","",""
"Very often","2013","Bremen","Couple + C. LE 16 ","","","",""
"Very often","2013","Bremen","Couple + C. GT 16 ","","","",""
"Very often","2013","Bremen","Couple + C. LE and GT 16","","","",""
"Very often","2013","North Rhine-Westphalia","1-pers.-HH","1","","",""
"Very often","2013","North Rhine-Westphalia","(Married) couple without C. ","2","","",""
"Very often","2013","North Rhine-Westphalia","Single parent ","4","","",""
"Very often","2013","North Rhine-Westphalia","Couple + C. LE 16 ","7","","",""
"Very often","2013","North Rhine-Westphalia","Couple + C. GT 16 ","4","","",""
"Very often","2013","North Rhine-Westphalia","Couple + C. LE and GT 16","2","","",""
"Very often","2013","Hesse","1-pers.-HH","2","","",""
"Very often","2013","Hesse","(Married) couple without C. ","1","","",""
"Very often","2013","Hesse","Single parent ","3","","",""
"Very often","2013","Hesse","Couple + C. LE 16 ","4","","",""
"Very often","2013","Hesse","Couple + C. GT 16 ","","","",""
"Very often","2013","Hesse","Couple + C. LE and GT 16","3","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","1-pers.-HH","1","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Single parent ","2","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","1","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","1","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","1","","",""
"Very often","2013","Baden-Württemberg","1-pers.-HH","4","","",""
"Very often","2013","Baden-Württemberg","(Married) couple without C. ","1","","",""
"Very often","2013","Baden-Württemberg","Single parent ","3","","",""
"Very often","2013","Baden-Württemberg","Couple + C. LE 16 ","1","","",""
"Very often","2013","Baden-Württemberg","Couple + C. GT 16 ","1","","",""
"Very often","2013","Baden-Württemberg","Couple + C. LE and GT 16","3","","",""
"Very often","2013","Bavaria","1-pers.-HH","","","",""
"Very often","2013","Bavaria","(Married) couple without C. ","1","","",""
"Very often","2013","Bavaria","Single parent ","4","","",""
"Very often","2013","Bavaria","Couple + C. LE 16 ","2","","",""
"Very often","2013","Bavaria","Couple + C. GT 16 ","","","",""
"Very often","2013","Bavaria","Couple + C. LE and GT 16","3","","",""
"Very often","2013","Berlin","1-pers.-HH","","","",""
"Very often","2013","Berlin","(Married) couple without C. ","1","","",""
"Very often","2013","Berlin","Single parent ","2","","",""
"Very often","2013","Berlin","Couple + C. LE 16 ","1","","",""
"Very often","2013","Berlin","Couple + C. GT 16 ","","","",""
"Very often","2013","Berlin","Couple + C. LE and GT 16","","","",""
"Very often","2013","Brandenburg","1-pers.-HH","","","",""
"Very often","2013","Brandenburg","(Married) couple without C. ","","","",""
"Very often","2013","Brandenburg","Single parent ","1","","",""
"Very often","2013","Brandenburg","Couple + C. LE 16 ","","","",""
"Very often","2013","Brandenburg","Couple + C. GT 16 ","","","",""
"Very often","2013","Brandenburg","Couple + C. LE and GT 16","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Single parent ","3","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","1","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Very often","2013","Saxony","1-pers.-HH","2","","",""
"Very often","2013","Saxony","(Married) couple without C. ","","","",""
"Very often","2013","Saxony","Single parent ","1","","",""
"Very often","2013","Saxony","Couple + C. LE 16 ","","","",""
"Very often","2013","Saxony","Couple + C. GT 16 ","","","",""
"Very often","2013","Saxony","Couple + C. LE and GT 16","2","","",""
"Very often","2013","Saxony-Anhalt","1-pers.-HH","","","",""
"Very often","2013","Saxony-Anhalt","(Married) couple without C. ","2","","",""
"Very often","2013","Saxony-Anhalt","Single parent ","","","",""
"Very often","2013","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Very often","2013","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Very often","2013","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Very often","2013","Thuringia","1-pers.-HH","","","",""
"Very often","2013","Thuringia","(Married) couple without C. ","","","",""
"Very often","2013","Thuringia","Single parent ","","","",""
"Very often","2013","Thuringia","Couple + C. LE 16 ","2","","",""
"Very often","2013","Thuringia","Couple + C. GT 16 ","","","",""
"Very often","2013","Thuringia","Couple + C. LE and GT 16","","","",""
"Often","2013","Schleswig-Holstein","1-pers.-HH","10","","",""
"Often","2013","Schleswig-Holstein","(Married) couple without C. ","2","","",""
"Often","2013","Schleswig-Holstein","Single parent ","3","","",""
"Often","2013","Schleswig-Holstein","Couple + C. LE 16 ","4","","",""
"Often","2013","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Often","2013","Schleswig-Holstein","Couple + C. LE and GT 16","4","","",""
"Often","2013","Hamburg","1-pers.-HH","6","","",""
"Often","2013","Hamburg","(Married) couple without C. ","1","","",""
"Often","2013","Hamburg","Single parent ","1","","",""
"Often","2013","Hamburg","Couple + C. LE 16 ","2","","",""
"Often","2013","Hamburg","Couple + C. GT 16 ","3","","",""
"Often","2013","Hamburg","Couple + C. LE and GT 16","","","",""
"Often","2013","Lower Saxony","1-pers.-HH","9","","",""
"Often","2013","Lower Saxony","(Married) couple without C. ","8","","",""
"Often","2013","Lower Saxony","Single parent ","7","","",""
"Often","2013","Lower Saxony","Couple + C. LE 16 ","18","","",""
"Often","2013","Lower Saxony","Couple + C. GT 16 ","13","","",""
"Often","2013","Lower Saxony","Couple + C. LE and GT 16","19","","",""
"Often","2013","Bremen","1-pers.-HH","","","",""
"Often","2013","Bremen","(Married) couple without C. ","","","",""
"Often","2013","Bremen","Single parent ","2","","",""
"Often","2013","Bremen","Couple + C. LE 16 ","1","","",""
"Often","2013","Bremen","Couple + C. GT 16 ","2","","",""
"Often","2013","Bremen","Couple + C. LE and GT 16","","","",""
"Often","2013","North Rhine-Westphalia","1-pers.-HH","26","","",""
"Often","2013","North Rhine-Westphalia","(Married) couple without C. ","30","0.0206446721121877","0.0133284223203953","0.0279609219039802"
