"pld0044","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Often","2003","Brandenburg","(Married) couple without C. ","3","","",""
"Often","2003","Brandenburg","Single parent ","","","",""
"Often","2003","Brandenburg","Couple + C. LE 16 ","1","","",""
"Often","2003","Brandenburg","Couple + C. GT 16 ","6","","",""
"Often","2003","Brandenburg","Couple + C. LE and GT 16","1","","",""
"Often","2003","Mecklenburg-Western Pomerania","1-pers.-HH","6","","",""
"Often","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Often","2003","Mecklenburg-Western Pomerania","Single parent ","2","","",""
"Often","2003","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","1","","",""
"Often","2003","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","4","","",""
"Often","2003","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","2","","",""
"Often","2003","Saxony","1-pers.-HH","3","","",""
"Often","2003","Saxony","(Married) couple without C. ","1","","",""
"Often","2003","Saxony","Single parent ","5","","",""
"Often","2003","Saxony","Couple + C. LE 16 ","5","","",""
"Often","2003","Saxony","Couple + C. GT 16 ","7","","",""
"Often","2003","Saxony","Couple + C. LE and GT 16","6","","",""
"Often","2003","Saxony-Anhalt","1-pers.-HH","2","","",""
"Often","2003","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Often","2003","Saxony-Anhalt","Single parent ","3","","",""
"Often","2003","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Often","2003","Saxony-Anhalt","Couple + C. GT 16 ","10","","",""
"Often","2003","Saxony-Anhalt","Couple + C. LE and GT 16","2","","",""
"Often","2003","Thuringia","1-pers.-HH","","","",""
"Often","2003","Thuringia","(Married) couple without C. ","1","","",""
"Often","2003","Thuringia","Single parent ","","","",""
"Often","2003","Thuringia","Couple + C. LE 16 ","","","",""
"Often","2003","Thuringia","Couple + C. GT 16 ","6","","",""
"Often","2003","Thuringia","Couple + C. LE and GT 16","3","","",""
"Sometimes","2003","Schleswig-Holstein","1-pers.-HH","24","","",""
"Sometimes","2003","Schleswig-Holstein","(Married) couple without C. ","25","","",""
