"pld0044","year","migback","n","percent","lower_confidence","upper_confidence"
"Often","2006","indirect migration background","","","",""
"Sometimes","2006","no migration background","","","",""
"Sometimes","2006","direct migration background","","","",""
"Sometimes","2006","indirect migration background","","","",""
"Rarely","2006","no migration background","","","",""
"Rarely","2006","direct migration background","","","",""
"Rarely","2006","indirect migration background","","","",""
"Never","2006","no migration background","","","",""
"Never","2006","direct migration background","","","",""
"Never","2006","indirect migration background","","","",""
"Very often","2007","no migration background","","","",""
"Very often","2007","direct migration background","","","",""
"Very often","2007","indirect migration background","","","",""
"Often","2007","no migration background","","","",""
"Often","2007","direct migration background","","","",""
"Often","2007","indirect migration background","","","",""
"Sometimes","2007","no migration background","","","",""
"Sometimes","2007","direct migration background","","","",""
"Sometimes","2007","indirect migration background","","","",""
"Rarely","2007","no migration background","","","",""
"Rarely","2007","direct migration background","","","",""
"Rarely","2007","indirect migration background","","","",""
"Never","2007","no migration background","","","",""
"Never","2007","direct migration background","","","",""
"Never","2007","indirect migration background","","","",""
"Very often","2008","no migration background","78","0.00509272634975894","0.00401077529178891","0.00617467740772897"
"Very often","2008","direct migration background","6","","",""
"Very often","2008","indirect migration background","11","","",""
"Often","2008","no migration background","348","0.0233864395033315","0.0210893148048334","0.0256835642018295"
"Often","2008","direct migration background","53","0.0346413149304195","0.0264034565323905","0.0428791733284486"
"Often","2008","indirect migration background","52","0.0758133863869667","0.0571292216929771","0.0944975510809563"
"Sometimes","2008","no migration background","1816","0.113544299880388","0.108722020924904","0.118366578835873"
"Sometimes","2008","direct migration background","311","0.163804498844109","0.14713242558183","0.180476572106388"
"Sometimes","2008","indirect migration background","174","0.214548423906483","0.185572100912744","0.243524746900221"
"Rarely","2008","no migration background","5235","0.313488759894112","0.306437350081182","0.320540169707041"
"Rarely","2008","direct migration background","559","0.30190929707302","0.281228515169766","0.322590078976273"
"Rarely","2008","indirect migration background","269","0.330804290696071","0.297593207327015","0.364015374065127"
"Never","2008","no migration background","9150","0.54448777437241","0.536917960034705","0.552057588710115"
"Never","2008","direct migration background","964","0.496713052141562","0.474189680445529","0.519236423837595"
"Never","2008","indirect migration background","265","0.366213458614802","0.332207144759549","0.400219772470056"
"Very often","2009","no migration background","","","",""
"Very often","2009","direct migration background","","","",""
"Very often","2009","indirect migration background","","","",""
"Often","2009","no migration background","","","",""
"Often","2009","direct migration background","","","",""
"Often","2009","indirect migration background","","","",""
"Sometimes","2009","no migration background","","","",""
"Sometimes","2009","direct migration background","","","",""
"Sometimes","2009","indirect migration background","","","",""
"Rarely","2009","no migration background","","","",""
"Rarely","2009","direct migration background","","","",""
"Rarely","2009","indirect migration background","","","",""
"Never","2009","no migration background","","","",""
"Never","2009","direct migration background","","","",""
"Never","2009","indirect migration background","","","",""
"Very often","2010","no migration background","","","",""
"Very often","2010","direct migration background","","","",""
"Very often","2010","indirect migration background","","","",""
"Often","2010","no migration background","","","",""
"Often","2010","direct migration background","","","",""
"Often","2010","indirect migration background","","","",""
"Sometimes","2010","no migration background","","","",""
"Sometimes","2010","direct migration background","","","",""
"Sometimes","2010","indirect migration background","","","",""
"Rarely","2010","no migration background","","","",""
"Rarely","2010","direct migration background","","","",""
"Rarely","2010","indirect migration background","","","",""
"Never","2010","no migration background","","","",""
"Never","2010","direct migration background","","","",""
"Never","2010","indirect migration background","","","",""
"Very often","2011","no migration background","","","",""
"Very often","2011","direct migration background","","","",""
"Very often","2011","indirect migration background","","","",""
"Often","2011","no migration background","","","",""
"Often","2011","direct migration background","","","",""
"Often","2011","indirect migration background","","","",""
"Sometimes","2011","no migration background","","","",""
"Sometimes","2011","direct migration background","","","",""
"Sometimes","2011","indirect migration background","","","",""
"Rarely","2011","no migration background","","","",""
"Rarely","2011","direct migration background","","","",""
"Rarely","2011","indirect migration background","","","",""
"Never","2011","no migration background","","","",""
"Never","2011","direct migration background","","","",""
"Never","2011","indirect migration background","","","",""
"Very often","2012","no migration background","","","",""
"Very often","2012","direct migration background","","","",""
"Very often","2012","indirect migration background","","","",""
"Often","2012","no migration background","","","",""
"Often","2012","direct migration background","","","",""
"Often","2012","indirect migration background","","","",""
"Sometimes","2012","no migration background","","","",""
"Sometimes","2012","direct migration background","","","",""
"Sometimes","2012","indirect migration background","","","",""
"Rarely","2012","no migration background","","","",""
"Rarely","2012","direct migration background","","","",""
"Rarely","2012","indirect migration background","","","",""
"Never","2012","no migration background","","","",""
"Never","2012","direct migration background","","","",""
"Never","2012","indirect migration background","","","",""
"Very often","2013","no migration background","69","0.00239732207156154","0.00174611251898908","0.00304853162413399"
"Very often","2013","direct migration background","16","","",""
"Very often","2013","indirect migration background","13","","",""
"Often","2013","no migration background","522","0.0244842077281837","0.0224262381645757","0.0265421772917918"
"Often","2013","direct migration background","115","0.0380562680014137","0.0307687937445615","0.045343742258266"
"Often","2013","indirect migration background","88","0.0609159388388778","0.047292399644609","0.0745394780331467"
"Sometimes","2013","no migration background","2514","0.116661412617827","0.112386709242177","0.120936115993477"
"Sometimes","2013","direct migration background","468","0.16677888942098","0.152580477496298","0.180977301345662"
"Sometimes","2013","indirect migration background","240","0.197585034741713","0.174904735852015","0.220265333631411"
"Rarely","2013","no migration background","6771","0.313304310751153","0.307127787036007","0.319480834466299"
"Rarely","2013","direct migration background","748","0.284252166161033","0.267072251061961","0.301432081260106"
"Rarely","2013","indirect migration background","418","0.38446452522113","0.356755138093847","0.412173912348413"
"Never","2013","no migration background","11788","0.543152746831274","0.53651951361802","0.549785980044528"
"Never","2013","direct migration background","1301","0.507215428008468","0.488173370192622","0.526257485824314"
"Never","2013","indirect migration background","425","0.349662885193571","0.322500601666462","0.37682516872068"
"Very often","2014","no migration background","","","",""
"Very often","2014","direct migration background","","","",""
"Very often","2014","indirect migration background","","","",""
"Often","2014","no migration background","","","",""
"Often","2014","direct migration background","","","",""
"Often","2014","indirect migration background","","","",""
"Sometimes","2014","no migration background","","","",""
"Sometimes","2014","direct migration background","","","",""
"Sometimes","2014","indirect migration background","","","",""
"Rarely","2014","no migration background","","","",""
"Rarely","2014","direct migration background","","","",""
"Rarely","2014","indirect migration background","","","",""
"Never","2014","no migration background","","","",""
"Never","2014","direct migration background","","","",""
"Never","2014","indirect migration background","","","",""
"Very often","2015","no migration background","","","",""
"Very often","2015","direct migration background","","","",""
"Very often","2015","indirect migration background","","","",""
"Often","2015","no migration background","","","",""
"Often","2015","direct migration background","","","",""
"Often","2015","indirect migration background","","","",""
"Sometimes","2015","no migration background","","","",""
"Sometimes","2015","direct migration background","","","",""
"Sometimes","2015","indirect migration background","","","",""
"Rarely","2015","no migration background","","","",""
"Rarely","2015","direct migration background","","","",""
"Rarely","2015","indirect migration background","","","",""
"Never","2015","no migration background","","","",""
"Never","2015","direct migration background","","","",""
"Never","2015","indirect migration background","","","",""
"Very often","2016","no migration background","","","",""
"Very often","2016","direct migration background","","","",""
"Very often","2016","indirect migration background","","","",""
"Often","2016","no migration background","","","",""
"Often","2016","direct migration background","","","",""
"Often","2016","indirect migration background","","","",""
"Sometimes","2016","no migration background","","","",""
"Sometimes","2016","direct migration background","","","",""
"Sometimes","2016","indirect migration background","","","",""
"Rarely","2016","no migration background","","","",""
"Rarely","2016","direct migration background","","","",""
"Rarely","2016","indirect migration background","","","",""
"Never","2016","no migration background","","","",""
"Never","2016","direct migration background","","","",""
"Never","2016","indirect migration background","","","",""
"Very often","2017","no migration background","","","",""
"Very often","2017","direct migration background","","","",""
"Very often","2017","indirect migration background","","","",""
"Often","2017","no migration background","","","",""
"Often","2017","direct migration background","","","",""
"Often","2017","indirect migration background","","","",""
"Sometimes","2017","no migration background","","","",""
"Sometimes","2017","direct migration background","","","",""
"Sometimes","2017","indirect migration background","","","",""
"Rarely","2017","no migration background","","","",""
"Rarely","2017","direct migration background","","","",""
"Rarely","2017","indirect migration background","","","",""
"Never","2017","no migration background","","","",""
"Never","2017","direct migration background","","","",""
"Never","2017","indirect migration background","","","",""
"Very often","2018","no migration background","124","0.0048680103842996","0.00389264204058616","0.00584337872801304"
"Very often","2018","direct migration background","59","0.0116418446449938","0.00847774019217682","0.0148059490978107"
"Very often","2018","indirect migration background","33","0.0135096949193295","0.00803803347999229","0.0189813563586667"
"Often","2018","no migration background","652","0.0337670356229026","0.0312357569649882","0.0362983142808171"
"Often","2018","direct migration background","267","0.0637186306124343","0.0565138768121949","0.0709233844126737"
"Often","2018","indirect migration background","156","0.115331098332931","0.100191525196604","0.130470671469259"
"Sometimes","2018","no migration background","3033","0.156721243807294","0.15162673779357","0.161815749821019"
"Sometimes","2018","direct migration background","863","0.193722805956718","0.182065040851333","0.205380571062103"
"Sometimes","2018","indirect migration background","468","0.295019662662346","0.273404225718535","0.316635099606156"
"Rarely","2018","no migration background","6588","0.332289343089451","0.325688416164431","0.338890270014471"
"Rarely","2018","direct migration background","1264","0.286963476180011","0.273620523756127","0.300306428603895"
"Rarely","2018","indirect migration background","533","0.291112413056062","0.269581170980706","0.312643655131419"
"Never","2018","no migration background","9164","0.472354367096052","0.465358239751747","0.479350494440358"
"Never","2018","direct migration background","1962","0.443953242605843","0.429297527655206","0.45860895755648"
"Never","2018","indirect migration background","520","0.285027131029331","0.263630868523903","0.306423393534759"
