"pld0044","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely","2003","in school","West Germany","125","0.275093172043176","0.234015940563944","0.316170403522407"
"Rarely","2003","in school","East Germany","54","0.320854453941034","0.2489714780279","0.392737429854169"
"Rarely","2003","inadequately","West Germany","48","0.176692576264491","0.129030747206796","0.224354405322186"
"Rarely","2003","inadequately","East Germany","4","","",""
"Rarely","2003","general elemantary","West Germany","563","0.234750827003571","0.217477926373594","0.252023727633548"
"Rarely","2003","general elemantary","East Germany","116","0.234267644769464","0.193664973694442","0.274870315844487"
"Rarely","2003","middle vocational","West Germany","2638","0.305036875770502","0.29512324638457","0.314950505156434"
"Rarely","2003","middle vocational","East Germany","780","0.262669921685177","0.246389598109921","0.278950245260433"
"Rarely","2003","vocational + Abi","West Germany","385","0.369639792543141","0.339958350912202","0.399321234174081"
"Rarely","2003","vocational + Abi","East Germany","61","0.357213813778151","0.278676243321008","0.435751384235294"
"Rarely","2003","higher vocational","West Germany","458","0.370273837286144","0.343255215526216","0.397292459046072"
"Rarely","2003","higher vocational","East Germany","139","0.286562226483988","0.244924547624834","0.328199905343143"
"Rarely","2003","higher education","West Germany","1164","0.385904140659785","0.368638950007861","0.403169331311708"
"Rarely","2003","higher education","East Germany","457","0.360687138266324","0.334431742078367","0.386942534454281"
"Never","2003","in school","West Germany","75","0.201569658384083","0.164667543147789","0.238471773620378"
"Never","2003","in school","East Germany","33","0.183100044611574","0.123544905287159","0.242655183935988"
"Never","2003","inadequately","West Germany","150","0.63742545884076","0.577350443121305","0.697500474560215"
"Never","2003","inadequately","East Germany","10","","",""
"Never","2003","general elemantary","West Germany","1292","0.586336387803682","0.566265926329412","0.606406849277951"
"Never","2003","general elemantary","East Germany","236","0.631027868965897","0.584770491995522","0.677285245936272"
"Never","2003","middle vocational","West Germany","4343","0.537280859123199","0.52654504352132","0.548016674725078"
"Never","2003","middle vocational","East Germany","1703","0.623514010982357","0.605590445682282","0.641437576282432"
"Never","2003","vocational + Abi","West Germany","424","0.408955804201743","0.378725020660688","0.439186587742799"
"Never","2003","vocational + Abi","East Germany","56","0.460833642150262","0.379135241760102","0.542532042540422"
"Never","2003","higher vocational","West Germany","593","0.467974399077252","0.440055189244053","0.495893608910451"
"Never","2003","higher vocational","East Germany","275","0.631840668833888","0.587426587428063","0.676254750239713"
"Never","2003","higher education","West Germany","1344","0.423143745373272","0.405621436139233","0.440666054607312"
"Never","2003","higher education","East Germany","700","0.535195989290577","0.50792581675327","0.562466161827883"
"Very often","2004","in school","West Germany","","","",""
"Very often","2004","in school","East Germany","","","",""
"Very often","2004","inadequately","West Germany","","","",""
"Very often","2004","inadequately","East Germany","","","",""
"Very often","2004","general elemantary","West Germany","","","",""
"Very often","2004","general elemantary","East Germany","","","",""
"Very often","2004","middle vocational","West Germany","","","",""
"Very often","2004","middle vocational","East Germany","","","",""
"Very often","2004","vocational + Abi","West Germany","","","",""
"Very often","2004","vocational + Abi","East Germany","","","",""
"Very often","2004","higher vocational","West Germany","","","",""
"Very often","2004","higher vocational","East Germany","","","",""
"Very often","2004","higher education","West Germany","","","",""
"Very often","2004","higher education","East Germany","","","",""
"Often","2004","in school","West Germany","","","",""
"Often","2004","in school","East Germany","","","",""
"Often","2004","inadequately","West Germany","","","",""
"Often","2004","inadequately","East Germany","","","",""
"Often","2004","general elemantary","West Germany","","","",""
"Often","2004","general elemantary","East Germany","","","",""
"Often","2004","middle vocational","West Germany","","","",""
"Often","2004","middle vocational","East Germany","","","",""
"Often","2004","vocational + Abi","West Germany","","","",""
"Often","2004","vocational + Abi","East Germany","","","",""
"Often","2004","higher vocational","West Germany","","","",""
"Often","2004","higher vocational","East Germany","","","",""
"Often","2004","higher education","West Germany","","","",""
"Often","2004","higher education","East Germany","","","",""
"Sometimes","2004","in school","West Germany","","","",""
"Sometimes","2004","in school","East Germany","","","",""
"Sometimes","2004","inadequately","West Germany","","","",""
"Sometimes","2004","inadequately","East Germany","","","",""
"Sometimes","2004","general elemantary","West Germany","","","",""
"Sometimes","2004","general elemantary","East Germany","","","",""
"Sometimes","2004","middle vocational","West Germany","","","",""
"Sometimes","2004","middle vocational","East Germany","","","",""
"Sometimes","2004","vocational + Abi","West Germany","","","",""
"Sometimes","2004","vocational + Abi","East Germany","","","",""
"Sometimes","2004","higher vocational","West Germany","","","",""
"Sometimes","2004","higher vocational","East Germany","","","",""
"Sometimes","2004","higher education","West Germany","","","",""
"Sometimes","2004","higher education","East Germany","","","",""
"Rarely","2004","in school","West Germany","","","",""
"Rarely","2004","in school","East Germany","","","",""
"Rarely","2004","inadequately","West Germany","","","",""
"Rarely","2004","inadequately","East Germany","","","",""
"Rarely","2004","general elemantary","West Germany","","","",""
"Rarely","2004","general elemantary","East Germany","","","",""
"Rarely","2004","middle vocational","West Germany","","","",""
"Rarely","2004","middle vocational","East Germany","","","",""
"Rarely","2004","vocational + Abi","West Germany","","","",""
"Rarely","2004","vocational + Abi","East Germany","","","",""
"Rarely","2004","higher vocational","West Germany","","","",""
"Rarely","2004","higher vocational","East Germany","","","",""
"Rarely","2004","higher education","West Germany","","","",""
"Rarely","2004","higher education","East Germany","","","",""
"Never","2004","in school","West Germany","","","",""
"Never","2004","in school","East Germany","","","",""
"Never","2004","inadequately","West Germany","","","",""
"Never","2004","inadequately","East Germany","","","",""
"Never","2004","general elemantary","West Germany","","","",""
"Never","2004","general elemantary","East Germany","","","",""
"Never","2004","middle vocational","West Germany","","","",""
"Never","2004","middle vocational","East Germany","","","",""
"Never","2004","vocational + Abi","West Germany","","","",""
"Never","2004","vocational + Abi","East Germany","","","",""
"Never","2004","higher vocational","West Germany","","","",""
"Never","2004","higher vocational","East Germany","","","",""
"Never","2004","higher education","West Germany","","","",""
"Never","2004","higher education","East Germany","","","",""
"Very often","2005","in school","West Germany","","","",""
"Very often","2005","in school","East Germany","","","",""
"Very often","2005","inadequately","West Germany","","","",""
"Very often","2005","inadequately","East Germany","","","",""
"Very often","2005","general elemantary","West Germany","","","",""
"Very often","2005","general elemantary","East Germany","","","",""
"Very often","2005","middle vocational","West Germany","","","",""
"Very often","2005","middle vocational","East Germany","","","",""
"Very often","2005","vocational + Abi","West Germany","","","",""
"Very often","2005","vocational + Abi","East Germany","","","",""
"Very often","2005","higher vocational","West Germany","","","",""
"Very often","2005","higher vocational","East Germany","","","",""
"Very often","2005","higher education","West Germany","","","",""
"Very often","2005","higher education","East Germany","","","",""
"Often","2005","in school","West Germany","","","",""
"Often","2005","in school","East Germany","","","",""
"Often","2005","inadequately","West Germany","","","",""
"Often","2005","inadequately","East Germany","","","",""
"Often","2005","general elemantary","West Germany","","","",""
"Often","2005","general elemantary","East Germany","","","",""
"Often","2005","middle vocational","West Germany","","","",""
"Often","2005","middle vocational","East Germany","","","",""
"Often","2005","vocational + Abi","West Germany","","","",""
"Often","2005","vocational + Abi","East Germany","","","",""
"Often","2005","higher vocational","West Germany","","","",""
"Often","2005","higher vocational","East Germany","","","",""
"Often","2005","higher education","West Germany","","","",""
"Often","2005","higher education","East Germany","","","",""
"Sometimes","2005","in school","West Germany","","","",""
"Sometimes","2005","in school","East Germany","","","",""
"Sometimes","2005","inadequately","West Germany","","","",""
"Sometimes","2005","inadequately","East Germany","","","",""
"Sometimes","2005","general elemantary","West Germany","","","",""
"Sometimes","2005","general elemantary","East Germany","","","",""
"Sometimes","2005","middle vocational","West Germany","","","",""
"Sometimes","2005","middle vocational","East Germany","","","",""
"Sometimes","2005","vocational + Abi","West Germany","","","",""
"Sometimes","2005","vocational + Abi","East Germany","","","",""
"Sometimes","2005","higher vocational","West Germany","","","",""
"Sometimes","2005","higher vocational","East Germany","","","",""
"Sometimes","2005","higher education","West Germany","","","",""
"Sometimes","2005","higher education","East Germany","","","",""
"Rarely","2005","in school","West Germany","","","",""
"Rarely","2005","in school","East Germany","","","",""
"Rarely","2005","inadequately","West Germany","","","",""
"Rarely","2005","inadequately","East Germany","","","",""
"Rarely","2005","general elemantary","West Germany","","","",""
"Rarely","2005","general elemantary","East Germany","","","",""
"Rarely","2005","middle vocational","West Germany","","","",""
"Rarely","2005","middle vocational","East Germany","","","",""
"Rarely","2005","vocational + Abi","West Germany","","","",""
"Rarely","2005","vocational + Abi","East Germany","","","",""
"Rarely","2005","higher vocational","West Germany","","","",""
"Rarely","2005","higher vocational","East Germany","","","",""
"Rarely","2005","higher education","West Germany","","","",""
"Rarely","2005","higher education","East Germany","","","",""
"Never","2005","in school","West Germany","","","",""
"Never","2005","in school","East Germany","","","",""
"Never","2005","inadequately","West Germany","","","",""
"Never","2005","inadequately","East Germany","","","",""
"Never","2005","general elemantary","West Germany","","","",""
"Never","2005","general elemantary","East Germany","","","",""
"Never","2005","middle vocational","West Germany","","","",""
"Never","2005","middle vocational","East Germany","","","",""
"Never","2005","vocational + Abi","West Germany","","","",""
"Never","2005","vocational + Abi","East Germany","","","",""
"Never","2005","higher vocational","West Germany","","","",""
"Never","2005","higher vocational","East Germany","","","",""
"Never","2005","higher education","West Germany","","","",""
"Never","2005","higher education","East Germany","","","",""
"Very often","2006","in school","West Germany","","","",""
"Very often","2006","in school","East Germany","","","",""
"Very often","2006","inadequately","West Germany","","","",""
"Very often","2006","inadequately","East Germany","","","",""
"Very often","2006","general elemantary","West Germany","","","",""
"Very often","2006","general elemantary","East Germany","","","",""
"Very often","2006","middle vocational","West Germany","","","",""
"Very often","2006","middle vocational","East Germany","","","",""
"Very often","2006","vocational + Abi","West Germany","","","",""
"Very often","2006","vocational + Abi","East Germany","","","",""
"Very often","2006","higher vocational","West Germany","","","",""
"Very often","2006","higher vocational","East Germany","","","",""
"Very often","2006","higher education","West Germany","","","",""
"Very often","2006","higher education","East Germany","","","",""
"Often","2006","in school","West Germany","","","",""
"Often","2006","in school","East Germany","","","",""
"Often","2006","inadequately","West Germany","","","",""
"Often","2006","inadequately","East Germany","","","",""
"Often","2006","general elemantary","West Germany","","","",""
"Often","2006","general elemantary","East Germany","","","",""
"Often","2006","middle vocational","West Germany","","","",""
"Often","2006","middle vocational","East Germany","","","",""
"Often","2006","vocational + Abi","West Germany","","","",""
"Often","2006","vocational + Abi","East Germany","","","",""
"Often","2006","higher vocational","West Germany","","","",""
"Often","2006","higher vocational","East Germany","","","",""
"Often","2006","higher education","West Germany","","","",""
"Often","2006","higher education","East Germany","","","",""
"Sometimes","2006","in school","West Germany","","","",""
"Sometimes","2006","in school","East Germany","","","",""
"Sometimes","2006","inadequately","West Germany","","","",""
"Sometimes","2006","inadequately","East Germany","","","",""
"Sometimes","2006","general elemantary","West Germany","","","",""
"Sometimes","2006","general elemantary","East Germany","","","",""
"Sometimes","2006","middle vocational","West Germany","","","",""
"Sometimes","2006","middle vocational","East Germany","","","",""
"Sometimes","2006","vocational + Abi","West Germany","","","",""
"Sometimes","2006","vocational + Abi","East Germany","","","",""
"Sometimes","2006","higher vocational","West Germany","","","",""
"Sometimes","2006","higher vocational","East Germany","","","",""
"Sometimes","2006","higher education","West Germany","","","",""
"Sometimes","2006","higher education","East Germany","","","",""
"Rarely","2006","in school","West Germany","","","",""
"Rarely","2006","in school","East Germany","","","",""
"Rarely","2006","inadequately","West Germany","","","",""
"Rarely","2006","inadequately","East Germany","","","",""
"Rarely","2006","general elemantary","West Germany","","","",""
"Rarely","2006","general elemantary","East Germany","","","",""
"Rarely","2006","middle vocational","West Germany","","","",""
"Rarely","2006","middle vocational","East Germany","","","",""
"Rarely","2006","vocational + Abi","West Germany","","","",""
"Rarely","2006","vocational + Abi","East Germany","","","",""
"Rarely","2006","higher vocational","West Germany","","","",""
"Rarely","2006","higher vocational","East Germany","","","",""
"Rarely","2006","higher education","West Germany","","","",""
"Rarely","2006","higher education","East Germany","","","",""
"Never","2006","in school","West Germany","","","",""
"Never","2006","in school","East Germany","","","",""
"Never","2006","inadequately","West Germany","","","",""
"Never","2006","inadequately","East Germany","","","",""
"Never","2006","general elemantary","West Germany","","","",""
"Never","2006","general elemantary","East Germany","","","",""
"Never","2006","middle vocational","West Germany","","","",""
"Never","2006","middle vocational","East Germany","","","",""
"Never","2006","vocational + Abi","West Germany","","","",""
"Never","2006","vocational + Abi","East Germany","","","",""
"Never","2006","higher vocational","West Germany","","","",""
"Never","2006","higher vocational","East Germany","","","",""
"Never","2006","higher education","West Germany","","","",""
"Never","2006","higher education","East Germany","","","",""
"Very often","2007","in school","West Germany","","","",""
"Very often","2007","in school","East Germany","","","",""
"Very often","2007","inadequately","West Germany","","","",""
"Very often","2007","inadequately","East Germany","","","",""
"Very often","2007","general elemantary","West Germany","","","",""
"Very often","2007","general elemantary","East Germany","","","",""
"Very often","2007","middle vocational","West Germany","","","",""
"Very often","2007","middle vocational","East Germany","","","",""
"Very often","2007","vocational + Abi","West Germany","","","",""
"Very often","2007","vocational + Abi","East Germany","","","",""
"Very often","2007","higher vocational","West Germany","","","",""
"Very often","2007","higher vocational","East Germany","","","",""
"Very often","2007","higher education","West Germany","","","",""
"Very often","2007","higher education","East Germany","","","",""
"Often","2007","in school","West Germany","","","",""
"Often","2007","in school","East Germany","","","",""
"Often","2007","inadequately","West Germany","","","",""
"Often","2007","inadequately","East Germany","","","",""
"Often","2007","general elemantary","West Germany","","","",""
"Often","2007","general elemantary","East Germany","","","",""
"Often","2007","middle vocational","West Germany","","","",""
"Often","2007","middle vocational","East Germany","","","",""
"Often","2007","vocational + Abi","West Germany","","","",""
"Often","2007","vocational + Abi","East Germany","","","",""
"Often","2007","higher vocational","West Germany","","","",""
"Often","2007","higher vocational","East Germany","","","",""
"Often","2007","higher education","West Germany","","","",""
"Often","2007","higher education","East Germany","","","",""
"Sometimes","2007","in school","West Germany","","","",""
"Sometimes","2007","in school","East Germany","","","",""
"Sometimes","2007","inadequately","West Germany","","","",""
"Sometimes","2007","inadequately","East Germany","","","",""
"Sometimes","2007","general elemantary","West Germany","","","",""
"Sometimes","2007","general elemantary","East Germany","","","",""
"Sometimes","2007","middle vocational","West Germany","","","",""
"Sometimes","2007","middle vocational","East Germany","","","",""
"Sometimes","2007","vocational + Abi","West Germany","","","",""
"Sometimes","2007","vocational + Abi","East Germany","","","",""
"Sometimes","2007","higher vocational","West Germany","","","",""
"Sometimes","2007","higher vocational","East Germany","","","",""
"Sometimes","2007","higher education","West Germany","","","",""
"Sometimes","2007","higher education","East Germany","","","",""
"Rarely","2007","in school","West Germany","","","",""
"Rarely","2007","in school","East Germany","","","",""
"Rarely","2007","inadequately","West Germany","","","",""
"Rarely","2007","inadequately","East Germany","","","",""
"Rarely","2007","general elemantary","West Germany","","","",""
"Rarely","2007","general elemantary","East Germany","","","",""
"Rarely","2007","middle vocational","West Germany","","","",""
"Rarely","2007","middle vocational","East Germany","","","",""
"Rarely","2007","vocational + Abi","West Germany","","","",""
"Rarely","2007","vocational + Abi","East Germany","","","",""
"Rarely","2007","higher vocational","West Germany","","","",""
"Rarely","2007","higher vocational","East Germany","","","",""
"Rarely","2007","higher education","West Germany","","","",""
"Rarely","2007","higher education","East Germany","","","",""
"Never","2007","in school","West Germany","","","",""
"Never","2007","in school","East Germany","","","",""
"Never","2007","inadequately","West Germany","","","",""
"Never","2007","inadequately","East Germany","","","",""
"Never","2007","general elemantary","West Germany","","","",""
"Never","2007","general elemantary","East Germany","","","",""
"Never","2007","middle vocational","West Germany","","","",""
"Never","2007","middle vocational","East Germany","","","",""
"Never","2007","vocational + Abi","West Germany","","","",""
"Never","2007","vocational + Abi","East Germany","","","",""
"Never","2007","higher vocational","West Germany","","","",""
"Never","2007","higher vocational","East Germany","","","",""
"Never","2007","higher education","West Germany","","","",""
"Never","2007","higher education","East Germany","","","",""
"Very often","2008","in school","West Germany","15","","",""
"Very often","2008","in school","East Germany","2","","",""
"Very often","2008","inadequately","West Germany","","","",""
"Very often","2008","inadequately","East Germany","","","",""
"Very often","2008","general elemantary","West Germany","6","","",""
"Very often","2008","general elemantary","East Germany","2","","",""
"Very often","2008","middle vocational","West Germany","30","0.0051649240970632","0.00351148954600838","0.00681835864811802"
"Very often","2008","middle vocational","East Germany","8","","",""
"Very often","2008","vocational + Abi","West Germany","3","","",""
"Very often","2008","vocational + Abi","East Germany","1","","",""
"Very often","2008","higher vocational","West Germany","5","","",""
"Very often","2008","higher vocational","East Germany","1","","",""
"Very often","2008","higher education","West Germany","10","","",""
"Very often","2008","higher education","East Germany","2","","",""
"Often","2008","in school","West Germany","63","0.217490725663014","0.168374095409253","0.266607355916775"
"Often","2008","in school","East Germany","8","","",""
"Often","2008","inadequately","West Germany","5","","",""
"Often","2008","inadequately","East Germany","","","",""
"Often","2008","general elemantary","West Germany","51","0.0399410848637368","0.0306597828113553","0.0492223869161183"
"Often","2008","general elemantary","East Germany","10","","",""
"Often","2008","middle vocational","West Germany","152","0.0244821526249856","0.0209174615199625","0.0280468437300087"
"Often","2008","middle vocational","East Germany","32","0.0190478290502621","0.0136809633126279","0.0244146947878964"
"Often","2008","vocational + Abi","West Germany","27","","",""
"Often","2008","vocational + Abi","East Germany","4","","",""
"Often","2008","higher vocational","West Germany","9","","",""
"Often","2008","higher vocational","East Germany","2","","",""
"Often","2008","higher education","West Germany","53","0.0155953988095597","0.0111211845271723","0.0200696130919471"
"Often","2008","higher education","East Germany","11","","",""
"Sometimes","2008","in school","West Germany","90","0.373795145491366","0.316193022644317","0.431397268338415"
"Sometimes","2008","in school","East Germany","28","","",""
"Sometimes","2008","inadequately","West Germany","22","","",""
"Sometimes","2008","inadequately","East Germany","2","","",""
"Sometimes","2008","general elemantary","West Germany","226","0.136738836610431","0.120454612237271","0.153023060983592"
"Sometimes","2008","general elemantary","East Germany","38","0.0734294288928537","0.0442039454304161","0.102654912355291"
"Sometimes","2008","middle vocational","West Germany","793","0.112899888837715","0.105600061864405","0.120199715811024"
"Sometimes","2008","middle vocational","East Germany","234","0.0993479363829396","0.0876035042794958","0.111092368486383"
"Sometimes","2008","vocational + Abi","West Germany","144","0.16518764096823","0.141333902076141","0.18904137986032"
"Sometimes","2008","vocational + Abi","East Germany","18","","",""
"Sometimes","2008","higher vocational","West Germany","94","0.0965951922703804","0.0786070146327221","0.114583369908039"
"Sometimes","2008","higher vocational","East Germany","24","","",""
"Sometimes","2008","higher education","West Germany","419","0.148191039707246","0.135361419672987","0.161020659741506"
"Sometimes","2008","higher education","East Germany","88","0.072585853220988","0.0581621964931678","0.0870095099488082"
"Rarely","2008","in school","West Germany","68","0.233495318084314","0.183126711107144","0.283863925061484"
"Rarely","2008","in school","East Germany","29","","",""
"Rarely","2008","inadequately","West Germany","25","","",""
"Rarely","2008","inadequately","East Germany","5","","",""
"Rarely","2008","general elemantary","West Germany","408","0.222585933664413","0.202869648504066","0.24230221882476"
"Rarely","2008","general elemantary","East Germany","82","0.273072459114189","0.223152767931328","0.322992150297049"
"Rarely","2008","middle vocational","West Germany","2159","0.293788495976574","0.283281845639616","0.304295146313532"
"Rarely","2008","middle vocational","East Germany","701","0.298370121983266","0.280406009106763","0.316334234859768"
"Rarely","2008","vocational + Abi","West Germany","339","0.386264396808744","0.354988753659671","0.417540039957816"
"Rarely","2008","vocational + Abi","East Germany","59","0.361819370574794","0.288720315521841","0.434918425627747"
"Rarely","2008","higher vocational","West Germany","404","0.378236536650797","0.34870659754152","0.407766475760075"
"Rarely","2008","higher vocational","East Germany","97","0.307453759224061","0.260688151568845","0.354219366879277"
"Rarely","2008","higher education","West Germany","1136","0.398059143671443","0.380383207165879","0.415735080177006"
"Rarely","2008","higher education","East Germany","453","0.380790660558226","0.353796214505631","0.407785106610821"
"Never","2008","in school","West Germany","35","0.119199345562155","0.0806213911618646","0.157777299962445"
"Never","2008","in school","East Germany","15","","",""
"Never","2008","inadequately","West Germany","111","0.631571411257324","0.557518492347969","0.705624330166679"
"Never","2008","inadequately","East Germany","11","","",""
"Never","2008","general elemantary","West Germany","1019","0.599173395060539","0.575945782863057","0.622401007258021"
"Never","2008","general elemantary","East Germany","174","0.611795860732965","0.557192329975486","0.666399391490443"
"Never","2008","middle vocational","West Germany","4086","0.563664538463662","0.552225221232992","0.575103855694333"
"Never","2008","middle vocational","East Germany","1517","0.580036539738531","0.560658604450619","0.599414475026442"
"Never","2008","vocational + Abi","West Germany","418","0.40866216656997","0.377084989678179","0.440239343461761"
"Never","2008","vocational + Abi","East Germany","84","0.498488063267463","0.422427057165258","0.574549069369669"
"Never","2008","higher vocational","West Germany","524","0.505386599625063","0.474941807456781","0.535831391793345"
"Never","2008","higher vocational","East Germany","250","0.601077580854277","0.551450151837524","0.650705009871029"
"Never","2008","higher education","West Germany","1328","0.432827827988376","0.414936327503453","0.450719328473298"
"Never","2008","higher education","East Germany","689","0.534021790340201","0.506290197184231","0.561753383496172"
"Very often","2009","in school","West Germany","","","",""
"Very often","2009","in school","East Germany","","","",""
"Very often","2009","inadequately","West Germany","","","",""
"Very often","2009","inadequately","East Germany","","","",""
"Very often","2009","general elemantary","West Germany","","","",""
"Very often","2009","general elemantary","East Germany","","","",""
"Very often","2009","middle vocational","West Germany","","","",""
"Very often","2009","middle vocational","East Germany","","","",""
"Very often","2009","vocational + Abi","West Germany","","","",""
"Very often","2009","vocational + Abi","East Germany","","","",""
"Very often","2009","higher vocational","West Germany","","","",""
"Very often","2009","higher vocational","East Germany","","","",""
"Very often","2009","higher education","West Germany","","","",""
"Very often","2009","higher education","East Germany","","","",""
"Often","2009","in school","West Germany","","","",""
"Often","2009","in school","East Germany","","","",""
"Often","2009","inadequately","West Germany","","","",""
"Often","2009","inadequately","East Germany","","","",""
"Often","2009","general elemantary","West Germany","","","",""
"Often","2009","general elemantary","East Germany","","","",""
"Often","2009","middle vocational","West Germany","","","",""
"Often","2009","middle vocational","East Germany","","","",""
"Often","2009","vocational + Abi","West Germany","","","",""
"Often","2009","vocational + Abi","East Germany","","","",""
"Often","2009","higher vocational","West Germany","","","",""
"Often","2009","higher vocational","East Germany","","","",""
"Often","2009","higher education","West Germany","","","",""
"Often","2009","higher education","East Germany","","","",""
"Sometimes","2009","in school","West Germany","","","",""
"Sometimes","2009","in school","East Germany","","","",""
"Sometimes","2009","inadequately","West Germany","","","",""
"Sometimes","2009","inadequately","East Germany","","","",""
"Sometimes","2009","general elemantary","West Germany","","","",""
"Sometimes","2009","general elemantary","East Germany","","","",""
"Sometimes","2009","middle vocational","West Germany","","","",""
"Sometimes","2009","middle vocational","East Germany","","","",""
"Sometimes","2009","vocational + Abi","West Germany","","","",""
"Sometimes","2009","vocational + Abi","East Germany","","","",""
"Sometimes","2009","higher vocational","West Germany","","","",""
"Sometimes","2009","higher vocational","East Germany","","","",""
"Sometimes","2009","higher education","West Germany","","","",""
"Sometimes","2009","higher education","East Germany","","","",""
"Rarely","2009","in school","West Germany","","","",""
"Rarely","2009","in school","East Germany","","","",""
"Rarely","2009","inadequately","West Germany","","","",""
"Rarely","2009","inadequately","East Germany","","","",""
"Rarely","2009","general elemantary","West Germany","","","",""
"Rarely","2009","general elemantary","East Germany","","","",""
"Rarely","2009","middle vocational","West Germany","","","",""
"Rarely","2009","middle vocational","East Germany","","","",""
"Rarely","2009","vocational + Abi","West Germany","","","",""
"Rarely","2009","vocational + Abi","East Germany","","","",""
"Rarely","2009","higher vocational","West Germany","","","",""
"Rarely","2009","higher vocational","East Germany","","","",""
"Rarely","2009","higher education","West Germany","","","",""
"Rarely","2009","higher education","East Germany","","","",""
"Never","2009","in school","West Germany","","","",""
"Never","2009","in school","East Germany","","","",""
"Never","2009","inadequately","West Germany","","","",""
"Never","2009","inadequately","East Germany","","","",""
"Never","2009","general elemantary","West Germany","","","",""
"Never","2009","general elemantary","East Germany","","","",""
"Never","2009","middle vocational","West Germany","","","",""
"Never","2009","middle vocational","East Germany","","","",""
"Never","2009","vocational + Abi","West Germany","","","",""
"Never","2009","vocational + Abi","East Germany","","","",""
"Never","2009","higher vocational","West Germany","","","",""
"Never","2009","higher vocational","East Germany","","","",""
"Never","2009","higher education","West Germany","","","",""
"Never","2009","higher education","East Germany","","","",""
"Very often","2010","in school","West Germany","","","",""
"Very often","2010","in school","East Germany","","","",""
"Very often","2010","inadequately","West Germany","","","",""
"Very often","2010","inadequately","East Germany","","","",""
"Very often","2010","general elemantary","West Germany","","","",""
"Very often","2010","general elemantary","East Germany","","","",""
"Very often","2010","middle vocational","West Germany","","","",""
"Very often","2010","middle vocational","East Germany","","","",""
"Very often","2010","vocational + Abi","West Germany","","","",""
"Very often","2010","vocational + Abi","East Germany","","","",""
"Very often","2010","higher vocational","West Germany","","","",""
"Very often","2010","higher vocational","East Germany","","","",""
"Very often","2010","higher education","West Germany","","","",""
"Very often","2010","higher education","East Germany","","","",""
"Often","2010","in school","West Germany","","","",""
"Often","2010","in school","East Germany","","","",""
"Often","2010","inadequately","West Germany","","","",""
"Often","2010","inadequately","East Germany","","","",""
