"pld0044","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","Lower Saxony","secondary school degree","87","0.150764844864347","0.121286445379939","0.180243244348755"
"Sometimes","2003","Lower Saxony","college entrance qualification","75","0.144677425807004","0.111505432335202","0.177849419278805"
"Sometimes","2003","Lower Saxony","Other degree","20","","",""
"Sometimes","2003","Lower Saxony","no degree/no degree yet","22","","",""
"Sometimes","2003","Bremen","lower secondary degree","5","","",""
"Sometimes","2003","Bremen","secondary school degree","7","","",""
"Sometimes","2003","Bremen","college entrance qualification","9","","",""
"Sometimes","2003","Bremen","Other degree","3","","",""
"Sometimes","2003","Bremen","no degree/no degree yet","2","","",""
"Sometimes","2003","North Rhine-Westphalia","lower secondary degree","162","0.0890835256970097","0.075621145722486","0.102545905671533"
"Sometimes","2003","North Rhine-Westphalia","secondary school degree","129","0.120453634336533","0.100178216311027","0.140729052362039"
"Sometimes","2003","North Rhine-Westphalia","college entrance qualification","249","0.218259250167465","0.195865439494703","0.240653060840227"
"Sometimes","2003","North Rhine-Westphalia","Other degree","59","0.143906098694205","0.106093685452974","0.181718511935435"
"Sometimes","2003","North Rhine-Westphalia","no degree/no degree yet","68","0.283155686654756","0.22591765655399","0.340393716755522"
"Sometimes","2003","Hesse","lower secondary degree","48","0.102036366960058","0.0750972044969125","0.128975529423203"
"Sometimes","2003","Hesse","secondary school degree","45","0.116855680466906","0.0845985034512621","0.149112857482551"
"Sometimes","2003","Hesse","college entrance qualification","78","0.206507732479204","0.168467516763293","0.244547948195115"
"Sometimes","2003","Hesse","Other degree","23","","",""
"Sometimes","2003","Hesse","no degree/no degree yet","13","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","lower secondary degree","65","0.113812811204517","0.0887943222782304","0.138831300130804"
"Sometimes","2003","Rhineland-Palatinate,Saarland","secondary school degree","33","0.124466251950494","0.085307484025872","0.163625019875116"
"Sometimes","2003","Rhineland-Palatinate,Saarland","college entrance qualification","46","0.172620572363954","0.126683844955044","0.218557299772864"
"Sometimes","2003","Rhineland-Palatinate,Saarland","Other degree","18","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","14","","",""
"Sometimes","2003","Baden-Württemberg","lower secondary degree","78","0.0753433856963936","0.0586555811855651","0.0920311902072222"
"Sometimes","2003","Baden-Württemberg","secondary school degree","82","0.121284092766686","0.0957311756207971","0.146837009912574"
"Sometimes","2003","Baden-Württemberg","college entrance qualification","102","0.173269883192995","0.143785662268308","0.202754104117681"
"Sometimes","2003","Baden-Württemberg","Other degree","39","0.122922198645619","0.0857047398425594","0.160139657448678"
"Sometimes","2003","Baden-Württemberg","no degree/no degree yet","24","","",""
"Sometimes","2003","Bavaria","lower secondary degree","169","0.124167631515804","0.10641793126414","0.141917331767468"
"Sometimes","2003","Bavaria","secondary school degree","111","0.168884453633707","0.142213470311581","0.195555436955833"
"Sometimes","2003","Bavaria","college entrance qualification","136","0.183328168834018","0.155617591735343","0.211038745932694"
"Sometimes","2003","Bavaria","Other degree","25","","",""
"Sometimes","2003","Bavaria","no degree/no degree yet","24","","",""
"Sometimes","2003","Berlin","lower secondary degree","19","","",""
"Sometimes","2003","Berlin","secondary school degree","45","0.1553077245122","0.112883406944885","0.197732042079515"
"Sometimes","2003","Berlin","college entrance qualification","64","0.20212593209023","0.156143443293499","0.248108420886962"
"Sometimes","2003","Berlin","Other degree","11","","",""
"Sometimes","2003","Berlin","no degree/no degree yet","13","","",""
"Sometimes","2003","Brandenburg","lower secondary degree","17","","",""
"Sometimes","2003","Brandenburg","secondary school degree","32","0.0785426087357802","0.0526283846175581","0.104456832854002"
"Sometimes","2003","Brandenburg","college entrance qualification","28","","",""
"Sometimes","2003","Brandenburg","Other degree","1","","",""
"Sometimes","2003","Brandenburg","no degree/no degree yet","11","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","lower secondary degree","7","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","secondary school degree","26","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","college entrance qualification","10","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","6","","",""
"Sometimes","2003","Saxony","lower secondary degree","26","","",""
"Sometimes","2003","Saxony","secondary school degree","75","0.109242888539372","0.0870065421904811","0.131479234888262"
"Sometimes","2003","Saxony","college entrance qualification","49","0.156285543472833","0.117166228328102","0.195404858617564"
"Sometimes","2003","Saxony","Other degree","2","","",""
"Sometimes","2003","Saxony","no degree/no degree yet","8","","",""
"Sometimes","2003","Saxony-Anhalt","lower secondary degree","24","","",""
"Sometimes","2003","Saxony-Anhalt","secondary school degree","43","0.119133721220341","0.0868170377313044","0.151450404709378"
"Sometimes","2003","Saxony-Anhalt","college entrance qualification","26","","",""
"Sometimes","2003","Saxony-Anhalt","Other degree","","","",""
"Sometimes","2003","Saxony-Anhalt","no degree/no degree yet","10","","",""
"Sometimes","2003","Thuringia","lower secondary degree","17","","",""
"Sometimes","2003","Thuringia","secondary school degree","41","0.101361796533374","0.0728687396935911","0.129854853373158"
"Sometimes","2003","Thuringia","college entrance qualification","22","","",""
"Sometimes","2003","Thuringia","Other degree","","","",""
"Sometimes","2003","Thuringia","no degree/no degree yet","8","","",""
"Rarely","2003","Schleswig-Holstein","lower secondary degree","114","0.424054195820911","0.365644729814223","0.4824636618276"
"Rarely","2003","Schleswig-Holstein","secondary school degree","104","0.654249091037916","0.582753895289805","0.725744286786028"
"Rarely","2003","Schleswig-Holstein","college entrance qualification","92","0.530121825818565","0.454198622074213","0.606045029562917"
"Rarely","2003","Schleswig-Holstein","Other degree","11","","",""
"Rarely","2003","Schleswig-Holstein","no degree/no degree yet","6","","",""
"Rarely","2003","Hamburg","lower secondary degree","30","0.341102359443813","0.237860238103425","0.444344480784201"
"Rarely","2003","Hamburg","secondary school degree","41","0.493128288488761","0.390407964581001","0.595848612396522"
"Rarely","2003","Hamburg","college entrance qualification","46","0.503847070433823","0.406817266453267","0.600876874414378"
"Rarely","2003","Hamburg","Other degree","6","","",""
"Rarely","2003","Hamburg","no degree/no degree yet","2","","",""
"Rarely","2003","Lower Saxony","lower secondary degree","166","0.20968292809512","0.179948193885607","0.239417662304634"
"Rarely","2003","Lower Saxony","secondary school degree","199","0.338157530745935","0.299183374398271","0.377131687093598"
"Rarely","2003","Lower Saxony","college entrance qualification","158","0.369999339607184","0.32447148408435","0.415527195130017"
"Rarely","2003","Lower Saxony","Other degree","22","","",""
"Rarely","2003","Lower Saxony","no degree/no degree yet","28","","",""
"Rarely","2003","Bremen","lower secondary degree","13","","",""
"Rarely","2003","Bremen","secondary school degree","15","","",""
"Rarely","2003","Bremen","college entrance qualification","18","","",""
"Rarely","2003","Bremen","Other degree","3","","",""
"Rarely","2003","Bremen","no degree/no degree yet","2","","",""
"Rarely","2003","North Rhine-Westphalia","lower secondary degree","449","0.247216958985794","0.226829743617177","0.26760417435441"
"Rarely","2003","North Rhine-Westphalia","secondary school degree","348","0.348933560847671","0.319243265384913","0.378623856310429"
"Rarely","2003","North Rhine-Westphalia","college entrance qualification","495","0.371948974203436","0.345746069068904","0.398151879337968"
"Rarely","2003","North Rhine-Westphalia","Other degree","66","0.176743826458959","0.135650270976542","0.217837381941376"
"Rarely","2003","North Rhine-Westphalia","no degree/no degree yet","48","0.169435550862116","0.121776153015363","0.217094948708869"
"Rarely","2003","Hesse","lower secondary degree","112","0.223378320752466","0.186310036265107","0.260446605239824"
"Rarely","2003","Hesse","secondary school degree","129","0.306775521165047","0.260469986893953","0.353081055436141"
"Rarely","2003","Hesse","college entrance qualification","171","0.391436384851036","0.345570787931139","0.437301981770934"
"Rarely","2003","Hesse","Other degree","27","","",""
"Rarely","2003","Hesse","no degree/no degree yet","16","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","lower secondary degree","131","0.229419985053652","0.196297168390656","0.262542801716649"
"Rarely","2003","Rhineland-Palatinate,Saarland","secondary school degree","93","0.383336876849002","0.325662746231946","0.441011007466059"
"Rarely","2003","Rhineland-Palatinate,Saarland","college entrance qualification","97","0.447526830718184","0.387086539018633","0.507967122417735"
"Rarely","2003","Rhineland-Palatinate,Saarland","Other degree","18","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","17","","",""
"Rarely","2003","Baden-Württemberg","lower secondary degree","335","0.336581722758503","0.306705521402447","0.36645792411456"
"Rarely","2003","Baden-Württemberg","secondary school degree","224","0.360313611414087","0.322735217914641","0.397892004913534"
"Rarely","2003","Baden-Württemberg","college entrance qualification","246","0.410389194119121","0.372069069599916","0.448709318638326"
"Rarely","2003","Baden-Württemberg","Other degree","84","0.31759133886766","0.264823526820965","0.370359150914354"
"Rarely","2003","Baden-Württemberg","no degree/no degree yet","36","0.282989148163414","0.204337002701496","0.361641293625332"
"Rarely","2003","Bavaria","lower secondary degree","375","0.263621947327807","0.239907253121538","0.287336641534077"
"Rarely","2003","Bavaria","secondary school degree","282","0.347109256362702","0.313219625256597","0.380998887468807"
"Rarely","2003","Bavaria","college entrance qualification","276","0.35271025052391","0.318491386529102","0.386929114518718"
"Rarely","2003","Bavaria","Other degree","40","0.187721595819562","0.12970088580362","0.245742305835505"
"Rarely","2003","Bavaria","no degree/no degree yet","23","","",""
"Rarely","2003","Berlin","lower secondary degree","37","0.25845421319981","0.189534567540533","0.327373858859086"
"Rarely","2003","Berlin","secondary school degree","100","0.343288061149935","0.287673837233707","0.398902285066162"
"Rarely","2003","Berlin","college entrance qualification","107","0.325271800199611","0.271630176122721","0.3789134242765"
"Rarely","2003","Berlin","Other degree","10","","",""
"Rarely","2003","Berlin","no degree/no degree yet","7","","",""
"Rarely","2003","Brandenburg","lower secondary degree","52","0.204594177835447","0.15656507616164","0.252623279509253"
"Rarely","2003","Brandenburg","secondary school degree","156","0.35287226182361","0.306841126258158","0.398903397389062"
"Rarely","2003","Brandenburg","college entrance qualification","83","0.405368754651762","0.338486344229015","0.472251165074509"
"Rarely","2003","Brandenburg","Other degree","3","","",""
"Rarely","2003","Brandenburg","no degree/no degree yet","12","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","lower secondary degree","22","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","secondary school degree","106","0.403412557267379","0.343081214271246","0.463743900263512"
"Rarely","2003","Mecklenburg-Western Pomerania","college entrance qualification","44","0.445054663044683","0.348133373186543","0.541975952902824"
"Rarely","2003","Mecklenburg-Western Pomerania","Other degree","1","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","4","","",""
"Rarely","2003","Saxony","lower secondary degree","83","0.166872739268723","0.132112294356987","0.201633184180459"
"Rarely","2003","Saxony","secondary school degree","224","0.292317514479834","0.259895959853917","0.32473906910575"
"Rarely","2003","Saxony","college entrance qualification","133","0.42443507595708","0.371189088250135","0.477681063664025"
"Rarely","2003","Saxony","Other degree","","","",""
"Rarely","2003","Saxony","no degree/no degree yet","15","","",""
"Rarely","2003","Saxony-Anhalt","lower secondary degree","58","0.183177513170761","0.139908317195787","0.226446709145735"
"Rarely","2003","Saxony-Anhalt","secondary school degree","127","0.311301229223806","0.26511000098883","0.357492457458781"
"Rarely","2003","Saxony-Anhalt","college entrance qualification","68","0.366104945318604","0.297425201201076","0.434784689436132"
"Rarely","2003","Saxony-Anhalt","Other degree","3","","",""
"Rarely","2003","Saxony-Anhalt","no degree/no degree yet","10","","",""
"Rarely","2003","Thuringia","lower secondary degree","72","0.169091435120813","0.127958455312722","0.210224414928904"
"Rarely","2003","Thuringia","secondary school degree","142","0.355947760588209","0.310745189720459","0.401150331455959"
"Rarely","2003","Thuringia","college entrance qualification","71","0.345876571618563","0.273518918565601","0.418234224671526"
"Rarely","2003","Thuringia","Other degree","3","","",""
"Rarely","2003","Thuringia","no degree/no degree yet","11","","",""
"Never","2003","Schleswig-Holstein","lower secondary degree","117","0.411551680499658","0.353388506626913","0.469714854372404"
"Never","2003","Schleswig-Holstein","secondary school degree","47","0.261193555591118","0.195159161607678","0.327227949574557"
"Never","2003","Schleswig-Holstein","college entrance qualification","36","0.219470055359469","0.15650835209686","0.282431758622078"
"Never","2003","Schleswig-Holstein","Other degree","11","","",""
"Never","2003","Schleswig-Holstein","no degree/no degree yet","7","","",""
"Never","2003","Hamburg","lower secondary degree","41","0.535110387386711","0.426492289407034","0.643728485366388"
"Never","2003","Hamburg","secondary school degree","38","0.37213942033918","0.272825107601609","0.47145373307675"
"Never","2003","Hamburg","college entrance qualification","35","0.263010072947157","0.177569338664531","0.348450807229783"
"Never","2003","Hamburg","Other degree","1","","",""
"Never","2003","Hamburg","no degree/no degree yet","1","","",""
"Never","2003","Lower Saxony","lower secondary degree","476","0.670156231727833","0.635814355811275","0.704498107644391"
"Never","2003","Lower Saxony","secondary school degree","265","0.477596105429444","0.436445761745318","0.518746449113571"
"Never","2003","Lower Saxony","college entrance qualification","179","0.420712933811111","0.374160106164332","0.46726576145789"
"Never","2003","Lower Saxony","Other degree","35","0.400341100542963","0.296179928215574","0.504502272870352"
"Never","2003","Lower Saxony","no degree/no degree yet","16","","",""
"Never","2003","Bremen","lower secondary degree","38","0.683311780415221","0.562548174725359","0.804075386105083"
"Never","2003","Bremen","secondary school degree","25","","",""
"Never","2003","Bremen","college entrance qualification","21","","",""
"Never","2003","Bremen","Other degree","7","","",""
"Never","2003","Bremen","no degree/no degree yet","","","",""
"Never","2003","North Rhine-Westphalia","lower secondary degree","1075","0.642716254724269","0.620069804424049","0.66536270502449"
"Never","2003","North Rhine-Westphalia","secondary school degree","468","0.482152181365775","0.451026158132506","0.513278204599045"
"Never","2003","North Rhine-Westphalia","college entrance qualification","494","0.345842639166356","0.320056241143559","0.371629037189153"
"Never","2003","North Rhine-Westphalia","Other degree","193","0.639510108279196","0.587784650066363","0.69123556649203"
"Never","2003","North Rhine-Westphalia","no degree/no degree yet","83","0.423041183757684","0.360275343981478","0.485807023533891"
"Never","2003","Hesse","lower secondary degree","306","0.640815771058471","0.598118271056697","0.683513271060245"
"Never","2003","Hesse","secondary school degree","190","0.515256264813424","0.465073643156286","0.565438886470562"
"Never","2003","Hesse","college entrance qualification","174","0.380046891012135","0.334432542571765","0.425661239452506"
"Never","2003","Hesse","Other degree","68","0.549370557549187","0.462836174329051","0.635904940769323"
"Never","2003","Hesse","no degree/no degree yet","16","","",""
"Never","2003","Rhineland-Palatinate,Saarland","lower secondary degree","416","0.64399382954445","0.606273768899871","0.681713890189029"
"Never","2003","Rhineland-Palatinate,Saarland","secondary school degree","141","0.481538271361662","0.422267507548853","0.540809035174471"
"Never","2003","Rhineland-Palatinate,Saarland","college entrance qualification","108","0.349973473699996","0.291997971277449","0.407948976122543"
"Never","2003","Rhineland-Palatinate,Saarland","Other degree","47","0.402378914785053","0.301067728724854","0.503690100845253"
"Never","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","14","","",""
"Never","2003","Baden-Württemberg","lower secondary degree","528","0.571050644840413","0.539759120498748","0.602342169182079"
"Never","2003","Baden-Württemberg","secondary school degree","306","0.496662120163716","0.457526281283958","0.535797959043474"
"Never","2003","Baden-Württemberg","college entrance qualification","265","0.388337892139543","0.35037083735009","0.426304946928996"
"Never","2003","Baden-Württemberg","Other degree","171","0.538093538629917","0.481584436857891","0.594602640401944"
"Never","2003","Baden-Württemberg","no degree/no degree yet","49","0.441098488724083","0.354402651420771","0.527794326027395"
"Never","2003","Bavaria","lower secondary degree","744","0.583180996047626","0.556643999596162","0.609717992499091"
"Never","2003","Bavaria","secondary school degree","340","0.437170341416041","0.401857934450677","0.472482748381405"
"Never","2003","Bavaria","college entrance qualification","309","0.416509502119626","0.381204476334922","0.45181452790433"
"Never","2003","Bavaria","Other degree","104","0.584226023952357","0.510995428173254","0.65745661973146"
"Never","2003","Bavaria","no degree/no degree yet","30","0.465261279288338","0.365999628050455","0.564522930526222"
"Never","2003","Berlin","lower secondary degree","95","0.602578698840264","0.525538978067987","0.679618419612541"
"Never","2003","Berlin","secondary school degree","127","0.475017442970023","0.416525467251604","0.533509418688442"
"Never","2003","Berlin","college entrance qualification","106","0.430348864558032","0.373655909428744","0.487041819687321"
"Never","2003","Berlin","Other degree","11","","",""
"Never","2003","Berlin","no degree/no degree yet","14","","",""
"Never","2003","Brandenburg","lower secondary degree","198","0.714621485686404","0.66085494232709","0.768388029045718"
"Never","2003","Brandenburg","secondary school degree","218","0.549866609283528","0.501943254834931","0.597789963732126"
"Never","2003","Brandenburg","college entrance qualification","93","0.438872504655427","0.371269985523463","0.506475023787391"
"Never","2003","Brandenburg","Other degree","6","","",""
"Never","2003","Brandenburg","no degree/no degree yet","7","","",""
"Never","2003","Mecklenburg-Western Pomerania","lower secondary degree","105","0.795315105038856","0.727753443735724","0.862876766341988"
"Never","2003","Mecklenburg-Western Pomerania","secondary school degree","118","0.480558987712815","0.419115946601801","0.54200202882383"
"Never","2003","Mecklenburg-Western Pomerania","college entrance qualification","42","0.427650165873157","0.331164564692946","0.524135767053368"
"Never","2003","Mecklenburg-Western Pomerania","Other degree","6","","",""
"Never","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","6","","",""
"Never","2003","Saxony","lower secondary degree","331","0.765850777903652","0.726372754979035","0.80532880082827"
"Never","2003","Saxony","secondary school degree","445","0.581394800261653","0.546228630016833","0.616560970506472"
"Never","2003","Saxony","college entrance qualification","142","0.402940705098897","0.350100633546426","0.455780776651367"
"Never","2003","Saxony","Other degree","11","","",""
"Never","2003","Saxony","no degree/no degree yet","17","","",""
"Never","2003","Saxony-Anhalt","lower secondary degree","222","0.746255563573063","0.697578882544831","0.794932244601295"
"Never","2003","Saxony-Anhalt","secondary school degree","212","0.558675837444076","0.509140715563535","0.608210959324616"
"Never","2003","Saxony-Anhalt","college entrance qualification","90","0.477919842086949","0.406706180944509","0.54913350322939"
