"pld0044","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Often","2018","(Married) couple without C. ","187","0.0265138948866954","0.0229905278052309","0.0300372619681599","2"
"Often","2018","Couple + C. GT 16 ","169","0.0615870911758872","0.0530016534960383","0.0701725288557361","2"
"Often","2018","Couple + C. LE and GT 16","139","0.0624240655485622","0.0522848828155679","0.0725632482815565","2"
"Often","2018","Couple + C. LE 16 ","171","0.0336825051435406","0.028893204353567","0.0384718059335141","2"
"Rarely","2018","1-pers.-HH","1236","0.297684809667394","0.283711055323918","0.311658564010871","4"
"Rarely","2018","Single parent ","722","0.309037859854091","0.289780865664402","0.328294854043781","4"
"Rarely","2018","(Married) couple without C. ","2422","0.319776187532701","0.309547845916756","0.330004529148646","4"
"Rarely","2018","Couple + C. GT 16 ","1033","0.334551015968431","0.317700656621509","0.351401375315354","4"
"Rarely","2018","Couple + C. LE and GT 16","707","0.329757284612793","0.310054076258349","0.349460492967238","4"
"Rarely","2018","Couple + C. LE 16 ","2060","0.370087210105859","0.357269741821573","0.382904678390146","4"
"Sometimes","2018","1-pers.-HH","734","0.176521382593618","0.164869568150805","0.188173197036431","3"
"Sometimes","2018","Single parent ","498","0.234969897913946","0.217301348079812","0.25263844774808","3"
"Sometimes","2018","(Married) couple without C. ","970","0.13115789005853","0.123754614913516","0.138561165203543","3"
"Sometimes","2018","Couple + C. LE 16 ","904","0.183705393064844","0.173425362245012","0.193985423884677","3"
"Sometimes","2018","Couple + C. GT 16 ","597","0.199216029510182","0.184952058980232","0.213480000040131","3"
"Sometimes","2018","Couple + C. LE and GT 16","513","0.222754084681559","0.205315318209566","0.240192851153551","3"
"Very often","2018","1-pers.-HH","45","0.00829588993834138","0.00552390233547234","0.0110678775412104","1"
"Very often","2018","(Married) couple without C. ","28","","","","1"
"Very often","2018","Single parent ","22","","","","1"
"Very often","2018","Couple + C. LE 16 ","42","0.00556653072673727","0.00359142580266379","0.00754163565081076","1"
"Very often","2018","Couple + C. GT 16 ","30","0.00886176273218352","0.00551482385051815","0.0122087016138489","1"
"Very often","2018","Couple + C. LE and GT 16","34","0.011963081453768","0.00740657682649","0.016519586081046","1"
