"pld0044","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Berlin","(3b) higher tertiary education","","","",""
"Very often","2003","Brandenburg","(0) in school","","","",""
"Very often","2003","Brandenburg","(1a) inadequately completed","","","",""
"Very often","2003","Brandenburg","(1b) general elementary school","","","",""
"Very often","2003","Brandenburg","(1c) basic vocational qualification","","","",""
"Very often","2003","Brandenburg","(2b) intermediate general qualification","1","","",""
"Very often","2003","Brandenburg","(2a) intermediate vocational","","","",""
"Very often","2003","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Very often","2003","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Brandenburg","(3a) lower tertiary education","","","",""
"Very often","2003","Brandenburg","(3b) higher tertiary education","1","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Very often","2003","Saxony","(0) in school","","","",""
"Very often","2003","Saxony","(1a) inadequately completed","","","",""
"Very often","2003","Saxony","(1b) general elementary school","","","",""
"Very often","2003","Saxony","(1c) basic vocational qualification","1","","",""
"Very often","2003","Saxony","(2b) intermediate general qualification","","","",""
"Very often","2003","Saxony","(2a) intermediate vocational","","","",""
"Very often","2003","Saxony","(2c_gen) general maturity certificate","","","",""
"Very often","2003","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Saxony","(3a) lower tertiary education","","","",""
"Very often","2003","Saxony","(3b) higher tertiary education","","","",""
"Very often","2003","Saxony-Anhalt","(0) in school","","","",""
"Very often","2003","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Very often","2003","Saxony-Anhalt","(1b) general elementary school","","","",""
"Very often","2003","Saxony-Anhalt","(1c) basic vocational qualification","1","","",""
"Very often","2003","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Very often","2003","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Very often","2003","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Very often","2003","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Very often","2003","Saxony-Anhalt","(3b) higher tertiary education","1","","",""
"Very often","2003","Thuringia","(0) in school","","","",""
"Very often","2003","Thuringia","(1a) inadequately completed","","","",""
"Very often","2003","Thuringia","(1b) general elementary school","","","",""
"Very often","2003","Thuringia","(1c) basic vocational qualification","","","",""
"Very often","2003","Thuringia","(2b) intermediate general qualification","1","","",""
"Very often","2003","Thuringia","(2a) intermediate vocational","","","",""
"Very often","2003","Thuringia","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Thuringia","(3a) lower tertiary education","","","",""
"Very often","2003","Thuringia","(3b) higher tertiary education","","","",""
"Often","2003","Schleswig-Holstein","(0) in school","2","","",""
"Often","2003","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Often","2003","Schleswig-Holstein","(1b) general elementary school","1","","",""
"Often","2003","Schleswig-Holstein","(1c) basic vocational qualification","4","","",""
"Often","2003","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Often","2003","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Often","2003","Schleswig-Holstein","(2c_gen) general maturity certificate","4","","",""
"Often","2003","Schleswig-Holstein","(2c_voc) vocational maturity certificate","1","","",""
"Often","2003","Schleswig-Holstein","(3a) lower tertiary education","1","","",""
"Often","2003","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Often","2003","Hamburg","(0) in school","1","","",""
"Often","2003","Hamburg","(1a) inadequately completed","","","",""
"Often","2003","Hamburg","(1b) general elementary school","1","","",""
"Often","2003","Hamburg","(1c) basic vocational qualification","1","","",""
"Often","2003","Hamburg","(2b) intermediate general qualification","","","",""
"Often","2003","Hamburg","(2a) intermediate vocational","2","","",""
"Often","2003","Hamburg","(2c_gen) general maturity certificate","2","","",""
"Often","2003","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","Hamburg","(3a) lower tertiary education","","","",""
"Often","2003","Hamburg","(3b) higher tertiary education","2","","",""
"Often","2003","Lower Saxony","(0) in school","14","","",""
"Often","2003","Lower Saxony","(1a) inadequately completed","1","","",""
"Often","2003","Lower Saxony","(1b) general elementary school","13","","",""
"Often","2003","Lower Saxony","(1c) basic vocational qualification","11","","",""
"Often","2003","Lower Saxony","(2b) intermediate general qualification","3","","",""
"Often","2003","Lower Saxony","(2a) intermediate vocational","6","","",""
"Often","2003","Lower Saxony","(2c_gen) general maturity certificate","7","","",""
"Often","2003","Lower Saxony","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","Lower Saxony","(3a) lower tertiary education","2","","",""
"Often","2003","Lower Saxony","(3b) higher tertiary education","10","","",""
"Often","2003","Bremen","(0) in school","1","","",""
"Often","2003","Bremen","(1a) inadequately completed","","","",""
"Often","2003","Bremen","(1b) general elementary school","","","",""
"Often","2003","Bremen","(1c) basic vocational qualification","1","","",""
"Often","2003","Bremen","(2b) intermediate general qualification","1","","",""
"Often","2003","Bremen","(2a) intermediate vocational","","","",""
"Often","2003","Bremen","(2c_gen) general maturity certificate","","","",""
"Often","2003","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"Often","2003","Bremen","(3a) lower tertiary education","","","",""
"Often","2003","Bremen","(3b) higher tertiary education","","","",""
"Often","2003","North Rhine-Westphalia","(0) in school","30","0.163099546164187","0.101900119837627","0.224298972490747"
"Often","2003","North Rhine-Westphalia","(1a) inadequately completed","4","","",""
"Often","2003","North Rhine-Westphalia","(1b) general elementary school","15","","",""
"Often","2003","North Rhine-Westphalia","(1c) basic vocational qualification","17","","",""
"Often","2003","North Rhine-Westphalia","(2b) intermediate general qualification","20","","",""
"Often","2003","North Rhine-Westphalia","(2a) intermediate vocational","20","","",""
"Often","2003","North Rhine-Westphalia","(2c_gen) general maturity certificate","27","","",""
"Often","2003","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","11","","",""
"Often","2003","North Rhine-Westphalia","(3a) lower tertiary education","4","","",""
"Often","2003","North Rhine-Westphalia","(3b) higher tertiary education","19","","",""
"Often","2003","Hesse","(0) in school","5","","",""
"Often","2003","Hesse","(1a) inadequately completed","","","",""
"Often","2003","Hesse","(1b) general elementary school","7","","",""
"Often","2003","Hesse","(1c) basic vocational qualification","12","","",""
"Often","2003","Hesse","(2b) intermediate general qualification","4","","",""
"Often","2003","Hesse","(2a) intermediate vocational","6","","",""
"Often","2003","Hesse","(2c_gen) general maturity certificate","5","","",""
"Often","2003","Hesse","(2c_voc) vocational maturity certificate","4","","",""
"Often","2003","Hesse","(3a) lower tertiary education","2","","",""
"Often","2003","Hesse","(3b) higher tertiary education","5","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(0) in school","3","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(1b) general elementary school","8","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","1","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","2","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","3","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","4","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","1","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","1","","",""
"Often","2003","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","4","","",""
"Often","2003","Baden-Württemberg","(0) in school","14","","",""
"Often","2003","Baden-Württemberg","(1a) inadequately completed","","","",""
"Often","2003","Baden-Württemberg","(1b) general elementary school","10","","",""
"Often","2003","Baden-Württemberg","(1c) basic vocational qualification","9","","",""
"Often","2003","Baden-Württemberg","(2b) intermediate general qualification","6","","",""
"Often","2003","Baden-Württemberg","(2a) intermediate vocational","4","","",""
"Often","2003","Baden-Württemberg","(2c_gen) general maturity certificate","11","","",""
"Often","2003","Baden-Württemberg","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","Baden-Württemberg","(3a) lower tertiary education","4","","",""
"Often","2003","Baden-Württemberg","(3b) higher tertiary education","5","","",""
"Often","2003","Bavaria","(0) in school","15","","",""
"Often","2003","Bavaria","(1a) inadequately completed","","","",""
"Often","2003","Bavaria","(1b) general elementary school","19","","",""
"Often","2003","Bavaria","(1c) basic vocational qualification","14","","",""
"Often","2003","Bavaria","(2b) intermediate general qualification","5","","",""
"Often","2003","Bavaria","(2a) intermediate vocational","14","","",""
"Often","2003","Bavaria","(2c_gen) general maturity certificate","9","","",""
"Often","2003","Bavaria","(2c_voc) vocational maturity certificate","4","","",""
"Often","2003","Bavaria","(3a) lower tertiary education","4","","",""
"Often","2003","Bavaria","(3b) higher tertiary education","10","","",""
"Often","2003","Berlin","(0) in school","7","","",""
"Often","2003","Berlin","(1a) inadequately completed","","","",""
"Often","2003","Berlin","(1b) general elementary school","1","","",""
"Often","2003","Berlin","(1c) basic vocational qualification","4","","",""
"Often","2003","Berlin","(2b) intermediate general qualification","2","","",""
"Often","2003","Berlin","(2a) intermediate vocational","5","","",""
"Often","2003","Berlin","(2c_gen) general maturity certificate","7","","",""
"Often","2003","Berlin","(2c_voc) vocational maturity certificate","1","","",""
"Often","2003","Berlin","(3a) lower tertiary education","1","","",""
"Often","2003","Berlin","(3b) higher tertiary education","5","","",""
"Often","2003","Brandenburg","(0) in school","2","","",""
"Often","2003","Brandenburg","(1a) inadequately completed","","","",""
"Often","2003","Brandenburg","(1b) general elementary school","","","",""
"Often","2003","Brandenburg","(1c) basic vocational qualification","3","","",""
"Often","2003","Brandenburg","(2b) intermediate general qualification","","","",""
"Often","2003","Brandenburg","(2a) intermediate vocational","5","","",""
"Often","2003","Brandenburg","(2c_gen) general maturity certificate","3","","",""
"Often","2003","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","Brandenburg","(3a) lower tertiary education","2","","",""
"Often","2003","Brandenburg","(3b) higher tertiary education","","","",""
"Often","2003","Mecklenburg-Western Pomerania","(0) in school","2","","",""
"Often","2003","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Often","2003","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Often","2003","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","3","","",""
"Often","2003","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","1","","",""
"Often","2003","Mecklenburg-Western Pomerania","(2a) intermediate vocational","2","","",""
"Often","2003","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","3","","",""
"Often","2003","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","Mecklenburg-Western Pomerania","(3a) lower tertiary education","2","","",""
"Often","2003","Mecklenburg-Western Pomerania","(3b) higher tertiary education","1","","",""
"Often","2003","Saxony","(0) in school","8","","",""
"Often","2003","Saxony","(1a) inadequately completed","","","",""
"Often","2003","Saxony","(1b) general elementary school","","","",""
"Often","2003","Saxony","(1c) basic vocational qualification","1","","",""
"Often","2003","Saxony","(2b) intermediate general qualification","5","","",""
"Often","2003","Saxony","(2a) intermediate vocational","7","","",""
"Often","2003","Saxony","(2c_gen) general maturity certificate","4","","",""
"Often","2003","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","Saxony","(3a) lower tertiary education","","","",""
"Often","2003","Saxony","(3b) higher tertiary education","3","","",""
"Often","2003","Saxony-Anhalt","(0) in school","7","","",""
"Often","2003","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Often","2003","Saxony-Anhalt","(1b) general elementary school","1","","",""
"Often","2003","Saxony-Anhalt","(1c) basic vocational qualification","1","","",""
"Often","2003","Saxony-Anhalt","(2b) intermediate general qualification","3","","",""
"Often","2003","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Often","2003","Saxony-Anhalt","(2c_gen) general maturity certificate","3","","",""
"Often","2003","Saxony-Anhalt","(2c_voc) vocational maturity certificate","1","","",""
"Often","2003","Saxony-Anhalt","(3a) lower tertiary education","1","","",""
"Often","2003","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Often","2003","Thuringia","(0) in school","3","","",""
"Often","2003","Thuringia","(1a) inadequately completed","","","",""
"Often","2003","Thuringia","(1b) general elementary school","1","","",""
"Often","2003","Thuringia","(1c) basic vocational qualification","","","",""
"Often","2003","Thuringia","(2b) intermediate general qualification","2","","",""
"Often","2003","Thuringia","(2a) intermediate vocational","2","","",""
"Often","2003","Thuringia","(2c_gen) general maturity certificate","2","","",""
"Often","2003","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","Thuringia","(3a) lower tertiary education","","","",""
"Often","2003","Thuringia","(3b) higher tertiary education","","","",""
"Sometimes","2003","Schleswig-Holstein","(0) in school","6","","",""
"Sometimes","2003","Schleswig-Holstein","(1a) inadequately completed","1","","",""
"Sometimes","2003","Schleswig-Holstein","(1b) general elementary school","10","","",""
"Sometimes","2003","Schleswig-Holstein","(1c) basic vocational qualification","30","0.134333958731666","0.0890663095557863","0.179601607907545"
"Sometimes","2003","Schleswig-Holstein","(2b) intermediate general qualification","3","","",""
"Sometimes","2003","Schleswig-Holstein","(2a) intermediate vocational","13","","",""
"Sometimes","2003","Schleswig-Holstein","(2c_gen) general maturity certificate","9","","",""
"Sometimes","2003","Schleswig-Holstein","(2c_voc) vocational maturity certificate","8","","",""
"Sometimes","2003","Schleswig-Holstein","(3a) lower tertiary education","10","","",""
"Sometimes","2003","Schleswig-Holstein","(3b) higher tertiary education","8","","",""
"Sometimes","2003","Hamburg","(0) in school","5","","",""
"Sometimes","2003","Hamburg","(1a) inadequately completed","1","","",""
"Sometimes","2003","Hamburg","(1b) general elementary school","4","","",""
"Sometimes","2003","Hamburg","(1c) basic vocational qualification","6","","",""
"Sometimes","2003","Hamburg","(2b) intermediate general qualification","2","","",""
"Sometimes","2003","Hamburg","(2a) intermediate vocational","8","","",""
"Sometimes","2003","Hamburg","(2c_gen) general maturity certificate","6","","",""
"Sometimes","2003","Hamburg","(2c_voc) vocational maturity certificate","4","","",""
"Sometimes","2003","Hamburg","(3a) lower tertiary education","1","","",""
"Sometimes","2003","Hamburg","(3b) higher tertiary education","4","","",""
"Sometimes","2003","Lower Saxony","(0) in school","19","","",""
"Sometimes","2003","Lower Saxony","(1a) inadequately completed","3","","",""
"Sometimes","2003","Lower Saxony","(1b) general elementary school","19","","",""
"Sometimes","2003","Lower Saxony","(1c) basic vocational qualification","49","0.0955659524188366","0.0712379355586547","0.119893969279019"
"Sometimes","2003","Lower Saxony","(2b) intermediate general qualification","21","","",""
"Sometimes","2003","Lower Saxony","(2a) intermediate vocational","66","0.135295755000544","0.104471442325315","0.166120067675773"
"Sometimes","2003","Lower Saxony","(2c_gen) general maturity certificate","18","","",""
"Sometimes","2003","Lower Saxony","(2c_voc) vocational maturity certificate","21","","",""
"Sometimes","2003","Lower Saxony","(3a) lower tertiary education","18","","",""
"Sometimes","2003","Lower Saxony","(3b) higher tertiary education","24","","",""
"Sometimes","2003","Bremen","(0) in school","2","","",""
"Sometimes","2003","Bremen","(1a) inadequately completed","","","",""
"Sometimes","2003","Bremen","(1b) general elementary school","","","",""
"Sometimes","2003","Bremen","(1c) basic vocational qualification","7","","",""
"Sometimes","2003","Bremen","(2b) intermediate general qualification","2","","",""
"Sometimes","2003","Bremen","(2a) intermediate vocational","5","","",""
"Sometimes","2003","Bremen","(2c_gen) general maturity certificate","3","","",""
"Sometimes","2003","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"Sometimes","2003","Bremen","(3a) lower tertiary education","","","",""
"Sometimes","2003","Bremen","(3b) higher tertiary education","6","","",""
"Sometimes","2003","North Rhine-Westphalia","(0) in school","45","0.335897859394159","0.257662130816724","0.414133587971594"
"Sometimes","2003","North Rhine-Westphalia","(1a) inadequately completed","23","","",""
"Sometimes","2003","North Rhine-Westphalia","(1b) general elementary school","59","0.110206814270807","0.0818661234870819","0.138547505054532"
"Sometimes","2003","North Rhine-Westphalia","(1c) basic vocational qualification","134","0.0901141840964084","0.075220781009962","0.105007587182855"
"Sometimes","2003","North Rhine-Westphalia","(2b) intermediate general qualification","36","0.26277873436382","0.186529209532276","0.339028259195364"
"Sometimes","2003","North Rhine-Westphalia","(2a) intermediate vocational","86","0.101375231929952","0.0805123072902279","0.122238156569675"
"Sometimes","2003","North Rhine-Westphalia","(2c_gen) general maturity certificate","63","0.253018161718355","0.195041649557844","0.310994673878866"
"Sometimes","2003","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","85","0.210598249303542","0.173736530403536","0.247459968203548"
"Sometimes","2003","North Rhine-Westphalia","(3a) lower tertiary education","40","0.163535980340349","0.119822837124854","0.207249123555845"
"Sometimes","2003","North Rhine-Westphalia","(3b) higher tertiary education","96","0.187111839241112","0.155067007845891","0.219156670636334"
"Sometimes","2003","Hesse","(0) in school","9","","",""
"Sometimes","2003","Hesse","(1a) inadequately completed","4","","",""
"Sometimes","2003","Hesse","(1b) general elementary school","12","","",""
"Sometimes","2003","Hesse","(1c) basic vocational qualification","49","0.122703378707761","0.0902240872376125","0.15518267017791"
"Sometimes","2003","Hesse","(2b) intermediate general qualification","8","","",""
"Sometimes","2003","Hesse","(2a) intermediate vocational","34","0.106241952282294","0.0714881261939971","0.140995778370591"
"Sometimes","2003","Hesse","(2c_gen) general maturity certificate","24","","",""
"Sometimes","2003","Hesse","(2c_voc) vocational maturity certificate","20","","",""
"Sometimes","2003","Hesse","(3a) lower tertiary education","17","","",""
"Sometimes","2003","Hesse","(3b) higher tertiary education","30","0.113933510652128","0.0722317342535347","0.155635287050722"
"Sometimes","2003","Rhineland-Palatinate,Saarland","(0) in school","11","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(1a) inadequately completed","3","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(1b) general elementary school","27","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","48","0.129717988013543","0.099470520029893","0.159965455997194"
"Sometimes","2003","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","7","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","24","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","13","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","17","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","9","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","17","","",""
"Sometimes","2003","Baden-Württemberg","(0) in school","20","","",""
"Sometimes","2003","Baden-Württemberg","(1a) inadequately completed","4","","",""
"Sometimes","2003","Baden-Württemberg","(1b) general elementary school","33","0.0728843194857256","0.0472816934426717","0.0984869455287796"
"Sometimes","2003","Baden-Württemberg","(1c) basic vocational qualification","67","0.0800340543912748","0.0607805802167455","0.099287528565804"
"Sometimes","2003","Baden-Württemberg","(2b) intermediate general qualification","16","","",""
"Sometimes","2003","Baden-Württemberg","(2a) intermediate vocational","60","0.113511737081404","0.0860614880784709","0.140961986084337"
"Sometimes","2003","Baden-Württemberg","(2c_gen) general maturity certificate","27","","",""
"Sometimes","2003","Baden-Württemberg","(2c_voc) vocational maturity certificate","33","0.174499036674649","0.12241695714408","0.226581116205218"
"Sometimes","2003","Baden-Württemberg","(3a) lower tertiary education","22","","",""
"Sometimes","2003","Baden-Württemberg","(3b) higher tertiary education","44","0.162056608681406","0.120357365112849","0.203755852249963"
"Sometimes","2003","Bavaria","(0) in school","22","","",""
"Sometimes","2003","Bavaria","(1a) inadequately completed","2","","",""
"Sometimes","2003","Bavaria","(1b) general elementary school","37","0.103772295260821","0.0707182887344794","0.136826301787163"
"Sometimes","2003","Bavaria","(1c) basic vocational qualification","146","0.133776879842308","0.113614283840412","0.153939475844205"
"Sometimes","2003","Bavaria","(2b) intermediate general qualification","17","","",""
"Sometimes","2003","Bavaria","(2a) intermediate vocational","86","0.168248973525517","0.138944507731006","0.197553439320029"
