"pld0044","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(2a) intermediate vocational","middle vocational","9","","",""
"Very often","2003","(2a) intermediate vocational","vocational + Abi","","","",""
"Very often","2003","(2a) intermediate vocational","higher vocational","1","","",""
"Very often","2003","(2a) intermediate vocational","higher education","","","",""
"Very often","2003","(2c_gen) general maturity certificate","in school","","","",""
"Very often","2003","(2c_gen) general maturity certificate","inadequately","","","",""
"Very often","2003","(2c_gen) general maturity certificate","general elemantary","","","",""
"Very often","2003","(2c_gen) general maturity certificate","middle vocational","17","","",""
"Very often","2003","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Very often","2003","(2c_gen) general maturity certificate","higher vocational","","","",""
"Very often","2003","(2c_gen) general maturity certificate","higher education","","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","in school","","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","vocational + Abi","6","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","higher vocational","3","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","higher education","","","",""
"Very often","2003","(3a) lower tertiary education","in school","","","",""
"Very often","2003","(3a) lower tertiary education","inadequately","","","",""
"Very often","2003","(3a) lower tertiary education","general elemantary","","","",""
"Very often","2003","(3a) lower tertiary education","middle vocational","","","",""
"Very often","2003","(3a) lower tertiary education","vocational + Abi","","","",""
"Very often","2003","(3a) lower tertiary education","higher vocational","","","",""
"Very often","2003","(3a) lower tertiary education","higher education","4","","",""
"Very often","2003","(3b) higher tertiary education","in school","","","",""
"Very often","2003","(3b) higher tertiary education","inadequately","","","",""
"Very often","2003","(3b) higher tertiary education","general elemantary","","","",""
"Very often","2003","(3b) higher tertiary education","middle vocational","","","",""
"Very often","2003","(3b) higher tertiary education","vocational + Abi","","","",""
"Very often","2003","(3b) higher tertiary education","higher vocational","","","",""
"Very often","2003","(3b) higher tertiary education","higher education","8","","",""
"Often","2003","(0) in school","in school","114","0.151047038626875","0.122768585040891","0.179325492212859"
"Often","2003","(0) in school","inadequately","","","",""
"Often","2003","(0) in school","general elemantary","","","",""
"Often","2003","(0) in school","middle vocational","","","",""
"Often","2003","(0) in school","vocational + Abi","","","",""
"Often","2003","(0) in school","higher vocational","","","",""
"Often","2003","(0) in school","higher education","","","",""
"Often","2003","(1a) inadequately completed","in school","","","",""
"Often","2003","(1a) inadequately completed","inadequately","5","","",""
"Often","2003","(1a) inadequately completed","general elemantary","","","",""
"Often","2003","(1a) inadequately completed","middle vocational","","","",""
"Often","2003","(1a) inadequately completed","vocational + Abi","","","",""
"Often","2003","(1a) inadequately completed","higher vocational","","","",""
"Often","2003","(1a) inadequately completed","higher education","","","",""
"Often","2003","(1b) general elementary school","in school","","","",""
"Often","2003","(1b) general elementary school","inadequately","2","","",""
"Often","2003","(1b) general elementary school","general elemantary","75","0.0335130367957957","0.0258156495578152","0.0412104240337762"
"Often","2003","(1b) general elementary school","middle vocational","","","",""
"Often","2003","(1b) general elementary school","vocational + Abi","","","",""
"Often","2003","(1b) general elementary school","higher vocational","","","",""
"Often","2003","(1b) general elementary school","higher education","","","",""
"Often","2003","(1c) basic vocational qualification","in school","","","",""
"Often","2003","(1c) basic vocational qualification","inadequately","","","",""
"Often","2003","(1c) basic vocational qualification","general elemantary","","","",""
"Often","2003","(1c) basic vocational qualification","middle vocational","74","0.0137528582681212","0.0107480835511579","0.0167576329850845"
"Often","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"Often","2003","(1c) basic vocational qualification","higher vocational","8","","",""
"Often","2003","(1c) basic vocational qualification","higher education","","","",""
"Often","2003","(2b) intermediate general qualification","in school","","","",""
"Often","2003","(2b) intermediate general qualification","inadequately","","","",""
"Often","2003","(2b) intermediate general qualification","general elemantary","55","0.0892771929776207","0.0670288955820873","0.111525490373154"
"Often","2003","(2b) intermediate general qualification","middle vocational","","","",""
"Often","2003","(2b) intermediate general qualification","vocational + Abi","","","",""
"Often","2003","(2b) intermediate general qualification","higher vocational","","","",""
"Often","2003","(2b) intermediate general qualification","higher education","","","",""
"Often","2003","(2a) intermediate vocational","in school","","","",""
"Often","2003","(2a) intermediate vocational","inadequately","","","",""
"Often","2003","(2a) intermediate vocational","general elemantary","","","",""
"Often","2003","(2a) intermediate vocational","middle vocational","64","0.0171451814636295","0.0133038657536677","0.0209864971735913"
"Often","2003","(2a) intermediate vocational","vocational + Abi","","","",""
"Often","2003","(2a) intermediate vocational","higher vocational","12","","",""
"Often","2003","(2a) intermediate vocational","higher education","","","",""
"Often","2003","(2c_gen) general maturity certificate","in school","","","",""
"Often","2003","(2c_gen) general maturity certificate","inadequately","","","",""
"Often","2003","(2c_gen) general maturity certificate","general elemantary","","","",""
"Often","2003","(2c_gen) general maturity certificate","middle vocational","91","0.113324682630828","0.0922246509414997","0.134424714320157"
"Often","2003","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Often","2003","(2c_gen) general maturity certificate","higher vocational","","","",""
"Often","2003","(2c_gen) general maturity certificate","higher education","","","",""
"Often","2003","(2c_voc) vocational maturity certificate","in school","","","",""
"Often","2003","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Often","2003","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Often","2003","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Often","2003","(2c_voc) vocational maturity certificate","vocational + Abi","24","","",""
"Often","2003","(2c_voc) vocational maturity certificate","higher vocational","6","","",""
"Often","2003","(2c_voc) vocational maturity certificate","higher education","","","",""
"Often","2003","(3a) lower tertiary education","in school","","","",""
"Often","2003","(3a) lower tertiary education","inadequately","","","",""
"Often","2003","(3a) lower tertiary education","general elemantary","","","",""
"Often","2003","(3a) lower tertiary education","middle vocational","","","",""
"Often","2003","(3a) lower tertiary education","vocational + Abi","","","",""
"Often","2003","(3a) lower tertiary education","higher vocational","","","",""
"Often","2003","(3a) lower tertiary education","higher education","24","","",""
"Often","2003","(3b) higher tertiary education","in school","","","",""
"Often","2003","(3b) higher tertiary education","inadequately","","","",""
"Often","2003","(3b) higher tertiary education","general elemantary","","","",""
"Often","2003","(3b) higher tertiary education","middle vocational","","","",""
"Often","2003","(3b) higher tertiary education","vocational + Abi","","","",""
"Often","2003","(3b) higher tertiary education","higher vocational","","","",""
"Often","2003","(3b) higher tertiary education","higher education","64","0.0326025316098459","0.0258048646548383","0.0394001985648535"
"Sometimes","2003","(0) in school","in school","191","0.335037065020955","0.297763332710408","0.372310797331502"
"Sometimes","2003","(0) in school","inadequately","","","",""
"Sometimes","2003","(0) in school","general elemantary","","","",""
"Sometimes","2003","(0) in school","middle vocational","","","",""
"Sometimes","2003","(0) in school","vocational + Abi","","","",""
"Sometimes","2003","(0) in school","higher vocational","","","",""
"Sometimes","2003","(0) in school","higher education","","","",""
"Sometimes","2003","(1a) inadequately completed","in school","","","",""
"Sometimes","2003","(1a) inadequately completed","inadequately","37","0.15864936674709","0.111017066386944","0.206281667107236"
"Sometimes","2003","(1a) inadequately completed","general elemantary","","","",""
"Sometimes","2003","(1a) inadequately completed","middle vocational","8","","",""
"Sometimes","2003","(1a) inadequately completed","vocational + Abi","","","",""
"Sometimes","2003","(1a) inadequately completed","higher vocational","","","",""
"Sometimes","2003","(1a) inadequately completed","higher education","","","",""
"Sometimes","2003","(1b) general elementary school","in school","","","",""
"Sometimes","2003","(1b) general elementary school","inadequately","5","","",""
"Sometimes","2003","(1b) general elementary school","general elemantary","216","0.0975089411786534","0.0848212640625004","0.110196618294806"
"Sometimes","2003","(1b) general elementary school","middle vocational","","","",""
"Sometimes","2003","(1b) general elementary school","vocational + Abi","","","",""
"Sometimes","2003","(1b) general elementary school","higher vocational","","","",""
"Sometimes","2003","(1b) general elementary school","higher education","","","",""
"Sometimes","2003","(1c) basic vocational qualification","in school","","","",""
"Sometimes","2003","(1c) basic vocational qualification","inadequately","","","",""
"Sometimes","2003","(1c) basic vocational qualification","general elemantary","","","",""
"Sometimes","2003","(1c) basic vocational qualification","middle vocational","580","0.103770829786546","0.095902732228648","0.111638927344443"
"Sometimes","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"Sometimes","2003","(1c) basic vocational qualification","higher vocational","44","0.0956524292538623","0.0703489580917718","0.120955900415953"
"Sometimes","2003","(1c) basic vocational qualification","higher education","","","",""
"Sometimes","2003","(2b) intermediate general qualification","in school","","","",""
"Sometimes","2003","(2b) intermediate general qualification","inadequately","","","",""
"Sometimes","2003","(2b) intermediate general qualification","general elemantary","150","0.217561753082449","0.185369622410773","0.249753883754124"
"Sometimes","2003","(2b) intermediate general qualification","middle vocational","","","",""
"Sometimes","2003","(2b) intermediate general qualification","vocational + Abi","","","",""
"Sometimes","2003","(2b) intermediate general qualification","higher vocational","","","",""
"Sometimes","2003","(2b) intermediate general qualification","higher education","","","",""
"Sometimes","2003","(2a) intermediate vocational","in school","","","",""
"Sometimes","2003","(2a) intermediate vocational","inadequately","","","",""
"Sometimes","2003","(2a) intermediate vocational","general elemantary","","","",""
"Sometimes","2003","(2a) intermediate vocational","middle vocational","503","0.11876287302178","0.109189807875608","0.128335938167952"
"Sometimes","2003","(2a) intermediate vocational","vocational + Abi","","","",""
"Sometimes","2003","(2a) intermediate vocational","higher vocational","79","0.131293776945027","0.107010224424675","0.155577329465379"
"Sometimes","2003","(2a) intermediate vocational","higher education","","","",""
"Sometimes","2003","(2c_gen) general maturity certificate","in school","","","",""
"Sometimes","2003","(2c_gen) general maturity certificate","inadequately","","","",""
"Sometimes","2003","(2c_gen) general maturity certificate","general elemantary","","","",""
"Sometimes","2003","(2c_gen) general maturity certificate","middle vocational","254","0.299896259632534","0.269395878534382","0.330396640730686"
"Sometimes","2003","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Sometimes","2003","(2c_gen) general maturity certificate","higher vocational","","","",""
"Sometimes","2003","(2c_gen) general maturity certificate","higher education","","","",""
"Sometimes","2003","(2c_voc) vocational maturity certificate","in school","","","",""
"Sometimes","2003","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Sometimes","2003","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Sometimes","2003","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Sometimes","2003","(2c_voc) vocational maturity certificate","vocational + Abi","203","0.1885146903493","0.165997235341402","0.211032145357198"
"Sometimes","2003","(2c_voc) vocational maturity certificate","higher vocational","61","0.150053549042517","0.115485483167037","0.184621614917997"
"Sometimes","2003","(2c_voc) vocational maturity certificate","higher education","","","",""
"Sometimes","2003","(3a) lower tertiary education","in school","","","",""
"Sometimes","2003","(3a) lower tertiary education","inadequately","","","",""
"Sometimes","2003","(3a) lower tertiary education","general elemantary","","","",""
"Sometimes","2003","(3a) lower tertiary education","middle vocational","","","",""
"Sometimes","2003","(3a) lower tertiary education","vocational + Abi","","","",""
"Sometimes","2003","(3a) lower tertiary education","higher vocational","","","",""
"Sometimes","2003","(3a) lower tertiary education","higher education","206","0.12649619050182","0.110773239229984","0.142219141773655"
"Sometimes","2003","(3b) higher tertiary education","in school","","","",""
"Sometimes","2003","(3b) higher tertiary education","inadequately","","","",""
"Sometimes","2003","(3b) higher tertiary education","general elemantary","","","",""
"Sometimes","2003","(3b) higher tertiary education","middle vocational","","","",""
"Sometimes","2003","(3b) higher tertiary education","vocational + Abi","","","",""
"Sometimes","2003","(3b) higher tertiary education","higher vocational","","","",""
"Sometimes","2003","(3b) higher tertiary education","higher education","368","0.153718811811125","0.139913297186896","0.167524326435354"
"Rarely","2003","(0) in school","in school","179","0.284826708181615","0.249185391966494","0.320468024396735"
"Rarely","2003","(0) in school","inadequately","","","",""
"Rarely","2003","(0) in school","general elemantary","","","",""
"Rarely","2003","(0) in school","middle vocational","","","",""
"Rarely","2003","(0) in school","vocational + Abi","","","",""
"Rarely","2003","(0) in school","higher vocational","","","",""
"Rarely","2003","(0) in school","higher education","","","",""
"Rarely","2003","(1a) inadequately completed","in school","","","",""
"Rarely","2003","(1a) inadequately completed","inadequately","46","0.186494537010351","0.135712845185821","0.237276228834881"
"Rarely","2003","(1a) inadequately completed","general elemantary","","","",""
"Rarely","2003","(1a) inadequately completed","middle vocational","11","","",""
"Rarely","2003","(1a) inadequately completed","vocational + Abi","","","",""
"Rarely","2003","(1a) inadequately completed","higher vocational","","","",""
"Rarely","2003","(1a) inadequately completed","higher education","","","",""
"Rarely","2003","(1b) general elementary school","in school","","","",""
"Rarely","2003","(1b) general elementary school","inadequately","6","","",""
"Rarely","2003","(1b) general elementary school","general elemantary","477","0.216038800951359","0.198437222850706","0.233640379052013"
"Rarely","2003","(1b) general elementary school","middle vocational","","","",""
"Rarely","2003","(1b) general elementary school","vocational + Abi","","","",""
"Rarely","2003","(1b) general elementary school","higher vocational","","","",""
"Rarely","2003","(1b) general elementary school","higher education","","","",""
"Rarely","2003","(1c) basic vocational qualification","in school","","","",""
"Rarely","2003","(1c) basic vocational qualification","inadequately","","","",""
"Rarely","2003","(1c) basic vocational qualification","general elemantary","","","",""
"Rarely","2003","(1c) basic vocational qualification","middle vocational","1514","0.257462840678975","0.246182065907436","0.268743615450514"
"Rarely","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"Rarely","2003","(1c) basic vocational qualification","higher vocational","157","0.297906560554337","0.258560441360459","0.337252679748215"
"Rarely","2003","(1c) basic vocational qualification","higher education","","","",""
"Rarely","2003","(2b) intermediate general qualification","in school","","","",""
"Rarely","2003","(2b) intermediate general qualification","inadequately","","","",""
"Rarely","2003","(2b) intermediate general qualification","general elemantary","202","0.315254660347197","0.279002932440685","0.351506388253708"
"Rarely","2003","(2b) intermediate general qualification","middle vocational","","","",""
"Rarely","2003","(2b) intermediate general qualification","vocational + Abi","","","",""
"Rarely","2003","(2b) intermediate general qualification","higher vocational","","","",""
"Rarely","2003","(2b) intermediate general qualification","higher education","","","",""
"Rarely","2003","(2a) intermediate vocational","in school","","","",""
"Rarely","2003","(2a) intermediate vocational","inadequately","","","",""
"Rarely","2003","(2a) intermediate vocational","general elemantary","","","",""
"Rarely","2003","(2a) intermediate vocational","middle vocational","1567","0.355201615078447","0.341039969856672","0.369363260300222"
"Rarely","2003","(2a) intermediate vocational","vocational + Abi","","","",""
"Rarely","2003","(2a) intermediate vocational","higher vocational","286","0.393196047658572","0.358073787424444","0.428318307892701"
"Rarely","2003","(2a) intermediate vocational","higher education","","","",""
"Rarely","2003","(2c_gen) general maturity certificate","in school","","","",""
"Rarely","2003","(2c_gen) general maturity certificate","inadequately","","","",""
"Rarely","2003","(2c_gen) general maturity certificate","general elemantary","","","",""
"Rarely","2003","(2c_gen) general maturity certificate","middle vocational","317","0.320625016143763","0.289558538156208","0.351691494131319"
"Rarely","2003","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Rarely","2003","(2c_gen) general maturity certificate","higher vocational","","","",""
"Rarely","2003","(2c_gen) general maturity certificate","higher education","","","",""
"Rarely","2003","(2c_voc) vocational maturity certificate","in school","","","",""
"Rarely","2003","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Rarely","2003","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Rarely","2003","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Rarely","2003","(2c_voc) vocational maturity certificate","vocational + Abi","446","0.368662448241771","0.340887603794111","0.396437292689431"
"Rarely","2003","(2c_voc) vocational maturity certificate","higher vocational","152","0.365231211627907","0.318624561728355","0.411837861527458"
"Rarely","2003","(2c_voc) vocational maturity certificate","higher education","","","",""
"Rarely","2003","(3a) lower tertiary education","in school","","","",""
"Rarely","2003","(3a) lower tertiary education","inadequately","","","",""
"Rarely","2003","(3a) lower tertiary education","general elemantary","","","",""
"Rarely","2003","(3a) lower tertiary education","middle vocational","","","",""
"Rarely","2003","(3a) lower tertiary education","vocational + Abi","","","",""
"Rarely","2003","(3a) lower tertiary education","higher vocational","","","",""
"Rarely","2003","(3a) lower tertiary education","higher education","601","0.357463601559473","0.334794843667943","0.380132359451002"
"Rarely","2003","(3b) higher tertiary education","in school","","","",""
"Rarely","2003","(3b) higher tertiary education","inadequately","","","",""
"Rarely","2003","(3b) higher tertiary education","general elemantary","","","",""
"Rarely","2003","(3b) higher tertiary education","middle vocational","","","",""
"Rarely","2003","(3b) higher tertiary education","vocational + Abi","","","",""
"Rarely","2003","(3b) higher tertiary education","higher vocational","","","",""
"Rarely","2003","(3b) higher tertiary education","higher education","1020","0.396344568624141","0.37762211518626","0.415067022062021"
"Never","2003","(0) in school","in school","108","0.197641126540963","0.166194017595593","0.229088235486334"
"Never","2003","(0) in school","inadequately","","","",""
"Never","2003","(0) in school","general elemantary","","","",""
"Never","2003","(0) in school","middle vocational","","","",""
"Never","2003","(0) in school","vocational + Abi","","","",""
"Never","2003","(0) in school","higher vocational","","","",""
"Never","2003","(0) in school","higher education","","","",""
"Never","2003","(1a) inadequately completed","in school","","","",""
"Never","2003","(1a) inadequately completed","inadequately","138","0.632817669743349","0.569972188405461","0.695663151081236"
"Never","2003","(1a) inadequately completed","general elemantary","","","",""
"Never","2003","(1a) inadequately completed","middle vocational","24","","",""
"Never","2003","(1a) inadequately completed","vocational + Abi","","","",""
"Never","2003","(1a) inadequately completed","higher vocational","3","","",""
"Never","2003","(1a) inadequately completed","higher education","","","",""
"Never","2003","(1b) general elementary school","in school","","","",""
"Never","2003","(1b) general elementary school","inadequately","22","","",""
"Never","2003","(1b) general elementary school","general elemantary","1323","0.648138504646177","0.62771368515355","0.668563324138804"
"Never","2003","(1b) general elementary school","middle vocational","","","",""
"Never","2003","(1b) general elementary school","vocational + Abi","","","",""
"Never","2003","(1b) general elementary school","higher vocational","","","",""
"Never","2003","(1b) general elementary school","higher education","","","",""
"Never","2003","(1c) basic vocational qualification","in school","","","",""
"Never","2003","(1c) basic vocational qualification","inadequately","","","",""
"Never","2003","(1c) basic vocational qualification","general elemantary","","","",""
"Never","2003","(1c) basic vocational qualification","middle vocational","3580","0.620743813458584","0.608225521080208","0.633262105836959"
"Never","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"Never","2003","(1c) basic vocational qualification","higher vocational","310","0.584446042040571","0.542047557420448","0.626844526660695"
"Never","2003","(1c) basic vocational qualification","higher education","","","",""
"Never","2003","(2b) intermediate general qualification","in school","","","",""
"Never","2003","(2b) intermediate general qualification","inadequately","","","",""
"Never","2003","(2b) intermediate general qualification","general elemantary","205","0.347051338123255","0.309908952802822","0.384193723443689"
"Never","2003","(2b) intermediate general qualification","middle vocational","","","",""
"Never","2003","(2b) intermediate general qualification","vocational + Abi","","","",""
"Never","2003","(2b) intermediate general qualification","higher vocational","","","",""
"Never","2003","(2b) intermediate general qualification","higher education","","","",""
"Never","2003","(2a) intermediate vocational","in school","","","",""
"Never","2003","(2a) intermediate vocational","inadequately","","","",""
"Never","2003","(2a) intermediate vocational","general elemantary","","","",""
"Never","2003","(2a) intermediate vocational","middle vocational","2244","0.504878410206471","0.490083456665837","0.519673363747106"
"Never","2003","(2a) intermediate vocational","vocational + Abi","","","",""
"Never","2003","(2a) intermediate vocational","higher vocational","365","0.457257300596301","0.421436853404146","0.493077747788456"
"Never","2003","(2a) intermediate vocational","higher education","","","",""
"Never","2003","(2c_gen) general maturity certificate","in school","","","",""
"Never","2003","(2c_gen) general maturity certificate","inadequately","","","",""
"Never","2003","(2c_gen) general maturity certificate","general elemantary","","","",""
"Never","2003","(2c_gen) general maturity certificate","middle vocational","188","0.241792155299009","0.213291569780745","0.270292740817273"
"Never","2003","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Never","2003","(2c_gen) general maturity certificate","higher vocational","","","",""
"Never","2003","(2c_gen) general maturity certificate","higher education","","","",""
"Never","2003","(2c_voc) vocational maturity certificate","in school","","","",""
"Never","2003","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Never","2003","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Never","2003","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Never","2003","(2c_voc) vocational maturity certificate","vocational + Abi","480","0.413036167627861","0.38468923411498","0.441383101140743"
"Never","2003","(2c_voc) vocational maturity certificate","higher vocational","188","0.463681146637376","0.41541113388083","0.511951159393923"
"Never","2003","(2c_voc) vocational maturity certificate","higher education","","","",""
"Never","2003","(3a) lower tertiary education","in school","","","",""
"Never","2003","(3a) lower tertiary education","inadequately","","","",""
"Never","2003","(3a) lower tertiary education","general elemantary","","","",""
"Never","2003","(3a) lower tertiary education","middle vocational","","","",""
"Never","2003","(3a) lower tertiary education","vocational + Abi","","","",""
"Never","2003","(3a) lower tertiary education","higher vocational","","","",""
"Never","2003","(3a) lower tertiary education","higher education","882","0.500015324845456","0.47636522668818","0.523665423002732"
"Never","2003","(3b) higher tertiary education","in school","","","",""
"Never","2003","(3b) higher tertiary education","inadequately","","","",""
"Never","2003","(3b) higher tertiary education","general elemantary","","","",""
"Never","2003","(3b) higher tertiary education","middle vocational","","","",""
"Never","2003","(3b) higher tertiary education","vocational + Abi","","","",""
"Never","2003","(3b) higher tertiary education","higher vocational","","","",""
"Never","2003","(3b) higher tertiary education","higher education","1162","0.414054563251278","0.395201187499411","0.432907939003145"
"Very often","2004","(0) in school","in school","","","",""
"Very often","2004","(0) in school","inadequately","","","",""
"Very often","2004","(0) in school","general elemantary","","","",""
"Very often","2004","(0) in school","middle vocational","","","",""
"Very often","2004","(0) in school","vocational + Abi","","","",""
"Very often","2004","(0) in school","higher vocational","","","",""
"Very often","2004","(0) in school","higher education","","","",""
"Very often","2004","(1a) inadequately completed","in school","","","",""
"Very often","2004","(1a) inadequately completed","inadequately","","","",""
"Very often","2004","(1a) inadequately completed","general elemantary","","","",""
"Very often","2004","(1a) inadequately completed","middle vocational","","","",""
"Very often","2004","(1a) inadequately completed","vocational + Abi","","","",""
"Very often","2004","(1a) inadequately completed","higher vocational","","","",""
"Very often","2004","(1a) inadequately completed","higher education","","","",""
"Very often","2004","(1b) general elementary school","in school","","","",""
"Very often","2004","(1b) general elementary school","inadequately","","","",""
"Very often","2004","(1b) general elementary school","general elemantary","","","",""
"Very often","2004","(1b) general elementary school","middle vocational","","","",""
"Very often","2004","(1b) general elementary school","vocational + Abi","","","",""
"Very often","2004","(1b) general elementary school","higher vocational","","","",""
"Very often","2004","(1b) general elementary school","higher education","","","",""
"Very often","2004","(1c) basic vocational qualification","in school","","","",""
"Very often","2004","(1c) basic vocational qualification","inadequately","","","",""
"Very often","2004","(1c) basic vocational qualification","general elemantary","","","",""
"Very often","2004","(1c) basic vocational qualification","middle vocational","","","",""
"Very often","2004","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very often","2004","(1c) basic vocational qualification","higher vocational","","","",""
"Very often","2004","(1c) basic vocational qualification","higher education","","","",""
"Very often","2004","(2b) intermediate general qualification","in school","","","",""
"Very often","2004","(2b) intermediate general qualification","inadequately","","","",""
"Very often","2004","(2b) intermediate general qualification","general elemantary","","","",""
"Very often","2004","(2b) intermediate general qualification","middle vocational","","","",""
"Very often","2004","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very often","2004","(2b) intermediate general qualification","higher vocational","","","",""
"Very often","2004","(2b) intermediate general qualification","higher education","","","",""
"Very often","2004","(2a) intermediate vocational","in school","","","",""
"Very often","2004","(2a) intermediate vocational","inadequately","","","",""
"Very often","2004","(2a) intermediate vocational","general elemantary","","","",""
"Very often","2004","(2a) intermediate vocational","middle vocational","","","",""
"Very often","2004","(2a) intermediate vocational","vocational + Abi","","","",""
"Very often","2004","(2a) intermediate vocational","higher vocational","","","",""
"Very often","2004","(2a) intermediate vocational","higher education","","","",""
"Very often","2004","(2c_gen) general maturity certificate","in school","","","",""
"Very often","2004","(2c_gen) general maturity certificate","inadequately","","","",""
"Very often","2004","(2c_gen) general maturity certificate","general elemantary","","","",""
"Very often","2004","(2c_gen) general maturity certificate","middle vocational","","","",""
"Very often","2004","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Very often","2004","(2c_gen) general maturity certificate","higher vocational","","","",""
"Very often","2004","(2c_gen) general maturity certificate","higher education","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","in school","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Very often","2004","(2c_voc) vocational maturity certificate","higher education","","","",""
"Very often","2004","(3a) lower tertiary education","in school","","","",""
"Very often","2004","(3a) lower tertiary education","inadequately","","","",""
"Very often","2004","(3a) lower tertiary education","general elemantary","","","",""
"Very often","2004","(3a) lower tertiary education","middle vocational","","","",""
"Very often","2004","(3a) lower tertiary education","vocational + Abi","","","",""
"Very often","2004","(3a) lower tertiary education","higher vocational","","","",""
"Very often","2004","(3a) lower tertiary education","higher education","","","",""
"Very often","2004","(3b) higher tertiary education","in school","","","",""
"Very often","2004","(3b) higher tertiary education","inadequately","","","",""
"Very often","2004","(3b) higher tertiary education","general elemantary","","","",""
"Very often","2004","(3b) higher tertiary education","middle vocational","","","",""
"Very often","2004","(3b) higher tertiary education","vocational + Abi","","","",""
