"plh0187","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Rarely","2008","16-34 y.","Female","764","0.321889901044805","0.302737917504574","0.341041884585036"
"Rarely","2008","16-34 y.","Male","804","0.373588937561052","0.352794481740079","0.394383393382024"
"Rarely","2008","35-65 y.","Female","1788","0.293609073013669","0.281643794864055","0.305574351163283"
"Rarely","2008","35-65 y.","Male","1936","0.365594133921657","0.352376728624552","0.378811539218763"
"Rarely","2008","66 and older","Female","651","0.279574254021211","0.261221096450861","0.297927411591561"
"Rarely","2008","66 and older","Male","753","0.365075889554815","0.344193859918877","0.385957919190753"
"Sometimes","2008","16-34 y.","Female","789","0.352237583499531","0.332656546064108","0.371818620934954"
"Sometimes","2008","16-34 y.","Male","518","0.258375851845273","0.239559356457916","0.27719234723263"
"Sometimes","2008","35-65 y.","Female","1894","0.345127998069159","0.332637383293398","0.35761861284492"
"Sometimes","2008","35-65 y.","Male","1326","0.267070243002922","0.254927776027315","0.279212709978529"
"Sometimes","2008","66 and older","Female","837","0.381557578861846","0.361692180818042","0.401422976905651"
"Sometimes","2008","66 and older","Male","519","0.270712001823833","0.251440147216659","0.289983856431008"
"Very often","2008","16-34 y.","Female","99","0.0422038750752938","0.0339620635230213","0.0504456866275663"
"Very often","2008","16-34 y.","Male","24","","",""
"Very often","2008","35-65 y.","Female","226","0.0497171493627715","0.0440063741959036","0.0554279245296394"
"Very often","2008","35-65 y.","Male","89","0.0215241352779047","0.0175412213772909","0.0255070491785185"
"Very often","2008","66 and older","Female","111","0.0454456506334852","0.0369281125006287","0.0539631887663417"
"Very often","2008","66 and older","Male","38","0.021904417240901","0.015555835398619","0.028252999083183"
"Very rare","2008","16-34 y.","Female","344","0.138713417681933","0.124544291924824","0.152882543439043"
"Very rare","2008","16-34 y.","Male","581","0.269941163342229","0.250858704472612","0.289023622211845"
"Very rare","2008","35-65 y.","Female","1002","0.179129300058887","0.169054505515324","0.189204094602451"
"Very rare","2008","35-65 y.","Male","1366","0.25147411078822","0.239566817345856","0.263381404230585"
"Very rare","2008","66 and older","Female","368","0.148278689346308","0.133745674420566","0.162811704272049"
"Very rare","2008","66 and older","Male","574","0.254988676376607","0.236084310838252","0.273893041914963"
"Often","2009","16-34 y.","Female","310","0.159687512819274","0.143914701706357","0.175460323932192"
"Often","2009","16-34 y.","Male","129","0.0794808604845142","0.0673851300344234","0.091576590934605"
"Often","2009","35-65 y.","Female","624","0.129995492057845","0.120821381099463","0.139169603016228"
"Often","2009","35-65 y.","Male","357","0.0879132700060614","0.0798194775405439","0.0960070624715789"
"Often","2009","66 and older","Female","277","0.124553739454392","0.110736448243751","0.138371030665032"
"Often","2009","66 and older","Male","113","0.0625630597295621","0.0518851893978874","0.0732409300612367"
"Rarely","2009","16-34 y.","Female","658","0.310977183532931","0.291045945300434","0.330908421765427"
"Rarely","2009","16-34 y.","Male","763","0.376620284924233","0.354952595824978","0.398287974023487"
"Rarely","2009","35-65 y.","Female","1678","0.314526927013086","0.301860235129362","0.327193618896809"
"Rarely","2009","35-65 y.","Male","1750","0.357036993873995","0.34334217224201","0.370731815505979"
"Rarely","2009","66 and older","Female","667","0.282487032964847","0.263648637263241","0.301325428666452"
"Rarely","2009","66 and older","Male","784","0.401040425286512","0.379430789221489","0.422650061351534"
"Sometimes","2009","16-34 y.","Female","731","0.358315725705081","0.337669206333266","0.378962245076895"
"Sometimes","2009","16-34 y.","Male","504","0.276949701726651","0.25693868687591","0.296960716577393"
"Sometimes","2009","35-65 y.","Female","1781","0.343276901885429","0.330324433896339","0.35622936987452"
"Sometimes","2009","35-65 y.","Male","1267","0.290296742129107","0.277322970199993","0.303270514058222"
"Sometimes","2009","66 and older","Female","766","0.365408270865018","0.345258682900966","0.385557858829071"
"Sometimes","2009","66 and older","Male","481","0.252538424501266","0.233382073313797","0.271694775688735"
"Very often","2009","16-34 y.","Female","85","0.0474879880605034","0.0383304162884907","0.056645559832516"
"Very often","2009","16-34 y.","Male","29","","",""
"Very often","2009","35-65 y.","Female","233","0.0570591721625268","0.0507314989200695","0.0633868454049841"
"Very often","2009","35-65 y.","Male","79","0.0177793382264899","0.0140021458249772","0.0215565306280025"
"Very often","2009","66 and older","Female","104","0.0488200814088138","0.0398031167923695","0.057837046025258"
"Very often","2009","66 and older","Male","38","0.018969271703519","0.0129544708200895","0.0249840725869485"
"Very rare","2009","16-34 y.","Female","288","0.123531589882211","0.109363530617408","0.137699649147014"
"Very rare","2009","16-34 y.","Male","496","0.24879281955739","0.229460534296447","0.268125104818334"
"Very rare","2009","35-65 y.","Female","846","0.155141506881113","0.145265188522833","0.165017825239393"
"Very rare","2009","35-65 y.","Male","1249","0.246973655764347","0.234647229594739","0.259300081933954"
"Very rare","2009","66 and older","Female","380","0.17873087530693","0.162699443259141","0.194762307354718"
"Very rare","2009","66 and older","Male","560","0.264888818779141","0.245432398070541","0.28434523948774"
"Often","2010","16-34 y.","Female","236","0.12578270063858","0.110716801344909","0.140848599932251"
"Often","2010","16-34 y.","Male","130","0.0813992619185296","0.0684801909380285","0.0943183328990306"
"Often","2010","35-65 y.","Female","612","0.135585898774338","0.125864463292489","0.145307334256187"
"Often","2010","35-65 y.","Male","320","0.0896424187044166","0.0811089754909969","0.0981758619178364"
"Often","2010","66 and older","Female","293","0.14561797348833","0.130603375665937","0.160632571310722"
"Often","2010","66 and older","Male","132","0.08485927432312","0.0723813043323534","0.0973372443138866"
"Rarely","2010","16-34 y.","Female","601","0.31450825665958","0.29341264878603","0.33560386453313"
"Rarely","2010","16-34 y.","Male","646","0.372091501054373","0.349254939608396","0.39492806250035"
"Rarely","2010","35-65 y.","Female","1603","0.31752024583911","0.304301422092703","0.330739069585517"
"Rarely","2010","35-65 y.","Male","1663","0.371129533112448","0.356698252528285","0.385560813696611"
"Rarely","2010","66 and older","Female","622","0.28913817452857","0.269839589212849","0.308436759844291"
"Rarely","2010","66 and older","Male","704","0.363198614277997","0.341664628098893","0.384732600457101"
"Sometimes","2010","16-34 y.","Female","611","0.325226557826129","0.30394286921572","0.346510246436538"
"Sometimes","2010","16-34 y.","Male","418","0.278957185650553","0.257768356514846","0.300146014786259"
"Sometimes","2010","35-65 y.","Female","1582","0.338887274148903","0.325446397253542","0.352328151044265"
"Sometimes","2010","35-65 y.","Male","1112","0.27039527931252","0.257127297015478","0.283663261609562"
"Sometimes","2010","66 and older","Female","805","0.383446553743898","0.362749051192885","0.404144056294911"
"Sometimes","2010","66 and older","Male","553","0.292937454645237","0.272559213055173","0.313315696235301"
"Very often","2010","16-34 y.","Female","88","0.0621237039129056","0.0511569940250702","0.0730904138007411"
"Very often","2010","16-34 y.","Male","19","","",""
"Very often","2010","35-65 y.","Female","179","0.0470253244740603","0.0410140190408952","0.0530366299072253"
"Very often","2010","35-65 y.","Male","56","0.0170118194678658","0.0131489410095749","0.0208746979261567"
"Very often","2010","66 and older","Female","87","0.042809749418239","0.0341928576775792","0.0514266411588988"
"Very often","2010","66 and older","Male","44","0.0253731073546974","0.0183317503768208","0.032414464332574"
