"pgfamstd","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Widowed","1988","Part Time","West Germany","56","0.0439715539104281","0.034615963074437","0.0533271447464191","5"
"Widowed","1988","Part Time","East Germany","","","","","5"
"Widowed","1988","Not Working","East Germany","","","","","5"
"Divorced","1989","Full Time","West Germany","222","0.0650691526147654","0.0578921844217007","0.07224612080783","4"
"Divorced","1989","Full Time","East Germany","","","","","4"
"Divorced","1989","Part Time","West Germany","68","0.0508545273204784","0.0404413985950878","0.061267656045869","4"
"Divorced","1989","Part Time","East Germany","","","","","4"
"Divorced","1989","Not Working","West Germany","87","0.03440402709911","0.0282838443882545","0.0405242098099655","4"
"Divorced","1989","Not Working","East Germany","","","","","4"
"Married","1989","Full Time","West Germany","2900","0.59589593146418","0.581617006118351","0.610174856810008","1"
"Married","1989","Full Time","East Germany","","","","","1"
"Married","1989","Part Time","West Germany","1076","0.610772201166945","0.587662645671015","0.633881756662875","1"
"Married","1989","Part Time","East Germany","","","","","1"
"Married","1989","Not Working","West Germany","2081","0.540570690043054","0.523836772659262","0.557304607426845","1"
"Married","1989","Not Working","East Germany","","","","","1"
"Married, but separated","1989","Full Time","West Germany","142","0.0313081230243835","0.0262407246681537","0.0363755213806133","2"
"Married, but separated","1989","Full Time","East Germany","","","","","2"
"Married, but separated","1989","Part Time","West Germany","38","0.0230786794490611","0.0159618705008423","0.0301954883972799","2"
"Married, but separated","1989","Not Working","West Germany","45","0.013821868380419","0.00990153423964127","0.0177422025211967","2"
"Married, but separated","1989","Part Time","East Germany","","","","","2"
"Married, but separated","1989","Not Working","East Germany","","","","","2"
"Single","1989","Full Time","East Germany","","","","","3"
"Single","1989","Full Time","West Germany","1214","0.292672503484925","0.279433206232614","0.305911800737237","3"
"Single","1989","Part Time","West Germany","473","0.270983991874683","0.249917588955125","0.292050394794241","3"
"Single","1989","Part Time","East Germany","","","","","3"
"Single","1989","Not Working","West Germany","690","0.173893904758942","0.161167019833711","0.186620789684172","3"
"Single","1989","Not Working","East Germany","","","","","3"
"Widowed","1989","Full Time","West Germany","59","0.0150542894117463","0.0115110542389453","0.0185975245845472","5"
"Widowed","1989","Full Time","East Germany","","","","","5"
"Widowed","1989","Part Time","West Germany","55","0.044310600188833","0.0345570609246521","0.0540641394530139","5"
"Widowed","1989","Part Time","East Germany","","","","","5"
"Widowed","1989","Not Working","West Germany","504","0.237309509718476","0.223024065129801","0.25159495430715","5"
"Widowed","1989","Not Working","East Germany","","","","","5"
"Divorced","1990","Full Time","West Germany","227","0.0691361754934513","0.061659898671544","0.0766124523153585","4"
"Divorced","1990","Full Time","East Germany","","","","","4"
"Divorced","1990","Part Time","West Germany","76","0.0685564622120039","0.0566418835741057","0.0804710408499021","4"
"Divorced","1990","Part Time","East Germany","","","","","4"
"Divorced","1990","Not Working","West Germany","82","0.0323231394399386","0.0263026989124315","0.0383435799674457","4"
"Divorced","1990","Not Working","East Germany","","","","","4"
"Married","1990","Full Time","West Germany","2812","0.587366338600929","0.572857706275836","0.601874970926022","1"
"Married","1990","Full Time","East Germany","","","","","1"
"Married","1990","Part Time","West Germany","1098","0.597074878727544","0.573948757699375","0.620200999755713","1"
"Married","1990","Part Time","East Germany","","","","","1"
"Married","1990","Not Working","West Germany","2046","0.549587835023331","0.532651090521129","0.566524579525532","1"
"Married","1990","Not Working","East Germany","","","","","1"
"Married, but separated","1990","Full Time","West Germany","123","0.0238055517341139","0.0193129604131885","0.0282981430550393","2"
"Married, but separated","1990","Full Time","East Germany","","","","","2"
"Married, but separated","1990","Part Time","West Germany","44","0.0295693246638899","0.0215824074501406","0.0375562418776392","2"
"Married, but separated","1990","Part Time","East Germany","","","","","2"
"Married, but separated","1990","Not Working","West Germany","52","0.0148697729658655","0.0107496961243071","0.0189898498074239","2"
"Married, but separated","1990","Not Working","East Germany","","","","","2"
"Single","1990","Full Time","West Germany","1192","0.302318664980177","0.28878390202182","0.315853427938534","3"
"Single","1990","Full Time","East Germany","","","","","3"
"Single","1990","Part Time","West Germany","472","0.274787134196937","0.253739311851135","0.295834956542738","3"
"Single","1990","Part Time","East Germany","","","","","3"
"Single","1990","Not Working","West Germany","634","0.161023731856922","0.148511749983077","0.173535713730766","3"
"Single","1990","Not Working","East Germany","","","","","3"
"Widowed","1990","Full Time","West Germany","69","0.0173732691913284","0.0135227022056338","0.021223836177023","5"
"Widowed","1990","Full Time","East Germany","","","","","5"
"Widowed","1990","Part Time","West Germany","38","0.0300122001996259","0.0219675294279497","0.0380568709713022","5"
"Widowed","1990","Part Time","East Germany","","","","","5"
"Widowed","1990","Not Working","West Germany","501","0.242195520713944","0.227611812649406","0.256779228778482","5"
"Widowed","1990","Not Working","East Germany","","","","","5"
"Divorced","1991","Full Time","West Germany","244","0.0790051012451485","0.0710527942823544","0.0869574082079427","4"
"Divorced","1991","Full Time","East Germany","","","","","4"
"Divorced","1991","Part Time","East Germany","","","","","4"
"Divorced","1991","Part Time","West Germany","73","0.054544232732895","0.0439349314351736","0.0651535340306164","4"
"Divorced","1991","Not Working","West Germany","89","0.0366724177502779","0.0301995104676451","0.0431453250329107","4"
"Divorced","1991","Not Working","East Germany","","","","","4"
"Married","1991","Full Time","West Germany","2809","0.582843892925076","0.568307308180804","0.597380477669347","1"
"Married","1991","Full Time","East Germany","","","","","1"
"Married","1991","Part Time","West Germany","1126","0.626678720348406","0.604081469639414","0.649275971057398","1"
"Married","1991","Part Time","East Germany","","","","","1"
"Married","1991","Not Working","West Germany","2003","0.541284855468789","0.524124467811571","0.558445243126007","1"
"Married","1991","Not Working","East Germany","","","","","1"
"Married, but separated","1991","Full Time","West Germany","127","0.0280761858649007","0.0232062625517099","0.0329461091780915","2"
"Married, but separated","1991","Full Time","East Germany","","","","","2"
"Married, but separated","1991","Part Time","West Germany","35","0.0198057261575621","0.0132962922373261","0.0263151600777981","2"
"Married, but separated","1991","Part Time","East Germany","","","","","2"
"Married, but separated","1991","Not Working","East Germany","","","","","2"
"Married, but separated","1991","Not Working","West Germany","49","0.0153198582765266","0.0110900802124555","0.0195496363405977","2"
"Single","1991","Full Time","East Germany","","","","","3"
"Single","1991","Full Time","West Germany","1180","0.293877828897697","0.280448315041783","0.30730734275361","3"
"Single","1991","Part Time","East Germany","","","","","3"
"Single","1991","Part Time","West Germany","476","0.263513892854152","0.242932451070633","0.284095334637671","3"
"Single","1991","Not Working","West Germany","610","0.15979939416034","0.147180488997736","0.172418299322943","3"
"Single","1991","Not Working","East Germany","","","","","3"
"Widowed","1991","Full Time","West Germany","60","0.0161969910671786","0.0124755752350193","0.019918406899338","5"
"Widowed","1991","Full Time","East Germany","","","","","5"
"Widowed","1991","Part Time","West Germany","50","0.0354574279069847","0.0268175805080162","0.0440972753059533","5"
"Widowed","1991","Part Time","East Germany","","","","","5"
"Widowed","1991","Not Working","West Germany","488","0.246923474344067","0.232072896188925","0.26177405249921","5"
"Widowed","1991","Not Working","East Germany","","","","","5"
"Divorced","1992","Full Time","West Germany","248","0.0783724646374294","0.0704367632439196","0.0863081660309392","4"
"Divorced","1992","Full Time","East Germany","131","0.0832209313669998","0.0716339621361389","0.0948079005978606","4"
"Divorced","1992","Part Time","West Germany","77","0.0567932990043096","0.0459246390121486","0.0676619589964706","4"
"Divorced","1992","Part Time","East Germany","30","0.0548371627075249","0.0386832910238269","0.0709910343912228","4"
"Divorced","1992","Not Working","West Germany","92","0.0386321146994038","0.0319612001428572","0.0453030292559504","4"
"Divorced","1992","Not Working","East Germany","59","0.0632534468863538","0.0484523647933951","0.0780545289793125","4"
"Married","1992","Full Time","West Germany","2802","0.590363795540495","0.575843185262055","0.604884405818934","1"
"Married","1992","Full Time","East Germany","1606","0.665397784785097","0.645604115741695","0.685191453828499","1"
"Married","1992","Part Time","West Germany","1111","0.617660923399043","0.594840514476776","0.64048133232131","1"
"Married","1992","Part Time","East Germany","535","0.641198601702054","0.607164901509561","0.675232301894548","1"
"Married","1992","Not Working","East Germany","557","0.508593279408515","0.478195198147897","0.538991360669133","1"
"Married","1992","Not Working","West Germany","2011","0.553736161708914","0.536528826335532","0.570943497082296","1"
"Married, but separated","1992","Full Time","West Germany","118","0.026682646765328","0.0219241746214348","0.0314411189092212","2"
"Married, but separated","1992","Full Time","East Germany","14","","","","2"
"Married, but separated","1992","Part Time","West Germany","47","0.0279674692672869","0.0202247947991812","0.0357101437353926","2"
"Married, but separated","1992","Part Time","East Germany","7","","","","2"
"Married, but separated","1992","Not Working","West Germany","47","0.0140540749988005","0.00997939025172528","0.0181287597458758","2"
"Married, but separated","1992","Not Working","East Germany","6","","","","2"
"Single","1992","Full Time","East Germany","396","0.22094116370632","0.203537340191506","0.238344987221134","3"
"Single","1992","Full Time","West Germany","1179","0.288731537264628","0.275350501467007","0.302112573062248","3"
"Single","1992","Part Time","West Germany","462","0.261799365685749","0.241155286431876","0.282443444939621","3"
"Single","1992","Part Time","East Germany","177","0.268342506740634","0.236902366783204","0.299782646698065","3"
"Single","1992","Not Working","West Germany","579","0.151191258596661","0.138790889991038","0.163591627202284","3"
"Single","1992","Not Working","East Germany","223","0.168720140387464","0.145948337782182","0.191491942992745","3"
"Widowed","1992","Full Time","West Germany","59","0.0158495557921203","0.01216177465562","0.0195373369286205","5"
"Widowed","1992","Full Time","East Germany","36","0.0240467129873268","0.0176203744746328","0.0304730515000209","5"
"Widowed","1992","Part Time","West Germany","45","0.0357789426436119","0.0270567420074067","0.0445011432798171","5"
"Widowed","1992","Part Time","East Germany","14","","","","5"
"Widowed","1992","Not Working","West Germany","477","0.242386389996221","0.227552866249285","0.257219913743157","5"
"Widowed","1992","Not Working","East Germany","194","0.25571698799025","0.229189925487203","0.282244050493297","5"
"Divorced","1993","Full Time","West Germany","237","0.0765847447342703","0.0686501025276404","0.0845193869409002","4"
"Divorced","1993","Full Time","East Germany","105","0.0767382191705782","0.0648784593602135","0.088597978980943","4"
"Divorced","1993","Part Time","West Germany","79","0.0579359018541614","0.0471820685176457","0.0686897351906771","4"
"Divorced","1993","Part Time","East Germany","39","0.089395435505549","0.0673767789521612","0.111414092058937","4"
"Divorced","1993","Not Working","West Germany","94","0.0407511938485979","0.0338576847748319","0.047644702922364","4"
"Divorced","1993","Not Working","East Germany","72","0.0640751516418433","0.0504995715991742","0.0776507316845123","4"
"Married","1993","Full Time","West Germany","2716","0.586697335803282","0.572004729166639","0.601389942439924","1"
"Married","1993","Full Time","East Germany","1414","0.673099129954068","0.652198702942596","0.69399955696554","1"
"Married","1993","Part Time","West Germany","1173","0.626890105043741","0.604628151106136","0.649152058981347","1"
"Married","1993","Part Time","East Germany","409","0.58955261357319","0.551589811077075","0.627515416069305","1"
"Married","1993","Not Working","West Germany","1965","0.551253546180124","0.533912281670595","0.568594810689654","1"
"Married","1993","Not Working","East Germany","713","0.535051751309123","0.507401868968782","0.562701633649464","1"
"Married, but separated","1993","Full Time","West Germany","119","0.0285066569371947","0.0235412968363252","0.0334720170380643","2"
"Married, but separated","1993","Part Time","West Germany","54","0.0374170172062281","0.0286812136255364","0.0461528207869197","2"
"Married, but separated","1993","Full Time","East Germany","25","","","","2"
"Married, but separated","1993","Not Working","West Germany","58","0.0157309310826099","0.0113924402647588","0.020069421900461","2"
"Married, but separated","1993","Part Time","East Germany","12","","","","2"
"Married, but separated","1993","Not Working","East Germany","11","","","","2"
"Single","1993","Full Time","West Germany","1179","0.291089167327875","0.277535197352623","0.304643137303127","3"
"Single","1993","Full Time","East Germany","366","0.220631490318836","0.20215528487369","0.239107695763982","3"
"Single","1993","Part Time","West Germany","467","0.246059392226946","0.226233272242757","0.265885512211134","3"
"Single","1993","Part Time","East Germany","173","0.282532808404379","0.247786897626506","0.317278719182252","3"
"Single","1993","Not Working","West Germany","564","0.149781015150862","0.137338782042456","0.162223248259267","3"
"Single","1993","Not Working","East Germany","251","0.166459024730885","0.145809491730911","0.18710855773086","3"
"Widowed","1993","Full Time","West Germany","64","0.0171220951973784","0.0132514271195766","0.0209927632751801","5"
"Widowed","1993","Full Time","East Germany","25","","","","5"
"Widowed","1993","Part Time","West Germany","40","0.0316975836689236","0.0236332632502485","0.0397619040875987","5"
"Widowed","1993","Part Time","East Germany","12","","","","5"
"Widowed","1993","Not Working","West Germany","479","0.242483313737806","0.2275401835279","0.257426443947713","5"
"Widowed","1993","Not Working","East Germany","203","0.22772544674014","0.204477493237893","0.250973400242387","5"
"Divorced","1994","Full Time","West Germany","235","0.0790614980419865","0.0708100397639867","0.0873129563199863","4"
"Divorced","1994","Part Time","West Germany","85","0.0605935398365457","0.0495037798693019","0.0716832998037895","4"
"Divorced","1994","Full Time","East Germany","93","0.0684319700796419","0.0569545254701351","0.0799094146891488","4"
"Divorced","1994","Part Time","East Germany","31","0.0825025757899728","0.0602645817909933","0.104740569788952","4"
"Divorced","1994","Not Working","West Germany","95","0.0410105554554656","0.034159738846978","0.0478613720639533","4"
"Divorced","1994","Not Working","East Germany","86","0.0711396963551675","0.0573298047952741","0.0849495879150609","4"
"Married","1994","Full Time","West Germany","2575","0.591887398704002","0.576857971720118","0.606916825687885","1"
"Married","1994","Full Time","East Germany","1330","0.669667458813284","0.648287164799461","0.691047752827107","1"
"Married","1994","Part Time","West Germany","1170","0.639774814052618","0.617460537077539","0.662089091027698","1"
"Married","1994","Part Time","East Germany","371","0.58726568075087","0.547472190711456","0.627059170790284","1"
"Married","1994","Not Working","West Germany","1980","0.541489737196048","0.524276710271503","0.558702764120592","1"
"Married","1994","Not Working","East Germany","766","0.538833479303499","0.512053191816118","0.565613766790881","1"
"Married, but separated","1994","Full Time","East Germany","35","0.0191469410072447","0.0129173423057304","0.0253765397087591","2"
"Married, but separated","1994","Full Time","West Germany","119","0.0285791737232213","0.0234839716477525","0.0336743757986902","2"
"Married, but separated","1994","Part Time","West Germany","55","0.0371023026711666","0.0283166765266482","0.0458879288156851","2"
"Married, but separated","1994","Part Time","East Germany","9","","","","2"
"Married, but separated","1994","Not Working","West Germany","52","0.0183803483774235","0.0137401548482785","0.0230205419065685","2"
"Married, but separated","1994","Not Working","East Germany","15","","","","2"
"Single","1994","Full Time","West Germany","1120","0.283731113558321","0.269945554025549","0.297516673091093","3"
"Single","1994","Full Time","East Germany","378","0.22560883191963","0.206608261454082","0.244609402385177","3"
"Single","1994","Part Time","West Germany","429","0.232494294473396","0.212859372996396","0.252129215950396","3"
"Single","1994","Part Time","East Germany","171","0.30596319273607","0.268716709655936","0.343209675816205","3"
"Single","1994","Not Working","West Germany","613","0.162145377319099","0.149412568344385","0.174878186293812","3"
"Single","1994","Not Working","East Germany","255","0.156839041235437","0.137302782553829","0.176375299917045","3"
"Widowed","1994","Full Time","West Germany","59","0.0167408159724698","0.012817482798191","0.0206641491467486","5"
"Widowed","1994","Full Time","East Germany","23","","","","5"
"Widowed","1994","Part Time","West Germany","39","0.0300350489662727","0.0221013739683201","0.0379687239642254","5"
"Widowed","1994","Part Time","East Germany","6","","","","5"
"Widowed","1994","Not Working","West Germany","479","0.236973981651964","0.222284461508967","0.251663501794961","5"
"Widowed","1994","Not Working","East Germany","209","0.222432622416692","0.200090351164141","0.244774893669242","5"
"Divorced","1995","Full Time","West Germany","243","0.0819242131188612","0.0735459149110231","0.0903025113266992","4"
"Divorced","1995","Full Time","East Germany","98","0.0689977043181457","0.05723343072655","0.0807619779097414","4"
"Divorced","1995","Part Time","West Germany","101","0.0669449351113128","0.056002556632289","0.0778873135903366","4"
"Divorced","1995","Part Time","East Germany","45","0.101471963297232","0.0773513307064954","0.125592595887969","4"
"Divorced","1995","Not Working","East Germany","88","0.0837042554885075","0.0686958061779495","0.0987127047990656","4"
"Divorced","1995","Not Working","West Germany","115","0.0442869355292711","0.0374643282295568","0.0511095428289853","4"
"Married","1995","Full Time","West Germany","2622","0.599539250621721","0.58457002975922","0.614508471484221","1"
"Married","1995","Full Time","East Germany","1267","0.671535765031045","0.649736038920101","0.693335491141989","1"
"Married","1995","Part Time","West Germany","1314","0.629305724151621","0.608159247684828","0.650452200618414","1"
"Married","1995","Part Time","East Germany","364","0.555533844714827","0.51583988223365","0.595227807196003","1"
"Married","1995","Not Working","East Germany","737","0.537539914660637","0.510519829994221","0.564559999327053","1"
"Married","1995","Not Working","West Germany","2159","0.548761501012488","0.532259230999972","0.565263771025003","1"
"Married, but separated","1995","Full Time","East Germany","24","","","","2"
"Married, but separated","1995","Full Time","West Germany","101","0.0240462137241975","0.0193661864287618","0.0287262410196333","2"
"Married, but separated","1995","Part Time","West Germany","54","0.0323948289410283","0.0246433215002329","0.0401463363818237","2"
"Married, but separated","1995","Part Time","East Germany","10","","","","2"
"Married, but separated","1995","Not Working","West Germany","56","0.0147967216888731","0.0107927179441504","0.0188007254335959","2"
