"pgfamstd","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"2","1985","1-pers.-HH","West Germany","42","0.0295839627732912","0.0193983159126448","0.0397696096339377"
"2","1985","1-pers.-HH","East Germany","","","",""
"2","1985","(Married) couple without C. ","West Germany","22","","",""
"2","1985","(Married) couple without C. ","East Germany","","","",""
"2","1985","Single parent ","West Germany","28","","",""
"2","1985","Single parent ","East Germany","","","",""
"2","1985","Couple + C. LE 16 ","West Germany","20","","",""
"2","1985","Couple + C. LE 16 ","East Germany","","","",""
"2","1985","Couple + C. GT 16 ","West Germany","7","","",""
"2","1985","Couple + C. GT 16 ","East Germany","","","",""
"2","1985","Couple + C. LE and GT 16","West Germany","1","","",""
"2","1985","Couple + C. LE and GT 16","East Germany","","","",""
"3","1985","1-pers.-HH","West Germany","421","0.349517968921907","0.320854162328275","0.37818177551554"
"3","1985","1-pers.-HH","East Germany","","","",""
"3","1985","(Married) couple without C. ","West Germany","175","0.0695911182718031","0.058929128449779","0.0802531080938272"
"3","1985","(Married) couple without C. ","East Germany","","","",""
"3","1985","Single parent ","West Germany","241","0.503011832073925","0.458421916429144","0.547601747718706"
"3","1985","Single parent ","East Germany","","","",""
"3","1985","Couple + C. LE 16 ","West Germany","34","0.0130944456960639","0.00863115238409222","0.0175577390080355"
"3","1985","Couple + C. LE 16 ","East Germany","","","",""
"3","1985","Couple + C. GT 16 ","West Germany","802","0.430756969121262","0.408514672076461","0.452999266166062"
"3","1985","Couple + C. GT 16 ","East Germany","","","",""
"3","1985","Couple + C. LE and GT 16","West Germany","567","0.431896034140309","0.406096017685138","0.45769605059548"
"3","1985","Couple + C. LE and GT 16","East Germany","","","",""
"4","1985","1-pers.-HH","West Germany","142","0.124818356375137","0.104949640996724","0.14468707175355"
"4","1985","1-pers.-HH","East Germany","","","",""
"4","1985","(Married) couple without C. ","West Germany","37","0.0149204182497045","0.00984057174536776","0.0200002647540413"
"4","1985","(Married) couple without C. ","East Germany","","","",""
"4","1985","Single parent ","West Germany","86","0.17525739206085","0.141351754604443","0.209163029517258"
"4","1985","Single parent ","East Germany","","","",""
"4","1985","Couple + C. LE 16 ","West Germany","21","","",""
"4","1985","Couple + C. LE 16 ","East Germany","","","",""
"4","1985","Couple + C. GT 16 ","West Germany","9","","",""
"4","1985","Couple + C. GT 16 ","East Germany","","","",""
"4","1985","Couple + C. LE and GT 16","West Germany","6","","",""
"4","1985","Couple + C. LE and GT 16","East Germany","","","",""
"5","1985","1-pers.-HH","West Germany","401","0.478480311456998","0.448450759735222","0.508509863178774"
"5","1985","1-pers.-HH","East Germany","","","",""
"5","1985","(Married) couple without C. ","West Germany","27","","",""
"5","1985","(Married) couple without C. ","East Germany","","","",""
"5","1985","Single parent ","West Germany","105","0.237052323227839","0.1991257145155","0.274978931940178"
"5","1985","Single parent ","East Germany","","","",""
"5","1985","Couple + C. LE 16 ","West Germany","7","","",""
"5","1985","Couple + C. LE 16 ","East Germany","","","",""
"5","1985","Couple + C. GT 16 ","West Germany","2","","",""
"5","1985","Couple + C. GT 16 ","East Germany","","","",""
"5","1985","Couple + C. LE and GT 16","West Germany","5","","",""
"5","1985","Couple + C. LE and GT 16","East Germany","","","",""
"6","1985","1-pers.-HH","West Germany","46","0.0131834482630874","0.00632676353486126","0.0200401329913136"
"6","1985","1-pers.-HH","East Germany","","","",""
"6","1985","(Married) couple without C. ","West Germany","5","","",""
"6","1985","(Married) couple without C. ","East Germany","","","",""
"6","1985","Single parent ","West Germany","12","","",""
"6","1985","Single parent ","East Germany","","","",""
"6","1985","Couple + C. LE 16 ","West Germany","3","","",""
"6","1985","Couple + C. LE 16 ","East Germany","","","",""
"6","1985","Couple + C. GT 16 ","West Germany","5","","",""
"6","1985","Couple + C. GT 16 ","East Germany","","","",""
"6","1985","Couple + C. LE and GT 16","West Germany","4","","",""
"6","1985","Couple + C. LE and GT 16","East Germany","","","",""
"7","1985","1-pers.-HH","West Germany","","","",""
"7","1985","1-pers.-HH","East Germany","","","",""
"7","1985","(Married) couple without C. ","West Germany","","","",""
"7","1985","(Married) couple without C. ","East Germany","","","",""
"7","1985","Single parent ","West Germany","","","",""
"7","1985","Single parent ","East Germany","","","",""
"7","1985","Couple + C. LE 16 ","West Germany","","","",""
"7","1985","Couple + C. LE 16 ","East Germany","","","",""
"7","1985","Couple + C. GT 16 ","West Germany","","","",""
"7","1985","Couple + C. GT 16 ","East Germany","","","",""
"7","1985","Couple + C. LE and GT 16","West Germany","","","",""
"7","1985","Couple + C. LE and GT 16","East Germany","","","",""
"8","1985","1-pers.-HH","West Germany","","","",""
"8","1985","1-pers.-HH","East Germany","","","",""
"8","1985","(Married) couple without C. ","West Germany","","","",""
