"pgfamstd","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Single","1997","Rural Area","1000","0.21242274368985","0.200273451731102","0.224572035648597","3"
"Single","1997","Urban Area","2083","0.232693622006811","0.223710220298863","0.241677023714758","3"
"Widowed","1997","Urban Area","504","0.102831723154329","0.0963742191000355","0.109289227208622","5"
"Widowed","1997","Rural Area","290","0.112709222795835","0.103315957467822","0.122102488123848","5"
"Divorced","1998","Rural Area","272","0.0659914148200546","0.0590236919807585","0.0729591376593506","4"
"Divorced","1998","Urban Area","543","0.0730157478683136","0.0677527992609046","0.0782786964757226","4"
"Married","1998","Urban Area","5727","0.565665061006714","0.555637928761842","0.575692193251586","1"
"Married","1998","Rural Area","3077","0.599423819814869","0.585671331895927","0.613176307733812","1"
"Married, but separated","1998","Rural Area","75","0.0180018840167541","0.0142703618989546","0.0217334061345536","2"
"Married, but separated","1998","Urban Area","250","0.0286206744138496","0.0252476534404163","0.0319936953872829","2"
"Single","1998","Rural Area","1136","0.211361466089635","0.199903075656516","0.222819856522755","3"
"Single","1998","Urban Area","2287","0.233607830541453","0.2250482218791","0.242167439203806","3"
"Widowed","1998","Urban Area","580","0.0990906861696702","0.0930464470363635","0.105134925302977","5"
"Widowed","1998","Rural Area","317","0.105221415258687","0.0966098603843849","0.113832970132989","5"
"Divorced","1999","Rural Area","289","0.0727554300488704","0.065343266245809","0.0801675938519318","4"
"Divorced","1999","Urban Area","553","0.0778841155290379","0.0723441176481131","0.0834241134099627","4"
"Married","1999","Urban Area","5435","0.558366702315205","0.548101132480028","0.568632272150383","1"
"Married","1999","Rural Area","2904","0.587582237267938","0.573534118730525","0.601630355805351","1"
"Married, but separated","1999","Rural Area","81","0.018995764860506","0.0151001233348503","0.0228914063861617","2"
"Married, but separated","1999","Urban Area","230","0.0266470004589664","0.0233177095008743","0.0299762914170585","2"
"Single","1999","Rural Area","1136","0.216579121155615","0.204824164900439","0.228334077410791","3"
"Single","1999","Urban Area","2229","0.238682727595915","0.229870499328044","0.247494955863786","3"
"Widowed","1999","Urban Area","542","0.0984194541008756","0.0922615185006593","0.104577389701092","5"
"Widowed","1999","Rural Area","307","0.104087446667071","0.0953728530157748","0.112802040318367","5"
"Divorced","2000","Rural Area","499","0.0699073636349077","0.0644186673669702","0.0753960599028452","4"
"Divorced","2000","Urban Area","970","0.0719256276961978","0.0679078333626596","0.075943422029736","4"
"Married","2000","Rural Area","5196","0.592473468044721","0.581896601341268","0.603050334748174","1"
"Married","2000","Urban Area","9806","0.573783393528833","0.566093086973222","0.581473700084444","1"
"Married, but separated","2000","Urban Area","365","0.0235446902607208","0.0211867806214845","0.025902599899957","2"
"Married, but separated","2000","Rural Area","132","0.0158119057754562","0.0131267109857962","0.0184971005651162","2"
"Single","2000","Rural Area","1904","0.22419254532096","0.215215525347339","0.233169565294582","3"
"Single","2000","Urban Area","3710","0.238016150234938","0.231393518925775","0.244638781544102","3"
"Widowed","2000","Urban Area","1034","0.0927301382793095","0.0882195501007936","0.0972407264578254","5"
"Widowed","2000","Rural Area","560","0.0976147172239553","0.0912262262497055","0.104003208198205","5"
"Divorced","2001","Rural Area","460","0.0718041933215858","0.0659685110933644","0.0776398755498072","4"
"Divorced","2001","Urban Area","923","0.0767690970585436","0.0724297204363938","0.0811084736806934","4"
"Married","2001","Rural Area","4676","0.584198870407925","0.573057974431668","0.595339766384181","1"
"Married","2001","Urban Area","8837","0.562565513401881","0.554479731472517","0.570651295331246","1"
"Married, but separated","2001","Urban Area","329","0.0235968657161226","0.0211227460287318","0.0260709854035133","2"
"Married, but separated","2001","Rural Area","132","0.0185943522341612","0.0155407551405977","0.0216479493277246","2"
"Single","2001","Rural Area","1732","0.22607754737159","0.216622267897136","0.235532826846043","3"
"Single","2001","Urban Area","3449","0.246548291473189","0.239523107986275","0.253573474960102","3"
"Widowed","2001","Urban Area","921","0.0905202323502639","0.0858434375704185","0.0951970271301092","5"
"Widowed","2001","Rural Area","518","0.0993250366647386","0.0925640459013295","0.106086027428148","5"
"Divorced","2002","Urban Area","977","0.079175649713542","0.0749124960466787","0.0834388033804052","4"
"Divorced","2002","Rural Area","479","0.0750656641882028","0.0691610232921047","0.0809703050843009","4"
"Married","2002","Urban Area","9587","0.563342664671806","0.555511912608049","0.571173416735564","1"
"Married","2002","Rural Area","4721","0.571345712074115","0.560255995524259","0.582435428623971","1"
"Married, but separated","2002","Urban Area","322","0.0230287791163878","0.0206605532836811","0.0253970049490944","2"
"Married, but separated","2002","Rural Area","144","0.0185869602245663","0.0155604128923061","0.0216135075568264","2"
"Single","2002","Urban Area","3621","0.245342134342178","0.238548410446581","0.252135858237775","3"
"Single","2002","Rural Area","1801","0.239303991758291","0.229743110739826","0.248864872776757","3"
"Widowed","2002","Urban Area","903","0.0891107721560857","0.0846125110780212","0.0936090332341503","5"
"Widowed","2002","Rural Area","505","0.0956976717548247","0.0891055551030581","0.102289788406591","5"
"Divorced","2003","Urban Area","962","0.0820990592252808","0.0776866660106549","0.0865114524399067","4"
"Divorced","2003","Rural Area","471","0.074876565017707","0.0688485216012477","0.0809046084341664","4"
"Married","2003","Rural Area","4444","0.565810722247729","0.55445855690995","0.577162887585508","1"
"Married","2003","Urban Area","9076","0.5537331140078","0.545742966640623","0.561723261374977","1"
"Married, but separated","2003","Urban Area","342","0.0248247912101249","0.0223239199335401","0.0273256624867096","2"
"Married, but separated","2003","Rural Area","140","0.0176253457917552","0.0146115697819601","0.0206391218015503","2"
"Single","2003","Rural Area","1770","0.244880211658335","0.235031297649912","0.254729125666759","3"
"Single","2003","Urban Area","3597","0.250669886742562","0.243703703637377","0.257636069847747","3"
"Widowed","2003","Rural Area","498","0.0968071552844732","0.0900346781514526","0.103579632417494","5"
"Widowed","2003","Urban Area","892","0.0886731488142325","0.0841039468075142","0.0932423508209509","5"
"Divorced","2004","Urban Area","971","0.0854688876348672","0.0809121691750931","0.0900256060946413","4"
"Divorced","2004","Rural Area","472","0.074378300900481","0.0683066429842298","0.0804499588167322","4"
"Married","2004","Rural Area","4282","0.551547763883676","0.540039307770893","0.563056219996458","1"
"Married","2004","Urban Area","8749","0.544572011100145","0.536455181199431","0.552688841000859","1"
"Married, but separated","2004","Urban Area","330","0.0267159272830053","0.0240877548083844","0.0293440997576262","2"
"Married, but separated","2004","Rural Area","137","0.0192568237262268","0.0160767486000478","0.0224368988524058","2"
"Single","2004","Rural Area","1788","0.25794598542192","0.247822045695793","0.268069925148047","3"
"Single","2004","Urban Area","3558","0.255994285408233","0.248881295395329","0.263107275421137","3"
"Widowed","2004","Rural Area","495","0.0968711260676961","0.0900266620828782","0.103715590052514","5"
"Widowed","2004","Urban Area","853","0.0872488885737494","0.0826494474401025","0.0918483297073962","5"
"Divorced","2005","Urban Area","945","0.0875883063350774","0.0828826272966588","0.092293985373496","4"
"Divorced","2005","Rural Area","476","0.0790429855342238","0.0726611216173969","0.0854248494510507","4"
"Married","2005","Rural Area","4067","0.543376652254134","0.531594470031165","0.555158834477103","1"
"Married","2005","Urban Area","8248","0.532595389976842","0.524290210665898","0.540900569287786","1"
"Married, but separated","2005","Rural Area","130","0.0192555099829452","0.0160049989638378","0.0225060210020526","2"
"Married, but separated","2005","Urban Area","338","0.0271261976775147","0.0244220741194339","0.0298303212355955","2"
"Single","2005","Urban Area","3497","0.26793604004032","0.260563894562537","0.275308185518103","3"
"Single","2005","Rural Area","1708","0.267057822143316","0.256592955457701","0.27752268882893","3"
"Widowed","2005","Rural Area","485","0.0912670300853814","0.0844550825691465","0.0980789776016164","5"
"Widowed","2005","Urban Area","836","0.0847540659702464","0.0801179638751112","0.0893901680653815","5"
"Divorced","2006","Urban Area","1041","0.0879138945779654","0.0833474822776186","0.0924803068783122","4"
"Divorced","2006","Rural Area","555","0.0871991136479463","0.0808213286046951","0.0935768986911975","4"
"Married","2006","Rural Area","4437","0.529826825683332","0.518543900431935","0.541109750934728","1"
"Married","2006","Urban Area","8806","0.531395761743689","0.523348639647364","0.539442883840015","1"
"Married, but separated","2006","Rural Area","136","0.022327762585843","0.0189877734041309","0.0256677517675551","2"
"Married, but separated","2006","Urban Area","359","0.0273729390368063","0.0247416877176434","0.0300041903559693","2"
"Single","2006","Urban Area","3636","0.267030854103234","0.259896543538882","0.274165164667586","3"
"Single","2006","Rural Area","1838","0.270079649264901","0.260042520804444","0.280116777725359","3"
"Widowed","2006","Rural Area","551","0.0905666488179777","0.0840788794424578","0.0970544181934976","5"
"Widowed","2006","Urban Area","930","0.0862865505383049","0.0817585652812676","0.0908145357953423","5"
"Divorced","2007","Urban Area","991","0.0890387328518188","0.0842863552603687","0.0937911104432689","4"
"Divorced","2007","Rural Area","540","0.0881744128576833","0.0815700949638601","0.0947787307515065","4"
"Married","2007","Rural Area","4131","0.525521303835003","0.513890645022279","0.537151962647728","1"
"Married","2007","Urban Area","8157","0.52560639538439","0.517273973873282","0.533938816895499","1"
"Married, but separated","2007","Rural Area","132","0.0223831858648697","0.0189377348835964","0.0258286368461431","2"
"Married, but separated","2007","Urban Area","329","0.027279986021064","0.0245617479191721","0.0299982241229559","2"
"Single","2007","Urban Area","3464","0.274910587178135","0.267460471555538","0.282360702800733","3"
"Single","2007","Rural Area","1763","0.274053123195548","0.263664198643191","0.284442047747904","3"
"Widowed","2007","Rural Area","515","0.0898679742468962","0.0832067283119554","0.0965292201818369","5"
"Widowed","2007","Urban Area","855","0.0831642985645915","0.0785565823779218","0.0877720147512613","5"
"Divorced","2008","Rural Area","523","0.0894333677945828","0.0825700041596684","0.0962967314294972","4"
"Divorced","2008","Urban Area","949","0.0906314476696546","0.085691329856253","0.0955715654830561","4"
"Married","2008","Urban Area","7610","0.517325368180439","0.508726584833051","0.525924151527826","1"
"Married","2008","Rural Area","3905","0.52371543848788","0.511703522353578","0.535727354622183","1"
"Married, but separated","2008","Rural Area","126","0.0226499309764859","0.0190715228921288","0.0262283390608431","2"
"Married, but separated","2008","Urban Area","301","0.0242449920957853","0.0215982641688223","0.0268917200227483","2"
"Single","2008","Urban Area","3276","0.282388619230047","0.27464228670781","0.290134951752285","3"
"Single","2008","Rural Area","1599","0.276020746899219","0.265269340589832","0.286772153208607","3"
"Widowed","2008","Rural Area","488","0.0881805158418315","0.0813607085564244","0.0950003231272386","5"
"Widowed","2008","Urban Area","837","0.0854095728240743","0.0806001331400017","0.0902190125081468","5"
"Divorced","2009","Rural Area","514","0.088918439127312","0.0818945638289","0.095942314425724","4"
"Divorced","2009","Urban Area","900","0.0890773604224608","0.0839798950985855","0.0941748257463361","4"
"Married","2009","Urban Area","6909","0.506483405655824","0.497536695805952","0.515430115505695","1"
"Married","2009","Rural Area","3728","0.529978809820848","0.517662227316173","0.542295392325524","1"
"Married, but separated","2009","Rural Area","111","0.0229262209137337","0.0192327714213354","0.0266196704061321","2"
"Married, but separated","2009","Urban Area","298","0.0250470708229495","0.0222506652524579","0.0278434763934411","2"
"Single","2009","Urban Area","3084","0.293359331997055","0.28521174267229","0.301506921321821","3"
"Single","2009","Rural Area","1491","0.273759302809327","0.262755900730652","0.284762704888001","3"
"Widowed","2009","Rural Area","464","0.0844172273287792","0.0775565562757299","0.0912778983818285","5"
"Widowed","2009","Urban Area","805","0.0860328311017105","0.0810148702648237","0.0910507919385974","5"
"Divorced","2010","Rural Area","706","0.089015320241429","0.0829085052041741","0.0951221352786839","4"
"Divorced","2010","Urban Area","1330","0.0936234039988933","0.0891085547313159","0.0981382532664707","4"
"Married","2010","Urban Area","9550","0.502714945117282","0.494965683868378","0.510464206366186","1"
"Married","2010","Rural Area","5050","0.534922828957313","0.524226495643774","0.545619162270852","1"
"Married, but separated","2010","Rural Area","163","0.019720565655511","0.0167388825813384","0.0227022487296836","2"
"Married, but separated","2010","Urban Area","430","0.0278701514071419","0.0253190454110127","0.0304212574032712","2"
"Single","2010","Rural Area","1973","0.272684517268245","0.263134184447934","0.282234850088557","3"
"Single","2010","Urban Area","3894","0.291081856427141","0.28404137569541","0.298122337158872","3"
"Widowed","2010","Urban Area","788","0.0847096430495416","0.0803940292834332","0.08902525681565","5"
"Widowed","2010","Rural Area","461","0.0836567678775013","0.0777192288220129","0.0895943069329897","5"
"Divorced","2011","Rural Area","890","0.0905346219184285","0.0849594280560259","0.0961098157808311","4"
"Divorced","2011","Urban Area","1615","0.0914299940806481","0.0872872775114565","0.0955727106498398","4"
"Married","2011","Urban Area","10961","0.502195604706395","0.495008938155236","0.509382271257554","1"
"Married","2011","Rural Area","6154","0.53871363778255","0.529028097886047","0.548399177679053","1"
"Married, but separated","2011","Rural Area","212","0.0184129253745087","0.0158008521108942","0.0210249986381231","2"
"Married, but separated","2011","Urban Area","509","0.026007989977309","0.0237203231778158","0.0282956567768022","2"
"Single","2011","Rural Area","2333","0.26856572217107","0.259954347461089","0.277177096881052","3"
"Single","2011","Urban Area","4523","0.297189236422201","0.29062026431448","0.303758208529921","3"
"Widowed","2011","Urban Area","986","0.083177174813447","0.0792079429529811","0.0871464066739128","5"
"Widowed","2011","Rural Area","587","0.0837730927534425","0.0783902296216378","0.0891559558852472","5"
"Divorced","2012","Rural Area","930","0.0939789307207878","0.0882977050686394","0.0996601563729362","4"
"Divorced","2012","Urban Area","1655","0.0914885139149509","0.0872825066708709","0.0956945211590309","4"
"Married","2012","Urban Area","10475","0.510682557235893","0.503389789544786","0.517975324927001","1"
"Married","2012","Rural Area","6087","0.544094421763264","0.53439753708409","0.553791306442438","1"
"Married, but separated","2012","Rural Area","214","0.0187381260113723","0.0160980697554802","0.0213781822672643","2"
"Married, but separated","2012","Urban Area","499","0.0253623233292751","0.0230686179456773","0.0276560287128728","2"
"Single","2012","Rural Area","2317","0.262455400956007","0.253889371928362","0.271021429983652","3"
"Single","2012","Urban Area","4468","0.295262441637522","0.288607575398997","0.301917307876047","3"
"Widowed","2012","Urban Area","952","0.0772041638823587","0.0733101751220756","0.0810981526426418","5"
"Widowed","2012","Rural Area","586","0.0807331205485687","0.0754291107550296","0.0860371303421079","5"
"Divorced","2013","Rural Area","948","0.096557740649085","0.0909135118330131","0.102201969465157","4"
"Divorced","2013","Urban Area","1827","0.091537844944505","0.0876066814209913","0.0954690084680187","4"
"Married","2013","Rural Area","6268","0.532363374919508","0.522828407639899","0.541898342199118","1"
"Married","2013","Urban Area","11925","0.50695268555688","0.500137222620751","0.513768148493008","1"
"Married, but separated","2013","Urban Area","553","0.0238333166197996","0.0217539954301622","0.0259126378094369","2"
"Married, but separated","2013","Rural Area","239","0.0229571189337277","0.0200950745267401","0.0258191633407153","2"
"Single","2013","Rural Area","2498","0.266330932895061","0.257883557914751","0.274778307875371","3"
"Single","2013","Urban Area","5398","0.298977917758847","0.292736938299241","0.305218897218453","3"
"Widowed","2013","Urban Area","968","0.0786982351199689","0.0750275190289722","0.0823689512109656","5"
"Widowed","2013","Rural Area","566","0.0817908326026178","0.0765538155230013","0.0870278496822342","5"
"Divorced","2014","Rural Area","845","0.0985993187756095","0.0925996769845227","0.104598960566696","4"
"Divorced","2014","Urban Area","1620","0.0935956408417994","0.0893655845084611","0.0978256971751377","4"
"Married","2014","Rural Area","5635","0.527598015054511","0.517551004539745","0.537645025569276","1"
"Married","2014","Urban Area","10422","0.500714052643124","0.493452543162846","0.507975562123401","1"
"Married, but separated","2014","Urban Area","454","0.0253463021810514","0.0230636495909241","0.0276289547711787","2"
"Married, but separated","2014","Rural Area","205","0.0226896222770288","0.0196928115702045","0.0256864329838532","2"
"Single","2014","Rural Area","2246","0.267089505867749","0.258185543705101","0.275993468030396","3"
"Single","2014","Urban Area","4811","0.301575272966068","0.294910044884655","0.30824050104748","3"
"Widowed","2014","Urban Area","906","0.0787687313679578","0.074856553355513","0.0826809093804026","5"
"Widowed","2014","Rural Area","554","0.0840235380251023","0.0784404810150189","0.0896065950351857","5"
"Divorced","2015","Urban Area","1534","0.0956512662285408","0.0913601434215875","0.0999423890354942","4"
"Divorced","2015","Rural Area","819","0.105625609873874","0.0993929640010959","0.111858255746652","4"
"Married","2015","Urban Area","10235","0.494620852601947","0.487326235767548","0.501915469436346","1"
"Married","2015","Rural Area","5497","0.511511168709643","0.501374785070556","0.52164755234873","1"
"Married, but separated","2015","Urban Area","467","0.0257427549658705","0.0234321699746968","0.0280533399570443","2"
"Married, but separated","2015","Rural Area","216","0.0226268145318455","0.0196112399223598","0.0256423891413311","2"
