"pgfamstd","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Single","1985","66 and older","61","0.0695057536607342","0.0536642019928897","0.0853473053285786","3"
"Widowed","1985","16-34 y.","7","","","","5"
"Widowed","1985","35-65 y.","234","0.0631588529793516","0.056618092002072","0.0696996139566312","5"
"Widowed","1985","66 and older","418","0.483195971604395","0.452067693969718","0.514324249239071","5"
"Divorced","1986","16-34 y.","81","0.024742690710014","0.0199443147135965","0.0295410667064316","4"
"Divorced","1986","35-65 y.","249","0.0611530159701415","0.0547739837493519","0.067532048190931","4"
"Divorced","1986","66 and older","23","","","","4"
"Married","1986","16-34 y.","1611","0.358864050718378","0.344047358902982","0.373680742533773","1"
"Married","1986","66 and older","524","0.427126483132396","0.396975918855522","0.45727704740927","1"
"Married","1986","35-65 y.","4554","0.794598108779681","0.783842761688491","0.805353455870871","1"
"Married, but separated","1986","16-34 y.","77","0.0157499549747269","0.0119040054007741","0.0195959045486796","2"
"Married, but separated","1986","35-65 y.","166","0.0272833716926514","0.0229463595547213","0.0316203838305814","2"
"Married, but separated","1986","66 and older","17","","","","2"
"Single","1986","35-65 y.","225","0.0574084069400896","0.051215451195512","0.0636013626846672","3"
"Single","1986","16-34 y.","2252","0.599940451660388","0.584807362224068","0.615073541096707","3"
"Single","1986","66 and older","65","0.0725327886609258","0.0567237925847407","0.0883417847371109","3"
"Widowed","1986","16-34 y.","5","","","","5"
"Widowed","1986","35-65 y.","226","0.0595570966174368","0.0532565036587469","0.0658576895761266","5"
"Widowed","1986","66 and older","405","0.459606389153264","0.429230013624772","0.489982764681756","5"
"Divorced","1987","16-34 y.","78","0.0225777083968642","0.0179901203800473","0.0271652964136812","4"
"Divorced","1987","35-65 y.","275","0.0679061038405318","0.0611513508926985","0.0746608567883652","4"
"Divorced","1987","66 and older","28","","","","4"
"Married","1987","16-34 y.","1605","0.371385398931784","0.356464052797227","0.38630674506634","1"
"Married","1987","35-65 y.","4450","0.7878125497947","0.776835224718989","0.79878987487041","1"
"Married","1987","66 and older","554","0.438697634016317","0.409006327217713","0.468388940814921","1"
"Married, but separated","1987","16-34 y.","78","0.0158970884771724","0.012034464659522","0.0197597122948228","2"
"Married, but separated","1987","35-65 y.","153","0.0248454037047473","0.020666282221465","0.0290245251880296","2"
"Married, but separated","1987","66 and older","5","","","","2"
"Single","1987","16-34 y.","2263","0.588917268871121","0.573722464208494","0.604112073533748","3"
"Single","1987","35-65 y.","217","0.0596784406529721","0.0533182203166848","0.0660386609892593","3"
"Single","1987","66 and older","64","0.0681784553172334","0.0530971760335198","0.0832597346009471","3"
"Widowed","1987","16-34 y.","4","","","","5"
"Widowed","1987","35-65 y.","234","0.0597575020070493","0.0533933376528914","0.0661216663612071","5"
"Widowed","1987","66 and older","422","0.459079580215476","0.42926292618297","0.488896234247982","5"
"Divorced","1988","16-34 y.","69","0.0240798919237773","0.0192331789784029","0.0289266048691517","4"
"Divorced","1988","35-65 y.","261","0.0664465654268987","0.059596296803811","0.0732968340499863","4"
"Divorced","1988","66 and older","26","","","","4"
"Married","1988","16-34 y.","1542","0.358455824253888","0.343294260281394","0.373617388226382","1"
"Married","1988","35-65 y.","4222","0.78076376085485","0.769384403447238","0.792143118262463","1"
"Married","1988","66 and older","545","0.446400826157103","0.416216989425195","0.476584662889011","1"
"Married, but separated","1988","16-34 y.","80","0.0190360842670651","0.0147156418195726","0.0233565267145575","2"
"Married, but separated","1988","35-65 y.","164","0.0328622278641275","0.0279588606742058","0.0377655950540492","2"
"Married, but separated","1988","66 and older","12","","","","2"
"Single","1988","16-34 y.","2149","0.59697767047633","0.58146964532264","0.612485695630021","3"
"Single","1988","35-65 y.","204","0.0603916474902865","0.0538398024718138","0.0669434925087592","3"
"Single","1988","66 and older","60","0.0676639758370233","0.0524136465742331","0.0829143050998134","3"
"Widowed","1988","16-34 y.","3","","","","5"
"Widowed","1988","35-65 y.","227","0.0595357983638372","0.0530275822152454","0.066044014512429","5"
"Widowed","1988","66 and older","399","0.447944687016081","0.417750890533193","0.478138483498969","5"
"Divorced","1989","16-34 y.","78","0.02781180620755","0.0225601329017757","0.0330634795133243","4"
"Divorced","1989","35-65 y.","274","0.0737320272759827","0.0663945579823779","0.0810694965695875","4"
"Divorced","1989","66 and older","25","","","","4"
"Married","1989","16-34 y.","1498","0.358029409882553","0.342717659133619","0.373341160631488","1"
"Married","1989","35-65 y.","4031","0.774200127659933","0.762460931743627","0.785939323576238","1"
"Married","1989","66 and older","528","0.442894053999696","0.412335423188578","0.473452684810813","1"
"Married, but separated","1989","16-34 y.","64","0.0160639724701663","0.0120486739364355","0.020079271003897","2"
"Married, but separated","1989","35-65 y.","152","0.0327921432843841","0.0277918590186202","0.0377924275501481","2"
"Married, but separated","1989","66 and older","9","","","","2"
"Single","1989","16-34 y.","2122","0.597018784776605","0.581353282201281","0.612684287351929","3"
"Single","1989","66 and older","56","0.0665930422141374","0.0512551735523143","0.0819309108759605","3"
"Single","1989","35-65 y.","199","0.0616255839917154","0.0548738007927491","0.0683773671906817","3"
"Widowed","1989","16-34 y.","4","","","","5"
"Widowed","1989","35-65 y.","217","0.0576501177879854","0.0511059251475506","0.0641943104284201","5"
"Widowed","1989","66 and older","397","0.454286492812555","0.423655411111961","0.484917574513148","5"
"Divorced","1990","16-34 y.","149","0.032326477150407","0.0275880560100618","0.0370648982907522","4"
"Divorced","1990","35-65 y.","466","0.0860768045109685","0.0795407828737192","0.0926128261482178","4"
"Divorced","1990","66 and older","39","0.0296973375490645","0.0210548978426252","0.0383397772555038","4"
"Married","1990","16-34 y.","2390","0.382348853505201","0.369329435802249","0.395368271208154","1"
"Married","1990","35-65 y.","5887","0.771986496200278","0.762209606869617","0.78176338553094","1"
"Married","1990","66 and older","751","0.437743329714822","0.412485207174184","0.46300145225546","1"
"Married, but separated","1990","16-34 y.","78","0.0142279051929022","0.011055060751711","0.0174007496340933","2"
"Married, but separated","1990","35-65 y.","155","0.0239412697327369","0.0203789973146592","0.0275035421508146","2"
"Married, but separated","1990","66 and older","13","","","","2"
"Single","1990","35-65 y.","288","0.0645446525816931","0.0588185749988561","0.0702707301645301","3"
"Single","1990","16-34 y.","2726","0.570273973936171","0.557011405340342","0.583536542531999","3"
"Single","1990","66 and older","74","0.0595832066050385","0.0475315676323424","0.0716348455777346","3"
"Widowed","1990","16-34 y.","9","","","","5"
"Widowed","1990","66 and older","605","0.463378496394574","0.437990644090494","0.488766348698655","5"
"Widowed","1990","35-65 y.","278","0.0534507769743231","0.0482091733474449","0.0586923806012014","5"
"Divorced","1991","16-34 y.","131","0.0335604876695979","0.0286489848428435","0.0384719904963523","4"
"Divorced","1991","35-65 y.","482","0.0925568569535088","0.0857589975251616","0.0993547163818561","4"
"Divorced","1991","66 and older","37","0.0282759918209171","0.0197908032954978","0.0367611803463363","4"
"Married","1991","16-34 y.","2260","0.376754650811376","0.363539510994739","0.389969790628014","1"
"Married","1991","35-65 y.","5806","0.767293828192254","0.757382246333434","0.777205410051073","1"
"Married","1991","66 and older","769","0.443556712121698","0.418125554027219","0.468987870216177","1"
"Married, but separated","1991","16-34 y.","77","0.0162928916354261","0.012840302358018","0.0197454809128341","2"
"Married, but separated","1991","35-65 y.","145","0.0228911519297109","0.0193831205809889","0.0263991832784329","2"
"Married, but separated","1991","66 and older","10","","","","2"
"Single","1991","16-34 y.","2690","0.572009078507709","0.558515359339387","0.585502797676031","3"
"Single","1991","35-65 y.","283","0.0661305199695183","0.0603014102671834","0.0719596296718531","3"
"Single","1991","66 and older","68","0.0583387317159844","0.0463407843778154","0.0703366790541533","3"
"Widowed","1991","16-34 y.","7","","","","5"
"Widowed","1991","35-65 y.","266","0.0511276429550084","0.0459612200628612","0.0562940658471557","5"
"Widowed","1991","66 and older","582","0.462130956887528","0.436609708675044","0.487652205100012","5"
"Divorced","1992","16-34 y.","118","0.0289264999287711","0.0242790911783034","0.0335739086792388","4"
"Divorced","1992","35-65 y.","478","0.0918195315804949","0.0849980097167552","0.0986410534442346","4"
"Divorced","1992","66 and older","41","0.0334238216073125","0.0242009419641398","0.0426467012504852","4"
"Married","1992","16-34 y.","2125","0.372779953540872","0.359371672130934","0.38618823495081","1"
"Married","1992","35-65 y.","5713","0.767941163777835","0.7579689704613","0.777913357094371","1"
"Married","1992","66 and older","784","0.45351765448405","0.427972671825939","0.479062637142162","1"
"Married, but separated","1992","16-34 y.","87","0.0188060174205227","0.0150393026830397","0.0225727321580056","2"
"Married, but separated","1992","35-65 y.","139","0.0222008254365567","0.0187203621711712","0.0256812887019422","2"
"Married, but separated","1992","66 and older","13","","","","2"
"Single","1992","35-65 y.","296","0.068663610553248","0.0626898987799489","0.0746373223265472","3"
"Single","1992","16-34 y.","2656","0.576363256712641","0.562661324018783","0.5900651894065","3"
"Single","1992","66 and older","64","0.0539363603048041","0.0423453460754866","0.0655273745341215","3"
"Widowed","1992","16-34 y.","10","","","","5"
"Widowed","1992","35-65 y.","258","0.0493748686518651","0.0442570454064728","0.0544926918972573","5"
"Widowed","1992","66 and older","557","0.450215127445376","0.42468653442785","0.475743720462901","5"
"Divorced","1993","16-34 y.","123","0.0319289423152356","0.0270113419857133","0.0368465426447579","4"
"Divorced","1993","35-65 y.","455","0.0892988802435692","0.0824856745487625","0.0961120859383759","4"
"Divorced","1993","66 and older","48","0.0386229627875619","0.0287991395577547","0.0484467860173692","4"
"Married","1993","16-34 y.","2042","0.371957529002648","0.358438405710898","0.385476652294399","1"
"Married","1993","35-65 y.","5554","0.764898383730764","0.754766965633427","0.7750298018281","1"
"Married","1993","66 and older","794","0.454608001465515","0.429222614224161","0.479993388706869","1"
"Married, but separated","1993","16-34 y.","102","0.0205667522897961","0.0165968700449279","0.0245366345346643","2"
"Married, but separated","1993","35-65 y.","163","0.0277537259580117","0.0238291806208857","0.0316782712951376","2"
"Married, but separated","1993","66 and older","14","","","","2"
"Single","1993","16-34 y.","2632","0.57204565254953","0.558206120334233","0.585885184764828","3"
"Single","1993","35-65 y.","302","0.067369215019407","0.0613806030243556","0.0733578270144583","3"
"Single","1993","66 and older","66","0.056792102300127","0.0449927393309127","0.0685914652693413","3"
"Widowed","1993","16-34 y.","11","","","","5"
"Widowed","1993","35-65 y.","256","0.0506797950482485","0.0454393961577263","0.0559201939387706","5"
"Widowed","1993","66 and older","556","0.440231604765941","0.41492373038522","0.465539479146662","5"
"Divorced","1994","16-34 y.","121","0.03256126033114","0.0275465295571292","0.0375759911051507","4"
"Divorced","1994","35-65 y.","460","0.0904882388329409","0.0835534463670864","0.0974230312987954","4"
"Divorced","1994","66 and older","44","0.0361753480284225","0.0267164059753714","0.0456342900814737","4"
"Married","1994","16-34 y.","1975","0.372403469069929","0.358744044386798","0.38606289375306","1"
"Married","1994","35-65 y.","5425","0.767526547111001","0.757315585884007","0.777737508337995","1"
"Married","1994","66 and older","792","0.438052654750643","0.412919433111849","0.463185876389436","1"
"Married, but separated","1994","16-34 y.","108","0.0238282595300999","0.0195190802991953","0.0281374387610046","2"
"Married, but separated","1994","35-65 y.","158","0.0256694935355087","0.0218465750180709","0.0294924120529466","2"
"Married, but separated","1994","66 and older","19","","","","2"
"Single","1994","16-34 y.","2601","0.569229103406664","0.555237998692692","0.583220208120636","3"
"Single","1994","35-65 y.","299","0.071139591437549","0.0649256930027673","0.0773534898723307","3"
"Single","1994","66 and older","66","0.0575225289323859","0.0457276994881182","0.0693173583766537","3"
"Widowed","1994","16-34 y.","7","","","","5"
"Widowed","1994","35-65 y.","232","0.0451761290830003","0.0401556012051062","0.0501966569608945","5"
"Widowed","1994","66 and older","576","0.449448371903868","0.424249788751798","0.474646955055938","5"
"Divorced","1995","16-34 y.","139","0.0351192284330561","0.0299906302644204","0.0402478266016919","4"
"Divorced","1995","35-65 y.","500","0.0940814283965416","0.087154748553582","0.101008108239501","4"
"Divorced","1995","66 and older","51","0.0419607016585687","0.0319240223808817","0.0519973809362557","4"
"Married","1995","16-34 y.","2028","0.372335286301431","0.358866752538925","0.385803820063937","1"
"Married","1995","66 and older","824","0.454055303109659","0.429131993321057","0.478978612898262","1"
"Married","1995","35-65 y.","5611","0.760649448181169","0.750525775950904","0.770773120411433","1"
"Married, but separated","1995","35-65 y.","147","0.0221138496794598","0.0186248180529109","0.0256028813060087","2"
"Married, but separated","1995","16-34 y.","91","0.019978795122603","0.0160803471097685","0.0238772431354375","2"
"Married, but separated","1995","66 and older","15","","","","2"
"Single","1995","16-34 y.","2683","0.570633198665462","0.556842631990948","0.584423765339976","3"
"Single","1995","66 and older","65","0.0541401508809487","0.0428122317569641","0.0654680700049334","3"
"Single","1995","35-65 y.","330","0.0758952708246912","0.0696118443747406","0.0821786972746418","3"
"Widowed","1995","16-34 y.","8","","","","5"
"Widowed","1995","35-65 y.","236","0.0472600029181386","0.0422254297966109","0.0522945760396663","5"
"Widowed","1995","66 and older","578","0.438082617707504","0.413246068331804","0.462919167083205","5"
"Divorced","1996","16-34 y.","134","0.0367226638424746","0.0313902685599712","0.0420550591249779","4"
"Divorced","1996","35-65 y.","487","0.094428617927378","0.0874489514151021","0.101408284439654","4"
"Divorced","1996","66 and older","59","0.0431029993584057","0.0330088613779031","0.0531971373389083","4"
"Married","1996","16-34 y.","1863","0.358839334894111","0.345240145172108","0.372438524616115","1"
"Married","1996","66 and older","868","0.473610924036809","0.448794043860933","0.498427804212685","1"
"Married","1996","35-65 y.","5475","0.744702060768862","0.734294799831627","0.755109321706097","1"
"Married, but separated","1996","16-34 y.","103","0.0212741677656512","0.0171831026579511","0.0253652328733513","2"
"Married, but separated","1996","35-65 y.","169","0.0269661069253849","0.0230998151880895","0.0308323986626804","2"
"Married, but separated","1996","66 and older","18","","","","2"
"Single","1996","16-34 y.","2673","0.580902451879885","0.566913385190676","0.594891518569093","3"
"Single","1996","35-65 y.","363","0.0833864716012861","0.0767877099573992","0.0899852332451731","3"
"Single","1996","66 and older","61","0.0523736084708767","0.0413008018161662","0.0634464151255873","3"
"Widowed","1996","16-34 y.","6","","","","5"
"Widowed","1996","35-65 y.","249","0.050516742777089","0.0452893776432373","0.0557441079109407","5"
"Widowed","1996","66 and older","549","0.413371435138376","0.388895757260863","0.437847113015888","5"
"Divorced","1997","16-34 y.","135","0.0359492559852987","0.0305880966349455","0.0413104153356518","4"
"Divorced","1997","35-65 y.","502","0.0984717196525473","0.0913024805320364","0.105640958773058","4"
"Divorced","1997","66 and older","61","0.0465106181313994","0.036149810413843","0.0568714258489558","4"
"Married","1997","16-34 y.","1746","0.34687519871332","0.333168005702342","0.360582391724299","1"
"Married","1997","35-65 y.","5321","0.73592522385554","0.725317848629344","0.746532599081737","1"
"Married","1997","66 and older","913","0.477169527125613","0.452595494851785","0.501743559399442","1"
"Married, but separated","1997","16-34 y.","89","0.0231193902364348","0.0187915347748178","0.0274472456980518","2"
"Married, but separated","1997","35-65 y.","194","0.0313585480053677","0.0271649468308781","0.0355521491798572","2"
"Married, but separated","1997","66 and older","15","","","","2"
"Single","1997","16-34 y.","2656","0.592386962663653","0.578235849798862","0.606538075528444","3"
"Single","1997","35-65 y.","367","0.0840615265795733","0.0773848642174788","0.0907381889416679","3"
"Single","1997","66 and older","61","0.0563845621762795","0.0450360937780592","0.0677330305744999","3"
"Widowed","1997","16-34 y.","6","","","","5"
"Widowed","1997","35-65 y.","251","0.0501829819069715","0.0449297589600308","0.0554362048539122","5"
"Widowed","1997","66 and older","537","0.411174010033657","0.386965618162999","0.435382401904314","5"
"Divorced","1998","16-34 y.","138","0.0326414352091612","0.0276548234526262","0.0376280469656962","4"
"Divorced","1998","35-65 y.","607","0.102155666565585","0.0953120713489181","0.108999261782251","4"
"Divorced","1998","66 and older","70","0.0417709174257708","0.0326861598165082","0.0508556750350333","4"
"Married","1998","16-34 y.","1762","0.337215186893542","0.323948360992349","0.350482012794734","1"
"Married","1998","35-65 y.","5962","0.736630726546434","0.72667758848891","0.746583864603958","1"
"Married","1998","66 and older","1080","0.487999447701768","0.465301502481524","0.510697392922011","1"
"Married, but separated","1998","16-34 y.","83","0.0191405989173199","0.0152954927646791","0.0229857050699607","2"
"Married, but separated","1998","66 and older","21","","","","2"
"Married, but separated","1998","35-65 y.","221","0.0338010903514167","0.0297174152083943","0.0378847654944391","2"
"Single","1998","16-34 y.","2888","0.608794283602965","0.595099187882236","0.622489379323694","3"
"Single","1998","35-65 y.","461","0.0839946332463039","0.0777266570534835","0.0902626094391243","3"
"Single","1998","66 and older","74","0.0555330819816266","0.0451336186696439","0.0659325452936093","3"
"Widowed","1998","16-34 y.","7","","","","5"
"Widowed","1998","35-65 y.","272","0.0434178832902609","0.0388126884192301","0.0480230781612916","5"
"Widowed","1998","66 and older","618","0.402999609734759","0.380726478094406","0.425272741375111","5"
"Divorced","1999","16-34 y.","126","0.034096214528688","0.0288575855039064","0.0393348435534696","4"
"Divorced","1999","35-65 y.","642","0.109104176783645","0.101946892529431","0.116261461037858","4"
"Divorced","1999","66 and older","74","0.0467833881260966","0.0370467136334983","0.056520062618695","4"
"Married","1999","35-65 y.","5693","0.724786002484923","0.714532924187351","0.735039080782494","1"
"Married","1999","16-34 y.","1586","0.316693394327433","0.303264973581283","0.330121815073582","1"
"Married","1999","66 and older","1060","0.490834213804446","0.467784473576228","0.513883954032664","1"
"Married, but separated","1999","16-34 y.","81","0.0192151027890509","0.01525226889211","0.0231779366859917","2"
"Married, but separated","1999","66 and older","22","","","","2"
"Married, but separated","1999","35-65 y.","208","0.0307346483484604","0.0267723280043442","0.0346969686925765","2"
"Single","1999","16-34 y.","2810","0.627522728094265","0.61356668675375","0.64147876943478","3"
"Single","1999","35-65 y.","483","0.0927506170871216","0.0860912054527948","0.0994100287214483","3"
"Single","1999","66 and older","72","0.0567109320580758","0.0460468173492681","0.0673750467668834","3"
"Widowed","1999","16-34 y.","7","","","","5"
"Widowed","1999","35-65 y.","263","0.0426245552958508","0.0379870417780538","0.0472620688136477","5"
"Widowed","1999","66 and older","579","0.39143366640999","0.368930063068003","0.413937269751978","5"
"Divorced","2000","16-34 y.","191","0.0309097841197201","0.0268930552831651","0.0349265129562752","4"
"Divorced","2000","66 and older","133","0.0438143121875636","0.0371290930312696","0.0504995313438575","4"
"Divorced","2000","35-65 y.","1145","0.101496145979591","0.0963908955755021","0.106601396383681","4"
"Married","2000","35-65 y.","10477","0.73122999646469","0.723735375073151","0.738724617856229","1"
"Married","2000","16-34 y.","2347","0.312446427958967","0.301689618467956","0.323203237449978","1"
"Married","2000","66 and older","2176","0.52830503963365","0.512000463042389","0.54460961622491","1"
"Married, but separated","2000","16-34 y.","92","0.012068800713623","0.00953461853639931","0.0146029828908466","2"
"Married, but separated","2000","35-65 y.","364","0.0292785963799983","0.0264285316111618","0.0321286611488348","2"
"Married, but separated","2000","66 and older","41","0.011273505943379","0.00782521330286513","0.0147217985838928","2"
"Single","2000","16-34 y.","4497","0.644117690351205","0.633006048432348","0.655229332270062","3"
"Single","2000","35-65 y.","990","0.0984355470737475","0.0933993041511248","0.10347178999637","3"
"Single","2000","66 and older","127","0.0467362992451013","0.0398423160814053","0.0536302824087972","3"
"Widowed","2000","16-34 y.","5","","","","5"
"Widowed","2000","35-65 y.","465","0.0395597141019727","0.0362644209427568","0.0428550072611887","5"
"Widowed","2000","66 and older","1124","0.369870842990307","0.354102851871415","0.385638834109198","5"
"Divorced","2001","16-34 y.","155","0.0272404163971329","0.0232188582566398","0.031261974537626","4"
"Divorced","2001","35-65 y.","1102","0.109942302692573","0.104409110300938","0.115475495084207","4"
"Divorced","2001","66 and older","126","0.0435576327385006","0.0367019443382227","0.0504133211387784","4"
"Married","2001","16-34 y.","1940","0.289474209733526","0.278270042476791","0.300678376990261","1"
"Married","2001","35-65 y.","9477","0.71473318436054","0.706746217603642","0.722720151117437","1"
"Married","2001","66 and older","2096","0.537255987253334","0.520508464786844","0.554003509719824","1"
"Married, but separated","2001","16-34 y.","84","0.0150104851752287","0.0120064992713057","0.0180144710791517","2"
"Married, but separated","2001","35-65 y.","336","0.0291037987284613","0.0261304522711308","0.0320771451857918","2"
"Married, but separated","2001","66 and older","41","0.012123731971017","0.00844787188634497","0.015799592055689","2"
"Single","2001","35-65 y.","955","0.108567971652616","0.103065228330031","0.114070714975201","3"
"Single","2001","16-34 y.","4109","0.667724193402274","0.656087418373829","0.67936096843072","3"
"Single","2001","66 and older","117","0.046104493175084","0.039060619470281","0.0531483668798871","3"
"Widowed","2001","16-34 y.","6","","","","5"
"Widowed","2001","35-65 y.","408","0.0376527425658102","0.034285700901229","0.0410197842303913","5"
"Widowed","2001","66 and older","1025","0.360958154862064","0.344826362981597","0.377089946742532","5"
"Divorced","2002","16-34 y.","138","0.0255675621323588","0.0216322935362092","0.0295028307285085","4"
"Divorced","2002","35-65 y.","1178","0.114615800429918","0.10919904663213","0.120032554227707","4"
"Divorced","2002","66 and older","140","0.0459294903195842","0.039085725078821","0.0527732555603474","4"
"Married","2002","16-34 y.","1674","0.267662587008453","0.256624258881037","0.278700915135868","1"
"Married","2002","66 and older","2282","0.55220062378071","0.535943292962611","0.568457954598809","1"
"Married","2002","35-65 y.","10352","0.710351066601626","0.702638064455343","0.71806406874791","1"
"Married, but separated","2002","16-34 y.","85","0.0159120502854757","0.0127921990806512","0.0190319014903002","2"
"Married, but separated","2002","35-65 y.","333","0.027322314495856","0.0245503083659201","0.0300943206257918","2"
"Married, but separated","2002","66 and older","48","0.013819454325102","0.0100028009674369","0.0176361076827671","2"
"Single","2002","16-34 y.","4279","0.690610496558173","0.67908596640254","0.702135026713805","3"
"Single","2002","35-65 y.","1023","0.110654340108605","0.105320125453096","0.115988554764115","3"
"Single","2002","66 and older","120","0.0456874798891488","0.0388609033008725","0.0525140564774252","3"
"Widowed","2002","16-34 y.","4","","","","5"
"Widowed","2002","35-65 y.","400","0.0370564783639942","0.0338444198599419","0.0402685368680466","5"
"Widowed","2002","66 and older","1004","0.342362951685455","0.32684995958496","0.35787594378595","5"
"Divorced","2003","16-34 y.","123","0.0234063839424631","0.0195403268934075","0.0272724409915186","4"
"Divorced","2003","35-65 y.","1162","0.118503528818008","0.112873544712894","0.124133512923123","4"
"Divorced","2003","66 and older","148","0.0476348426439511","0.0407316542247964","0.0545380310631058","4"
"Married","2003","16-34 y.","1473","0.252039035583852","0.240936618802738","0.263141452364965","1"
"Married","2003","35-65 y.","9712","0.696801015148779","0.68879438998829","0.704807640309268","1"
"Married","2003","66 and older","2335","0.559273937379427","0.543182965780686","0.575364908978169","1"
"Married, but separated","2003","16-34 y.","78","0.013203752053921","0.0102849369797943","0.0161225671280476","2"
"Married, but separated","2003","35-65 y.","354","0.0307610926894938","0.0277533025101024","0.0337688828688852","2"
"Married, but separated","2003","66 and older","50","0.0128317818178972","0.00918403509002263","0.0164795285457717","2"
"Single","2003","16-34 y.","4198","0.711242282404373","0.699653982152123","0.722830582656623","3"
"Single","2003","66 and older","114","0.0428118524240345","0.0362509092406828","0.0493727956073861","3"
"Single","2003","35-65 y.","1055","0.118520138537644","0.112889812936618","0.124150464138671","3"
"Widowed","2003","35-65 y.","377","0.0354142248060742","0.0321947091998696","0.0386337404122789","5"
"Widowed","2003","16-34 y.","3","","","","5"
"Widowed","2003","66 and older","1010","0.33744758573469","0.322122641814799","0.352772529654581","5"
"Divorced","2004","16-34 y.","99","0.0197974229777678","0.0161609000959046","0.023433945859631","4"
"Divorced","2004","35-65 y.","1174","0.122750466509294","0.116933972521191","0.128566960497398","4"
"Divorced","2004","66 and older","170","0.0523894056715022","0.0452779826324547","0.0595008287105497","4"
"Married","2004","16-34 y.","1311","0.222458629064037","0.211601613639113","0.233315644488961","1"
"Married","2004","35-65 y.","9282","0.687644205741972","0.679429447020353","0.695858964463591","1"
"Married","2004","66 and older","2438","0.564266980187915","0.548440935807167","0.580093024568664","1"
"Married, but separated","2004","35-65 y.","353","0.0329147704120135","0.0297523767922018","0.0360771640318251","2"
"Married, but separated","2004","16-34 y.","63","0.0153419709715508","0.0121334316561721","0.0185505102869294","2"
"Married, but separated","2004","66 and older","51","0.0138339460157196","0.0101060148249703","0.017561877206469","2"
"Single","2004","16-34 y.","4159","0.74214785131284","0.73072815201724","0.753567550608439","3"
"Single","2004","66 and older","121","0.0463888142341533","0.039675884074439","0.0531017443938677","3"
"Single","2004","35-65 y.","1066","0.122056200885015","0.116253884356236","0.127858517413795","3"
"Widowed","2004","16-34 y.","5","","","","5"
"Widowed","2004","35-65 y.","352","0.0346343564517052","0.0313932923887292","0.0378754205146812","5"
"Widowed","2004","66 and older","991","0.323120853890709","0.308194357309346","0.338047350472073","5"
"Divorced","2005","16-34 y.","92","0.0203700236121859","0.0165808462870836","0.0241592009372882","4"
"Divorced","2005","35-65 y.","1159","0.129157784962875","0.123058121012087","0.135257448913663","4"
"Divorced","2005","66 and older","170","0.0532027921222274","0.0460460921473972","0.0603594920970576","4"
"Married","2005","16-34 y.","1173","0.218406813355341","0.20732421474575","0.229489411964931","1"
"Married","2005","35-65 y.","8705","0.677863088091007","0.669364102040325","0.686362074141689","1"
"Married","2005","66 and older","2437","0.563624040739426","0.547810020981548","0.579438060497303","1"
"Married, but separated","2005","35-65 y.","352","0.0335274395529635","0.0302534986467676","0.0368013804591594","2"
"Married, but separated","2005","16-34 y.","62","0.0140369145343235","0.0108812975415929","0.0171925315270542","2"
"Married, but separated","2005","66 and older","54","0.0156264587075725","0.0116716328544946","0.0195812845606503","2"
"Single","2005","16-34 y.","4006","0.745001727956162","0.733310358375912","0.756693097536412","3"
