"pgfamstd","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Single","1985","(Married) couple without C. ","direct migration background","12","","","","3"
"Single","1985","(Married) couple without C. ","indirect migration background","2","","","","3"
"Single","1985","Single parent ","direct migration background","44","0.425836156286777","0.325876822932545","0.525795489641008","3"
"Single","1985","Single parent ","indirect migration background","10","","","","3"
"Single","1985","Couple + C. LE 16 ","no migration background","25","","","","3"
"Single","1985","Couple + C. LE 16 ","indirect migration background","1","","","","3"
"Single","1985","Couple + C. GT 16 ","no migration background","635","0.439326888776963","0.413912595608831","0.464741181945095","3"
"Single","1985","Single parent ","no migration background","187","0.507398897775357","0.456865719040425","0.557932076510289","3"
"Widowed","1985","(Married) couple without C. ","indirect migration background","","","","","5"
"Widowed","1985","1-pers.-HH","no migration background","373","0.493021109141669","0.460063958721099","0.525978259562238","5"
"Widowed","1985","1-pers.-HH","direct migration background","27","","","","5"
"Widowed","1985","1-pers.-HH","indirect migration background","1","","","","5"
"Widowed","1985","(Married) couple without C. ","no migration background","25","","","","5"
"Widowed","1985","(Married) couple without C. ","direct migration background","2","","","","5"
"Widowed","1985","Single parent ","no migration background","88","0.239197753951318","0.196078760905188","0.282316746997448","5"
"Widowed","1985","Single parent ","direct migration background","17","","","","5"
"Widowed","1985","Single parent ","indirect migration background","","","","","5"
"Widowed","1985","Couple + C. LE 16 ","no migration background","5","","","","5"
"Widowed","1985","Couple + C. LE 16 ","direct migration background","2","","","","5"
"Widowed","1985","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Widowed","1985","Couple + C. GT 16 ","no migration background","2","","","","5"
"Widowed","1985","Couple + C. GT 16 ","direct migration background","","","","","5"
"Widowed","1985","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Widowed","1985","Couple + C. LE and GT 16","no migration background","5","","","","5"
"Widowed","1985","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Widowed","1985","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Divorced","1986","1-pers.-HH","direct migration background","25","","","","4"
"Divorced","1986","1-pers.-HH","no migration background","118","0.124905331393611","0.10328173484889","0.146528927938331","4"
"Divorced","1986","1-pers.-HH","indirect migration background","2","","","","4"
"Divorced","1986","(Married) couple without C. ","no migration background","40","0.0151467199133332","0.00974511998949937","0.020548319837167","4"
"Divorced","1986","Single parent ","no migration background","69","0.172210003393572","0.134298162089594","0.21012184469755","4"
"Divorced","1986","Single parent ","direct migration background","17","","","","4"
"Divorced","1986","Single parent ","indirect migration background","1","","","","4"
"Divorced","1986","Couple + C. LE 16 ","no migration background","20","","","","4"
"Divorced","1986","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Divorced","1986","Couple + C. GT 16 ","direct migration background","3","","","","4"
"Divorced","1986","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Divorced","1986","Couple + C. LE and GT 16","no migration background","3","","","","4"
"Divorced","1986","(Married) couple without C. ","direct migration background","4","","","","4"
"Divorced","1986","(Married) couple without C. ","indirect migration background","","","","","4"
"Divorced","1986","Couple + C. LE 16 ","direct migration background","3","","","","4"
"Divorced","1986","Couple + C. GT 16 ","no migration background","10","","","","4"
"Divorced","1986","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Divorced","1986","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Married","1986","1-pers.-HH","no migration background","2","","","","1"
"Married","1986","1-pers.-HH","direct migration background","1","","","","1"
"Married","1986","1-pers.-HH","indirect migration background","","","","","1"
"Married","1986","(Married) couple without C. ","no migration background","1678","0.882397960274541","0.868151170226882","0.896644750322199","1"
"Married","1986","(Married) couple without C. ","direct migration background","353","0.918096391281832","0.890633619814206","0.945559162749458","1"
"Married","1986","(Married) couple without C. ","indirect migration background","8","","","","1"
"Married","1986","Single parent ","no migration background","10","","","","1"
"Married","1986","Single parent ","direct migration background","4","","","","1"
"Married","1986","Single parent ","indirect migration background","","","","","1"
"Married","1986","Couple + C. LE 16 ","no migration background","1445","0.971298274287184","0.962854367350493","0.979742181223875","1"
"Married","1986","Couple + C. LE 16 ","direct migration background","848","0.967533041182953","0.955769351594283","0.979296730771623","1"
"Married","1986","Couple + C. LE 16 ","indirect migration background","14","","","","1"
"Married","1986","Couple + C. GT 16 ","no migration background","890","0.5760407068002","0.551486157801392","0.600595255799008","1"
"Married","1986","Couple + C. GT 16 ","direct migration background","306","0.709981562417847","0.669513644053059","0.750449480782635","1"
"Married","1986","Couple + C. GT 16 ","indirect migration background","2","","","","1"
"Married","1986","Couple + C. LE and GT 16","no migration background","457","0.591603694255884","0.556726449977197","0.62648093853457","1"
"Married","1986","Couple + C. LE and GT 16","direct migration background","362","0.618841281400885","0.578794609044561","0.658887953757208","1"
"Married","1986","Couple + C. LE and GT 16","indirect migration background","4","","","","1"
"Married, but separated","1986","1-pers.-HH","no migration background","43","0.0398010627945466","0.027014969537916","0.0525871560511772","2"
"Married, but separated","1986","(Married) couple without C. ","direct migration background","7","","","","2"
"Married, but separated","1986","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Married, but separated","1986","Couple + C. GT 16 ","no migration background","6","","","","2"
"Married, but separated","1986","(Married) couple without C. ","no migration background","22","","","","2"
"Married, but separated","1986","Single parent ","direct migration background","17","","","","2"
"Married, but separated","1986","Single parent ","indirect migration background","2","","","","2"
"Married, but separated","1986","Couple + C. LE and GT 16","direct migration background","13","","","","2"
"Married, but separated","1986","1-pers.-HH","direct migration background","66","0.232065679960334","0.170049417742628","0.29408194217804","2"
"Married, but separated","1986","1-pers.-HH","indirect migration background","","","","","2"
"Married, but separated","1986","(Married) couple without C. ","indirect migration background","","","","","2"
"Married, but separated","1986","Couple + C. LE 16 ","no migration background","7","","","","2"
"Married, but separated","1986","Couple + C. LE 16 ","direct migration background","9","","","","2"
"Married, but separated","1986","Couple + C. LE and GT 16","no migration background","1","","","","2"
"Married, but separated","1986","Single parent ","no migration background","36","0.0834153325543705","0.055650513977163","0.111180151131578","2"
"Married, but separated","1986","Couple + C. GT 16 ","direct migration background","11","","","","2"
"Married, but separated","1986","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Married, but separated","1986","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Single","1986","Couple + C. GT 16 ","direct migration background","163","0.268233913027559","0.22872295979002","0.307744866265098","3"
"Single","1986","1-pers.-HH","direct migration background","60","0.287353702817527","0.220874851725093","0.353832553909961","3"
"Single","1986","Couple + C. LE and GT 16","indirect migration background","45","0.877386428030532","0.785550043184179","0.969222812876884","3"
"Single","1986","1-pers.-HH","no migration background","378","0.363661844974959","0.332198653463826","0.395125036486092","3"
"Single","1986","1-pers.-HH","indirect migration background","8","","","","3"
"Single","1986","Couple + C. GT 16 ","indirect migration background","46","0.863000192711319","0.765727061317363","0.960273324105275","3"
"Single","1986","Couple + C. LE and GT 16","direct migration background","190","0.353851252772992","0.314423639402263","0.393278866143722","3"
"Single","1986","(Married) couple without C. ","no migration background","201","0.0784224518722357","0.0665329543601125","0.090311949384359","3"
