"pgfamstd","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Married","1984","66 and older","in school","","","","","1"
"Married","1984","66 and older","inadequately","3","","","","1"
"Married","1984","66 and older","general elemantary","146","0.312184925438657","0.266774046856896","0.357595804020418","1"
"Married","1984","66 and older","middle vocational","283","0.509523794547448","0.46503317756771","0.554014411527186","1"
"Married","1984","66 and older","vocational + Abi","10","","","","1"
"Married","1984","66 and older","higher vocational","50","0.637137906079127","0.525295515898895","0.748980296259358","1"
"Married","1984","66 and older","higher education","32","0.534973410799113","0.399407214557718","0.670539607040509","1"
"Married, but separated","1984","66 and older","higher vocational","2","","","","2"
"Married, but separated","1984","66 and older","higher education","2","","","","2"
"Married, but separated","1984","16-34 y.","in school","","","","","2"
"Married, but separated","1984","35-65 y.","higher education","12","","","","2"
"Married, but separated","1984","66 and older","general elemantary","1","","","","2"
"Married, but separated","1984","16-34 y.","inadequately","9","","","","2"
"Married, but separated","1984","16-34 y.","general elemantary","14","","","","2"
"Married, but separated","1984","16-34 y.","middle vocational","30","0.0137703037201021","0.00858192102710282","0.0189586864131014","2"
"Married, but separated","1984","16-34 y.","vocational + Abi","3","","","","2"
"Married, but separated","1984","35-65 y.","in school","","","","","2"
"Married, but separated","1984","35-65 y.","inadequately","30","0.0651471522753784","0.0450456666787025","0.0852486378720544","2"
"Married, but separated","1984","35-65 y.","general elemantary","29","","","","2"
"Married, but separated","1984","35-65 y.","middle vocational","54","0.0157321463232742","0.0109880865906331","0.0204762060559153","2"
"Married, but separated","1984","35-65 y.","higher vocational","5","","","","2"
"Married, but separated","1984","66 and older","in school","","","","","2"
"Married, but separated","1984","66 and older","inadequately","","","","","2"
"Married, but separated","1984","66 and older","middle vocational","1","","","","2"
"Married, but separated","1984","66 and older","vocational + Abi","","","","","2"
"Married, but separated","1984","16-34 y.","higher vocational","4","","","","2"
"Married, but separated","1984","35-65 y.","vocational + Abi","2","","","","2"
"Married, but separated","1984","16-34 y.","higher education","6","","","","2"
"Single","1984","66 and older","higher vocational","5","","","","3"
"Single","1984","35-65 y.","higher education","32","0.0821154087757966","0.0567777671440715","0.107453050407522","3"
"Single","1984","35-65 y.","in school","","","","","3"
"Single","1984","35-65 y.","inadequately","14","","","","3"
"Single","1984","35-65 y.","general elemantary","57","0.0485835041000681","0.037592960340123","0.0595740478600132","3"
"Single","1984","35-65 y.","middle vocational","105","0.0471832319091083","0.0390997578696194","0.0552667059485972","3"
"Single","1984","35-65 y.","vocational + Abi","7","","","","3"
"Single","1984","35-65 y.","higher vocational","17","","","","3"
"Single","1984","66 and older","in school","","","","","3"
"Single","1984","66 and older","inadequately","2","","","","3"
"Single","1984","66 and older","general elemantary","26","","","","3"
"Single","1984","66 and older","middle vocational","21","","","","3"
"Single","1984","66 and older","vocational + Abi","4","","","","3"
"Single","1984","66 and older","higher education","6","","","","3"
"Single","1984","16-34 y.","in school","166","1","1","1","3"
"Single","1984","16-34 y.","inadequately","84","0.492545237659537","0.430819036605544","0.554271438713531","3"
"Single","1984","16-34 y.","general elemantary","653","0.682808524677741","0.655319163194946","0.710297886160536","3"
"Single","1984","16-34 y.","middle vocational","910","0.498899812165122","0.476639043439345","0.521160580890899","3"
"Single","1984","16-34 y.","vocational + Abi","69","0.577261844196898","0.49543303642306","0.659090651970737","3"
"Single","1984","16-34 y.","higher vocational","64","0.396436764214114","0.325949512592996","0.466924015835233","3"
"Single","1984","16-34 y.","higher education","96","0.432425039720782","0.368119602081855","0.496730477359709","3"
"Widowed","1984","66 and older","higher vocational","13","","","","5"
"Widowed","1984","66 and older","higher education","11","","","","5"
"Widowed","1984","35-65 y.","higher education","6","","","","5"
"Widowed","1984","66 and older","in school","","","","","5"
"Widowed","1984","66 and older","inadequately","6","","","","5"
"Widowed","1984","66 and older","general elemantary","220","0.598458741781495","0.550419041333178","0.646498442229812","5"
"Widowed","1984","66 and older","middle vocational","163","0.400327006545224","0.356721442192492","0.443932570897956","5"
"Widowed","1984","66 and older","vocational + Abi","4","","","","5"
"Widowed","1984","16-34 y.","in school","","","","","5"
"Widowed","1984","16-34 y.","inadequately","1","","","","5"
"Widowed","1984","16-34 y.","general elemantary","5","","","","5"
"Widowed","1984","16-34 y.","middle vocational","4","","","","5"
"Widowed","1984","16-34 y.","vocational + Abi","","","","","5"
"Widowed","1984","16-34 y.","higher vocational","","","","","5"
"Widowed","1984","16-34 y.","higher education","","","","","5"
"Widowed","1984","35-65 y.","in school","","","","","5"
"Widowed","1984","35-65 y.","inadequately","17","","","","5"
"Widowed","1984","35-65 y.","general elemantary","100","0.0948545298684341","0.0798757081154862","0.109833351621382","5"
"Widowed","1984","35-65 y.","middle vocational","102","0.0520394096665538","0.0435717999718939","0.0605070193612137","5"
"Widowed","1984","35-65 y.","vocational + Abi","3","","","","5"
"Widowed","1984","35-65 y.","higher vocational","20","","","","5"
"Divorced","1985","16-34 y.","inadequately","5","","","","4"
"Divorced","1985","16-34 y.","middle vocational","39","0.0261003826585238","0.0187736174179796","0.033427147899068","4"
"Divorced","1985","16-34 y.","vocational + Abi","3","","","","4"
"Divorced","1985","16-34 y.","higher vocational","7","","","","4"
"Divorced","1985","35-65 y.","in school","","","","","4"
"Divorced","1985","35-65 y.","inadequately","13","","","","4"
"Divorced","1985","35-65 y.","general elemantary","52","0.0474625245797035","0.0362116187830972","0.0587134303763098","4"
"Divorced","1985","35-65 y.","middle vocational","129","0.0645817981209429","0.0549930614890204","0.0741705347528654","4"
"Divorced","1985","35-65 y.","vocational + Abi","7","","","","4"
"Divorced","1985","66 and older","in school","","","","","4"
"Divorced","1985","66 and older","inadequately","1","","","","4"
"Divorced","1985","66 and older","higher vocational","1","","","","4"
"Divorced","1985","66 and older","higher education","1","","","","4"
"Divorced","1985","16-34 y.","in school","","","","","4"
"Divorced","1985","35-65 y.","higher education","19","","","","4"
"Divorced","1985","66 and older","middle vocational","16","","","","4"
"Divorced","1985","16-34 y.","general elemantary","18","","","","4"
"Divorced","1985","66 and older","general elemantary","7","","","","4"
"Divorced","1985","16-34 y.","higher education","5","","","","4"
"Divorced","1985","35-65 y.","higher vocational","14","","","","4"
"Divorced","1985","66 and older","vocational + Abi","","","","","4"
"Married","1985","16-34 y.","in school","","","","","1"
"Married","1985","16-34 y.","inadequately","130","0.367515570731215","0.30451860630287","0.430512535159561","1"
"Married","1985","16-34 y.","general elemantary","345","0.231132782094576","0.20590932119788","0.256356242991272","1"
"Married","1985","16-34 y.","middle vocational","816","0.419818818379512","0.397138742064611","0.442498894694413","1"
"Married","1985","16-34 y.","vocational + Abi","63","0.384557351109636","0.305098698184193","0.464016004035078","1"
"Married","1985","16-34 y.","higher vocational","103","0.500671298471538","0.428229010378805","0.573113586564272","1"
"Married","1985","16-34 y.","higher education","110","0.459064509955731","0.394381493477619","0.523747526433842","1"
"Married","1985","35-65 y.","in school","","","","","1"
"Married","1985","35-65 y.","inadequately","466","0.765671345803068","0.729609823789157","0.801732867816979","1"
"Married","1985","35-65 y.","general elemantary","1144","0.784874771550908","0.763131900389501","0.806617642712314","1"
"Married","1985","35-65 y.","middle vocational","2123","0.804620420944307","0.789152265569814","0.8200885763188","1"
"Married","1985","35-65 y.","vocational + Abi","87","0.738411391346175","0.653943815730136","0.822878966962215","1"
"Married","1985","35-65 y.","higher vocational","263","0.804158087013157","0.759981640155213","0.8483345338711","1"
"Married","1985","35-65 y.","higher education","364","0.793049229232486","0.754935027871626","0.831163430593347","1"
"Married","1985","66 and older","in school","","","","","1"
"Married","1985","66 and older","inadequately","2","","","","1"
"Married","1985","66 and older","general elemantary","139","0.307525253485518","0.261608138747486","0.353442368223549","1"
"Married","1985","66 and older","middle vocational","255","0.477258025656383","0.431312791242422","0.523203260070343","1"
"Married","1985","66 and older","vocational + Abi","10","","","","1"
"Married","1985","66 and older","higher vocational","45","0.574078890343918","0.45824131928795","0.689916461399887","1"
"Married","1985","66 and older","higher education","29","","","","1"
"Married, but separated","1985","66 and older","higher education","2","","","","2"
"Married, but separated","1985","66 and older","higher vocational","1","","","","2"
"Married, but separated","1985","16-34 y.","in school","","","","","2"
"Married, but separated","1985","35-65 y.","higher education","13","","","","2"
"Married, but separated","1985","66 and older","general elemantary","1","","","","2"
"Married, but separated","1985","16-34 y.","inadequately","6","","","","2"
"Married, but separated","1985","16-34 y.","general elemantary","13","","","","2"
"Married, but separated","1985","16-34 y.","middle vocational","31","0.0164599827987569","0.0106128568689482","0.0223071087285656","2"
"Married, but separated","1985","16-34 y.","vocational + Abi","3","","","","2"
"Married, but separated","1985","35-65 y.","in school","","","","","2"
"Married, but separated","1985","35-65 y.","inadequately","28","","","","2"
"Married, but separated","1985","35-65 y.","general elemantary","30","0.0187467188669948","0.0115700281647718","0.0259234095692178","2"
"Married, but separated","1985","35-65 y.","middle vocational","63","0.0216009329338773","0.0159294362177717","0.0272724296499828","2"
"Married, but separated","1985","35-65 y.","vocational + Abi","1","","","","2"
"Married, but separated","1985","35-65 y.","higher vocational","2","","","","2"
"Married, but separated","1985","66 and older","in school","","","","","2"
"Married, but separated","1985","66 and older","inadequately","","","","","2"
"Married, but separated","1985","66 and older","middle vocational","1","","","","2"
"Married, but separated","1985","66 and older","vocational + Abi","","","","","2"
"Married, but separated","1985","16-34 y.","higher vocational","3","","","","2"
"Married, but separated","1985","16-34 y.","higher education","9","","","","2"
"Single","1985","35-65 y.","in school","","","","","3"
"Single","1985","66 and older","vocational + Abi","2","","","","3"
"Single","1985","35-65 y.","inadequately","10","","","","3"
"Single","1985","35-65 y.","middle vocational","112","0.0565631266958943","0.047551015470842","0.0655752379209467","3"
"Single","1985","35-65 y.","higher vocational","14","","","","3"
"Single","1985","66 and older","general elemantary","23","","","","3"
"Single","1985","66 and older","higher education","6","","","","3"
"Single","1985","35-65 y.","general elemantary","48","0.0468919783702281","0.0357055518130693","0.058078404927387","3"
"Single","1985","35-65 y.","vocational + Abi","7","","","","3"
"Single","1985","35-65 y.","higher education","32","0.09529456260552","0.0676702877169655","0.122918837494074","3"
"Single","1985","66 and older","in school","","","","","3"
"Single","1985","66 and older","inadequately","3","","","","3"
"Single","1985","66 and older","higher vocational","6","","","","3"
"Single","1985","16-34 y.","in school","177","1","1","1","3"
"Single","1985","16-34 y.","inadequately","83","0.573077800358781","0.508447229219508","0.637708371498053","3"
"Single","1985","16-34 y.","general elemantary","695","0.735466893003833","0.709075044453827","0.761858741553838","3"
"Single","1985","16-34 y.","middle vocational","929","0.535195055724968","0.512274604804349","0.558115506645586","3"
"Single","1985","16-34 y.","vocational + Abi","75","0.582878325635524","0.50234285949817","0.663413791772879","3"
"Single","1985","16-34 y.","higher vocational","70","0.446166619967499","0.374145371149095","0.518187868785903","3"
"Single","1985","16-34 y.","higher education","104","0.478898544834395","0.414055474711768","0.543741614957022","3"
"Single","1985","66 and older","middle vocational","21","","","","3"
"Widowed","1985","66 and older","higher vocational","17","","","","5"
"Widowed","1985","66 and older","higher education","9","","","","5"
"Widowed","1985","16-34 y.","in school","","","","","5"
"Widowed","1985","16-34 y.","inadequately","1","","","","5"
"Widowed","1985","16-34 y.","general elemantary","2","","","","5"
"Widowed","1985","16-34 y.","middle vocational","4","","","","5"
"Widowed","1985","16-34 y.","vocational + Abi","","","","","5"
"Widowed","1985","16-34 y.","higher vocational","","","","","5"
"Widowed","1985","16-34 y.","higher education","","","","","5"
"Widowed","1985","35-65 y.","in school","","","","","5"
"Widowed","1985","35-65 y.","inadequately","13","","","","5"
"Widowed","1985","35-65 y.","general elemantary","98","0.102024006632166","0.0860079872409559","0.118040026023376","5"
"Widowed","1985","35-65 y.","middle vocational","97","0.0526337213049787","0.043922191736491","0.0613452508734663","5"
"Widowed","1985","35-65 y.","vocational + Abi","2","","","","5"
"Widowed","1985","35-65 y.","higher vocational","17","","","","5"
"Widowed","1985","35-65 y.","higher education","6","","","","5"
"Widowed","1985","66 and older","middle vocational","161","0.428223803334649","0.382707330266336","0.473740276402963","5"
"Widowed","1985","66 and older","vocational + Abi","4","","","","5"
"Widowed","1985","66 and older","in school","","","","","5"
"Widowed","1985","66 and older","inadequately","8","","","","5"
"Widowed","1985","66 and older","general elemantary","218","0.606346703939236","0.557734010438152","0.65495939744032","5"
"Divorced","1986","35-65 y.","in school","","","","","4"
"Divorced","1986","35-65 y.","higher education","22","","","","4"
"Divorced","1986","66 and older","in school","","","","","4"
"Divorced","1986","16-34 y.","in school","","","","","4"
"Divorced","1986","16-34 y.","inadequately","5","","","","4"
"Divorced","1986","16-34 y.","middle vocational","41","0.0265208510013523","0.0192615411125314","0.0337801608901731","4"
"Divorced","1986","16-34 y.","vocational + Abi","4","","","","4"
"Divorced","1986","16-34 y.","higher vocational","7","","","","4"
"Divorced","1986","35-65 y.","inadequately","14","","","","4"
"Divorced","1986","35-65 y.","general elemantary","49","0.0438316254462559","0.0329792500153566","0.0546840008771552","4"
"Divorced","1986","35-65 y.","middle vocational","142","0.0683022269079078","0.058605696191751","0.0779987576240646","4"
"Divorced","1986","35-65 y.","vocational + Abi","5","","","","4"
"Divorced","1986","66 and older","inadequately","1","","","","4"
"Divorced","1986","66 and older","general elemantary","8","","","","4"
"Divorced","1986","66 and older","middle vocational","12","","","","4"
"Divorced","1986","66 and older","higher vocational","1","","","","4"
"Divorced","1986","66 and older","higher education","1","","","","4"
"Divorced","1986","16-34 y.","general elemantary","19","","","","4"
"Divorced","1986","16-34 y.","higher education","4","","","","4"
"Divorced","1986","35-65 y.","higher vocational","15","","","","4"
"Divorced","1986","66 and older","vocational + Abi","","","","","4"
"Married","1986","35-65 y.","higher education","389","0.781476786902007","0.744037118431198","0.818916455372816","1"
"Married","1986","66 and older","in school","","","","","1"
"Married","1986","66 and older","inadequately","5","","","","1"
"Married","1986","16-34 y.","in school","","","","","1"
"Married","1986","16-34 y.","inadequately","129","0.378790765178792","0.315825750289502","0.441755780068081","1"
"Married","1986","16-34 y.","general elemantary","339","0.235412845827361","0.210318521986127","0.260507169668595","1"
"Married","1986","16-34 y.","middle vocational","828","0.410856523762095","0.388628855239505","0.433084192284684","1"
"Married","1986","16-34 y.","vocational + Abi","66","0.387843032230081","0.310635126746266","0.465050937713896","1"
"Married","1986","16-34 y.","higher vocational","109","0.538243093195168","0.466979929410898","0.609506256979437","1"
"Married","1986","16-34 y.","higher education","117","0.485576136984375","0.420559517691723","0.550592756277028","1"
"Married","1986","35-65 y.","in school","","","","","1"
"Married","1986","35-65 y.","inadequately","449","0.750351070046603","0.713293276703835","0.78740886338937","1"
"Married","1986","35-65 y.","general elemantary","1146","0.787061801267285","0.765360037119383","0.808763565415188","1"
"Married","1986","35-65 y.","middle vocational","2174","0.799389684649206","0.783996895613195","0.814782473685217","1"
"Married","1986","35-65 y.","vocational + Abi","85","0.749714549556204","0.665234691453335","0.834194407659073","1"
"Married","1986","35-65 y.","higher vocational","276","0.827824151966872","0.786329732506745","0.869318571427","1"
"Married","1986","66 and older","general elemantary","156","0.34522375474677","0.298098196726525","0.392349312767015","1"
"Married","1986","66 and older","middle vocational","271","0.469265026699954","0.424526457533823","0.514003595866084","1"
"Married","1986","66 and older","vocational + Abi","13","","","","1"
"Married","1986","66 and older","higher vocational","46","0.53103007335724","0.416552947737132","0.645507198977348","1"
"Married","1986","66 and older","higher education","33","0.544260986843335","0.410178559853236","0.678343413833434","1"
"Married, but separated","1986","66 and older","higher education","2","","","","2"
"Married, but separated","1986","66 and older","higher vocational","2","","","","2"
"Married, but separated","1986","16-34 y.","in school","","","","","2"
"Married, but separated","1986","35-65 y.","higher education","15","","","","2"
"Married, but separated","1986","66 and older","general elemantary","3","","","","2"
"Married, but separated","1986","16-34 y.","inadequately","5","","","","2"
"Married, but separated","1986","16-34 y.","general elemantary","19","","","","2"
"Married, but separated","1986","16-34 y.","middle vocational","35","0.0168206081776752","0.0110106164760222","0.0226305998793282","2"
"Married, but separated","1986","16-34 y.","vocational + Abi","4","","","","2"
"Married, but separated","1986","35-65 y.","in school","","","","","2"
"Married, but separated","1986","35-65 y.","inadequately","37","0.095208706686151","0.0700785621300608","0.120338851242241","2"
"Married, but separated","1986","35-65 y.","general elemantary","30","0.0202243473687639","0.0127621898337978","0.02768650490373","2"
"Married, but separated","1986","35-65 y.","middle vocational","77","0.0272508915635782","0.0209926518306409","0.0335091312965156","2"
"Married, but separated","1986","35-65 y.","vocational + Abi","1","","","","2"
"Married, but separated","1986","35-65 y.","higher vocational","4","","","","2"
"Married, but separated","1986","66 and older","in school","","","","","2"
"Married, but separated","1986","66 and older","inadequately","","","","","2"
"Married, but separated","1986","66 and older","middle vocational","10","","","","2"
"Married, but separated","1986","66 and older","vocational + Abi","","","","","2"
"Married, but separated","1986","16-34 y.","higher vocational","3","","","","2"
"Married, but separated","1986","16-34 y.","higher education","6","","","","2"
"Single","1986","35-65 y.","middle vocational","112","0.0553471664361214","0.0465580497838389","0.0641362830884039","3"
"Single","1986","35-65 y.","general elemantary","47","0.0488341686814927","0.0374092306378733","0.0602591067251121","3"
"Single","1986","35-65 y.","in school","","","","","3"
"Single","1986","35-65 y.","inadequately","12","","","","3"
"Single","1986","66 and older","in school","","","","","3"
"Single","1986","66 and older","higher vocational","6","","","","3"
"Single","1986","66 and older","middle vocational","22","","","","3"
"Single","1986","66 and older","higher education","8","","","","3"
"Single","1986","35-65 y.","vocational + Abi","8","","","","3"
"Single","1986","35-65 y.","higher vocational","10","","","","3"
"Single","1986","35-65 y.","higher education","34","0.0960364539284744","0.0693421450783873","0.122730762778562","3"
"Single","1986","66 and older","inadequately","4","","","","3"
"Single","1986","66 and older","general elemantary","22","","","","3"
"Single","1986","66 and older","vocational + Abi","3","","","","3"
"Single","1986","16-34 y.","in school","180","1","1","1","3"
"Single","1986","16-34 y.","inadequately","88","0.556779827143616","0.492298766455844","0.621260887831387","3"
"Single","1986","16-34 y.","general elemantary","719","0.729536551490466","0.703262639579513","0.755810463401419","3"
"Single","1986","16-34 y.","middle vocational","976","0.544630183476865","0.522130766990957","0.567129599962774","3"
"Single","1986","16-34 y.","vocational + Abi","79","0.579078641031099","0.500848947150835","0.657308334911363","3"
"Single","1986","16-34 y.","higher vocational","69","0.410473173921888","0.340155686814117","0.480790661029659","3"
"Single","1986","16-34 y.","higher education","100","0.466552025100038","0.401654036435706","0.53145001376437","3"
"Widowed","1986","66 and older","higher education","9","","","","5"
"Widowed","1986","66 and older","higher vocational","18","","","","5"
"Widowed","1986","16-34 y.","in school","","","","","5"
"Widowed","1986","16-34 y.","inadequately","1","","","","5"
"Widowed","1986","16-34 y.","general elemantary","2","","","","5"
"Widowed","1986","16-34 y.","middle vocational","2","","","","5"
"Widowed","1986","16-34 y.","vocational + Abi","","","","","5"
"Widowed","1986","16-34 y.","higher vocational","","","","","5"
"Widowed","1986","16-34 y.","higher education","","","","","5"
"Widowed","1986","35-65 y.","in school","","","","","5"
"Widowed","1986","35-65 y.","inadequately","12","","","","5"
"Widowed","1986","35-65 y.","general elemantary","95","0.100048057236202","0.0841414402800782","0.115954674192326","5"
"Widowed","1986","35-65 y.","middle vocational","95","0.0497100304431869","0.041355702787978","0.0580643580983959","5"
"Widowed","1986","35-65 y.","vocational + Abi","2","","","","5"
"Widowed","1986","35-65 y.","higher vocational","13","","","","5"
"Widowed","1986","35-65 y.","higher education","8","","","","5"
"Widowed","1986","66 and older","in school","","","","","5"
"Widowed","1986","66 and older","inadequately","9","","","","5"
"Widowed","1986","66 and older","general elemantary","202","0.563844923200362","0.514690792997204","0.61299905340352","5"
"Widowed","1986","66 and older","middle vocational","163","0.425713102529797","0.381387249193508","0.470038955866086","5"
"Widowed","1986","66 and older","vocational + Abi","4","","","","5"
"Divorced","1987","35-65 y.","in school","","","","","4"
"Divorced","1987","35-65 y.","higher education","30","0.0746184796802529","0.0507857789199039","0.098451180440602","4"
"Divorced","1987","66 and older","in school","","","","","4"
"Divorced","1987","16-34 y.","in school","1","","","","4"
"Divorced","1987","16-34 y.","inadequately","4","","","","4"
"Divorced","1987","16-34 y.","general elemantary","19","","","","4"
"Divorced","1987","16-34 y.","middle vocational","43","0.0256214166487522","0.018528055414338","0.0327147778831664","4"
"Divorced","1987","16-34 y.","vocational + Abi","2","","","","4"
"Divorced","1987","16-34 y.","higher vocational","4","","","","4"
"Divorced","1987","35-65 y.","inadequately","17","","","","4"
"Divorced","1987","35-65 y.","general elemantary","51","0.0483246663475164","0.0368037266918088","0.0598456060032241","4"
"Divorced","1987","35-65 y.","middle vocational","151","0.0754076074867315","0.0651651204630247","0.0856500945104383","4"
"Divorced","1987","35-65 y.","vocational + Abi","7","","","","4"
"Divorced","1987","66 and older","inadequately","1","","","","4"
"Divorced","1987","66 and older","general elemantary","9","","","","4"
"Divorced","1987","66 and older","middle vocational","16","","","","4"
"Divorced","1987","66 and older","higher vocational","1","","","","4"
"Divorced","1987","66 and older","higher education","1","","","","4"
"Divorced","1987","16-34 y.","higher education","3","","","","4"
"Divorced","1987","35-65 y.","higher vocational","16","","","","4"
"Divorced","1987","66 and older","vocational + Abi","","","","","4"
"Married","1987","35-65 y.","higher education","381","0.765954883383422","0.72755401571262","0.804355751054225","1"
"Married","1987","66 and older","in school","","","","","1"
"Married","1987","66 and older","inadequately","5","","","","1"
"Married","1987","16-34 y.","in school","","","","","1"
"Married","1987","16-34 y.","inadequately","117","0.419743094458826","0.35234984148872","0.487136347428932","1"
"Married","1987","16-34 y.","general elemantary","323","0.249640373284041","0.223934859294859","0.275345887273223","1"
"Married","1987","16-34 y.","middle vocational","848","0.417209744768754","0.395072681545921","0.439346807991587","1"
"Married","1987","16-34 y.","vocational + Abi","73","0.432570438990078","0.354322640431504","0.510818237548652","1"
"Married","1987","16-34 y.","higher vocational","107","0.538949238145824","0.466727015570323","0.611171460721325","1"
"Married","1987","16-34 y.","higher education","109","0.46047918286908","0.39431408668031","0.526644279057851","1"
"Married","1987","35-65 y.","in school","","","","","1"
"Married","1987","35-65 y.","inadequately","445","0.751579390660218","0.714476267149989","0.788682514170448","1"
"Married","1987","35-65 y.","general elemantary","1111","0.783383507286887","0.761252966060772","0.805514048513002","1"
"Married","1987","35-65 y.","middle vocational","2127","0.793983609514097","0.778295184756979","0.809672034271215","1"
"Married","1987","35-65 y.","vocational + Abi","83","0.721163348304696","0.63327327154547","0.809053425063921","1"
"Married","1987","35-65 y.","higher vocational","268","0.814976291513881","0.772093900526513","0.85785868250125","1"
"Married","1987","66 and older","general elemantary","163","0.347278245711127","0.301023774587034","0.39353271683522","1"
"Married","1987","66 and older","middle vocational","293","0.484523262858659","0.440848963104714","0.528197562612605","1"
"Married","1987","66 and older","vocational + Abi","13","","","","1"
"Married","1987","66 and older","higher vocational","45","0.54606612205067","0.429434051415751","0.662698192685588","1"
"Married","1987","66 and older","higher education","35","0.526486465244524","0.396866927808463","0.656106002680585","1"
"Married, but separated","1987","66 and older","higher education","2","","","","2"
"Married, but separated","1987","66 and older","higher vocational","1","","","","2"
"Married, but separated","1987","16-34 y.","in school","","","","","2"
"Married, but separated","1987","35-65 y.","middle vocational","64","0.021475252154636","0.0158521273014938","0.0270983770077783","2"
"Married, but separated","1987","35-65 y.","higher education","11","","","","2"
"Married, but separated","1987","66 and older","general elemantary","","","","","2"
"Married, but separated","1987","16-34 y.","inadequately","7","","","","2"
"Married, but separated","1987","16-34 y.","vocational + Abi","3","","","","2"
"Married, but separated","1987","35-65 y.","in school","","","","","2"
"Married, but separated","1987","16-34 y.","general elemantary","31","0.0238246115567905","0.0147670562963461","0.0328821668172349","2"
"Married, but separated","1987","16-34 y.","middle vocational","27","","","","2"
"Married, but separated","1987","16-34 y.","higher vocational","","","","","2"
"Married, but separated","1987","35-65 y.","inadequately","35","0.0936348756424579","0.0686199255095509","0.118649825775365","2"
"Married, but separated","1987","35-65 y.","general elemantary","34","0.0241493139988577","0.0159021781511505","0.0323964498465649","2"
"Married, but separated","1987","35-65 y.","vocational + Abi","1","","","","2"
"Married, but separated","1987","35-65 y.","higher vocational","6","","","","2"
"Married, but separated","1987","66 and older","in school","","","","","2"
"Married, but separated","1987","66 and older","inadequately","","","","","2"
"Married, but separated","1987","66 and older","middle vocational","2","","","","2"
"Married, but separated","1987","66 and older","vocational + Abi","","","","","2"
"Married, but separated","1987","16-34 y.","higher education","7","","","","2"
"Single","1987","66 and older","higher vocational","5","","","","3"
"Single","1987","35-65 y.","in school","","","","","3"
"Single","1987","35-65 y.","general elemantary","44","0.0492741052749191","0.0376463442307505","0.0609018663190877","3"
"Single","1987","35-65 y.","middle vocational","109","0.0572705862753454","0.0482573236229077","0.0662838489277831","3"
"Single","1987","35-65 y.","vocational + Abi","6","","","","3"
"Single","1987","35-65 y.","higher vocational","9","","","","3"
"Single","1987","35-65 y.","higher education","38","0.10907376967874","0.0808008483357712","0.137346691021709","3"
"Single","1987","66 and older","in school","","","","","3"
"Single","1987","66 and older","inadequately","3","","","","3"
"Single","1987","66 and older","general elemantary","22","","","","3"
"Single","1987","66 and older","middle vocational","22","","","","3"
"Single","1987","66 and older","vocational + Abi","4","","","","3"
"Single","1987","66 and older","higher education","8","","","","3"
