"pgfamstd","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Single","1989","in school","174","0.994437955978013","0.983419135087667","1.00545677686836","3"
"Single","1989","inadequately","78","0.245900641563038","0.212922850844292","0.278878432281784","3"
"Single","1989","general elemantary","705","0.23445517476837","0.21806625305787","0.250844096478869","3"
"Single","1989","middle vocational","1039","0.21451755317638","0.202675831470614","0.226359274882146","3"
"Single","1989","vocational + Abi","109","0.444878855820162","0.387484839813772","0.502272871826551","3"
"Single","1989","higher vocational","70","0.150187540719144","0.119332723610269","0.18104235782802","3"
"Single","1989","higher education","140","0.226391873594011","0.195300894436151","0.25748285275187","3"
"Widowed","1989","higher vocational","30","0.0860776481083489","0.0618537337635159","0.110301562453182","5"
"Widowed","1989","higher education","18","","","","5"
"Widowed","1989","middle vocational","265","0.097292091462148","0.0887428499811164","0.10584133294318","5"
"Widowed","1989","vocational + Abi","8","","","","5"
"Widowed","1989","in school","","","","","5"
"Widowed","1989","inadequately","21","","","","5"
"Widowed","1989","general elemantary","275","0.197846395425732","0.182435495597898","0.213257295253565","5"
"Divorced","1990","in school","","","","","4"
"Divorced","1990","inadequately","26","","","","4"
"Divorced","1990","general elemantary","106","0.0438992785406289","0.0365510322560046","0.0512475248252533","4"
"Divorced","1990","middle vocational","372","0.0633299609609038","0.0576563433833605","0.0690035785384471","4"
"Divorced","1990","vocational + Abi","8","","","","4"
"Divorced","1990","higher vocational","29","","","","4"
"Divorced","1990","higher education","107","0.0814572423467518","0.0684390792757346","0.0944754054177691","4"
"Married","1990","in school","2","","","","1"
"Married","1990","inadequately","487","0.572437928709424","0.534258271865765","0.610617585553082","1"
"Married","1990","general elemantary","1593","0.485385468091718","0.467459294520354","0.503311641663082","1"
"Married","1990","middle vocational","4731","0.614119066111273","0.602779013074806","0.62545911914774","1"
"Married","1990","vocational + Abi","209","0.443897196439126","0.393476084559089","0.494318308319163","1"
"Married","1990","higher vocational","607","0.703530582306345","0.67131463683895","0.735746527773741","1"
"Married","1990","higher education","1315","0.686070823361025","0.663983886851852","0.708157759870198","1"
"Married, but separated","1990","in school","","","","","2"
"Married, but separated","1990","inadequately","30","0.045975600579886","0.0298129836332008","0.0621382175265712","2"
"Married, but separated","1990","general elemantary","67","0.0209291295779254","0.0157947752387989","0.0260634839170519","2"
"Married, but separated","1990","middle vocational","108","0.0167520452349002","0.0137623454566025","0.0197417450131978","2"
"Married, but separated","1990","higher vocational","8","","","","2"
"Married, but separated","1990","vocational + Abi","6","","","","2"
"Married, but separated","1990","higher education","24","","","","2"
"Single","1990","in school","192","0.99067132175675","0.977143680467472","1.00419896304603","3"
"Single","1990","inadequately","78","0.247826411934647","0.214506713046168","0.281146110823125","3"
"Single","1990","general elemantary","844","0.242872511770834","0.227491784249743","0.258253239291926","3"
"Single","1990","middle vocational","1468","0.213127267088629","0.203587585242345","0.222666948934914","3"
"Single","1990","vocational + Abi","142","0.48985267843551","0.439121584879252","0.540583771991768","3"
"Single","1990","higher vocational","85","0.139747085086549","0.115288918637056","0.164205251536042","3"
"Single","1990","higher education","211","0.177650953640294","0.159460353175413","0.195841554105175","3"
"Widowed","1990","higher vocational","43","0.0952445537188467","0.0745371753303378","0.115951932107356","5"
"Widowed","1990","higher education","39","0.0321648906154771","0.0237678376458966","0.0405619435850577","5"
"Widowed","1990","middle vocational","400","0.0926716606042938","0.0859167773816344","0.0994265438269531","5"
"Widowed","1990","vocational + Abi","8","","","","5"
"Widowed","1990","in school","","","","","5"
"Widowed","1990","inadequately","24","","","","5"
"Widowed","1990","general elemantary","376","0.206913612018893","0.19238386782298","0.221443356214806","5"
"Divorced","1991","middle vocational","365","0.0673872730251491","0.0614815659305173","0.0732929801197808","4"
"Divorced","1991","vocational + Abi","8","","","","4"
"Divorced","1991","in school","","","","","4"
"Divorced","1991","inadequately","24","","","","4"
"Divorced","1991","general elemantary","106","0.0470033615442362","0.0392494039788406","0.0547573191096319","4"
"Divorced","1991","higher vocational","28","","","","4"
"Divorced","1991","higher education","112","0.0871750708354852","0.0736979868878712","0.100652154783099","4"
"Married","1991","in school","","","","","1"
"Married","1991","inadequately","484","0.564633719743967","0.526893699680345","0.602373739807589","1"
"Married","1991","general elemantary","1554","0.488076002137465","0.469762991484774","0.506389012790155","1"
"Married","1991","middle vocational","4589","0.604108229589938","0.592587555087173","0.615628904092703","1"
"Married","1991","higher vocational","597","0.709854498880801","0.677546796146795","0.742162201614808","1"
"Married","1991","higher education","1302","0.686423332961614","0.664258017240407","0.708588648682822","1"
"Married","1991","vocational + Abi","219","0.479655494192416","0.429358887679379","0.529952100705454","1"
"Married, but separated","1991","inadequately","25","","","","2"
"Married, but separated","1991","vocational + Abi","4","","","","2"
"Married, but separated","1991","in school","","","","","2"
"Married, but separated","1991","general elemantary","60","0.0204395259960209","0.0152555341150514","0.0256235178769904","2"
"Married, but separated","1991","middle vocational","106","0.0177277483537688","0.0146190755014759","0.0208364212060616","2"
"Married, but separated","1991","higher vocational","9","","","","2"
"Married, but separated","1991","higher education","24","","","","2"
"Single","1991","in school","162","1","1","1","3"
"Single","1991","inadequately","106","0.2841847933419","0.249853338744107","0.318516247939692","3"
"Single","1991","general elemantary","796","0.233055350119068","0.217566298538481","0.248544401699655","3"
"Single","1991","middle vocational","1468","0.213034824321146","0.203389088748223","0.22268055989407","3"
"Single","1991","vocational + Abi","143","0.462847649346405","0.412648511591493","0.513046787101316","3"
"Single","1991","higher vocational","84","0.138300675239663","0.113725110036586","0.16287624044274","3"
"Single","1991","higher education","202","0.173173026375246","0.155094897647953","0.19125115510254","3"
"Widowed","1991","middle vocational","394","0.0977419247099977","0.0907461127787961","0.104737736641199","5"
"Widowed","1991","vocational + Abi","5","","","","5"
"Widowed","1991","higher vocational","40","0.0918418463725415","0.0712822523576088","0.112401440387474","5"
"Widowed","1991","higher education","43","0.0318047611960005","0.0234211028036234","0.0401884195883776","5"
"Widowed","1991","in school","","","","","5"
"Widowed","1991","inadequately","24","","","","5"
"Widowed","1991","general elemantary","346","0.21142576020321","0.196466382773722","0.226385137632699","5"
"Divorced","1992","in school","","","","","4"
"Divorced","1992","inadequately","22","","","","4"
"Divorced","1992","middle vocational","359","0.0671077817238986","0.061129074639834","0.0730864888079632","4"
"Divorced","1992","vocational + Abi","10","","","","4"
"Divorced","1992","higher vocational","27","","","","4"
"Divorced","1992","higher education","108","0.083167994268928","0.0698803530000145","0.0964556355378416","4"
"Divorced","1992","general elemantary","101","0.0478541341524146","0.0399307049691127","0.0557775633357164","4"
"Married","1992","in school","","","","","1"
"Married","1992","inadequately","463","0.588562861032441","0.550106256072203","0.627019465992679","1"
"Married","1992","general elemantary","1513","0.492571992064148","0.474014307833123","0.511129676295173","1"
"Married","1992","middle vocational","4459","0.607225821111822","0.595556336390552","0.618895305833092","1"
"Married","1992","higher vocational","600","0.703579733884163","0.671302558040305","0.73585690972802","1"
"Married","1992","higher education","1271","0.68886010586164","0.666582512887311","0.71113769883597","1"
"Married","1992","vocational + Abi","221","0.481952409887167","0.432040448890402","0.531864370883932","1"
"Married, but separated","1992","vocational + Abi","8","","","","2"
"Married, but separated","1992","higher vocational","7","","","","2"
"Married, but separated","1992","higher education","24","","","","2"
"Married, but separated","1992","inadequately","28","","","","2"
