"pgfamstd","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Single","2005","inadequately","55","0.250500236741791","0.196353740671419","0.304646732812162","3"
"Single","2005","general elemantary","735","0.301703163368303","0.283358889737761","0.320047436998845","3"
"Single","2005","middle vocational","2225","0.225256823966326","0.217172669526403","0.233340978406249","3"
"Single","2005","vocational + Abi","372","0.341931732747538","0.314335148020043","0.369528317475033","3"
"Single","2005","higher vocational","198","0.149618301704093","0.131934814404562","0.167301789003625","3"
"Single","2005","higher education","705","0.239410071050441","0.226455270563593","0.25236487153729","3"
"Widowed","2005","inadequately","18","","","","5"
"Widowed","2005","general elemantary","359","0.182683332109759","0.167240206966035","0.198126457253482","5"
"Widowed","2005","middle vocational","697","0.0883813263782936","0.0828884021595259","0.0938742505970614","5"
"Widowed","2005","higher education","135","0.0412301195706312","0.0351941266161996","0.0472661125250627","5"
"Widowed","2005","in school","","","","","5"
"Widowed","2005","vocational + Abi","32","0.0555932045450004","0.0422628848113436","0.0689235242786572","5"
"Widowed","2005","higher vocational","74","0.0608049238048888","0.0489577194474388","0.0726521281623388","5"
"Divorced","2006","in school","1","","","","4"
"Divorced","2006","general elemantary","150","0.0723214078536448","0.0622502834254289","0.0823925322818608","4"
"Divorced","2006","middle vocational","890","0.0955266562375882","0.0900557147066192","0.100997597768557","4"
"Divorced","2006","inadequately","15","","","","4"
"Divorced","2006","vocational + Abi","75","0.0780657106906151","0.0629932921723418","0.0931381292088885","4"
"Divorced","2006","higher vocational","136","0.100816052430993","0.0863103685544321","0.115321736307553","4"
"Divorced","2006","higher education","327","0.0953553682336739","0.0868484090659072","0.103862327401441","4"
"Married","2006","in school","3","","","","1"
"Married","2006","inadequately","138","0.522707489985981","0.459906480408107","0.585508499563854","1"
"Married","2006","general elemantary","1167","0.412056367365534","0.392918571451448","0.43119416327962","1"
"Married","2006","middle vocational","6841","0.563412947372773","0.554181905162333","0.572643989583213","1"
"Married","2006","vocational + Abi","689","0.519987305619496","0.491918396523012","0.548056214715981","1"
"Married","2006","higher vocational","1182","0.643269004110024","0.620190065718992","0.666347942501056","1"
"Married","2006","higher education","3185","0.591394338945461","0.577156189717747","0.605632488173174","1"
"Married, but separated","2006","middle vocational","241","0.0267501303211396","0.0237469803018395","0.0297532803404397","2"
"Married, but separated","2006","vocational + Abi","23","","","","2"
"Married, but separated","2006","higher vocational","43","0.0312227855078458","0.0228436951722382","0.0396018758434533","2"
"Married, but separated","2006","higher education","120","0.0298021783042232","0.0248770571165403","0.0347272994919061","2"
"Married, but separated","2006","in school","","","","","2"
"Married, but separated","2006","inadequately","6","","","","2"
"Married, but separated","2006","general elemantary","59","0.0247491816789878","0.0187085223741922","0.0307898409837834","2"
"Single","2006","general elemantary","768","0.29979257782949","0.281978245424597","0.317606910234384","3"
"Single","2006","in school","630","0.980275772818469","0.969486010341369","0.991065535295569","3"
"Single","2006","inadequately","61","0.279377124428779","0.222962149711232","0.335792099146325","3"
"Single","2006","middle vocational","2339","0.225038721938422","0.217266046612014","0.232811397264831","3"
"Single","2006","vocational + Abi","397","0.344832588971146","0.31812817223746","0.371537005704832","3"
"Single","2006","higher vocational","213","0.165360319228437","0.147461917271462","0.183258721185411","3"
"Single","2006","higher education","788","0.240921033531544","0.228534676139389","0.253307390923699","3"
"Widowed","2006","in school","4","","","","5"
"Widowed","2006","inadequately","23","","","","5"
"Widowed","2006","general elemantary","397","0.191080465272343","0.175794017908227","0.206366912636459","5"
"Widowed","2006","middle vocational","778","0.0892715441300762","0.0839644978379406","0.0945785904222117","5"
"Widowed","2006","higher education","159","0.0425270809850984","0.0366824269887198","0.0483717349814769","5"
"Widowed","2006","vocational + Abi","33","0.0417101838143372","0.0304777908131583","0.0529425768155161","5"
"Widowed","2006","higher vocational","81","0.0593318387227011","0.0479500316950641","0.070713645750338","5"
"Divorced","2007","in school","","","","","4"
"Divorced","2007","inadequately","12","","","","4"
"Divorced","2007","general elemantary","142","0.0765046226918551","0.0655581250060194","0.0874511203776908","4"
"Divorced","2007","middle vocational","858","0.0978257763596819","0.0920971727920332","0.103554379927331","4"
"Divorced","2007","vocational + Abi","73","0.0741187659250052","0.0591210191726944","0.0891165126773161","4"
"Divorced","2007","higher vocational","122","0.101714142293773","0.0865976706065062","0.11683061398104","4"
"Divorced","2007","higher education","320","0.0931198178614075","0.0845225330314867","0.101717102691328","4"
"Married","2007","in school","1","","","","1"
"Married","2007","inadequately","129","0.556209581062303","0.490408318402406","0.6220108437222","1"
"Married","2007","general elemantary","1038","0.42248539860193","0.402143039136142","0.442827758067717","1"
"Married","2007","middle vocational","6283","0.549523911298736","0.539929770685124","0.559118051912347","1"
"Married","2007","vocational + Abi","659","0.523526336628473","0.494932462403321","0.552120210853624","1"
"Married","2007","higher vocational","1110","0.655322882345167","0.631555225101895","0.67909053958844","1"
"Married","2007","higher education","3042","0.589942212011237","0.57539122111381","0.604493202908664","1"
"Married, but separated","2007","middle vocational","216","0.0261228352436951","0.0230471693462304","0.0291985011411599","2"
"Married, but separated","2007","in school","","","","","2"
"Married, but separated","2007","inadequately","5","","","","2"
"Married, but separated","2007","vocational + Abi","31","0.0276785745262841","0.0182865098860678","0.0370706391665003","2"
"Married, but separated","2007","higher education","113","0.0250382983935762","0.0204159626843634","0.029660634102789","2"
"Married, but separated","2007","higher vocational","43","0.031034448299488","0.022362260650722","0.0397066359482541","2"
"Married, but separated","2007","general elemantary","50","0.0292181959620349","0.0222823170850469","0.0361540748390229","2"
"Single","2007","in school","627","0.98703655877629","0.978189578887913","0.995883538664666","3"
"Single","2007","inadequately","54","0.263711114667388","0.205351236963675","0.3220709923711","3"
"Single","2007","general elemantary","684","0.289300797137817","0.270627039531988","0.307974554743647","3"
"Single","2007","middle vocational","2241","0.236364753153208","0.228172351236118","0.244557155070298","3"
"Single","2007","vocational + Abi","373","0.326134304381953","0.299295127003427","0.352973481760478","3"
"Single","2007","higher vocational","193","0.160083172103844","0.141745531148642","0.178420813059047","3"
"Single","2007","higher education","758","0.250699509057089","0.237877087499307","0.263521930614872","3"
"Widowed","2007","in school","","","","","5"
"Widowed","2007","inadequately","19","","","","5"
"Widowed","2007","general elemantary","351","0.182490985606363","0.166584253340513","0.198397717872212","5"
"Widowed","2007","middle vocational","733","0.0901627239446795","0.0846397590194673","0.0956856888698917","5"
"Widowed","2007","vocational + Abi","36","0.0485420185382854","0.0362382540964494","0.0608457829801214","5"
"Widowed","2007","higher vocational","68","0.0518453549577272","0.0407575137466581","0.0629331961687963","5"
"Widowed","2007","higher education","156","0.0412001626766899","0.0353201435082325","0.0470801818451473","5"
"Divorced","2008","in school","","","","","4"
"Divorced","2008","inadequately","13","","","","4"
"Divorced","2008","general elemantary","129","0.0719574632541381","0.0608492883352398","0.0830656381730363","4"
"Divorced","2008","middle vocational","840","0.102240300298588","0.0962254337135866","0.10825516688359","4"
"Divorced","2008","vocational + Abi","65","0.0663835361887072","0.0516650316130616","0.0811020407643528","4"
"Divorced","2008","higher vocational","111","0.10479955500275","0.0888629151862435","0.120736194819257","4"
"Divorced","2008","higher education","311","0.0912382630343033","0.0825247029688147","0.0999518230997919","4"
"Married","2008","in school","","","","","1"
"Married","2008","inadequately","107","0.536884336588154","0.465416211384696","0.608352461791612","1"
"Married","2008","general elemantary","934","0.413606284931886","0.392436859806301","0.43477571005747","1"
"Married","2008","middle vocational","5912","0.544811190349072","0.53492443732078","0.554697943377364","1"
"Married","2008","vocational + Abi","612","0.52047246803563","0.490936249072495","0.550008686998766","1"
"Married","2008","higher vocational","1042","0.65154819123414","0.626756764173132","0.676339618295149","1"
"Married","2008","higher education","2882","0.579785752965514","0.564849169693177","0.594722336237851","1"
"Married, but separated","2008","in school","","","","","2"
"Married, but separated","2008","inadequately","7","","","","2"
"Married, but separated","2008","middle vocational","199","0.0226140232516294","0.0196624276365129","0.0255656188667459","2"
"Married, but separated","2008","vocational + Abi","36","0.0296213992362258","0.0195978244513107","0.039644974021141","2"
"Married, but separated","2008","higher vocational","35","0.0214667535054678","0.013925772082489","0.0290077349284466","2"
"Married, but separated","2008","higher education","105","0.0290018056845955","0.0239236754019545","0.0340799359672366","2"
"Married, but separated","2008","general elemantary","44","0.0265748614302891","0.0196612076147915","0.0334885152457866","2"
"Single","2008","vocational + Abi","353","0.338212570976472","0.310241868458557","0.366183273494386","3"
"Single","2008","in school","553","1","1","1","3"
"Single","2008","inadequately","46","0.253552619627466","0.191199105027177","0.315906134227756","3"
"Single","2008","general elemantary","634","0.297556431711564","0.277904228894285","0.317208634528843","3"
"Single","2008","middle vocational","2086","0.239107231747891","0.23063899538419","0.247575468111593","3"
"Single","2008","higher vocational","165","0.169571182637933","0.150046493697073","0.189095871578793","3"
"Single","2008","higher education","736","0.2567705678767","0.243551032877338","0.269990102876062","3"
"Widowed","2008","in school","","","","","5"
"Widowed","2008","inadequately","14","","","","5"
"Widowed","2008","general elemantary","338","0.190304958672123","0.173431401844915","0.207178515499332","5"
"Widowed","2008","middle vocational","709","0.0912272543528187","0.0855108250528214","0.0969436836528161","5"
"Widowed","2008","vocational + Abi","33","0.0453100255629649","0.0330136369704055","0.0576064141555244","5"
"Widowed","2008","higher vocational","66","0.0526143176197084","0.0409978985011354","0.0642307367382814","5"
"Widowed","2008","higher education","161","0.0432036104388873","0.0370511066037875","0.0493561142739871","5"
"Divorced","2009","higher education","308","0.0860138730936125","0.0773668778868895","0.0946608683003356","4"
"Divorced","2009","middle vocational","801","0.101333275195378","0.0951252668255756","0.107541283565181","4"
"Divorced","2009","vocational + Abi","62","0.0639844490195971","0.0488316459306029","0.0791372521085912","4"
"Divorced","2009","higher vocational","101","0.100289014885382","0.0841756718669504","0.116402357903813","4"
"Divorced","2009","in school","","","","","4"
"Divorced","2009","inadequately","13","","","","4"
"Divorced","2009","general elemantary","126","0.0774281046928593","0.0652326125631447","0.0896235968225739","4"
"Married","2009","in school","","","","","1"
"Married","2009","inadequately","100","0.547218863920377","0.472172538681115","0.622265189159638","1"
"Married","2009","general elemantary","802","0.404391764806434","0.381997778714012","0.426785750898855","1"
"Married","2009","middle vocational","5443","0.537245726646213","0.526988295104788","0.547503158187639","1"
"Married","2009","vocational + Abi","576","0.524296927752503","0.49337469357452","0.555219161930487","1"
"Married","2009","higher vocational","973","0.653001042925818","0.627466476947651","0.678535608903984","1"
"Married","2009","higher education","2720","0.574819903150783","0.559573635967904","0.590066170333662","1"
"Married, but separated","2009","in school","","","","","2"
"Married, but separated","2009","inadequately","6","","","","2"
"Married, but separated","2009","general elemantary","36","0.0166785673561583","0.0108350137828777","0.0225221209294389","2"
"Married, but separated","2009","middle vocational","202","0.0265234050829661","0.0232177744870902","0.0298290356788421","2"
"Married, but separated","2009","vocational + Abi","28","","","","2"
"Married, but separated","2009","higher vocational","33","0.0204872256074546","0.0128882668876651","0.028086184327244","2"
"Married, but separated","2009","higher education","101","0.0294586894881226","0.0242440428009484","0.0346733361752969","2"
"Single","2009","vocational + Abi","309","0.345319246092159","0.315879137389682","0.374759354794636","3"
"Single","2009","in school","506","1","1","1","3"
"Single","2009","inadequately","36","0.226018940360256","0.162960631047889","0.289077249672624","3"
"Single","2009","general elemantary","556","0.300423209862766","0.279504526655864","0.321341893069668","3"
"Single","2009","middle vocational","1953","0.243240461628351","0.234414261215201","0.252066662041501","3"
"Single","2009","higher vocational","165","0.177918733776231","0.157403537636861","0.198433929915601","3"
"Single","2009","higher education","751","0.267324757826416","0.253676207868601","0.28097330778423","3"
"Widowed","2009","vocational + Abi","27","","","","5"
"Widowed","2009","inadequately","14","","","","5"
"Widowed","2009","general elemantary","325","0.201078353281783","0.182789576470636","0.21936713009293","5"
"Widowed","2009","middle vocational","678","0.0916571314470912","0.0857212535425427","0.0975930093516397","5"
"Widowed","2009","in school","","","","","5"
"Widowed","2009","higher vocational","63","0.0483039828051149","0.0368026530681748","0.0598053125420551","5"
"Widowed","2009","higher education","159","0.042382776441066","0.0361697694765896","0.0485957834055423","5"
"Divorced","2010","higher education","393","0.087123034013167","0.0795830247400201","0.094663043286314","4"
"Divorced","2010","vocational + Abi","134","0.074720957559769","0.0622620299225461","0.0871798851969919","4"
"Divorced","2010","higher vocational","123","0.104248184067199","0.0893353905291099","0.119160977605289","4"
"Divorced","2010","middle vocational","1147","0.105539752566151","0.0999855037377327","0.111094001394569","4"
"Divorced","2010","in school","","","","","4"
"Divorced","2010","inadequately","28","","","","4"
"Divorced","2010","general elemantary","206","0.0746530884731222","0.0643973805125894","0.084908796433655","4"
"Married","2010","in school","1","","","","1"
"Married","2010","inadequately","201","0.504249215434366","0.451566959686975","0.556931471181756","1"
"Married","2010","general elemantary","1154","0.400032261256224","0.380916089521023","0.419148432991426","1"
"Married","2010","middle vocational","7236","0.535321889872077","0.526305755351869","0.544338024392285","1"
"Married","2010","vocational + Abi","1054","0.533782384814811","0.510144993533556","0.557419776096067","1"
"Married","2010","higher vocational","1168","0.625889398640765","0.602274846540863","0.649503950740667","1"
"Married","2010","higher education","3752","0.577871959992167","0.564666997514196","0.591076922470137","1"
"Married, but separated","2010","in school","","","","","2"
"Married, but separated","2010","inadequately","7","","","","2"
"Married, but separated","2010","general elemantary","62","0.0224481241973818","0.0166678372190105","0.0282284111757532","2"
"Married, but separated","2010","vocational + Abi","63","0.0240703460862662","0.0168080573661924","0.03133263480634","2"
"Married, but separated","2010","middle vocational","269","0.0248039249521084","0.0219923934695388","0.027615456434678","2"
"Married, but separated","2010","higher vocational","44","0.0289739799240649","0.0207883818068377","0.0371595780412922","2"
"Married, but separated","2010","higher education","145","0.0323818977681465","0.0276492694185318","0.0371145261177612","2"
"Single","2010","vocational + Abi","429","0.328693078463253","0.306435447972338","0.350950708954168","3"
"Single","2010","in school","705","0.999869879642752","0.999028503667686","1.00071125561782","3"
"Single","2010","inadequately","97","0.295057647508207","0.247002459455307","0.343112835561106","3"
"Single","2010","general elemantary","793","0.312230406834094","0.294148320064664","0.330312493603523","3"
"Single","2010","middle vocational","2431","0.242638864647897","0.234889457759473","0.250388271536321","3"
"Single","2010","higher vocational","219","0.192616007356849","0.173371040705209","0.211860974008489","3"
"Single","2010","higher education","921","0.261124593031768","0.249380790129351","0.272868395934185","3"
"Widowed","2010","general elemantary","308","0.190636119239178","0.175308878819226","0.205963359659131","5"
"Widowed","2010","in school","","","","","5"
"Widowed","2010","inadequately","13","","","","5"
"Widowed","2010","middle vocational","672","0.0916955679617666","0.086478497968021","0.0969126379555123","5"
"Widowed","2010","vocational + Abi","31","0.038733233075901","0.0295902708626203","0.0478761952891817","5"
"Widowed","2010","higher vocational","59","0.0482724300111217","0.0378123064851038","0.0587325535371395","5"
"Widowed","2010","higher education","163","0.0414985151947517","0.0361662476240035","0.0468307827655","5"
"Divorced","2011","higher education","472","0.0890489035785605","0.081958284991297","0.096139522165824","4"
"Divorced","2011","middle vocational","1394","0.102359425624422","0.0973086512083473","0.107410200040497","4"
"Divorced","2011","vocational + Abi","167","0.0807971953363995","0.0687994378507339","0.092794952822065","4"
"Divorced","2011","higher vocational","146","0.0937520850903395","0.0804876086734288","0.10701656150725","4"
"Divorced","2011","in school","","","","","4"
"Divorced","2011","inadequately","38","0.100182760064406","0.0710493272718256","0.129316192856987","4"
"Divorced","2011","general elemantary","269","0.0780013343141137","0.0684683811031574","0.08753428752507","4"
"Married","2011","inadequately","216","0.44693300645578","0.398690696525742","0.495175316385818","1"
"Married","2011","general elemantary","1408","0.418536994089439","0.401000641487876","0.436073346691003","1"
"Married","2011","middle vocational","8504","0.538983340525969","0.530677400422183","0.547289280629756","1"
"Married","2011","vocational + Abi","1207","0.504089767496852","0.482078160933552","0.526101374060151","1"
"Married","2011","higher education","4282","0.567188969560249","0.554854077499329","0.579523861621168","1"
"Married","2011","in school","","","","","1"
"Married","2011","higher vocational","1346","0.633989721232418","0.612068543490837","0.655910898974","1"
"Married, but separated","2011","vocational + Abi","72","0.0294078355534029","0.0219700065953803","0.0368456645114255","2"
"Married, but separated","2011","in school","","","","","2"
"Married, but separated","2011","inadequately","12","","","","2"
"Married, but separated","2011","general elemantary","89","0.0227265294598869","0.0174288471140681","0.0280242118057057","2"
"Married, but separated","2011","middle vocational","327","0.0212058132252902","0.0188052344001113","0.0236063920504691","2"
"Married, but separated","2011","higher vocational","53","0.0329450362146131","0.0248224055207076","0.0410676669085186","2"
"Married, but separated","2011","higher education","165","0.0285085935328896","0.024365452826807","0.0326517342389722","2"
"Single","2011","in school","877","1","1","1","3"
"Single","2011","inadequately","113","0.286376518223174","0.242511200657063","0.330241835789284","3"
"Single","2011","general elemantary","902","0.296333796617194","0.280101303097991","0.312566290136397","3"
"Single","2011","middle vocational","2759","0.247352853099702","0.240163381272122","0.254542324927282","3"
"Single","2011","vocational + Abi","497","0.351977995738163","0.330952371459047","0.373003620017279","3"
"Single","2011","higher vocational","246","0.195591227649955","0.177540728356993","0.213641726942918","3"
"Single","2011","higher education","1071","0.268588279937901","0.257553929014627","0.279622630861176","3"
"Widowed","2011","general elemantary","372","0.184401345519366","0.170615557621143","0.198187133417589","5"
"Widowed","2011","in school","","","","","5"
"Widowed","2011","inadequately","29","","","","5"
"Widowed","2011","middle vocational","852","0.0900985675246166","0.0853276827047177","0.0948694523445156","5"
"Widowed","2011","vocational + Abi","39","0.0337272058751832","0.0257795999709695","0.0416748117793968","5"
"Widowed","2011","higher vocational","64","0.0437219298126735","0.0344168973278948","0.0530269622974522","5"
"Widowed","2011","higher education","208","0.0466652533903997","0.0414142556624748","0.0519162511183245","5"
"Divorced","2012","in school","","","","","4"
"Divorced","2012","inadequately","40","0.124731172121638","0.0918118532223543","0.157650491020922","4"
"Divorced","2012","middle vocational","1419","0.104678074287524","0.09952460391902","0.109831544656027","4"
"Divorced","2012","vocational + Abi","198","0.0788840377347545","0.0669686534186509","0.0907994220508581","4"
"Divorced","2012","higher education","490","0.0862548685239978","0.0792350346547962","0.0932747023931993","4"
"Divorced","2012","general elemantary","281","0.0806014662950742","0.0708456579670502","0.0903572746230983","4"
"Divorced","2012","higher vocational","154","0.0949904152522753","0.0814829056153432","0.108497924889207","4"
"Married","2012","vocational + Abi","1158","0.504890668535704","0.482789992313583","0.526991344757824","1"
"Married","2012","higher vocational","1302","0.629749947793054","0.607504536597256","0.651995358988851","1"
"Married","2012","higher education","4216","0.575391569235998","0.563032136419383","0.587751002052613","1"
"Married","2012","in school","1","","","","1"
"Married","2012","inadequately","193","0.448291801104975","0.398743618948461","0.49783998326149","1"
"Married","2012","general elemantary","1377","0.439232086660816","0.421446078320142","0.457018095001489","1"
"Married","2012","middle vocational","8261","0.545089063169324","0.536706453689944","0.553471672648703","1"
"Married, but separated","2012","in school","","","","","2"
"Married, but separated","2012","inadequately","13","","","","2"
"Married, but separated","2012","vocational + Abi","71","0.0327951268385318","0.024922489788724","0.0406677638883396","2"
"Married, but separated","2012","higher vocational","50","0.0315101234401175","0.0234622451730548","0.0395580017071802","2"
"Married, but separated","2012","higher education","157","0.0265000848218989","0.0224838964117263","0.0305162732320716","2"
"Married, but separated","2012","general elemantary","90","0.0233341559970394","0.0179240106496707","0.0287443013444081","2"
"Married, but separated","2012","middle vocational","331","0.0210784536068818","0.0186603459743648","0.0234965612393988","2"
"Single","2012","in school","909","0.997571981687209","0.994374371673757","1.00076959170066","3"
"Single","2012","inadequately","116","0.289439045800806","0.244256381459274","0.334621710142338","3"
"Single","2012","general elemantary","901","0.292555719822874","0.276251864942333","0.308859574703415","3"
"Single","2012","middle vocational","2700","0.243224142306347","0.236001946051335","0.250446338561359","3"
"Single","2012","vocational + Abi","496","0.345324038058604","0.324306447026184","0.366341629091025","3"
"Single","2012","higher vocational","237","0.202846562443445","0.184321333182028","0.221371791704863","3"
"Single","2012","higher education","1070","0.267138698509188","0.256074962994476","0.278202434023899","3"
"Widowed","2012","general elemantary","342","0.164276571224197","0.150997766384935","0.177555376063458","5"
"Widowed","2012","in school","","","","","5"
"Widowed","2012","inadequately","25","","","","5"
"Widowed","2012","middle vocational","845","0.0859302666299237","0.0812124065674242","0.0906481266924232","5"
"Widowed","2012","vocational + Abi","43","0.038106128832406","0.0296432654745546","0.0465689921902574","5"
"Widowed","2012","higher vocational","67","0.040902951071108","0.031778276124889","0.0500276260173271","5"
"Widowed","2012","higher education","211","0.0447147789089173","0.0395468734412522","0.0498826843765824","5"
"Divorced","2013","in school","2","","","","4"
"Divorced","2013","general elemantary","323","0.0751697902289944","0.0667987141376324","0.0835408663203565","4"
"Divorced","2013","inadequately","61","0.137349268486363","0.110513117619859","0.164185419352866","4"
"Divorced","2013","middle vocational","1438","0.103590261698832","0.098573602197784","0.10860692119988","4"
"Divorced","2013","vocational + Abi","241","0.0913248928932667","0.0797247200083002","0.102925065778233","4"
"Divorced","2013","higher vocational","164","0.101858314382709","0.0876056614794627","0.116110967285956","4"
"Divorced","2013","higher education","541","0.0894857209744317","0.0827285545928343","0.096242887356029","4"
"Married","2013","vocational + Abi","1452","0.493813484087355","0.473680770325858","0.513946197848852","1"
"Married","2013","higher vocational","1231","0.630650225722213","0.607907724004564","0.653392727439862","1"
"Married","2013","higher education","4675","0.564725693681141","0.552989030232562","0.57646235712972","1"
"Married","2013","general elemantary","1821","0.446112986189489","0.430331000657129","0.46189497172185","1"
"Married","2013","middle vocational","8500","0.535686753891522","0.527476381276105","0.543897126506938","1"
"Married","2013","in school","3","","","","1"
"Married","2013","inadequately","379","0.478609766948392","0.439663864104278","0.517555669792506","1"
"Married, but separated","2013","in school","1","","","","2"
"Married, but separated","2013","inadequately","19","","","","2"
"Married, but separated","2013","general elemantary","87","0.0221875854320891","0.0175111880212144","0.0268639828429638","2"
"Married, but separated","2013","middle vocational","380","0.0229724384287382","0.0205060650023816","0.0254388118550948","2"
"Married, but separated","2013","vocational + Abi","75","0.0261844463666772","0.0197542296234659","0.0326146631098885","2"
"Married, but separated","2013","higher vocational","47","0.0323485105897899","0.0240114747424319","0.040685546437148","2"
"Married, but separated","2013","higher education","181","0.0248624261589628","0.0211764793810921","0.0285483729368335","2"
"Single","2013","in school","1059","0.996480392819821","0.992923631163103","1.00003715447654","3"
"Single","2013","inadequately","141","0.263257634276963","0.228922570284255","0.297592698269671","3"
"Single","2013","general elemantary","1245","0.297190596560929","0.282680679489417","0.311700513632441","3"
"Single","2013","middle vocational","3032","0.248680899565143","0.241564909934261","0.255796889196024","3"
"Single","2013","vocational + Abi","545","0.342473447528899","0.32336454869686","0.361582346360938","3"
"Single","2013","higher vocational","221","0.186723713443719","0.168360705080307","0.205086721807131","3"
"Single","2013","higher education","1247","0.276964454234154","0.26637103394028","0.287557874528028","3"
"Widowed","2013","in school","","","","","5"
"Widowed","2013","inadequately","32","0.0783744012015885","0.0574210286759409","0.0993277737272361","5"
"Widowed","2013","general elemantary","335","0.159339041588498","0.147719201370021","0.170958881806975","5"
"Widowed","2013","middle vocational","824","0.0890696464157657","0.0843803322712665","0.0937589605602648","5"
"Widowed","2013","vocational + Abi","56","0.0462037291238024","0.037750320058344","0.0546571381892608","5"
"Widowed","2013","higher vocational","67","0.0484192358615684","0.0383044467527536","0.0585340249703831","5"
"Widowed","2013","higher education","211","0.0439617049513101","0.0391086046251703","0.0488148052774498","5"
"Divorced","2014","in school","1","","","","4"
"Divorced","2014","inadequately","53","0.157154871104635","0.125380962880721","0.18892877932855","4"
"Divorced","2014","general elemantary","270","0.0771853207531718","0.0679871241712566","0.0863835173350869","4"
"Divorced","2014","middle vocational","1273","0.105465642772015","0.100097629569742","0.110833655974287","4"
"Divorced","2014","vocational + Abi","207","0.0901597883003533","0.0777645675380456","0.102555009062661","4"
"Divorced","2014","higher vocational","152","0.113455113260127","0.0979005423741029","0.12900968414615","4"
"Divorced","2014","higher education","497","0.090356285682327","0.0832372869753061","0.0974752843893479","4"
"Married","2014","vocational + Abi","1258","0.494797492007357","0.473159759151697","0.516435224863017","1"
"Married","2014","higher vocational","1149","0.624484759345123","0.600734391582932","0.648235127107315","1"
"Married","2014","higher education","4212","0.556137605841986","0.543800327163297","0.568474884520674","1"
"Married","2014","general elemantary","1497","0.42873602637705","0.411679464633759","0.44579258812034","1"
"Married","2014","middle vocational","7523","0.531626494803706","0.522905640538617","0.540347349068796","1"
"Married","2014","in school","","","","","1"
"Married","2014","inadequately","291","0.475642659136507","0.432042618082455","0.51924270019056","1"
"Married, but separated","2014","in school","1","","","","2"
"Married, but separated","2014","inadequately","11","","","","2"
"Married, but separated","2014","general elemantary","73","0.024579271484264","0.0192427461350648","0.0299157968334631","2"
"Married, but separated","2014","middle vocational","298","0.0232175215393768","0.0205856395055584","0.0258494035731953","2"
"Married, but separated","2014","vocational + Abi","63","0.031244732324014","0.0237153265358722","0.0387741381121559","2"
"Married, but separated","2014","higher vocational","40","0.0383988456665034","0.0289744783295965","0.0478232130034103","2"
"Married, but separated","2014","higher education","168","0.0239411626675003","0.0201452633436892","0.0277370619913114","2"
"Single","2014","in school","878","0.987974226952759","0.980772509734896","0.995175944170621","3"
"Single","2014","inadequately","128","0.279076253192106","0.239916591590542","0.318235914793671","3"
"Single","2014","general elemantary","1083","0.308449420518854","0.292531657402753","0.324367183634955","3"
"Single","2014","middle vocational","2692","0.248117724004172","0.240569176740996","0.255666271267348","3"
"Single","2014","vocational + Abi","470","0.335895404819408","0.315455186282056","0.356335623356761","3"
"Single","2014","higher vocational","192","0.175605357837377","0.156944478941104","0.194266236733649","3"
"Single","2014","higher education","1141","0.283239200202202","0.272050803151867","0.294427597252537","3"
"Widowed","2014","vocational + Abi","53","0.0479025825488674","0.038660168544623","0.0571449965531118","5"
"Widowed","2014","in school","","","","","5"
"Widowed","2014","inadequately","21","","","","5"
"Widowed","2014","general elemantary","311","0.161049960866661","0.148381424444313","0.173718497289009","5"
"Widowed","2014","middle vocational","791","0.0915726168807299","0.0865319559870081","0.0966132777744517","5"
"Widowed","2014","higher vocational","64","0.0480559238908698","0.037565940119323","0.0585459076624167","5"
"Widowed","2014","higher education","212","0.0463257456059852","0.0411064090049924","0.0515450822069779","5"
"Divorced","2015","inadequately","47","0.156664460437334","0.125892785139182","0.187436135735487","4"
"Divorced","2015","vocational + Abi","213","0.0972068507187412","0.0847168267557966","0.109696874681686","4"
"Divorced","2015","in school","","","","","4"
"Divorced","2015","general elemantary","254","0.0830739966613186","0.0733694073467832","0.0927785859758539","4"
"Divorced","2015","middle vocational","1205","0.110156826790252","0.104598496972089","0.115715156608415","4"
"Divorced","2015","higher vocational","145","0.117207177878699","0.101115534385063","0.133298821372336","4"
"Divorced","2015","higher education","481","0.0897492990962575","0.0827680212572041","0.0967305769353108","4"
"Married","2015","vocational + Abi","1314","0.499205911472441","0.478124962151637","0.520286860793246","1"
"Married","2015","higher vocational","1096","0.616289397799507","0.591962420550292","0.640616375048722","1"
"Married","2015","higher education","4313","0.54065155118697","0.528479360922718","0.552823741451223","1"
"Married","2015","general elemantary","1403","0.413635401256074","0.396318499779879","0.430952302732269","1"
"Married","2015","middle vocational","7195","0.523651137327976","0.514784366982615","0.532517907673337","1"
"Married","2015","in school","4","","","","1"
"Married","2015","inadequately","294","0.436814521010417","0.39482509344292","0.478803948577914","1"
"Married, but separated","2015","in school","1","","","","2"
"Married, but separated","2015","inadequately","18","","","","2"
"Married, but separated","2015","general elemantary","71","0.0253806775321064","0.0198504044292959","0.0309109506349168","2"
"Married, but separated","2015","middle vocational","309","0.0241700664204854","0.0214435516286113","0.0268965812123595","2"
"Married, but separated","2015","vocational + Abi","64","0.0245157591865168","0.0179956703994497","0.0310358479735839","2"
"Married, but separated","2015","higher vocational","43","0.0375007425433315","0.0279965760363555","0.0470049090503076","2"
"Married, but separated","2015","higher education","166","0.0224554767811887","0.018836645862522","0.0260743076998554","2"
