"pgfamstd","year","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1993","626","0.0620891371064615","0.0579595857378551","0.066218688475068","4"
"Married","1993","8390","0.585203829775296","0.576772710632015","0.593634948918577","1"
"Married, but separated","1993","279","0.0222312196878163","0.0197082385359941","0.0247542008396386","2"
"Single","1993","3000","0.223995905420841","0.216861359724034","0.231130451117648","3"
"Widowed","1993","823","0.106479908009586","0.101201532627485","0.111758283391686","5"
"Divorced","1994","625","0.0625713087320413","0.0583891902955898","0.0667534271684927","4"
"Married","1994","8192","0.584720440352447","0.576211332991306","0.593229547713588","1"
"Married, but separated","1994","285","0.0238268141345427","0.0211932978199488","0.0264603304491365","2"
"Single","1994","2966","0.221890160137039","0.214715041883365","0.229065278390713","3"
"Widowed","1994","815","0.10699127664393","0.101653730739504","0.112328822548355","5"
"Divorced","1995","690","0.0666103453213434","0.0623736555374093","0.0708470351052775","4"
"Married","1995","8463","0.586643973826298","0.578276896645202","0.595011051007394","1"
"Married, but separated","1995","253","0.0195227116808773","0.0171719252740107","0.021873498087744","2"
"Single","1995","3078","0.219823439815445","0.212786922183388","0.226859957447503","3"
"Widowed","1995","822","0.107399529356036","0.102138701679236","0.112660357032836","5"
"Divorced","1996","680","0.0676087478794075","0.0633055177633529","0.0719119779954621","4"
"Married","1996","8206","0.579128884843025","0.570667212531618","0.587590557154432","1"
"Married, but separated","1996","290","0.023488004973527","0.020892296675885","0.026083713271169","2"
"Single","1996","3097","0.224234312877043","0.217085888166196","0.23138273758789","3"
"Widowed","1996","804","0.105540049426997","0.100274021891286","0.110806076962709","5"
"Divorced","1997","698","0.0702279402839774","0.065810485077333","0.0746453954906219","4"
"Married","1997","7980","0.572647001403559","0.564095038339181","0.581198964467936","1"
"Married, but separated","1997","298","0.0245950725849921","0.021917473998338","0.0272726711716462","2"
"Single","1997","3084","0.226763668945798","0.219524781792038","0.234002556099558","3"
"Widowed","1997","794","0.105766316781674","0.100449788287811","0.111082845275537","5"
"Divorced","1998","815","0.0708881200621144","0.0666765099276633","0.0750997301965655","4"
"Married","1998","8804","0.575890383959019","0.567780093668309","0.58400067424973","1"
"Married, but separated","1998","325","0.025404307313679","0.0228220866710081","0.02798652795635","2"
"Single","1998","3423","0.226869541899763","0.219996611997973","0.233742471801554","3"
"Widowed","1998","897","0.100947646765424","0.0960037656742113","0.105891527856636","5"
"Divorced","1999","842","0.0763396164383695","0.0718940830900751","0.0807851497866639","4"
"Married","1999","8339","0.567164934794537","0.558870082976602","0.575459786612472","1"
"Married, but separated","1999","311","0.0243428376340068","0.021762794617023","0.0269228806509907","2"
"Single","1999","3365","0.232026246090166","0.224959256149862","0.23909323603047","3"
"Widowed","1999","849","0.10012636504292","0.0951011145349287","0.105151615550912","5"
"Divorced","2000","1469","0.0712975808646407","0.0680539490374592","0.0745412126918221","4"
"Married","2000","15002","0.579599402596431","0.57337709474298","0.585821710449883","1"
"Married, but separated","2000","497","0.0211383892774984","0.0193251610909352","0.0229516174640616","2"
"Single","2000","5614","0.233714497426746","0.228379993999606","0.239049000853886","3"
"Widowed","2000","1594","0.0942501298346834","0.0905671360468804","0.0979331236224864","5"
"Divorced","2001","1383","0.0752299847462666","0.0717427896630084","0.0787171798295248","4"
"Married","2001","13513","0.569271819885939","0.562725075673748","0.575818564098131","1"
"Married, but separated","2001","461","0.0220460944423303","0.0201048111740766","0.0239873777105839","2"
"Single","2001","5181","0.240202393152198","0.23455430439836","0.245850481906036","3"
"Widowed","2001","1439","0.0932497077732659","0.0894052820118933","0.0970941335346385","5"
"Divorced","2002","1456","0.0778908078000964","0.074431790618989","0.0813498249812037","4"
"Married","2002","14308","0.565844534976308","0.559447339249093","0.572241730703523","1"
"Married, but separated","2002","466","0.0216402012128985","0.0197621891117691","0.0235182133140278","2"
"Single","2002","5422","0.243454522178265","0.237915349776676","0.248993694579853","3"
"Widowed","2002","1408","0.0911699338324324","0.0874547047099079","0.0948851629549569","5"
"Divorced","2003","1433","0.0798585046848198","0.0762920413440129","0.0834249680256267","4"
"Married","2003","13520","0.557479816906018","0.550945036694924","0.564014597117113","1"
"Married, but separated","2003","482","0.022591386840757","0.0206363299653055","0.0245464437162085","2"
"Single","2003","5367","0.248873819840334","0.243185343898753","0.254562295781914","3"
"Widowed","2003","1390","0.0911964717280711","0.0874087864184097","0.0949841570377325","5"
"Divorced","2004","1443","0.0820150448650151","0.0783588091514811","0.0856712805785491","4"
"Married","2004","13031","0.546744407736382","0.540111050271237","0.553377765201527","1"
"Married, but separated","2004","467","0.0243930050151256","0.0223373996310037","0.0264486103992475","2"
"Single","2004","5346","0.256602085982056","0.250782254605814","0.262421917358298","3"
"Widowed","2004","1348","0.0902454564014214","0.0864273816163925","0.0940635311864503","5"
"Divorced","2005","1421","0.0849189471339842","0.0811242202679466","0.0887136740000219","4"
"Married","2005","12315","0.535963205220994","0.529174418936971","0.542751991505018","1"
"Married, but separated","2005","468","0.0246675781468903","0.0225560930185567","0.0267790632752239","2"
"Single","2005","5205","0.267661705222638","0.261634757389156","0.273688653056121","3"
"Widowed","2005","1321","0.086788564275493","0.0829562125348029","0.0906209160161831","5"
"Divorced","2006","1596","0.0876880996659266","0.0839749299646207","0.0914012693672324","4"
"Married","2006","13243","0.530900144464513","0.524348627494724","0.537451661434303","1"
"Married, but separated","2006","495","0.0257791987380338","0.0236987059946482","0.0278596914814194","2"
"Single","2006","5474","0.267993949796532","0.262179312508542","0.273808587084522","3"
"Widowed","2006","1481","0.0876386073349942","0.0839263849740628","0.0913508296959256","5"
"Divorced","2007","1531","0.0887638215942512","0.0849059522216464","0.092621690966856","4"
"Married","2007","12288","0.525579330610916","0.518805801757655","0.532352859464177","1"
"Married, but separated","2007","461","0.0257224778086768","0.0235750835506932","0.0278698720666605","2"
"Single","2007","5227","0.274637856588341","0.268583448523062","0.280692264653619","3"
"Widowed","2007","1370","0.0852965133978152","0.0815075548652242","0.0890854719304062","5"
"Divorced","2008","1472","0.0902523299778552","0.0862422346865562","0.0942624252691541","4"
"Married","2008","11515","0.519347427607193","0.51235529536631","0.526339559848076","1"
"Married, but separated","2008","427","0.0237402545549835","0.0216097111699053","0.0258707979400618","2"
"Single","2008","4875","0.280373584080915","0.274087399910093","0.286659768251738","3"
"Widowed","2008","1325","0.0862864037790529","0.0823568681245039","0.0902159394336019","5"
"Divorced","2009","1414","0.0890268024119287","0.0849011914274253","0.093152413396432","4"
"Married","2009","10637","0.513958054601513","0.50671743384418","0.521198675358845","1"
"Married, but separated","2009","409","0.0243723597847166","0.0221384484815337","0.0266062710878995","2"
"Single","2009","4575","0.2871239279804","0.280569771594895","0.293678084365905","3"
"Widowed","2009","1269","0.0855188552214416","0.0814675645453932","0.08957014589749","5"
"Divorced","2010","2036","0.0921873271422173","0.0885533939918131","0.0958212602926216","4"
"Married","2010","14600","0.512752305334586","0.506473573872824","0.519031036796348","1"
"Married, but separated","2010","593","0.0253303903903297","0.0233566371518125","0.0273041436288469","2"
"Single","2010","5867","0.28534845521721","0.279675907826141","0.29102100260828","3"
"Widowed","2010","1249","0.0843815219156567","0.0808899245840144","0.087873119247299","5"
"Divorced","2011","2505","0.0911454864357263","0.0878197109501299","0.0944712619213228","4"
"Married","2011","17115","0.513799337797579","0.508023929357709","0.51957474623745","1"
"Married, but separated","2011","721","0.0235946315612791","0.021840751708032","0.0253485114145263","2"
"Single","2011","6856","0.288094014376446","0.282860943704159","0.293327085048734","3"
"Widowed","2011","1573","0.0833665298289686","0.0801722579531527","0.0865608017047846","5"
"Divorced","2012","2585","0.0922864776333415","0.088907401954677","0.095665553312006","4"
"Married","2012","16562","0.521388177112107","0.515556052678638","0.527220301545576","1"
"Married, but separated","2012","713","0.0232398396105826","0.021480842959237","0.0249988362619283","2"
"Single","2012","6785","0.284750615620987","0.279481768919064","0.290019462322909","3"
"Widowed","2012","1538","0.0783348900229824","0.0751978600124173","0.0814719200335475","5"
"Divorced","2013","2775","0.093146781070687","0.0899213123937391","0.0963722497476348","4"
"Married","2013","18193","0.515097112953931","0.509550698149164","0.520643527758697","1"
"Married, but separated","2013","792","0.023552484866759","0.02186948832869","0.025235481404828","2"
"Single","2013","7896","0.288514171806847","0.283486034764669","0.293542308849025","3"
"Widowed","2013","1534","0.0796894493017762","0.0766840096153157","0.0826948889882366","5"
"Divorced","2014","2465","0.0951844711381159","0.0917283658944058","0.098640576381826","4"
"Married","2014","16057","0.509250584076457","0.503363238225038","0.515137929927875","1"
"Married, but separated","2014","659","0.0245027200051074","0.0226819962202695","0.0263234437899454","2"
"Single","2014","7057","0.290624921588076","0.285277698843229","0.295972144332923","3"
"Widowed","2014","1460","0.0804373031922437","0.0772344037117936","0.0836402026726938","5"
"Divorced","2015","2353","0.0987841406379846","0.095250470899404","0.102317810376565","4"
"Married","2015","15732","0.499925987554459","0.494004403054018","0.505847572054899","1"
"Married, but separated","2015","683","0.0247640589840376","0.0229235679953136","0.0266045499727616","2"
"Single","2015","7221","0.295808297444962","0.29040301292407","0.301213581965855","3"
"Widowed","2015","1399","0.0807175153785569","0.077491426583947","0.0839436041731667","5"
"Divorced","2016","2285","0.098256758101441","0.0948423999321711","0.101671116270711","4"
"Married","2016","16737","0.495935650602653","0.490200536415198","0.501670764790108","1"
"Married, but separated","2016","1065","0.0256609452066307","0.0238471936689435","0.0274746967443179","2"
"Single","2016","7688","0.301423749747275","0.296160159713107","0.306687339781444","3"
"Widowed","2016","1421","0.0787228963420001","0.0756337955094357","0.0818119971745646","5"
"Divorced","2017","2560","0.100236394666438","0.0969839785213507","0.103488810811526","4"
"Married","2017","18511","0.493952973979796","0.488538361011421","0.499367586948171","1"
"Married, but separated","2017","1148","0.0263550924525647","0.0246202431783805","0.028089941726749","2"
"Single","2017","9045","0.30189649595838","0.296924644746095","0.306868347170664","3"
"Widowed","2017","1488","0.0775590429428216","0.074662268448684","0.0804558174369592","5"
"Divorced","2018","2595","0.102043724865519","0.0986511550394692","0.105436294691569","4"
"Married","2018","17035","0.4962357761951","0.490632194018145","0.501839358372056","1"
"Married, but separated","2018","1015","0.0266531011441057","0.0248479409547515","0.0284582613334599","2"
"Single","2018","8499","0.298390718498146","0.293262714364791","0.303518722631502","3"
"Widowed","2018","1439","0.0766766792971287","0.0736946177738205","0.0796587408204369","5"
"Divorced","2019","2660","0.103374349894935","0.0999347106753399","0.106813989114529","4"
"Married","2019","17238","0.503835290157105","0.498186464843174","0.509484115471036","1"
"Married, but separated","2019","861","0.0232188918379245","0.0215174375442667","0.0249203461315824","2"
"Single","2019","7950","0.295136427927033","0.289983371966995","0.300289483887071","3"
"Widowed","2019","1386","0.074435040183003","0.0714695732678471","0.0774005070981589","5"
