"pgfamstd","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Married, but separated","1985","66 and older","Couple + C. GT 16 ","","","","","2"
"Married, but separated","1985","66 and older","Couple + C. LE and GT 16","","","","","2"
"Married, but separated","1985","66 and older","Single parent ","","","","","2"
"Married, but separated","1985","66 and older","Couple + C. LE 16 ","","","","","2"
"Single","1985","16-34 y.","1-pers.-HH","263","0.898048093386836","0.863693292757196","0.932402894016477","3"
"Single","1985","35-65 y.","Couple + C. GT 16 ","19","","","","3"
"Single","1985","66 and older","(Married) couple without C. ","2","","","","3"
"Single","1985","66 and older","Single parent ","1","","","","3"
"Single","1985","66 and older","Couple + C. LE and GT 16","","","","","3"
"Single","1985","66 and older","Couple + C. LE 16 ","","","","","3"
"Single","1985","66 and older","Couple + C. GT 16 ","","","","","3"
"Single","1985","16-34 y.","(Married) couple without C. ","154","0.295112825893743","0.256392559811918","0.333833091975569","3"
"Single","1985","16-34 y.","Single parent ","212","0.848917533872863","0.805047507765405","0.892787559980322","3"
"Single","1985","16-34 y.","Couple + C. LE 16 ","30","0.0252863253977756","0.0162674374432101","0.0343052133523411","3"
"Single","1985","16-34 y.","Couple + C. GT 16 ","783","0.987828967203707","0.980263845508026","0.995394088899387","3"
"Single","1985","16-34 y.","Couple + C. LE and GT 16","566","0.973949350738589","0.961182759272238","0.98671594220494","3"
"Single","1985","35-65 y.","(Married) couple without C. ","19","","","","3"
"Single","1985","35-65 y.","Single parent ","28","","","","3"
"Single","1985","35-65 y.","Couple + C. LE 16 ","4","","","","3"
"Single","1985","35-65 y.","Couple + C. LE and GT 16","1","","","","3"
"Single","1985","66 and older","1-pers.-HH","37","0.102928971438333","0.0718829170696198","0.133975025807046","3"
"Single","1985","35-65 y.","1-pers.-HH","121","0.311235471555779","0.265691304071403","0.356779639040155","3"
"Widowed","1985","16-34 y.","Couple + C. LE and GT 16","1","","","","5"
"Widowed","1985","16-34 y.","1-pers.-HH","1","","","","5"
"Widowed","1985","16-34 y.","(Married) couple without C. ","1","","","","5"
"Widowed","1985","16-34 y.","Single parent ","1","","","","5"
"Widowed","1985","16-34 y.","Couple + C. LE 16 ","1","","","","5"
"Widowed","1985","16-34 y.","Couple + C. GT 16 ","","","","","5"
"Widowed","1985","35-65 y.","1-pers.-HH","98","0.300574772654187","0.255472362751902","0.345677182556472","5"
"Widowed","1985","35-65 y.","(Married) couple without C. ","13","","","","5"
"Widowed","1985","35-65 y.","Single parent ","80","0.390056265849523","0.322792539555942","0.457319992143103","5"
"Widowed","1985","35-65 y.","Couple + C. LE 16 ","6","","","","5"
"Widowed","1985","35-65 y.","Couple + C. GT 16 ","1","","","","5"
"Widowed","1985","35-65 y.","Couple + C. LE and GT 16","4","","","","5"
"Widowed","1985","66 and older","1-pers.-HH","302","0.831003524243376","0.79271536932628","0.869291679160472","5"
"Widowed","1985","66 and older","(Married) couple without C. ","13","","","","5"
"Widowed","1985","66 and older","Single parent ","24","","","","5"
"Widowed","1985","66 and older","Couple + C. LE 16 ","","","","","5"
"Widowed","1985","66 and older","Couple + C. GT 16 ","1","","","","5"
"Widowed","1985","66 and older","Couple + C. LE and GT 16","","","","","5"
"Divorced","1986","16-34 y.","(Married) couple without C. ","15","","","","4"
"Divorced","1986","16-34 y.","1-pers.-HH","22","","","","4"
"Divorced","1986","16-34 y.","Single parent ","16","","","","4"
"Divorced","1986","16-34 y.","Couple + C. LE 16 ","12","","","","4"
"Divorced","1986","35-65 y.","1-pers.-HH","104","0.287778284658193","0.243632013780051","0.331924555536334","4"
"Divorced","1986","35-65 y.","(Married) couple without C. ","28","","","","4"
"Divorced","1986","35-65 y.","Single parent ","71","0.312791198291541","0.25110473906707","0.374477657516012","4"
"Divorced","1986","35-65 y.","Couple + C. LE 16 ","11","","","","4"
"Divorced","1986","35-65 y.","Couple + C. LE and GT 16","2","","","","4"
"Divorced","1986","66 and older","(Married) couple without C. ","1","","","","4"
"Divorced","1986","66 and older","Single parent ","","","","","4"
"Divorced","1986","66 and older","Couple + C. LE 16 ","","","","","4"
"Divorced","1986","16-34 y.","Couple + C. GT 16 ","6","","","","4"
"Divorced","1986","16-34 y.","Couple + C. LE and GT 16","1","","","","4"
"Divorced","1986","35-65 y.","Couple + C. GT 16 ","7","","","","4"
"Divorced","1986","66 and older","1-pers.-HH","19","","","","4"
"Divorced","1986","66 and older","Couple + C. GT 16 ","","","","","4"
"Divorced","1986","66 and older","Couple + C. LE and GT 16","","","","","4"
"Married","1986","16-34 y.","1-pers.-HH","3","","","","1"
"Married","1986","16-34 y.","(Married) couple without C. ","403","0.649575552710295","0.61199053140354","0.687160574017049","1"
"Married","1986","16-34 y.","Single parent ","4","","","","1"
"Married","1986","16-34 y.","Couple + C. LE 16 ","1087","0.956164409059918","0.9442852693892","0.968043548730637","1"
"Married","1986","16-34 y.","Couple + C. GT 16 ","12","","","","1"
"Married","1986","16-34 y.","Couple + C. LE and GT 16","29","","","","1"
"Married","1986","35-65 y.","1-pers.-HH","","","","","1"
"Married","1986","35-65 y.","(Married) couple without C. ","1187","0.947388035992613","0.935085092383231","0.959690979601996","1"
"Married","1986","35-65 y.","Single parent ","9","","","","1"
"Married","1986","35-65 y.","Couple + C. LE 16 ","1219","0.98207231969449","0.974710679569725","0.989433959819255","1"
"Married","1986","35-65 y.","Couple + C. GT 16 ","1140","0.968459614332384","0.958483407475289","0.97843582118948","1"
"Married","1986","35-65 y.","Couple + C. LE and GT 16","794","0.988418216187551","0.981013319489916","0.995823112885186","1"
"Married","1986","66 and older","1-pers.-HH","","","","","1"
"Married","1986","66 and older","(Married) couple without C. ","449","0.944901315698766","0.924360259949689","0.965442371447842","1"
"Married","1986","66 and older","Single parent ","1","","","","1"
"Married","1986","66 and older","Couple + C. LE 16 ","1","","","","1"
"Married","1986","66 and older","Couple + C. GT 16 ","46","0.953806492459962","0.895034466979429","1.0125785179405","1"
"Married","1986","66 and older","Couple + C. LE and GT 16","","","","","1"
