"pgfamstd","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Widowed","1986","indirect migration background","Urban Area","1","","","","5"
"Widowed","1986","indirect migration background","Rural Area","","","","","5"
"Divorced","1987","no migration background","Urban Area","250","0.0485546512873119","0.0429655363626982","0.0541437662119256","4"
"Divorced","1987","no migration background","Rural Area","54","0.0377021062674877","0.0288360333771835","0.0465681791577919","4"
"Divorced","1987","direct migration background","Urban Area","65","0.0435937863870962","0.0355051395347924","0.0516824332394001","4"
"Divorced","1987","direct migration background","Rural Area","8","","","","4"
"Divorced","1987","indirect migration background","Urban Area","4","","","","4"
"Divorced","1987","indirect migration background","Rural Area","","","","","4"
"Married","1987","no migration background","Urban Area","3435","0.566373251124989","0.55348645091006","0.579260051339918","1"
"Married","1987","no migration background","Rural Area","1119","0.606626429960348","0.583888183167323","0.629364676753373","1"
"Married","1987","direct migration background","Urban Area","1754","0.675827558037931","0.657285908033374","0.694369208042487","1"
"Married","1987","direct migration background","Rural Area","262","0.724420486278619","0.677744276209499","0.771096696347739","1"
"Married","1987","indirect migration background","Urban Area","33","0.307724954949371","0.235063692602941","0.380386217295801","1"
"Married","1987","indirect migration background","Rural Area","6","","","","1"
"Married, but separated","1987","no migration background","Rural Area","17","","","","2"
"Married, but separated","1987","no migration background","Urban Area","89","0.0164475907113049","0.0131401992960177","0.0197549821265921","2"
"Married, but separated","1987","direct migration background","Rural Area","14","","","","2"
"Married, but separated","1987","direct migration background","Urban Area","113","0.0489898437278098","0.0404394130792263","0.0575402743763933","2"
"Married, but separated","1987","indirect migration background","Urban Area","2","","","","2"
"Married, but separated","1987","indirect migration background","Rural Area","1","","","","2"
"Single","1987","no migration background","Urban Area","1458","0.247227834014052","0.236009815442959","0.258445852585145","3"
"Single","1987","direct migration background","Urban Area","458","0.160259570221971","0.145727519579073","0.17479162086487","3"
"Single","1987","no migration background","Rural Area","439","0.234210843735539","0.214497884278857","0.253923803192222","3"
"Single","1987","direct migration background","Rural Area","60","0.162205662250614","0.123695222760826","0.200716101740402","3"
"Single","1987","indirect migration background","Urban Area","115","0.559905167111229","0.481758112413952","0.638052221808506","3"
"Single","1987","indirect migration background","Rural Area","14","","","","3"
"Widowed","1987","no migration background","Urban Area","449","0.121396672862342","0.112904173748718","0.129889171975967","5"
"Widowed","1987","no migration background","Rural Area","144","0.112229739987335","0.0975371622332931","0.126922317741376","5"
"Widowed","1987","direct migration background","Urban Area","58","0.0713292416251919","0.0611337758051439","0.08152470744524","5"
"Widowed","1987","indirect migration background","Urban Area","1","","","","5"
"Widowed","1987","direct migration background","Rural Area","8","","","","5"
"Widowed","1987","indirect migration background","Rural Area","","","","","5"
"Divorced","1988","no migration background","Rural Area","47","0.0350412810687181","0.0261927892671866","0.0438897728702496","4"
"Divorced","1988","no migration background","Urban Area","230","0.0475277195100783","0.0418586865120253","0.0531967525081314","4"
"Divorced","1988","direct migration background","Urban Area","65","0.0503211513655525","0.0414619076838443","0.0591803950472608","4"
"Divorced","1988","direct migration background","Rural Area","8","","","","4"
"Divorced","1988","indirect migration background","Urban Area","6","","","","4"
"Divorced","1988","indirect migration background","Rural Area","","","","","4"
"Married","1988","no migration background","Urban Area","3274","0.561521029861101","0.548299956302642","0.574742103419559","1"
"Married","1988","no migration background","Rural Area","1039","0.598204720638153","0.574613401214878","0.621796040061428","1"
"Married","1988","direct migration background","Urban Area","1698","0.674638531462567","0.65565173866819","0.693625324256943","1"
"Married","1988","direct migration background","Rural Area","253","0.733080696437549","0.685426628730441","0.780734764144657","1"
"Married","1988","indirect migration background","Urban Area","38","0.274101895279932","0.21133349265736","0.336870297902505","1"
"Married","1988","indirect migration background","Rural Area","7","","","","1"
"Married, but separated","1988","no migration background","Rural Area","28","","","","2"
"Married, but separated","1988","no migration background","Urban Area","114","0.0238277564368981","0.0197641267207724","0.0278913861530238","2"
"Married, but separated","1988","direct migration background","Urban Area","99","0.0439354600616643","0.0356296083218014","0.0522413118015271","2"
"Married, but separated","1988","direct migration background","Rural Area","12","","","","2"
"Married, but separated","1988","indirect migration background","Urban Area","2","","","","2"
"Married, but separated","1988","indirect migration background","Rural Area","1","","","","2"
"Single","1988","no migration background","Urban Area","1364","0.247162934626716","0.235669456010806","0.258656413242626","3"
"Single","1988","no migration background","Rural Area","413","0.239423513764728","0.218889221195632","0.259957806333824","3"
"Single","1988","direct migration background","Urban Area","417","0.159501483941514","0.144663195141143","0.174339772741884","3"
"Single","1988","direct migration background","Rural Area","51","0.150052968134532","0.111580298771674","0.188525637497389","3"
"Single","1988","indirect migration background","Urban Area","147","0.609478459685175","0.540827137880553","0.678129781489797","3"
"Single","1988","indirect migration background","Rural Area","21","","","","3"
"Widowed","1988","no migration background","Urban Area","429","0.119960559565207","0.111303316052579","0.128617803077835","5"
"Widowed","1988","no migration background","Rural Area","132","0.11043559774642","0.0953532781675624","0.125517917325278","5"
"Widowed","1988","direct migration background","Urban Area","60","0.071603373168703","0.0611545712055683","0.0820521751318377","5"
"Widowed","1988","indirect migration background","Urban Area","1","","","","5"
"Widowed","1988","direct migration background","Rural Area","7","","","","5"
"Widowed","1988","indirect migration background","Rural Area","","","","","5"
"Divorced","1989","no migration background","Urban Area","241","0.0529913252150285","0.046922996236189","0.0590596541938679","4"
"Divorced","1989","no migration background","Rural Area","49","0.0400389278659874","0.0303505345668041","0.0497273211651707","4"
"Divorced","1989","direct migration background","Urban Area","72","0.0532470350260695","0.044018794347287","0.062475275704852","4"
"Divorced","1989","direct migration background","Rural Area","9","","","","4"
"Divorced","1989","indirect migration background","Urban Area","6","","","","4"
"Divorced","1989","indirect migration background","Rural Area","","","","","4"
"Married","1989","no migration background","Urban Area","3101","0.554903766207127","0.54144127154905","0.568366260865204","1"
"Married","1989","no migration background","Rural Area","992","0.596929249379593","0.572689071545512","0.621169427213673","1"
"Married","1989","direct migration background","Urban Area","1674","0.688422317984073","0.669386852447022","0.707457783521124","1"
"Married","1989","direct migration background","Rural Area","241","0.727925012203841","0.678701692787452","0.777148331620231","1"
"Married","1989","indirect migration background","Urban Area","42","0.250712532216962","0.194205027814866","0.307220036619057","1"
"Married","1989","indirect migration background","Rural Area","7","","","","1"
"Married, but separated","1989","no migration background","Urban Area","110","0.023293173959603","0.0192072884366153","0.0273790594825906","2"
"Married, but separated","1989","direct migration background","Urban Area","79","0.0338391430671502","0.0264074586655285","0.0412708274687719","2"
"Married, but separated","1989","no migration background","Rural Area","20","","","","2"
"Married, but separated","1989","direct migration background","Rural Area","13","","","","2"
"Married, but separated","1989","indirect migration background","Urban Area","2","","","","2"
"Married, but separated","1989","indirect migration background","Rural Area","1","","","","2"
"Single","1989","no migration background","Rural Area","386","0.236980550535459","0.215966591277976","0.257994509792941","3"
"Single","1989","no migration background","Urban Area","1357","0.249292252946931","0.237573548854144","0.261010957039718","3"
"Single","1989","direct migration background","Urban Area","389","0.155142889566063","0.140262632616262","0.170023146515864","3"
"Single","1989","direct migration background","Rural Area","46","0.162545473986207","0.121736908873243","0.203354039099171","3"
"Single","1989","indirect migration background","Urban Area","175","0.649362526142564","0.587151602823952","0.711573449461176","3"
"Single","1989","indirect migration background","Rural Area","24","","","","3"
"Widowed","1989","no migration background","Urban Area","426","0.11951948167131","0.11073190809888","0.128307055243741","5"
"Widowed","1989","no migration background","Rural Area","126","0.110922129545107","0.0954031654116285","0.126441093678586","5"
"Widowed","1989","direct migration background","Urban Area","60","0.0693486143566441","0.0589070572282054","0.0797901714850829","5"
"Widowed","1989","direct migration background","Rural Area","5","","","","5"
"Widowed","1989","indirect migration background","Urban Area","1","","","","5"
"Widowed","1989","indirect migration background","Rural Area","","","","","5"
"Divorced","1990","no migration background","Urban Area","347","0.0601384217521564","0.0543866075332259","0.0658902359710869","4"
"Divorced","1990","direct migration background","Urban Area","75","0.0577782423722603","0.0481820653376289","0.0673744194068918","4"
"Divorced","1990","no migration background","Rural Area","204","0.0550678833770639","0.0482370631302004","0.0618987036239275","4"
"Divorced","1990","direct migration background","Rural Area","16","","","","4"
"Divorced","1990","indirect migration background","Urban Area","6","","","","4"
"Divorced","1990","indirect migration background","Rural Area","","","","","4"
"Married","1990","no migration background","Urban Area","4028","0.55778944275745","0.545773811630364","0.569805073884537","1"
"Married","1990","no migration background","Rural Area","2889","0.612405823509033","0.597816618150182","0.626995028867883","1"
"Married","1990","direct migration background","Urban Area","1683","0.691048351183586","0.672044614678456","0.710052087688717","1"
"Married","1990","direct migration background","Rural Area","310","0.710463134254271","0.666454213575357","0.754472054933186","1"
"Married","1990","indirect migration background","Urban Area","48","0.264717985286575","0.210987977322269","0.31844799325088","1"
"Married","1990","indirect migration background","Rural Area","8","","","","1"
"Married, but separated","1990","no migration background","Urban Area","108","0.0188318942612111","0.015543259798545","0.0221205287238772","2"
"Married, but separated","1990","no migration background","Rural Area","35","0.0109773706391565","0.00785721945264187","0.0140975218256711","2"
"Married, but separated","1990","direct migration background","Urban Area","86","0.0376808142037571","0.0298490566373257","0.0455125717701886","2"
"Married, but separated","1990","direct migration background","Rural Area","15","","","","2"
"Married, but separated","1990","indirect migration background","Urban Area","1","","","","2"
"Married, but separated","1990","indirect migration background","Rural Area","1","","","","2"
"Single","1990","no migration background","Urban Area","1560","0.246953870017926","0.236520716506275","0.257387023529577","3"
"Single","1990","no migration background","Rural Area","872","0.218097593213571","0.205731711969926","0.230463474457216","3"
"Single","1990","direct migration background","Urban Area","361","0.148762354784242","0.134126723597502","0.163397985970982","3"
"Single","1990","direct migration background","Rural Area","51","0.132736841917033","0.0998146154041626","0.165659068429903","3"
"Single","1990","indirect migration background","Urban Area","203","0.641043168323637","0.582622979182091","0.699463357465184","3"
"Single","1990","indirect migration background","Rural Area","29","","","","3"
"Widowed","1990","no migration background","Urban Area","520","0.116286371211256","0.108530741344214","0.124042001078298","5"
"Widowed","1990","no migration background","Rural Area","284","0.103451329261176","0.0943316758572062","0.112570982665145","5"
"Widowed","1990","direct migration background","Urban Area","66","0.0647302374561538","0.054610678827396","0.0748497960849116","5"
"Widowed","1990","direct migration background","Rural Area","16","","","","5"
"Widowed","1990","indirect migration background","Urban Area","1","","","","5"
"Widowed","1990","indirect migration background","Rural Area","","","","","5"
"Divorced","1991","no migration background","Urban Area","350","0.0653285362141709","0.059247921875464","0.0714091505528778","4"
"Divorced","1991","no migration background","Rural Area","196","0.0583249596935463","0.0512347944048224","0.0654151249822703","4"
"Divorced","1991","direct migration background","Urban Area","76","0.0553451960819471","0.0458508068579096","0.0648395853059847","4"
"Divorced","1991","indirect migration background","Urban Area","6","","","","4"
"Divorced","1991","direct migration background","Rural Area","15","","","","4"
"Divorced","1991","indirect migration background","Rural Area","","","","","4"
"Married","1991","no migration background","Urban Area","3920","0.557238671877611","0.545015836322478","0.569461507432744","1"
"Married","1991","no migration background","Rural Area","2797","0.60221304441085","0.587405639433368","0.617020449388333","1"
"Married","1991","direct migration background","Urban Area","1681","0.704763888512177","0.685823143492118","0.723704633532236","1"
"Married","1991","direct migration background","Rural Area","312","0.72841357951105","0.685042478140467","0.771784680881633","1"
"Married","1991","indirect migration background","Urban Area","56","0.242187013448044","0.194264967540312","0.290109059355775","1"
"Married","1991","indirect migration background","Rural Area","8","","","","1"
"Married, but separated","1991","no migration background","Urban Area","101","0.0185591586903082","0.0152380911357257","0.0218802262448907","2"
"Married, but separated","1991","no migration background","Rural Area","34","0.011480690826716","0.00825772874745071","0.0147036529059812","2"
"Married, but separated","1991","direct migration background","Urban Area","80","0.0358632628025812","0.0281420643881788","0.0435844612169836","2"
"Married, but separated","1991","direct migration background","Rural Area","13","","","","2"
"Married, but separated","1991","indirect migration background","Urban Area","2","","","","2"
"Married, but separated","1991","indirect migration background","Rural Area","1","","","","2"
"Single","1991","no migration background","Urban Area","1485","0.239353146759517","0.228853429337706","0.249852864181328","3"
"Single","1991","no migration background","Rural Area","890","0.223130875732226","0.210534883851527","0.235726867612926","3"
"Single","1991","direct migration background","Urban Area","327","0.139218672151509","0.124844406718712","0.153592937584305","3"
"Single","1991","direct migration background","Rural Area","47","0.120218799807971","0.0885062661524079","0.151931333463535","3"
"Single","1991","indirect migration background","Urban Area","242","0.672739531810061","0.620252845940128","0.725226217679995","3"
"Single","1991","indirect migration background","Rural Area","35","0.79840648154447","0.67986453288889","0.91694843020005","3"
"Widowed","1991","no migration background","Urban Area","488","0.119520486458392","0.111537832420818","0.127503140495966","5"
"Widowed","1991","no migration background","Rural Area","280","0.104850429336661","0.0955818853183564","0.114118973354966","5"
"Widowed","1991","direct migration background","Urban Area","64","0.0648089804517859","0.0545864536867069","0.0750315072168649","5"
"Widowed","1991","direct migration background","Rural Area","17","","","","5"
"Widowed","1991","indirect migration background","Urban Area","1","","","","5"
"Widowed","1991","indirect migration background","Rural Area","","","","","5"
"Divorced","1992","no migration background","Urban Area","357","0.0659655618585328","0.0598234755998778","0.0721076481171878","4"
"Divorced","1992","no migration background","Rural Area","182","0.0558290532763246","0.0486962211491086","0.0629618854035405","4"
"Divorced","1992","direct migration background","Rural Area","15","","","","4"
"Divorced","1992","direct migration background","Urban Area","69","0.0543723812127707","0.044807688531599","0.0639370738939425","4"
"Divorced","1992","indirect migration background","Urban Area","7","","","","4"
"Divorced","1992","indirect migration background","Rural Area","","","","","4"
"Married","1992","no migration background","Urban Area","3887","0.564606086373961","0.552337633798773","0.576874538949149","1"
"Married","1992","no migration background","Rural Area","2628","0.601416016394798","0.586205149306878","0.616626883482719","1"
"Married","1992","direct migration background","Urban Area","1646","0.7067649059702","0.68756198782551","0.72596782411489","1"
"Married","1992","direct migration background","Rural Area","306","0.725272485201756","0.681473573156361","0.769071397247151","1"
"Married","1992","indirect migration background","Urban Area","64","0.212039421803108","0.16939901993513","0.254679823671086","1"
"Married","1992","indirect migration background","Rural Area","12","","","","1"
"Married, but separated","1992","no migration background","Urban Area","110","0.0199884988930619","0.0165252674940688","0.0234517302920551","2"
"Married, but separated","1992","no migration background","Rural Area","34","0.0107138556244474","0.00751539938556394","0.0139123118633308","2"
"Married, but separated","1992","direct migration background","Urban Area","75","0.034633193023096","0.0269203548811937","0.0423460311649983","2"
"Married, but separated","1992","direct migration background","Rural Area","16","","","","2"
"Married, but separated","1992","indirect migration background","Rural Area","2","","","","2"
"Married, but separated","1992","indirect migration background","Urban Area","2","","","","2"
"Single","1992","no migration background","Rural Area","868","0.225458590620658","0.212475972889787","0.238441208351529","3"
"Single","1992","no migration background","Urban Area","1458","0.233199441348227","0.222735849352032","0.243663033344422","3"
"Single","1992","direct migration background","Urban Area","303","0.139738203228469","0.125113243946015","0.154363162510922","3"
"Single","1992","direct migration background","Rural Area","40","0.1053640719296","0.0752387925058752","0.135489351353324","3"
"Single","1992","indirect migration background","Urban Area","279","0.710902864495731","0.663610855375107","0.758194873616355","3"
"Single","1992","indirect migration background","Rural Area","43","0.761617788053222","0.651002252798312","0.872233323308132","3"
"Widowed","1992","no migration background","Urban Area","462","0.116240411526218","0.108309529811419","0.124171293241016","5"
"Widowed","1992","no migration background","Rural Area","268","0.106582484083772","0.096995617017818","0.116169351149725","5"
"Widowed","1992","direct migration background","Urban Area","66","0.0644913165654642","0.0541304446977414","0.0748521884331871","5"
"Widowed","1992","direct migration background","Rural Area","22","","","","5"
"Widowed","1992","indirect migration background","Urban Area","1","","","","5"
"Widowed","1992","indirect migration background","Rural Area","","","","","5"
"Divorced","1993","no migration background","Rural Area","186","0.0600335709418158","0.0525991430006619","0.0674679988829696","4"
"Divorced","1993","no migration background","Urban Area","350","0.0656516385487878","0.059505003641215","0.0717982734563606","4"
"Divorced","1993","direct migration background","Urban Area","66","0.0489046618291179","0.0396562741259187","0.0581530495323172","4"
"Divorced","1993","direct migration background","Rural Area","18","","","","4"
"Divorced","1993","indirect migration background","Urban Area","6","","","","4"
"Divorced","1993","indirect migration background","Rural Area","","","","","4"
"Married","1993","no migration background","Urban Area","3863","0.569255831984182","0.556966630451243","0.58154503351712","1"
"Married","1993","no migration background","Rural Area","2537","0.593428708881319","0.578056123027567","0.608801294735071","1"
"Married","1993","direct migration background","Urban Area","1591","0.701165380549236","0.681536092066769","0.720794669031703","1"
"Married","1993","direct migration background","Rural Area","305","0.715726359447589","0.671355827094895","0.760096891800283","1"
"Married","1993","indirect migration background","Urban Area","81","0.212598774601174","0.1725532187405","0.252644330461848","1"
"Married","1993","indirect migration background","Rural Area","13","","","","1"
"Married, but separated","1993","no migration background","Urban Area","121","0.0221331138013724","0.0184820338152152","0.0257841937875297","2"
"Married, but separated","1993","no migration background","Rural Area","54","0.0156618402679558","0.0117759739812306","0.019547706554681","2"
"Married, but separated","1993","direct migration background","Urban Area","80","0.040496452752806","0.0320434569177273","0.0489494485878846","2"
"Married, but separated","1993","direct migration background","Rural Area","14","","","","2"
"Married, but separated","1993","indirect migration background","Urban Area","6","","","","2"
"Married, but separated","1993","indirect migration background","Rural Area","4","","","","2"
"Single","1993","no migration background","Urban Area","1450","0.229586484712597","0.219149012682155","0.240023956743038","3"
"Single","1993","no migration background","Rural Area","866","0.216692496877939","0.203798653914241","0.229586339841637","3"
"Single","1993","direct migration background","Urban Area","287","0.147571193668411","0.132361911229733","0.16278047610709","3"
"Single","1993","direct migration background","Rural Area","35","0.0937621938114761","0.0650882251823125","0.12243616244064","3"
"Single","1993","indirect migration background","Urban Area","307","0.714056869282188","0.669830413289276","0.758283325275099","3"
"Single","1993","indirect migration background","Rural Area","55","0.747006417192505","0.646591378060361","0.847421456324649","3"
"Widowed","1993","no migration background","Urban Area","453","0.113372930953062","0.105504549621514","0.12124131228461","5"
"Widowed","1993","no migration background","Rural Area","279","0.11418338303097","0.104230070043959","0.124136696017981","5"
"Widowed","1993","direct migration background","Urban Area","65","0.0618623112004287","0.0515317186329019","0.0721929037679556","5"
"Widowed","1993","direct migration background","Rural Area","25","","","","5"
"Widowed","1993","indirect migration background","Urban Area","1","","","","5"
"Widowed","1993","indirect migration background","Rural Area","","","","","5"
"Divorced","1994","no migration background","Urban Area","347","0.065261881466441","0.059094550454201","0.071429212478681","4"
"Divorced","1994","direct migration background","Urban Area","66","0.0517495421341554","0.0420167748525121","0.0614823094157987","4"
"Divorced","1994","no migration background","Rural Area","185","0.0603687604276261","0.052861144984646","0.0678763758706062","4"
"Divorced","1994","indirect migration background","Urban Area","7","","","","4"
"Divorced","1994","direct migration background","Rural Area","20","","","","4"
"Divorced","1994","indirect migration background","Rural Area","","","","","4"
"Married","1994","no migration background","Urban Area","3771","0.566761089044162","0.554387769540323","0.579134408548002","1"
"Married","1994","no migration background","Rural Area","2493","0.59801126270398","0.582555914622412","0.613466610785547","1"
"Married","1994","direct migration background","Urban Area","1537","0.706603860671866","0.686598943700316","0.726608777643415","1"
"Married","1994","direct migration background","Rural Area","286","0.700660879933818","0.654184815082352","0.747136944785283","1"
"Married","1994","indirect migration background","Urban Area","89","0.188980773869511","0.151716767180259","0.226244780558763","1"
"Married","1994","indirect migration background","Rural Area","16","","","","1"
"Married, but separated","1994","no migration background","Urban Area","132","0.0234181353560429","0.0196419529008461","0.0271943178112397","2"
"Married, but separated","1994","direct migration background","Urban Area","69","0.0428875931031972","0.0339859769582757","0.0517892092481187","2"
"Married, but separated","1994","no migration background","Rural Area","63","0.0175870189710403","0.013443585897058","0.0217304520450225","2"
"Married, but separated","1994","indirect migration background","Urban Area","11","","","","2"
"Married, but separated","1994","direct migration background","Rural Area","10","","","","2"
"Married, but separated","1994","indirect migration background","Rural Area","","","","","2"
"Single","1994","no migration background","Urban Area","1459","0.229976282897495","0.219468379714656","0.240484186080335","3"
"Single","1994","no migration background","Rural Area","856","0.211764423878557","0.198885734075584","0.224643113681531","3"
"Single","1994","direct migration background","Urban Area","247","0.130997087351069","0.116173169876265","0.145821004825872","3"
"Single","1994","indirect migration background","Urban Area","316","0.713759675467931","0.670736092548545","0.756783258387317","3"
"Single","1994","direct migration background","Rural Area","35","0.0924184049884105","0.0630273111291739","0.121809498847647","3"
"Single","1994","indirect migration background","Rural Area","53","0.795109776922507","0.699874530438483","0.89034502340653","3"
"Widowed","1994","no migration background","Urban Area","452","0.114582611235859","0.10662915551346","0.122536066958257","5"
"Widowed","1994","no migration background","Rural Area","269","0.112268534018797","0.102317069497891","0.122219998539702","5"
"Widowed","1994","direct migration background","Urban Area","71","0.0677619167397131","0.0567191521454532","0.078804681333973","5"
"Widowed","1994","direct migration background","Rural Area","22","","","","5"
"Widowed","1994","indirect migration background","Urban Area","1","","","","5"
"Widowed","1994","indirect migration background","Rural Area","","","","","5"
"Divorced","1995","no migration background","Urban Area","369","0.0709593778872992","0.0644986218047523","0.077420133969846","4"
"Divorced","1995","direct migration background","Urban Area","74","0.0510623255171384","0.0421396525172646","0.0599849985170122","4"
"Divorced","1995","no migration background","Rural Area","217","0.0654910914761935","0.0577555643441093","0.0732266186082776","4"
"Divorced","1995","direct migration background","Rural Area","21","","","","4"
"Divorced","1995","indirect migration background","Urban Area","9","","","","4"
"Divorced","1995","indirect migration background","Rural Area","","","","","4"
"Married","1995","no migration background","Urban Area","3672","0.563332326373727","0.550852200904562","0.575812451842892","1"
"Married","1995","no migration background","Rural Area","2528","0.602957561531258","0.587658354757811","0.618256768304704","1"
"Married","1995","direct migration background","Urban Area","1799","0.699724271145131","0.681144112334835","0.718304429955426","1"
"Married","1995","direct migration background","Rural Area","346","0.679248099839018","0.636731705103584","0.721764494574452","1"
"Married","1995","indirect migration background","Urban Area","102","0.212767495554697","0.174307643246262","0.251227347863132","1"
"Married","1995","indirect migration background","Rural Area","16","","","","1"
"Married, but separated","1995","no migration background","Urban Area","128","0.0195161945249006","0.0160353960892592","0.022996992960542","2"
"Married, but separated","1995","no migration background","Rural Area","49","0.0157248923475046","0.0118348066568618","0.0196149780381475","2"
"Married, but separated","1995","direct migration background","Urban Area","66","0.0323178595280621","0.025149603724966","0.0394861153311582","2"
"Married, but separated","1995","direct migration background","Rural Area","7","","","","2"
"Married, but separated","1995","indirect migration background","Rural Area","","","","","2"
"Married, but separated","1995","indirect migration background","Urban Area","3","","","","2"
"Single","1995","no migration background","Rural Area","870","0.20252832191294","0.189962017014846","0.215094626811033","3"
"Single","1995","no migration background","Urban Area","1456","0.228848985796304","0.218278247848862","0.239419723743746","3"
"Single","1995","direct migration background","Urban Area","313","0.154539439214985","0.139887598783193","0.169191279646777","3"
"Single","1995","direct migration background","Rural Area","61","0.139972259262355","0.108368786221177","0.171575732303532","3"
"Single","1995","indirect migration background","Urban Area","320","0.716081272157187","0.673709010977949","0.758453533336425","3"
"Single","1995","indirect migration background","Rural Area","58","0.833723872861806","0.748892147504594","0.918555598219018","3"
"Widowed","1995","no migration background","Urban Area","442","0.117343115417769","0.109244964664347","0.125441266171191","5"
"Widowed","1995","no migration background","Rural Area","265","0.113298132732104","0.10338736577328","0.123208899690929","5"
"Widowed","1995","direct migration background","Urban Area","86","0.0623561045946841","0.0525547908527959","0.0721574183365724","5"
