"pgfamstd","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"3","1984","Not Employed","Single parent ","82","0.406807014414408","0.337681329750297","0.475932699078519"
"3","1984","Not Employed","Couple + C. LE 16 ","7","","",""
"3","1984","Not Employed","Couple + C. GT 16 ","255","0.401869813001065","0.36257474432765","0.441164881674479"
"3","1984","Not Employed","Couple + C. LE and GT 16","262","0.504057501267079","0.461611166933584","0.546503835600575"
"3","1984","Employed","1-pers.-HH","327","0.582084897606567","0.541876073691037","0.622293721522097"
"3","1984","Employed","(Married) couple without C. ","156","0.114746281406497","0.0976496460835782","0.131842916729416"
"3","1984","Employed","Single parent ","140","0.487712338564673","0.43038055077327","0.545044126356077"
"3","1984","Employed","Couple + C. LE 16 ","28","","",""
"3","1984","Employed","Couple + C. GT 16 ","421","0.38028904084173","0.352059070713632","0.408519010969827"
"3","1984","Employed","Couple + C. LE and GT 16","318","0.352071407370017","0.322454186929342","0.381688627810693"
"4","1984","Not Employed","1-pers.-HH","44","0.0713779651064472","0.0493971214604292","0.0933588087524653"
"4","1984","Not Employed","(Married) couple without C. ","9","","",""
"4","1984","Not Employed","Single parent ","30","0.150665699249972","0.100327954570127","0.201003443929818"
"4","1984","Not Employed","Couple + C. LE 16 ","4","","",""
"4","1984","Not Employed","Couple + C. GT 16 ","4","","",""
"4","1984","Not Employed","Couple + C. LE and GT 16","","","",""
"4","1984","Employed","1-pers.-HH","97","0.18551593997852","0.153826389254807","0.217205490702234"
"4","1984","Employed","(Married) couple without C. ","29","","",""
"4","1984","Employed","Single parent ","61","0.21578890063275","0.168605666170768","0.262972135094731"
"4","1984","Employed","Couple + C. LE 16 ","21","","",""
"4","1984","Employed","Couple + C. GT 16 ","7","","",""
"4","1984","Employed","Couple + C. LE and GT 16","8","","",""
"5","1984","Not Employed","1-pers.-HH","360","0.738880893497785","0.701379334091822","0.776382452903748"
"5","1984","Not Employed","(Married) couple without C. ","18","","",""
"5","1984","Not Employed","Single parent ","66","0.365182277477866","0.297429579520462","0.43293497543527"
"5","1984","Not Employed","Couple + C. LE 16 ","2","","",""
"5","1984","Not Employed","Couple + C. GT 16 ","","","",""
"5","1984","Not Employed","Couple + C. LE and GT 16","3","","",""
"5","1984","Employed","1-pers.-HH","58","0.131467536191581","0.103919765336763","0.159015307046399"
"5","1984","Employed","(Married) couple without C. ","6","","",""
"5","1984","Employed","Single parent ","48","0.16788937062296","0.125018845752313","0.210759895493607"
"5","1984","Employed","Couple + C. LE 16 ","6","","",""
"5","1984","Employed","Couple + C. GT 16 ","","","",""
"5","1984","Employed","Couple + C. LE and GT 16","3","","",""
"6","1984","Not Employed","1-pers.-HH","3","","",""
"6","1984","Not Employed","(Married) couple without C. ","","","",""
"6","1984","Not Employed","Single parent ","1","","",""
"6","1984","Not Employed","Couple + C. LE 16 ","","","",""
"6","1984","Not Employed","Couple + C. GT 16 ","","","",""
"6","1984","Not Employed","Couple + C. LE and GT 16","2","","",""
"6","1984","Employed","1-pers.-HH","53","0.0329108606560125","0.0183667542001637","0.0474549671118612"
"6","1984","Employed","(Married) couple without C. ","3","","",""
"6","1984","Employed","Single parent ","12","","",""
"6","1984","Employed","Couple + C. LE 16 ","1","","",""
"6","1984","Employed","Couple + C. GT 16 ","3","","",""
"6","1984","Employed","Couple + C. LE and GT 16","5","","",""
"7","1984","Not Employed","1-pers.-HH","","","",""
"7","1984","Not Employed","(Married) couple without C. ","","","",""
"7","1984","Not Employed","Single parent ","","","",""
"7","1984","Not Employed","Couple + C. LE 16 ","","","",""
"7","1984","Not Employed","Couple + C. GT 16 ","","","",""
"7","1984","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1984","Employed","1-pers.-HH","","","",""
"7","1984","Employed","(Married) couple without C. ","","","",""
"7","1984","Employed","Single parent ","","","",""
"7","1984","Employed","Couple + C. LE 16 ","","","",""
"7","1984","Employed","Couple + C. GT 16 ","","","",""
"7","1984","Employed","Couple + C. LE and GT 16","","","",""
"8","1984","Not Employed","1-pers.-HH","","","",""
"8","1984","Not Employed","(Married) couple without C. ","","","",""
"8","1984","Not Employed","Single parent ","","","",""
"8","1984","Not Employed","Couple + C. LE 16 ","","","",""
"8","1984","Not Employed","Couple + C. GT 16 ","","","",""
"8","1984","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1984","Employed","1-pers.-HH","","","",""
"8","1984","Employed","(Married) couple without C. ","","","",""
"8","1984","Employed","Single parent ","","","",""
"8","1984","Employed","Couple + C. LE 16 ","","","",""
"8","1984","Employed","Couple + C. GT 16 ","","","",""
"8","1984","Employed","Couple + C. LE and GT 16","","","",""
"1","1985","Not Employed","1-pers.-HH","2","","",""
"1","1985","Not Employed","(Married) couple without C. ","900","0.946662192054445","0.932425561337788","0.960898822771103"
"1","1985","Not Employed","Single parent ","4","","",""
"1","1985","Not Employed","Couple + C. LE 16 ","710","0.972224662179623","0.960304019983378","0.984145304375868"
"1","1985","Not Employed","Couple + C. GT 16 ","336","0.518721932894344","0.480340345037005","0.557103520751683"
"1","1985","Not Employed","Couple + C. LE and GT 16","254","0.486022438406063","0.442430855268891","0.529614021543236"
"1","1985","Employed","1-pers.-HH","9","","",""
"1","1985","Employed","(Married) couple without C. ","1022","0.835369671657212","0.814653316935316","0.856086026379109"
"1","1985","Employed","Single parent ","7","","",""
"1","1985","Employed","Couple + C. LE 16 ","1697","0.961695338623756","0.952733652929583","0.970657024317929"
"1","1985","Employed","Couple + C. GT 16 ","743","0.583036506235736","0.555736078827319","0.610336933644152"
"1","1985","Employed","Couple + C. LE and GT 16","579","0.595470841504068","0.563599960547595","0.62734172246054"
"2","1985","Not Employed","1-pers.-HH","8","","",""
"2","1985","Not Employed","(Married) couple without C. ","4","","",""
"2","1985","Not Employed","Single parent ","10","","",""
"2","1985","Not Employed","Couple + C. LE 16 ","6","","",""
"2","1985","Not Employed","Couple + C. GT 16 ","2","","",""
"2","1985","Not Employed","Couple + C. LE and GT 16","","","",""
"2","1985","Employed","1-pers.-HH","34","0.0548732729513002","0.0358926273595528","0.0738539185430477"
"2","1985","Employed","(Married) couple without C. ","18","","",""
"2","1985","Employed","Single parent ","18","","",""
"2","1985","Employed","Couple + C. LE 16 ","14","","",""
"2","1985","Employed","Couple + C. GT 16 ","5","","",""
"2","1985","Employed","Couple + C. LE and GT 16","1","","",""
"3","1985","Not Employed","1-pers.-HH","96","0.156385682135253","0.124862251969803","0.187909112300704"
"3","1985","Not Employed","(Married) couple without C. ","27","","",""
"3","1985","Not Employed","Single parent ","89","0.45105466960141","0.380113829349994","0.521995509852826"
"3","1985","Not Employed","Couple + C. LE 16 ","7","","",""
"3","1985","Not Employed","Couple + C. GT 16 ","310","0.473088511946632","0.434735662862315","0.511441361030949"
"3","1985","Not Employed","Couple + C. LE and GT 16","244","0.502278883025271","0.458670709677113","0.545887056373429"
"3","1985","Employed","1-pers.-HH","325","0.621601094828093","0.581179229918891","0.662022959737294"
"3","1985","Employed","(Married) couple without C. ","148","0.117295637527182","0.0993206900076223","0.135270585046741"
"3","1985","Employed","Single parent ","152","0.539070645999246","0.48209169478342","0.596049597215073"
"3","1985","Employed","Couple + C. LE 16 ","27","","",""
"3","1985","Employed","Couple + C. GT 16 ","492","0.406649946464001","0.379451856360854","0.433848036567147"
"3","1985","Employed","Couple + C. LE and GT 16","323","0.394570717276831","0.362832462689749","0.426308971863913"
"4","1985","Not Employed","1-pers.-HH","39","0.0688914651885937","0.0469105450960076","0.0908723852811798"
"4","1985","Not Employed","(Married) couple without C. ","6","","",""
"4","1985","Not Employed","Single parent ","17","","",""
"4","1985","Not Employed","Couple + C. LE 16 ","3","","",""
"4","1985","Not Employed","Couple + C. GT 16 ","2","","",""
"4","1985","Not Employed","Couple + C. LE and GT 16","1","","",""
"4","1985","Employed","1-pers.-HH","103","0.20360768585198","0.170045816741415","0.237169554962546"
"4","1985","Employed","(Married) couple without C. ","31","0.0257731586482302","0.0169213313215789","0.0346249859748815"
"4","1985","Employed","Single parent ","69","0.234053770474572","0.185655327742702","0.282452213206441"
"4","1985","Employed","Couple + C. LE 16 ","18","","",""
"4","1985","Employed","Couple + C. GT 16 ","7","","",""
"4","1985","Employed","Couple + C. LE and GT 16","5","","",""
"5","1985","Not Employed","1-pers.-HH","362","0.758014265172719","0.720843921651194","0.795184608694244"
"5","1985","Not Employed","(Married) couple without C. ","20","","",""
"5","1985","Not Employed","Single parent ","68","0.401399068995561","0.33151566303916","0.471282474951962"
"5","1985","Not Employed","Couple + C. LE 16 ","4","","",""
"5","1985","Not Employed","Couple + C. GT 16 ","1","","",""
"5","1985","Not Employed","Couple + C. LE and GT 16","3","","",""
"5","1985","Employed","1-pers.-HH","39","0.0846752507428096","0.0614718642668662","0.107878637218753"
"5","1985","Employed","(Married) couple without C. ","7","","",""
"5","1985","Employed","Single parent ","37","0.122993963554997","0.0854519453726485","0.160535981737346"
"5","1985","Employed","Couple + C. LE 16 ","3","","",""
"5","1985","Employed","Couple + C. GT 16 ","1","","",""
"5","1985","Employed","Couple + C. LE and GT 16","2","","",""
"6","1985","Not Employed","1-pers.-HH","3","","",""
"6","1985","Not Employed","(Married) couple without C. ","","","",""
"6","1985","Not Employed","Single parent ","1","","",""
"6","1985","Not Employed","Couple + C. LE 16 ","","","",""
"6","1985","Not Employed","Couple + C. GT 16 ","","","",""
"6","1985","Not Employed","Couple + C. LE and GT 16","3","","",""
"6","1985","Employed","1-pers.-HH","43","0.0288439470975635","0.0148944875689585","0.0427934066261685"
"6","1985","Employed","(Married) couple without C. ","5","","",""
"6","1985","Employed","Single parent ","11","","",""
"6","1985","Employed","Couple + C. LE 16 ","3","","",""
"6","1985","Employed","Couple + C. GT 16 ","5","","",""
"6","1985","Employed","Couple + C. LE and GT 16","1","","",""
"7","1985","Not Employed","1-pers.-HH","","","",""
"7","1985","Not Employed","(Married) couple without C. ","","","",""
"7","1985","Not Employed","Single parent ","","","",""
"7","1985","Not Employed","Couple + C. LE 16 ","","","",""
"7","1985","Not Employed","Couple + C. GT 16 ","","","",""
"7","1985","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1985","Employed","1-pers.-HH","","","",""
"7","1985","Employed","(Married) couple without C. ","","","",""
"7","1985","Employed","Single parent ","","","",""
"7","1985","Employed","Couple + C. LE 16 ","","","",""
"7","1985","Employed","Couple + C. GT 16 ","","","",""
"7","1985","Employed","Couple + C. LE and GT 16","","","",""
"8","1985","Not Employed","1-pers.-HH","","","",""
"8","1985","Not Employed","(Married) couple without C. ","","","",""
"8","1985","Not Employed","Single parent ","","","",""
"8","1985","Not Employed","Couple + C. LE 16 ","","","",""
"8","1985","Not Employed","Couple + C. GT 16 ","","","",""
"8","1985","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1985","Employed","1-pers.-HH","","","",""
"8","1985","Employed","(Married) couple without C. ","","","",""
"8","1985","Employed","Single parent ","","","",""
"8","1985","Employed","Couple + C. LE 16 ","","","",""
"8","1985","Employed","Couple + C. GT 16 ","","","",""
"8","1985","Employed","Couple + C. LE and GT 16","","","",""
"1","1986","Not Employed","1-pers.-HH","","","",""
"1","1986","Not Employed","(Married) couple without C. ","934","0.938219530360316","0.923319901115374","0.953119159605258"
"1","1986","Not Employed","Single parent ","5","","",""
"1","1986","Not Employed","Couple + C. LE 16 ","647","0.970338714022616","0.957473514459201","0.983203913586032"
"1","1986","Not Employed","Couple + C. GT 16 ","376","0.584350064523289","0.547577497133864","0.621122631912714"
"1","1986","Not Employed","Couple + C. LE and GT 16","256","0.540400902343698","0.496047714667526","0.584754090019869"
"1","1986","Employed","1-pers.-HH","3","","",""
"1","1986","Employed","(Married) couple without C. ","1105","0.830628156957845","0.81065703910316","0.85059927481253"
"1","1986","Employed","Single parent ","9","","",""
"1","1986","Employed","Couple + C. LE 16 ","1660","0.969365186193098","0.961225965035561","0.977504407350636"
"1","1986","Employed","Couple + C. GT 16 ","822","0.584769239049442","0.558929572370182","0.610608905728703"
"1","1986","Employed","Couple + C. LE and GT 16","567","0.61713909021215","0.58524004344556","0.64903813697874"
"2","1986","Not Employed","1-pers.-HH","13","","",""
"2","1986","Not Employed","(Married) couple without C. ","14","","",""
"2","1986","Not Employed","Single parent ","15","","",""
"2","1986","Not Employed","Couple + C. LE 16 ","6","","",""
"2","1986","Not Employed","Couple + C. GT 16 ","3","","",""
"2","1986","Not Employed","Couple + C. LE and GT 16","1","","",""
"2","1986","Employed","1-pers.-HH","48","0.0775187714883363","0.0555658222769848","0.0994717206996879"
"2","1986","Employed","(Married) couple without C. ","14","","",""
"2","1986","Employed","Single parent ","33","0.0979917393203468","0.0645162628390886","0.131467215801605"
"2","1986","Employed","Couple + C. LE 16 ","10","","",""
"2","1986","Employed","Couple + C. GT 16 ","8","","",""
"2","1986","Employed","Couple + C. LE and GT 16","5","","",""
"3","1986","Not Employed","1-pers.-HH","109","0.172833908631493","0.140241710134515","0.205426107128471"
"3","1986","Not Employed","(Married) couple without C. ","27","","",""
"3","1986","Not Employed","Single parent ","84","0.412080814663816","0.342093181864975","0.482068447462657"
"3","1986","Not Employed","Couple + C. LE 16 ","8","","",""
"3","1986","Not Employed","Couple + C. GT 16 ","305","0.407287707492539","0.370627394865479","0.443948020119599"
"3","1986","Not Employed","Couple + C. LE and GT 16","223","0.450359481110812","0.406080639851346","0.494638322370278"
"3","1986","Employed","1-pers.-HH","337","0.621745030362687","0.581933474924261","0.661556585801114"
"3","1986","Employed","(Married) couple without C. ","194","0.132274145423554","0.114235364071954","0.150312926775155"
"3","1986","Employed","Single parent ","152","0.531018533132847","0.474828478227726","0.587208588037967"
"3","1986","Employed","Couple + C. LE 16 ","31","0.0150667593950933","0.00931309082755983","0.0208204279626267"
"3","1986","Employed","Couple + C. GT 16 ","546","0.400323725228349","0.374630774374818","0.426016676081881"
"3","1986","Employed","Couple + C. LE and GT 16","311","0.369486432079563","0.337811759831804","0.401161104327322"
"4","1986","Not Employed","1-pers.-HH","44","0.0777283768505394","0.0546491082290786","0.100807645472"
"4","1986","Not Employed","(Married) couple without C. ","5","","",""
"4","1986","Not Employed","Single parent ","19","","",""
"4","1986","Not Employed","Couple + C. LE 16 ","4","","",""
"4","1986","Not Employed","Couple + C. GT 16 ","2","","",""
"4","1986","Not Employed","Couple + C. LE and GT 16","","","",""
"4","1986","Employed","1-pers.-HH","101","0.197630517629483","0.164939768836891","0.230321266422076"
"4","1986","Employed","(Married) couple without C. ","39","0.0260432917016712","0.0175632847613625","0.0345232986419799"
"4","1986","Employed","Single parent ","68","0.220295486293166","0.173630128461059","0.266960844125273"
"4","1986","Employed","Couple + C. LE 16 ","19","","",""
"4","1986","Employed","Couple + C. GT 16 ","11","","",""
"4","1986","Employed","Couple + C. LE and GT 16","3","","",""
"5","1986","Not Employed","1-pers.-HH","349","0.729524842171149","0.691234737498243","0.767814946844055"
"5","1986","Not Employed","(Married) couple without C. ","23","","",""
"5","1986","Not Employed","Single parent ","66","0.386478802362989","0.317240100606383","0.455717504119595"
"5","1986","Not Employed","Couple + C. LE 16 ","3","","",""
"5","1986","Not Employed","Couple + C. GT 16 ","3","","",""
"5","1986","Not Employed","Couple + C. LE and GT 16","2","","",""
"5","1986","Employed","1-pers.-HH","35","0.0740036179813181","0.0525133523125577","0.0954938836500784"
"5","1986","Employed","(Married) couple without C. ","2","","",""
"5","1986","Employed","Single parent ","35","0.110865756575649","0.0755141498153131","0.146217363335984"
"5","1986","Employed","Couple + C. LE 16 ","2","","",""
"5","1986","Employed","Couple + C. GT 16 ","5","","",""
"5","1986","Employed","Couple + C. LE and GT 16","1","","",""
"6","1986","Not Employed","1-pers.-HH","2","","",""
"6","1986","Not Employed","(Married) couple without C. ","","","",""
"6","1986","Not Employed","Single parent ","1","","",""
"6","1986","Not Employed","Couple + C. LE 16 ","","","",""
"6","1986","Not Employed","Couple + C. GT 16 ","1","","",""
"6","1986","Not Employed","Couple + C. LE and GT 16","3","","",""
"6","1986","Employed","1-pers.-HH","46","0.0245493897132365","0.0118455894854361","0.0372531899410369"
"6","1986","Employed","(Married) couple without C. ","1","","",""
"6","1986","Employed","Single parent ","6","","",""
"6","1986","Employed","Couple + C. LE 16 ","","","",""
"6","1986","Employed","Couple + C. GT 16 ","5","","",""
"6","1986","Employed","Couple + C. LE and GT 16","5","","",""
"7","1986","Not Employed","1-pers.-HH","","","",""
"7","1986","Not Employed","(Married) couple without C. ","","","",""
"7","1986","Not Employed","Single parent ","","","",""
"7","1986","Not Employed","Couple + C. LE 16 ","","","",""
"7","1986","Not Employed","Couple + C. GT 16 ","","","",""
"7","1986","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1986","Employed","1-pers.-HH","","","",""
"7","1986","Employed","(Married) couple without C. ","","","",""
"7","1986","Employed","Single parent ","","","",""
"7","1986","Employed","Couple + C. LE 16 ","","","",""
"7","1986","Employed","Couple + C. GT 16 ","","","",""
"7","1986","Employed","Couple + C. LE and GT 16","","","",""
"8","1986","Not Employed","1-pers.-HH","","","",""
"8","1986","Not Employed","(Married) couple without C. ","","","",""
"8","1986","Not Employed","Single parent ","","","",""
"8","1986","Not Employed","Couple + C. LE 16 ","","","",""
"8","1986","Not Employed","Couple + C. GT 16 ","","","",""
"8","1986","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1986","Employed","1-pers.-HH","","","",""
"8","1986","Employed","(Married) couple without C. ","","","",""
"8","1986","Employed","Single parent ","","","",""
"8","1986","Employed","Couple + C. LE 16 ","","","",""
"8","1986","Employed","Couple + C. GT 16 ","","","",""
"8","1986","Employed","Couple + C. LE and GT 16","","","",""
"1","1987","Not Employed","1-pers.-HH","","","",""
"1","1987","Not Employed","(Married) couple without C. ","924","0.943136455657114","0.928696234392928","0.9575766769213"
"1","1987","Not Employed","Single parent ","3","","",""
"1","1987","Not Employed","Couple + C. LE 16 ","617","0.973365764261593","0.960842447042591","0.985889081480595"
"1","1987","Not Employed","Couple + C. GT 16 ","405","0.626107593669176","0.590417840164863","0.66179734717349"
"1","1987","Not Employed","Couple + C. LE and GT 16","228","0.609319167424954","0.562878480495117","0.65575985435479"
"1","1987","Employed","1-pers.-HH","","","",""
"1","1987","Employed","(Married) couple without C. ","1080","0.817249873198768","0.796672747154768","0.837826999242767"
"1","1987","Employed","Single parent ","5","","",""
"1","1987","Employed","Couple + C. LE 16 ","1670","0.972304410053409","0.96455376309023","0.980055057016587"
"1","1987","Employed","Couple + C. GT 16 ","842","0.591996765967529","0.566691822689579","0.617301709245479"
"1","1987","Employed","Couple + C. LE and GT 16","511","0.605823507404379","0.57263834012158","0.639008674687178"
"2","1987","Not Employed","1-pers.-HH","6","","",""
"2","1987","Not Employed","(Married) couple without C. ","6","","",""
"2","1987","Not Employed","Single parent ","7","","",""
"2","1987","Not Employed","Couple + C. LE 16 ","5","","",""
"2","1987","Not Employed","Couple + C. GT 16 ","2","","",""
"2","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"2","1987","Employed","1-pers.-HH","48","0.0784085003163069","0.0564367339404151","0.100380266692199"
"2","1987","Employed","(Married) couple without C. ","11","","",""
"2","1987","Employed","Single parent ","31","0.0911395081712584","0.0598493064211095","0.122429709921407"
"2","1987","Employed","Couple + C. LE 16 ","8","","",""
"2","1987","Employed","Couple + C. GT 16 ","10","","",""
"2","1987","Employed","Couple + C. LE and GT 16","6","","",""
"3","1987","Not Employed","1-pers.-HH","98","0.162424811424829","0.130445012522388","0.194404610327269"
"3","1987","Not Employed","(Married) couple without C. ","20","","",""
"3","1987","Not Employed","Single parent ","86","0.411666752873115","0.340750330265601","0.48258317548063"
"3","1987","Not Employed","Couple + C. LE 16 ","4","","",""
"3","1987","Not Employed","Couple + C. GT 16 ","293","0.365476569940391","0.329954411888812","0.400998727991969"
"3","1987","Not Employed","Couple + C. LE and GT 16","194","0.385874252093569","0.339538446707614","0.432210057479524"
"3","1987","Employed","1-pers.-HH","336","0.619388387940211","0.57970244393867","0.659074331941753"
"3","1987","Employed","(Married) couple without C. ","222","0.151316147900875","0.132235458973681","0.170396836828069"
"3","1987","Employed","Single parent ","169","0.536001356947073","0.481782830473223","0.590219883420924"
"3","1987","Employed","Couple + C. LE 16 ","24","","",""
"3","1987","Employed","Couple + C. GT 16 ","573","0.390527416559509","0.365407583460114","0.415647249658904"
"3","1987","Employed","Couple + C. LE and GT 16","305","0.382042650884749","0.349046691071901","0.415038610697597"
"4","1987","Not Employed","1-pers.-HH","46","0.0835339915012257","0.0595441466818434","0.107523836320608"
"4","1987","Not Employed","(Married) couple without C. ","9","","",""
"4","1987","Not Employed","Single parent ","19","","",""
"4","1987","Not Employed","Couple + C. LE 16 ","6","","",""
"4","1987","Not Employed","Couple + C. GT 16 ","2","","",""
"4","1987","Not Employed","Couple + C. LE and GT 16","1","","",""
"4","1987","Employed","1-pers.-HH","107","0.199349693173113","0.166695166604296","0.23200421974193"
"4","1987","Employed","(Married) couple without C. ","36","0.0223445686438781","0.0144748838168436","0.0302142534709125"
"4","1987","Employed","Single parent ","73","0.218247867278288","0.173340669880853","0.263155064675724"
"4","1987","Employed","Couple + C. LE 16 ","19","","",""
"4","1987","Employed","Couple + C. GT 16 ","14","","",""
"4","1987","Employed","Couple + C. LE and GT 16","5","","",""
"5","1987","Not Employed","1-pers.-HH","360","0.7443038463104","0.706479200481759","0.782128492139041"
"5","1987","Not Employed","(Married) couple without C. ","29","","",""
"5","1987","Not Employed","Single parent ","70","0.442758692412035","0.371182692099423","0.514334692724647"
"5","1987","Not Employed","Couple + C. LE 16 ","2","","",""
"5","1987","Not Employed","Couple + C. GT 16 ","4","","",""
"5","1987","Not Employed","Couple + C. LE and GT 16","1","","",""
"5","1987","Employed","1-pers.-HH","41","0.0772836061870953","0.0554567103219419","0.0991105020522488"
"5","1987","Employed","(Married) couple without C. ","5","","",""
"5","1987","Employed","Single parent ","40","0.12652462011156","0.0903820305656236","0.162667209657496"
"5","1987","Employed","Couple + C. LE 16 ","1","","",""
"5","1987","Employed","Couple + C. GT 16 ","5","","",""
"5","1987","Employed","Couple + C. LE and GT 16","1","","",""
"6","1987","Not Employed","1-pers.-HH","1","","",""
"6","1987","Not Employed","(Married) couple without C. ","","","",""
"6","1987","Not Employed","Single parent ","","","",""
"6","1987","Not Employed","Couple + C. LE 16 ","1","","",""
"6","1987","Not Employed","Couple + C. GT 16 ","","","",""
"6","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"6","1987","Employed","1-pers.-HH","43","0.0255698123832735","0.0126679232899454","0.0384717014766016"
"6","1987","Employed","(Married) couple without C. ","1","","",""
"6","1987","Employed","Single parent ","7","","",""
"6","1987","Employed","Couple + C. LE 16 ","","","",""
"6","1987","Employed","Couple + C. GT 16 ","5","","",""
"6","1987","Employed","Couple + C. LE and GT 16","5","","",""
"7","1987","Not Employed","1-pers.-HH","","","",""
"7","1987","Not Employed","(Married) couple without C. ","","","",""
"7","1987","Not Employed","Single parent ","","","",""
"7","1987","Not Employed","Couple + C. LE 16 ","","","",""
"7","1987","Not Employed","Couple + C. GT 16 ","","","",""
"7","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"7","1987","Employed","1-pers.-HH","","","",""
"7","1987","Employed","(Married) couple without C. ","","","",""
"7","1987","Employed","Single parent ","","","",""
"7","1987","Employed","Couple + C. LE 16 ","","","",""
"7","1987","Employed","Couple + C. GT 16 ","","","",""
"7","1987","Employed","Couple + C. LE and GT 16","","","",""
"8","1987","Not Employed","1-pers.-HH","","","",""
"8","1987","Not Employed","(Married) couple without C. ","","","",""
"8","1987","Not Employed","Single parent ","","","",""
"8","1987","Not Employed","Couple + C. LE 16 ","","","",""
"8","1987","Not Employed","Couple + C. GT 16 ","","","",""
"8","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"8","1987","Employed","1-pers.-HH","","","",""
"8","1987","Employed","(Married) couple without C. ","","","",""
"8","1987","Employed","Single parent ","","","",""
"8","1987","Employed","Couple + C. LE 16 ","","","",""
"8","1987","Employed","Couple + C. GT 16 ","","","",""
"8","1987","Employed","Couple + C. LE and GT 16","","","",""
"1","1988","Not Employed","1-pers.-HH","","","",""
"1","1988","Not Employed","(Married) couple without C. ","886","0.937930182062714","0.922562845851743","0.953297518273685"
"1","1988","Not Employed","Single parent ","5","","",""
"1","1988","Not Employed","Couple + C. LE 16 ","559","0.974442619923095","0.961521293996498","0.987363945849692"
"1","1988","Not Employed","Couple + C. GT 16 ","424","0.611840206474424","0.576268496793582","0.647411916155266"
"1","1988","Not Employed","Couple + C. LE and GT 16","201","0.565586041383033","0.514664841774372","0.616507240991694"
"1","1988","Employed","1-pers.-HH","","","",""
"1","1988","Employed","(Married) couple without C. ","1050","0.798375354437888","0.77688551493486","0.819865193940917"
"1","1988","Employed","Single parent ","8","","",""
"1","1988","Employed","Couple + C. LE 16 ","1602","0.968418978037733","0.959990967419463","0.976846988656003"
"1","1988","Employed","Couple + C. GT 16 ","839","0.57483804662063","0.549710935747493","0.599965157493767"
"1","1988","Employed","Couple + C. LE and GT 16","451","0.64187245877276","0.606924471116043","0.676820446429478"
"2","1988","Not Employed","1-pers.-HH","15","","",""
"2","1988","Not Employed","(Married) couple without C. ","8","","",""
"2","1988","Not Employed","Single parent ","10","","",""
"2","1988","Not Employed","Couple + C. LE 16 ","5","","",""
"2","1988","Not Employed","Couple + C. GT 16 ","2","","",""
"2","1988","Not Employed","Couple + C. LE and GT 16","1","","",""
"2","1988","Employed","1-pers.-HH","50","0.0831845450954155","0.0597616944954283","0.106607395695403"
"2","1988","Employed","(Married) couple without C. ","16","","",""
"2","1988","Employed","Single parent ","36","0.103174409780079","0.0704045874533437","0.135944232106815"
"2","1988","Employed","Couple + C. LE 16 ","18","","",""
"2","1988","Employed","Couple + C. GT 16 ","8","","",""
