"pgfamstd","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Single","1985","Couple + C. LE 16 ","34","0.0130944456960639","0.00863115238409222","0.0175577390080355","3"
"Single","1985","Couple + C. GT 16 ","802","0.430756969121262","0.408514672076461","0.452999266166062","3"
"Single","1985","Couple + C. LE and GT 16","567","0.431896034140309","0.406096017685138","0.45769605059548","3"
"Widowed","1985","1-pers.-HH","401","0.478480311456998","0.448450759735222","0.508509863178774","5"
"Widowed","1985","(Married) couple without C. ","27","","","","5"
"Widowed","1985","Single parent ","105","0.237052323227839","0.1991257145155","0.274978931940178","5"
"Widowed","1985","Couple + C. LE 16 ","7","","","","5"
"Widowed","1985","Couple + C. GT 16 ","2","","","","5"
"Widowed","1985","Couple + C. LE and GT 16","5","","","","5"
"Divorced","1986","1-pers.-HH","145","0.127599587617963","0.107765332936603","0.147433842299323","4"
"Divorced","1986","(Married) couple without C. ","44","0.0146520174731412","0.00980226335541736","0.0195017715908651","4"
"Divorced","1986","Single parent ","87","0.170013350448364","0.136854329600614","0.203172371296114","4"
"Divorced","1986","Couple + C. LE 16 ","23","","","","4"
"Divorced","1986","Couple + C. GT 16 ","13","","","","4"
"Divorced","1986","Couple + C. LE and GT 16","3","","","","4"
"Married","1986","1-pers.-HH","3","","","","1"
"Married","1986","(Married) couple without C. ","2039","0.884811965530755","0.871926344098691","0.897697586962819","1"
"Married","1986","Single parent ","14","","","","1"
"Married","1986","Couple + C. LE 16 ","2307","0.969639949871742","0.96276126153081","0.976518638212674","1"
"Married","1986","Couple + C. GT 16 ","1198","0.584626185724487","0.563484210690912","0.605768160758062","1"
"Married","1986","Couple + C. LE and GT 16","823","0.591410751638235","0.565446895393812","0.617374607882657","1"
"Married, but separated","1986","(Married) couple without C. ","29","","","","2"
"Married, but separated","1986","1-pers.-HH","109","0.0540839363454817","0.0406379159446596","0.0675299567463039","2"
"Married, but separated","1986","Couple + C. LE 16 ","16","","","","2"
"Married, but separated","1986","Single parent ","55","0.0978505457337507","0.0716237337521574","0.124077357715344","2"
"Married, but separated","1986","Couple + C. GT 16 ","17","","","","2"
"Married, but separated","1986","Couple + C. LE and GT 16","14","","","","2"
"Single","1986","1-pers.-HH","446","0.359550684681153","0.331023707030067","0.388077662332238","3"
"Single","1986","(Married) couple without C. ","221","0.0752495854258356","0.0646022603506079","0.0858969105010633","3"
"Single","1986","Single parent ","236","0.482578462366995","0.438469092852999","0.526687831880991","3"
"Single","1986","Couple + C. LE 16 ","39","0.0138107491684307","0.00913191242679679","0.0184895859100646","3"
"Single","1986","Couple + C. GT 16 ","851","0.402700350609101","0.381658981238075","0.423741719980127","3"
"Single","1986","Couple + C. LE and GT 16","534","0.396601083138925","0.370762997580379","0.422439168697471","3"
"Widowed","1986","1-pers.-HH","384","0.456872186249334","0.427259234387881","0.486485138110787","5"
"Widowed","1986","(Married) couple without C. ","25","","","","5"
"Widowed","1986","Single parent ","101","0.223115391206122","0.186364518603578","0.259866263808665","5"
"Widowed","1986","Couple + C. LE 16 ","5","","","","5"
"Widowed","1986","Couple + C. GT 16 ","8","","","","5"
"Widowed","1986","Couple + C. LE and GT 16","3","","","","5"
"Divorced","1987","(Married) couple without C. ","45","0.0151512216592885","0.0102050344741006","0.0200974088444763","4"
"Divorced","1987","1-pers.-HH","153","0.133002352881609","0.112806053503456","0.153198652259762","4"
"Divorced","1987","Single parent ","92","0.178256954223131","0.145040424139874","0.211473484306388","4"
"Divorced","1987","Couple + C. LE 16 ","25","","","","4"
"Divorced","1987","Couple + C. GT 16 ","16","","","","4"
"Divorced","1987","Couple + C. LE and GT 16","6","","","","4"
"Married","1987","1-pers.-HH","","","","","1"
"Married","1987","(Married) couple without C. ","2004","0.879729322936186","0.866558395451825","0.892900250420547","1"
"Married","1987","Single parent ","8","","","","1"
"Married","1987","Couple + C. LE 16 ","2287","0.972590923976286","0.965999479414488","0.979182368538083","1"
"Married","1987","Couple + C. GT 16 ","1247","0.60325201397539","0.582596728132015","0.623907299818765","1"
"Married","1987","Couple + C. LE and GT 16","739","0.606880537521679","0.579878637192347","0.633882437851011","1"
"Married, but separated","1987","(Married) couple without C. ","18","","","","2"
"Married, but separated","1987","1-pers.-HH","98","0.0499904934254474","0.0370294231401748","0.06295156371072","2"
"Married, but separated","1987","Single parent ","45","0.0739439908178522","0.0512331573296046","0.0966548243060998","2"
"Married, but separated","1987","Couple + C. LE 16 ","14","","","","2"
"Married, but separated","1987","Couple + C. GT 16 ","17","","","","2"
"Married, but separated","1987","Couple + C. LE and GT 16","11","","","","2"
"Single","1987","1-pers.-HH","434","0.357607666723478","0.329101635041444","0.386113698405512","3"
"Single","1987","(Married) couple without C. ","242","0.0829578219585451","0.0717895682104794","0.0941260757066109","3"
"Single","1987","Single parent ","255","0.491701658482266","0.448313303380039","0.535090013584494","3"
"Single","1987","Couple + C. LE 16 ","28","","","","3"
"Single","1987","Couple + C. GT 16 ","866","0.382261610347734","0.361744930002763","0.402778290692706","3"
"Single","1987","Couple + C. LE and GT 16","499","0.383201264094091","0.356325200738481","0.4100773274497","3"
"Widowed","1987","1-pers.-HH","401","0.459399486969466","0.42976027463183","0.489038699307101","5"
"Widowed","1987","(Married) couple without C. ","34","0.0161318482910112","0.0110306469813349","0.0212330496006875","5"
"Widowed","1987","Single parent ","110","0.23919698635705","0.20217352943099","0.27622044328311","5"
"Widowed","1987","Couple + C. GT 16 ","9","","","","5"
"Widowed","1987","Couple + C. LE 16 ","3","","","","5"
"Widowed","1987","Couple + C. LE and GT 16","2","","","","5"
"Divorced","1988","(Married) couple without C. ","52","0.0180577623115716","0.0125991165112378","0.0235164081119054","4"
"Divorced","1988","1-pers.-HH","143","0.12628332293797","0.10606630827502","0.14650033760092","4"
"Divorced","1988","Single parent ","93","0.187405733665863","0.153268797012416","0.22154267031931","4"
"Divorced","1988","Couple + C. LE 16 ","12","","","","4"
"Divorced","1988","Couple + C. GT 16 ","15","","","","4"
"Divorced","1988","Couple + C. LE and GT 16","6","","","","4"
"Married","1988","1-pers.-HH","","","","","1"
"Married","1988","(Married) couple without C. ","1936","0.866140908584652","0.852182748014202","0.880099069155103","1"
"Married","1988","Single parent ","13","","","","1"
"Married","1988","Couple + C. LE 16 ","2161","0.969915939353217","0.962821415414032","0.977010463292401","1"
"Married","1988","Couple + C. GT 16 ","1263","0.587301135036823","0.566766092168839","0.607836177904806","1"
"Married","1988","Couple + C. LE and GT 16","652","0.617328940251281","0.588435154572361","0.646222725930201","1"
"Married, but separated","1988","1-pers.-HH","99","0.0597684836879185","0.0453402810188931","0.0741966863569439","2"
"Married, but separated","1988","(Married) couple without C. ","25","","","","2"
"Married, but separated","1988","Single parent ","53","0.0951336686519701","0.0694678235194262","0.120799513784514","2"
"Married, but separated","1988","Couple + C. LE 16 ","23","","","","2"
"Married, but separated","1988","Couple + C. LE and GT 16","13","","","","2"
"Married, but separated","1988","Couple + C. GT 16 ","16","","","","2"
"Single","1988","(Married) couple without C. ","238","0.0861366419973749","0.074635404313746","0.0976378796810038","3"
"Single","1988","1-pers.-HH","403","0.360661081749718","0.33143477593823","0.389887387561207","3"
"Single","1988","Single parent ","234","0.469708859047812","0.426050461210535","0.513367256885089","3"
"Single","1988","Couple + C. LE 16 ","28","","","","3"
"Single","1988","Couple + C. LE and GT 16","413","0.363395463333631","0.334802581187024","0.391988345480237","3"
"Single","1988","Couple + C. GT 16 ","909","0.399227078605543","0.378799648809","0.419654508402086","3"
"Widowed","1988","1-pers.-HH","392","0.453287111624393","0.422988337717692","0.483585885531094","5"
"Widowed","1988","(Married) couple without C. ","35","0.0196705420626508","0.0139780272621125","0.025363056863189","5"
"Widowed","1988","Couple + C. GT 16 ","5","","","","5"
"Widowed","1988","Single parent ","109","0.22887282937616","0.192122913053246","0.265622745699075","5"
"Widowed","1988","Couple + C. LE 16 ","3","","","","5"
"Widowed","1988","Couple + C. LE and GT 16","3","","","","5"
"Divorced","1989","1-pers.-HH","156","0.141772927613711","0.12052210848263","0.163023746744792","4"
"Divorced","1989","(Married) couple without C. ","61","0.0212296032537768","0.0152839788030701","0.0271752277044836","4"
"Divorced","1989","Single parent ","91","0.199647221855498","0.16339271394401","0.235901729766986","4"
"Divorced","1989","Couple + C. LE 16 ","23","","","","4"
"Divorced","1989","Couple + C. GT 16 ","11","","","","4"
"Divorced","1989","Couple + C. LE and GT 16","5","","","","4"
"Married","1989","1-pers.-HH","3","","","","1"
"Married","1989","(Married) couple without C. ","1853","0.856985181449053","0.842545310957819","0.871425051940288","1"
"Married","1989","Single parent ","16","","","","1"
"Married","1989","Couple + C. LE 16 ","2052","0.956696977912904","0.9480794378762","0.965314517949609","1"
"Married","1989","Couple + C. GT 16 ","1241","0.591847872985447","0.571048486714787","0.612647259256108","1"
"Married","1989","Couple + C. LE and GT 16","592","0.614119667820782","0.583749839302159","0.644489496339405","1"
"Married, but separated","1989","1-pers.-HH","84","0.0549075523482911","0.0410294174497819","0.0687856872468002","2"
"Married, but separated","1989","(Married) couple without C. ","27","","","","2"
"Married, but separated","1989","Single parent ","40","0.0807743150679653","0.0560606379584563","0.105487992177474","2"
"Married, but separated","1989","Couple + C. GT 16 ","11","","","","2"
"Married, but separated","1989","Couple + C. LE 16 ","30","0.0163855897869827","0.0110105648202134","0.0217606147537519","2"
"Married, but separated","1989","Couple + C. LE and GT 16","9","","","","2"
"Single","1989","(Married) couple without C. ","287","0.0946618583548061","0.0825870834357836","0.106736633273829","3"
"Single","1989","1-pers.-HH","403","0.35822565794585","0.329014589946831","0.387436725944869","3"
"Single","1989","Single parent ","208","0.450864065233854","0.4057354098146","0.495992720653108","3"
"Single","1989","Couple + C. LE 16 ","36","0.0161904381859816","0.010846987243451","0.0215338891285122","3"
"Single","1989","Couple + C. GT 16 ","877","0.39628771649915","0.375588459609058","0.416986973389241","3"
"Single","1989","Couple + C. LE and GT 16","380","0.376455001237471","0.34622905187857","0.406680950596372","3"
"Widowed","1989","1-pers.-HH","389","0.442789896464796","0.412528688599393","0.4730511043302","5"
"Widowed","1989","(Married) couple without C. ","30","0.0164224811599132","0.0111803267969373","0.021664635522889","5"
"Widowed","1989","Single parent ","112","0.252196658947857","0.212809648727769","0.291583669167944","5"
"Widowed","1989","Couple + C. LE 16 ","2","","","","5"
"Widowed","1989","Couple + C. GT 16 ","5","","","","5"
"Widowed","1989","Couple + C. LE and GT 16","1","","","","5"
"Divorced","1990","1-pers.-HH","223","0.151209722827917","0.132013751568773","0.170405694087061","4"
"Divorced","1990","(Married) couple without C. ","95","0.029012364109385","0.0232552490685855","0.0347694791501846","4"
"Divorced","1990","Single parent ","172","0.2449294176226","0.21191994823436","0.277938887010841","4"
"Divorced","1990","Couple + C. LE 16 ","68","0.0209967354348212","0.0162936600398379","0.0256998108298044","4"
"Divorced","1990","Couple + C. GT 16 ","35","0.0109279605356019","0.00713889193604494","0.0147170291351588","4"
"Divorced","1990","Couple + C. LE and GT 16","14","","","","4"
"Married","1990","1-pers.-HH","4","","","","1"
"Married","1990","(Married) couple without C. ","2733","0.843170456965793","0.830697250034355","0.855643663897231","1"
"Married","1990","Single parent ","11","","","","1"
"Married","1990","Couple + C. LE 16 ","3363","0.937679896110204","0.929750221444349","0.945609570776058","1"
"Married","1990","Couple + C. GT 16 ","1681","0.594990531933984","0.577099451749375","0.612881612118592","1"
"Married","1990","Couple + C. LE and GT 16","734","0.616048535646958","0.588634020489274","0.643463050804642","1"
"Married, but separated","1990","1-pers.-HH","83","0.0430531992072001","0.0321772631379481","0.0539291352764521","2"
"Married, but separated","1990","(Married) couple without C. ","30","0.0088238835894852","0.00561605024439971","0.0120317169345707","2"
"Married, but separated","1990","Single parent ","39","0.0609888135923178","0.0426198451199988","0.0793577820646369","2"
"Married, but separated","1990","Couple + C. LE 16 ","37","0.0121326718002786","0.00854145586968266","0.0157238877308746","2"
"Married, but separated","1990","Couple + C. GT 16 ","17","","","","2"
"Married, but separated","1990","Couple + C. LE and GT 16","12","","","","2"
"Single","1990","1-pers.-HH","473","0.35211817705726","0.326525709910149","0.377710644204371","3"
"Single","1990","(Married) couple without C. ","346","0.0992971726580762","0.0890391016120253","0.109555243704127","3"
"Single","1990","Single parent ","303","0.466855064661673","0.428560426138024","0.505149703185321","3"
"Single","1990","Couple + C. LE 16 ","92","0.0276736268988798","0.0222927500014797","0.0330545037962799","3"
"Single","1990","Couple + C. GT 16 ","1149","0.384846668179278","0.367113574738236","0.40257976162032","3"
"Single","1990","Couple + C. LE and GT 16","447","0.360553931744227","0.333488060021398","0.387619803467057","3"
"Widowed","1990","1-pers.-HH","555","0.450299520944332","0.423641136021013","0.476957905867651","5"
"Widowed","1990","(Married) couple without C. ","61","0.0196961226772604","0.0149298681730367","0.0244623771814841","5"
"Widowed","1990","Single parent ","127","0.210650087595956","0.179350407575381","0.241949767616532","5"
"Widowed","1990","Couple + C. LE 16 ","10","","","","5"
"Widowed","1990","Couple + C. GT 16 ","10","","","","5"
"Widowed","1990","Couple + C. LE and GT 16","2","","","","5"
"Divorced","1991","1-pers.-HH","234","0.166211838499929","0.146091093663568","0.186332583336291","4"
"Divorced","1991","(Married) couple without C. ","88","0.0266754535100355","0.0211168452065095","0.0322340618135614","4"
"Divorced","1991","Couple + C. LE 16 ","52","0.0170146383478911","0.0127042094760294","0.0213250672197528","4"
"Divorced","1991","Single parent ","167","0.246297688532403","0.213226151109518","0.279369225955289","4"
"Divorced","1991","Couple + C. GT 16 ","40","0.0146657997819991","0.0102203380524017","0.0191112615115965","4"
"Divorced","1991","Couple + C. LE and GT 16","17","","","","4"
"Married","1991","1-pers.-HH","4","","","","1"
"Married","1991","(Married) couple without C. ","2690","0.843187320889982","0.830643381438664","0.8557312603413","1"
"Married","1991","Single parent ","12","","","","1"
"Married","1991","Couple + C. LE 16 ","3269","0.939965538777917","0.932047969517951","0.947883108037882","1"
"Married","1991","Couple + C. GT 16 ","1644","0.596935819001753","0.578796409555441","0.615075228448066","1"
"Married","1991","Couple + C. LE and GT 16","738","0.627196240637622","0.600006703344424","0.654385777930819","1"
"Married, but separated","1991","1-pers.-HH","78","0.0416530169933168","0.0308543577667571","0.0524516762198764","2"
"Married, but separated","1991","(Married) couple without C. ","23","","","","2"
"Married, but separated","1991","Single parent ","45","0.0695013162751975","0.0499813667843389","0.0890212657660561","2"
"Married, but separated","1991","Couple + C. LE 16 ","33","0.0105675866454277","0.00715945335076784","0.0139757199400875","2"
"Married, but separated","1991","Couple + C. LE and GT 16","8","","","","2"
"Married, but separated","1991","Couple + C. GT 16 ","14","","","","2"
"Single","1991","(Married) couple without C. ","359","0.100805146218913","0.0904191158940769","0.11119117654375","3"
"Single","1991","1-pers.-HH","477","0.344195693046498","0.318516873066076","0.369874513026919","3"
"Single","1991","Couple + C. LE 16 ","91","0.0300918849865089","0.0243977784349088","0.0357859915381091","3"
"Single","1991","Single parent ","303","0.464504430980811","0.426222206591366","0.502786655370256","3"
"Single","1991","Couple + C. GT 16 ","1100","0.379248131463818","0.361305217940661","0.397191044986974","3"
"Single","1991","Couple + C. LE and GT 16","451","0.352755014683837","0.32588728950685","0.379622739860824","3"
"Widowed","1991","1-pers.-HH","522","0.445804832887174","0.418939701564759","0.472669964209588","5"
"Widowed","1991","(Married) couple without C. ","68","0.022005240977116","0.0169445169353149","0.0270659650189171","5"
"Widowed","1991","Single parent ","125","0.206593293295745","0.175516919532655","0.237669667058834","5"
"Widowed","1991","Couple + C. LE 16 ","13","","","","5"
"Widowed","1991","Couple + C. GT 16 ","11","","","","5"
"Widowed","1991","Couple + C. LE and GT 16","1","","","","5"
"Divorced","1992","1-pers.-HH","234","0.162974268495387","0.143019390762288","0.182929146228486","4"
"Divorced","1992","(Married) couple without C. ","97","0.0308107060549517","0.0248987127706705","0.036722699339233","4"
"Divorced","1992","Single parent ","159","0.260869283059546","0.22674279236415","0.294995773754943","4"
"Divorced","1992","Couple + C. LE 16 ","42","0.0137933581768309","0.00981161304322231","0.0177751033104395","4"
"Divorced","1992","Couple + C. GT 16 ","35","0.0108440410491283","0.00696539600149188","0.0147226860967648","4"
"Divorced","1992","Couple + C. LE and GT 16","12","","","","4"
"Married","1992","1-pers.-HH","3","","","","1"
"Married","1992","(Married) couple without C. ","2701","0.83261442191018","0.819842396159105","0.845386447661254","1"
"Married","1992","Single parent ","16","","","","1"
"Married","1992","Couple + C. LE 16 ","3109","0.944502832418352","0.936686706791382","0.952318958045323","1"
"Married","1992","Couple + C. LE and GT 16","717","0.62656607989552","0.598729913863546","0.654402245927494","1"
"Married","1992","Couple + C. GT 16 ","1621","0.614204435880028","0.595974415081838","0.632434456678219","1"
"Married, but separated","1992","1-pers.-HH","73","0.042458282372945","0.0315644620248098","0.0533521027210801","2"
"Married, but separated","1992","(Married) couple without C. ","28","","","","2"
"Married, but separated","1992","Single parent ","50","0.0700968851150168","0.0502547800787852","0.0899389901512485","2"
"Married, but separated","1992","Couple + C. LE 16 ","33","0.00990649567673488","0.00652543766567792","0.0132875536877918","2"
"Married, but separated","1992","Couple + C. GT 16 ","18","","","","2"
"Married, but separated","1992","Couple + C. LE and GT 16","6","","","","2"
"Single","1992","(Married) couple without C. ","392","0.106706298470278","0.0961436952486283","0.117268901691928","3"
"Single","1992","1-pers.-HH","497","0.35422697415706","0.328386474246023","0.380067474068097","3"
"Single","1992","Single parent ","288","0.442732901189975","0.404129805503721","0.48133599687623","3"
"Single","1992","Couple + C. LE 16 ","104","0.0305106197202077","0.0246390863689018","0.0363821530715137","3"
"Single","1992","Couple + C. GT 16 ","1058","0.36490916804645","0.346880552237191","0.382937783855709","3"
"Single","1992","Couple + C. LE and GT 16","421","0.361593314805526","0.333944405382306","0.389242224228747","3"
"Widowed","1992","1-pers.-HH","509","0.438500235133181","0.411691282274467","0.465309187991894","5"
"Widowed","1992","(Married) couple without C. ","64","0.0200026128728731","0.0152126226556934","0.0247926030900528","5"
"Widowed","1992","Single parent ","123","0.207210510902576","0.175710959726409","0.238710062078743","5"
"Widowed","1992","Couple + C. LE 16 ","8","","","","5"
"Widowed","1992","Couple + C. GT 16 ","7","","","","5"
"Widowed","1992","Couple + C. LE and GT 16","4","","","","5"
"Divorced","1993","1-pers.-HH","244","0.166712942713469","0.147055218917581","0.186370666509356","4"
"Divorced","1993","(Married) couple without C. ","85","0.0263219441125217","0.0208861591594186","0.0317577290656247","4"
"Divorced","1993","Single parent ","153","0.270056866000779","0.234619489675815","0.305494242325743","4"
"Divorced","1993","Couple + C. LE 16 ","42","0.0126107469937507","0.00869589082315937","0.0165256031643419","4"
"Divorced","1993","Couple + C. GT 16 ","27","","","","4"
"Divorced","1993","Couple + C. LE and GT 16","19","","","","4"
"Married","1993","1-pers.-HH","5","","","","1"
"Married","1993","(Married) couple without C. ","2734","0.843321335298902","0.830979007707454","0.855663662890349","1"
"Married","1993","Single parent ","6","","","","1"
"Married","1993","Couple + C. LE 16 ","2936","0.944526609981845","0.936495960712854","0.952557259250836","1"
"Married","1993","Couple + C. GT 16 ","1542","0.622467207426443","0.603804864253731","0.641129550599155","1"
"Married","1993","Couple + C. LE and GT 16","719","0.598532149209115","0.570634033291676","0.626430265126554","1"
"Married, but separated","1993","1-pers.-HH","91","0.055068144307503","0.04303714455768","0.0670991440573259","2"
"Married, but separated","1993","Single parent ","55","0.0727788752197664","0.0520448432700118","0.093512907169521","2"
"Married, but separated","1993","(Married) couple without C. ","26","","","","2"
"Married, but separated","1993","Couple + C. GT 16 ","27","","","","2"
"Married, but separated","1993","Couple + C. LE 16 ","37","0.0107206990031615","0.0071076635823208","0.0143337344240022","2"
"Married, but separated","1993","Couple + C. LE and GT 16","6","","","","2"
"Single","1993","1-pers.-HH","523","0.349885284185633","0.324731166496159","0.375039401875107","3"
"Single","1993","(Married) couple without C. ","425","0.103444461017878","0.0931040497030384","0.113784872332718","3"
"Single","1993","Single parent ","274","0.43762595317274","0.398029744453355","0.477222161892125","3"
"Single","1993","Couple + C. LE 16 ","98","0.0308084857594736","0.0247461332641797","0.0368708382547676","3"
"Single","1993","Couple + C. GT 16 ","990","0.356978782485228","0.338534386136939","0.375423178833516","3"
"Single","1993","Couple + C. LE and GT 16","439","0.382824517317774","0.35516083739755","0.410488197237997","3"
"Widowed","1993","1-pers.-HH","518","0.425594288204522","0.399517234463448","0.451671341945597","5"
"Widowed","1993","(Married) couple without C. ","62","0.0195333664148244","0.0148344193517864","0.0242323134778625","5"
"Widowed","1993","Single parent ","115","0.207971763419556","0.175577959092578","0.240365567746533","5"
"Widowed","1993","Couple + C. LE 16 ","8","","","","5"
"Widowed","1993","Couple + C. GT 16 ","6","","","","5"
"Widowed","1993","Couple + C. LE and GT 16","3","","","","5"
"Divorced","1994","1-pers.-HH","237","0.166191876742824","0.1465374021234","0.185846351362247","4"
"Divorced","1994","Single parent ","135","0.252667300587519","0.217025342945648","0.28830925822939","4"
"Divorced","1994","(Married) couple without C. ","88","0.0264910482124236","0.0210946935786521","0.0318874028461951","4"
"Divorced","1994","Couple + C. LE 16 ","49","0.0146132542868447","0.0103370127223804","0.0188894958513091","4"
"Divorced","1994","Couple + C. GT 16 ","35","0.011314806278724","0.0071377679378522","0.0154918446195958","4"
"Divorced","1994","Couple + C. LE and GT 16","22","","","","4"
"Married","1994","1-pers.-HH","4","","","","1"
"Married","1994","(Married) couple without C. ","2771","0.83958094452094","0.827248754714075","0.851913134327804","1"
"Married","1994","Single parent ","4","","","","1"
"Married","1994","Couple + C. LE 16 ","2830","0.943075859031878","0.934819150418967","0.951332567644789","1"
"Married","1994","Couple + C. GT 16 ","1456","0.621999963716813","0.602850483705818","0.641149443727808","1"
"Married","1994","Couple + C. LE and GT 16","706","0.598999904104152","0.571024472009945","0.626975336198359","1"
"Married, but separated","1994","(Married) couple without C. ","35","0.00985986376642738","0.00653966008904598","0.0131800674438088","2"
"Married, but separated","1994","1-pers.-HH","94","0.0571848387146081","0.0449252130008007","0.0694444644284155","2"
"Married, but separated","1994","Single parent ","56","0.0927371054026938","0.0689455201896244","0.116528690615763","2"
"Married, but separated","1994","Couple + C. LE 16 ","37","0.0107744467567239","0.00709544026309808","0.0144534532503497","2"
"Married, but separated","1994","Couple + C. GT 16 ","23","","","","2"
"Married, but separated","1994","Couple + C. LE and GT 16","5","","","","2"
"Single","1994","1-pers.-HH","526","0.354940244921151","0.329676305096682","0.380204184745621","3"
"Single","1994","(Married) couple without C. ","440","0.102878042446866","0.0926693992373561","0.113086685656375","3"
"Single","1994","Single parent ","263","0.434990006864888","0.394327163702881","0.475652850026895","3"
"Single","1994","Couple + C. LE 16 ","102","0.0305668666253877","0.0244324991012466","0.0367012341495287","3"
"Single","1994","Couple + C. GT 16 ","943","0.35551597902253","0.33661207407898","0.374419883966079","3"
"Single","1994","Couple + C. LE and GT 16","443","0.378283539339996","0.35060162672534","0.405965451954652","3"
"Widowed","1994","1-pers.-HH","517","0.419656399400037","0.393600083717919","0.445712715082155","5"
"Widowed","1994","(Married) couple without C. ","68","0.0211901010533439","0.0163506441499628","0.026029557956725","5"
"Widowed","1994","Single parent ","113","0.207868436641962","0.174585397857528","0.241151475426395","5"
"Widowed","1994","Couple + C. LE 16 ","7","","","","5"
"Widowed","1994","Couple + C. GT 16 ","6","","","","5"
"Widowed","1994","Couple + C. LE and GT 16","3","","","","5"
"Divorced","1995","1-pers.-HH","247","0.168536868405996","0.149087092615264","0.187986644196727","4"
"Divorced","1995","(Married) couple without C. ","106","0.0332318516585711","0.027312258600243","0.0391514447168992","4"
"Divorced","1995","Single parent ","152","0.260743104800665","0.225787575132734","0.295698634468596","4"
