"pgfamstd","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Married, but separated","1984","Not Employed","inadequately","3","","","","2"
"Married, but separated","1984","Not Employed","general elemantary","12","","","","2"
"Married, but separated","1984","Not Employed","middle vocational","12","","","","2"
"Married, but separated","1984","Not Employed","vocational + Abi","1","","","","2"
"Married, but separated","1984","Not Employed","higher vocational","2","","","","2"
"Married, but separated","1984","Employed","inadequately","36","0.0882782864497096","0.0641935120407473","0.112363060858672","2"
"Married, but separated","1984","Employed","general elemantary","32","0.0179060952659267","0.0111884952061341","0.0246236953257192","2"
"Married, but separated","1984","Not Employed","in school","","","","","2"
"Married, but separated","1984","Employed","middle vocational","73","0.017217561668593","0.0128515447049344","0.0215835786322515","2"
"Married, but separated","1984","Employed","vocational + Abi","4","","","","2"
"Married, but separated","1984","Employed","higher vocational","9","","","","2"
"Married, but separated","1984","Employed","higher education","15","","","","2"
"Single","1984","Not Employed","higher education","28","","","","3"
"Single","1984","Employed","in school","8","","","","3"
"Single","1984","Employed","inadequately","55","0.228716044221233","0.193059442450022","0.264372645992444","3"
"Single","1984","Employed","general elemantary","432","0.333874403079678","0.309984916603078","0.357763889556278","3"
"Single","1984","Employed","middle vocational","799","0.245728723166294","0.231278896136946","0.260178550195642","3"
"Single","1984","Not Employed","in school","158","1","1","1","3"
"Single","1984","Not Employed","inadequately","45","0.303345591358633","0.252172131265751","0.354519051451516","3"
"Single","1984","Not Employed","general elemantary","304","0.168915803679515","0.149788356859808","0.188043250499222","3"
"Single","1984","Not Employed","middle vocational","237","0.126739064636369","0.110716014559733","0.142762114713005","3"
"Single","1984","Not Employed","vocational + Abi","31","0.462128021081606","0.345334249749188","0.578921792414025","3"
"Single","1984","Not Employed","higher vocational","18","","","","3"
"Single","1984","Employed","vocational + Abi","49","0.337430270116651","0.271234861012131","0.403625679221171","3"
"Single","1984","Employed","higher vocational","68","0.17155104720963","0.136001360233547","0.207100734185713","3"
"Single","1984","Employed","higher education","106","0.182703250537071","0.151653892091562","0.21375260898258","3"
"Widowed","1984","Not Employed","higher vocational","22","","","","5"
"Widowed","1984","Not Employed","higher education","10","","","","5"
"Widowed","1984","Employed","general elemantary","43","0.0421761627877357","0.0319946211000058","0.0523577044754657","5"
"Widowed","1984","Employed","middle vocational","60","0.0251770385509158","0.0199188506796638","0.0304352264221679","5"
"Widowed","1984","Employed","inadequately","11","","","","5"
"Widowed","1984","Employed","in school","","","","","5"
"Widowed","1984","Employed","vocational + Abi","3","","","","5"
"Widowed","1984","Employed","higher vocational","11","","","","5"
"Widowed","1984","Employed","higher education","7","","","","5"
"Widowed","1984","Not Employed","in school","","","","","5"
"Widowed","1984","Not Employed","inadequately","13","","","","5"
"Widowed","1984","Not Employed","general elemantary","282","0.282276323598292","0.259298165562811","0.305254481633772","5"
"Widowed","1984","Not Employed","middle vocational","209","0.188617384259342","0.169775617086194","0.207459151432489","5"
"Widowed","1984","Not Employed","vocational + Abi","4","","","","5"
"Divorced","1985","Employed","higher vocational","19","","","","4"
"Divorced","1985","Employed","higher education","21","","","","4"
"Divorced","1985","Not Employed","higher education","4","","","","4"
"Divorced","1985","Employed","in school","","","","","4"
"Divorced","1985","Employed","inadequately","15","","","","4"
"Divorced","1985","Employed","general elemantary","50","0.0466349349943023","0.035713948080155","0.0575559219084496","4"
"Divorced","1985","Employed","middle vocational","142","0.0561361975294414","0.0481881311714549","0.064084263887428","4"
"Divorced","1985","Employed","vocational + Abi","10","","","","4"
"Divorced","1985","Not Employed","in school","","","","","4"
"Divorced","1985","Not Employed","inadequately","4","","","","4"
"Divorced","1985","Not Employed","general elemantary","27","","","","4"
"Divorced","1985","Not Employed","middle vocational","42","0.0335412453780744","0.0246494580641825","0.0424330326919662","4"
"Divorced","1985","Not Employed","vocational + Abi","","","","","4"
"Divorced","1985","Not Employed","higher vocational","3","","","","4"
"Married","1985","Not Employed","in school","","","","","1"
"Married","1985","Not Employed","inadequately","241","0.49580815050097","0.440594360971134","0.551021940030806","1"
"Married","1985","Not Employed","general elemantary","768","0.484118856829265","0.457950295340979","0.510287418317551","1"
"Married","1985","Not Employed","middle vocational","1053","0.614673778228856","0.59063876102367","0.638708795434042","1"
"Married","1985","Not Employed","vocational + Abi","44","0.505743138145166","0.393338909910929","0.618147366379404","1"
"Married","1985","Not Employed","higher vocational","106","0.617905050953669","0.541162849808588","0.694647252098749","1"
"Married","1985","Not Employed","higher education","92","0.636100980762917","0.554942355507696","0.717259606018137","1"
"Married","1985","Employed","in school","","","","","1"
"Married","1985","Employed","inadequately","357","0.588299972710957","0.543030021482914","0.633569923939","1"
"Married","1985","Employed","general elemantary","860","0.526515771510739","0.500655383715308","0.55237615930617","1"
"Married","1985","Employed","middle vocational","2141","0.631734224121497","0.615079662496547","0.648388785746447","1"
"Married","1985","Employed","vocational + Abi","116","0.514033189651813","0.442588812942865","0.58547756636076","1"
"Married","1985","Employed","higher vocational","305","0.702426338535007","0.658118141812404","0.746734535257611","1"
"Married","1985","Employed","higher education","411","0.677014250644646","0.638759732980068","0.715268768309224","1"
"Married, but separated","1985","Not Employed","in school","","","","","2"
"Married, but separated","1985","Not Employed","inadequately","6","","","","2"
"Married, but separated","1985","Not Employed","general elemantary","12","","","","2"
"Married, but separated","1985","Not Employed","middle vocational","18","","","","2"
"Married, but separated","1985","Not Employed","vocational + Abi","","","","","2"
"Married, but separated","1985","Not Employed","higher vocational","1","","","","2"
"Married, but separated","1985","Not Employed","higher education","4","","","","2"
"Married, but separated","1985","Employed","in school","","","","","2"
"Married, but separated","1985","Employed","inadequately","28","","","","2"
"Married, but separated","1985","Employed","general elemantary","32","0.0204870045143444","0.0131499640416621","0.0278240449870268","2"
"Married, but separated","1985","Employed","middle vocational","77","0.0215896444010941","0.0165712061137462","0.026608082688442","2"
"Married, but separated","1985","Employed","vocational + Abi","4","","","","2"
"Married, but separated","1985","Employed","higher vocational","5","","","","2"
"Married, but separated","1985","Employed","higher education","20","","","","2"
"Single","1985","Not Employed","higher education","26","","","","3"
"Single","1985","Employed","in school","6","","","","3"
"Single","1985","Employed","inadequately","46","0.252415710436178","0.212457278358452","0.292374142513905","3"
"Single","1985","Employed","general elemantary","458","0.376318768197045","0.351226734686148","0.401410801707942","3"
"Single","1985","Not Employed","in school","171","1","1","1","3"
"Single","1985","Not Employed","inadequately","50","0.367699163455656","0.314451443865058","0.420946883046254","3"
"Single","1985","Not Employed","general elemantary","308","0.177877583866068","0.157853259150305","0.197901908581831","3"
"Single","1985","Not Employed","middle vocational","246","0.128066151869987","0.111563005157721","0.144569298582253","3"
"Single","1985","Not Employed","vocational + Abi","27","","","","3"
"Single","1985","Not Employed","higher vocational","18","","","","3"
"Single","1985","Employed","vocational + Abi","57","0.38122170627888","0.311795167850545","0.450648244707215","3"
"Single","1985","Employed","higher vocational","72","0.205184297289825","0.166046920180223","0.244321674399428","3"
"Single","1985","Employed","higher education","116","0.226139751372895","0.191917240568699","0.260362262177091","3"
"Single","1985","Employed","middle vocational","816","0.269352448925817","0.254034530453804","0.28467036739783","3"
"Widowed","1985","Employed","inadequately","8","","","","5"
"Widowed","1985","Employed","higher vocational","8","","","","5"
"Widowed","1985","Employed","vocational + Abi","1","","","","5"
"Widowed","1985","Employed","higher education","6","","","","5"
"Widowed","1985","Employed","middle vocational","46","0.0211874850221507","0.0162149851111611","0.0261599849331404","5"
"Widowed","1985","Not Employed","higher vocational","26","","","","5"
"Widowed","1985","Not Employed","higher education","9","","","","5"
"Widowed","1985","Employed","in school","","","","","5"
"Widowed","1985","Employed","general elemantary","32","0.0300435207835693","0.0212019766464932","0.0388850649206453","5"
"Widowed","1985","Not Employed","in school","","","","","5"
"Widowed","1985","Not Employed","inadequately","14","","","","5"
"Widowed","1985","Not Employed","general elemantary","286","0.30689587620287","0.282745506071927","0.331046246333814","5"
"Widowed","1985","Not Employed","middle vocational","216","0.21452391679135","0.194251190645631","0.234796642937069","5"
"Widowed","1985","Not Employed","vocational + Abi","5","","","","5"
"Divorced","1986","Not Employed","in school","","","","","4"
"Divorced","1986","Not Employed","middle vocational","42","0.0332117375097038","0.0244913828329259","0.0419320921864817","4"
"Divorced","1986","Not Employed","higher education","5","","","","4"
"Divorced","1986","Employed","in school","","","","","4"
"Divorced","1986","Employed","vocational + Abi","8","","","","4"
"Divorced","1986","Employed","higher vocational","19","","","","4"
"Divorced","1986","Employed","higher education","22","","","","4"
"Divorced","1986","Not Employed","inadequately","3","","","","4"
"Divorced","1986","Not Employed","general elemantary","30","0.0262708956504595","0.0177391534913188","0.0348026378096001","4"
"Divorced","1986","Not Employed","vocational + Abi","1","","","","4"
"Divorced","1986","Not Employed","higher vocational","4","","","","4"
"Divorced","1986","Employed","inadequately","17","","","","4"
"Divorced","1986","Employed","general elemantary","46","0.0388214561239578","0.0290654166380873","0.0485774956098284","4"
"Divorced","1986","Employed","middle vocational","153","0.0574535142277777","0.0495591962925969","0.0653478321629584","4"
"Married","1986","Not Employed","in school","","","","","1"
"Married","1986","Not Employed","inadequately","236","0.538699486408857","0.483561802824859","0.593837169992855","1"
"Married","1986","Not Employed","general elemantary","757","0.505887070298039","0.479217187583039","0.53255695301304","1"
"Married","1986","Not Employed","middle vocational","1078","0.591803012470518","0.567883840045109","0.615722184895928","1"
"Married","1986","Not Employed","vocational + Abi","45","0.577477386730782","0.46338036383053","0.691574409631035","1"
"Married","1986","Not Employed","higher vocational","115","0.615921637965151","0.541024842743518","0.690818433186783","1"
"Married","1986","Not Employed","higher education","97","0.634466038685903","0.555809487238856","0.71312259013295","1"
"Married","1986","Employed","in school","","","","","1"
"Married","1986","Employed","inadequately","347","0.536146368072903","0.490424690586418","0.581868045559388","1"
"Married","1986","Employed","general elemantary","884","0.521990318722619","0.496762182025312","0.547218455419926","1"
"Married","1986","Employed","middle vocational","2195","0.63283619975714","0.616483837110029","0.64918856240425","1"
"Married","1986","Employed","vocational + Abi","119","0.485197003863324","0.416275936537216","0.554118071189431","1"
"Married","1986","Employed","higher vocational","316","0.732331952761212","0.689837492197974","0.77482641332445","1"
"Married","1986","Employed","higher education","442","0.682627987217314","0.645508157112196","0.719747817322432","1"
"Married, but separated","1986","Not Employed","in school","","","","","2"
"Married, but separated","1986","Not Employed","inadequately","7","","","","2"
"Married, but separated","1986","Not Employed","general elemantary","13","","","","2"
"Married, but separated","1986","Not Employed","middle vocational","35","0.0228758939353941","0.0155999965229644","0.0301517913478238","2"
"Married, but separated","1986","Not Employed","vocational + Abi","","","","","2"
"Married, but separated","1986","Not Employed","higher vocational","2","","","","2"
"Married, but separated","1986","Not Employed","higher education","4","","","","2"
"Married, but separated","1986","Employed","in school","","","","","2"
"Married, but separated","1986","Employed","inadequately","35","0.0863739803027251","0.0606187351886563","0.112129225416794","2"
"Married, but separated","1986","Employed","general elemantary","39","0.0227600093499701","0.0152277990232763","0.0302922196766639","2"
"Married, but separated","1986","Employed","middle vocational","87","0.0226136970899312","0.0175702922094765","0.0276571019703859","2"
"Married, but separated","1986","Employed","vocational + Abi","5","","","","2"
"Married, but separated","1986","Employed","higher vocational","7","","","","2"
"Married, but separated","1986","Employed","higher education","19","","","","2"
"Single","1986","Employed","vocational + Abi","69","0.440041216113485","0.371587486474747","0.508494945752224","3"
"Single","1986","Employed","higher vocational","68","0.173141273530326","0.136825439348288","0.209457107712365","3"
"Single","1986","Employed","higher education","113","0.214521290483453","0.181784806626452","0.247257774340454","3"
"Single","1986","Not Employed","higher education","29","","","","3"
"Single","1986","Employed","in school","5","","","","3"
"Single","1986","Employed","inadequately","51","0.28276978362978","0.241480649099735","0.324058918159825","3"
"Single","1986","Employed","general elemantary","506","0.387887786651555","0.363278207878929","0.412497365424181","3"
"Single","1986","Employed","middle vocational","865","0.270949216036592","0.255871770621009","0.286026661452174","3"
"Single","1986","Not Employed","in school","175","1","1","1","3"
"Single","1986","Not Employed","inadequately","53","0.312531632157043","0.261262423164838","0.363800841149248","3"
"Single","1986","Not Employed","general elemantary","282","0.156216557379488","0.136849651688891","0.175583463070086","3"
"Single","1986","Not Employed","middle vocational","245","0.132768395616711","0.116254955042867","0.149281836190556","3"
"Single","1986","Not Employed","vocational + Abi","21","","","","3"
"Single","1986","Not Employed","higher vocational","17","","","","3"
"Widowed","1986","Employed","inadequately","7","","","","5"
"Widowed","1986","Employed","vocational + Abi","1","","","","5"
"Widowed","1986","Employed","higher vocational","7","","","","5"
"Widowed","1986","Employed","higher education","8","","","","5"
"Widowed","1986","Employed","general elemantary","31","0.0285404291518976","0.020130773362336","0.0369500849414592","5"
"Widowed","1986","Employed","middle vocational","38","0.0161473728885599","0.0118715383905708","0.0204232073865489","5"
"Widowed","1986","Not Employed","higher vocational","24","","","","5"
"Widowed","1986","Not Employed","higher education","9","","","","5"
"Widowed","1986","Employed","in school","","","","","5"
"Widowed","1986","Not Employed","in school","","","","","5"
"Widowed","1986","Not Employed","inadequately","15","","","","5"
"Widowed","1986","Not Employed","general elemantary","268","0.302564528456031","0.278060232536382","0.32706882437568","5"
"Widowed","1986","Not Employed","middle vocational","222","0.219340960467672","0.199203104376811","0.239478816558533","5"
"Widowed","1986","Not Employed","vocational + Abi","5","","","","5"
"Divorced","1987","Not Employed","middle vocational","57","0.0454269256084348","0.0351849413292833","0.0556689098875864","4"
"Divorced","1987","Not Employed","vocational + Abi","","","","","4"
"Divorced","1987","Not Employed","inadequately","4","","","","4"
"Divorced","1987","Employed","general elemantary","56","0.0519326213348203","0.0407960143587193","0.0630692283109213","4"
"Divorced","1987","Not Employed","general elemantary","23","","","","4"
"Divorced","1987","Not Employed","in school","1","","","","4"
"Divorced","1987","Not Employed","higher vocational","5","","","","4"
"Divorced","1987","Not Employed","higher education","4","","","","4"
"Divorced","1987","Employed","in school","","","","","4"
"Divorced","1987","Employed","inadequately","18","","","","4"
"Divorced","1987","Employed","middle vocational","153","0.0557692406288834","0.0480261919534881","0.0635122893042788","4"
"Divorced","1987","Employed","vocational + Abi","9","","","","4"
"Divorced","1987","Employed","higher vocational","16","","","","4"
"Divorced","1987","Employed","higher education","30","0.0599747503772092","0.0409759381731878","0.0789735625812307","4"
"Married","1987","Not Employed","in school","","","","","1"
"Married","1987","Not Employed","inadequately","220","0.624738985241278","0.568426466971335","0.681051503511222","1"
"Married","1987","Not Employed","general elemantary","731","0.516632755387181","0.489488859784767","0.543776650989594","1"
"Married","1987","Not Employed","middle vocational","1081","0.60419494520444","0.580142897647464","0.628246992761416","1"
"Married","1987","Not Employed","vocational + Abi","43","0.524642591306852","0.409290957929832","0.639994224683873","1"
"Married","1987","Not Employed","higher vocational","116","0.6413392288239","0.567255813665964","0.715422643981835","1"
"Married","1987","Not Employed","higher education","97","0.632291237664113","0.552983695636335","0.711598779691891","1"
"Married","1987","Employed","in school","","","","","1"
"Married","1987","Employed","inadequately","347","0.552131215804824","0.50668834885296","0.597574082756687","1"
"Married","1987","Employed","general elemantary","866","0.52072563252313","0.495652433462812","0.545798831583447","1"
"Married","1987","Employed","middle vocational","2187","0.621541691772535","0.605176552467485","0.637906831077585","1"
"Married","1987","Employed","vocational + Abi","126","0.538997513636927","0.470085478306785","0.607909548967069","1"
"Married","1987","Employed","higher vocational","304","0.716768152789192","0.672994652162324","0.76054165341606","1"
"Married","1987","Employed","higher education","428","0.660246395060426","0.622349160313597","0.698143629807254","1"
"Married, but separated","1987","Not Employed","in school","","","","","2"
"Married, but separated","1987","Not Employed","inadequately","7","","","","2"
"Married, but separated","1987","Not Employed","general elemantary","8","","","","2"
"Married, but separated","1987","Not Employed","middle vocational","15","","","","2"
"Married, but separated","1987","Not Employed","vocational + Abi","1","","","","2"
"Married, but separated","1987","Not Employed","higher vocational","1","","","","2"
"Married, but separated","1987","Not Employed","higher education","3","","","","2"
"Married, but separated","1987","Employed","in school","","","","","2"
"Married, but separated","1987","Employed","inadequately","35","0.103588551452092","0.0757415298017439","0.13143557310244","2"
"Married, but separated","1987","Employed","general elemantary","57","0.0348105912421986","0.0256108599443881","0.0440103225400092","2"
"Married, but separated","1987","Employed","middle vocational","78","0.0193069707464384","0.0146639655968531","0.0239499758960238","2"
"Married, but separated","1987","Employed","vocational + Abi","3","","","","2"
"Married, but separated","1987","Employed","higher vocational","6","","","","2"
"Married, but separated","1987","Employed","higher education","17","","","","2"
"Single","1987","Not Employed","in school","177","0.998701821373385","0.993412216425733","1.00399142632104","3"
"Single","1987","Not Employed","inadequately","37","0.220389911213477","0.1721814242474","0.268598398179554","3"
"Single","1987","Not Employed","general elemantary","271","0.134012656210206","0.115508415085176","0.152516897335236","3"
"Single","1987","Not Employed","middle vocational","206","0.113783154184792","0.0981649237258898","0.129401384643694","3"
"Single","1987","Not Employed","vocational + Abi","25","","","","3"
"Single","1987","Not Employed","higher vocational","11","","","","3"
"Single","1987","Not Employed","higher education","27","","","","3"
"Single","1987","Employed","in school","12","","","","3"
"Single","1987","Employed","inadequately","54","0.260263847890514","0.220166604169164","0.300361091611864","3"
"Single","1987","Employed","general elemantary","509","0.358280134778754","0.334214502554366","0.382345767003142","3"
"Single","1987","Employed","middle vocational","911","0.285149724955855","0.269915527697538","0.300383922214172","3"
"Single","1987","Employed","vocational + Abi","61","0.392203844579704","0.324706768507156","0.459700920652251","3"
"Single","1987","Employed","higher vocational","75","0.205981991044029","0.16669211228805","0.245271869800008","3"
"Single","1987","Employed","higher education","118","0.224004316038969","0.190643988051127","0.257364644026811","3"
"Widowed","1987","Not Employed","in school","","","","","5"
"Widowed","1987","Not Employed","inadequately","16","","","","5"
"Widowed","1987","Not Employed","general elemantary","269","0.323390728605942","0.297982443524312","0.348799013687571","5"
"Widowed","1987","Not Employed","middle vocational","229","0.227001756503463","0.206398934791091","0.247604578215834","5"
"Widowed","1987","Not Employed","vocational + Abi","3","","","","5"
"Widowed","1987","Not Employed","higher vocational","28","","","","5"
"Widowed","1987","Not Employed","higher education","11","","","","5"
"Widowed","1987","Employed","in school","","","","","5"
"Widowed","1987","Employed","inadequately","6","","","","5"
"Widowed","1987","Employed","general elemantary","37","0.0342510201210973","0.0251228851371268","0.0433791551050679","5"
"Widowed","1987","Employed","middle vocational","45","0.0182323718962881","0.0137179567819319","0.0227467870106442","5"
"Widowed","1987","Employed","vocational + Abi","2","","","","5"
"Widowed","1987","Employed","higher vocational","6","","","","5"
"Widowed","1987","Employed","higher education","7","","","","5"
"Divorced","1988","Not Employed","middle vocational","48","0.0428059914320529","0.0325486559472939","0.0530633269168119","4"
"Divorced","1988","Not Employed","vocational + Abi","","","","","4"
"Divorced","1988","Not Employed","higher vocational","3","","","","4"
"Divorced","1988","Not Employed","higher education","5","","","","4"
"Divorced","1988","Employed","in school","","","","","4"
"Divorced","1988","Employed","inadequately","15","","","","4"
"Divorced","1988","Employed","general elemantary","56","0.0519998509879328","0.0408197165214525","0.0631799854544131","4"
"Divorced","1988","Not Employed","in school","","","","","4"
"Divorced","1988","Not Employed","inadequately","7","","","","4"
"Divorced","1988","Not Employed","general elemantary","19","","","","4"
"Divorced","1988","Employed","middle vocational","145","0.0576917459945492","0.0496621081871","0.0657213838019983","4"
"Divorced","1988","Employed","vocational + Abi","8","","","","4"
"Divorced","1988","Employed","higher vocational","15","","","","4"
"Divorced","1988","Employed","higher education","29","","","","4"
"Married","1988","Not Employed","in school","","","","","1"
"Married","1988","Not Employed","inadequately","229","0.561841848196275","0.505414147201269","0.61826954919128","1"
"Married","1988","Not Employed","general elemantary","683","0.515854262903725","0.487543434083455","0.544165091723995","1"
"Married","1988","Not Employed","middle vocational","1017","0.599368494526973","0.574537060605532","0.624199928448415","1"
"Married","1988","Not Employed","vocational + Abi","44","0.532107414190095","0.416044985695098","0.648169842685091","1"
"Married","1988","Not Employed","higher vocational","109","0.638419151502723","0.561531229338897","0.715307073666548","1"
"Married","1988","Not Employed","higher education","84","0.578537117322698","0.493325557325612","0.663748677319784","1"
"Married","1988","Employed","in school","","","","","1"
"Married","1988","Employed","inadequately","312","0.63023073117207","0.582981896670102","0.677479565674038","1"
"Married","1988","Employed","general elemantary","847","0.517539012441176","0.492377055100239","0.542700969782113","1"
"Married","1988","Employed","middle vocational","2106","0.614989405228973","0.598231768393459","0.631747042064487","1"
"Married","1988","Employed","vocational + Abi","114","0.472846573855267","0.403305060756132","0.542388086954402","1"
"Married","1988","Employed","higher vocational","290","0.722237898792014","0.677785784849939","0.766690012734089","1"
"Married","1988","Employed","higher education","400","0.643652874060182","0.604405322990828","0.682900425129536","1"
"Married, but separated","1988","Not Employed","in school","","","","","2"
"Married, but separated","1988","Not Employed","inadequately","6","","","","2"
"Married, but separated","1988","Not Employed","general elemantary","13","","","","2"
"Married, but separated","1988","Not Employed","middle vocational","21","","","","2"
"Married, but separated","1988","Not Employed","vocational + Abi","2","","","","2"
"Married, but separated","1988","Not Employed","higher vocational","2","","","","2"
"Married, but separated","1988","Not Employed","higher education","6","","","","2"
"Married, but separated","1988","Employed","in school","","","","","2"
"Married, but separated","1988","Employed","inadequately","27","","","","2"
"Married, but separated","1988","Employed","general elemantary","52","0.0351857304682346","0.0259078895981524","0.0444635713383169","2"
"Married, but separated","1988","Employed","middle vocational","93","0.0261871702659691","0.0206876519982975","0.0316866885336407","2"
"Married, but separated","1988","Employed","vocational + Abi","4","","","","2"
"Married, but separated","1988","Employed","higher vocational","8","","","","2"
"Married, but separated","1988","Employed","higher education","18","","","","2"
"Single","1988","Not Employed","middle vocational","189","0.115024733865609","0.0988572111701208","0.131192256561098","3"
"Single","1988","Not Employed","vocational + Abi","23","","","","3"
"Single","1988","Not Employed","in school","154","1","1","1","3"
"Single","1988","Not Employed","inadequately","40","0.288762453232923","0.237222079263503","0.340302827202343","3"
"Single","1988","Not Employed","general elemantary","242","0.135333363035111","0.115954521832825","0.154712204237397","3"
"Single","1988","Not Employed","higher vocational","9","","","","3"
"Single","1988","Not Employed","higher education","25","","","","3"
"Single","1988","Employed","in school","8","","","","3"
"Single","1988","Employed","inadequately","39","0.201858150004722","0.162572034360106","0.241144265649339","3"
"Single","1988","Employed","general elemantary","520","0.355395318639525","0.331293803038453","0.379496834240597","3"
"Single","1988","Employed","middle vocational","848","0.281079830339597","0.265598873763826","0.296560786915369","3"
"Single","1988","Employed","vocational + Abi","67","0.431403644026441","0.362417886670885","0.500389401381996","3"
"Single","1988","Employed","higher vocational","72","0.200738478949189","0.160984962147785","0.240491995750592","3"
"Single","1988","Employed","higher education","116","0.234363709468076","0.199649561242965","0.269077857693186","3"
"Widowed","1988","Not Employed","inadequately","15","","","","5"
"Widowed","1988","Not Employed","general elemantary","240","0.317909777241661","0.291529833177382","0.34428972130594","5"
"Widowed","1988","Not Employed","middle vocational","221","0.227889201201037","0.206633081817351","0.249145320584724","5"
"Widowed","1988","Not Employed","higher education","9","","","","5"
"Widowed","1988","Employed","in school","","","","","5"
"Widowed","1988","Employed","inadequately","8","","","","5"
"Widowed","1988","Employed","general elemantary","40","0.0398800874631316","0.0300267679899129","0.0497334069363504","5"
"Widowed","1988","Employed","middle vocational","47","0.0200518481709112","0.0152243583148336","0.0248793380269888","5"
"Widowed","1988","Employed","vocational + Abi","5","","","","5"
"Widowed","1988","Employed","higher vocational","5","","","","5"
"Widowed","1988","Not Employed","in school","","","","","5"
"Widowed","1988","Not Employed","vocational + Abi","2","","","","5"
"Widowed","1988","Not Employed","higher vocational","27","","","","5"
"Widowed","1988","Employed","higher education","9","","","","5"
"Divorced","1989","Not Employed","in school","","","","","4"
"Divorced","1989","Not Employed","inadequately","7","","","","4"
"Divorced","1989","Not Employed","general elemantary","21","","","","4"
"Divorced","1989","Not Employed","middle vocational","50","0.0467485662615272","0.0358604593660044","0.05763667315705","4"
"Divorced","1989","Not Employed","vocational + Abi","","","","","4"
"Divorced","1989","Not Employed","higher vocational","3","","","","4"
"Divorced","1989","Not Employed","higher education","5","","","","4"
"Divorced","1989","Employed","in school","","","","","4"
"Divorced","1989","Employed","inadequately","17","","","","4"
"Divorced","1989","Employed","general elemantary","58","0.0590853993342139","0.0468817784689239","0.0712890201995039","4"
"Divorced","1989","Employed","middle vocational","151","0.0622134638609692","0.0538077289544559","0.0706191987674825","4"
"Divorced","1989","Employed","vocational + Abi","7","","","","4"
"Divorced","1989","Employed","higher vocational","18","","","","4"
"Divorced","1989","Employed","higher education","34","0.0729714893608737","0.0516570836901251","0.0942858950316223","4"
"Married","1989","Not Employed","in school","","","","","1"
"Married","1989","Not Employed","inadequately","220","0.586727014955161","0.529457240583419","0.643996789326904","1"
"Married","1989","Not Employed","general elemantary","650","0.514576950742976","0.485475241478741","0.543678660007212","1"
"Married","1989","Not Employed","middle vocational","962","0.591302531341138","0.565947138862544","0.616657923819731","1"
"Married","1989","Not Employed","vocational + Abi","44","0.481614607407799","0.370728537148915","0.592500677666682","1"
"Married","1989","Not Employed","higher vocational","105","0.654254563326486","0.575750860232333","0.732758266420639","1"
"Married","1989","Not Employed","higher education","76","0.549388038189771","0.461813429347746","0.636962647031797","1"
"Married","1989","Employed","in school","1","","","","1"
"Married","1989","Employed","inadequately","283","0.609835406095744","0.560200022579114","0.659470789612375","1"
"Married","1989","Employed","general elemantary","799","0.500635039639054","0.474756297130712","0.526513782147396","1"
"Married","1989","Employed","middle vocational","2050","0.62221046474331","0.605338132485205","0.639082797001415","1"
"Married","1989","Employed","vocational + Abi","112","0.438308317273027","0.371199853665688","0.505416780880365","1"
