"pgfamstd","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1986","in school","Rural Area","","","","","4"
"Divorced","1986","inadequately","Urban Area","17","","","","4"
"Divorced","1986","inadequately","Rural Area","3","","","","4"
"Divorced","1986","general elemantary","Urban Area","61","0.0335364793723048","0.0259929271765985","0.041080031568011","4"
"Divorced","1986","general elemantary","Rural Area","15","","","","4"
"Married","1986","in school","Urban Area","","","","","1"
"Married","1986","in school","Rural Area","","","","","1"
"Married","1986","inadequately","Urban Area","516","0.585674461427906","0.548374388160902","0.622974534694911","1"
"Married","1986","inadequately","Rural Area","67","0.372799247064304","0.278495662078081","0.467102832050526","1"
"Married","1986","general elemantary","Urban Area","1258","0.505338540628668","0.484389232703824","0.526287848553512","1"
"Married","1986","general elemantary","Rural Area","383","0.532451380670855","0.494614682725741","0.570288078615969","1"
"Married","1986","middle vocational","Urban Area","2549","0.609414163475712","0.594096327834782","0.624731999116643","1"
"Married","1986","middle vocational","Rural Area","724","0.642397246334308","0.613584561997185","0.671209930671431","1"
"Married","1986","vocational + Abi","Urban Area","138","0.5113113124189","0.446427029231032","0.576195595606768","1"
"Married","1986","vocational + Abi","Rural Area","26","","","","1"
"Married","1986","higher vocational","Urban Area","336","0.680862426466981","0.638218184225827","0.723506668708135","1"
"Married","1986","higher vocational","Rural Area","95","0.736905696295817","0.658125121091087","0.815686271500547","1"
"Married","1986","higher education","Urban Area","445","0.658991839492844","0.621916027309293","0.696067651676396","1"
"Married","1986","higher education","Rural Area","94","0.733083489566332","0.653938776953228","0.812228202179435","1"
"Married, but separated","1986","in school","Urban Area","","","","","2"
"Married, but separated","1986","in school","Rural Area","","","","","2"
"Married, but separated","1986","inadequately","Urban Area","38","0.0687441053727532","0.0495855420265041","0.0879026687190024","2"
"Married, but separated","1986","inadequately","Rural Area","4","","","","2"
"Married, but separated","1986","general elemantary","Urban Area","45","0.0177500645823415","0.0122173864515199","0.0232827427131631","2"
"Married, but separated","1986","general elemantary","Rural Area","7","","","","2"
"Married, but separated","1986","middle vocational","Urban Area","102","0.0241235270002704","0.0193062600412987","0.0289407939592421","2"
"Married, but separated","1986","middle vocational","Rural Area","20","","","","2"
"Married, but separated","1986","vocational + Abi","Urban Area","5","","","","2"
"Married, but separated","1986","vocational + Abi","Rural Area","","","","","2"
"Married, but separated","1986","higher vocational","Urban Area","8","","","","2"
"Married, but separated","1986","higher vocational","Rural Area","1","","","","2"
"Married, but separated","1986","higher education","Urban Area","22","","","","2"
"Married, but separated","1986","higher education","Rural Area","1","","","","2"
"Single","1986","middle vocational","Urban Area","881","0.219779060943592","0.206777818841573","0.232780303045611","3"
"Single","1986","middle vocational","Rural Area","229","0.210976965263366","0.186449999752931","0.235503930773802","3"
"Single","1986","vocational + Abi","Urban Area","70","0.363644875971535","0.301203972770301","0.42608577917277","3"
"Single","1986","vocational + Abi","Rural Area","20","","","","3"
"Single","1986","in school","Urban Area","158","1","1","1","3"
"Single","1986","in school","Rural Area","22","","","","3"
"Single","1986","inadequately","Urban Area","80","0.229692819713684","0.197842311068553","0.261543328358815","3"
"Single","1986","inadequately","Rural Area","24","","","","3"
"Single","1986","general elemantary","Urban Area","607","0.248510992908282","0.230403490547916","0.266618495268648","3"
"Single","1986","general elemantary","Rural Area","181","0.268867227938439","0.235244966556306","0.302489489320572","3"
"Single","1986","higher vocational","Urban Area","74","0.179078105359888","0.144001794273809","0.214154416445966","3"
"Single","1986","higher vocational","Rural Area","11","","","","3"
"Single","1986","higher education","Urban Area","125","0.224036550980913","0.191426735561679","0.256646366400146","3"
"Single","1986","higher education","Rural Area","17","","","","3"
"Widowed","1986","vocational + Abi","Urban Area","6","","","","5"
"Widowed","1986","vocational + Abi","Rural Area","","","","","5"
"Widowed","1986","higher vocational","Urban Area","23","","","","5"
"Widowed","1986","higher vocational","Rural Area","8","","","","5"
"Widowed","1986","higher education","Urban Area","11","","","","5"
"Widowed","1986","higher education","Rural Area","6","","","","5"
"Widowed","1986","general elemantary","Rural Area","82","0.165374248904167","0.137200820954331","0.193547676854004","5"
"Widowed","1986","middle vocational","Urban Area","207","0.0975856922304365","0.0882686310364826","0.10690275342439","5"
"Widowed","1986","middle vocational","Rural Area","53","0.0837323114579766","0.0670813550146298","0.100383267901323","5"
"Widowed","1986","in school","Urban Area","","","","","5"
"Widowed","1986","in school","Rural Area","","","","","5"
"Widowed","1986","inadequately","Urban Area","19","","","","5"
"Widowed","1986","inadequately","Rural Area","3","","","","5"
"Widowed","1986","general elemantary","Urban Area","217","0.194863922508403","0.178267105862512","0.211460739154295","5"
"Divorced","1987","in school","Urban Area","1","","","","4"
"Divorced","1987","in school","Rural Area","","","","","4"
"Divorced","1987","general elemantary","Urban Area","66","0.0393083357885108","0.0311415192378663","0.0474751523391553","4"
"Divorced","1987","vocational + Abi","Rural Area","","","","","4"
"Divorced","1987","middle vocational","Rural Area","39","0.0476370925015882","0.0349280969361523","0.0603460880670241","4"
"Divorced","1987","inadequately","Urban Area","19","","","","4"
"Divorced","1987","inadequately","Rural Area","3","","","","4"
"Divorced","1987","general elemantary","Rural Area","13","","","","4"
"Divorced","1987","middle vocational","Urban Area","171","0.0531588445981798","0.0461023221797174","0.0602153670166421","4"
"Divorced","1987","vocational + Abi","Urban Area","9","","","","4"
"Divorced","1987","higher vocational","Rural Area","5","","","","4"
"Divorced","1987","higher education","Urban Area","32","0.0610404476492126","0.0422262719300261","0.0798546233683991","4"
"Divorced","1987","higher education","Rural Area","2","","","","4"
"Divorced","1987","higher vocational","Urban Area","16","","","","4"
"Married","1987","in school","Urban Area","","","","","1"
"Married","1987","in school","Rural Area","","","","","1"
"Married","1987","inadequately","Urban Area","499","0.609304162895172","0.57173798137824","0.646870344412103","1"
"Married","1987","inadequately","Rural Area","68","0.471556337439761","0.371699314449939","0.571413360429583","1"
"Married","1987","general elemantary","Urban Area","1215","0.502212126320805","0.481199312419793","0.523224940221816","1"
"Married","1987","general elemantary","Rural Area","382","0.563480851036624","0.525412372143997","0.601549329929252","1"
"Married","1987","middle vocational","Urban Area","2547","0.609147348726332","0.593800044362126","0.624494653090539","1"
"Married","1987","middle vocational","Rural Area","721","0.634397150486212","0.605661385280674","0.66313291569175","1"
"Married","1987","vocational + Abi","Urban Area","144","0.520826648890069","0.456681612215567","0.584971685564571","1"
"Married","1987","vocational + Abi","Rural Area","25","","","","1"
"Married","1987","higher vocational","Urban Area","332","0.683836285720839","0.640970483392256","0.726702088049421","1"
"Married","1987","higher vocational","Rural Area","88","0.723127498130461","0.641700870714003","0.80455412554692","1"
"Married","1987","higher education","Urban Area","431","0.641080269805237","0.6033831846616","0.678777354948875","1"
"Married","1987","higher education","Rural Area","94","0.714702034670263","0.633909856965498","0.795494212375029","1"
"Married, but separated","1987","in school","Urban Area","","","","","2"
"Married, but separated","1987","in school","Rural Area","","","","","2"
"Married, but separated","1987","inadequately","Urban Area","39","0.0842959162538776","0.0629044067750625","0.105687425732693","2"
"Married, but separated","1987","inadequately","Rural Area","3","","","","2"
"Married, but separated","1987","general elemantary","Urban Area","58","0.0212462794549739","0.0151859446422903","0.0273066142676575","2"
"Married, but separated","1987","general elemantary","Rural Area","7","","","","2"
"Married, but separated","1987","middle vocational","Urban Area","75","0.0165358902831282","0.0125248461128459","0.0205469344534104","2"
"Married, but separated","1987","middle vocational","Rural Area","18","","","","2"
"Married, but separated","1987","vocational + Abi","Urban Area","3","","","","2"
"Married, but separated","1987","vocational + Abi","Rural Area","1","","","","2"
"Married, but separated","1987","higher vocational","Urban Area","5","","","","2"
"Married, but separated","1987","higher vocational","Rural Area","2","","","","2"
"Married, but separated","1987","higher education","Urban Area","19","","","","2"
"Married, but separated","1987","higher education","Rural Area","1","","","","2"
"Single","1987","in school","Urban Area","163","0.998612428684466","0.992915348826619","1.00430950854231","3"
"Single","1987","in school","Rural Area","26","","","","3"
"Single","1987","inadequately","Urban Area","71","0.196082936264756","0.165513592736867","0.226652279792646","3"
"Single","1987","higher vocational","Rural Area","14","","","","3"
"Single","1987","higher education","Urban Area","128","0.231710682058962","0.198552682308803","0.264868681809122","3"
"Single","1987","higher education","Rural Area","17","","","","3"
"Single","1987","inadequately","Rural Area","20","","","","3"
"Single","1987","general elemantary","Urban Area","610","0.231597013100448","0.21386820824966","0.249325817951237","3"
"Single","1987","general elemantary","Rural Area","170","0.23461147791872","0.202084786210996","0.267138169626445","3"
"Single","1987","middle vocational","Urban Area","873","0.220469428987253","0.207430102481619","0.233508755492887","3"
"Single","1987","middle vocational","Rural Area","244","0.221228004510288","0.196461621631784","0.245994387388792","3"
"Single","1987","vocational + Abi","Urban Area","72","0.392404658749774","0.329707995864182","0.455101321635366","3"
"Single","1987","vocational + Abi","Rural Area","14","","","","3"
"Single","1987","higher vocational","Urban Area","72","0.178553242022523","0.143246921980486","0.213859562064559","3"
"Widowed","1987","in school","Urban Area","","","","","5"
"Widowed","1987","in school","Rural Area","","","","","5"
"Widowed","1987","inadequately","Urban Area","20","","","","5"
"Widowed","1987","inadequately","Rural Area","2","","","","5"
"Widowed","1987","general elemantary","Urban Area","226","0.205636245335262","0.18865075834155","0.222621732328974","5"
"Widowed","1987","general elemantary","Rural Area","80","0.171306841655317","0.142386160071641","0.200227523238993","5"
"Widowed","1987","middle vocational","Urban Area","217","0.100688487405107","0.0912237323149145","0.110153242495299","5"
"Widowed","1987","middle vocational","Rural Area","57","0.0840132073327642","0.0674610061233289","0.100565408542199","5"
"Widowed","1987","vocational + Abi","Urban Area","5","","","","5"
"Widowed","1987","vocational + Abi","Rural Area","","","","","5"
"Widowed","1987","higher vocational","Urban Area","27","","","","5"
"Widowed","1987","higher vocational","Rural Area","7","","","","5"
"Widowed","1987","higher education","Urban Area","12","","","","5"
"Widowed","1987","higher education","Rural Area","6","","","","5"
"Divorced","1988","vocational + Abi","Rural Area","","","","","4"
"Divorced","1988","in school","Urban Area","","","","","4"
"Divorced","1988","in school","Rural Area","","","","","4"
"Divorced","1988","inadequately","Urban Area","20","","","","4"
"Divorced","1988","inadequately","Rural Area","2","","","","4"
"Divorced","1988","general elemantary","Urban Area","62","0.0374299475804566","0.0293405033089688","0.0455193918519443","4"
"Divorced","1988","general elemantary","Rural Area","13","","","","4"
"Divorced","1988","middle vocational","Urban Area","157","0.0536956893093257","0.0464451429022533","0.0609462357163981","4"
"Divorced","1988","middle vocational","Rural Area","36","0.0470285824257015","0.0340495139207872","0.0600076509306158","4"
"Divorced","1988","vocational + Abi","Urban Area","8","","","","4"
"Divorced","1988","higher vocational","Urban Area","16","","","","4"
"Divorced","1988","higher vocational","Rural Area","2","","","","4"
"Divorced","1988","higher education","Urban Area","32","0.0626892367754792","0.0431296183374403","0.082248855213518","4"
"Divorced","1988","higher education","Rural Area","2","","","","4"
"Married","1988","in school","Urban Area","","","","","1"
"Married","1988","in school","Rural Area","","","","","1"
"Married","1988","inadequately","Urban Area","473","0.622995784711606","0.584314125711061","0.661677443712151","1"
"Married","1988","inadequately","Rural Area","68","0.498129602907731","0.397586275443476","0.598672930371987","1"
"Married","1988","general elemantary","Urban Area","1187","0.506870206699036","0.485563226196953","0.528177187201119","1"
"Married","1988","general elemantary","Rural Area","343","0.544262236011459","0.504311706966499","0.58421276505642","1"
"Married","1988","middle vocational","Urban Area","2434","0.601301403626616","0.585552363896945","0.617050443356287","1"
"Married","1988","middle vocational","Rural Area","689","0.63530629804779","0.605795676600838","0.664816919494742","1"
"Married","1988","vocational + Abi","Urban Area","138","0.489347166430893","0.42516098453756","0.553533348324227","1"
"Married","1988","vocational + Abi","Rural Area","20","","","","1"
"Married","1988","higher vocational","Urban Area","313","0.683303679867645","0.639283903360451","0.727323456374838","1"
"Married","1988","higher vocational","Rural Area","86","0.738816567177512","0.657096685867553","0.82053644848747","1"
"Married","1988","higher education","Urban Area","402","0.620562186981042","0.581407383918452","0.659716990043631","1"
"Married","1988","higher education","Rural Area","82","0.67961923643072","0.592812655849701","0.766425817011739","1"
"Married, but separated","1988","in school","Urban Area","","","","","2"
"Married, but separated","1988","in school","Rural Area","","","","","2"
"Married, but separated","1988","inadequately","Urban Area","30","0.0660584908089165","0.0462334724695608","0.0858835091482722","2"
"Married, but separated","1988","inadequately","Rural Area","3","","","","2"
"Married, but separated","1988","general elemantary","Urban Area","55","0.0237320739124794","0.0172450535375366","0.0302190942874222","2"
"Married, but separated","1988","general elemantary","Rural Area","10","","","","2"
"Married, but separated","1988","middle vocational","Urban Area","91","0.0229015963104979","0.0180900170328978","0.027713175588098","2"
"Married, but separated","1988","middle vocational","Rural Area","23","","","","2"
"Married, but separated","1988","vocational + Abi","Urban Area","4","","","","2"
"Married, but separated","1988","vocational + Abi","Rural Area","2","","","","2"
"Married, but separated","1988","higher vocational","Urban Area","8","","","","2"
"Married, but separated","1988","higher vocational","Rural Area","2","","","","2"
"Married, but separated","1988","higher education","Urban Area","23","","","","2"
"Married, but separated","1988","higher education","Rural Area","1","","","","2"
"Single","1988","in school","Urban Area","134","1","1","1","3"
"Single","1988","in school","Rural Area","28","","","","3"
"Single","1988","inadequately","Urban Area","59","0.197619399091308","0.165836432436228","0.229402365746388","3"
"Single","1988","inadequately","Rural Area","20","","","","3"
"Single","1988","general elemantary","Urban Area","605","0.231213414094662","0.213245307434762","0.249181520754562","3"
"Single","1988","general elemantary","Rural Area","157","0.238274213609317","0.204099980554762","0.272448446663873","3"
"Single","1988","middle vocational","Urban Area","816","0.2203426798133","0.207010940580165","0.233674419046435","3"
"Single","1988","middle vocational","Rural Area","221","0.21575380674107","0.19053479369459","0.240972819787549","3"
"Single","1988","vocational + Abi","Urban Area","76","0.414212163693136","0.350963445375702","0.477460882010571","3"
"Single","1988","vocational + Abi","Rural Area","14","","","","3"
"Single","1988","higher vocational","Urban Area","66","0.171371489299521","0.135712529818256","0.207030448780786","3"
"Single","1988","higher vocational","Rural Area","15","","","","3"
"Single","1988","higher education","Urban Area","119","0.230291835616553","0.196319578485349","0.264264092747757","3"
"Single","1988","higher education","Rural Area","22","","","","3"
"Widowed","1988","vocational + Abi","Rural Area","","","","","5"
"Widowed","1988","higher vocational","Urban Area","26","","","","5"
"Widowed","1988","higher vocational","Rural Area","6","","","","5"
"Widowed","1988","higher education","Urban Area","14","","","","5"
"Widowed","1988","in school","Urban Area","","","","","5"
"Widowed","1988","in school","Rural Area","","","","","5"
"Widowed","1988","inadequately","Urban Area","21","","","","5"
"Widowed","1988","inadequately","Rural Area","2","","","","5"
"Widowed","1988","higher education","Rural Area","4","","","","5"
"Widowed","1988","general elemantary","Urban Area","206","0.200754357713366","0.183683099385969","0.217825616040763","5"
"Widowed","1988","general elemantary","Rural Area","74","0.176538488459956","0.145953925435511","0.2071230514844","5"
"Widowed","1988","middle vocational","Urban Area","215","0.10175863094026","0.0920341199714064","0.111483141909114","5"
"Widowed","1988","middle vocational","Rural Area","53","0.0829428940079173","0.0660341859568833","0.0998516020589512","5"
"Widowed","1988","vocational + Abi","Urban Area","7","","","","5"
"Divorced","1989","in school","Urban Area","","","","","4"
"Divorced","1989","in school","Rural Area","","","","","4"
"Divorced","1989","inadequately","Urban Area","22","","","","4"
"Divorced","1989","inadequately","Rural Area","2","","","","4"
"Divorced","1989","general elemantary","Urban Area","65","0.0405508286113954","0.031938483620932","0.0491631736018587","4"
"Divorced","1989","general elemantary","Rural Area","14","","","","4"
"Divorced","1989","middle vocational","Urban Area","163","0.0579698601474271","0.0503741273434528","0.0655655929514014","4"
"Divorced","1989","middle vocational","Rural Area","38","0.0513607245879969","0.0375409431441842","0.0651805060318096","4"
"Divorced","1989","vocational + Abi","Urban Area","7","","","","4"
"Divorced","1989","vocational + Abi","Rural Area","","","","","4"
"Divorced","1989","higher vocational","Urban Area","19","","","","4"
"Divorced","1989","higher vocational","Rural Area","2","","","","4"
"Divorced","1989","higher education","Urban Area","37","0.0763567332624754","0.054891518785679","0.0978219477392718","4"
"Divorced","1989","higher education","Rural Area","2","","","","4"
"Married","1989","in school","Urban Area","1","","","","1"
"Married","1989","in school","Rural Area","","","","","1"
"Married","1989","inadequately","Urban Area","443","0.61672619789816","0.576813468352554","0.656638927443765","1"
"Married","1989","inadequately","Rural Area","60","0.528369388874071","0.42224665117974","0.634492126568401","1"
"Married","1989","general elemantary","Urban Area","1123","0.495209311312937","0.47337896454051","0.517039658085364","1"
"Married","1989","general elemantary","Rural Area","326","0.547542489005095","0.506020670467511","0.589064307542679","1"
"Married","1989","middle vocational","Urban Area","2352","0.602451749746476","0.586544605769093","0.61835889372386","1"
"Married","1989","middle vocational","Rural Area","660","0.638959603220133","0.608888479811714","0.669030726628551","1"
"Married","1989","vocational + Abi","Urban Area","138","0.453629790958561","0.392040455245023","0.515219126672099","1"
"Married","1989","vocational + Abi","Rural Area","18","","","","1"
"Married","1989","higher vocational","Urban Area","302","0.692564404176224","0.647735508081374","0.737393300271074","1"
"Married","1989","higher vocational","Rural Area","86","0.750828711652068","0.669253981095224","0.832403442208911","1"
"Married","1989","higher education","Urban Area","397","0.626953162140284","0.587863793303605","0.666042530976964","1"
"Married","1989","higher education","Rural Area","79","0.650456235155047","0.560528007624232","0.740384462685862","1"
"Married, but separated","1989","in school","Urban Area","","","","","2"
"Married, but separated","1989","in school","Rural Area","","","","","2"
"Married, but separated","1989","inadequately","Urban Area","26","","","","2"
"Married, but separated","1989","inadequately","Rural Area","3","","","","2"
"Married, but separated","1989","general elemantary","Urban Area","50","0.0231146229681984","0.0165535362622127","0.0296757096741841","2"
"Married, but separated","1989","general elemantary","Rural Area","9","","","","2"
"Married, but separated","1989","middle vocational","Urban Area","84","0.0221747853522792","0.0173885231996696","0.0269610475048887","2"
"Married, but separated","1989","middle vocational","Rural Area","15","","","","2"
"Married, but separated","1989","vocational + Abi","Urban Area","6","","","","2"
"Married, but separated","1989","vocational + Abi","Rural Area","2","","","","2"
"Married, but separated","1989","higher vocational","Urban Area","4","","","","2"
"Married, but separated","1989","higher vocational","Rural Area","2","","","","2"
"Married, but separated","1989","higher education","Urban Area","20","","","","2"
"Married, but separated","1989","higher education","Rural Area","3","","","","2"
"Single","1989","in school","Urban Area","147","0.993031953282943","0.979630423625155","1.00643348294073","3"
"Single","1989","in school","Rural Area","27","","","","3"
"Single","1989","inadequately","Urban Area","60","0.208724232279176","0.175361544413004","0.242086920145348","3"
"Single","1989","inadequately","Rural Area","18","","","","3"
"Single","1989","general elemantary","Urban Area","568","0.236575099361059","0.21801936092677","0.255130837795349","3"
"Single","1989","general elemantary","Rural Area","137","0.228161605928529","0.193153950657316","0.263169261199741","3"
"Single","1989","middle vocational","Urban Area","825","0.216279869178452","0.202897755832913","0.22966198252399","3"
"Single","1989","middle vocational","Rural Area","214","0.208510715606988","0.183076300070423","0.233945131143553","3"
"Single","1989","vocational + Abi","Urban Area","93","0.438257788966044","0.376875287676378","0.49964029025571","3"
"Single","1989","vocational + Abi","Rural Area","16","","","","3"
"Single","1989","higher vocational","Urban Area","57","0.160856137246829","0.125162737534567","0.196549536959091","3"
"Single","1989","higher vocational","Rural Area","13","","","","3"
"Single","1989","higher education","Urban Area","120","0.222003120612577","0.188411736806773","0.255594504418381","3"
"Single","1989","higher education","Rural Area","20","","","","3"
"Widowed","1989","in school","Urban Area","","","","","5"
"Widowed","1989","in school","Rural Area","","","","","5"
"Widowed","1989","inadequately","Urban Area","19","","","","5"
"Widowed","1989","inadequately","Rural Area","2","","","","5"
"Widowed","1989","general elemantary","Urban Area","209","0.20455013774641","0.186937805912241","0.222162469580579","5"
"Widowed","1989","general elemantary","Rural Area","66","0.177944525366185","0.146038593704256","0.209850457028114","5"
"Widowed","1989","middle vocational","Urban Area","212","0.101123735575366","0.0913240382493601","0.110923432901371","5"
"Widowed","1989","middle vocational","Rural Area","53","0.0842319684281646","0.0668433023554109","0.101620634500918","5"
"Widowed","1989","vocational + Abi","Urban Area","7","","","","5"
"Widowed","1989","vocational + Abi","Rural Area","1","","","","5"
"Widowed","1989","higher vocational","Urban Area","25","","","","5"
"Widowed","1989","higher vocational","Rural Area","5","","","","5"
"Widowed","1989","higher education","Urban Area","14","","","","5"
"Widowed","1989","higher education","Rural Area","4","","","","5"
"Divorced","1990","in school","Urban Area","","","","","4"
"Divorced","1990","in school","Rural Area","","","","","4"
"Divorced","1990","inadequately","Urban Area","22","","","","4"
"Divorced","1990","inadequately","Rural Area","4","","","","4"
"Divorced","1990","general elemantary","Urban Area","72","0.0450604079322613","0.0361777776354677","0.053943038229055","4"
"Divorced","1990","general elemantary","Rural Area","33","0.0409903602092627","0.0279055884314461","0.0540751319870793","4"
"Divorced","1990","middle vocational","Urban Area","227","0.0624476192571751","0.0552866882273401","0.06960855028701","4"
"Divorced","1990","middle vocational","Rural Area","142","0.0651894453991793","0.0557745751936177","0.0746043156047408","4"
"Divorced","1990","vocational + Abi","Urban Area","7","","","","4"
"Divorced","1990","vocational + Abi","Rural Area","1","","","","4"
"Divorced","1990","higher vocational","Urban Area","21","","","","4"
"Divorced","1990","higher vocational","Rural Area","8","","","","4"
"Divorced","1990","higher education","Urban Area","73","0.0932579622346249","0.0752616938799967","0.111254230589253","4"
"Divorced","1990","higher education","Rural Area","32","0.0526018139757314","0.0357485207229164","0.0694551072285464","4"
"Married","1990","in school","Urban Area","2","","","","1"
"Married","1990","in school","Rural Area","","","","","1"
"Married","1990","inadequately","Urban Area","426","0.594724429873555","0.553879824774853","0.635569034972258","1"
"Married","1990","inadequately","Rural Area","61","0.490945323886621","0.387663091636214","0.594227556137027","1"
"Married","1990","general elemantary","Urban Area","1146","0.483997380817453","0.462597885254044","0.505396876380861","1"
"Married","1990","general elemantary","Rural Area","447","0.491683567316637","0.458690421973525","0.524676712659748","1"
"Married","1990","middle vocational","Urban Area","2852","0.600408134302574","0.585912227755377","0.614904040849772","1"
"Married","1990","middle vocational","Rural Area","1836","0.641580881656421","0.623292082903832","0.65986968040901","1"
