"pgfamstd","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Married","2015","Employed","9863","0.502567706014221","0.494960295968894","0.510175116059548","1"
"Married, but separated","2015","Not Employed","248","0.0216020724416196","0.0188594731766816","0.0243446717065576","2"
"Married, but separated","2015","Employed","435","0.026792502956686","0.0243356344423332","0.0292493714710389","2"
"Single","2015","Not Employed","2878","0.22224012860637","0.214396971942179","0.230083285270561","3"
"Single","2015","Employed","4343","0.343002966573854","0.335780206469213","0.350225726678495","3"
"Widowed","2015","Employed","276","0.0205609769145055","0.0184018253835653","0.0227201284454457","5"
"Widowed","2015","Not Employed","1123","0.174490953356943","0.1673310978088","0.181650808905086","5"
"Divorced","2016","Employed","1545","0.101057410981543","0.0963980896548228","0.105716732308263","4"
"Divorced","2016","Not Employed","740","0.0936054391384493","0.0886174944251777","0.0985933838517209","4"
"Married","2016","Not Employed","7161","0.476541144597095","0.467988431168305","0.485093858025885","1"
"Married","2016","Employed","9559","0.507585104067023","0.499856650080459","0.515313558053588","1"
"Married, but separated","2016","Employed","445","0.0271074498149821","0.0245970125651","0.0296178870648641","2"
"Married, but separated","2016","Not Employed","619","0.0232491396473409","0.0206686163311596","0.0258296629635223","2"
"Single","2016","Employed","4258","0.343083097046547","0.335744256030775","0.350421938062319","3"
"Single","2016","Not Employed","3427","0.232107497177095","0.224878014170597","0.239336980183593","3"
"Widowed","2016","Employed","268","0.0211669380899047","0.0189418052927901","0.0233920708870193","5"
"Widowed","2016","Not Employed","1153","0.17449677944002","0.167997495106117","0.180996063773923","5"
"Divorced","2017","Employed","1735","0.100604590143971","0.0962412646185616","0.104967915669381","4"
"Divorced","2017","Not Employed","825","0.0996128783215133","0.0947374658592919","0.104488290783735","4"
"Married","2017","Not Employed","7864","0.471190108135292","0.463063920450972","0.479316295819612","1"
"Married","2017","Employed","10647","0.507394777595456","0.500142809486941","0.51464674570397","1"
"Married, but separated","2017","Not Employed","626","0.0235042419603021","0.0210379341042544","0.0259705498163498","2"
"Married, but separated","2017","Employed","522","0.0280385611650008","0.0256439458121569","0.0304331765178446","2"
"Single","2017","Employed","5046","0.344462887381787","0.337569967287254","0.35135580747632","3"
"Single","2017","Not Employed","3999","0.229812935957039","0.222963980736955","0.236661891177123","3"
"Widowed","2017","Employed","307","0.0194991837137852","0.0174934855424181","0.0215048818851522","5"
"Widowed","2017","Not Employed","1181","0.175879835625853","0.169681968276663","0.182077702975044","5"
"Divorced","2018","Employed","1745","0.101300185137889","0.0968878234832128","0.105712546792564","4"
"Divorced","2018","Not Employed","850","0.10337129332838","0.0980597013278487","0.108682885328912","4"
"Married","2018","Employed","10167","0.506409490569943","0.499098218009501","0.513720763130385","1"
"Married","2018","Not Employed","6868","0.478070906380769","0.469355847530288","0.486785965231251","1"
"Married, but separated","2018","Employed","551","0.0286771795531619","0.0262365117617344","0.0311178473445894","2"
"Married, but separated","2018","Not Employed","464","0.0230391682735876","0.0204216459869401","0.025656690560235","2"
"Single","2018","Employed","5207","0.343991804999215","0.337044964354114","0.350938645644316","3"
"Single","2018","Not Employed","3292","0.216971310682621","0.209779994117485","0.224162627247756","3"
"Widowed","2018","Employed","293","0.0196213397397922","0.0175930970956548","0.0216495823839295","5"
"Widowed","2018","Not Employed","1146","0.178547321334642","0.171865630785727","0.185229011883558","5"
"Divorced","2019","Employed","1792","0.100180778369128","0.095862602959341","0.104498953778915","4"
"Divorced","2019","Not Employed","868","0.109038173695858","0.103347478834997","0.114728868556718","4"
"Married","2019","Employed","10765","0.513278157659457","0.506089509039681","0.520466806279233","1"
"Married","2019","Not Employed","6473","0.487088291608112","0.477962477502791","0.496214105713433","1"
"Married, but separated","2019","Employed","519","0.0257499007066612","0.0234719020966717","0.0280278993166508","2"
"Married, but separated","2019","Not Employed","342","0.0187301280337449","0.0162549236148066","0.0212053324526833","2"
"Single","2019","Not Employed","2756","0.210522768919325","0.203079464049705","0.217966073788944","3"
"Single","2019","Employed","5194","0.342846205208112","0.336019461016335","0.349672949399889","3"
"Widowed","2019","Employed","301","0.0179449580566417","0.0160356782264556","0.0198542378868278","5"
"Widowed","2019","Not Employed","1085","0.174620637742961","0.167689236274519","0.181552039211403","5"
