"pgfamstd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"7","1985","35-65 y.","indirect migration background","","","",""
"7","1985","66 and older","no migration background","","","",""
"7","1985","66 and older","direct migration background","","","",""
"7","1985","66 and older","indirect migration background","","","",""
"8","1985","16-34 y.","no migration background","","","",""
"8","1985","16-34 y.","direct migration background","","","",""
"8","1985","16-34 y.","indirect migration background","","","",""
"8","1985","35-65 y.","no migration background","","","",""
"8","1985","35-65 y.","direct migration background","","","",""
"8","1985","35-65 y.","indirect migration background","","","",""
"8","1985","66 and older","no migration background","","","",""
"8","1985","66 and older","direct migration background","","","",""
"8","1985","66 and older","indirect migration background","","","",""
"1","1986","16-34 y.","no migration background","1055","0.34438782023961","0.326843966621824","0.361931673857395"
"1","1986","16-34 y.","direct migration background","543","0.51243067300931","0.482592346795955","0.542268999222665"
"1","1986","16-34 y.","indirect migration background","13","","",""
"1","1986","35-65 y.","no migration background","3109","0.796310771512591","0.783413746821436","0.809207796203745"
"1","1986","35-65 y.","direct migration background","1429","0.788151603524642","0.768453285873436","0.807849921175847"
"1","1986","35-65 y.","indirect migration background","16","","",""
"1","1986","66 and older","no migration background","502","0.431056070300434","0.400066524996289","0.462045615604579"
"1","1986","66 and older","direct migration background","20","","",""
"1","1986","66 and older","indirect migration background","2","","",""
"2","1986","16-34 y.","no migration background","34","0.0117077946418014","0.00773626480350079","0.0156793244801019"
"2","1986","16-34 y.","direct migration background","20","","",""
"2","1986","16-34 y.","indirect migration background","1","","",""
"2","1986","35-65 y.","no migration background","70","0.0207326023185959","0.0161696938057965","0.0252955108313953"
"2","1986","35-65 y.","direct migration background","38","0.037579533482465","0.0284116352999014","0.0467474316650287"
"2","1986","35-65 y.","indirect migration background","1","","",""
"2","1986","66 and older","no migration background","16","","",""
"2","1986","66 and older","direct migration background","1","","",""
"2","1986","66 and older","indirect migration background","","","",""
"3","1986","16-34 y.","no migration background","1659","0.617290623561629","0.599345064685022","0.635236182438235"
"3","1986","16-34 y.","direct migration background","477","0.418213422702709","0.388767881365087","0.447658964040331"
"3","1986","16-34 y.","indirect migration background","116","0.825657550242838","0.760437975115074","0.890877125370602"
"3","1986","35-65 y.","no migration background","178","0.0598363866348199","0.0522410224248207","0.0674317508448192"
"3","1986","35-65 y.","direct migration background","46","0.0380557616059836","0.028832238882704","0.0472792843292631"
"3","1986","35-65 y.","indirect migration background","1","","",""
"3","1986","66 and older","no migration background","60","0.0704680996288106","0.0544525437675889","0.0864836554900322"
"3","1986","66 and older","direct migration background","4","","",""
"3","1986","66 and older","indirect migration background","1","","",""
"4","1986","16-34 y.","no migration background","68","0.0259382856455372","0.0200695916151092","0.0318069796759651"
"4","1986","16-34 y.","direct migration background","13","","",""
"4","1986","16-34 y.","indirect migration background","","","",""
"4","1986","35-65 y.","no migration background","200","0.06204627724366","0.0543210231155922","0.0697715313717278"
"4","1986","35-65 y.","direct migration background","46","0.0519069326369416","0.0412126949460605","0.0626011703278226"
"4","1986","35-65 y.","indirect migration background","3","","",""
"4","1986","66 and older","no migration background","20","","",""
"4","1986","66 and older","direct migration background","3","","",""
"4","1986","66 and older","indirect migration background","","","",""
"5","1986","16-34 y.","no migration background","2","","",""
"5","1986","16-34 y.","direct migration background","3","","",""
"5","1986","16-34 y.","indirect migration background","","","",""
"5","1986","35-65 y.","no migration background","189","0.0610739622903336","0.053405506040014","0.0687424185406533"
"5","1986","35-65 y.","direct migration background","37","0.0499938446255307","0.0394879475466939","0.0604997417043675"
"5","1986","35-65 y.","indirect migration background","","","",""
"5","1986","66 and older","no migration background","383","0.457378811624224","0.426204276764861","0.488553346483588"
"5","1986","66 and older","direct migration background","21","","",""
"5","1986","66 and older","indirect migration background","1","","",""
"6","1986","16-34 y.","no migration background","","","",""
"6","1986","16-34 y.","direct migration background","22","","",""
"6","1986","16-34 y.","indirect migration background","","","",""
"6","1986","35-65 y.","no migration background","","","",""
"6","1986","35-65 y.","direct migration background","57","0.0343123241244376","0.0255371634626085","0.0430874847862667"
"6","1986","35-65 y.","indirect migration background","","","",""
"6","1986","66 and older","no migration background","","","",""
"6","1986","66 and older","direct migration background","","","",""
"6","1986","66 and older","indirect migration background","","","",""
"7","1986","16-34 y.","no migration background","","","",""
"7","1986","16-34 y.","direct migration background","","","",""
"7","1986","16-34 y.","indirect migration background","","","",""
