"pgfamstd","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1985","vocational + Abi","West Germany","10","","","","4"
"Divorced","1985","vocational + Abi","East Germany","","","","","4"
"Divorced","1985","higher vocational","West Germany","22","","","","4"
"Divorced","1985","higher vocational","East Germany","","","","","4"
"Divorced","1985","in school","West Germany","","","","","4"
"Divorced","1985","in school","East Germany","","","","","4"
"Divorced","1985","inadequately","West Germany","19","","","","4"
"Divorced","1985","inadequately","East Germany","","","","","4"
"Divorced","1985","general elemantary","West Germany","77","0.0329145984870188","0.0263448083271287","0.0394843886469089","4"
"Divorced","1985","general elemantary","East Germany","","","","","4"
"Married","1985","in school","West Germany","","","","","1"
"Married","1985","in school","East Germany","","","","","1"
"Married","1985","inadequately","West Germany","598","0.541865415568276","0.506650457420534","0.577080373716017","1"
"Married","1985","inadequately","East Germany","","","","","1"
"Married","1985","general elemantary","West Germany","1628","0.501323643534059","0.482911969123203","0.519735317944914","1"
"Married","1985","general elemantary","East Germany","","","","","1"
"Married","1985","middle vocational","West Germany","3194","0.625306253616893","0.611608547626712","0.639003959607075","1"
"Married","1985","middle vocational","East Germany","","","","","1"
"Married","1985","vocational + Abi","West Germany","160","0.511095489597743","0.450796619577081","0.571394359618405","1"
"Married","1985","vocational + Abi","East Germany","","","","","1"
"Married","1985","higher vocational","West Germany","411","0.676147551787572","0.637494105080384","0.71480099849476","1"
"Married","1985","higher vocational","East Germany","","","","","1"
"Married","1985","higher education","West Germany","503","0.668305811577306","0.633649565115692","0.702962058038921","1"
"Married","1985","higher education","East Germany","","","","","1"
"Married, but separated","1985","in school","West Germany","","","","","2"
"Married, but separated","1985","in school","East Germany","","","","","2"
"Married, but separated","1985","inadequately","West Germany","34","0.0492227243086419","0.0339327364309275","0.0645127121863562","2"
"Married, but separated","1985","inadequately","East Germany","","","","","2"
"Married, but separated","1985","general elemantary","West Germany","44","0.0128077707179237","0.00866717870552646","0.016948362730321","2"
"Married, but separated","1985","general elemantary","East Germany","","","","","2"
"Married, but separated","1985","middle vocational","West Germany","95","0.0169196022331252","0.013269938730866","0.0205692657353845","2"
"Married, but separated","1985","middle vocational","East Germany","","","","","2"
"Married, but separated","1985","vocational + Abi","West Germany","4","","","","2"
"Married, but separated","1985","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1985","higher vocational","West Germany","6","","","","2"
"Married, but separated","1985","higher vocational","East Germany","","","","","2"
"Married, but separated","1985","higher education","West Germany","24","","","","2"
"Married, but separated","1985","higher education","East Germany","","","","","2"
"Single","1985","middle vocational","West Germany","1062","0.216119130412655","0.204471572717544","0.227766688107766","3"
"Single","1985","middle vocational","East Germany","","","","","3"
"Single","1985","vocational + Abi","West Germany","84","0.377340580363774","0.318869897566682","0.435811263160867","3"
"Single","1985","vocational + Abi","East Germany","","","","","3"
"Single","1985","in school","West Germany","177","1","1","1","3"
"Single","1985","in school","East Germany","","","","","3"
"Single","1985","inadequately","West Germany","96","0.310292568724094","0.277595933579111","0.342989203869078","3"
"Single","1985","inadequately","East Germany","","","","","3"
"Single","1985","general elemantary","West Germany","766","0.258405572176335","0.24228579738714","0.274525346965529","3"
"Single","1985","general elemantary","East Germany","","","","","3"
"Single","1985","higher vocational","East Germany","","","","","3"
"Single","1985","higher education","West Germany","142","0.215857314427288","0.185573825656148","0.246140803198429","3"
"Single","1985","higher education","East Germany","","","","","3"
"Single","1985","higher vocational","West Germany","90","0.181950246452014","0.150081859871316","0.213818633032712","3"
"Widowed","1985","vocational + Abi","West Germany","6","","","","5"
"Widowed","1985","higher education","West Germany","15","","","","5"
"Widowed","1985","higher vocational","East Germany","","","","","5"
"Widowed","1985","higher education","East Germany","","","","","5"
"Widowed","1985","higher vocational","West Germany","34","0.0842070275404535","0.0612684377231979","0.107145617357709","5"
"Widowed","1985","general elemantary","East Germany","","","","","5"
"Widowed","1985","middle vocational","West Germany","262","0.0940320571217443","0.0857724837449639","0.102291630498525","5"
"Widowed","1985","middle vocational","East Germany","","","","","5"
"Widowed","1985","vocational + Abi","East Germany","","","","","5"
"Widowed","1985","in school","West Germany","","","","","5"
"Widowed","1985","in school","East Germany","","","","","5"
"Widowed","1985","inadequately","West Germany","22","","","","5"
"Widowed","1985","inadequately","East Germany","","","","","5"
"Widowed","1985","general elemantary","West Germany","318","0.194548415084664","0.179971743386557","0.209125086782771","5"
"Divorced","1986","in school","West Germany","","","","","4"
"Divorced","1986","inadequately","East Germany","","","","","4"
"Divorced","1986","middle vocational","West Germany","195","0.0481195845491277","0.0421635201744817","0.0540756489237736","4"
"Divorced","1986","middle vocational","East Germany","","","","","4"
"Divorced","1986","higher vocational","East Germany","","","","","4"
"Divorced","1986","higher education","West Germany","27","","","","4"
"Divorced","1986","higher education","East Germany","","","","","4"
"Divorced","1986","in school","East Germany","","","","","4"
"Divorced","1986","inadequately","West Germany","20","","","","4"
"Divorced","1986","general elemantary","West Germany","76","0.0315696958792461","0.0251570335188424","0.0379823582396497","4"
"Divorced","1986","general elemantary","East Germany","","","","","4"
"Divorced","1986","vocational + Abi","West Germany","9","","","","4"
"Divorced","1986","vocational + Abi","East Germany","","","","","4"
"Divorced","1986","higher vocational","West Germany","23","","","","4"
"Married","1986","in school","West Germany","","","","","1"
"Married","1986","in school","East Germany","","","","","1"
"Married","1986","inadequately","West Germany","583","0.53732662165542","0.502131916053308","0.572521327257532","1"
"Married","1986","inadequately","East Germany","","","","","1"
"Married","1986","general elemantary","West Germany","1641","0.512685802244437","0.494354253112791","0.531017351376083","1"
"Married","1986","general elemantary","East Germany","","","","","1"
"Married","1986","middle vocational","West Germany","3273","0.617036991263538","0.6035087522901","0.630565230236976","1"
"Married","1986","middle vocational","East Germany","","","","","1"
"Married","1986","vocational + Abi","West Germany","164","0.513794735035756","0.454614394054778","0.572975076016733","1"
"Married","1986","vocational + Abi","East Germany","","","","","1"
"Married","1986","higher vocational","West Germany","431","0.69310006616993","0.655533181920984","0.730666950418877","1"
"Married","1986","higher vocational","East Germany","","","","","1"
"Married","1986","higher education","West Germany","539","0.671855024518305","0.638206350393074","0.705503698643536","1"
"Married","1986","higher education","East Germany","","","","","1"
"Married, but separated","1986","in school","West Germany","","","","","2"
"Married, but separated","1986","in school","East Germany","","","","","2"
"Married, but separated","1986","inadequately","West Germany","42","0.0558353961573122","0.0396285107873913","0.072042281527233","2"
"Married, but separated","1986","inadequately","East Germany","","","","","2"
"Married, but separated","1986","general elemantary","West Germany","52","0.0148446411772816","0.0104095127139556","0.0192797696406077","2"
"Married, but separated","1986","general elemantary","East Germany","","","","","2"
"Married, but separated","1986","middle vocational","West Germany","122","0.0227146520218232","0.0185682539813321","0.0268610500623144","2"
"Married, but separated","1986","middle vocational","East Germany","","","","","2"
"Married, but separated","1986","vocational + Abi","West Germany","5","","","","2"
"Married, but separated","1986","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1986","higher vocational","West Germany","9","","","","2"
"Married, but separated","1986","higher vocational","East Germany","","","","","2"
"Married, but separated","1986","higher education","West Germany","23","","","","2"
"Married, but separated","1986","higher education","East Germany","","","","","2"
"Single","1986","higher vocational","East Germany","","","","","3"
"Single","1986","higher education","West Germany","142","0.210901589196378","0.181666609093688","0.240136569299069","3"
"Single","1986","higher education","East Germany","","","","","3"
"Single","1986","middle vocational","West Germany","1110","0.2177447799205","0.206259135582451","0.229230424258549","3"
"Single","1986","middle vocational","East Germany","","","","","3"
"Single","1986","vocational + Abi","West Germany","90","0.384678512036716","0.327071836341342","0.44228518773209","3"
"Single","1986","vocational + Abi","East Germany","","","","","3"
"Single","1986","higher vocational","West Germany","85","0.15779109229461","0.128097689767916","0.187484494821305","3"
"Single","1986","in school","West Germany","180","1","1","1","3"
"Single","1986","in school","East Germany","","","","","3"
"Single","1986","inadequately","West Germany","104","0.29652806809782","0.264289392433269","0.32876674376237","3"
"Single","1986","inadequately","East Germany","","","","","3"
"Single","1986","general elemantary","West Germany","788","0.254027293821279","0.238062230362174","0.269992357280383","3"
"Single","1986","general elemantary","East Germany","","","","","3"
"Widowed","1986","vocational + Abi","West Germany","6","","","","5"
"Widowed","1986","higher vocational","East Germany","","","","","5"
"Widowed","1986","higher education","West Germany","17","","","","5"
"Widowed","1986","higher education","East Germany","","","","","5"
"Widowed","1986","vocational + Abi","East Germany","","","","","5"
"Widowed","1986","higher vocational","West Germany","31","0.0798945334531153","0.0578101058656476","0.101978961040583","5"
"Widowed","1986","general elemantary","East Germany","","","","","5"
"Widowed","1986","middle vocational","West Germany","260","0.0943839922450117","0.0862476638398762","0.102520320650147","5"
"Widowed","1986","middle vocational","East Germany","","","","","5"
"Widowed","1986","in school","West Germany","","","","","5"
"Widowed","1986","in school","East Germany","","","","","5"
"Widowed","1986","inadequately","West Germany","22","","","","5"
"Widowed","1986","inadequately","East Germany","","","","","5"
"Widowed","1986","general elemantary","West Germany","299","0.186872566877756","0.172576351849398","0.201168781906115","5"
"Divorced","1987","inadequately","East Germany","","","","","4"
"Divorced","1987","general elemantary","West Germany","79","0.0350228758198238","0.028246154944938","0.0417995966947095","4"
"Divorced","1987","in school","East Germany","","","","","4"
"Divorced","1987","vocational + Abi","East Germany","","","","","4"
"Divorced","1987","inadequately","West Germany","22","","","","4"
"Divorced","1987","in school","West Germany","1","","","","4"
"Divorced","1987","general elemantary","East Germany","","","","","4"
"Divorced","1987","middle vocational","West Germany","210","0.0518762893330424","0.0457055575934531","0.0580470210726318","4"
"Divorced","1987","middle vocational","East Germany","","","","","4"
"Divorced","1987","vocational + Abi","West Germany","9","","","","4"
"Divorced","1987","higher vocational","West Germany","21","","","","4"
"Divorced","1987","higher vocational","East Germany","","","","","4"
"Divorced","1987","higher education","West Germany","34","0.0530477404042494","0.0369211102676821","0.0691743705408166","4"
"Divorced","1987","higher education","East Germany","","","","","4"
"Married","1987","in school","West Germany","","","","","1"
"Married","1987","in school","East Germany","","","","","1"
"Married","1987","inadequately","West Germany","567","0.581421442385179","0.545973124313144","0.616869760457213","1"
"Married","1987","inadequately","East Germany","","","","","1"
"Married","1987","general elemantary","West Germany","1597","0.518428228641759","0.500009484370746","0.536846972912773","1"
"Married","1987","general elemantary","East Germany","","","","","1"
"Married","1987","middle vocational","West Germany","3268","0.615012202059896","0.601473249711127","0.628551154408665","1"
"Married","1987","middle vocational","East Germany","","","","","1"
"Married","1987","vocational + Abi","West Germany","169","0.534586197207983","0.475417055761057","0.593755338654908","1"
"Married","1987","vocational + Abi","East Germany","","","","","1"
"Married","1987","higher vocational","West Germany","420","0.692083581005788","0.654119785976864","0.730047376034712","1"
"Married","1987","higher vocational","East Germany","","","","","1"
"Married","1987","higher education","West Germany","525","0.653840347546961","0.619609297626744","0.688071397467178","1"
"Married","1987","higher education","East Germany","","","","","1"
"Married, but separated","1987","in school","West Germany","","","","","2"
"Married, but separated","1987","in school","East Germany","","","","","2"
"Married, but separated","1987","inadequately","West Germany","42","0.0702814702252008","0.0519136429993884","0.0886492974510133","2"
"Married, but separated","1987","inadequately","East Germany","","","","","2"
"Married, but separated","1987","general elemantary","West Germany","65","0.0176038176566621","0.0127561599070376","0.0224514754062865","2"
"Married, but separated","1987","general elemantary","East Germany","","","","","2"
"Married, but separated","1987","middle vocational","West Germany","93","0.0156506167942643","0.0121971118927406","0.019104121695788","2"
"Married, but separated","1987","middle vocational","East Germany","","","","","2"
"Married, but separated","1987","vocational + Abi","West Germany","4","","","","2"
"Married, but separated","1987","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1987","higher vocational","West Germany","7","","","","2"
"Married, but separated","1987","higher vocational","East Germany","","","","","2"
"Married, but separated","1987","higher education","West Germany","20","","","","2"
"Married, but separated","1987","higher education","East Germany","","","","","2"
"Single","1987","in school","West Germany","189","0.998818487914365","0.993933835549024","1.00370314027971","3"
"Single","1987","in school","East Germany","","","","","3"
"Single","1987","inadequately","West Germany","91","0.244178563230402","0.213309390357623","0.275047736103182","3"
"Single","1987","inadequately","East Germany","","","","","3"
"Single","1987","general elemantary","West Germany","780","0.232394856864339","0.216825618025001","0.247964095703676","3"
"Single","1987","general elemantary","East Germany","","","","","3"
"Single","1987","middle vocational","West Germany","1117","0.220645625783859","0.209107510849735","0.232183740717984","3"
"Single","1987","middle vocational","East Germany","","","","","3"
"Single","1987","vocational + Abi","West Germany","86","0.390506264888772","0.332634677728572","0.448377852048973","3"
"Single","1987","vocational + Abi","East Germany","","","","","3"
"Single","1987","higher vocational","West Germany","86","0.162444624797688","0.132110367866485","0.192778881728891","3"
"Single","1987","higher vocational","East Germany","","","","","3"
"Single","1987","higher education","West Germany","145","0.219117946054869","0.189354868666508","0.248881023443229","3"
"Single","1987","higher education","East Germany","","","","","3"
"Widowed","1987","in school","West Germany","","","","","5"
"Widowed","1987","in school","East Germany","","","","","5"
"Widowed","1987","inadequately","West Germany","22","","","","5"
"Widowed","1987","inadequately","East Germany","","","","","5"
"Widowed","1987","general elemantary","West Germany","306","0.196550221017416","0.181901445531815","0.211198996503018","5"
"Widowed","1987","general elemantary","East Germany","","","","","5"
"Widowed","1987","middle vocational","West Germany","274","0.096815266028938","0.0885875380127564","0.10504299404512","5"
"Widowed","1987","middle vocational","East Germany","","","","","5"
"Widowed","1987","vocational + Abi","West Germany","5","","","","5"
"Widowed","1987","vocational + Abi","East Germany","","","","","5"
"Widowed","1987","higher vocational","West Germany","34","0.0887030021329381","0.0653214653537808","0.112084538912095","5"
"Widowed","1987","higher vocational","East Germany","","","","","5"
"Widowed","1987","higher education","West Germany","18","","","","5"
"Widowed","1987","higher education","East Germany","","","","","5"
"Divorced","1988","inadequately","East Germany","","","","","4"
"Divorced","1988","general elemantary","West Germany","75","0.0341334580404784","0.0272998202805844","0.0409670958003725","4"
"Divorced","1988","general elemantary","East Germany","","","","","4"
"Divorced","1988","middle vocational","West Germany","193","0.0521517987341412","0.0458190516957899","0.0584845457724926","4"
"Divorced","1988","middle vocational","East Germany","","","","","4"
"Divorced","1988","vocational + Abi","West Germany","8","","","","4"
"Divorced","1988","vocational + Abi","East Germany","","","","","4"
"Divorced","1988","in school","West Germany","","","","","4"
"Divorced","1988","in school","East Germany","","","","","4"
"Divorced","1988","inadequately","West Germany","22","","","","4"
"Divorced","1988","higher vocational","West Germany","18","","","","4"
"Divorced","1988","higher vocational","East Germany","","","","","4"
"Divorced","1988","higher education","West Germany","34","0.0554307830086954","0.0384920281534417","0.0723695378639491","4"
"Divorced","1988","higher education","East Germany","","","","","4"
"Married","1988","in school","West Germany","","","","","1"
"Married","1988","in school","East Germany","","","","","1"
"Married","1988","inadequately","West Germany","541","0.596705798956436","0.560313331893979","0.633098266018893","1"
"Married","1988","inadequately","East Germany","","","","","1"
"Married","1988","general elemantary","West Germany","1530","0.51660237042709","0.497794756382939","0.53540998447124","1"
"Married","1988","general elemantary","East Germany","","","","","1"
"Married","1988","middle vocational","West Germany","3123","0.609175859057343","0.595277928654025","0.623073789460661","1"
"Married","1988","middle vocational","East Germany","","","","","1"
"Married","1988","vocational + Abi","West Germany","158","0.491764515232456","0.432022064118659","0.551506966346252","1"
"Married","1988","vocational + Abi","East Germany","","","","","1"
"Married","1988","higher vocational","West Germany","399","0.695018280971612","0.65618659659439","0.733849965348834","1"
"Married","1988","higher vocational","East Germany","","","","","1"
"Married","1988","higher education","West Germany","484","0.630155454538729","0.594418088456198","0.665892820621261","1"
"Married","1988","higher education","East Germany","","","","","1"
"Married, but separated","1988","in school","West Germany","","","","","2"
"Married, but separated","1988","in school","East Germany","","","","","2"
"Married, but separated","1988","inadequately","West Germany","33","0.0554537071882306","0.0384752862726158","0.0724321281038455","2"
"Married, but separated","1988","inadequately","East Germany","","","","","2"
"Married, but separated","1988","general elemantary","West Germany","65","0.0217614140746218","0.0162701895756607","0.027252638573583","2"
"Married, but separated","1988","general elemantary","East Germany","","","","","2"
"Married, but separated","1988","middle vocational","West Germany","114","0.0219907970943335","0.017813647239914","0.0261679469487529","2"
"Married, but separated","1988","middle vocational","East Germany","","","","","2"
"Married, but separated","1988","vocational + Abi","West Germany","6","","","","2"
"Married, but separated","1988","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1988","higher vocational","West Germany","10","","","","2"
"Married, but separated","1988","higher vocational","East Germany","","","","","2"
"Married, but separated","1988","higher education","West Germany","24","","","","2"
"Married, but separated","1988","higher education","East Germany","","","","","2"
"Single","1988","inadequately","East Germany","","","","","3"
"Single","1988","general elemantary","West Germany","762","0.233051154869666","0.217139619921484","0.248962689817848","3"
"Single","1988","in school","West Germany","162","1","1","1","3"
"Single","1988","in school","East Germany","","","","","3"
"Single","1988","inadequately","West Germany","79","0.244459531226339","0.212577004482241","0.276342057970436","3"
"Single","1988","general elemantary","East Germany","","","","","3"
"Single","1988","middle vocational","West Germany","1037","0.219280042298918","0.207494887449901","0.231065197147935","3"
"Single","1988","middle vocational","East Germany","","","","","3"
"Single","1988","vocational + Abi","West Germany","90","0.41693202749238","0.358011832812704","0.475852222172056","3"
"Single","1988","vocational + Abi","East Germany","","","","","3"
"Single","1988","higher vocational","West Germany","81","0.160527660927969","0.129565636769548","0.191489685086391","3"
"Single","1988","higher vocational","East Germany","","","","","3"
"Single","1988","higher education","West Germany","141","0.229746041692153","0.198605219824891","0.260886863559416","3"
"Single","1988","higher education","East Germany","","","","","3"
"Widowed","1988","in school","East Germany","","","","","5"
"Widowed","1988","inadequately","West Germany","23","","","","5"
"Widowed","1988","inadequately","East Germany","","","","","5"
"Widowed","1988","middle vocational","West Germany","268","0.097401502815264","0.0889561415651079","0.10584686406542","5"
"Widowed","1988","middle vocational","East Germany","","","","","5"
"Widowed","1988","vocational + Abi","West Germany","7","","","","5"
"Widowed","1988","vocational + Abi","East Germany","","","","","5"
"Widowed","1988","higher vocational","West Germany","32","0.0886616055226687","0.0646865931197561","0.112636617925581","5"
"Widowed","1988","higher vocational","East Germany","","","","","5"
"Widowed","1988","higher education","West Germany","18","","","","5"
"Widowed","1988","in school","West Germany","","","","","5"
"Widowed","1988","general elemantary","West Germany","280","0.194451602588144","0.179556111335474","0.209347093840813","5"
"Widowed","1988","general elemantary","East Germany","","","","","5"
"Widowed","1988","higher education","East Germany","","","","","5"
"Divorced","1989","in school","West Germany","","","","","4"
"Divorced","1989","in school","East Germany","","","","","4"
"Divorced","1989","inadequately","West Germany","24","","","","4"
"Divorced","1989","inadequately","East Germany","","","","","4"
"Divorced","1989","general elemantary","West Germany","79","0.0385525420889927","0.0311048031631998","0.0460002810147856","4"
"Divorced","1989","general elemantary","East Germany","","","","","4"
"Divorced","1989","middle vocational","West Germany","201","0.0564706768388327","0.049811747776395","0.0631296059012703","4"
"Divorced","1989","middle vocational","East Germany","","","","","4"
"Divorced","1989","vocational + Abi","West Germany","7","","","","4"
"Divorced","1989","vocational + Abi","East Germany","","","","","4"
"Divorced","1989","higher vocational","West Germany","21","","","","4"
"Divorced","1989","higher vocational","East Germany","","","","","4"
"Divorced","1989","higher education","West Germany","39","0.0665815464127518","0.0480607950524186","0.085102297773085","4"
"Divorced","1989","higher education","East Germany","","","","","4"
"Married","1989","in school","West Germany","1","","","","1"
"Married","1989","in school","East Germany","","","","","1"
"Married","1989","inadequately","West Germany","503","0.598520607388466","0.560980230861714","0.636060983915219","1"
"Married","1989","inadequately","East Germany","","","","","1"
"Married","1989","general elemantary","West Germany","1449","0.508395556871083","0.489056115302164","0.527734998440002","1"
"Married","1989","general elemantary","East Germany","","","","","1"
"Married","1989","middle vocational","West Germany","3012","0.610733008932063","0.596667201198829","0.624798816665296","1"
"Married","1989","middle vocational","East Germany","","","","","1"
"Married","1989","vocational + Abi","West Germany","156","0.451765392445913","0.394288728883486","0.509242056008339","1"
"Married","1989","vocational + Abi","East Germany","","","","","1"
"Married","1989","higher vocational","West Germany","388","0.705194076279114","0.665814874638128","0.7445732779201","1"
"Married","1989","higher vocational","East Germany","","","","","1"
"Married","1989","higher education","West Germany","476","0.630912303470328","0.595062006816205","0.666762600124452","1"
"Married","1989","higher education","East Germany","","","","","1"
"Married, but separated","1989","in school","West Germany","","","","","2"
"Married, but separated","1989","in school","East Germany","","","","","2"
"Married, but separated","1989","inadequately","West Germany","29","","","","2"
"Married, but separated","1989","inadequately","East Germany","","","","","2"
"Married, but separated","1989","general elemantary","West Germany","59","0.0207503308458231","0.0152359801023076","0.0262646815893386","2"
"Married, but separated","1989","general elemantary","East Germany","","","","","2"
"Married, but separated","1989","middle vocational","West Germany","99","0.0209866695905765","0.0168516149170537","0.0251217242640992","2"
"Married, but separated","1989","middle vocational","East Germany","","","","","2"
"Married, but separated","1989","vocational + Abi","West Germany","8","","","","2"
"Married, but separated","1989","vocational + Abi","East Germany","","","","","2"
"Married, but separated","1989","higher vocational","West Germany","6","","","","2"
"Married, but separated","1989","higher vocational","East Germany","","","","","2"
"Married, but separated","1989","higher education","West Germany","23","","","","2"
"Married, but separated","1989","higher education","East Germany","","","","","2"
"Single","1989","in school","West Germany","174","0.994437955978013","0.983419135087667","1.00545677686836","3"
"Single","1989","in school","East Germany","","","","","3"
"Single","1989","inadequately","West Germany","78","0.245900641563038","0.212922850844292","0.278878432281784","3"
"Single","1989","inadequately","East Germany","","","","","3"
"Single","1989","general elemantary","West Germany","705","0.23445517476837","0.21806625305787","0.250844096478869","3"
"Single","1989","general elemantary","East Germany","","","","","3"
"Single","1989","middle vocational","West Germany","1039","0.21451755317638","0.202675831470614","0.226359274882146","3"
"Single","1989","middle vocational","East Germany","","","","","3"
"Single","1989","vocational + Abi","West Germany","109","0.444878855820162","0.387484839813772","0.502272871826551","3"
"Single","1989","vocational + Abi","East Germany","","","","","3"
"Single","1989","higher vocational","West Germany","70","0.150187540719144","0.119332723610269","0.18104235782802","3"
"Single","1989","higher vocational","East Germany","","","","","3"
"Single","1989","higher education","West Germany","140","0.226391873594011","0.195300894436151","0.25748285275187","3"
"Single","1989","higher education","East Germany","","","","","3"
"Widowed","1989","in school","West Germany","","","","","5"
"Widowed","1989","in school","East Germany","","","","","5"
"Widowed","1989","inadequately","West Germany","21","","","","5"
"Widowed","1989","inadequately","East Germany","","","","","5"
"Widowed","1989","general elemantary","West Germany","275","0.197846395425732","0.182435495597898","0.213257295253565","5"
"Widowed","1989","general elemantary","East Germany","","","","","5"
"Widowed","1989","middle vocational","West Germany","265","0.097292091462148","0.0887428499811164","0.10584133294318","5"
"Widowed","1989","middle vocational","East Germany","","","","","5"
"Widowed","1989","vocational + Abi","West Germany","8","","","","5"
"Widowed","1989","vocational + Abi","East Germany","","","","","5"
"Widowed","1989","higher vocational","West Germany","30","0.0860776481083489","0.0618537337635159","0.110301562453182","5"
"Widowed","1989","higher vocational","East Germany","","","","","5"
"Widowed","1989","higher education","West Germany","18","","","","5"
"Widowed","1989","higher education","East Germany","","","","","5"
"Divorced","1990","in school","West Germany","","","","","4"
"Divorced","1990","in school","East Germany","","","","","4"
