"pgfamstd","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Single","1984","Rhineland-Palatinate,Saarland","Not Employed","49","0.135263942928931","0.0973753281322342","0.173152557725629","3"
"Single","1984","Rhineland-Palatinate,Saarland","Employed","108","0.271092007365258","0.229125370320594","0.313058644409921","3"
"Single","1984","Baden-Württemberg","Not Employed","127","0.189459565135246","0.158956107338853","0.21996302293164","3"
"Single","1984","Baden-Württemberg","Employed","289","0.250206069669711","0.226901960277462","0.273510179061959","3"
"Single","1984","Bavaria","Not Employed","116","0.157808302160003","0.129227232135455","0.186389372184551","3"
"Single","1984","Bavaria","Employed","291","0.270735542622415","0.24582244963117","0.295648635613659","3"
"Single","1984","Berlin","Not Employed","26","","","","3"
"Single","1984","Berlin","Employed","54","0.252080910682036","0.197261184964616","0.306900636399456","3"
"Single","1984","Brandenburg","Not Employed","","","","","3"
"Single","1984","Saxony-Anhalt","Employed","","","","","3"
"Single","1984","Thuringia","Not Employed","","","","","3"
"Widowed","1984","Mecklenburg-Western Pomerania","Employed","","","","","5"
"Widowed","1984","Hamburg","Employed","4","","","","5"
"Widowed","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","5"
"Widowed","1984","Schleswig-Holstein","Employed","7","","","","5"
"Widowed","1984","Hamburg","Not Employed","16","","","","5"
"Widowed","1984","Saxony","Not Employed","","","","","5"
"Widowed","1984","Lower Saxony","Not Employed","60","0.192751113726507","0.156585805876447","0.228916421576568","5"
"Widowed","1984","Lower Saxony","Employed","11","","","","5"
"Widowed","1984","Bremen","Not Employed","14","","","","5"
"Widowed","1984","Bremen","Employed","1","","","","5"
"Widowed","1984","Brandenburg","Employed","","","","","5"
"Widowed","1984","Saxony","Employed","","","","","5"
"Widowed","1984","Saxony-Anhalt","Not Employed","","","","","5"
"Widowed","1984","Saxony-Anhalt","Employed","","","","","5"
"Widowed","1984","Thuringia","Not Employed","","","","","5"
"Widowed","1984","Thuringia","Employed","","","","","5"
"Widowed","1984","Schleswig-Holstein","Not Employed","21","","","","5"
"Widowed","1984","North Rhine-Westphalia","Not Employed","139","0.201849302954995","0.17854952721417","0.22514907869582","5"
"Widowed","1984","North Rhine-Westphalia","Employed","28","","","","5"
"Widowed","1984","Hesse","Not Employed","49","0.19577194125689","0.157364002817584","0.234179879696196","5"
"Widowed","1984","Hesse","Employed","11","","","","5"
"Widowed","1984","Rhineland-Palatinate,Saarland","Not Employed","59","0.247843065350108","0.200011065381056","0.29567506531916","5"
"Widowed","1984","Rhineland-Palatinate,Saarland","Employed","9","","","","5"
"Widowed","1984","Baden-Württemberg","Not Employed","82","0.213474544099388","0.181578788050459","0.245370300148317","5"
"Widowed","1984","Baden-Württemberg","Employed","31","0.0341028246063595","0.024337801993359","0.04386784721936","5"
"Widowed","1984","Bavaria","Not Employed","78","0.189214109535586","0.158507071095586","0.219921147975585","5"
"Widowed","1984","Bavaria","Employed","26","","","","5"
"Widowed","1984","Berlin","Not Employed","24","","","","5"
"Widowed","1984","Berlin","Employed","7","","","","5"
"Widowed","1984","Brandenburg","Not Employed","","","","","5"
"Divorced","1985","Bavaria","Not Employed","5","","","","4"
"Divorced","1985","North Rhine-Westphalia","Employed","67","0.052607768913735","0.0417996910275224","0.0634158467999476","4"
"Divorced","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Divorced","1985","Baden-Württemberg","Employed","40","0.0442795839978931","0.0329834307698306","0.0555757372259555","4"
"Divorced","1985","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Divorced","1985","Hamburg","Not Employed","9","","","","4"
"Divorced","1985","Hesse","Not Employed","6","","","","4"
"Divorced","1985","Rhineland-Palatinate,Saarland","Employed","17","","","","4"
"Divorced","1985","Baden-Württemberg","Not Employed","13","","","","4"
"Divorced","1985","Saxony","Not Employed","","","","","4"
"Divorced","1985","Saxony","Employed","","","","","4"
"Divorced","1985","Saxony-Anhalt","Not Employed","","","","","4"
"Divorced","1985","Lower Saxony","Not Employed","9","","","","4"
"Divorced","1985","North Rhine-Westphalia","Not Employed","24","","","","4"
"Divorced","1985","Hesse","Employed","22","","","","4"
"Divorced","1985","Rhineland-Palatinate,Saarland","Not Employed","5","","","","4"
"Divorced","1985","Hamburg","Employed","20","","","","4"
"Divorced","1985","Schleswig-Holstein","Employed","15","","","","4"
"Divorced","1985","Lower Saxony","Employed","22","","","","4"
"Divorced","1985","Bremen","Not Employed","1","","","","4"
"Divorced","1985","Bremen","Employed","1","","","","4"
"Divorced","1985","Saxony-Anhalt","Employed","","","","","4"
"Divorced","1985","Thuringia","Not Employed","","","","","4"
"Divorced","1985","Thuringia","Employed","","","","","4"
"Divorced","1985","Brandenburg","Employed","","","","","4"
"Divorced","1985","Schleswig-Holstein","Not Employed","3","","","","4"
"Divorced","1985","Bavaria","Employed","38","0.0464888454698742","0.0343362034034908","0.0586414875362577","4"
"Divorced","1985","Berlin","Not Employed","6","","","","4"
"Divorced","1985","Berlin","Employed","18","","","","4"
"Divorced","1985","Brandenburg","Not Employed","","","","","4"
"Married","1985","Schleswig-Holstein","Not Employed","70","0.492008710662769","0.40471612716246","0.579301294163079","1"
"Married","1985","Schleswig-Holstein","Employed","126","0.600383688230855","0.532499420284147","0.668267956177563","1"
"Married","1985","Hamburg","Not Employed","44","0.416662465162873","0.315921448854167","0.51740348147158","1"
"Married","1985","Hamburg","Employed","92","0.487227586869614","0.408284156911509","0.56617101682772","1"
"Married","1985","Lower Saxony","Not Employed","248","0.517384076912189","0.470851877502831","0.563916276321548","1"
"Married","1985","Lower Saxony","Employed","396","0.648220699833546","0.609425036072985","0.687016363594106","1"
"Married","1985","Bremen","Not Employed","35","0.475859763460699","0.348425759861441","0.603293767059958","1"
"Married","1985","Bremen","Employed","30","0.58804514594369","0.445812489232882","0.730277802654498","1"
"Married","1985","North Rhine-Westphalia","Not Employed","666","0.52733171228343","0.498105975928442","0.556557448638417","1"
"Married","1985","North Rhine-Westphalia","Employed","1109","0.630217577876764","0.606846593679226","0.653588562074302","1"
"Married","1985","Hesse","Not Employed","238","0.554742874043443","0.505034016224557","0.604451731862329","1"
"Married","1985","Hesse","Employed","444","0.631947873365149","0.594815228659939","0.66908051807036","1"
"Married","1985","Rhineland-Palatinate,Saarland","Not Employed","203","0.586804475023443","0.532769212877576","0.64083973716931","1"
"Married","1985","Rhineland-Palatinate,Saarland","Employed","267","0.616690665340859","0.57024818260964","0.663133148072078","1"
"Married","1985","Baden-Württemberg","Not Employed","394","0.529368427463474","0.490576703537142","0.568160151389806","1"
"Married","1985","Baden-Württemberg","Employed","855","0.609734148443695","0.582947775431172","0.636520521456217","1"
"Married","1985","Bavaria","Not Employed","370","0.593621089306044","0.553545453047298","0.633696725564789","1"
"Married","1985","Bavaria","Employed","767","0.608812991720935","0.58064423982818","0.63698174361369","1"
"Married","1985","Berlin","Not Employed","52","0.319893666820444","0.234644449299228","0.405142884341659","1"
"Married","1985","Berlin","Employed","136","0.519577022012737","0.454149430203533","0.585004613821941","1"
"Married","1985","Brandenburg","Not Employed","","","","","1"
"Married","1985","Brandenburg","Employed","","","","","1"
"Married","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Married","1985","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Married","1985","Saxony","Not Employed","","","","","1"
"Married","1985","Saxony","Employed","","","","","1"
"Married","1985","Saxony-Anhalt","Not Employed","","","","","1"
"Married","1985","Saxony-Anhalt","Employed","","","","","1"
"Married","1985","Thuringia","Not Employed","","","","","1"
"Married","1985","Thuringia","Employed","","","","","1"
"Married, but separated","1985","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Married, but separated","1985","Saxony","Not Employed","","","","","2"
"Married, but separated","1985","Saxony","Employed","","","","","2"
"Married, but separated","1985","Saxony-Anhalt","Not Employed","","","","","2"
"Married, but separated","1985","Thuringia","Not Employed","","","","","2"
"Married, but separated","1985","Saxony-Anhalt","Employed","","","","","2"
"Married, but separated","1985","Bremen","Employed","1","","","","2"
"Married, but separated","1985","North Rhine-Westphalia","Not Employed","15","","","","2"
"Married, but separated","1985","North Rhine-Westphalia","Employed","46","0.0238343241416569","0.0164498121286436","0.0312188361546701","2"
"Married, but separated","1985","Hesse","Not Employed","8","","","","2"
"Married, but separated","1985","Hesse","Employed","19","","","","2"
"Married, but separated","1985","Rhineland-Palatinate,Saarland","Not Employed","","","","","2"
"Married, but separated","1985","Thuringia","Employed","","","","","2"
"Married, but separated","1985","Schleswig-Holstein","Not Employed","1","","","","2"
"Married, but separated","1985","Schleswig-Holstein","Employed","4","","","","2"
"Married, but separated","1985","Hamburg","Not Employed","3","","","","2"
"Married, but separated","1985","Hamburg","Employed","3","","","","2"
"Married, but separated","1985","Lower Saxony","Not Employed","2","","","","2"
"Married, but separated","1985","Lower Saxony","Employed","11","","","","2"
"Married, but separated","1985","Bremen","Not Employed","1","","","","2"
"Married, but separated","1985","Brandenburg","Employed","","","","","2"
"Married, but separated","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Married, but separated","1985","Rhineland-Palatinate,Saarland","Employed","10","","","","2"
"Married, but separated","1985","Baden-Württemberg","Not Employed","3","","","","2"
"Married, but separated","1985","Baden-Württemberg","Employed","43","0.0318765983706621","0.0222302104797965","0.0415229862615278","2"
"Married, but separated","1985","Bavaria","Not Employed","8","","","","2"
"Married, but separated","1985","Bavaria","Employed","21","","","","2"
"Married, but separated","1985","Berlin","Not Employed","","","","","2"
"Married, but separated","1985","Berlin","Employed","11","","","","2"
"Married, but separated","1985","Brandenburg","Not Employed","","","","","2"
"Single","1985","Saxony","Not Employed","","","","","3"
"Single","1985","Mecklenburg-Western Pomerania","Employed","","","","","3"
"Single","1985","Saxony","Employed","","","","","3"
"Single","1985","Hamburg","Employed","37","0.334068598813311","0.259574768496444","0.408562429130177","3"
"Single","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Single","1985","Hamburg","Not Employed","19","","","","3"
"Single","1985","Brandenburg","Employed","","","","","3"
"Single","1985","Saxony-Anhalt","Not Employed","","","","","3"
"Single","1985","Schleswig-Holstein","Employed","50","0.256851603129738","0.196301901673472","0.317401304586004","3"
"Single","1985","Schleswig-Holstein","Not Employed","28","","","","3"
"Single","1985","Lower Saxony","Not Employed","124","0.253231370471285","0.21273668655165","0.293726054390919","3"
"Single","1985","Lower Saxony","Employed","144","0.281234816296022","0.244707761428049","0.317761871163995","3"
"Single","1985","Bremen","Not Employed","6","","","","3"
"Single","1985","Bremen","Employed","13","","","","3"
"Single","1985","North Rhine-Westphalia","Not Employed","273","0.211723765759129","0.187808825173775","0.235638706344484","3"
"Single","1985","North Rhine-Westphalia","Employed","399","0.274935777731054","0.253320417309426","0.296551138152681","3"
"Single","1985","Hesse","Not Employed","82","0.182708801961706","0.144058701717375","0.221358902206036","3"
"Single","1985","Hesse","Employed","154","0.272551797903266","0.238268219079886","0.306835376726645","3"
"Single","1985","Rhineland-Palatinate,Saarland","Not Employed","52","0.140948978191197","0.102763943036628","0.179134013345765","3"
"Single","1985","Rhineland-Palatinate,Saarland","Employed","119","0.287645581644952","0.244405753618366","0.330885409671538","3"
"Single","1985","Baden-Württemberg","Not Employed","144","0.206287815726607","0.174840191202538","0.237735440250676","3"
"Single","1985","Baden-Württemberg","Employed","312","0.28768550705526","0.262827960629423","0.312543053481097","3"
"Single","1985","Bavaria","Not Employed","112","0.169454109371937","0.138843776388377","0.200064442355497","3"
"Single","1985","Bavaria","Employed","307","0.307870166805221","0.281225455103765","0.334514878506677","3"
"Single","1985","Berlin","Not Employed","32","0.252344463382042","0.17295792996932","0.331730996794765","3"
"Single","1985","Berlin","Employed","54","0.274030565426516","0.215621164320553","0.332439966532479","3"
"Single","1985","Brandenburg","Not Employed","","","","","3"
"Single","1985","Saxony-Anhalt","Employed","","","","","3"
"Single","1985","Thuringia","Not Employed","","","","","3"
"Single","1985","Thuringia","Employed","","","","","3"
"Widowed","1985","Schleswig-Holstein","Employed","5","","","","5"
"Widowed","1985","Mecklenburg-Western Pomerania","Employed","","","","","5"
"Widowed","1985","Hamburg","Employed","2","","","","5"
"Widowed","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","5"
"Widowed","1985","Saxony","Not Employed","","","","","5"
"Widowed","1985","Hamburg","Not Employed","17","","","","5"
"Widowed","1985","Lower Saxony","Not Employed","60","0.203108760648358","0.165645111101565","0.24057241019515","5"
"Widowed","1985","Lower Saxony","Employed","9","","","","5"
"Widowed","1985","Bremen","Not Employed","16","","","","5"
"Widowed","1985","Bremen","Employed","1","","","","5"
"Widowed","1985","Brandenburg","Employed","","","","","5"
"Widowed","1985","Saxony","Employed","","","","","5"
"Widowed","1985","Saxony-Anhalt","Not Employed","","","","","5"
"Widowed","1985","Saxony-Anhalt","Employed","","","","","5"
"Widowed","1985","Thuringia","Not Employed","","","","","5"
"Widowed","1985","Thuringia","Employed","","","","","5"
"Widowed","1985","Schleswig-Holstein","Not Employed","24","","","","5"
"Widowed","1985","North Rhine-Westphalia","Not Employed","143","0.218380337727009","0.194195131815009","0.242565543639009","5"
"Widowed","1985","North Rhine-Westphalia","Employed","18","","","","5"
"Widowed","1985","Hesse","Not Employed","50","0.227200565264569","0.185290283513833","0.269110847015306","5"
"Widowed","1985","Hesse","Employed","9","","","","5"
"Widowed","1985","Rhineland-Palatinate,Saarland","Not Employed","59","0.259038828589299","0.210962321380596","0.307115335798002","5"
"Widowed","1985","Rhineland-Palatinate,Saarland","Employed","8","","","","5"
"Widowed","1985","Baden-Württemberg","Not Employed","82","0.229513878585272","0.196832044608646","0.262195712561898","5"
"Widowed","1985","Baden-Württemberg","Employed","24","","","","5"
"Widowed","1985","Bavaria","Not Employed","82","0.212016835974703","0.178666222410435","0.24536744953897","5"
"Widowed","1985","Bavaria","Employed","20","","","","5"
"Widowed","1985","Berlin","Not Employed","25","","","","5"
"Widowed","1985","Berlin","Employed","5","","","","5"
"Widowed","1985","Brandenburg","Not Employed","","","","","5"
"Divorced","1986","Saxony","Not Employed","","","","","4"
"Divorced","1986","Schleswig-Holstein","Employed","17","","","","4"
"Divorced","1986","Hamburg","Not Employed","8","","","","4"
"Divorced","1986","Hamburg","Employed","17","","","","4"
"Divorced","1986","North Rhine-Westphalia","Employed","70","0.0535109147630214","0.0427717738148203","0.0642500557112225","4"
"Divorced","1986","Hesse","Not Employed","4","","","","4"
"Divorced","1986","Baden-Württemberg","Employed","43","0.042988518949929","0.0321163247087444","0.0538607131911136","4"
"Divorced","1986","Bavaria","Not Employed","10","","","","4"
"Divorced","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Divorced","1986","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Divorced","1986","Lower Saxony","Not Employed","11","","","","4"
"Divorced","1986","North Rhine-Westphalia","Not Employed","26","","","","4"
"Divorced","1986","Hesse","Employed","28","","","","4"
"Divorced","1986","Rhineland-Palatinate,Saarland","Not Employed","6","","","","4"
"Divorced","1986","Rhineland-Palatinate,Saarland","Employed","14","","","","4"
"Divorced","1986","Baden-Württemberg","Not Employed","12","","","","4"
"Divorced","1986","Saxony","Employed","","","","","4"
"Divorced","1986","Saxony-Anhalt","Not Employed","","","","","4"
"Divorced","1986","Lower Saxony","Employed","23","","","","4"
"Divorced","1986","Bremen","Not Employed","1","","","","4"
"Divorced","1986","Bremen","Employed","1","","","","4"
"Divorced","1986","Saxony-Anhalt","Employed","","","","","4"
"Divorced","1986","Thuringia","Not Employed","","","","","4"
"Divorced","1986","Thuringia","Employed","","","","","4"
"Divorced","1986","Schleswig-Holstein","Not Employed","1","","","","4"
"Divorced","1986","Brandenburg","Employed","","","","","4"
"Divorced","1986","Bavaria","Employed","36","0.0415242835701467","0.0301366674196987","0.0529118997205947","4"
"Divorced","1986","Berlin","Not Employed","7","","","","4"
"Divorced","1986","Berlin","Employed","18","","","","4"
"Divorced","1986","Brandenburg","Not Employed","","","","","4"
"Married","1986","Schleswig-Holstein","Not Employed","72","0.619222610006287","0.527216815216092","0.711228404796482","1"
"Married","1986","Schleswig-Holstein","Employed","126","0.555575035877716","0.488999941794474","0.622150129960958","1"
"Married","1986","Hamburg","Not Employed","51","0.434555310311944","0.336910742091871","0.532199878532017","1"
"Married","1986","Hamburg","Employed","91","0.495127435475947","0.415116040383338","0.575138830568555","1"
"Married","1986","Lower Saxony","Not Employed","265","0.542233524379185","0.496655350301508","0.587811698456862","1"
"Married","1986","Lower Saxony","Employed","422","0.625944422685301","0.588543823590002","0.6633450217806","1"
"Married","1986","Bremen","Not Employed","36","0.490850633371848","0.361070581032198","0.620630685711498","1"
"Married","1986","Bremen","Employed","29","","","","1"
"Married","1986","North Rhine-Westphalia","Not Employed","675","0.525633035177592","0.49667203318054","0.554594037174645","1"
"Married","1986","North Rhine-Westphalia","Employed","1135","0.634550717894235","0.611571392434625","0.657530043353844","1"
"Married","1986","Hesse","Not Employed","238","0.568431914969339","0.518501396208859","0.618362433729819","1"
"Married","1986","Hesse","Employed","440","0.621606348583793","0.58454981548599","0.658662881681596","1"
"Married","1986","Rhineland-Palatinate,Saarland","Not Employed","195","0.564385996735586","0.509542858515106","0.619229134956065","1"
"Married","1986","Rhineland-Palatinate,Saarland","Employed","286","0.615050356907984","0.570093169609368","0.6600075442066","1"
"Married","1986","Baden-Württemberg","Not Employed","386","0.533803863030555","0.494942195904917","0.572665530156193","1"
"Married","1986","Baden-Württemberg","Employed","893","0.632489234228914","0.606646171063421","0.658332297394407","1"
"Married","1986","Bavaria","Not Employed","372","0.594128795314532","0.554026311668587","0.634231278960477","1"
"Married","1986","Bavaria","Employed","783","0.612622255806234","0.584815206532287","0.640429305080181","1"
"Married","1986","Berlin","Not Employed","54","0.314571908910909","0.228575562946462","0.400568254875356","1"
"Married","1986","Berlin","Employed","140","0.519801855217374","0.456461821229815","0.583141889204933","1"
"Married","1986","Brandenburg","Not Employed","","","","","1"
"Married","1986","Brandenburg","Employed","","","","","1"
"Married","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Married","1986","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Married","1986","Saxony","Not Employed","","","","","1"
"Married","1986","Saxony","Employed","","","","","1"
"Married","1986","Saxony-Anhalt","Not Employed","","","","","1"
"Married","1986","Saxony-Anhalt","Employed","","","","","1"
"Married","1986","Thuringia","Not Employed","","","","","1"
"Married","1986","Thuringia","Employed","","","","","1"
"Married, but separated","1986","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Married, but separated","1986","Saxony","Not Employed","","","","","2"
"Married, but separated","1986","Saxony","Employed","","","","","2"
"Married, but separated","1986","Saxony-Anhalt","Not Employed","","","","","2"
"Married, but separated","1986","Saxony-Anhalt","Employed","","","","","2"
"Married, but separated","1986","Thuringia","Not Employed","","","","","2"
"Married, but separated","1986","Thuringia","Employed","","","","","2"
"Married, but separated","1986","Schleswig-Holstein","Not Employed","1","","","","2"
"Married, but separated","1986","Schleswig-Holstein","Employed","6","","","","2"
"Married, but separated","1986","Hamburg","Not Employed","2","","","","2"
"Married, but separated","1986","Hamburg","Employed","4","","","","2"
"Married, but separated","1986","Lower Saxony","Not Employed","1","","","","2"
"Married, but separated","1986","Lower Saxony","Employed","12","","","","2"
"Married, but separated","1986","Bremen","Not Employed","1","","","","2"
"Married, but separated","1986","Bremen","Employed","1","","","","2"
"Married, but separated","1986","North Rhine-Westphalia","Not Employed","22","","","","2"
"Married, but separated","1986","North Rhine-Westphalia","Employed","61","0.0306957564631547","0.0224646204708377","0.0389268924554717","2"
"Married, but separated","1986","Hesse","Not Employed","10","","","","2"
"Married, but separated","1986","Hesse","Employed","21","","","","2"
"Married, but separated","1986","Rhineland-Palatinate,Saarland","Not Employed","10","","","","2"
