"year","pgcasmin","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2009","(1b) general elementary school","Westdeutschland, alte Bundeslaender","4.26","4","1214","4.17","4.35","2","3","5","6"
"2009","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","4.26","4","949","4.16","4.36","2","3","5","6"
"2009","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","4.45","5","3860","4.4","4.5","2","3","6","6"
"2009","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","4.42","4","1565","4.35","4.49","2","3","6","6"
"2009","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","4.46","5","2808","4.41","4.51","2","4","6","6"
"2009","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","4.24","4","99","3.93","4.55","2","3","5","6"
"2009","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","4.42","5","333","4.26","4.58","2","3","6","6"
"2009","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","4.58","5","151","4.36","4.8","3","4","6","6"
"2009","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","4.49","5","543","4.36","4.62","2","4","6","6"
"2009","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","4.41","4","200","4.22","4.6","3","4","5","6"
"2009","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","4.4","4","1122","4.31","4.49","2","3","6","6"
"2009","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","4.39","5","609","4.28","4.5","2","4","5","6"
"2009","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","4.62","5","972","4.53","4.71","3","4","6","6"
"2009","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","4.7","5","595","4.59","4.81","3","4","6","6"
"2009","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","4.38","4","1851","4.31","4.45","2","3","5","6"
"2010","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(0) in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(1b) general elementary school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(0) in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(1b) general elementary school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
