"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","direct migration background","Male","2739.53","2147","728","1319","1738","2761","4386","16463","2620.88","2858.18","0","33234","2045","2147"
"1999","indirect migration background","Female","1236.59","1329","168","386","614","1738","2040","2712","1129.45","1343.73","61","3937","1050","1380"
"1999","indirect migration background","Male","1556.99","1534","213","322","537","2301","3058","5113","1402.59","1711.39","97","5624","1432","1738"
"1999","no migration background","Female","1574.31","1534","2928","322","833","2147","2787","4593","1539.11","1609.51","0","15065","1384","1483"
"1999","no migration background","Male","2535.94","2301","3588","993","1636","3116","4346","7311","2490.7","2581.18","0","20452","2147","2239"
"2000","direct migration background","Female","1435.12","1329","751","322","614","1841","2504","5113","1360.53","1509.71","0","10226","1227","1329"
"2000","direct migration background","Male","2327.42","2045","1058","1074","1636","2608","4090","7158","2249.59","2405.25","0","15339","2045","2198"
"2000","indirect migration background","Female","1306.29","1278","218","284","665","1790","2199","4346","1202.4","1410.18","0","4738","1176","1457"
"2000","indirect migration background","Male","1727.13","1738","280","383","614","2454","3119","5881","1590.64","1863.62","26","6180","1636","1841"
"2000","no migration background","Female","1532.21","1413.44","5171","322","767","2096","2761","4653","1503.18","1561.24","0","14827","1329","1424"
"2000","no migration background","Male","2676.89","2403","6367","1023","1738","3232","4499","9031","2635.68","2718.1","0","25565","2301","2403"
"2001","direct migration background","Female","1394.43","1278","689","322","614","1841","2454","5011","1322.63","1466.23","0","9817","1227","1365"
"2001","direct migration background","Male","2385.27","2141.46","938","869","1687","2659","4024","7671","2296.58","2473.96","0","15339","2147","2250"
"2001","indirect migration background","Female","1393.1","1278","202","322","644","1891","2372","4193","1261.02","1525.18","32","9203","1176","1432"
"2001","indirect migration background","Male","2050","1891.29","265","409","647","2863","3579","7669","1867.27","2232.73","0","12782","1738","2045"
"2001","no migration background","Female","1559.66","1432","4811","322","767","2198","2863","4719","1531.08","1588.24","0","9715","1355","1432"
"2001","no migration background","Male","2683.46","2454","5727","1004","1790","3323","4498","8692","2640.96","2725.96","0","20452","2352","2445"
"2002","direct migration background","Female","1403.6","1280.63","661","308","511","1900","2556","5553","1305.9","1501.3","0","13000","1258","1483"
"2002","direct migration background","Male","2348.38","2100","883","800","1600","2700","3800","7735","2179.96","2516.8","0","50000","2250","2403"
"2002","indirect migration background","Female","1458.41","1375.5","219","320","658","1917","2500","5400","1317.59","1599.23","0","7051","1201","1500"
"2002","indirect migration background","Male","2048.81","2000","259","350","642","2501","3500","7000","1819.74","2277.88","0","17500","1839","2185"
"2002","no migration background","Female","1624.83","1406.79","5285","325","704","2200","3000","5300","1562.21","1687.45","0","132569","1487","1534"
"2002","no migration background","Male","2858.26","2500","6197","1016","1800","3400","4844","10006","2787.62","2928.9","0","82962","2600","2700"
"2003","direct migration background","Female","1407.7","1298.73","630","320","590","1806","2500","5079","1316.72","1498.68","0","10000","1210","1445"
"2003","direct migration background","Male","2437.6","2300","781","720","1660","2900","3800","8700","2311.56","2563.64","0","26000","2300","2500"
"2003","indirect migration background","Female","1366.53","1150","229","300","516","2000","2500","4320","1210.54","1522.52","57","10000","900","1300"
"2003","indirect migration background","Male","2170.89","2000","253","380","750","2800","3950","7500","1827.21","2514.57","0","30000","2000","2400"
"2003","no migration background","Female","1669.58","1489.31","5055","325","750","2300","3043","5542","1628.64","1710.52","0","40000","1500","1600"
"2003","no migration background","Male","2962.45","2600","5844","1000","1834","3500","5000","11000","2889.46","3035.44","0","98107","2690","2800"
"2004","direct migration background","Female","1450.54","1340.06","591","325","600","1810","2600","6500","1355.43","1545.65","0","9938","1251","1497"
"2004","direct migration background","Male","2462.96","2200","746","786","1628","3000","4020","8300","2336.94","2588.98","0","17000","2300","2500"
"2004","indirect migration background","Female","1373.53","1200","223","419","635","1900","2320","4800","1225.58","1521.48","67","9000","1100","1456"
"2004","indirect migration background","Male","2002.78","1897.5","256","360","750","2900","4000","6500","1798.27","2207.29","19","10800","1900","2200"
"2004","no migration background","Female","1659.26","1500","4952","345","721","2308","3016","5300","1615.24","1703.28","0","54000","1500","1600"
"2004","no migration background","Male","3018.15","2600","5636","917","1850","3600","5000","11000","2947.73","3088.57","0","60000","2700","2800"
"2005","direct migration background","Female","1452.35","1210.47","570","300","600","1900","2600","6000","1354.57","1550.13","0","12300","1200","1400"
"2005","direct migration background","Male","2426.62","2200","666","400","1632","2800","4000","7900","2283.26","2569.98","0","20000","2400","2500"
"2005","indirect migration background","Female","1466.75","1200","222","306","590","2000","2900","4500","1298.16","1635.34","50","12000","1100","1443"
"2005","indirect migration background","Male","2085.84","2033.82","257","330","730","2800","4000","5800","1870.53","2301.15","0","11100","2000","2400"
"2005","no migration background","Female","1700.15","1499.73","4736","340","728","2400","3200","5819","1658.49","1741.81","0","28000","1500","1568"
"2005","no migration background","Male","2941.5","2600","5298","900","1817","3500","5000","10500","2874.3","3008.7","0","40000","2700","2800"
"2006","direct migration background","Female","1437.91","1260","580","280","551","2000","2600","5495","1337.87","1537.95","0","10000","1200","1400"
"2006","direct migration background","Male","2496.69","2300","678","525","1570","3000","4300","10000","2359.56","2633.82","0","18000","2300","2500"
"2006","indirect migration background","Female","1438.4","1162.89","237","340","620","2000","3000","6940","1286.48","1590.32","0","8000","1100","1500"
"2006","indirect migration background","Male","2119.14","2079.24","254","400","1000","3000","3500","5600","1930.97","2307.31","80","11240","2000","2400"
"2006","no migration background","Female","1720.35","1500","5049","367","750","2400","3200","5871","1680.3","1760.4","0","25000","1500","1598"
"2006","no migration background","Male","2977.98","2600","5589","800","1800","3600","5000","12000","2894.93","3061.03","0","115926","2700","2800"
"2007","direct migration background","Female","1333.4","1200","516","300","522","1800","2500","4700","1239.66","1427.14","0","9000","1180","1400"
"2007","direct migration background","Male","2652.73","2350","596","666","1800","3000","4500","10000","2453.76","2851.7","0","30000","2400","2560"
"2007","indirect migration background","Female","1490.31","1200","245","350","630","2105","2800","4500","1310.33","1670.29","0","16000","1200","1587"
"2007","indirect migration background","Male","2197.83","2193.62","264","360","1200","2800","3980","6502","1970.33","2425.33","70","12000","2045","2400"
"2007","no migration background","Female","1741.96","1500","4847","370","750","2400","3270","6000","1700.19","1783.73","0","27000","1500","1600"
"2007","no migration background","Male","3007.82","2600","5342","800","1800","3600","5100","11000","2935.24","3080.4","0","50000","2700","2800"
"2008","direct migration background","Female","1308.76","1158","502","279","400","1899","2500","4400","1215.41","1402.11","0","8000","1158","1389"
"2008","direct migration background","Male","2710.23","2400","538","900","1800","3180","4650","10000","2524.54","2895.92","0","20024","2400","2600"
"2008","indirect migration background","Female","1473.18","1200","239","285","500","2100","2800","4400","1301.35","1645.01","0","13500","1100","1500"
"2008","indirect migration background","Male","2232.94","2227.42","269","450","1000","2982","4000","6500","2025.94","2439.94","0","11663","2000","2489"
"2008","no migration background","Female","1759.65","1500","4627","358","800","2500","3310","6000","1717.08","1802.22","0","25000","1500","1600"
"2008","no migration background","Male","3027.83","2600","5013","800","1800","3612","5200","12500","2955.7","3099.96","0","35288","2700","2800"
"2009","direct migration background","Female","1339.73","1182.56","451","255","400","1900","2575","4827","1236.17","1443.29","0","8000","1200","1400"
"2009","direct migration background","Male","2692.27","2400","448","600","1700","3000","5000","9000","2505.41","2879.13","164","16000","2380","2506"
"2009","indirect migration background","Female","1668.44","1312.76","222","360","550","2200","3400","9066","1471.38","1865.5","0","10968","1192","1647"
"2009","indirect migration background","Male","2346.29","2400","244","420","1000","3200","4200","6500","2120.22","2572.36","0","11663","2000","2510"
"2009","no migration background","Female","1837.29","1631","4394","395","800","2550","3394","6250","1790.81","1883.77","0","30000","1600","1700"
"2009","no migration background","Male","3069.01","2699.73","4669","780","1800","3700","5200","12021","2993.65","3144.37","0","46856","2760","2900"
"2010","direct migration background","Female","1307.12","1100","620","270","400","1863","2650","5000","1199.03","1415.21","0","16000","1000","1200"
"2010","direct migration background","Male","2919.18","2500","879","670","1710","3200","5000","13893","2760.74","3077.62","0","38446","2200","2400"
"2010","indirect migration background","Female","1554.84","1300","303","310","550","2200","3288","5000","1409.52","1700.16","0","11000","1000","1400"
"2010","indirect migration background","Male","2338.01","2300","374","400","800","3000","4400","7202","2115.55","2560.47","0","23961","2300","2562"
"2010","no migration background","Female","1891.58","1600","5797","390","832","2560","3500","7000","1851.15","1932.01","0","35000","1437","1500"
"2010","no migration background","Male","3034.17","2700","6140","750","1800","3780","5240","12000","2967.31","3101.03","0","40000","2800","2900"
"2011","direct migration background","Female","1472.52","1250","828","350","500","2000","2800","5860","1385.79","1559.25","0","15000","1070","1250"
