"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2007","66 and older","1965.45","601.01","216","1377.91","2552.99","160","317","2100","3500"
"2008","16-34 y.","1700.63","1600","2866","1657.5","1743.76","369","700","2364","3200"
"2008","35-65 y.","2654.92","2400","8122","2603.79","2706.05","494","1383","3359","4750"
"2008","66 and older","2145.21","572.57","200","1641.16","2649.26","195","325","2500","4670"
"2009","16-34 y.","1730.61","1650","2625","1684.24","1776.98","354","700","2500","3200"
"2009","35-65 y.","2728.75","2420","7571","2674.95","2782.55","550","1400","3400","4900"
"2009","66 and older","1934.09","736.33","232","1546.77","2321.41","154","340","2341","4586"
"2010","16-34 y.","1812.19","1600","3775","1767.42","1856.96","350","710","2500","3400"
"2010","35-65 y.","2705.17","2400","10127","2656.71","2753.63","500","1400","3400","4900"
"2010","66 and older","1557.98","690.73","211","1167.3","1948.66","160","350","2000","3700"
"2011","16-34 y.","1851.28","1700","4189","1810.66","1891.9","400","800","2500","3400"
"2011","35-65 y.","2740.12","2450","12614","2697.36","2782.88","515","1400","3500","5000"
"2011","66 and older","1495.17","524.87","227","1147.02","1843.32","180","341","2000","3800"
"2012","16-34 y.","1842.24","1758.13","3988","1798.47","1886.01","360","767","2600","3400"
"2012","35-65 y.","2795.84","2480","12493","2751.6","2840.08","570","1491","3550","5000"
"2012","66 and older","1242.47","400","286","997.49","1487.45","160","332","1500","3200"
"2013","16-34 y.","1860.32","1700","5008","1824.06","1896.58","350","720","2600","3500"
"2013","35-65 y.","2828.06","2500","13816","2787.04","2869.08","600","1477","3600","5100"
"2013","66 and older","1529.92","500","298","1201.72","1858.12","160","350","1900","3800"
"2014","16-34 y.","1877.12","1700","4238","1837.15","1917.09","380","730","2700","3600"
"2014","35-65 y.","2888.33","2500","12290","2844.1","2932.56","605","1500","3664","5200"
"2014","66 and older","1563.54","450","329","1251.28","1875.8","160","300","2000","4093"
"2015","16-34 y.","1954.01","1800","4314","1913.86","1994.16","400","805","2799","3700"
"2015","35-65 y.","2973.63","2500","11984","2927.56","3019.7","650","1500","3800","5500"
"2015","66 and older","1669.25","450","335","1289.8","2048.7","180","340","2000","4500"
"2016","16-34 y.","1950.94","1850","4125","1908.77","1993.11","400","784","2800","3650"
"2016","35-65 y.","3021.13","2605","11334","2973.95","3068.31","700","1600","3800","5426"
"2016","66 and older","1666.73","450","342","1247.01","2086.45","160","329","1800","4000"
"2017","16-34 y.","1977.59","1859.81","4844","1939.44","2015.74","388","800","2800","3800"
"2017","35-65 y.","3093.84","2700","12803","3050.24","3137.44","760","1600","4000","5700"
"2017","66 and older","1458.54","450","413","1168.53","1748.55","150","375","1667","4000"
"2018","16-34 y.","2089.22","1900","4893","2049.45","2128.99","400","850","3000","4000"
"2018","35-65 y.","3186.52","2800","12304","3140.33","3232.71","808","1740","4020","5801"
"2018","66 and older","1542.37","450","438","1226.66","1858.08","130","300","1950","4400"
"2019","16-34 y.","2197.39","2050","4576","2147.31","2247.47","450","948","3000","4150"
"2019","35-65 y.","3412.06","2900","13189","2997.79","3826.33","850","1800","4200","6000"
"2019","66 and older","2122.67","600","668","1800.22","2445.12","240","448","2800","5700"
