"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","16-34 y.","higher education","2059.22","2038.19","168","951","1585","2454","3133","4468","1908.7","2209.74","0","8181","1790","2137"
"1989","16-34 y.","higher vocational","1606.25","1483","132","716","1202","1892","2710","3426","1426.37","1786.13","0","10226","1431","1534"
"1989","16-34 y.","in school","","","","","","","","","","","","","",""
"1989","16-34 y.","inadequately","1054.31","1125","88","230","767","1423","1662","2454","943.88","1164.74","82","2556","1048","1278"
"1989","16-34 y.","middle vocational","1320.04","1329","1334","448","971","1636","1943","3303","1284.21","1355.87","0","7669","1278","1329"
"1989","16-34 y.","vocational + Abi","1422.65","1351.65","114","736","1074","1821","2096","3477","1314.93","1530.37","205","3477","1317","1585"
"1989","35-65 y.","general elemantary","1154.28","1201.44","671","263","614","1585","1892","3016","1107.52","1201.04","0","5113","1227","1343"
"1989","35-65 y.","higher education","2906.2","2608.14","376","1355","2045","3375","4346","9203","2715.26","3097.14","0","23008","2556","2812"
"1989","35-65 y.","higher vocational","2013.54","1994","221","920","1534","2556","3069","4090","1900.3","2126.78","153","4604","1867","2069"
"1989","35-65 y.","in school","","","","","","","","","","","","","",""
"1989","35-65 y.","inadequately","1330.01","1311.35","258","716","1023","1636","1943","2454","1265.85","1394.17","0","4090","1278","1380"
"1989","35-65 y.","middle vocational","1702.97","1636","1636","690","1253","2045","2579","4857","1659.94","1746","0","10226","1587","1636"
"1989","35-65 y.","vocational + Abi","1951.84","1815.13","72","409","1432","2510","3076","5113","1761.15","2142.53","179","5113","1483","1841"
"1989","66 and older","general elemantary","","","","","","","","","","","","","",""
"1989","66 and older","higher education","","","","","","","","","","","","","",""
"1989","66 and older","higher vocational","","","","","","","","","","","","","",""
"1989","66 and older","in school","","","","","","","","","","","","","",""
"1989","66 and older","inadequately","","","","","","","","","","","","","",""
"1989","66 and older","middle vocational","","","","","","","","","","","","","",""
"1989","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1990","16-34 y.","general elemantary","774.82","520.05","786","153","307","1227","1529","2301","720.17","829.47","0","9419","514","752"
"1990","16-34 y.","higher education","1551.92","1329","434","511","634","2287","2838","3835","1456.09","1647.75","95","10226","716","818"
"1990","16-34 y.","higher vocational","1509.13","1432","191","460","890","1943","2480","4039","1370.68","1647.58","153","9718","1125","1432"
"1990","16-34 y.","in school","","","","","","","","","","","","","",""
"1990","16-34 y.","inadequately","1168.12","1227","89","344","792","1614","1790","2301","1047.57","1288.67","0","2556","1125","1432"
"1990","16-34 y.","middle vocational","1137.77","1125","2202","399","568","1534","1943","3061","1110.31","1165.23","0","7669","767","869"
"1990","16-34 y.","vocational + Abi","1305.04","1329","150","511","767","1651","2291","2761","1198.85","1411.23","153","2885","1125","1380"
"1990","35-65 y.","general elemantary","1123.03","1092.25","777","266","511","1585","1943","3068","1068.52","1177.54","0","9715","1125","1278"
"1990","35-65 y.","higher education","2090.78","1744.18","957","614","798","3007","3835","7669","1985.5","2196.06","0","25565","895","982"
"1990","35-65 y.","higher vocational","1771.93","1738","375","565","767","2510","3068","4280","1666.83","1877.03","128","7669","895","1432"
"1990","35-65 y.","in school","","","","","","","","","","","","","",""
