"year","e11103","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1992","Not Working","no migration background","902.93","716","102","164","307","1227","1841","3389","772.51","1033.35","0","3389","521","907"
"1992","Part Time","direct migration background","987.68","851.11","303","256","460","1329","2045","2994","909.13","1066.23","128","5113","818","978"
"1992","Part Time","indirect migration background","677.84","605.81","70","205","383","920","1329","1585","569.72","785.96","36","2147","383","767"
"1992","Part Time","no migration background","1023.84","859","1394","247","479","1305","2036","3733","980.33","1067.35","0","10234","817","869"
"1993","Full Time","direct migration background","1988.49","1790","1210","1125","1483","2199","3068","6222","1943.13","2033.85","0","10226","1738","1790"
"1993","Full Time","indirect migration background","1392.83","1410.77","172","435","588","1738","2454","3323","1260.33","1525.33","230","7669","1278","1508"
"1993","Full Time","no migration background","2090.48","1841","4632","920","1380","2556","3426","6033","2054.81","2126.15","0","28121","1687","1738"
"1993","Not Working","direct migration background","939","920","32","26","332","1688","2147","2302","715.37","1162.63","26","2302","399","1278"
"1993","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1993","Not Working","no migration background","862.18","702.36","146","178","360","1278","1816","2630","757.81","966.55","0","3068","524","859"
"1993","Part Time","direct migration background","1366.71","1081.07","289","266","608","1636","2914","5113","1276.45","1456.97","0","5113","915","1074"
"1993","Part Time","indirect migration background","681.88","540.45","104","287","376","785","1329","3323","582.17","781.59","77","3323","445","562"
"1993","Part Time","no migration background","1089.99","920","1320","256","481","1442","2148","3705","1050.06","1129.92","51","4602","869","920"
"1994","Full Time","direct migration background","2068.65","1841","1045","1138","1498","2250","3068","6911","2007.91","2129.39","266","20452","1790","1841"
"1994","Full Time","indirect migration background","1367.23","1329","206","440","545","1841","2301","4090","1238.81","1495.65","226","7669","1278","1534"
"1994","Full Time","no migration background","2190.41","1968.09","4478","1074","1534","2608","3535","6135","2154.24","2226.58","0","25565","1790","1841"
"1994","Not Working","direct migration background","","","","","","","","","","","","","",""
"1994","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1994","Not Working","no migration background","1009.5","884.81","117","144","376","1534","2060","2736","885.23","1133.77","0","3058","665","971"
"1994","Part Time","direct migration background","1225.81","1023","296","266","562","1536","2556","4125","1131.88","1319.74","0","7669","971","1227"
"1994","Part Time","indirect migration background","901.6","663.18","72","256","456","1329","2045","2096","774.53","1028.67","210","2250","511","971"
"1994","Part Time","no migration background","1084.27","971","1324","262","486","1432","2045","4090","1042.96","1125.58","0","7669","895","982"
"1995","Full Time","direct migration background","2183.14","1900.71","1123","1227","1534","2403","3323","7037","2071.73","2294.55","0","51128","1790","1866"
"1995","Full Time","indirect migration background","1440.82","1432","189","445","716","1919","2505","4193","1295.42","1586.22","205","7669","1346","1636"
"1995","Full Time","no migration background","2272.81","2043.22","4398","1125","1561","2677","3623","6391","2233.62","2312","0","40903","1841","1917"
"1995","Not Working","direct migration background","1130.25","1183.11","33","230","614","1790","1841","3068","878.15","1382.35","0","3068","614","1432"
"1995","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1995","Not Working","no migration background","927.18","817.54","143","128","297","1432","1841","2940","820.41","1033.95","0","2940","661","1023"
"1995","Part Time","direct migration background","1186.48","1074","406","256","460","1687","2274","3864","1109.64","1263.32","0","5113","997","1227"
"1995","Part Time","indirect migration background","944.08","664.58","110","307","487","1278","1892","2812","824.89","1063.27","13","2812","665","1023"
"1995","Part Time","no migration background","1223.95","1023","1470","266","537","1585","2403","4602","1175.26","1272.64","0","15339","971","1023"
"1996","Full Time","direct migration background","2242.32","1994","961","1202","1625","2454","3683","7669","2184.17","2300.47","286","8948","1861","1943"
"1996","Full Time","indirect migration background","1822.98","1432","207","426","665","1943","2778","20452","1598.89","2047.07","256","20452","1406","1687"
"1996","Full Time","no migration background","2432.17","2147","4321","1217","1636","2838","3988","7158","2387.88","2476.46","52","44617","1943","2012"
"1996","Not Working","direct migration background","1129.34","976.55","31","296","716","1330","1994","3068","794.27","1464.41","20","4090","716","1534"
"1996","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1996","Not Working","no migration background","1008.88","767.58","111","256","409","1585","1994","2912","880.81","1136.95","65","3068","562","1040"
"1996","Part Time","direct migration background","1144.23","1023","446","286","511","1636","2045","3323","1073.85","1214.61","36","3833","1074","1329"
"1996","Part Time","indirect migration background","974.96","850.47","100","301","485","1242","1943","3068","845.36","1104.56","26","3068","545","1023"
"1996","Part Time","no migration background","1255.44","1080.06","1467","297","582","1687","2352","3579","1206.37","1304.51","51","17504","1021","1074"
"1997","Full Time","direct migration background","2296.81","1969.01","912","1226","1619","2556","3835","8254","2232.69","2360.93","240","10226","1891","1953"
"1997","Full Time","indirect migration background","1599.05","1585","221","486","869","2147","2556","3835","1482.67","1715.43","256","4857","1507","1738"
"1997","Full Time","no migration background","2424.7","2148","4242","1176","1648","2917","3988","6689","2385.75","2463.65","61","25565","1994","2045"
"1997","Not Working","direct migration background","","","","","","","","","","","","","",""
"1997","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1997","Not Working","no migration background","1102.92","987.2","91","307","573","1614","2045","2710","966.66","1239.18","82","2710","716","1090"
"1997","Part Time","direct migration background","1265.19","1227","394","297","606","1790","2259","3330","1185.56","1344.82","56","5113","1227","1432"
"1997","Part Time","indirect migration background","1237.25","555.85","114","286","409","885","1636","18151","915.9","1558.6","19","18151","542","716"
"1997","Part Time","no migration background","1231.71","1073.83","1416","302","614","1636","2301","3910","1188.95","1274.47","25","8712","1023","1074"
"1998","Full Time","direct migration background","2306.82","2020","849","1125","1626","2556","3937","7490","2232.92","2380.72","0","12215","1943","2032"
"1998","Full Time","indirect migration background","1667.47","1621.45","233","511","746","2301","2787","4960","1538.35","1796.59","51","7202","1534","1738"
"1998","Full Time","no migration background","2474.51","2240.21","4694","1176","1687","3023","4090","6902","2438.47","2510.55","0","15339","2045","2096"
"1998","Not Working","direct migration background","","","","","","","","","","","","","",""
"1998","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1998","Not Working","no migration background","1076","866.8","95","235","317","1669","2231","3195","886.64","1265.36","0","5759","818","1278"
"1998","Part Time","direct migration background","1414.98","1388.52","408","317","665","1943","2556","4141","1324","1505.96","112","8692","1278","1483"
"1998","Part Time","indirect migration background","1262.84","747.94","110","291","363","1355","1836","14316","989.08","1536.6","0","14316","562","1125"
"1998","Part Time","no migration background","1273.28","1125","1727","312","610","1738","2414","3970","1232.61","1313.95","0","8702","1029","1125"
"1999","Full Time","direct migration background","2605.17","2045","811","1278","1636","2608","4244","16463","2498.35","2711.99","100","33234","1943","2045"
"1999","Full Time","indirect migration background","1679.42","1634.97","236","501","810","2147","2863","4448","1550.05","1808.79","61","5624","1534","1790"
"1999","Full Time","no migration background","2524.51","2301","4598","1222","1699","3064","4141","7133","2487.36","2561.66","0","20452","2045","2147"
"1999","Not Working","direct migration background","","","","","","","","","","","","","",""
"1999","Not Working","indirect migration background","","","","","","","","","","","","","",""
"1999","Not Working","no migration background","1082.65","898.44","110","61","322","1738","2301","3119","929.9","1235.4","0","3578","504","913"
"1999","Part Time","direct migration background","1343.84","1278","358","312","539","1790","2301","4386","1237.06","1450.62","84","8692","1125","1380"
"1999","Part Time","indirect migration background","1048.58","716","133","307","409","1636","2045","3058","909.38","1187.78","97","5113","531","1041"
"1999","Part Time","no migration background","1226.49","1066.21","1808","285","470","1738","2454","3784","1187.03","1265.95","0","8181","972","1074"
"2000","Full Time","direct migration background","2356.59","2045","1201","1278","1636","2575","3937","7669","2285.7","2427.48","0","15339","2045","2100"
"2000","Full Time","indirect migration background","1874.73","1790","329","588","1198","2454","3119","5881","1760.46","1989","61","6180","1713","1841"
"2000","Full Time","no migration background","2590.56","2301","8214","1125","1703","3068","4262","8181","2556.84","2624.28","0","25565","2199","2301"
"2000","Not Working","direct migration background","1035.16","955.02","50","153","322","1534","1790","3988","805.42","1264.9","0","3988","511","1125"
"2000","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2000","Not Working","no migration background","973.34","665","202","161","322","1278","2045","4242","841.42","1105.26","0","5367","566","878"
"2000","Part Time","direct migration background","1153.08","1023","558","307","421","1636","2199","4229","1069.86","1236.3","0","9203","1002","1176"
"2000","Part Time","indirect migration background","954","748.27","155","153","373","1468","1990","2812","840.59","1067.41","0","3323","651","1023"
"2000","Part Time","no migration background","1214.82","1024.68","3120","271","413","1680","2480","4125","1180.83","1248.81","0","14316","971","1023"
"2001","Full Time","direct migration background","2388.77","2045","1067","1278","1636","2658","3988","8487","2307.72","2469.82","0","15339","2045","2147"
"2001","Full Time","indirect migration background","2167.2","1969.53","311","552","1278","2722","3579","7669","2009.04","2325.36","64","12782","1790","2045"
"2001","Full Time","no migration background","2630.01","2372.23","7399","1176","1789","3170","4269","8181","2595.86","2664.16","0","20452","2301","2301"
"2001","Not Working","direct migration background","1053.04","561.28","32","123","322","1352","3579","4461","691.17","1414.91","0","4461","418","1278"
"2001","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2001","Not Working","no migration background","904.43","716","183","179","322","1227","1873","3835","791.14","1017.72","0","4219","538","846"
"2001","Part Time","direct migration background","1165.34","1059.3","528","322","353","1789","2301","3467","1095.84","1234.84","41","4090","961","1176"
"2001","Part Time","indirect migration background","1007.82","880.91","142","251","322","1457","1994","4951","874.5","1141.14","32","4951","654","1074"
"2001","Part Time","no migration background","1168.51","1023","2956","266","358","1636","2372","3835","1135.8","1201.22","0","10226","971","1023"
"2002","Full Time","direct migration background","2370.38","2100","1013","1100","1600","2640","3723","9000","2224.44","2516.32","0","50000","2200","2350"
"2002","Full Time","indirect migration background","2166.61","2000","320","582","1318","2500","3480","7000","1982.63","2350.59","63","17500","1900","2100"
"2002","Full Time","no migration background","2795.53","2454.88","7944","1200","1800","3300","4586","10000","2729.9","2861.16","0","132569","2500","2600"
"2002","Not Working","direct migration background","1258.96","735.59","33","260","270","1500","4018","4657","888.17","1629.75","0","4657","325","1200"
"2002","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2002","Not Working","no migration background","1178.01","886.98","210","75","325","1702","2530","3549","996.03","1359.99","0","13000","680","1017"
"2002","Part Time","direct migration background","1109.82","893.87","498","290","325","1589","2222","4200","988.08","1231.56","0","23000","925","1200"
"2002","Part Time","indirect migration background","966.52","653.41","141","250","325","1400","2000","6002","787.43","1145.61","0","7000","550","900"
"2002","Part Time","no migration background","1240.44","1002.57","3328","298","400","1700","2500","4500","1195.62","1285.26","0","20000","1030","1100"
"2003","Full Time","direct migration background","2411.64","2200","893","1150","1660","2800","3700","8700","2297.21","2526.07","0","26000","2200","2400"
"2003","Full Time","indirect migration background","2306.17","2000","302","552","1450","2800","3950","9000","2024.94","2587.4","100","30000","2000","2300"
"2003","Full Time","no migration background","2900.48","2516","7448","1200","1840","3406","4800","10000","2841.09","2959.87","0","98107","2583","2625"
"2003","Not Working","direct migration background","","","","","","","","","","","","","",""
"2003","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2003","Not Working","no migration background","1264.45","958.56","229","170","425","1659","2456","6499","1089.49","1439.41","0","8333","750","1070"
"2003","Part Time","direct migration background","1253.78","1000","490","300","400","1700","2500","4800","1159.34","1348.22","90","10000","1000","1200"
"2003","Part Time","indirect migration background","998.23","714.22","166","200","325","1283","2150","3800","783.17","1213.29","0","15000","612","900"
"2003","Part Time","no migration background","1313.26","1099.59","3222","300","420","1800","2680","5600","1266.95","1359.57","0","19890","1062","1150"
