"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","(Married) couple without C.","(1b) general elementary school","9.47","6","92","1","1","11","17","60","6.4","12.54","1","100","3","10"
"2005","(Married) couple without C.","(1c) basic vocational qualification","18.2","10","624","1","3","20","40","175","14.33","22.07","1","700","8","10"
"2005","(Married) couple without C.","(2a) intermediate vocational","21.03","12","787","2","5","22","35","240","16.44","25.62","1","999","10","13"
"2005","(Married) couple without C.","(2b) intermediate general qualification","12.19","10","40","2","3","19","30","50","8.58","15.8","1","50","6","15"
"2005","(Married) couple without C.","(2c_gen) general maturity certificate","18.83","8","58","1","3","16","40","130","5.6","32.06","1","350","5","16"
"2005","(Married) couple without C.","(2c_voc) vocational maturity certificate","20.1","12","263","2","5","25","48","91","14.46","25.74","1","550","10","15"
"2005","(Married) couple without C.","(3a) lower tertiary education","25","12","305","2","5","25","45","400","17.92","32.08","1","620","10","15"
"2005","(Married) couple without C.","(3b) higher tertiary education","30.99","14","514","2","4","30","65","300","24.31","37.67","1","999","10","14"
"2005","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"2005","1-pers.-HH","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","1-pers.-HH","(1b) general elementary school","12.53","6","54","1","3","14","25","78","8.82","16.24","1","78","4","10"
"2005","1-pers.-HH","(1c) basic vocational qualification","15.76","10","224","2","4","17","32","170","13.08","18.44","1","170","8","12"
"2005","1-pers.-HH","(2a) intermediate vocational","17.63","10","335","1","3","21","42","80","13.57","21.69","1","440","8","12"
"2005","1-pers.-HH","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2005","1-pers.-HH","(2c_gen) general maturity certificate","15.62","6","65","2","3","15","40","300","3.81","27.43","1","300","5","7"
"2005","1-pers.-HH","(2c_voc) vocational maturity certificate","39.47","7","132","2","4","20","40","999","23.53","55.41","1","999","6","15"
"2005","1-pers.-HH","(3a) lower tertiary education","12.92","8","118","1","3","16","29","100","7.67","18.17","1","220","7","12"
"2005","1-pers.-HH","(3b) higher tertiary education","26.87","7","187","2","4","16","50","600","19.54","34.2","1","600","6","10"
"2005","Couple + C. GT 16 ","(0) in school","","","","","","","","","","","","","",""
"2005","Couple + C. GT 16 ","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","Couple + C. GT 16 ","(1b) general elementary school","17.01","10","139","2","4","20","30","280","12.57","21.45","1","280","6","12"
"2005","Couple + C. GT 16 ","(1c) basic vocational qualification","16.1","8","405","1","3","20","35","170","13.29","18.91","1","336","8","12"
"2005","Couple + C. GT 16 ","(2a) intermediate vocational","22.8","11","542","2","4","22","45","250","17.64","27.96","1","999","10","12"
"2005","Couple + C. GT 16 ","(2b) intermediate general qualification","16.54","10","103","2","5","20","30","130","8.3","24.78","1","380","8","13"
"2005","Couple + C. GT 16 ","(2c_gen) general maturity certificate","31.58","12","100","2","3","25","35","340","11.89","51.27","1","600","5","18"
"2005","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","17.58","10","146","4","5","18","27","75","8.55","26.61","1","600","10","15"
"2005","Couple + C. GT 16 ","(3a) lower tertiary education","23.81","12","162","1","3","31","48","154","12.57","35.05","1","840","8","15"
"2005","Couple + C. GT 16 ","(3b) higher tertiary education","34.96","13","294","3","6","25","75","250","29.88","40.04","1","310","10","14"
"2005","Couple + C. LE 16","(0) in school","","","","","","","","","","","","","",""
"2005","Couple + C. LE 16","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","Couple + C. LE 16","(1b) general elementary school","10.07","5.45","97","1","2","15","23","70","7.91","12.23","1","70","3","8"
"2005","Couple + C. LE 16","(1c) basic vocational qualification","17.61","9","535","1","3","21","40","120","13.34","21.88","1","800","8","10"
"2005","Couple + C. LE 16","(2a) intermediate vocational","21.28","10","742","1","3","24","40","230","17.2","25.36","1","760","10","12"
"2005","Couple + C. LE 16","(2b) intermediate general qualification","14.63","10","31","1","6","23","35","40","9.98","19.28","1","40","4","20"
"2005","Couple + C. LE 16","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2005","Couple + C. LE 16","(2c_voc) vocational maturity certificate","16.62","10","300","2","5","20","35","105","14.18","19.06","1","250","9","12"
"2005","Couple + C. LE 16","(3a) lower tertiary education","26.77","13.88","226","2","7","30","48","360","18.21","35.33","1","470","12","16"
"2005","Couple + C. LE 16","(3b) higher tertiary education","32.94","13","410","2","4","32","60","350","26.28","39.6","1","650","12","16"
"2005","Couple + C. LE and GT 16","(0) in school","","","","","","","","","","","","","",""
"2005","Couple + C. LE and GT 16","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","Couple + C. LE and GT 16","(1b) general elementary school","15.77","12.68","83","1","4","20","50","54","13.06","18.48","1","60","5","12"
"2005","Couple + C. LE and GT 16","(1c) basic vocational qualification","15.58","10","175","2","5","20","40","80","12.71","18.45","1","150","7","12"
"2005","Couple + C. LE and GT 16","(2a) intermediate vocational","19.15","8","226","1","3","24","37","240","12.92","25.38","1","500","8","12"
"2005","Couple + C. LE and GT 16","(2b) intermediate general qualification","32.33","9","55","1","5","15","40","700","6.48","58.18","1","700","6","15"
"2005","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","17.08","10","31","2","4","20","40","80","11.01","23.15","1","80","4","18"
"2005","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","11.89","7","48","1","3","25","35","35","8.98","14.8","1","35","4","10"
"2005","Couple + C. LE and GT 16","(3a) lower tertiary education","25.88","12.47","90","2","7","30","55","250","18.5","33.26","1","250","8","16"
"2005","Couple + C. LE and GT 16","(3b) higher tertiary education","28.51","12","130","2","7","25","60","380","11.92","45.1","1","650","10","15"
"2005","Single parent","(0) in school","","","","","","","","","","","","","",""
"2005","Single parent","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","Single parent","(1b) general elementary school","9.67","6","51","1","3","15","20","35","6.49","12.85","1","45","4","10"
"2005","Single parent","(1c) basic vocational qualification","10.9","7","125","1","3","15","25","43","9.21","12.59","1","50","5","10"
"2005","Single parent","(2a) intermediate vocational","21.26","10","163","1","4","20","30","560","5.23","37.29","1","960","8","13"
"2005","Single parent","(2b) intermediate general qualification","26.09","8","32","2","5","22","40","300","5.34","46.84","1","300","5","25"
"2005","Single parent","(2c_gen) general maturity certificate","18.73","14.79","31","2","4","35","40","65","10.66","26.8","1","100","5","20"
"2005","Single parent","(2c_voc) vocational maturity certificate","12.97","5","35","1","2","10","22","80","8.37","17.57","1","80","4","8"
"2005","Single parent","(3a) lower tertiary education","11.59","5.66","36","2","2","12","20","130","2.73","20.45","1","130","4","12"
"2005","Single parent","(3b) higher tertiary education","13.06","12.23","42","1","4","15","30","45","9.15","16.97","1","50","5","15"
"2006","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"2006","(Married) couple without C.","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","(Married) couple without C.","(1b) general elementary school","10.52","7","117","1","2","12","20","90","7.45","13.59","1","130","4","10"
"2006","(Married) couple without C.","(1c) basic vocational qualification","18.26","10","690","2","3","20","35","165","14.87","21.65","1","630","8","10"
"2006","(Married) couple without C.","(2a) intermediate vocational","21.28","12","884","2","5","22","36","220","17.15","25.41","1","999","10","12"
"2006","(Married) couple without C.","(2b) intermediate general qualification","20.46","12","45","4","6","15","25","650","-8.47","49.39","1","650","7","15"
"2006","(Married) couple without C.","(2c_gen) general maturity certificate","30.33","10","63","2","4","36","120","160","21.89","38.77","1","160","9","18"
"2006","(Married) couple without C.","(2c_voc) vocational maturity certificate","17.82","12","274","2","5","25","42","90","14.7","20.94","1","320","10","13"
"2006","(Married) couple without C.","(3a) lower tertiary education","23.44","12","341","2","5","30","45","233","18.06","28.82","1","500","10","15"
"2006","(Married) couple without C.","(3b) higher tertiary education","29.31","12","563","2","4","30","67","320","23.57","35.05","1","999","10","14"
"2006","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"2006","1-pers.-HH","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","1-pers.-HH","(1b) general elementary school","8.01","5","46","2","3","8","20","50","5.06","10.96","1","50","3","7"
"2006","1-pers.-HH","(1c) basic vocational qualification","16.87","10","246","2","5","20","35","125","14.02","19.72","1","270","8","12"
"2006","1-pers.-HH","(2a) intermediate vocational","22.06","10","376","2","3","23","54","250","17.51","26.61","1","460","8","11"
"2006","1-pers.-HH","(2b) intermediate general qualification","11.18","5","31","1","2","15","20","90","-4.75","27.11","1","230","2","10"
"2006","1-pers.-HH","(2c_gen) general maturity certificate","16.38","5","68","2","4","13","25","270","5.8","26.96","1","270","5","8"
"2006","1-pers.-HH","(2c_voc) vocational maturity certificate","24.48","8","155","2","4","18","35","400","15.47","33.49","1","500","7","13"
"2006","1-pers.-HH","(3a) lower tertiary education","15.34","8.07","130","1","5","18","35","160","11.14","19.54","1","200","7","12"
"2006","1-pers.-HH","(3b) higher tertiary education","31.28","8","222","2","4","20","45","550","21.95","40.61","1","590","7","12"
"2006","Couple + C. GT 16 ","(0) in school","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","(1b) general elementary school","21.12","10.7","129","1","3","22","32","280","15.94","26.3","1","280","4","12"
"2006","Couple + C. GT 16 ","(1c) basic vocational qualification","16.28","8","445","2","3","20","32","200","12.8","19.76","1","500","8","10"
"2006","Couple + C. GT 16 ","(2a) intermediate vocational","25.52","11","572","2","4","25","48","350","21.53","29.51","1","400","10","12"
"2006","Couple + C. GT 16 ","(2b) intermediate general qualification","14.78","10","109","2","5","20","35","80","11.78","17.78","1","80","6","13"
"2006","Couple + C. GT 16 ","(2c_gen) general maturity certificate","30.24","14.19","92","2","4","25","50","530","17.49","42.99","1","530","10","17"
"2006","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","18.57","7","139","2","4","18","40","250","10.31","26.83","1","450","7","15"
"2006","Couple + C. GT 16 ","(3a) lower tertiary education","33.21","16.17","176","1","5","32","90","200","20.86","45.56","1","840","9","17"
"2006","Couple + C. GT 16 ","(3b) higher tertiary education","35.38","14","309","3","6","29","70","400","27.91","42.85","1","600","11","16"
"2006","Couple + C. LE 16","(0) in school","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","(1a) inadequately completed","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","(1b) general elementary school","20.89","8","97","1","3","19","32","350","13.04","28.74","1","350","5","10"
"2006","Couple + C. LE 16","(1c) basic vocational qualification","16.4","9","564","1","3","19","35","104","11.86","20.94","1","800","9","10"
