"erwst","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Part-time","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","2","","",""
"Part-time","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1984","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Part-time","1984","Couple + C. GT 16 ","(3b) higher tertiary education","3","","",""
"Part-time","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Part-time","1984","Couple + C. LE and GT 16","(1a) inadequately completed","10","","",""
"Part-time","1984","Couple + C. LE and GT 16","(1b) general elementary school","26","","",""
"Part-time","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","29","","",""
"Part-time","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","3","","",""
"Part-time","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","12","","",""
"Part-time","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"Part-time","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","3","","",""
"Non-working","1984","1-pers.-HH","(0) in school","1","","",""
"Non-working","1984","1-pers.-HH","(1a) inadequately completed","21","","",""
"Non-working","1984","1-pers.-HH","(1b) general elementary school","260","0.828717162772908","0.789906246454099","0.867528079091717"
"Non-working","1984","1-pers.-HH","(1c) basic vocational qualification","214","0.613327563095169","0.566073858889269","0.66058126730107"
"Non-working","1984","1-pers.-HH","(2b) intermediate general qualification","23","","",""
"Non-working","1984","1-pers.-HH","(2a) intermediate vocational","89","0.520890075896537","0.45148165277981","0.590298499013264"
"Non-working","1984","1-pers.-HH","(2c_gen) general maturity certificate","37","0.717489538183337","0.598504651788306","0.836474424578368"
"Non-working","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","26","","",""
"Non-working","1984","1-pers.-HH","(3a) lower tertiary education","7","","",""
"Non-working","1984","1-pers.-HH","(3b) higher tertiary education","27","","",""
"Non-working","1984","(Married) couple without C. ","(0) in school","1","","",""
"Non-working","1984","(Married) couple without C. ","(1a) inadequately completed","56","0.495168715295611","0.413222329937121","0.577115100654101"
"Non-working","1984","(Married) couple without C. ","(1b) general elementary school","426","0.745865208767157","0.712421084089715","0.779309333444598"
"Non-working","1984","(Married) couple without C. ","(1c) basic vocational qualification","551","0.557165117755634","0.52797011178728","0.586360123723988"
"Non-working","1984","(Married) couple without C. ","(2b) intermediate general qualification","25","","",""
"Non-working","1984","(Married) couple without C. ","(2a) intermediate vocational","124","0.400205346215399","0.3492398035671","0.451170888863698"
"Non-working","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","26","","",""
"Non-working","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","54","0.489817566104993","0.403216540598938","0.576418591611047"
"Non-working","1984","(Married) couple without C. ","(3a) lower tertiary education","28","","",""
"Non-working","1984","(Married) couple without C. ","(3b) higher tertiary education","31","0.307934665330739","0.223926415822022","0.391942914839457"
"Non-working","1984","Single parent ","(0) in school","17","","",""
"Non-working","1984","Single parent ","(1a) inadequately completed","20","","",""
"Non-working","1984","Single parent ","(1b) general elementary school","80","0.548246443433573","0.472540016651223","0.623952870215923"
"Non-working","1984","Single parent ","(1c) basic vocational qualification","65","0.370812102876129","0.302130816481503","0.439493389270754"
"Non-working","1984","Single parent ","(2b) intermediate general qualification","26","","",""
"Non-working","1984","Single parent ","(2a) intermediate vocational","16","","",""
"Non-working","1984","Single parent ","(2c_gen) general maturity certificate","20","","",""
"Non-working","1984","Single parent ","(2c_voc) vocational maturity certificate","4","","",""
"Non-working","1984","Single parent ","(3a) lower tertiary education","2","","",""
"Non-working","1984","Single parent ","(3b) higher tertiary education","2","","",""
"Non-working","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Non-working","1984","Couple + C. LE 16 ","(1a) inadequately completed","140","0.438061199369491","0.386809443983795","0.489312954755187"
"Non-working","1984","Couple + C. LE 16 ","(1b) general elementary school","257","0.457045609753381","0.418022455577469","0.496068763929293"
"Non-working","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","336","0.29611552631563","0.269966776730915","0.322264275900346"
"Non-working","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","26","","",""
"Non-working","1984","Couple + C. LE 16 ","(2a) intermediate vocational","122","0.308263223422992","0.262492159980327","0.354034286865657"
"Non-working","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","26","","",""
"Non-working","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","31","0.279826765406551","0.20049289364826","0.359160637164842"
"Non-working","1984","Couple + C. LE 16 ","(3a) lower tertiary education","18","","",""
"Non-working","1984","Couple + C. LE 16 ","(3b) higher tertiary education","25","","",""
"Non-working","1984","Couple + C. GT 16 ","(0) in school","78","0.982395176172641","0.95339547666964","1.01139487567564"
"Non-working","1984","Couple + C. GT 16 ","(1a) inadequately completed","63","0.486955205671188","0.409264032777091","0.564646378565285"
"Non-working","1984","Couple + C. GT 16 ","(1b) general elementary school","211","0.536670606008189","0.490546947116191","0.582794264900188"
"Non-working","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","162","0.265230205119236","0.231803172304746","0.298657237933726"
"Non-working","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","68","0.486276247742134","0.404641849375032","0.567910646109236"
"Non-working","1984","Couple + C. GT 16 ","(2a) intermediate vocational","53","0.24740340861688","0.190384261943201","0.304422555290559"
"Non-working","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","75","0.699987987682664","0.614736647056476","0.785239328308852"
"Non-working","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","14","","",""
"Non-working","1984","Couple + C. GT 16 ","(3a) lower tertiary education","6","","",""
"Non-working","1984","Couple + C. GT 16 ","(3b) higher tertiary education","9","","",""
"Non-working","1984","Couple + C. LE and GT 16","(0) in school","78","1","1","1"
"Non-working","1984","Couple + C. LE and GT 16","(1a) inadequately completed","102","0.443054640259084","0.37954361851824","0.506565661999928"
"Non-working","1984","Couple + C. LE and GT 16","(1b) general elementary school","183","0.394810890931018","0.350759701967862","0.438862079894173"
