"erwst","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Other","1984","35-65 y.","general elemantary","65","0.0444998333409868","0.034589311060706","0.0544103556212676","6"
"Other","1984","35-65 y.","higher education","13","","","","6"
"Other","1984","66 and older","in school","","","","","6"
"Other","1984","66 and older","inadequately","","","","","6"
"Other","1984","66 and older","general elemantary","7","","","","6"
"Other","1984","66 and older","middle vocational","10","","","","6"
"Other","1984","66 and older","vocational + Abi","1","","","","6"
"Part-time","1984","16-34 y.","middle vocational","94","0.0441234734776941","0.03550844002227","0.0527385069331181","2"
"Part-time","1984","16-34 y.","general elemantary","41","0.0284915411629938","0.0193985059953829","0.0375845763306047","2"
"Part-time","1984","16-34 y.","higher education","17","","","","2"
"Part-time","1984","16-34 y.","vocational + Abi","9","","","","2"
"Part-time","1984","16-34 y.","inadequately","5","","","","2"
"Part-time","1984","16-34 y.","higher vocational","19","","","","2"
"Part-time","1984","16-34 y.","in school","1","","","","2"
"Part-time","1984","35-65 y.","in school","","","","","2"
"Part-time","1984","35-65 y.","inadequately","23","","","","2"
"Part-time","1984","35-65 y.","general elemantary","135","0.0925858505999873","0.078655018744962","0.106516682455013","2"
"Part-time","1984","35-65 y.","middle vocational","233","0.0793089752909526","0.0695808956940015","0.0890370548879037","2"
"Part-time","1984","35-65 y.","vocational + Abi","5","","","","2"
"Part-time","1984","35-65 y.","higher vocational","23","","","","2"
"Part-time","1984","35-65 y.","higher education","40","0.0850765517032718","0.0601695247678583","0.109983578638685","2"
"Part-time","1984","66 and older","in school","","","","","2"
"Part-time","1984","66 and older","inadequately","","","","","2"
"Part-time","1984","66 and older","general elemantary","4","","","","2"
"Part-time","1984","66 and older","middle vocational","4","","","","2"
"Part-time","1984","66 and older","vocational + Abi","1","","","","2"
"Part-time","1984","66 and older","higher vocational","2","","","","2"
"Part-time","1984","66 and older","higher education","1","","","","2"
"Full-time","1985","16-34 y.","in school","","","","","1"
"Full-time","1985","16-34 y.","inadequately","90","0.298673648304677","0.240890912284743","0.356456384324611","1"
"Full-time","1985","16-34 y.","general elemantary","441","0.348065055758521","0.320485445516487","0.375644666000555","1"
"Full-time","1985","16-34 y.","middle vocational","1166","0.615637063156757","0.594068612870763","0.637205513442751","1"
"Full-time","1985","16-34 y.","vocational + Abi","84","0.53512082472407","0.455568002836397","0.614673646611743","1"
"Full-time","1985","16-34 y.","higher vocational","118","0.621379639864577","0.553474828518832","0.689284451210323","1"
"Full-time","1985","16-34 y.","higher education","163","0.713737881938582","0.656551346772712","0.770924417104452","1"
"Full-time","1985","35-65 y.","in school","","","","","1"
"Full-time","1985","35-65 y.","inadequately","339","0.514215006416482","0.474022111350456","0.554407901482507","1"
"Full-time","1985","35-65 y.","general elemantary","583","0.288385931034208","0.265506516729763","0.311265345338654","1"
"Full-time","1985","35-65 y.","middle vocational","1540","0.53412332120008","0.515387163802941","0.552859478597219","1"
"Full-time","1985","35-65 y.","vocational + Abi","77","0.628521996357194","0.538631579643082","0.718412413071306","1"
"Full-time","1985","35-65 y.","higher vocational","233","0.662207089946077","0.612300175312977","0.712114004579178","1"
"Full-time","1985","35-65 y.","higher education","354","0.753458915867944","0.714158102181868","0.79275972955402","1"
"Full-time","1985","66 and older","in school","","","","","1"
"Full-time","1985","66 and older","inadequately","","","","","1"
"Full-time","1985","66 and older","general elemantary","4","","","","1"
"Full-time","1985","66 and older","middle vocational","6","","","","1"
"Full-time","1985","66 and older","vocational + Abi","","","","","1"
"Full-time","1985","66 and older","higher vocational","4","","","","1"
"Full-time","1985","66 and older","higher education","4","","","","1"
"Non-working","1985","35-65 y.","higher vocational","80","0.248737941223667","0.203123192247822","0.294352690199511","5"
"Non-working","1985","16-34 y.","middle vocational","552","0.265972508281765","0.246381339381641","0.285563677181889","5"
"Non-working","1985","16-34 y.","general elemantary","453","0.389101305932307","0.360873850863854","0.41732876100076","5"
"Non-working","1985","35-65 y.","higher education","63","0.149693801599597","0.117161358069873","0.182226245129322","5"
"Non-working","1985","16-34 y.","inadequately","132","0.586110106249457","0.523927118403652","0.648293094095262","5"
"Non-working","1985","16-34 y.","vocational + Abi","50","0.36644139446169","0.289589376059804","0.443293412863577","5"
"Non-working","1985","35-65 y.","vocational + Abi","24","","","","5"
"Non-working","1985","16-34 y.","higher education","50","0.17178569916134","0.124064940858394","0.219506457464285","5"
"Non-working","1985","16-34 y.","higher vocational","40","0.197547364487996","0.141807567932645","0.253287161043347","5"
"Non-working","1985","16-34 y.","in school","181","0.966362593209511","0.940521636012065","0.992203550406956","5"
"Non-working","1985","35-65 y.","in school","","","","","5"
"Non-working","1985","35-65 y.","middle vocational","865","0.347013955324142","0.329134689125039","0.364893221523245","5"
"Non-working","1985","35-65 y.","inadequately","229","0.42661434157065","0.386840640335922","0.466388042805378","5"
"Non-working","1985","35-65 y.","general elemantary","719","0.559407353829589","0.534333660328844","0.584481047330333","5"
"Non-working","1985","66 and older","higher vocational","72","0.902304358190616","0.83724388461198","0.967364831769253","5"
"Non-working","1985","66 and older","higher education","51","0.945356821775927","0.885829007790259","1.0048846357616","5"
"Non-working","1985","66 and older","in school","","","","","5"
"Non-working","1985","66 and older","inadequately","14","","","","5"
"Non-working","1985","66 and older","general elemantary","415","0.977550095468557","0.963498976399944","0.991601214537169","5"
"Non-working","1985","66 and older","middle vocational","500","0.964983385387233","0.949199052715923","0.980767718058543","5"
"Non-working","1985","66 and older","vocational + Abi","16","","","","5"
"Other","1985","66 and older","higher education","","","","","6"
"Other","1985","66 and older","higher vocational","2","","","","6"
"Other","1985","35-65 y.","higher education","14","","","","6"
"Other","1985","35-65 y.","higher vocational","5","","","","6"
"Other","1985","16-34 y.","general elemantary","211","0.226968884801432","0.202717450363491","0.251220319239373","6"
"Other","1985","35-65 y.","vocational + Abi","3","","","","6"
"Other","1985","16-34 y.","inadequately","13","","","","6"
"Other","1985","35-65 y.","middle vocational","46","0.0177290578901779","0.0127724707269406","0.0226856450534153","6"
"Other","1985","66 and older","in school","","","","","6"
"Other","1985","66 and older","inadequately","","","","","6"
"Other","1985","66 and older","general elemantary","4","","","","6"
"Other","1985","66 and older","vocational + Abi","1","","","","6"
"Other","1985","66 and older","middle vocational","7","","","","6"
"Other","1985","16-34 y.","in school","5","","","","6"
"Other","1985","16-34 y.","middle vocational","125","0.0615501977002862","0.0508939069603221","0.0722064884402504","6"
"Other","1985","16-34 y.","vocational + Abi","6","","","","6"
"Other","1985","16-34 y.","higher vocational","12","","","","6"
"Other","1985","16-34 y.","higher education","9","","","","6"
"Other","1985","35-65 y.","in school","","","","","6"
"Other","1985","35-65 y.","inadequately","5","","","","6"
"Other","1985","35-65 y.","general elemantary","42","0.0321351632448376","0.0232281270677595","0.0410421994219157","6"
"Part-time","1985","16-34 y.","general elemantary","41","0.0358647535077402","0.0250986466177255","0.0466308603977549","2"
"Part-time","1985","66 and older","higher vocational","2","","","","2"
"Part-time","1985","16-34 y.","middle vocational","111","0.0568402308611922","0.0465741102640081","0.0671063514583763","2"
"Part-time","1985","16-34 y.","vocational + Abi","11","","","","2"
"Part-time","1985","16-34 y.","higher vocational","26","","","","2"
"Part-time","1985","16-34 y.","higher education","18","","","","2"
"Part-time","1985","66 and older","higher education","1","","","","2"
"Part-time","1985","16-34 y.","inadequately","6","","","","2"
"Part-time","1985","35-65 y.","middle vocational","272","0.1011336655856","0.0898091482202393","0.112458182950961","2"
"Part-time","1985","35-65 y.","vocational + Abi","7","","","","2"
"Part-time","1985","35-65 y.","higher vocational","27","","","","2"
"Part-time","1985","35-65 y.","higher education","31","0.065109517436802","0.0426122531200669","0.0876067817535372","2"
"Part-time","1985","66 and older","in school","","","","","2"
"Part-time","1985","66 and older","inadequately","","","","","2"
"Part-time","1985","66 and older","general elemantary","4","","","","2"
"Part-time","1985","66 and older","middle vocational","8","","","","2"
"Part-time","1985","66 and older","vocational + Abi","1","","","","2"
"Part-time","1985","16-34 y.","in school","1","","","","2"
"Part-time","1985","35-65 y.","in school","","","","","2"
"Part-time","1985","35-65 y.","inadequately","21","","","","2"
"Part-time","1985","35-65 y.","general elemantary","162","0.120071551891366","0.103655098184712","0.13648800559802","2"
"Full-time","1986","16-34 y.","general elemantary","406","0.322169309687767","0.294910692684917","0.349427926690616","1"
"Full-time","1986","16-34 y.","middle vocational","1143","0.614476225790049","0.59260833875906","0.636344112821038","1"
"Full-time","1986","16-34 y.","vocational + Abi","90","0.578124885906722","0.500377637445067","0.655872134368378","1"
"Full-time","1986","16-34 y.","higher vocational","117","0.633525969247362","0.56501263488441","0.702039303610314","1"
"Full-time","1986","16-34 y.","higher education","146","0.670127767581987","0.609232711250073","0.7310228239139","1"
"Full-time","1986","35-65 y.","in school","","","","","1"
"Full-time","1986","35-65 y.","inadequately","306","0.549886059391088","0.507807725549386","0.59196439323279","1"
"Full-time","1986","16-34 y.","in school","1","","","","1"
"Full-time","1986","16-34 y.","inadequately","88","0.357341413350728","0.295940901011883","0.418741925689573","1"
"Full-time","1986","35-65 y.","general elemantary","560","0.305202518721513","0.281046322081335","0.329358715361691","1"
"Full-time","1986","35-65 y.","middle vocational","1492","0.535573952745898","0.516513280001841","0.554634625489955","1"
"Full-time","1986","35-65 y.","vocational + Abi","74","0.651796696269244","0.559793693964494","0.743799698573994","1"
"Full-time","1986","35-65 y.","higher vocational","215","0.65751714625135","0.605442574445102","0.709591718057598","1"
"Full-time","1986","35-65 y.","higher education","335","0.717396420948133","0.676646187471971","0.758146654424296","1"
"Full-time","1986","66 and older","in school","","","","","1"
"Full-time","1986","66 and older","inadequately","","","","","1"
"Full-time","1986","66 and older","general elemantary","1","","","","1"
"Full-time","1986","66 and older","middle vocational","3","","","","1"
"Full-time","1986","66 and older","vocational + Abi","1","","","","1"
"Full-time","1986","66 and older","higher vocational","1","","","","1"
"Full-time","1986","66 and older","higher education","4","","","","1"
"Non-working","1986","16-34 y.","general elemantary","423","0.368014353296105","0.339883227926863","0.396145478665347","5"
"Non-working","1986","16-34 y.","higher vocational","42","0.218406954327344","0.159658713683522","0.277155194971165","5"
"Non-working","1986","16-34 y.","middle vocational","534","0.267996921256103","0.24809705978547","0.287896782726736","5"
"Non-working","1986","35-65 y.","higher vocational","75","0.255116244780293","0.207279011055017","0.302953478505569","5"
"Non-working","1986","35-65 y.","higher education","71","0.162586947289144","0.129192491448813","0.195981403129474","5"
"Non-working","1986","16-34 y.","inadequately","124","0.504057567332441","0.439996249885811","0.568118884779071","5"
"Non-working","1986","16-34 y.","vocational + Abi","45","0.293024086598036","0.221370784200459","0.364677388995612","5"
"Non-working","1986","16-34 y.","higher education","45","0.166619579749262","0.118356501991348","0.214882657507177","5"
"Non-working","1986","35-65 y.","vocational + Abi","23","","","","5"
"Non-working","1986","16-34 y.","in school","183","0.96689807400888","0.941324810972316","0.992471337045444","5"
"Non-working","1986","35-65 y.","in school","","","","","5"
"Non-working","1986","35-65 y.","middle vocational","843","0.351043028374336","0.332801620920403","0.369284435828268","5"
"Non-working","1986","35-65 y.","inadequately","208","0.409699794611843","0.368105832828353","0.451293756395332","5"
"Non-working","1986","35-65 y.","general elemantary","664","0.558522844457415","0.532474509354198","0.584571179560632","5"
"Non-working","1986","66 and older","higher vocational","71","0.969271868623177","0.929950999304592","1.00859273794176","5"
"Non-working","1986","66 and older","higher education","48","0.938587981523172","0.873952001716652","1.00322396132969","5"
"Non-working","1986","66 and older","in school","","","","","5"
"Non-working","1986","66 and older","inadequately","19","","","","5"
"Non-working","1986","66 and older","general elemantary","391","0.980013071575855","0.966280540009453","0.993745603142258","5"
"Non-working","1986","66 and older","middle vocational","469","0.974461649039337","0.960378383329628","0.988544914749045","5"
"Non-working","1986","66 and older","vocational + Abi","19","","","","5"
"Other","1986","35-65 y.","higher vocational","10","","","","6"
"Other","1986","35-65 y.","vocational + Abi","3","","","","6"
"Other","1986","16-34 y.","general elemantary","249","0.259738258559352","0.234160544111558","0.285315973007146","6"
"Other","1986","66 and older","higher education","","","","","6"
"Other","1986","35-65 y.","middle vocational","78","0.030608741158838","0.0240254585222813","0.0371920237953946","6"
"Other","1986","35-65 y.","higher education","14","","","","6"
"Other","1986","66 and older","higher vocational","1","","","","6"
"Other","1986","16-34 y.","inadequately","15","","","","6"
"Other","1986","16-34 y.","middle vocational","141","0.0723121207789836","0.0606752774466355","0.0839489641113317","6"
"Other","1986","16-34 y.","in school","4","","","","6"
"Other","1986","16-34 y.","vocational + Abi","10","","","","6"
"Other","1986","16-34 y.","higher vocational","9","","","","6"
"Other","1986","16-34 y.","higher education","11","","","","6"
"Other","1986","35-65 y.","in school","","","","","6"
"Other","1986","35-65 y.","inadequately","8","","","","6"
"Other","1986","35-65 y.","general elemantary","48","0.0383670361194644","0.0282910124642686","0.0484430597746603","6"
"Other","1986","66 and older","in school","","","","","6"
"Other","1986","66 and older","inadequately","","","","","6"
"Other","1986","66 and older","general elemantary","4","","","","6"
"Other","1986","66 and older","middle vocational","6","","","","6"
"Other","1986","66 and older","vocational + Abi","","","","","6"
"Part-time","1986","16-34 y.","general elemantary","51","0.0500780784567769","0.0373556826376163","0.0628004742759375","2"
"Part-time","1986","16-34 y.","middle vocational","85","0.0452147321748648","0.035879577184791","0.0545498871649385","2"
"Part-time","1986","16-34 y.","higher vocational","22","","","","2"
"Part-time","1986","16-34 y.","higher education","27","","","","2"
"Part-time","1986","16-34 y.","inadequately","7","","","","2"
"Part-time","1986","16-34 y.","vocational + Abi","10","","","","2"
"Part-time","1986","66 and older","higher vocational","1","","","","2"
"Part-time","1986","66 and older","higher education","1","","","","2"
"Part-time","1986","16-34 y.","in school","","","","","2"
"Part-time","1986","35-65 y.","in school","","","","","2"
"Part-time","1986","35-65 y.","inadequately","15","","","","2"
"Part-time","1986","35-65 y.","general elemantary","124","0.0979076007016075","0.0823178526090028","0.113497348794212","2"
"Part-time","1986","35-65 y.","middle vocational","217","0.0827742777209283","0.0722436070926298","0.0933049483492267","2"
"Part-time","1986","35-65 y.","vocational + Abi","3","","","","2"
"Part-time","1986","35-65 y.","higher vocational","19","","","","2"
"Part-time","1986","35-65 y.","higher education","49","0.0916401856803576","0.0655285783388447","0.117751793021871","2"
"Part-time","1986","66 and older","in school","","","","","2"
"Part-time","1986","66 and older","inadequately","","","","","2"
"Part-time","1986","66 and older","general elemantary","3","","","","2"
"Part-time","1986","66 and older","middle vocational","4","","","","2"
"Part-time","1986","66 and older","vocational + Abi","","","","","2"
"Full-time","1987","16-34 y.","general elemantary","361","0.318945839333298","0.291353272081672","0.346538406584923","1"
"Full-time","1987","16-34 y.","middle vocational","1150","0.612049601948854","0.590190790816387","0.633908413081321","1"
"Full-time","1987","16-34 y.","vocational + Abi","88","0.520576112823645","0.442181224757107","0.598971000890183","1"
"Full-time","1987","16-34 y.","higher vocational","109","0.633350329313","0.563531880426015","0.703168778199984","1"
"Full-time","1987","16-34 y.","higher education","151","0.684011275460966","0.622437829870242","0.74558472105169","1"
"Full-time","1987","35-65 y.","in school","","","","","1"
"Full-time","1987","35-65 y.","inadequately","284","0.521131485493812","0.478840530306655","0.563422440680969","1"
"Full-time","1987","35-65 y.","vocational + Abi","72","0.62057583087634","0.52686508312954","0.714286578623139","1"
"Full-time","1987","35-65 y.","higher vocational","209","0.645721281649981","0.592986198853967","0.698456364445995","1"
"Full-time","1987","35-65 y.","higher education","356","0.756665438991691","0.717748067688099","0.795582810295284","1"
"Full-time","1987","66 and older","in school","","","","","1"
"Full-time","1987","66 and older","inadequately","","","","","1"
"Full-time","1987","66 and older","general elemantary","2","","","","1"
"Full-time","1987","66 and older","middle vocational","5","","","","1"
"Full-time","1987","16-34 y.","in school","","","","","1"
"Full-time","1987","16-34 y.","inadequately","79","0.353082172357176","0.28813221380453","0.418032130909822","1"
"Full-time","1987","35-65 y.","general elemantary","553","0.317963123060494","0.293103447841618","0.34282279827937","1"
"Full-time","1987","35-65 y.","middle vocational","1484","0.547845468210559","0.528599555149772","0.567091381271345","1"
"Full-time","1987","66 and older","vocational + Abi","1","","","","1"
"Full-time","1987","66 and older","higher vocational","","","","","1"
"Full-time","1987","66 and older","higher education","6","","","","1"
"Non-working","1987","16-34 y.","general elemantary","405","0.333805631715395","0.305887257627971","0.361724005802818","5"
"Non-working","1987","16-34 y.","inadequately","104","0.477288128678924","0.409408740135021","0.545167517222826","5"
"Non-working","1987","16-34 y.","middle vocational","504","0.25755750188104","0.237941357899447","0.277173645862633","5"
"Non-working","1987","16-34 y.","vocational + Abi","47","0.303059043224505","0.230940422972377","0.375177663476634","5"
"Non-working","1987","35-65 y.","higher vocational","73","0.246024718650562","0.198537965566516","0.293511471734609","5"
"Non-working","1987","35-65 y.","higher education","69","0.157673964982016","0.124621050703294","0.190726879260738","5"
"Non-working","1987","16-34 y.","higher vocational","50","0.241100531836834","0.179125928671864","0.303075135001804","5"
"Non-working","1987","35-65 y.","vocational + Abi","22","","","","5"
"Non-working","1987","16-34 y.","in school","182","0.934738455646173","0.899711278734888","0.969765632557459","5"
"Non-working","1987","35-65 y.","middle vocational","791","0.335931489778628","0.317667408119958","0.354195571437297","5"
"Non-working","1987","16-34 y.","higher education","42","0.198140311192496","0.145349097767358","0.250931524617634","5"
"Non-working","1987","35-65 y.","in school","","","","","5"
"Non-working","1987","35-65 y.","inadequately","220","0.437539797769089","0.395542593909668","0.479537001628511","5"
"Non-working","1987","35-65 y.","general elemantary","612","0.52200535527088","0.495339707410126","0.548671003131633","5"
"Non-working","1987","66 and older","general elemantary","401","0.976617109483341","0.962042922821586","0.991191296145096","5"
"Non-working","1987","66 and older","in school","","","","","5"
"Non-working","1987","66 and older","inadequately","16","","","","5"
"Non-working","1987","66 and older","middle vocational","497","0.9794102567651","0.967061477599532","0.991759035930667","5"
"Non-working","1987","66 and older","vocational + Abi","18","","","","5"
"Non-working","1987","66 and older","higher vocational","67","0.968502264014617","0.927586651186519","1.00941787684271","5"
"Non-working","1987","66 and older","higher education","50","0.90641554444092","0.831460714063041","0.981370374818799","5"
"Other","1987","35-65 y.","vocational + Abi","4","","","","6"
"Other","1987","35-65 y.","middle vocational","47","0.0189795250253817","0.0137030031303579","0.0242560469204056","6"
"Other","1987","35-65 y.","higher vocational","7","","","","6"
"Other","1987","66 and older","higher education","1","","","","6"
"Other","1987","16-34 y.","general elemantary","288","0.300248447968675","0.273111866612447","0.327385029324902","6"
"Other","1987","16-34 y.","inadequately","17","","","","6"
"Other","1987","16-34 y.","middle vocational","165","0.0816170905426458","0.0693356989812073","0.0938984821040844","6"
"Other","1987","16-34 y.","in school","6","","","","6"
"Other","1987","16-34 y.","vocational + Abi","11","","","","6"
"Other","1987","16-34 y.","higher vocational","5","","","","6"
"Other","1987","16-34 y.","higher education","8","","","","6"
"Other","1987","35-65 y.","in school","","","","","6"
"Other","1987","35-65 y.","inadequately","7","","","","6"
"Other","1987","35-65 y.","general elemantary","36","0.0327968775268457","0.0232891169049663","0.0423046381487251","6"
"Other","1987","35-65 y.","higher education","12","","","","6"
"Other","1987","66 and older","higher vocational","","","","","6"
"Other","1987","66 and older","in school","","","","","6"
"Other","1987","66 and older","inadequately","1","","","","6"
"Other","1987","66 and older","general elemantary","6","","","","6"
"Other","1987","66 and older","middle vocational","3","","","","6"
"Other","1987","66 and older","vocational + Abi","","","","","6"
"Part-time","1987","16-34 y.","higher vocational","19","","","","2"
"Part-time","1987","16-34 y.","general elemantary","42","0.0470000809826331","0.0344704422563248","0.0595297197089415","2"
"Part-time","1987","16-34 y.","middle vocational","90","0.0487758056274599","0.0391133214333482","0.0584382898215716","2"
"Part-time","1987","16-34 y.","higher education","18","","","","2"
"Part-time","1987","16-34 y.","inadequately","8","","","","2"
"Part-time","1987","16-34 y.","vocational + Abi","10","","","","2"
"Part-time","1987","16-34 y.","in school","3","","","","2"
"Part-time","1987","35-65 y.","in school","","","","","2"
"Part-time","1987","35-65 y.","inadequately","25","","","","2"
"Part-time","1987","35-65 y.","general elemantary","147","0.12723464414178","0.10944551925568","0.145023769027881","2"
"Part-time","1987","35-65 y.","middle vocational","247","0.0972435169854319","0.0857862330592905","0.108700800911573","2"
"Part-time","1987","35-65 y.","vocational + Abi","5","","","","2"
"Part-time","1987","35-65 y.","higher vocational","27","","","","2"
"Part-time","1987","35-65 y.","higher education","30","0.0610741788954922","0.0393554646916399","0.0827928930993446","2"
"Part-time","1987","66 and older","in school","","","","","2"
"Part-time","1987","66 and older","inadequately","","","","","2"
"Part-time","1987","66 and older","general elemantary","4","","","","2"
"Part-time","1987","66 and older","middle vocational","3","","","","2"
"Part-time","1987","66 and older","vocational + Abi","","","","","2"
"Part-time","1987","66 and older","higher vocational","3","","","","2"
"Part-time","1987","66 and older","higher education","1","","","","2"
"Full-time","1988","16-34 y.","general elemantary","357","0.310974790518932","0.283316705758217","0.338632875279648","1"
"Full-time","1988","16-34 y.","middle vocational","1050","0.592914310304072","0.570230835582064","0.61559778502608","1"
"Full-time","1988","16-34 y.","vocational + Abi","91","0.569959354439818","0.491511861073706","0.64840684780593","1"
"Full-time","1988","16-34 y.","higher vocational","103","0.675496091064659","0.603399958238552","0.747592223890767","1"
"Full-time","1988","16-34 y.","higher education","142","0.721141723054388","0.659604897531601","0.782678548577176","1"
"Full-time","1988","35-65 y.","in school","","","","","1"
"Full-time","1988","35-65 y.","inadequately","249","0.466196793471978","0.422206197397423","0.510187389546532","1"
"Full-time","1988","35-65 y.","vocational + Abi","59","0.553349883085251","0.455420249175781","0.651279516994721","1"
"Full-time","1988","35-65 y.","higher vocational","213","0.680629633234805","0.628729319952419","0.732529946517191","1"
"Full-time","1988","35-65 y.","higher education","337","0.758493504664016","0.718593100281523","0.798393909046508","1"
"Full-time","1988","66 and older","in school","","","","","1"
"Full-time","1988","66 and older","inadequately","","","","","1"
"Full-time","1988","66 and older","general elemantary","2","","","","1"
"Full-time","1988","66 and older","middle vocational","4","","","","1"
"Full-time","1988","16-34 y.","in school","","","","","1"
"Full-time","1988","16-34 y.","inadequately","72","0.344193786356261","0.276815387887768","0.411572184824754","1"
"Full-time","1988","35-65 y.","general elemantary","517","0.314964724053572","0.289458227926086","0.340471220181058","1"
"Full-time","1988","35-65 y.","middle vocational","1409","0.55093073029746","0.531235084925513","0.570626375669407","1"
"Full-time","1988","66 and older","vocational + Abi","1","","","","1"
"Full-time","1988","66 and older","higher vocational","","","","","1"
"Full-time","1988","66 and older","higher education","8","","","","1"
"Non-working","1988","35-65 y.","higher vocational","65","0.224922068212957","0.17844315505923","0.271400981366685","5"
"Non-working","1988","16-34 y.","general elemantary","386","0.340969542000688","0.312645678564927","0.369293405436449","5"
"Non-working","1988","35-65 y.","vocational + Abi","30","0.329592161030524","0.236996961346426","0.422187360714622","5"
"Non-working","1988","35-65 y.","higher education","63","0.151959373819276","0.118492971087875","0.185425776550677","5"
"Non-working","1988","16-34 y.","inadequately","96","0.542517935344697","0.471865767211669","0.613170103477726","5"
"Non-working","1988","16-34 y.","middle vocational","500","0.272078552169076","0.251530999158365","0.292626105179788","5"
"Non-working","1988","16-34 y.","vocational + Abi","40","0.280385772166619","0.20921032040422","0.351561223929018","5"
"Non-working","1988","16-34 y.","higher vocational","38","0.205922783462549","0.143653459393423","0.268192107531674","5"
