"erwst","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1994","East Germany","1841","0.43236464792181","0.416588429446018","0.448140866397603","1"
"Non-working","1994","West Germany","3792","0.458274101841387","0.448068287687785","0.468479915994989","5"
"Non-working","1994","East Germany","1570","0.485962104863389","0.47004581365956","0.501878396067219","5"
"Other","1994","West Germany","494","0.0485454942763998","0.0441433560396281","0.0529476325131714","6"
"Other","1994","East Germany","202","0.0418529898934008","0.0354759016810089","0.0482300781057928","6"
"Part-time","1994","East Germany","175","0.0398202573213995","0.0335933642716533","0.0460471503711457","2"
"Part-time","1994","West Germany","711","0.0769043311899603","0.0714468285376333","0.0823618338422873","2"
"Full-time","1995","West Germany","4353","0.408069403547871","0.398270622772777","0.417868184322966","1"
"Full-time","1995","East Germany","1804","0.433346888358099","0.41739065184504","0.449303124871157","1"
"Non-working","1995","East Germany","1492","0.475410789980603","0.459330340691435","0.49149123926977","5"
"Non-working","1995","West Germany","3992","0.462799571101098","0.452858474828706","0.472740667373491","5"
"Other","1995","West Germany","554","0.0512298369413996","0.046834303116408","0.0556253707663912","6"
"Other","1995","East Germany","196","0.042816496200882","0.0362978539090494","0.0493351384927147","6"
"Part-time","1995","East Germany","213","0.0484258254604166","0.0415136647914333","0.0553379861293998","2"
"Part-time","1995","West Germany","765","0.0779011884096307","0.0725576319429279","0.0832447448763335","2"
"Full-time","1996","West Germany","4182","0.402342558415315","0.392444216387295","0.412240900443335","1"
"Full-time","1996","East Germany","1734","0.41741785676419","0.401519720826088","0.433315992702292","1"
"Non-working","1996","East Germany","1553","0.491448535258808","0.475331372672164","0.507565697845452","5"
"Non-working","1996","West Germany","3890","0.461825279088296","0.451762016576534","0.471888541600057","5"
"Other","1996","West Germany","514","0.0485732167436036","0.0442338693142235","0.0529125641729836","6"
"Other","1996","East Germany","196","0.040225667358105","0.0338910803695206","0.0465602543466895","6"
"Part-time","1996","West Germany","842","0.0872589457527855","0.0815623280195466","0.0929555634860243","2"
"Part-time","1996","East Germany","213","0.050907940618897","0.0438214854480061","0.0579943957897879","2"
"Full-time","1997","West Germany","4052","0.397969436670387","0.388002012328213","0.407936861012561","1"
"Full-time","1997","East Germany","1693","0.406852858991966","0.390918225408122","0.422787492575811","1"
"Non-working","1997","East Germany","1574","0.504800849247552","0.48858304109759","0.521018657397514","5"
"Non-working","1997","West Germany","3911","0.471654676615729","0.461489385416448","0.48181996781501","5"
"Other","1997","West Germany","502","0.0451650248309603","0.040936254451078","0.0493937952108426","6"
"Other","1997","East Germany","189","0.0383930580915527","0.0321604858301136","0.0446256303529918","6"
"Part-time","1997","West Germany","799","0.0852108618829234","0.0795255172402988","0.090896206525548","2"
"Part-time","1997","East Germany","195","0.0499532336689288","0.0428868620993295","0.0570196052385281","2"
"Full-time","1998","West Germany","4503","0.396551126925477","0.38716846472132","0.405933789129635","1"
"Full-time","1998","East Germany","1740","0.395423046163425","0.38004825015905","0.4107978421678","1"
"Non-working","1998","East Germany","1718","0.510428385912189","0.494709270481998","0.52614750134238","5"
"Non-working","1998","West Germany","4451","0.469114763455856","0.459542908235207","0.478686618676504","5"
"Other","1998","East Germany","222","0.0447326158380773","0.0382324086143359","0.0512328230618186","6"
"Other","1998","West Germany","579","0.0464991994075129","0.0424605187412048","0.0505378800738211","6"
"Part-time","1998","West Germany","909","0.0878349102111543","0.0824058263398435","0.093263994082465","2"
"Part-time","1998","East Germany","205","0.0494159520863093","0.0426007078516147","0.056231196321004","2"
"Full-time","1999","West Germany","4342","0.403475208635989","0.393842861718942","0.413107555553035","1"
"Full-time","1999","East Germany","1719","0.402468146213647","0.386882270239116","0.418054022188178","1"
"Non-working","1999","West Germany","4051","0.449384710004887","0.439618125346709","0.459151294663065","5"
"Non-working","1999","East Germany","1628","0.495605428036766","0.479714906268435","0.511495949805098","5"
"Other","1999","East Germany","225","0.0466485536344079","0.0399461506780824","0.0533509565907334","6"
"Other","1999","West Germany","682","0.0633677484023737","0.0585844427677911","0.0681510540369564","6"
"Part-time","1999","West Germany","890","0.0837723329567504","0.078332802089678","0.0892118638238227","2"
"Part-time","1999","East Germany","231","0.0552778721151787","0.0480149292019289","0.0625408150284286","2"
"Full-time","2000","West Germany","7590","0.403778704957284","0.396686908038177","0.410870501876391","1"
"Full-time","2000","East Germany","2497","0.390056389240963","0.377587095912672","0.402525682569253","1"
"Non-working","2000","West Germany","7759","0.439904759832427","0.43273026850391","0.447079251160943","5"
"Non-working","2000","East Germany","2662","0.496840855015501","0.484058977968149","0.509622732062853","5"
"Other","2000","East Germany","350","0.0550700259601817","0.0492383853252108","0.0609016665951526","6"
"Other","2000","West Germany","1168","0.059756658965069","0.0563306055432617","0.0631827123868764","6"
"Part-time","2000","West Germany","1871","0.09655987624522","0.0922908494470229","0.100828903043417","2"
"Part-time","2000","East Germany","369","0.058032729783355","0.0520556685307767","0.0640097910359333","2"
"Full-time","2001","West Germany","6807","0.399263855546266","0.391813241094216","0.406714469998315","1"
"Full-time","2001","East Germany","2275","0.383487068386596","0.370595686764557","0.396378450008634","1"
"Non-working","2001","West Germany","6940","0.439320333747805","0.431769963191701","0.446870704303909","5"
"Non-working","2001","East Germany","2491","0.499172000031419","0.485915697199123","0.512428302863714","5"
"Other","2001","East Germany","340","0.0560893903418675","0.0499889834723624","0.0621897972113726","6"
"Other","2001","West Germany","1143","0.0644422697840833","0.0607068370431847","0.0681777025249819","6"
"Part-time","2001","West Germany","1708","0.0969735409218459","0.0924716281536999","0.101475453689992","2"
"Part-time","2001","East Germany","359","0.0612515412401181","0.0548940446352518","0.0676090378449844","2"
"Full-time","2002","East Germany","2251","0.360204578272664","0.347468770260482","0.372940386284845","1"
"Full-time","2002","West Germany","7320","0.386915678851415","0.379740346931293","0.394091010771538","1"
"Non-working","2002","West Germany","7221","0.449310978973272","0.441982726034471","0.456639231912074","5"
"Non-working","2002","East Germany","2516","0.521887109457709","0.508635005416437","0.535139213498981","5"
"Other","2002","West Germany","1218","0.0668300364409448","0.0631509503447646","0.0705091225371249","6"
"Other","2002","East Germany","337","0.0575392927758576","0.0513613310763429","0.0637172544753723","6"
"Part-time","2002","West Germany","1940","0.0969433057343673","0.0925842728328753","0.101302338635859","2"
"Part-time","2002","East Germany","354","0.06036901949377","0.0540504749693673","0.0666875640181727","2"
"Full-time","2003","East Germany","2098","0.345103685034045","0.332390886611989","0.357816483456101","1"
"Full-time","2003","West Germany","6773","0.378301260233934","0.370995042006705","0.385607478461163","1"
"Non-working","2003","West Germany","7079","0.457338244836465","0.4498329610149","0.46484352865803","5"
"Non-working","2003","East Germany","2557","0.535303091595914","0.521965885679276","0.548640297512551","5"
"Other","2003","West Germany","1184","0.0667634170103273","0.0630028883075433","0.0705239457131113","6"
"Other","2003","East Germany","324","0.0536618337070329","0.0476357380478614","0.0596879293662044","6"
"Part-time","2003","West Germany","1889","0.0975970779192736","0.0931261012223493","0.102068054616198","2"
"Part-time","2003","East Germany","393","0.0659313896630087","0.0592952488513261","0.0725675304746914","2"
"Full-time","2004","East Germany","2032","0.329318067549732","0.316611512758815","0.342024622340649","1"
"Full-time","2004","West Germany","6503","0.375076693862993","0.367684569882674","0.382468817843312","1"
"Non-working","2004","West Germany","6973","0.462681820069682","0.4550688727088","0.470294767430563","5"
"Non-working","2004","East Germany","2493","0.532558286897881","0.519068377377818","0.546048196417945","5"
"Other","2004","West Germany","1208","0.0683325530953167","0.0644800754608416","0.0721850307297918","6"
"Other","2004","East Germany","333","0.0666639028944869","0.0599197698337815","0.0734080359551922","6"
"Part-time","2004","West Germany","1794","0.0939089329720086","0.089455086738986","0.0983627792050312","2"
"Part-time","2004","East Germany","397","0.0714597426578996","0.0644951964597539","0.0784242888560454","2"
"Full-time","2005","East Germany","1905","0.335794306966302","0.322786945661186","0.348801668271418","1"
"Full-time","2005","West Germany","6096","0.37299206557242","0.365439026993154","0.380545104151685","1"
"Non-working","2005","West Germany","6743","0.454376863802233","0.446600261643717","0.462153465960749","5"
"Non-working","2005","East Germany","2464","0.536943009219857","0.523209467179314","0.550676551260401","5"
"Other","2005","West Germany","1205","0.0756820189174925","0.0715511402101084","0.0798128976248767","6"
"Other","2005","East Germany","303","0.0559043629925336","0.049576863930731","0.0622318620543362","6"
"Part-time","2005","East Germany","392","0.071358320821307","0.0642682978988178","0.0784483437437963","2"
"Part-time","2005","West Germany","1704","0.096949051707855","0.0923277609148927","0.101570342500817","2"
"Full-time","2006","West Germany","6377","0.370287814682953","0.363026245044862","0.377549384321044","1"
"Full-time","2006","East Germany","1953","0.332779263359885","0.320203169309826","0.345355357409945","1"
"Non-working","2006","West Germany","7401","0.455189683932846","0.447700946318341","0.46267842154735","5"
"Non-working","2006","East Germany","2636","0.528564957016011","0.51524223411654","0.541887679915482","5"
"Other","2006","West Germany","1319","0.0774165826822316","0.0733976607677969","0.0814355045966663","6"
"Other","2006","East Germany","382","0.0712551041779001","0.064389336709234","0.0781208716465662","6"
"Part-time","2006","East Germany","422","0.0674006754462036","0.0607093438314344","0.0740920070609727","2"
"Part-time","2006","West Germany","1890","0.0971059187019696","0.0926531411313254","0.101558696272614","2"
"Full-time","2007","West Germany","5987","0.373553219957762","0.366022234819898","0.381084205095625","1"
"Full-time","2007","East Germany","1899","0.348746775336065","0.33568513343787","0.36180841723426","1"
"Non-working","2007","West Germany","6782","0.44400691431359","0.436271866194898","0.451741962432281","5"
"Non-working","2007","East Germany","2441","0.507256543091261","0.493554289809824","0.520958796372699","5"
"Other","2007","West Germany","1221","0.0779020075790961","0.0737295078139992","0.082074507344193","6"
"Other","2007","East Germany","340","0.0653560712034436","0.0585822490131426","0.0721298933937445","6"
"Part-time","2007","East Germany","434","0.0786406103692298","0.0712631701325569","0.0860180506059027","2"
"Part-time","2007","West Germany","1860","0.104537858149552","0.0997747123945394","0.109301003904565","2"
"Full-time","2008","West Germany","5648","0.381394388693585","0.373582877172546","0.389205900214625","1"
"Full-time","2008","East Germany","1880","0.37350190652795","0.359864054254794","0.387139758801105","1"
"Non-working","2008","East Germany","2258","0.487617471158605","0.473525346419285","0.501709595897926","5"
"Non-working","2008","West Germany","6246","0.429850800767624","0.421889314874772","0.437812286660475","5"
"Other","2008","West Germany","1209","0.0847985883630376","0.080318427040146","0.0892787496859292","6"
"Other","2008","East Germany","314","0.0653941572267522","0.0584243075276187","0.0723640069258856","6"
"Part-time","2008","East Germany","381","0.0734864650866927","0.0661299986816557","0.0808429314917297","2"
"Part-time","2008","West Germany","1750","0.103956222175753","0.0990479248920994","0.108864519459407","2"
"Full-time","2009","West Germany","5220","0.382645126047316","0.374526875984097","0.390763376110535","1"
"Full-time","2009","East Germany","1768","0.370522857802837","0.356554522995839","0.384491192609835","1"
"Non-working","2009","East Germany","2143","0.477884509081297","0.463437035230248","0.492331982932345","5"
"Non-working","2009","West Germany","5805","0.429313602571188","0.421045935569922","0.437581269572454","5"
"Other","2009","West Germany","1150","0.0862308458730253","0.081542210486306","0.0909194812597446","6"
"Other","2009","East Germany","281","0.0701585274075611","0.0627711235809663","0.0775459312341559","6"
"Part-time","2009","West Germany","1594","0.101810425508471","0.0967594295359278","0.106861421481014","2"
"Part-time","2009","East Germany","400","0.0814341057083053","0.0735235776518935","0.0893446337647171","2"
"Full-time","2010","West Germany","6884","0.376599903679401","0.369690991531487","0.383508815827314","1"
"Full-time","2010","East Germany","2139","0.380143606776595","0.367356584015723","0.392930629537467","1"
"Non-working","2010","East Germany","2464","0.464214564141131","0.451077301476284","0.477351826805978","5"
"Non-working","2010","West Germany","7809","0.430405463271259","0.423345410768618","0.4374655157739","5"
"Other","2010","West Germany","1709","0.0893416444009918","0.0852744882679412","0.0934088005340423","6"
"Other","2010","East Germany","371","0.0656220323027133","0.0590992004527469","0.0721448641526797","6"
"Part-time","2010","West Germany","2492","0.103652988648348","0.099306734309422","0.107999242987274","2"
"Part-time","2010","East Germany","562","0.0900197967795604","0.0824804271376573","0.0975591664214635","2"
"Full-time","2011","West Germany","8314","0.386611097993216","0.380262050214416","0.392960145772016","1"
"Full-time","2011","East Germany","2514","0.397007042581447","0.385032120494231","0.408981964668663","1"
"Non-working","2011","East Germany","2814","0.45428744387008","0.442101341811939","0.466473545928221","5"
"Non-working","2011","West Germany","9119","0.428620477540644","0.422168359951983","0.435072595129305","5"
"Other","2011","East Germany","398","0.0655353669262865","0.059478657016705","0.071592076835868","6"
"Other","2011","West Germany","1912","0.0791741149760721","0.0756537811538626","0.0826944487982816","6"
"Part-time","2011","West Germany","3254","0.105594309490067","0.101587570852044","0.10960104812809","2"
"Part-time","2011","East Germany","687","0.0831701466221865","0.0764117203926317","0.0899285728517413","2"
"Full-time","2012","West Germany","8075","0.387835665917015","0.381396286843707","0.394275044990322","1"
"Full-time","2012","East Germany","2425","0.387457153521489","0.375408227243899","0.399506079799079","1"
"Non-working","2012","West Germany","8673","0.420977637228709","0.4144528960395","0.427502378417917","5"
"Non-working","2012","East Germany","2747","0.460834085893585","0.4485058260174","0.473162345769769","5"
"Other","2012","East Germany","402","0.063235132631688","0.0572155998585165","0.0692546654048595","6"
"Other","2012","West Germany","2000","0.0819671370274318","0.0783419108698881","0.0855923631849756","6"
"Part-time","2012","West Germany","3247","0.109219559826844","0.105097430103261","0.113341689550428","2"
"Part-time","2012","East Germany","706","0.0884736279532384","0.0814500273679367","0.0954972285385401","2"
"Full-time","2013","West Germany","9304","0.376747697640176","0.370749995838057","0.382745399442295","1"
"Full-time","2013","East Germany","2377","0.389755652646421","0.377655136651509","0.401856168641333","1"
"Non-working","2013","West Germany","9475","0.422852611185697","0.41673804717039","0.428967175201004","5"
"Non-working","2013","East Germany","2651","0.444347643093471","0.432018899596397","0.456676386590546","5"
"Other","2013","East Germany","437","0.0637002593273311","0.057640800374007","0.0697597182806552","6"
"Other","2013","West Germany","2609","0.0894040691318937","0.0858724885871048","0.0929356496766826","6"
"Part-time","2013","West Germany","3687","0.110995622042233","0.107107566192241","0.114883677892226","2"
"Part-time","2013","East Germany","775","0.102196444932777","0.0946808329397294","0.109712056925824","2"
"Full-time","2014","West Germany","8093","0.374457511497015","0.368073292996964","0.380841729997066","1"
"Full-time","2014","East Germany","2151","0.385177217151139","0.372547265822157","0.397807168480121","1"
"Non-working","2014","West Germany","8350","0.414914593944169","0.408415286965041","0.421413900923297","5"
"Non-working","2014","East Germany","2486","0.448516531816817","0.435608742090631","0.461424321543002","5"
"Other","2014","East Germany","390","0.0658404706992287","0.0594039170583076","0.0722770243401498","6"
"Other","2014","West Germany","2401","0.095205177603335","0.0913336407354182","0.0990767144712518","6"
"Part-time","2014","East Germany","676","0.100465780332816","0.0926636297007855","0.108267930964846","2"
"Part-time","2014","West Germany","3233","0.115422716955481","0.111207774986082","0.11963765892488","2"
"Full-time","2015","East Germany","2061","0.387641857849404","0.374813469535706","0.400470246163103","1"
"Full-time","2015","West Germany","8068","0.375399076231767","0.368996259224126","0.381801893239408","1"
"Non-working","2015","West Germany","8339","0.411217467194844","0.404711132284451","0.417723802105237","5"
"Non-working","2015","East Germany","2420","0.436476572342827","0.423418157148077","0.449534987537578","5"
"Other","2015","West Germany","2271","0.0929555726459347","0.0891160682068229","0.0967950770850464","6"
"Other","2015","East Germany","393","0.0681403545058393","0.0615054990993157","0.0747752099123629","6"
"Part-time","2015","West Germany","3293","0.120427883927454","0.116124377725811","0.124731390129097","2"
"Part-time","2015","East Germany","667","0.107741215301929","0.0995774526997037","0.115904977904154","2"
"Full-time","2016","East Germany","1950","0.38274643078432","0.370404439901542","0.395088421667099","1"
"Full-time","2016","West Germany","7351","0.379424834456314","0.373215909750686","0.385633759161941","1"
"Non-working","2016","West Germany","10734","0.410013111142626","0.403719841018364","0.416306381266888","5"
"Non-working","2016","East Germany","2944","0.433442362312778","0.420859322572838","0.446025402052718","5"
"Other","2016","West Germany","2199","0.0884081851264601","0.0847757090150768","0.0920406612378434","6"
"Other","2016","East Germany","391","0.0665262783872014","0.0601985838735385","0.0728539729008643","6"
"Part-time","2016","West Germany","3179","0.1221538692746","0.117963819960744","0.126343918588457","2"
"Part-time","2016","East Germany","673","0.1172849285157","0.109114793825633","0.125455063205768","2"
"Full-time","2017","East Germany","2311","0.401410193943279","0.389473433556064","0.413346954330494","1"
"Full-time","2017","West Germany","8446","0.379123763335453","0.373273730964099","0.384973795706806","1"
"Non-working","2017","East Germany","3025","0.424753453849461","0.41271632003356","0.436790587665362","5"
"Non-working","2017","West Germany","11876","0.404009562850686","0.398092846969805","0.409926278731567","5"
"Other","2017","West Germany","2441","0.0933078597724719","0.0898007102128657","0.0968150093320781","6"
"Other","2017","East Germany","415","0.059233108217792","0.0534846564346047","0.0649815600009793","6"
"Part-time","2017","West Germany","3659","0.123558814041389","0.119590888614783","0.127526739467996","2"
"Part-time","2017","East Germany","727","0.114603243989468","0.106846221725702","0.122360266253234","2"
"Full-time","2018","East Germany","2230","0.398466266747081","0.386325723732631","0.410606809761531","1"
"Full-time","2018","West Germany","8151","0.385115208561779","0.379012119774798","0.391218297348761","1"
"Non-working","2018","West Germany","10270","0.39455805738947","0.388428216697279","0.400687898081661","5"
"Non-working","2018","East Germany","2818","0.4221694389818","0.409921698160405","0.434417179803195","5"
"Other","2018","West Germany","2340","0.0881450880921857","0.0845894348017864","0.0917007413825851","6"
"Other","2018","East Germany","438","0.0651040013967314","0.0589861654147426","0.0712218373787201","6"
"Part-time","2018","East Germany","761","0.114260292874388","0.106371454440879","0.122149131307896","2"
"Part-time","2018","West Germany","3661","0.132181645956565","0.127933910409733","0.136429381503396","2"
"Full-time","2019","West Germany","8805","0.388756255210126","0.382584033321838","0.394928477098413","1"
"Full-time","2019","East Germany","2467","0.400476237187956","0.388253841060684","0.412698633315229","1"
"Non-working","2019","West Germany","9231","0.387854862918025","0.381685256724994","0.394024469111056","5"
"Non-working","2019","East Germany","2556","0.41844680152243","0.406141857876516","0.430751745168344","5"
"Other","2019","West Germany","2202","0.0809994339958241","0.0775448599730622","0.0844540080185861","6"
"Other","2019","East Germany","414","0.0632292400710153","0.0571585169905977","0.0692999631514328","6"
"Part-time","2019","East Germany","737","0.117847721218598","0.109805108558285","0.125890333878912","2"
"Part-time","2019","West Germany","3723","0.142389447876025","0.137964791154429","0.146814104597621","2"
