"erwst","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Other","1986","Full Time","214","0.0455785256029496","0.0397177255391907","0.0514393256667085","6"
"Other","1986","Part Time","360","0.202604200182323","0.184203766772597","0.221004633592048","6"
"Part-time","1986","Full Time","94","0.0209688716799073","0.0169426985143882","0.0249950448454264","2"
"Part-time","1986","Not Working","18","","","","2"
"Part-time","1986","Part Time","530","0.303755525408842","0.282702726962438","0.324808323855246","2"
"Full-time","1987","Full Time","4425","0.903443072115706","0.895172482209994","0.911713662021418","1"
"Full-time","1987","Not Working","44","0.00901053392042627","0.00600488968053755","0.012016178160315","1"
"Full-time","1987","Part Time","488","0.246577689818292","0.22674299249751","0.266412387139075","1"
"Non-working","1987","Full Time","139","0.0260750631403549","0.0216126497655746","0.0305374765151353","5"
"Non-working","1987","Not Working","3690","0.97925775935651","0.974724567108656","0.983790951604364","5"
"Non-working","1987","Part Time","384","0.220271541115486","0.201200239369347","0.239342842861625","5"
"Other","1987","Full Time","274","0.0572024200871041","0.0506994642842189","0.0637053758899892","6"
"Other","1987","Not Working","43","0.00728581208037232","0.00458073970311088","0.00999088445763377","6"
"Other","1987","Part Time","334","0.173343780619601","0.155923864857159","0.190763696382044","6"
"Part-time","1987","Full Time","61","0.0132794446568351","0.0100740506860113","0.0164848386276589","2"
"Part-time","1987","Not Working","20","","","","2"
"Part-time","1987","Part Time","608","0.359806988446621","0.337720854012455","0.381893122880787","2"
"Full-time","1988","Full Time","4135","0.907379234122616","0.899003490298954","0.915754977946278","1"
"Full-time","1988","Not Working","50","0.00996506291850727","0.00670685146642575","0.0132232743705888","1"
"Full-time","1988","Part Time","484","0.244177029727491","0.224590407184191","0.26376365227079","1"
"Non-working","1988","Full Time","131","0.0268096754310815","0.0221428725935603","0.0314764782686026","5"
"Non-working","1988","Not Working","3457","0.975412981361246","0.970333010937649","0.980492951784842","5"
"Non-working","1988","Part Time","445","0.244295473417743","0.224705636104197","0.263885310731288","5"
"Other","1988","Full Time","287","0.0539712686089113","0.0474428459987234","0.0604996912190992","6"
"Other","1988","Not Working","42","0.00870268796673852","0.00565589704164187","0.0117494788918352","6"
"Other","1988","Part Time","309","0.163471223684358","0.146611198968119","0.180331248400598","6"
"Part-time","1988","Full Time","49","0.0118398218373913","0.00871474254140957","0.0149649011333731","2"
"Part-time","1988","Not Working","21","","","","2"
"Part-time","1988","Part Time","610","0.348056273170408","0.32633791976399","0.369774626576827","2"
"Full-time","1989","Full Time","4135","0.913584686451156","0.905425891959635","0.921743480942677","1"
"Full-time","1989","Not Working","53","0.0123645593058009","0.00867121618081353","0.0160579024307883","1"
"Full-time","1989","Part Time","444","0.230236559982606","0.210306506400922","0.250166613564289","1"
"Non-working","1989","Full Time","120","0.0252534932580188","0.0206977125852901","0.0298092739307475","5"
"Non-working","1989","Not Working","3313","0.971861723573278","0.966334805996657","0.9773886411499","5"
"Non-working","1989","Part Time","396","0.229226489575714","0.209327158653257","0.24912582049817","5"
"Other","1989","Full Time","238","0.0454403793006943","0.0393928394785592","0.0514879191228294","6"
"Other","1989","Not Working","50","0.0111217261864931","0.00761671409838202","0.0146267382746043","6"
"Other","1989","Part Time","286","0.170443177331649","0.15264171979093","0.188244634872368","6"
"Part-time","1989","Full Time","63","0.0157214409901308","0.0121093272207144","0.0193335547595472","2"
"Part-time","1989","Part Time","588","0.370093773110032","0.347235862918534","0.39295168330153","2"
"Part-time","1989","Not Working","23","","","","2"
"Full-time","1990","Full Time","4045","0.91331241425153","0.905035019774269","0.921589808728791","1"
"Full-time","1990","Not Working","34","0.00574893879409026","0.00318686340891902","0.00831101417926149","1"
"Full-time","1990","Part Time","444","0.237627753744028","0.217588528360896","0.257666979127159","1"
"Non-working","1990","Full Time","108","0.0240743151319447","0.0195652047887473","0.028583425475142","5"
"Non-working","1990","Not Working","3244","0.978316660626565","0.973380914216283","0.983252407036847","5"
"Non-working","1990","Part Time","396","0.222278988090637","0.202703620257749","0.241854355923525","5"
"Other","1990","Full Time","223","0.0469266741378106","0.0407054111042142","0.053147937171407","6"
"Other","1990","Not Working","31","0.00743037098349883","0.00452008431401363","0.010340657652984","6"
"Other","1990","Part Time","269","0.15254243937978","0.13561453751963","0.169470341239929","6"
"Part-time","1990","Full Time","63","0.0156865964787143","0.0120311823975857","0.019342010559843","2"
"Part-time","1990","Part Time","624","0.387550818785556","0.364613208578503","0.410488428992609","2"
"Part-time","1990","Not Working","36","0.00850402959584587","0.00539225673935412","0.0116158024523376","2"
"Full-time","1991","Full Time","4042","0.915930410976036","0.90776453040582","0.924096291546253","1"
"Full-time","1991","Not Working","60","0.0120007440298768","0.00826804455390943","0.0157334435058442","1"
"Full-time","1991","Part Time","399","0.204188188366443","0.185360850713912","0.223015526018974","1"
"Non-working","1991","Full Time","98","0.0205550508892274","0.0163796169600535","0.0247304848184012","5"
"Non-working","1991","Not Working","3129","0.972081219510352","0.966433929004509","0.977728510016196","5"
"Non-working","1991","Part Time","380","0.213124843558695","0.193998217430711","0.232251469686678","5"
"Other","1991","Full Time","252","0.0522981809377584","0.0457468208429982","0.0588495410325185","6"
"Other","1991","Not Working","54","0.0115126094339885","0.00785570944385102","0.0151695094241259","6"
"Other","1991","Part Time","302","0.172110893991126","0.154480635609187","0.189741152373066","6"
"Part-time","1991","Full Time","44","0.0112163571969779","0.00811730511696687","0.0143154092769889","2"
"Part-time","1991","Part Time","680","0.410576074083736","0.387599825977443","0.433552322190029","2"
"Part-time","1991","Not Working","26","","","","2"
"Full-time","1992","Full Time","5842","0.897258583734092","0.889936355445522","0.904580812022662","1"
"Full-time","1992","Not Working","50","0.00871485408445824","0.00592899848314562","0.0115007096857709","1"
"Full-time","1992","Part Time","633","0.215911918694738","0.199815399758915","0.232008437630561","1"
"Non-working","1992","Full Time","360","0.0472189840149457","0.0421037377505557","0.0523342302793357","5"
"Non-working","1992","Not Working","4143","0.979117945367162","0.974832130946552","0.983403759787771","5"
"Non-working","1992","Part Time","743","0.283973574705259","0.266332919168363","0.301614230242156","5"
"Other","1992","Full Time","302","0.0412021979389955","0.0364088893760814","0.0459955065019095","6"
"Other","1992","Not Working","54","0.00764710741919102","0.00503608315269352","0.0102581316856885","6"
"Other","1992","Part Time","321","0.134898750641001","0.121534375322983","0.14826312595902","6"
"Part-time","1992","Full Time","101","0.0143202343119667","0.0114550361574821","0.0171854324664512","2"
"Part-time","1992","Not Working","29","","","","2"
"Part-time","1992","Part Time","813","0.365215755959002","0.346379306169322","0.384052205748682","2"
"Full-time","1993","Full Time","5618","0.900537908230324","0.893129434419324","0.907946382041324","1"
"Full-time","1993","Not Working","76","0.0111092608765832","0.00802799662084472","0.0141905251323216","1"
"Full-time","1993","Part Time","584","0.224324472351018","0.207853997827579","0.240794946874458","1"
"Non-working","1993","Full Time","255","0.0395453744588945","0.0347210642191653","0.0443696846986236","5"
"Non-working","1993","Not Working","4254","0.968352452021108","0.963206106154767","0.973498797887449","5"
"Non-working","1993","Part Time","751","0.281074641876384","0.263325372792407","0.298823910960362","5"
"Other","1993","Full Time","303","0.0461951349401963","0.040999042810223","0.0513912270701695","6"
"Other","1993","Not Working","80","0.013683426664864","0.0102682135603844","0.0170986397693436","6"
"Other","1993","Part Time","337","0.137563872507708","0.12396373165723","0.151164013358186","6"
"Part-time","1993","Full Time","93","0.0137215823705856","0.0108418586782779","0.0166013060628933","2"
"Part-time","1993","Not Working","35","0.00685486043744476","0.00442926773310973","0.0092804531417798","2"
"Part-time","1993","Part Time","792","0.357037013264889","0.338118920702258","0.375955105827521","2"
"Full-time","1994","Full Time","5360","0.908564641475426","0.901262487011661","0.915866795939192","1"
"Full-time","1994","Not Working","64","0.0114213878028978","0.00834703215434831","0.0144957434514473","1"
"Full-time","1994","Part Time","576","0.210455279869786","0.194044009601093","0.226866550138479","1"
"Non-working","1994","Full Time","256","0.0374149638149028","0.0326070327583246","0.042222894871481","5"
"Non-working","1994","Not Working","4428","0.974450747912648","0.969885565825569","0.979015929999728","5"
"Non-working","1994","Part Time","678","0.281237186187178","0.263136164439326","0.29933820793503","5"
"Other","1994","Full Time","277","0.0389157622126816","0.0340161747856238","0.0438153496397393","6"
"Other","1994","Not Working","71","0.0100393577874913","0.00715498763656758","0.012923727938415","6"
"Other","1994","Part Time","348","0.154519192935693","0.139967383115702","0.169071002755684","6"
"Part-time","1994","Full Time","92","0.0151046324969893","0.0120145779732078","0.0181946870207709","2"
"Part-time","1994","Not Working","26","","","","2"
"Part-time","1994","Part Time","768","0.353788341007343","0.334538237410721","0.373038444603965","2"
"Full-time","1995","Full Time","5312","0.90568728304834","0.898240450824824","0.913134115271855","1"
"Full-time","1995","Not Working","88","0.0128486985270743","0.00967521250435117","0.0160221845497975","1"
"Full-time","1995","Part Time","757","0.270807572369873","0.253772390425417","0.287842754314329","1"
"Non-working","1995","Full Time","207","0.0339670953705966","0.0293515558772219","0.0385826348639714","5"
"Non-working","1995","Not Working","4649","0.970047706133138","0.965244549498706","0.974850862767569","5"
"Non-working","1995","Part Time","628","0.237161102393397","0.22085562778244","0.253466577004355","5"
"Other","1995","Full Time","293","0.0434669148309958","0.0382714224460377","0.0486624072159539","6"
"Other","1995","Not Working","69","0.0122033877152264","0.00910960983553793","0.0152971655949149","6"
"Other","1995","Part Time","388","0.147996130485268","0.134383524841438","0.161608736129099","6"
"Part-time","1995","Full Time","105","0.0168787067500678","0.0135964659359771","0.0201609475641585","2"
"Part-time","1995","Not Working","32","0.00490020762456141","0.00293252197780905","0.00686789327131377","2"
"Part-time","1995","Part Time","841","0.344035194751461","0.325824060110671","0.362246329392251","2"
"Full-time","1996","Full Time","5126","0.899608383956248","0.891842759689083","0.907374008223414","1"
"Full-time","1996","Not Working","59","0.00872321385518355","0.00605619934508427","0.0113902283652828","1"
"Full-time","1996","Part Time","731","0.247503068006649","0.231227788374163","0.263778347639134","1"
"Non-working","1996","Full Time","248","0.0411791425204996","0.0360445227357753","0.0463137623052239","5"
"Non-working","1996","Not Working","4513","0.973456728564199","0.968846470878432","0.978066986249966","5"
"Non-working","1996","Part Time","682","0.239913798178188","0.223809387520353","0.256018208836023","5"
"Other","1996","Full Time","265","0.0388136162179371","0.0338225105716556","0.0438047218642186","6"
"Other","1996","Not Working","62","0.0096422499914998","0.00683956107199787","0.0124449389110017","6"
"Other","1996","Part Time","383","0.146801935278642","0.133455151642254","0.16014871891503","6"
"Part-time","1996","Full Time","114","0.0203988573053148","0.0167460356776938","0.0240516789329359","2"
"Part-time","1996","Not Working","36","0.008177807589118","0.00559480402420639","0.0107608111540296","2"
"Part-time","1996","Part Time","905","0.365781198536522","0.347617008181687","0.383945388891356","2"
"Full-time","1997","Full Time","4984","0.896395681605084","0.888418300300041","0.904373062910127","1"
"Full-time","1997","Not Working","46","0.00695415616652314","0.00459141176003979","0.00931690057300649","1"
"Full-time","1997","Part Time","715","0.259852036681182","0.24285375335437","0.276850320007994","1"
"Non-working","1997","Full Time","231","0.0392165849460368","0.0341353511373626","0.0442978187547111","5"
"Non-working","1997","Not Working","4621","0.979652024293","0.975637755951487","0.983666292634514","5"
"Non-working","1997","Part Time","633","0.245944540253039","0.229252748245231","0.262636332260846","5"
"Other","1997","Full Time","270","0.0401832493063867","0.0350423602371205","0.0453241383756528","6"
"Other","1997","Not Working","59","0.00697051460566323","0.00460501234321373","0.00933601686811273","6"
"Other","1997","Part Time","362","0.136337875956403","0.123037530358662","0.149638221554143","6"
"Part-time","1997","Full Time","121","0.0242044841424927","0.0201814949217427","0.0282274733632427","2"
"Part-time","1997","Not Working","26","","","","2"
"Part-time","1997","Part Time","847","0.357865547109377","0.339285121504696","0.376445972714058","2"
"Full-time","1998","Full Time","5335","0.894155221568376","0.886375564515107","0.901934878621645","1"
"Full-time","1998","Not Working","55","0.00885720590919886","0.00636717323407713","0.0113472385843206","1"
"Full-time","1998","Part Time","853","0.277424311730227","0.261075341872695","0.29377328158776","1"
"Non-working","1998","Full Time","231","0.040002692812076","0.0350470625533276","0.0449583230708244","5"
"Non-working","1998","Not Working","5302","0.977240552952864","0.973277132417583","0.981203973488145","5"
"Non-working","1998","Part Time","636","0.208611804164206","0.193774989028584","0.223448619299828","5"
"Other","1998","Full Time","310","0.0429729931727001","0.0378446252624951","0.0481013610829051","6"
"Other","1998","Not Working","53","0.00873684905792765","0.00626364210362985","0.0112100560122254","6"
"Other","1998","Part Time","438","0.139872028801679","0.127206496859382","0.152537560743976","6"
"Part-time","1998","Full Time","131","0.0228690924468476","0.0190888459864844","0.0266493389072109","2"
"Part-time","1998","Not Working","29","","","","2"
"Part-time","1998","Part Time","954","0.374091855303888","0.356422492435251","0.391761218172525","2"
"Full-time","1999","Full Time","5207","0.894115484040204","0.886231493804347","0.901999474276061","1"
"Full-time","1999","Not Working","53","0.00847364158895587","0.00592479043449475","0.011022492743417","1"
"Full-time","1999","Part Time","801","0.264511418756553","0.248592231752219","0.280430605760886","1"
"Non-working","1999","Full Time","206","0.0359399799581187","0.0311704674321625","0.0407094924840748","5"
"Non-working","1999","Not Working","4823","0.976758896249277","0.972569230659664","0.98094856183889","5"
"Non-working","1999","Part Time","650","0.214520231767801","0.199704867461403","0.229335596074199","5"
"Other","1999","Full Time","291","0.0421903822323506","0.0370395267056206","0.0473412377590806","6"
"Other","1999","Not Working","63","0.0103730457953035","0.00755566076431508","0.0131904308262918","6"
"Other","1999","Part Time","553","0.195709477628512","0.181390134067015","0.210028821190009","6"
"Part-time","1999","Full Time","147","0.0277541537693266","0.0235450940739506","0.0319632134647025","2"
"Part-time","1999","Not Working","29","","","","2"
"Part-time","1999","Part Time","945","0.325258871847134","0.308350808281832","0.342166935412437","2"
"Full-time","2000","Full Time","8924","0.88920837457692","0.883086785914404","0.895329963239435","1"
"Full-time","2000","Not Working","88","0.00920890598557881","0.00724299677789487","0.0111748151932627","1"
"Full-time","2000","Part Time","1073","0.215420453692146","0.204133016662477","0.226707890721816","1"
"Non-working","2000","Full Time","355","0.033665034689194","0.0301473064503051","0.0371827629280829","5"
"Non-working","2000","Not Working","8803","0.972231271889485","0.968849602259402","0.975612941519569","5"
"Non-working","2000","Part Time","1263","0.236783494311523","0.225111825089334","0.248455163533711","5"
"Other","2000","Full Time","495","0.0432558246321561","0.0392882133520353","0.047223435912277","6"
"Other","2000","Not Working","110","0.0114148136362886","0.00922851314703098","0.0136011141255462","6"
"Other","2000","Part Time","913","0.184629510035228","0.173976767405049","0.195282252665408","6"
"Part-time","2000","Full Time","325","0.0338707661017302","0.0303426812089291","0.0373988509945314","2"
"Part-time","2000","Not Working","68","0.00714500848864724","0.0054115530719103","0.00887846390538417","2"
"Part-time","2000","Part Time","1847","0.363166541961103","0.349962732976597","0.376370350945609","2"
"Full-time","2001","Full Time","8038","0.885200723041241","0.878645671941537","0.891755774140946","1"
"Full-time","2001","Not Working","68","0.00772216671130069","0.0058204369712434","0.00962389645135798","1"
"Full-time","2001","Part Time","976","0.202848457745617","0.191518544606389","0.214178370884845","1"
"Non-working","2001","Full Time","308","0.0353152051226003","0.0315197906576673","0.0391106195875332","5"
"Non-working","2001","Not Working","7910","0.97529496246498","0.971922684876334","0.978667240053625","5"
"Non-working","2001","Part Time","1213","0.251510710033482","0.239285922584548","0.263735497482417","5"
"Other","2001","Full Time","460","0.0451318064626564","0.0408630763530496","0.0494005365722631","6"
"Other","2001","Not Working","105","0.0105506376689827","0.00833091504957442","0.0127703602883909","6"
"Other","2001","Part Time","918","0.193870522139423","0.182731974385545","0.205009069893302","6"
"Part-time","2001","Full Time","279","0.0343522653735019","0.0306070855138732","0.0380974452331306","2"
"Part-time","2001","Not Working","56","0.00643223315473702","0.00469546357846017","0.00816900273101387","2"
"Part-time","2001","Part Time","1732","0.351770310081477","0.338315910240105","0.365224709922849","2"
"Full-time","2002","Full Time","8503","0.882533346094228","0.87609093457832","0.888975757610136","1"
"Full-time","2002","Not Working","62","0.00741863245243007","0.00557353759555736","0.00926372730930277","1"
"Full-time","2002","Part Time","1006","0.186050153474484","0.175526701347191","0.196573605601778","1"
"Non-working","2002","Full Time","331","0.0343781395600155","0.0307325285165127","0.0380237506035183","5"
"Non-working","2002","Not Working","8098","0.976906519361015","0.973676947795369","0.98013609092666","5"
"Non-working","2002","Part Time","1308","0.269943961267013","0.257939040508425","0.281948882025601","5"
"Other","2002","Full Time","469","0.0532730061772764","0.0487794354276766","0.0577665769268761","6"
"Other","2002","Not Working","104","0.0113904704948901","0.00910877891638159","0.0136721620733986","6"
"Other","2002","Part Time","982","0.186332828777293","0.175803214163357","0.196862443391229","6"
"Part-time","2002","Full Time","292","0.0298155081684798","0.0264124147312655","0.0332186016056941","2"
"Part-time","2002","Not Working","45","0.00428437769166521","0.00287999571670487","0.00568875966662555","2"
"Part-time","2002","Part Time","1957","0.357673056481209","0.34471124879909","0.370634864163328","2"
"Full-time","2003","Full Time","7867","0.880714040146506","0.873992612179386","0.887435468113626","1"
"Full-time","2003","Not Working","40","0.00428115032731785","0.00286962978141337","0.00569267087322233","1"
"Full-time","2003","Part Time","964","0.196395848942585","0.185540528719595","0.207251169165576","1"
"Non-working","2003","Full Time","303","0.0337630027425139","0.0300174856149971","0.0375085198700307","5"
"Non-working","2003","Not Working","8034","0.979698802821701","0.976649885033079","0.982747720610322","5"
"Non-working","2003","Part Time","1299","0.261247969045647","0.249243824760255","0.273252113331038","5"
"Other","2003","Full Time","455","0.050428535096352","0.0458906715975262","0.0549663985951777","6"
"Other","2003","Not Working","110","0.0124208074627613","0.0100263921499883","0.0148152227755343","6"
"Other","2003","Part Time","943","0.1865465760532","0.175902318157944","0.197190833948455","6"
"Part-time","2003","Full Time","308","0.035094422014628","0.0312783999283396","0.0389104441009165","2"
"Part-time","2003","Not Working","35","0.00359923938822037","0.00230456370103312","0.00489391507540762","2"
"Part-time","2003","Part Time","1939","0.355809605958568","0.342727689900729","0.368891522016407","2"
"Full-time","2004","Full Time","7499","0.880524949426775","0.873621196856083","0.887428701997467","1"
"Full-time","2004","Not Working","46","0.00465588162208099","0.00318442675147322","0.00612733649268876","1"
"Full-time","2004","Part Time","990","0.1998525098635","0.18880364652665","0.210901373200349","1"
"Non-working","2004","Full Time","267","0.0335773336157008","0.0297430659259781","0.0374116013054234","5"
"Non-working","2004","Not Working","8041","0.980341680513781","0.977340989462794","0.983342371564768","5"
"Non-working","2004","Part Time","1158","0.250319465470142","0.238350318398276","0.262288612542009","5"
"Other","2004","Full Time","407","0.0494308029458839","0.0448169210394144","0.0540446848523534","6"
"Other","2004","Not Working","102","0.0111321007855525","0.00886423651399286","0.0133999650571122","6"
"Other","2004","Part Time","1032","0.207515838722234","0.196311178393729","0.21872049905074","6"
"Part-time","2004","Full Time","306","0.0364669140116404","0.0324770453856611","0.0404567826376197","2"
"Part-time","2004","Not Working","33","0.00387033707858572","0.00252821603308302","0.00521245812408842","2"
"Part-time","2004","Part Time","1852","0.342312185944124","0.329202301843534","0.355422070044714","2"
"Full-time","2005","Full Time","7091","0.870724841441194","0.863397148735177","0.878052534147211","1"
"Full-time","2005","Not Working","50","0.0042536293080186","0.00282113446228693","0.00568612415375027","1"
"Full-time","2005","Part Time","860","0.184691543622793","0.173747974015825","0.195635113229761","1"
"Non-working","2005","Full Time","277","0.0373822243340623","0.0332390925287444","0.0415253561393801","5"
"Non-working","2005","Not Working","7755","0.980532345386767","0.977491273680158","0.983573417093375","5"
"Non-working","2005","Part Time","1175","0.26326913846007","0.250848928625477","0.275689348294662","5"
"Other","2005","Full Time","381","0.0501547798129841","0.0453877065511782","0.0549218530747899","6"
"Other","2005","Not Working","90","0.011290879686012","0.00896526885137507","0.013616490520649","6"
"Other","2005","Part Time","1037","0.217491119747492","0.205856828603478","0.229125410891505","6"
"Part-time","2005","Full Time","304","0.04173815441176","0.0373702013735255","0.0461061074499945","2"
"Part-time","2005","Not Working","34","0.00392314561920249","0.00254719603704447","0.00529909520136052","2"
"Part-time","2005","Part Time","1758","0.334548198169646","0.321241749104598","0.347854647234694","2"
"Full-time","2006","Full Time","7424","0.872755988308012","0.865650228370781","0.879861748245242","1"
"Full-time","2006","Not Working","62","0.00745776181662773","0.00567011943052438","0.00924540420273107","1"
"Full-time","2006","Part Time","844","0.180646832891704","0.170018005112647","0.191275660670761","1"
"Non-working","2006","Full Time","276","0.0348979315826581","0.0309847328643706","0.0388111303009456","5"
"Non-working","2006","Not Working","8586","0.967184812408579","0.963483173341362","0.970886451475797","5"
"Non-working","2006","Part Time","1175","0.250450261026848","0.238480221106773","0.262420300946923","5"
"Other","2006","Full Time","399","0.0534146220513166","0.0486199885935744","0.0582092555090588","6"
"Other","2006","Not Working","199","0.0197941126963227","0.0168999125381983","0.022688312854447","6"
"Other","2006","Part Time","1103","0.223313005581446","0.211807263068869","0.234818748094023","6"
"Part-time","2006","Full Time","350","0.0389314580580136","0.0348069424485595","0.0430559736674677","2"
"Part-time","2006","Not Working","51","0.00556331307847011","0.00401785506883041","0.00710877108810982","2"
"Part-time","2006","Part Time","1911","0.345589900500002","0.332451571180315","0.358728229819689","2"
"Full-time","2007","Full Time","7032","0.88938662756731","0.882462717120144","0.896310538014476","1"
"Full-time","2007","Not Working","62","0.00702200223680436","0.00523117726075792","0.00881282721285081","1"
"Full-time","2007","Part Time","792","0.173019497543981","0.162238508803936","0.183800486284027","1"
"Non-working","2007","Full Time","193","0.0243355265553804","0.0209340071940838","0.0277370459166771","5"
"Non-working","2007","Not Working","8033","0.961658392496623","0.957540277975696","0.965776507017549","5"
"Non-working","2007","Part Time","997","0.227323579752445","0.21537862506069","0.239268534444201","5"
"Other","2007","Full Time","334","0.0457197420039403","0.0411087732112872","0.0503307107965935","6"
"Other","2007","Not Working","202","0.0228616264349435","0.0196562101082518","0.0260670427616352","6"
"Other","2007","Part Time","1025","0.226298392190957","0.214372498933489","0.238224285448426","6"
"Part-time","2007","Full Time","324","0.0405581038733692","0.0362034816081162","0.0449127261386223","2"
"Part-time","2007","Not Working","55","0.00845797883162943","0.00649397781973014","0.0104219798435287","2"
"Part-time","2007","Part Time","1915","0.373358530512616","0.359572601455342","0.387144459569889","2"
"Full-time","2008","Full Time","6698","0.890845900946065","0.883790478928644","0.897901322963485","1"
"Full-time","2008","Not Working","62","0.0107037292221023","0.00841374790957392","0.0129937105346307","1"
"Full-time","2008","Part Time","768","0.174486298872043","0.163303918478055","0.18566867926603","1"
"Non-working","2008","Full Time","174","0.0231610299339525","0.0197577936661907","0.0265642662017142","5"
"Non-working","2008","Not Working","7460","0.960549623642093","0.956217641339274","0.964881605944912","5"
"Non-working","2008","Part Time","870","0.20537876624056","0.193475961567109","0.217281570914011","5"
"Other","2008","Full Time","336","0.0486789362106423","0.0438099810591593","0.0535478913621252","6"
"Other","2008","Not Working","197","0.0242955540975157","0.0208692670744456","0.0277218411205858","6"
"Other","2008","Part Time","990","0.242705769968395","0.230074011061615","0.255337528875174","6"
"Part-time","2008","Full Time","296","0.0373141329093405","0.0330258774078974","0.0416023884107836","2"
"Part-time","2008","Not Working","38","0.00445109303828917","0.00296971524065936","0.00593247083591897","2"
"Part-time","2008","Part Time","1797","0.377429164919002","0.363146686795161","0.391711643042843","2"
"Full-time","2009","Full Time","6200","0.885694844296945","0.878248550314226","0.893141138279664","1"
"Full-time","2009","Not Working","39","0.00525636159081752","0.00357616986913289","0.00693655331250215","1"
"Full-time","2009","Part Time","749","0.184597693498534","0.172908774086054","0.196286612911014","1"
"Non-working","2009","Full Time","217","0.030967370465913","0.0269133440374259","0.0350213968944001","5"
"Non-working","2009","Not Working","6895","0.969174972739506","0.965158789967587","0.973191155511425","5"
"Non-working","2009","Part Time","836","0.210620819944652","0.198336001431874","0.22290563845743","5"
"Other","2009","Full Time","317","0.046607506155376","0.0416743029248321","0.0515407093859199","6"
"Other","2009","Not Working","145","0.0195447681770331","0.0163282220429562","0.0227613143111101","6"
"Other","2009","Part Time","969","0.250885904488097","0.23782457524673","0.263947233729465","6"
"Part-time","2009","Full Time","280","0.0367302790817659","0.0323282665066034","0.0411322916569284","2"
"Part-time","2009","Not Working","36","0.00602389749264323","0.0042259069756848","0.00782188800960166","2"
"Part-time","2009","Part Time","1678","0.353895582068717","0.339488892859785","0.368302271277648","2"
"Full-time","2010","Full Time","7956","0.876455314381664","0.869751271197758","0.88315935756557","1"
"Full-time","2010","Not Working","82","0.00837101911058229","0.00646927779057586","0.0102727604305887","1"
"Full-time","2010","Part Time","985","0.166147216940454","0.156998102582483","0.175296331298425","1"
"Non-working","2010","Full Time","456","0.028649863131826","0.0252511926615915","0.0320485336020604","5"
"Non-working","2010","Not Working","8334","0.964245922606453","0.960370274266469","0.968121570946437","5"
"Non-working","2010","Part Time","1483","0.22441334011282","0.21415853693286","0.23466814329278","5"
"Other","2010","Full Time","380","0.0488512796791876","0.0444596868647963","0.0532428724935788","6"
"Other","2010","Not Working","273","0.0206528273522711","0.0176842678061135","0.0236213868984288","6"
"Other","2010","Part Time","1427","0.255198522171146","0.244482165206736","0.265914879135556","6"
