"erwst","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Part-time","1984","Other degree","Single parent ","1","","",""
"Part-time","1984","Other degree","Couple + C. LE 16 ","24","","",""
"Part-time","1984","Other degree","Couple + C. GT 16 ","4","","",""
"Part-time","1984","Other degree","Couple + C. LE and GT 16","9","","",""
"Part-time","1984","no degree/no degree yet","1-pers.-HH","1","","",""
"Part-time","1984","no degree/no degree yet","(Married) couple without C. ","3","","",""
"Part-time","1984","no degree/no degree yet","Single parent ","","","",""
"Part-time","1984","no degree/no degree yet","Couple + C. LE 16 ","9","","",""
"Part-time","1984","no degree/no degree yet","Couple + C. GT 16 ","3","","",""
"Part-time","1984","no degree/no degree yet","Couple + C. LE and GT 16","10","","",""
"Non-working","1984","lower secondary degree","1-pers.-HH","468","0.73783365389958","0.704849493030552","0.770817814768607"
"Non-working","1984","lower secondary degree","(Married) couple without C. ","948","0.630409398223465","0.606772600740648","0.654046195706283"
"Non-working","1984","lower secondary degree","Single parent ","137","0.454379947515755","0.399995478179451","0.508764416852058"
"Non-working","1984","lower secondary degree","Couple + C. LE 16 ","456","0.339540208373418","0.313827686143411","0.365252730603424"
"Non-working","1984","lower secondary degree","Couple + C. GT 16 ","343","0.365803244440864","0.335815275782607","0.395791213099121"
"Non-working","1984","lower secondary degree","Couple + C. LE and GT 16","242","0.296494100451688","0.264746827440413","0.328241373462963"
"Non-working","1984","secondary school degree","1-pers.-HH","115","0.550875441227317","0.488076882396181","0.613674000058453"
"Non-working","1984","secondary school degree","(Married) couple without C. ","157","0.41929550946673","0.372492707784172","0.466098311149287"
"Non-working","1984","secondary school degree","Single parent ","42","0.432088531277402","0.333508508750461","0.530668553804343"
"Non-working","1984","secondary school degree","Couple + C. LE 16 ","151","0.323617121787968","0.281001420097083","0.366232823478853"
"Non-working","1984","secondary school degree","Couple + C. GT 16 ","123","0.335205095902624","0.28716982069472","0.383240371110527"
"Non-working","1984","secondary school degree","Couple + C. LE and GT 16","96","0.349200450989029","0.291365701741226","0.407035200236832"
"Non-working","1984","college entrance qualification","1-pers.-HH","85","0.444857613268779","0.377804403607691","0.511910822929867"
"Non-working","1984","college entrance qualification","(Married) couple without C. ","121","0.409424465652457","0.355798953731062","0.463049977573852"
"Non-working","1984","college entrance qualification","Single parent ","25","","",""
"Non-working","1984","college entrance qualification","Couple + C. LE 16 ","70","0.230659235941664","0.182506693513044","0.278811778370285"
"Non-working","1984","college entrance qualification","Couple + C. GT 16 ","92","0.426536549076087","0.360118014903504","0.492955083248671"
"Non-working","1984","college entrance qualification","Couple + C. LE and GT 16","43","0.398683948598527","0.305474286771393","0.49189361042566"
"Non-working","1984","Other degree","1-pers.-HH","15","","",""
"Non-working","1984","Other degree","(Married) couple without C. ","39","0.284509960656019","0.221506339442649","0.34751358186939"
"Non-working","1984","Other degree","Single parent ","11","","",""
"Non-working","1984","Other degree","Couple + C. LE 16 ","164","0.28327177928882","0.247746887710442","0.318796670867198"
"Non-working","1984","Other degree","Couple + C. GT 16 ","40","0.274500334719358","0.20701902585761","0.341981643581105"
"Non-working","1984","Other degree","Couple + C. LE and GT 16","71","0.290527969925021","0.231853957688272","0.34920198216177"
"Non-working","1984","no degree/no degree yet","1-pers.-HH","22","","",""
"Non-working","1984","no degree/no degree yet","(Married) couple without C. ","57","0.494163934944267","0.412786404095965","0.575541465792569"
"Non-working","1984","no degree/no degree yet","Single parent ","37","0.793626590550024","0.694476508297271","0.892776672802777"
"Non-working","1984","no degree/no degree yet","Couple + C. LE 16 ","140","0.436613846496711","0.385522700698018","0.487704992295404"
"Non-working","1984","no degree/no degree yet","Couple + C. GT 16 ","141","0.824959150411904","0.776681565005576","0.873236735818232"
"Non-working","1984","no degree/no degree yet","Couple + C. LE and GT 16","180","0.79572591887151","0.751061230600672","0.840390607142348"
"Other","1984","lower secondary degree","1-pers.-HH","14","","",""
"Other","1984","lower secondary degree","(Married) couple without C. ","28","","",""
"Other","1984","lower secondary degree","Single parent ","29","","",""
"Other","1984","lower secondary degree","Couple + C. LE 16 ","69","0.0521816288277199","0.040106347437324","0.0642569102181159"
"Other","1984","lower secondary degree","Couple + C. GT 16 ","93","0.0776876440006928","0.061021840663502","0.0943534473378837"
"Other","1984","lower secondary degree","Couple + C. LE and GT 16","125","0.132346375284903","0.108790798382628","0.155901952187178"
"Other","1984","secondary school degree","1-pers.-HH","11","","",""
"Other","1984","secondary school degree","(Married) couple without C. ","9","","",""
"Other","1984","secondary school degree","Single parent ","10","","",""
"Other","1984","secondary school degree","Couple + C. LE 16 ","24","","",""
"Other","1984","secondary school degree","Couple + C. GT 16 ","80","0.201349906547501","0.160544742722344","0.242155070372658"
"Other","1984","secondary school degree","Couple + C. LE and GT 16","68","0.263339702174962","0.209905461836351","0.316773942513574"
"Other","1984","college entrance qualification","1-pers.-HH","15","","",""
"Other","1984","college entrance qualification","(Married) couple without C. ","18","","",""
"Other","1984","college entrance qualification","Single parent ","6","","",""
"Other","1984","college entrance qualification","Couple + C. LE 16 ","13","","",""
"Other","1984","college entrance qualification","Couple + C. GT 16 ","29","","",""
"Other","1984","college entrance qualification","Couple + C. LE and GT 16","11","","",""
"Other","1984","Other degree","1-pers.-HH","2","","",""
"Other","1984","Other degree","(Married) couple without C. ","3","","",""
"Other","1984","Other degree","Single parent ","4","","",""
"Other","1984","Other degree","Couple + C. LE 16 ","10","","",""
"Other","1984","Other degree","Couple + C. GT 16 ","5","","",""
"Other","1984","Other degree","Couple + C. LE and GT 16","7","","",""
"Other","1984","no degree/no degree yet","1-pers.-HH","1","","",""
"Other","1984","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Other","1984","no degree/no degree yet","Single parent ","2","","",""
"Other","1984","no degree/no degree yet","Couple + C. LE 16 ","6","","",""
"Other","1984","no degree/no degree yet","Couple + C. GT 16 ","8","","",""
"Other","1984","no degree/no degree yet","Couple + C. LE and GT 16","7","","",""
"Full-time","1985","lower secondary degree","1-pers.-HH","166","0.228686792582748","0.194653334156105","0.26272025100939"
"Full-time","1985","lower secondary degree","(Married) couple without C. ","501","0.313077564500439","0.28907523799312","0.337079891007759"
"Full-time","1985","lower secondary degree","Single parent ","132","0.438465297490612","0.381257519024932","0.495673075956293"
"Full-time","1985","lower secondary degree","Couple + C. LE 16 ","566","0.50368124848834","0.474657473489682","0.532705023486999"
"Full-time","1985","lower secondary degree","Couple + C. GT 16 ","501","0.495007864590474","0.463894956092845","0.526120773088104"
"Full-time","1985","lower secondary degree","Couple + C. LE and GT 16","339","0.537197302411663","0.499243422489612","0.575151182333714"
"Full-time","1985","secondary school degree","1-pers.-HH","113","0.423286890788145","0.359013311839801","0.487560469736489"
"Full-time","1985","secondary school degree","(Married) couple without C. ","228","0.52235350428173","0.473525315083268","0.571181693480193"
"Full-time","1985","secondary school degree","Single parent ","42","0.419418374517219","0.322701231117184","0.516135517917255"
"Full-time","1985","secondary school degree","Couple + C. LE 16 ","212","0.497308690240664","0.450050446689618","0.544566933791711"
"Full-time","1985","secondary school degree","Couple + C. GT 16 ","172","0.429025756273291","0.380522819289376","0.477528693257205"
"Full-time","1985","secondary school degree","Couple + C. LE and GT 16","76","0.348141746601022","0.286170561895591","0.410112931306454"
"Full-time","1985","college entrance qualification","1-pers.-HH","106","0.489319838617975","0.421056836160857","0.557582841075094"
"Full-time","1985","college entrance qualification","(Married) couple without C. ","145","0.458057259936405","0.401677392489458","0.514437127383352"
"Full-time","1985","college entrance qualification","Single parent ","19","","",""
"Full-time","1985","college entrance qualification","Couple + C. LE 16 ","173","0.625889552126783","0.568593911572233","0.683185192681332"
"Full-time","1985","college entrance qualification","Couple + C. GT 16 ","107","0.465818626641877","0.402310878544739","0.529326374739014"
"Full-time","1985","college entrance qualification","Couple + C. LE and GT 16","38","0.530794046031723","0.421436721605544","0.640151370457901"
"Full-time","1985","Other degree","1-pers.-HH","76","0.773443344277112","0.687905787105388","0.858980901448835"
"Full-time","1985","Other degree","(Married) couple without C. ","128","0.647332077885086","0.575926783930217","0.718737371839956"
"Full-time","1985","Other degree","Single parent ","24","","",""
"Full-time","1985","Other degree","Couple + C. LE 16 ","340","0.660310012950678","0.619044414593518","0.701575611307838"
"Full-time","1985","Other degree","Couple + C. GT 16 ","104","0.618568578335103","0.540312263224212","0.696824893445994"
"Full-time","1985","Other degree","Couple + C. LE and GT 16","139","0.676791946693382","0.611973029613403","0.74161086377336"
"Full-time","1985","no degree/no degree yet","1-pers.-HH","45","0.510866307733861","0.388397490362814","0.633335125104907"
"Full-time","1985","no degree/no degree yet","(Married) couple without C. ","64","0.451489268728527","0.358066846684733","0.544911690772321"
"Full-time","1985","no degree/no degree yet","Single parent ","20","","",""
"Full-time","1985","no degree/no degree yet","Couple + C. LE 16 ","163","0.494277169351043","0.436333415143982","0.552220923558103"
"Full-time","1985","no degree/no degree yet","Couple + C. GT 16 ","73","0.114842527009032","0.0729020617400751","0.156782992277989"
"Full-time","1985","no degree/no degree yet","Couple + C. LE and GT 16","96","0.138605511961443","0.0988369042286265","0.17837411969426"
"Part-time","1985","lower secondary degree","1-pers.-HH","10","","",""
"Part-time","1985","lower secondary degree","(Married) couple without C. ","92","0.0615296655397918","0.0490923667734186","0.0739669643061651"
"Part-time","1985","lower secondary degree","Single parent ","21","","",""
"Part-time","1985","lower secondary degree","Couple + C. LE 16 ","128","0.113326562234542","0.0949254797593744","0.13172764470971"
"Part-time","1985","lower secondary degree","Couple + C. GT 16 ","97","0.101205996373523","0.0824376737382463","0.1199743190088"
"Part-time","1985","lower secondary degree","Couple + C. LE and GT 16","48","0.0817196770478452","0.0608679377338917","0.102571416361799"
"Part-time","1985","secondary school degree","1-pers.-HH","3","","",""
"Part-time","1985","secondary school degree","(Married) couple without C. ","25","","",""
"Part-time","1985","secondary school degree","Single parent ","11","","",""
"Part-time","1985","secondary school degree","Couple + C. LE 16 ","65","0.148036086050076","0.114469415942872","0.181602756157281"
"Part-time","1985","secondary school degree","Couple + C. GT 16 ","37","0.094763099312682","0.0660606573134033","0.123465541311961"
"Part-time","1985","secondary school degree","Couple + C. LE and GT 16","13","","",""
"Part-time","1985","college entrance qualification","1-pers.-HH","18","","",""
"Part-time","1985","college entrance qualification","(Married) couple without C. ","22","","",""
"Part-time","1985","college entrance qualification","Single parent ","1","","",""
"Part-time","1985","college entrance qualification","Couple + C. LE 16 ","28","","",""
"Part-time","1985","college entrance qualification","Couple + C. GT 16 ","10","","",""
"Part-time","1985","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Part-time","1985","Other degree","1-pers.-HH","1","","",""
"Part-time","1985","Other degree","(Married) couple without C. ","6","","",""
"Part-time","1985","Other degree","Single parent ","3","","",""
"Part-time","1985","Other degree","Couple + C. LE 16 ","25","","",""
"Part-time","1985","Other degree","Couple + C. GT 16 ","5","","",""
"Part-time","1985","Other degree","Couple + C. LE and GT 16","11","","",""
"Part-time","1985","no degree/no degree yet","1-pers.-HH","1","","",""
"Part-time","1985","no degree/no degree yet","(Married) couple without C. ","3","","",""
"Part-time","1985","no degree/no degree yet","Single parent ","1","","",""
"Part-time","1985","no degree/no degree yet","Couple + C. LE 16 ","12","","",""
"Part-time","1985","no degree/no degree yet","Couple + C. GT 16 ","3","","",""
"Part-time","1985","no degree/no degree yet","Couple + C. LE and GT 16","7","","",""
"Non-working","1985","lower secondary degree","1-pers.-HH","397","0.735458734135663","0.699715320528805","0.77120214774252"
"Non-working","1985","lower secondary degree","(Married) couple without C. ","832","0.619251207938464","0.594119256396704","0.644383159480224"
"Non-working","1985","lower secondary degree","Single parent ","117","0.423858620906036","0.366884948520179","0.480832293291894"
"Non-working","1985","lower secondary degree","Couple + C. LE 16 ","393","0.337481950523439","0.310033375837122","0.364930525209756"
"Non-working","1985","lower secondary degree","Couple + C. GT 16 ","334","0.352419313523733","0.322691083732761","0.382147543314706"
"Non-working","1985","lower secondary degree","Couple + C. LE and GT 16","212","0.298564374136627","0.263730303421352","0.333398444851902"
"Non-working","1985","secondary school degree","1-pers.-HH","104","0.533346096602497","0.468447220729613","0.59824497247538"
"Non-working","1985","secondary school degree","(Married) couple without C. ","146","0.413839832326139","0.365693926659376","0.461985737992901"
"Non-working","1985","secondary school degree","Single parent ","36","0.354993115387239","0.261206636422039","0.448779594352439"
"Non-working","1985","secondary school degree","Couple + C. LE 16 ","139","0.324493194089111","0.280241334682911","0.368745053495311"
"Non-working","1985","secondary school degree","Couple + C. GT 16 ","132","0.342542801716361","0.296036772459664","0.389048830973058"
"Non-working","1985","secondary school degree","Couple + C. LE and GT 16","93","0.400751764742102","0.337002340606319","0.464501188877886"
"Non-working","1985","college entrance qualification","1-pers.-HH","66","0.360987582518603","0.295400960860014","0.426574204177191"
"Non-working","1985","college entrance qualification","(Married) couple without C. ","115","0.422718040701435","0.366818679118011","0.478617402284859"
"Non-working","1985","college entrance qualification","Single parent ","25","","",""
"Non-working","1985","college entrance qualification","Couple + C. LE 16 ","62","0.226775857174982","0.177193870865749","0.276357843484215"
"Non-working","1985","college entrance qualification","Couple + C. GT 16 ","92","0.383210874832196","0.321315074267482","0.44510667539691"
"Non-working","1985","college entrance qualification","Couple + C. LE and GT 16","31","0.333900054357466","0.230557059890595","0.437243048824337"
"Non-working","1985","Other degree","1-pers.-HH","15","","",""
"Non-working","1985","Other degree","(Married) couple without C. ","38","0.312516028602653","0.243245052958215","0.381787004247092"
"Non-working","1985","Other degree","Single parent ","16","","",""
"Non-working","1985","Other degree","Couple + C. LE 16 ","136","0.283450681395524","0.244183056933302","0.322718305857746"
"Non-working","1985","Other degree","Couple + C. GT 16 ","36","0.273409802810551","0.20160242939766","0.345217176223442"
"Non-working","1985","Other degree","Couple + C. LE and GT 16","46","0.238845774468064","0.179753840245182","0.297937708690946"
"Non-working","1985","no degree/no degree yet","1-pers.-HH","18","","",""
"Non-working","1985","no degree/no degree yet","(Married) couple without C. ","41","0.503081783480586","0.409218315323243","0.596945251637928"
"Non-working","1985","no degree/no degree yet","Single parent ","34","0.805340495986303","0.701639804415203","0.909041187557403"
"Non-working","1985","no degree/no degree yet","Couple + C. LE 16 ","107","0.446663953104675","0.389047037093372","0.504280869115978"
"Non-working","1985","no degree/no degree yet","Couple + C. GT 16 ","140","0.839697920884492","0.791436209258688","0.887959632510296"
"Non-working","1985","no degree/no degree yet","Couple + C. LE and GT 16","179","0.811260043097153","0.766223913420538","0.856296172773769"
"Other","1985","lower secondary degree","1-pers.-HH","12","","",""
"Other","1985","lower secondary degree","(Married) couple without C. ","9","","",""
"Other","1985","lower secondary degree","Single parent ","19","","",""
"Other","1985","lower secondary degree","Couple + C. LE 16 ","53","0.0455102387536784","0.0334116181139926","0.0576088593933642"
"Other","1985","lower secondary degree","Couple + C. GT 16 ","60","0.0513668255122692","0.0376301141604905","0.0651035368640478"
"Other","1985","lower secondary degree","Couple + C. LE and GT 16","64","0.0825186464038653","0.0615743392720709","0.10346295353566"
"Other","1985","secondary school degree","1-pers.-HH","7","","",""
"Other","1985","secondary school degree","(Married) couple without C. ","3","","",""
"Other","1985","secondary school degree","Single parent ","11","","",""
"Other","1985","secondary school degree","Couple + C. LE 16 ","14","","",""
"Other","1985","secondary school degree","Couple + C. GT 16 ","59","0.133668342697666","0.100319983600071","0.167016701795262"
"Other","1985","secondary school degree","Couple + C. LE and GT 16","45","0.195975509513382","0.144337356237271","0.247613662789493"
"Other","1985","college entrance qualification","1-pers.-HH","16","","",""
"Other","1985","college entrance qualification","(Married) couple without C. ","18","","",""
"Other","1985","college entrance qualification","Single parent ","3","","",""
"Other","1985","college entrance qualification","Couple + C. LE 16 ","11","","",""
"Other","1985","college entrance qualification","Couple + C. GT 16 ","28","","",""
"Other","1985","college entrance qualification","Couple + C. LE and GT 16","7","","",""
"Other","1985","Other degree","1-pers.-HH","","","",""
"Other","1985","Other degree","(Married) couple without C. ","","","",""
"Other","1985","Other degree","Single parent ","2","","",""
"Other","1985","Other degree","Couple + C. LE 16 ","5","","",""
"Other","1985","Other degree","Couple + C. GT 16 ","3","","",""
"Other","1985","Other degree","Couple + C. LE and GT 16","4","","",""
"Other","1985","no degree/no degree yet","1-pers.-HH","","","",""
"Other","1985","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Other","1985","no degree/no degree yet","Single parent ","1","","",""
"Other","1985","no degree/no degree yet","Couple + C. LE 16 ","4","","",""
"Other","1985","no degree/no degree yet","Couple + C. GT 16 ","6","","",""
"Other","1985","no degree/no degree yet","Couple + C. LE and GT 16","8","","",""
"Full-time","1986","lower secondary degree","1-pers.-HH","176","0.257142847972078","0.220715680310154","0.293570015634001"
"Full-time","1986","lower secondary degree","(Married) couple without C. ","518","0.318690855472415","0.294212322672053","0.343169388272776"
"Full-time","1986","lower secondary degree","Single parent ","120","0.436768757272828","0.377164617577286","0.496372896968369"
"Full-time","1986","lower secondary degree","Couple + C. LE 16 ","512","0.528052259149465","0.496908220982201","0.559196297316728"
"Full-time","1986","lower secondary degree","Couple + C. GT 16 ","504","0.485119879602825","0.454479069659836","0.515760689545814"
"Full-time","1986","lower secondary degree","Couple + C. LE and GT 16","291","0.507955886460121","0.468019858801527","0.547891914118714"
"Full-time","1986","secondary school degree","1-pers.-HH","104","0.405475103413332","0.339846074124925","0.471104132701738"
"Full-time","1986","secondary school degree","(Married) couple without C. ","239","0.507304134705229","0.459717080370441","0.554891189040017"
"Full-time","1986","secondary school degree","Single parent ","40","0.418058600806764","0.318873943603221","0.517243258010307"
"Full-time","1986","secondary school degree","Couple + C. LE 16 ","186","0.481995940716825","0.432657178268743","0.531334703164906"
"Full-time","1986","secondary school degree","Couple + C. GT 16 ","172","0.432314132575861","0.384066685629155","0.480561579522568"
"Full-time","1986","secondary school degree","Couple + C. LE and GT 16","75","0.355967933395125","0.292262363007866","0.419673503782384"
"Full-time","1986","college entrance qualification","1-pers.-HH","106","0.497994952487354","0.430045973406853","0.565943931567855"
"Full-time","1986","college entrance qualification","(Married) couple without C. ","147","0.470422409750395","0.413847835087643","0.526996984413147"
"Full-time","1986","college entrance qualification","Single parent ","23","","",""
"Full-time","1986","college entrance qualification","Couple + C. LE 16 ","168","0.603554746409876","0.546361483080323","0.660748009739428"
"Full-time","1986","college entrance qualification","Couple + C. GT 16 ","100","0.388493421496701","0.328670116537563","0.448316726455838"
"Full-time","1986","college entrance qualification","Couple + C. LE and GT 16","36","0.470528999384855","0.361154171099223","0.579903827670487"
"Full-time","1986","Other degree","1-pers.-HH","61","0.722896493438929","0.623571199377847","0.822221787500011"
"Full-time","1986","Other degree","(Married) couple without C. ","113","0.643588085731479","0.567945244139019","0.719230927323939"
"Full-time","1986","Other degree","Single parent ","22","","",""
"Full-time","1986","Other degree","Couple + C. LE 16 ","314","0.668423940753904","0.625907664667546","0.710940216840263"
"Full-time","1986","Other degree","Couple + C. GT 16 ","122","0.618390906822957","0.545792887455447","0.690988926190468"
"Full-time","1986","Other degree","Couple + C. LE and GT 16","131","0.683707163679724","0.618933980708044","0.748480346651404"
"Full-time","1986","no degree/no degree yet","1-pers.-HH","41","0.483197655486812","0.353469181343567","0.612926129630057"
"Full-time","1986","no degree/no degree yet","(Married) couple without C. ","56","0.432289979468706","0.334705363351306","0.529874595586106"
"Full-time","1986","no degree/no degree yet","Single parent ","19","","",""
"Full-time","1986","no degree/no degree yet","Couple + C. LE 16 ","134","0.479384264559891","0.416828752809421","0.54193977631036"
"Full-time","1986","no degree/no degree yet","Couple + C. GT 16 ","79","0.187577326702948","0.136455628685404","0.238699024720493"
"Full-time","1986","no degree/no degree yet","Couple + C. LE and GT 16","84","0.165169081220115","0.121039756876751","0.20929840556348"
"Part-time","1986","lower secondary degree","1-pers.-HH","8","","",""
"Part-time","1986","lower secondary degree","(Married) couple without C. ","69","0.0474242624095753","0.0362587534666097","0.058589771352541"
"Part-time","1986","lower secondary degree","Single parent ","24","","",""
"Part-time","1986","lower secondary degree","Couple + C. LE 16 ","93","0.0986204057929834","0.0800198137230734","0.117220997862893"
"Part-time","1986","lower secondary degree","Couple + C. GT 16 ","89","0.0925873394660456","0.0748167897450049","0.110357889187086"
"Part-time","1986","lower secondary degree","Couple + C. LE and GT 16","39","0.0706832486154689","0.0502098482667997","0.0911566489641381"
"Part-time","1986","secondary school degree","1-pers.-HH","5","","",""
"Part-time","1986","secondary school degree","(Married) couple without C. ","28","","",""
"Part-time","1986","secondary school degree","Single parent ","4","","",""
"Part-time","1986","secondary school degree","Couple + C. LE 16 ","51","0.121253669014957","0.0890222677553952","0.153485070274518"
"Part-time","1986","secondary school degree","Couple + C. GT 16 ","27","","",""
"Part-time","1986","secondary school degree","Couple + C. LE and GT 16","14","","",""
"Part-time","1986","college entrance qualification","1-pers.-HH","14","","",""
"Part-time","1986","college entrance qualification","(Married) couple without C. ","22","","",""
"Part-time","1986","college entrance qualification","Single parent ","3","","",""
"Part-time","1986","college entrance qualification","Couple + C. LE 16 ","32","0.111085665807237","0.0743444184017454","0.147826913212729"
"Part-time","1986","college entrance qualification","Couple + C. GT 16 ","13","","",""
"Part-time","1986","college entrance qualification","Couple + C. LE and GT 16","5","","",""
"Part-time","1986","Other degree","1-pers.-HH","","","",""
"Part-time","1986","Other degree","(Married) couple without C. ","3","","",""
"Part-time","1986","Other degree","Single parent ","","","",""
"Part-time","1986","Other degree","Couple + C. LE 16 ","24","","",""
"Part-time","1986","Other degree","Couple + C. GT 16 ","7","","",""
"Part-time","1986","Other degree","Couple + C. LE and GT 16","9","","",""
"Part-time","1986","no degree/no degree yet","1-pers.-HH","1","","",""
"Part-time","1986","no degree/no degree yet","(Married) couple without C. ","2","","",""
"Part-time","1986","no degree/no degree yet","Single parent ","2","","",""
"Part-time","1986","no degree/no degree yet","Couple + C. LE 16 ","11","","",""
"Part-time","1986","no degree/no degree yet","Couple + C. GT 16 ","4","","",""
"Part-time","1986","no degree/no degree yet","Couple + C. LE and GT 16","7","","",""
"Non-working","1986","lower secondary degree","1-pers.-HH","361","0.715791913560737","0.678199766193121","0.753384060928352"
"Non-working","1986","lower secondary degree","(Married) couple without C. ","773","0.613736451469505","0.58815876288838","0.63931414005063"
"Non-working","1986","lower secondary degree","Single parent ","101","0.387409079656148","0.328865746139496","0.445952413172801"
"Non-working","1986","lower secondary degree","Couple + C. LE 16 ","335","0.327926113045125","0.298638361877624","0.357213864212625"
"Non-working","1986","lower secondary degree","Couple + C. GT 16 ","347","0.359606081272628","0.330184923671995","0.389027238873261"
"Non-working","1986","lower secondary degree","Couple + C. LE and GT 16","197","0.31488246241968","0.277779667637989","0.35198525720137"
"Non-working","1986","secondary school degree","1-pers.-HH","101","0.556299084516765","0.489889892537719","0.622708276495812"
"Non-working","1986","secondary school degree","(Married) couple without C. ","140","0.39440696552227","0.347888231570522","0.440925699474019"
"Non-working","1986","secondary school degree","Single parent ","41","0.45186203663914","0.351785064536448","0.551939008741832"
"Non-working","1986","secondary school degree","Couple + C. LE 16 ","138","0.351532675887373","0.304388626972495","0.39867672480225"
