"erwst","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1991","Rural Area","2456","0.456725714759031","0.442410026654104","0.471041402863958","1"
"Non-working","1991","Rural Area","1642","0.422662283481682","0.408465608691461","0.436858958271902","5"
"Non-working","1991","Urban Area","3271","0.421751554801541","0.411507287388194","0.431995822214888","5"
"Other","1991","Rural Area","239","0.0503534002927609","0.0440689060657845","0.0566378945197372","6"
"Other","1991","Urban Area","517","0.0527514598673837","0.0481143804126403","0.0573885393221272","6"
"Part-time","1991","Rural Area","314","0.0702586014665267","0.0629133654307477","0.0776038375023057","2"
"Part-time","1991","Urban Area","665","0.0749129245662243","0.0694520147262956","0.0803738344061529","2"
"Full-time","1992","Urban Area","4285","0.441954470426302","0.43159668926697","0.452312251585635","1"
"Full-time","1992","Rural Area","2171","0.425224578616036","0.410684525989822","0.439764631242251","1"
"Non-working","1992","Urban Area","3436","0.439908877316728","0.429556171903696","0.45026158272976","5"
"Non-working","1992","Rural Area","1772","0.457845801630091","0.44319272789124","0.472498875368941","5"
"Other","1992","Rural Area","221","0.0484771120928112","0.0421604783781848","0.0547937458074375","6"
"Other","1992","Urban Area","447","0.0434551281599315","0.0392029021458673","0.0477073541739958","6"
"Part-time","1992","Rural Area","277","0.0684525076610619","0.0610256536649926","0.0758793616571313","2"
"Part-time","1992","Urban Area","663","0.0746815240970375","0.0691988131292489","0.0801642350648261","2"
"Full-time","1993","Urban Area","4200","0.438099549650283","0.42772028952896","0.448478809771605","1"
"Full-time","1993","Rural Area","2078","0.414342051990289","0.399786680983713","0.428897422996865","1"
"Non-working","1993","Urban Area","3469","0.43996110626376","0.429577061778223","0.450345150749297","5"
"Non-working","1993","Rural Area","1791","0.465680689211284","0.450941747462889","0.480419630959679","5"
"Other","1993","Rural Area","258","0.0525000093062026","0.0459099237913828","0.0590900948210225","6"
"Other","1993","Urban Area","462","0.04829530949702","0.0438103979266549","0.0527802210673851","6"
"Part-time","1993","Rural Area","273","0.0674772494922242","0.0600653391621334","0.0748891598223149","2"
"Part-time","1993","Urban Area","647","0.0736440345889376","0.0681800679289754","0.0791080012488998","2"
"Full-time","1994","Rural Area","1993","0.40034793389453","0.385732035015568","0.414963832773492","1"
"Full-time","1994","Urban Area","4007","0.427643410814825","0.417203604827286","0.438083216802363","1"
"Non-working","1994","Urban Area","3573","0.458087065331007","0.447573331814294","0.46860079884772","5"
"Non-working","1994","Rural Area","1789","0.476888351177581","0.461989162519741","0.491787539835422","5"
"Other","1994","Rural Area","262","0.0559781004294179","0.0491207367979302","0.0628354640609057","6"
"Other","1994","Urban Area","434","0.0434707071615234","0.0391677632830323","0.0477736510400144","6"
"Part-time","1994","Rural Area","273","0.0667856144984705","0.0593384792319257","0.0742327497650154","2"
"Part-time","1994","Urban Area","613","0.0707988166926453","0.0653864642584199","0.0762111691268707","2"
"Full-time","1995","Rural Area","2082","0.404073128260216","0.389700621686747","0.418445634833685","1"
"Full-time","1995","Urban Area","4075","0.416807906215156","0.406559730247975","0.427056082182337","1"
"Non-working","1995","Urban Area","3679","0.463723608776244","0.4533579542928","0.474089263259688","5"
"Non-working","1995","Rural Area","1805","0.468672131402494","0.454056354368902","0.483287908436086","5"
"Other","1995","Urban Area","467","0.0468371883035339","0.0424452954259877","0.0512290811810801","6"
"Other","1995","Rural Area","283","0.0559580091166938","0.0492261839271262","0.0626898343062614","6"
"Part-time","1995","Rural Area","308","0.0712967312205958","0.0637600639407312","0.0788333985004604","2"
"Part-time","1995","Urban Area","670","0.0726312967050661","0.0672366761548723","0.0780259172552599","2"
"Full-time","1996","Rural Area","2015","0.394031768971146","0.379649056650834","0.408414481291458","1"
"Full-time","1996","Urban Area","3901","0.410017333234511","0.39967582393018","0.420358842538842","1"
"Non-working","1996","Urban Area","3601","0.462027175255758","0.451544379560058","0.472509970951458","5"
"Non-working","1996","Rural Area","1841","0.479969484588871","0.465264266343478","0.494674702834264","5"
"Other","1996","Urban Area","456","0.0471606026390113","0.0427033965173296","0.051617808760693","6"
"Other","1996","Rural Area","254","0.0466085350041969","0.0404038662253893","0.0528132037830044","6"
"Part-time","1996","Rural Area","324","0.0793902114357866","0.0714328053803734","0.0873476174911998","2"
"Part-time","1996","Urban Area","731","0.0807948888707197","0.075064800079984","0.0865249776614554","2"
"Full-time","1997","Rural Area","1990","0.392645569479556","0.378160263348859","0.407130875610253","1"
"Full-time","1997","Urban Area","3755","0.402715436935317","0.392318495008457","0.413112378862177","1"
"Non-working","1997","Rural Area","1844","0.493346244643946","0.478516360038774","0.508176129249118","5"
"Non-working","1997","Urban Area","3640","0.471266850846892","0.460684855890263","0.481848845803522","5"
"Other","1997","Urban Area","453","0.0438542252083861","0.0395132869320875","0.0481951634846846","6"
"Other","1997","Rural Area","238","0.0439762256722945","0.037894181809958","0.050058269534631","6"
"Part-time","1997","Rural Area","294","0.0700319602042032","0.0624620909535832","0.0776018294548232","2"
"Part-time","1997","Urban Area","700","0.0821634870094046","0.0763419464072205","0.0879850276115887","2"
"Full-time","1998","Rural Area","2126","0.380178535277776","0.366565878030771","0.39379119252478","1"
"Full-time","1998","Urban Area","4117","0.403299906299514","0.393405079274641","0.413194733324387","1"
"Non-working","1998","Rural Area","2117","0.496928790073883","0.482907834334367","0.5109497458134","5"
"Non-working","1998","Urban Area","4052","0.468450081047492","0.458384941968069","0.478515220126915","5"
"Other","1998","Urban Area","494","0.0441141961268383","0.0399722133972535","0.0482561788564232","6"
"Other","1998","Rural Area","307","0.0509083138146351","0.0447442908531999","0.0570723367760704","6"
"Part-time","1998","Urban Area","779","0.0841358165261555","0.0785366667152476","0.0897349663370635","2"
"Part-time","1998","Rural Area","335","0.0719843608337059","0.0647364551886678","0.0792322664787441","2"
"Full-time","1999","Rural Area","2081","0.39195093536948","0.378035572942777","0.405866297796183","1"
"Full-time","1999","Urban Area","3980","0.408146366050092","0.398014743496691","0.418277988603494","1"
"Non-working","1999","Rural Area","1947","0.471110551599629","0.456882244702238","0.485338858497021","5"
"Non-working","1999","Urban Area","3732","0.45245669213844","0.44219635523009","0.46271702904679","5"
"Other","1999","Urban Area","580","0.0604717662867405","0.0555582192199321","0.0653853133535489","6"
"Other","1999","Rural Area","327","0.059671680635534","0.0529196679456596","0.0664236933254084","6"
"Part-time","1999","Urban Area","748","0.0789251755247274","0.0733671682614299","0.0844831827880249","2"
"Part-time","1999","Rural Area","373","0.0772668323953572","0.0696557928738533","0.084877871916861","2"
"Full-time","2000","Rural Area","3462","0.396528412700555","0.386008998511201","0.407047826889909","1"
"Full-time","2000","Urban Area","6625","0.403270662418377","0.395659828184807","0.410881496651947","1"
"Non-working","2000","Rural Area","3592","0.461993356073192","0.451272297463111","0.472714414683274","5"
"Non-working","2000","Urban Area","6829","0.445608196937583","0.43789685005882","0.453319543816347","5"
"Other","2000","Rural Area","566","0.0614806792820905","0.0563151250768959","0.0666462334872851","6"
"Other","2000","Urban Area","952","0.05769399797742","0.0540765145529761","0.0613114814018638","6"
"Part-time","2000","Urban Area","1553","0.0934271426666197","0.0889118787157088","0.0979424066175305","2"
"Part-time","2000","Rural Area","687","0.0799975519441622","0.0741636540224437","0.0858314498658806","2"
"Full-time","2001","Rural Area","3068","0.388039181367361","0.377034848833679","0.399043513901044","1"
"Full-time","2001","Urban Area","6014","0.399984264517632","0.39201867253407","0.407949856501193","1"
"Non-working","2001","Rural Area","3300","0.468749194197613","0.457480225428523","0.480018162966704","5"
"Non-working","2001","Urban Area","6131","0.442463261504097","0.434387366999492","0.450539156008703","5"
"Other","2001","Rural Area","532","0.061481670537576","0.0560571879879704","0.0669061530871816","6"
"Other","2001","Urban Area","951","0.0634914951891212","0.0595266254468127","0.0674563649314296","6"
"Part-time","2001","Urban Area","1434","0.0940609787891498","0.0893145221929022","0.0988074353853975","2"
"Part-time","2001","Rural Area","633","0.0817299538974492","0.0755435261764368","0.0879163816184617","2"
"Full-time","2002","Rural Area","3109","0.375610875818781","0.3647729255637","0.386448826073862","1"
"Full-time","2002","Urban Area","6462","0.384724737829985","0.377062171885555","0.392387303774415","1"
"Non-working","2002","Rural Area","3342","0.4732796521227","0.462105891231238","0.484453413014162","5"
"Non-working","2002","Urban Area","6395","0.458320664057603","0.4504733633457","0.466167964769506","5"
"Other","2002","Rural Area","542","0.0665048120944818","0.0609286808622224","0.0720809433267411","6"
"Other","2002","Urban Area","1013","0.0644339781376629","0.0605671120282504","0.0683008442470755","6"
"Part-time","2002","Rural Area","677","0.0846046599640373","0.078376612698443","0.0908327072296316","2"
"Part-time","2002","Urban Area","1617","0.0925206199747492","0.0879570775548131","0.0970841623946853","2"
"Full-time","2003","Urban Area","5986","0.374509879989936","0.366750751558306","0.382269008421567","1"
"Full-time","2003","Rural Area","2885","0.366683499952783","0.355666572058579","0.377700427846986","1"
"Non-working","2003","Rural Area","3249","0.478888050504785","0.467467502656935","0.490308598352636","5"
"Non-working","2003","Urban Area","6387","0.468813243992325","0.460813158484388","0.476813329500262","5"
"Other","2003","Rural Area","531","0.0661680843000744","0.0604852753152324","0.0718508932849164","6"
"Other","2003","Urban Area","977","0.0634785103764646","0.0595697116261751","0.067387309126754","6"
"Part-time","2003","Rural Area","685","0.0882603652423575","0.0817751753226805","0.0947455551620345","2"
"Part-time","2003","Urban Area","1597","0.0931983656412745","0.088537877909274","0.0978588533732749","2"
"Full-time","2004","Urban Area","5773","0.37187171044775","0.364015708721866","0.379727712173635","1"
"Full-time","2004","Rural Area","2762","0.354803798789433","0.343747674668218","0.365859922910648","1"
"Non-working","2004","Rural Area","3224","0.491871028861194","0.480318542232535","0.503423515489854","5"
"Non-working","2004","Urban Area","6242","0.468372322732019","0.460261213949967","0.47648343151407","5"
"Other","2004","Rural Area","540","0.0670334645588969","0.0612546103179272","0.0728123187998666","6"
"Other","2004","Urban Area","1001","0.0684676874996919","0.064362598145811","0.0725727768535728","6"
"Part-time","2004","Rural Area","668","0.0862917077904754","0.0798031049922628","0.0927803105886879","2"
"Part-time","2004","Urban Area","1523","0.0912882793205392","0.0866066028509613","0.0959699557901171","2"
"Full-time","2005","Urban Area","5396","0.367826655128003","0.359819448289489","0.375833861966517","1"
"Full-time","2005","Rural Area","2605","0.362275597641671","0.350917909742421","0.373633285540922","1"
"Non-working","2005","Urban Area","6074","0.464052423224366","0.455771361221037","0.472333485227694","5"
"Non-working","2005","Rural Area","3133","0.482120241869152","0.470313066247859","0.493927417490445","5"
"Other","2005","Rural Area","500","0.0704095017550509","0.0643642367258827","0.0764547667842191","6"
"Other","2005","Urban Area","1008","0.0727432193787594","0.0684306347974583","0.0770558039600606","6"
"Part-time","2005","Rural Area","642","0.0851946587341255","0.0785979941629863","0.0917913233052646","2"
"Part-time","2005","Urban Area","1454","0.0953777022688717","0.0905001893301374","0.100255215207606","2"
"Full-time","2006","Urban Area","5589","0.364500600242695","0.356757351605997","0.372243848879393","1"
"Full-time","2006","Rural Area","2741","0.360442002720135","0.349604009291433","0.371279996148838","1"
"Non-working","2006","Urban Area","6571","0.464224684455243","0.456201034498635","0.472248334411851","5"
"Non-working","2006","Rural Area","3466","0.479416587512555","0.468139604909059","0.490693570116051","5"
"Other","2006","Rural Area","610","0.0784133736482101","0.072345250709135","0.0844814965872852","6"
"Other","2006","Urban Area","1091","0.0752625563453945","0.0710181670291459","0.0795069456616431","6"
"Part-time","2006","Rural Area","722","0.0817280361190995","0.0755441367537759","0.0879119354844231","2"
"Part-time","2006","Urban Area","1590","0.0960121589566669","0.0912723490890831","0.100751968824251","2"
"Full-time","2007","Rural Area","2663","0.374655618804449","0.363399922524068","0.385911315084831","1"
"Full-time","2007","Urban Area","5223","0.366178204368171","0.35815779924069","0.374198609495651","1"
"Non-working","2007","Urban Area","6040","0.456016504333547","0.447724689061049","0.464308319606045","5"
"Non-working","2007","Rural Area","3183","0.455803096693486","0.444221637443659","0.467384555943313","5"
"Other","2007","Rural Area","545","0.0769945210740049","0.0707954207470634","0.0831936214009464","6"
"Other","2007","Urban Area","1016","0.0748535516521113","0.0704725045280884","0.0792345987761342","6"
"Part-time","2007","Rural Area","713","0.0925467634280592","0.085807858038625","0.0992856688174934","2"
"Part-time","2007","Urban Area","1581","0.102951739646171","0.0978924304149985","0.108011048877343","2"
"Full-time","2008","Rural Area","2524","0.377455802618602","0.365812887497135","0.389098717740068","1"
"Full-time","2008","Urban Area","5004","0.381092457995273","0.372752690387617","0.389432225602929","1"
"Non-working","2008","Urban Area","5557","0.436762062058182","0.428244912208612","0.445279211907752","5"
"Non-working","2008","Rural Area","2947","0.448502290000009","0.436556970432468","0.460447609567549","5"
"Other","2008","Urban Area","1004","0.0823500208979225","0.0776294310198709","0.0870706107759741","6"
"Other","2008","Rural Area","519","0.0788082455909926","0.072336753358023","0.0852797378239623","6"
"Part-time","2008","Rural Area","669","0.0952336617903971","0.0881833707956674","0.102283952785127","2"
"Part-time","2008","Urban Area","1462","0.0997954590486227","0.0946484862359489","0.104942431861296","2"
"Full-time","2009","Rural Area","2419","0.383447575923266","0.371462949440332","0.3954322024062","1"
"Full-time","2009","Urban Area","4569","0.378968815745616","0.370302602667112","0.38763502882412","1"
"Non-working","2009","Urban Area","5163","0.437850398033997","0.428987826579691","0.446712969488302","5"
"Non-working","2009","Rural Area","2785","0.439390461044307","0.427157205333028","0.451623716755586","5"
"Other","2009","Urban Area","961","0.0839364167477707","0.0789829535181033","0.0888898799774381","6"
"Other","2009","Rural Area","470","0.0817579483068848","0.0750044300036534","0.0885114666101162","6"
"Part-time","2009","Rural Area","649","0.0954040147255424","0.0881630379678005","0.102644991483284","2"
"Part-time","2009","Urban Area","1345","0.0992443694726171","0.0939033107517392","0.104585428193495","2"
"Full-time","2010","Rural Area","3146","0.388170071411834","0.377731671584801","0.398608471238868","1"
"Full-time","2010","Urban Area","5877","0.372306459397927","0.364829242088882","0.379783676706971","1"
"Non-working","2010","Rural Area","3486","0.424935606625417","0.414347279602729","0.435523933648104","5"
"Non-working","2010","Urban Area","6787","0.441782864908491","0.434101791730173","0.449463938086809","5"
"Other","2010","Urban Area","1338","0.0829946642227825","0.0787276223484886","0.0872617060970764","6"
"Other","2010","Rural Area","742","0.0895597345879049","0.0834434220027376","0.0956760471730721","6"
"Part-time","2010","Rural Area","999","0.0973345873748441","0.090985598845248","0.10368357590444","2"
"Part-time","2010","Urban Area","2055","0.1029160114708","0.0982162705956962","0.107615752345903","2"
"Full-time","2011","Rural Area","3883","0.39251900888556","0.383068948003412","0.401969069767707","1"
"Full-time","2011","Urban Area","6945","0.386616570810713","0.379647164110079","0.393585977511347","1"
"Non-working","2011","Rural Area","4187","0.422866530282255","0.413306094251805","0.432426966312704","5"
"Non-working","2011","Urban Area","7746","0.438116507086357","0.43101570346854","0.445217310704175","5"
"Other","2011","Urban Area","1435","0.0729087490166185","0.0691879122202141","0.0766295858130229","6"
"Other","2011","Rural Area","875","0.0848473098620964","0.0794546412597764","0.0902399784644163","6"
"Part-time","2011","Urban Area","2629","0.102358173086311","0.0980200451050656","0.106696301067557","2"
"Part-time","2011","Rural Area","1312","0.0997671509700894","0.0939674029345625","0.105566899005616","2"
"Full-time","2012","Rural Area","3793","0.384418264476509","0.374958779744856","0.393877749208162","1"
"Full-time","2012","Urban Area","6707","0.389345802282974","0.382245409779517","0.396446194786431","1"
"Non-working","2012","Rural Area","4126","0.430169890158594","0.420542350595671","0.439797429721517","5"
"Non-working","2012","Urban Area","7294","0.427063703235224","0.419860653156924","0.434266753313523","5"
"Other","2012","Urban Area","1520","0.0786226034147192","0.0747032951604835","0.0825419116689549","6"
"Other","2012","Rural Area","882","0.0786752029236364","0.073439826332416","0.0839105795148568","6"
"Part-time","2012","Urban Area","2595","0.104967891067083","0.100504504739171","0.109431277394995","2"
"Part-time","2012","Rural Area","1358","0.10673664244126","0.100732249038351","0.112741035844169","2"
"Full-time","2013","Rural Area","3929","0.37355057618739","0.364324142933686","0.382777009441093","1"
"Full-time","2013","Urban Area","7752","0.381691792169516","0.37508264171494","0.388300942624092","1"
"Non-working","2013","Rural Area","4169","0.434051167158261","0.4245980469525","0.443504287364023","5"
"Non-working","2013","Urban Area","7957","0.423253240530245","0.416531535510994","0.429974945549495","5"
"Other","2013","Rural Area","984","0.0805992822089797","0.0754072887312185","0.085791275686741","6"
"Other","2013","Urban Area","2062","0.0867629867717539","0.0829334546063411","0.0905925189371666","6"
"Part-time","2013","Urban Area","2984","0.108291980528485","0.10406435796987","0.112519603087101","2"
"Part-time","2013","Rural Area","1478","0.111798974445369","0.105788750188898","0.11780919870184","2"
"Full-time","2014","Rural Area","3509","0.371763154650535","0.362048126569539","0.38147818273153","1"
"Full-time","2014","Urban Area","6735","0.378499785629387","0.371467690437482","0.385531880821291","1"
"Non-working","2014","Rural Area","3733","0.421544686397951","0.411617963401924","0.431471409393978","5"
"Non-working","2014","Urban Area","7103","0.420577244953026","0.413419900145341","0.427734589760711","5"
"Other","2014","Rural Area","961","0.0933316086047347","0.0874838720465262","0.0991793451629432","6"
"Other","2014","Urban Area","1830","0.0884340984683599","0.0843175314249499","0.0925506655117698","6"
"Part-time","2014","Urban Area","2606","0.112488870949227","0.107907737284664","0.11707000461379","2"
"Part-time","2014","Rural Area","1303","0.113360550346779","0.106987407039259","0.119733693654299","2"
"Full-time","2015","Rural Area","3461","0.376029527491088","0.366227486445138","0.385831568537037","1"
"Full-time","2015","Urban Area","6668","0.378273536396379","0.371214590251086","0.385332482541671","1"
"Non-working","2015","Rural Area","3678","0.411604609027427","0.401646009486078","0.421563208568776","5"
"Non-working","2015","Urban Area","7081","0.41756596616337","0.410387640928746","0.424744291397994","5"
"Other","2015","Rural Area","929","0.0927919417136594","0.0869206710192332","0.0986632124080856","6"
"Other","2015","Urban Area","1735","0.086619496603958","0.0825252791219688","0.0907137140859472","6"
"Part-time","2015","Rural Area","1313","0.119573921767826","0.113008113315544","0.126139730220108","2"
"Part-time","2015","Urban Area","2647","0.117541000836293","0.112853091839886","0.122228909832701","2"
"Full-time","2016","Urban Area","6104","0.383209806974949","0.376369104742523","0.390050509207376","1"
"Full-time","2016","Rural Area","3197","0.372956380659541","0.363486696929637","0.382426064389444","1"
"Non-working","2016","Rural Area","4617","0.412025434803315","0.40238716985962","0.42166369974701","5"
"Non-working","2016","Urban Area","9061","0.415104978031683","0.408171812288218","0.422038143775149","5"
"Other","2016","Rural Area","901","0.0848306974857537","0.0793745661177341","0.0902868288537733","6"
"Other","2016","Urban Area","1689","0.0844227416399909","0.0805108134540974","0.0883346698258843","6"
"Part-time","2016","Rural Area","1303","0.130187487051391","0.123597948169327","0.136777025933455","2"
"Part-time","2016","Urban Area","2549","0.117262473353376","0.11273548925373","0.121789457453023","2"
"Full-time","2017","Urban Area","6913","0.380871253481114","0.374403871312832","0.387338635649397","1"
"Full-time","2017","Rural Area","3844","0.387559866473953","0.378554358694166","0.39656537425374","1"
"Non-working","2017","Rural Area","4936","0.403034749357387","0.393967976045001","0.412101522669774","5"
"Non-working","2017","Urban Area","9965","0.40965558702647","0.403106042294618","0.416205131758322","5"
"Other","2017","Urban Area","1841","0.0871297929286542","0.0833736959185615","0.090885889938747","6"
"Other","2017","Rural Area","1015","0.0881094332940497","0.0828699368350404","0.093348929753059","6"
"Part-time","2017","Rural Area","1448","0.12129595087461","0.115261309705898","0.127330592043322","2"
"Part-time","2017","Urban Area","2938","0.122343366563761","0.117979198407936","0.126707534719587","2"
"Full-time","2018","Urban Area","6726","0.387712334841595","0.380999474848214","0.394425194834976","1"
"Full-time","2018","Rural Area","3655","0.386774300591078","0.37742878470279","0.396119816479365","1"
"Non-working","2018","Urban Area","8719","0.397969060509607","0.391225192129125","0.404712928890089","5"
"Non-working","2018","Rural Area","4369","0.402288460864234","0.392878692999055","0.411698228729414","5"
"Other","2018","Rural Area","913","0.0779256684899644","0.0727818274832585","0.0830695094966703","6"
"Other","2018","Urban Area","1865","0.0870168659120642","0.0831335017251397","0.0909002300989887","6"
"Part-time","2018","Rural Area","1495","0.133011570054723","0.126495051102674","0.139528089006772","2"
"Part-time","2018","Urban Area","2927","0.127301738736734","0.122709502214126","0.131893975259342","2"
"Full-time","2019","Urban Area","6811","0.392803549817836","0.385754672587461","0.399852427048212","1"
"Full-time","2019","Rural Area","3847","0.387235856456621","0.377735424338067","0.396736288575175","1"
"Non-working","2019","Urban Area","7269","0.392547993903408","0.385499927305514","0.399596060501301","5"
"Non-working","2019","Rural Area","3931","0.395804571890367","0.386266995587114","0.405342148193619","5"
"Other","2019","Rural Area","866","0.0762822159567373","0.0711050723994246","0.08145935951405","6"
"Other","2019","Urban Area","1612","0.0781292434617544","0.074255690828821","0.0820027960946877","6"
"Part-time","2019","Rural Area","1455","0.140677355696275","0.133896271587288","0.147458439805262","2"
"Part-time","2019","Urban Area","2748","0.136519212817001","0.131563674257604","0.141474751376399","2"
